place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJK5esC1vVbxkRfseLa8nV7WM,Shoprite Solwezi,"Supermarket chain with brand-name & house-label groceries, plus a bakery & a deli.",False,1057,"Name: Solwezi Zambia
link: https://www.google.com/maps/search/Solwezi+Zambia/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews

Name: CHOPPIES SUPER MARKET
link: https://www.google.com/maps/search/CHOPPIES+SUPER+MARKET/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: ShopRite COFFEE
link: https://www.google.com/maps/search/ShopRite+COFFEE/@-12.1773024,26.390140199999998?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Uncle Fresh Groceries
link: https://www.google.com/maps/search/Uncle+Fresh+Groceries/@-12.1701792,26.387015899999998?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Barakati Enterprises
link: https://www.google.com/maps/search/Barakati+Enterprises/@-12.180644899999999,26.398491399999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.shoprite.co.za/,Shoprite Solwezi (Owner),https://www.google.com/maps/contrib/109071143679298528056,https://lh5.googleusercontent.com/p/AF1QipNFdjx3OjIRbaPOI-Ju8ROdGPVnt3K3qdODXLwU=w408-h254-k-no,Supermarket,Supermarket,3.7,8 AM-7 PM,Open All Days,+260 218 821 491,"Shoprite Solwezi, Independence Road, Solwezi Plot 960, Zambia","prices, customer service, town, roof, mall, experience, clean, needs, convenient, fair",https://www.google.com/maps/place/Shoprite+Solwezi/data=!4m7!3m6!1s0x196fd55b0bac972b:0x63edd5c96b8bc77e!8m2!3d-12.1835945!4d26.4031018!16s%2Fg%2F1tjvt8_0!19sChIJK5esC1vVbxkRfseLa8nV7WM?authuser=0&hl=en&rclk=1
ChIJ9_wd-mHVbxkRGTrA69xOYvo,Shoprite City Mall,"Supermarket chain with brand-name & house-label groceries, plus a bakery & a deli.",False,868,"Name: Solwezi City Mall
link: https://www.google.com/maps/search/Solwezi+City+Mall/@-12.176492900000001,26.391060799999998?authuser=0&hl=en&entry=ttu
Reviews: 1553 reviews

Name: Solwezi Zambia
link: https://www.google.com/maps/search/Solwezi+Zambia/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews

Name: CHOPPIES SUPER MARKET
link: https://www.google.com/maps/search/CHOPPIES+SUPER+MARKET/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: ShopRite COFFEE
link: https://www.google.com/maps/search/ShopRite+COFFEE/@-12.1773024,26.390140199999998?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: The Bed Shop Solwezi City Mall
link: https://www.google.com/maps/search/The+Bed+Shop+Solwezi+City+Mall/@-12.176685899999999,26.3901646?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.shoprite.co.za/,Shoprite City Mall (Owner),https://www.google.com/maps/contrib/103443255989285095805,https://lh5.googleusercontent.com/p/AF1QipO1MnxnnVTs7hJh-4A4twwNJQTcSOnXF5RqMZ2I=w426-h240-k-no,Supermarket,Supermarket,4,8 AM-8 PM,Open All Days,+260 218 821 373,"Shoprite City Mall, 15841 T5, Solwezi 10101, Zambia","car park, experience, prices, space, convenient, produce, customer service, banking, tills, needs",https://www.google.com/maps/place/Shoprite+City+Mall/data=!4m7!3m6!1s0x196fd561fa1dfcf7:0xfa624edcebc03a19!8m2!3d-12.1773201!4d26.3903397!16s%2Fg%2F11c6046jcm!19sChIJ9_wd-mHVbxkRGTrA69xOYvo?authuser=0&hl=en&rclk=1
ChIJaU9sm5gqbhkRO3vGlf-Dgl8,Kansanshi Hotel,,False,574,,http://www.kansanshi-hotel.com/,Kansanshi Hotel (Owner),https://www.google.com/maps/contrib/102679747413812969322,https://lh5.googleusercontent.com/p/AF1QipPlwesC27SKBXZUn5sQnD_aNSzj1cQkU13St7zC=w408-h271-k-no,Hotel,Hotel,4,,Open All Days,+260 96 5611611,"Kansanshi Hotel, Off Old Chingola Road, Solwezi, Zambia","environment, pizza, meals, customer service, hospitality, atmosphere, experience, play, feel, kids",https://www.google.com/maps/place/Kansanshi+Hotel/data=!4m10!3m9!1s0x196e2a989b6c4f69:0x5f8283ff95c67b3b!5m2!4m1!1i2!8m2!3d-12.178428!4d26.443436!16s%2Fg%2F11byylfwsg!19sChIJaU9sm5gqbhkRO3vGlf-Dgl8?authuser=0&hl=en&rclk=1
ChIJj-XG11MrcBkReeGsyGh22Xc,Kansanshi Mine Fqm Workshop,,False,121,"Name: Kansanshi Mine Gate Lodge
link: https://www.google.com/maps/search/Kansanshi+Mine+Gate+Lodge/@-12.1477881,26.423439899999998?authuser=0&hl=en&entry=ttu
Reviews: 118 reviews

Name: Kansanshi Oil Lab
link: https://www.google.com/maps/search/Kansanshi+Oil+Lab/@-12.098804099999999,26.414783600000003?authuser=0&hl=en&entry=ttu
Reviews: 40 reviews

Name: Kansanshi mine Boom gate
link: https://www.google.com/maps/search/Kansanshi+mine+Boom+gate/@-12.146804200000002,26.422663?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: BME SITE,KANSANSHI MINE
link: https://www.google.com/maps/search/BME+SITE%2CKANSANSHI+MINE/@-12.1094571,26.4245147?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Kansanshi Smelter
link: https://www.google.com/maps/search/Kansanshi+Smelter/@-12.1373547,26.311497499999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.first-quantum.com/English/our-operations/default.aspx%23module-operation--kansanshi,Kansanshi Mine Fqm Workshop (Owner),https://www.google.com/maps/contrib/110442508940224882065,https://lh5.googleusercontent.com/p/AF1QipOYVQ1QPV126fqygCC4Xah7zX4w4ynqJ2MCY-y3=w408-h544-k-no,Corporate office,Corporate office,4.1,Open 24 hours,Open All Days,,"Kansanshi Mine Fqm Workshop, Kansanshi, Zambia",work place,https://www.google.com/maps/place/Kansanshi+Mine+Fqm+Workshop/data=!4m7!3m6!1s0x19702b53d7c6e58f:0x77d97668c8ace179!8m2!3d-12.0979758!4d26.4135133!16s%2Fg%2F11gbxc8ndt!19sChIJj-XG11MrcBkReeGsyGh22Xc?authuser=0&hl=en&rclk=1
ChIJ09uYVvrVcRkRn_4qMQqaoeU,Kansanshi Mine Gate Lodge,,False,118,"Name: Kansanshi Hotel
link: https://www.google.com/maps/search/Kansanshi+Hotel/@-12.178428,26.443436?authuser=0&hl=en&entry=ttu
Reviews: 574 reviews

Name: Chisomo Lodge
link: https://www.google.com/maps/search/Chisomo+Lodge/@-12.153410299999999,26.416694?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews

Name: Kansanshi Mine
link: https://www.google.com/maps/search/Kansanshi+Mine/@-12.0923711,26.4300276?authuser=0&hl=en&entry=ttu
Reviews: 14 reviews

Name: Kansanshi mine Boom gate
link: https://www.google.com/maps/search/Kansanshi+mine+Boom+gate/@-12.146804200000002,26.422663?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Zero to Boss Lodge
link: https://www.google.com/maps/search/Zero+to+Boss+Lodge/@-12.145180100000001,26.4151493?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews",https://kansanshi-mine-gate-lodge.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Kansanshi Mine Gate Lodge (Owner),https://www.google.com/maps/contrib/111743893173846601929,https://lh5.googleusercontent.com/p/AF1QipNwYLBInHGAJeXxMctpeloHDPIAKxP0amvhs7X4=w408-h306-k-no,Lodge,"Lodge, Bar, Barber shop, Fast food restaurant, Hotel, Restaurant",3.8,,Open All Days,+260 97 8560700,"Kansanshi Mine Gate Lodge, Kansanshi Mine Road Solwezi ZM, 10101, Zambia",,https://www.google.com/maps/place/Kansanshi+Mine+Gate+Lodge/data=!4m7!3m6!1s0x1971d5fa5698dbd3:0xe5a19a0a312afe9f!8m2!3d-12.1477881!4d26.4234399!16s%2Fg%2F11qnt6x7hp!19sChIJ09uYVvrVcRkRn_4qMQqaoeU?authuser=0&hl=en&rclk=1
ChIJ99DhkUjVbxkRseE49iBDJ8g,Kazomba Market,,False,111,"Name: Solwezi Zambia
link: https://www.google.com/maps/search/Solwezi+Zambia/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews

Name: Muzabula A market
link: https://www.google.com/maps/search/Muzabula+A+market/@-12.146050599999999,26.378417199999998?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: ZAMBEEF SOLWEZI WEIGHBRIDGE
link: https://www.google.com/maps/search/ZAMBEEF+SOLWEZI+WEIGHBRIDGE/@-12.192330199999999,26.445205599999998?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews",https://kazomba-market.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Kazomba Market (Owner),https://www.google.com/maps/contrib/117973182395052782138,https://lh5.googleusercontent.com/p/AF1QipNUmOgrGGjTt16F2x9Y0vzsRZ00n59E_IxWEw8M=w408-h680-k-no,Supermarket,Supermarket,3.6,,Open All Days,+260 96 4044914,"R96J+9X Kazomba Market, Unnamed Road, Solwezi, Zambia",business,https://www.google.com/maps/place/Kazomba+Market/data=!4m7!3m6!1s0x196fd54891e1d0f7:0xc8274320f638e1b1!8m2!3d-12.1902099!4d26.3810087!16s%2Fg%2F11llgn22st!19sChIJ99DhkUjVbxkRseE49iBDJ8g?authuser=0&hl=en&rclk=1
ChIJ_xxelKsqbhkR8cndiiaWQhk,Kansanshi Foundation,,False,42,"Name: Kansanshi Mine Gate Lodge
link: https://www.google.com/maps/search/Kansanshi+Mine+Gate+Lodge/@-12.1477881,26.423439899999998?authuser=0&hl=en&entry=ttu
Reviews: 118 reviews

Name: Kansanshi Oil Lab
link: https://www.google.com/maps/search/Kansanshi+Oil+Lab/@-12.098804099999999,26.414783600000003?authuser=0&hl=en&entry=ttu
Reviews: 40 reviews

Name: Kansanshi mine Boom gate
link: https://www.google.com/maps/search/Kansanshi+mine+Boom+gate/@-12.146804200000002,26.422663?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Kansanshi Dewatering department
link: https://www.google.com/maps/search/Kansanshi+Dewatering+department/@-12.1099836,26.416257100000003?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Kansanshi Smelter
link: https://www.google.com/maps/search/Kansanshi+Smelter/@-12.1373547,26.311497499999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.first-quantum.com/,Kansanshi Foundation (Owner),,https://lh5.googleusercontent.com/p/AF1QipMyiKcAxjkBfwcldLV9mE9ldFZNeclMJ8R-8rmK=w408-h290-k-no,Corporate office,Corporate office,4.1,,Open All Days,,"RCFF+2C9 Kansanshi Foundation, Solwezi, Zambia",,https://www.google.com/maps/place/Kansanshi+Foundation/data=!4m7!3m6!1s0x196e2aab945e1cff:0x194296268addc9f1!8m2!3d-12.1774631!4d26.4236113!16s%2Fg%2F11f38c04rs!19sChIJ_xxelKsqbhkR8cndiiaWQhk?authuser=0&hl=en&rclk=1
ChIJO1bEk6jUcRkRTIFrwZ3-9UQ,Kansanshi Mine,,False,14,"Name: Kansanshi Mine Gate Lodge
link: https://www.google.com/maps/search/Kansanshi+Mine+Gate+Lodge/@-12.1477881,26.423439899999998?authuser=0&hl=en&entry=ttu
Reviews: 118 reviews

Name: Kansanshi Oil Lab
link: https://www.google.com/maps/search/Kansanshi+Oil+Lab/@-12.098804099999999,26.414783600000003?authuser=0&hl=en&entry=ttu
Reviews: 40 reviews

Name: Kansanshi mine Boom gate
link: https://www.google.com/maps/search/Kansanshi+mine+Boom+gate/@-12.146804200000002,26.422663?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Kansanshi Smelter
link: https://www.google.com/maps/search/Kansanshi+Smelter/@-12.1373547,26.311497499999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: BME SITE,KANSANSHI MINE
link: https://www.google.com/maps/search/BME+SITE%2CKANSANSHI+MINE/@-12.1094571,26.4245147?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.first-quantum.com/English/our-operations/default.aspx%23module-operation--kansanshi,Kansanshi Mine (Owner),,https://lh5.googleusercontent.com/p/AF1QipOVTnEG2SNQbGRbF6L6OpR3qwXGwAtMixwMQo4u=w443-h240-k-no,Mine,Mine,4.5,Open 24 hours,Open All Days,+63 921 663 4101,"WC5J+322 Kansanshi Mine, Club House Dr, Kansanshi, Zambia",,https://www.google.com/maps/place/Kansanshi+Mine/data=!4m7!3m6!1s0x1971d4a893c4563b:0x44f5fe9dc16b814c!8m2!3d-12.0923711!4d26.4300276!16s%2Fm%2F0w2zz39!19sChIJO1bEk6jUcRkRTIFrwZ3-9UQ?authuser=0&hl=en&rclk=1
ChIJ5R_3jnEtcBkRV3OTP7HT5WA,Kansanshi Process Plant,,False,7,"Name: KMP ADMIN
link: https://www.google.com/maps/search/KMP+ADMIN/@-12.091575299999999,26.4106018?authuser=0&hl=en&entry=ttu
Reviews: 68 reviews

Name: Kansanshi Oil Lab
link: https://www.google.com/maps/search/Kansanshi+Oil+Lab/@-12.098804099999999,26.414783600000003?authuser=0&hl=en&entry=ttu
Reviews: 40 reviews

Name: Kansanshi Smelter
link: https://www.google.com/maps/search/Kansanshi+Smelter/@-12.1373547,26.311497499999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: BME SITE,KANSANSHI MINE
link: https://www.google.com/maps/search/BME+SITE%2CKANSANSHI+MINE/@-12.1094571,26.4245147?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: SPECTRA MINING
link: https://www.google.com/maps/search/SPECTRA+MINING/@-12.0992307,26.431192?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.first-quantum.com/English/our-operations/default.aspx%23module-operation--kansanshi,Kansanshi Process Plant (Owner),,https://lh5.googleusercontent.com/p/AF1QipNzkI29Au8i71SqmG1dPw6T0cb0fjFOObrTy8D-=w408-h306-k-no,Gold mining company,Gold mining company,4.9,Open 24 hours,Open All Days,,"WC64+QQ3 Kansanshi Process Plant, Kansanshi, Zambia",,https://www.google.com/maps/place/Kansanshi+Process+Plant/data=!4m7!3m6!1s0x19702d718ef71fe5:0x60e5d3b13f937357!8m2!3d-12.0881151!4d26.4069087!16s%2Fg%2F11gv233046!19sChIJ5R_3jnEtcBkRV3OTP7HT5WA?authuser=0&hl=en&rclk=1
ChIJB9vK3pTVbxkRLcid-WiTuak,FORESIGHT TRAINING CENTER,,False,2,"Name: AYMJ Computer Solutions
link: https://www.google.com/maps/search/AYMJ+Computer+Solutions/@-12.1814897,26.400784299999998?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Chomula Computer Services
link: https://www.google.com/maps/search/Chomula+Computer+Services/@-12.151367599999999,26.4227278?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: HINGSMART COMPUTERS
link: https://www.google.com/maps/search/HINGSMART+COMPUTERS/@-12.176540399999999,26.392717299999997?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: FORESIGHT
link: https://www.google.com/maps/search/FORESIGHT/@-12.1668528,26.384045900000004?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: JomTech LINK Solutions
link: https://www.google.com/maps/search/JomTech+LINK+Solutions/@-12.1668597,26.3840382?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://foresighttrainingcenter.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,FORESIGHT TRAINING CENTER (Owner),https://www.google.com/maps/contrib/104829723374026385630,https://lh5.googleusercontent.com/p/AF1QipM3-a-lrnclBEAUu5P-1gq4coV87_n0KLFHoR0r=w408-h544-k-no,Internet cafe,"Internet cafe, Computer training school",5,8 AM-7:30 PM,Sunday,+260 97 7880561,"FORESIGHT TRAINING CENTER, Kamijiji Street, Solwezi, Zambia",,https://www.google.com/maps/place/FORESIGHT+TRAINING+CENTER/data=!4m7!3m6!1s0x196fd594decadb07:0xa9b99368f99dc82d!8m2!3d-12.1798449!4d26.3983057!16s%2Fg%2F11j6s66792!19sChIJB9vK3pTVbxkRLcid-WiTuak?authuser=0&hl=en&rclk=1
