place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJH5ynYgR7P0cRz-RO4qExtS8,Tesco,,False,2245,"Name: ALDI
link: https://www.google.com/maps/search/ALDI/@48.2588256,20.622007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1216 reviews

Name: Penny
link: https://www.google.com/maps/search/Penny/@48.255481499999995,20.6250933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 891 reviews

Name: Tesco car park
link: https://www.google.com/maps/search/Tesco+car+park/@48.2600464,20.6178198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Patika Plus
link: https://www.google.com/maps/search/Patika+Plus/@48.2597227,20.618444099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Lottozo
link: https://www.google.com/maps/search/Lott%C3%B3z%C3%B3/@48.259583799999994,20.618320699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://tesco.hu/aruhazak/aruhaz/tesco-kazincbarcika-hipermarket/,Tesco (Ye Zhu ),https://www.google.com/maps/contrib/104749363562084565599,https://lh5.googleusercontent.com/p/AF1QipOTyitS7iiON6xXr5VWsh7L5Guyj1cDq-L3MAAm=w408-h544-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Da Xing Chao Ji Shi Chang ",3.9,06:00-22:00,"Xing Qi Yi , Xing Qi Er ",,"Kazincbarcika, Tesco, Attila ut 10/B, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Tesco/data=!4m7!3m6!1s0x473f7b0462a79c1f:0x2fb531a1e24ee4cf!8m2!3d48.2597796!4d20.6185145!16s%2Fg%2F1hg4tz0_r!19sChIJH5ynYgR7P0cRz-RO4qExtS8?authuser=0&hl=zh-TW&rclk=1
ChIJ8_SJCBV7P0cREhDV8bPEa04,Lidl,,False,1642,"Name: Tesco
link: https://www.google.com/maps/search/Tesco/@48.259779599999995,20.6185145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2245 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@48.2588256,20.622007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1216 reviews

Name: Market food hall and fairgrounds
link: https://www.google.com/maps/search/Market+food+hall+and+fairgrounds/@48.246105299999996,20.616639900000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 591 reviews

Name: Alfi
link: https://www.google.com/maps/search/Alfi/@48.2456475,20.6178709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Lidl parking lot
link: https://www.google.com/maps/search/Lidl+parking+lot/@48.247139999999995,20.6231001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews",https://www.lidl.hu/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/100601556628550810201,https://lh5.googleusercontent.com/p/AF1QipNCscFXYDrRlN6gLvVXDsrJHSUoUTo6RPUbkvlO=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.4,07:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 80 020 534,"Kazincbarcika, Lidl, Matyas kiraly ut 34/A, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x473f7b150889f4f3:0x4e6bc4b3f1d51012!8m2!3d48.24743!4d20.62312!16s%2Fg%2F11b6xky103!19sChIJ8_SJCBV7P0cREhDV8bPEa04?authuser=0&hl=zh-TW&rclk=1
ChIJoR2KPht7P0cRuy7fgTMHQaM,ALDI,"Fan Shou Ge Zhong Za Huo , Rou Lei He Ru Zhi Pin De Lian Suo Ling Shou Shang . ",False,1217,"Name: Tesco
link: https://www.google.com/maps/search/Tesco/@48.259779599999995,20.6185145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2245 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.24743,20.62312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1642 reviews

Name: Penny
link: https://www.google.com/maps/search/Penny/@48.255481499999995,20.6250933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 891 reviews

Name: SPAR szupermarket
link: https://www.google.com/maps/search/SPAR+szupermarket/@48.25217,20.6297359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 793 reviews

Name: Alfi
link: https://www.google.com/maps/search/Alfi/@48.2456475,20.6178709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews",https://www.aldi.hu/,ALDI (Ye Zhu ),https://www.google.com/maps/contrib/114548696078320411670,https://lh5.googleusercontent.com/p/AF1QipNEddJq_66nftAq6YCXrLGKYJADBmx23tp5__r3=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Ping Jia Chao Ji Shi Chang ",4.5,07:00-20:00,"Xing Qi Yi , Xing Qi Er ",+36 80 088 264,"Kazincbarcika, ALDI, Hadak utja 9, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/ALDI/data=!4m7!3m6!1s0x473f7b1b3e8a1da1:0xa341073381df2ebb!8m2!3d48.2588256!4d20.622008!16s%2Fg%2F11bwyh3rm4!19sChIJoR2KPht7P0cRuy7fgTMHQaM?authuser=0&hl=zh-TW&rclk=1
ChIJG-bFQRp7P0cR78GhEjghCis,Castello Pastry Shop,,False,952,"Name: Ice Flower Kft.
link: https://www.google.com/maps/search/Ice+Flower+Kft./@48.254706000000006,20.6364856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Aurora Fagyizo
link: https://www.google.com/maps/search/Aur%C3%B3ra+Fagyiz%C3%B3/@48.248455,20.6187133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Pottom Patti - Torta es Cukraszmuhely
link: https://www.google.com/maps/search/P%C3%B6tt%C3%B6m+Patti+-+Torta+%C3%A9s+Cukr%C3%A1szm%C5%B1hely/@48.2478054,20.618181699999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Stresszoldo Fagyizo
link: https://www.google.com/maps/search/Stresszold%C3%B3+Fagyiz%C3%B3/@48.2458542,20.616335199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Castello parking lot
link: https://www.google.com/maps/search/Castello+parking+lot/@48.255558,20.6222405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.castellocukraszda.hu/index.php/kapcsolatok/5-kazincb,Castello Pastry Shop (Ye Zhu ),https://www.google.com/maps/contrib/108480299349176239674,https://lh5.googleusercontent.com/p/AF1QipNr0hnIklm0x1c2L9aTtJUS-pQnw00jlgSyQ3zU=w426-h240-k-no,Gao Bing Dian ,Gao Bing Dian ,4.5,09:00-18:00,Open All Days,+36 70 977 0098,"Kazincbarcika, Castello Pastry Shop, Moricz Zsigmond ter 11, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Castello+Pastry+Shop/data=!4m7!3m6!1s0x473f7b1a41c5e61b:0x2b0a213812a1c1ef!8m2!3d48.2555822!4d20.6224783!16s%2Fg%2F1vknn4d4!19sChIJG-bFQRp7P0cR78GhEjghCis?authuser=0&hl=zh-TW&rclk=1
ChIJQ8VcHBp7P0cRrn4bIYPD2BU,Penny,,False,892,"Name: Tesco
link: https://www.google.com/maps/search/Tesco/@48.259779599999995,20.6185145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2245 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.24743,20.62312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1642 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@48.2588256,20.622007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1216 reviews

Name: SPAR szupermarket
link: https://www.google.com/maps/search/SPAR+szupermarket/@48.25217,20.6297359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 793 reviews

Name: Penny parkolo
link: https://www.google.com/maps/search/Penny+parkol%C3%B3/@48.2554161,20.6248093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://www.penny.hu/,Penny (Ye Zhu ),https://www.google.com/maps/contrib/104398313010207193129,https://lh5.googleusercontent.com/p/AF1QipP5fGd_7dy1vB7x1038tSH5xEgrzQDWOSmqHe4y=w426-h240-k-no,Za Huo Dian ,Za Huo Dian ,4.1,06:30-20:00,Open All Days,+36 29 339 345,"Kazincbarcika, Penny, Toth Arpad ut 1, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Penny/data=!4m7!3m6!1s0x473f7b1a1c5cc543:0x15d8c383211b7eae!8m2!3d48.2554815!4d20.6250933!16s%2Fg%2F11b6xj98s_!19sChIJQ8VcHBp7P0cRrn4bIYPD2BU?authuser=0&hl=zh-TW&rclk=1
ChIJ10Tm2hd7P0cR2p6UdjN-FLQ,SPAR szupermarket,,False,793,"Name: ALDI
link: https://www.google.com/maps/search/ALDI/@48.2588256,20.622007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1216 reviews

Name: Alfi
link: https://www.google.com/maps/search/Alfi/@48.2456475,20.6178709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: National tobacco shop
link: https://www.google.com/maps/search/National+tobacco+shop/@48.252096699999996,20.629531699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: SPAR parkolo
link: https://www.google.com/maps/search/SPAR+parkol%C3%B3/@48.2523657,20.6296195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kazincbarcika, Kozponti iskola
link: https://www.google.com/maps/search/Kazincbarcika%2C+K%C3%B6zponti+iskola/@48.253356,20.629143?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.spar.hu/uzletek/spar-szupermarket-kazincbarcika-3700-matyas-kiraly-ut-58-,SPAR szupermarket (Ye Zhu ),https://www.google.com/maps/contrib/108869409709609312790,https://lh5.googleusercontent.com/p/AF1QipMI9q5mOVgWzJxUdGkUIXzSX8VPRMLBs89RxbNp=w427-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.1,06:30-20:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 20 823 8180,"Kazincbarcika, SPAR szupermarket, Matyas kiraly ut 58, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/SPAR+szupermarket/data=!4m7!3m6!1s0x473f7b17dae644d7:0xb4147e3376949eda!8m2!3d48.25217!4d20.6297359!16s%2Fg%2F1hjh2hpw5!19sChIJ10Tm2hd7P0cR2p6UdjN-FLQ?authuser=0&hl=zh-TW&rclk=1
ChIJEW34xWx7P0cRoJKaVpZ-zgs,SPAR szupermarket,,False,661,"Name: ALDI
link: https://www.google.com/maps/search/ALDI/@48.2588256,20.622007999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1216 reviews

Name: Coop Szuper
link: https://www.google.com/maps/search/Coop+Szuper/@48.2515065,20.6217412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Goods Market
link: https://www.google.com/maps/search/Goods+Market/@48.248342,20.618235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: National tobacco shop
link: https://www.google.com/maps/search/National+tobacco+shop/@48.252096699999996,20.629531699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: SPAR parkolo
link: https://www.google.com/maps/search/SPAR+parkol%C3%B3/@48.2459998,20.6152771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.spar.hu/uzletek/spar-szupermarket-kazincbarcika-3700-egressy-beni-ut-1-a,SPAR szupermarket (Ye Zhu ),https://www.google.com/maps/contrib/111139396733815559970,https://lh5.googleusercontent.com/p/AF1QipMOsgXubUMXL0UwCQI0doLu1uQEkQmR8n2-cHuy=w427-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4,06:30-20:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 20 823 7809,"Kazincbarcika, SPAR szupermarket, Egressy Beni ut 1/a, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/SPAR+szupermarket/data=!4m7!3m6!1s0x473f7b6cc5f86d11:0xbce7e96569a92a0!8m2!3d48.2454359!4d20.6149447!16s%2Fg%2F1hjgzst0z!19sChIJEW34xWx7P0cRoJKaVpZ-zgs?authuser=0&hl=zh-TW&rclk=1
ChIJ11WgThN7P0cRjm0o8ycXdFU,Market food hall and fairgrounds,,False,591,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.24743,20.62312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1642 reviews

Name: Alfi
link: https://www.google.com/maps/search/Alfi/@48.2456475,20.6178709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Goods Market
link: https://www.google.com/maps/search/Goods+Market/@48.248342,20.618235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Zoldseg Gyumolcs Elelmiszer
link: https://www.google.com/maps/search/Z%C3%B6lds%C3%A9g+Gy%C3%BCm%C3%B6lcs+%C3%89lelmiszer/@48.253082,20.617529?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Elelmiszer-Husbolt
link: https://www.google.com/maps/search/%C3%89lelmiszer-H%C3%BAsbolt/@48.2521109,20.617870099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://kazincbarcikapiac.hu/,Market food hall and fairgrounds (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNiiFiN10crj8y8idtj819s9BaSz7j8-0gUIfV3=w408-h306-k-no,Shi Chang ,Shi Chang ,4.2,06:00-16:00,Xing Qi Yi ,+36 48 704 011,"Kazincbarcika, Market food hall and fairgrounds, Matyas kiraly ut 2, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Market+food+hall+and+fairgrounds/data=!4m7!3m6!1s0x473f7b134ea055d7:0x55741727f3286d8e!8m2!3d48.2461053!4d20.6166399!16s%2Fg%2F11bx2l2gd2!19sChIJ11WgThN7P0cRjm0o8ycXdFU?authuser=0&hl=zh-TW&rclk=1
ChIJnXwmQxt7P0cR_gx_eEvU1II,Pepco,,False,557,"Name: Maxi-Coop ABC (Marka)
link: https://www.google.com/maps/search/Maxi-Coop+ABC+%28M%C3%A1rka%29/@48.2566306,20.6274664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Kik
link: https://www.google.com/maps/search/Kik/@48.2592496,20.6205258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Pepco
link: https://www.google.com/maps/search/Pepco/@48.1546058,21.1935043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Nemzeti Dohanybolt
link: https://www.google.com/maps/search/Nemzeti+Doh%C3%A1nybolt/@48.2578077,20.6267057?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Elegancia Hasznaltruha es Divat
link: https://www.google.com/maps/search/Elegancia+Haszn%C3%A1ltruha+%C3%A9s+Divat/@48.2513495,20.6211087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://pepco.hu/,Pepco (Ye Zhu ),https://www.google.com/maps/contrib/103423704112892863857,https://lh5.googleusercontent.com/p/AF1QipPAVJF6UAbv4u-nCpJIIWmaC2x_TbXEBQ8D25dy=w426-h240-k-no,Fu Zhuang Dian ,"Fu Zhuang Dian , Jia Ju Yong Pin Dian ",4.3,09:00-20:00,Open All Days,+36 1 701 0424,"Kazincbarcika, Pepco, Bercsenyi u. 2, 3700 Xiong Ya Li ",,https://www.google.com/maps/place/Pepco/data=!4m7!3m6!1s0x473f7b1b43267c9d:0x82d4d44b787f0cfe!8m2!3d48.259732!4d20.6224694!16s%2Fg%2F11f4xh8d68!19sChIJnXwmQxt7P0cR_gx_eEvU1II?authuser=0&hl=zh-TW&rclk=1
ChIJ45K7LBp7P0cRG3JG6h-o9k0,"HBH Bajor Sorhaz, Etterem es Panzio",,False,429,,https://www.bajorsorhaz.hu/,"HBH Bajor Sorhaz, Etterem es Panzio (Ye Zhu )",https://www.google.com/maps/contrib/107893166324520206346,https://lh5.googleusercontent.com/p/AF1QipO6k8PvsIF64I9hgq3o91uBJ9vtwTE0IGVj4gcs=w493-h240-k-no,Can Ting ,"Can Ting , Duan Qi Chu Zu Gong Yu , Pi Jiu Niang Zhi Chang , Hun Li Chang Di ",4.5,,Open All Days,+36 48 318 740,"Kazincbarcika, HBH Bajor Sorhaz, Etterem es Panzio, 1/B, Bercsenyi u., 3700 Xiong Ya Li ",Pi Jiu ,"https://www.google.com/maps/place/HBH+Bajor+S%C3%B6rh%C3%A1z,+%C3%89tterem+%C3%A9s+Panzi%C3%B3/data=!4m10!3m9!1s0x473f7b1a2cbb92e3:0x4df6a81fea46721b!5m2!4m1!1i2!8m2!3d48.2603582!4d20.6222338!16s%2Fg%2F1tfcm3c8!19sChIJ45K7LBp7P0cRG3JG6h-o9k0?authuser=0&hl=zh-TW&rclk=1"
