place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHeTyGryuGToR-NJQuYvFgG4,Mio Amore,,False,993,"Name: All Dough Bakers
link: https://www.google.com/maps/search/All+Dough+Bakers/@20.1625046,85.7011814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Mongini's Cake Shop
link: https://www.google.com/maps/search/Mongini%27s+Cake+Shop/@20.1623023,85.70149649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: MIO AMORE THE CAKE SHOP
link: https://www.google.com/maps/search/MIO+AMORE+THE+CAKE+SHOP/@20.241305099999998,85.7593689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: MIO AMORE,THE CAKE SHOP
link: https://www.google.com/maps/search/MIO+AMORE%2CTHE+CAKE+SHOP/@20.1792703,85.6176346?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Pyaris Bakery, Jatni
link: https://www.google.com/maps/search/Pyaris+Bakery%2C+Jatni/@20.169768299999998,85.701341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",https://mioamoreshop.com/,Mio Amore (Ye Zhu ),https://www.google.com/maps/contrib/105010128665500706089,https://lh5.googleusercontent.com/p/AF1QipNRVdgf9sGlQXyMqBCn08l0E2AmG0SkIeGswl9A=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.1,08:00-20:00,Open All Days,+91 82491 28889,"Mio Amore, Ramchandrapur Bazar, near harivhaina Chowk, Jatni, Khordha, Odisha 752050Yin Du ","Jia Ge , Pin Zhi , Xiao Chi , Xing Wei , Dan Gao Dian , Pei Song , Sheng Ri , Ke Ren , Ji Rou ",https://www.google.com/maps/place/Mio+Amore/data=!4m7!3m6!1s0x3a19aebc1af2e41d:0x6e80c58bb950d2f8!8m2!3d20.1644729!4d85.6992475!16s%2Fg%2F11g8v26nzr!19sChIJHeTyGryuGToR-NJQuYvFgG4?authuser=0&hl=zh-TW&rclk=1
ChIJb3-SBEyvGToRdIAuORutT2E,BrewBakes,,False,302,"Name: SAFFRON SPICE
link: https://www.google.com/maps/search/SAFFRON+SPICE/@20.1648125,85.6983125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1740 reviews

Name: All Dough Bakers
link: https://www.google.com/maps/search/All+Dough+Bakers/@20.1625046,85.7011814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Brewbakes 7Sky Iter | Best Cafe in Bhubaneswar | Cafe in Bhubaneswar
link: https://www.google.com/maps/search/Brewbakes+7Sky+Iter+%7C+Best+Cafe+in+Bhubaneswar+%7C+Cafe+in+Bhubaneswar/@20.255663600000002,85.80032369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 716 reviews

Name: Sri Sai Cafe & Restaurant
link: https://www.google.com/maps/search/Sri+Sai+Cafe+%26+Restaurant/@20.1594999,85.7027055?authuser=0&hl=zh-TW&entry=ttu
Reviews: 169 reviews

Name: Sri Sai Cafe and Restaurant
link: https://www.google.com/maps/search/Sri+Sai+Cafe+and+Restaurant/@20.170354,85.70586999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://www.brewbakes.co/,BrewBakes (Ye Zhu ),https://www.google.com/maps/contrib/106457903963948836370,https://lh5.googleusercontent.com/p/AF1QipNOCXVlvsaLhUV81f_z0_l-4z_V7c4-IZSulTD6=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.2,10:00-22:00,Open All Days,+91 98611 19176,"BrewBakes, main road, Jatni, Khordha, Odisha 752050Yin Du ","Pi Sa , Jia Ge , You Xi , Shu , Ju Hui , Pin Zhi , Nai Xi , Yin Du Nai Cha , Han Bao ",https://www.google.com/maps/place/BrewBakes/data=!4m7!3m6!1s0x3a19af4c04927f6f:0x614fad1b392e8074!8m2!3d20.1599627!4d85.704063!16s%2Fg%2F11gy24y3cm!19sChIJb3-SBEyvGToRdIAuORutT2E?authuser=0&hl=zh-TW&rclk=1
ChIJOxsNX76uGToRdI6G4mz34a4,Mongini's Cake Shop,,False,215,"Name: Mio Amore
link: https://www.google.com/maps/search/Mio+Amore/@20.1644729,85.6992475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 993 reviews

Name: All Dough Bakers
link: https://www.google.com/maps/search/All+Dough+Bakers/@20.1625046,85.7011814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Pyaris Bakery, Jatni
link: https://www.google.com/maps/search/Pyaris+Bakery%2C+Jatni/@20.169768299999998,85.701341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Jeevan Cake & Snack's Shop
link: https://www.google.com/maps/search/Jeevan+Cake+%26+Snack%27s+Shop/@20.158623,85.708742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Ram Bhai Bakery
link: https://www.google.com/maps/search/Ram+Bhai+Bakery/@20.162284,85.70245419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://monginis.net/,Mongini's Cake Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPJ61XSVSx5f-x3LnvspVeB4hSsMrs2G2PdUUgJ=w426-h240-k-no,Xi Bing Dian ,"Xi Bing Dian , Mian Bao Xi Bing Dian ",4.1,08:00-22:00,Open All Days,+91 99385 27151,"5P62+WHH Mongini's Cake Shop, Main Road, Jatni, Khordha, Odisha 752050Yin Du ","Pin Zhi , Xiao Chi , Jia Ge , Jing Yan , Ke Ren ",https://www.google.com/maps/place/Mongini%27s+Cake+Shop/data=!4m7!3m6!1s0x3a19aebe5f0d1b3b:0xaee1f76ce2868e74!8m2!3d20.1623023!4d85.7014965!16s%2Fg%2F11f08jsgfg!19sChIJOxsNX76uGToRdI6G4mz34a4?authuser=0&hl=zh-TW&rclk=1
ChIJk97GmUCsGToRVaSIxvP9HDg,Amul Parlour IIT Bhubaneswar,,False,158,"Name: Amul ice cream and Haldiram snacks
link: https://www.google.com/maps/search/Amul+ice+cream+and+Haldiram+snacks/@20.2350451,85.7589564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Amul ice cream parlor
link: https://www.google.com/maps/search/Amul+ice+cream+parlor/@20.2980703,85.82350749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Pihu Foods (Amul Parlour)
link: https://www.google.com/maps/search/Pihu+Foods+%28Amul+Parlour%29/@20.236640899999998,85.8389188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Amul parlour
link: https://www.google.com/maps/search/Amul+parlour/@20.2545397,85.780154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://amul.com/,Amul Parlour IIT Bhubaneswar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPdqgJuMWMKtOATUkifZEBH26jFb4homedIUoWb=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.2,07:30-21:30,Open All Days,+91 94396 33618,"5M37+QC9 Amul Parlour IIT Bhubaneswar, Kholadwar, Odisha 752057Yin Du ",Xiao Yuan ,https://www.google.com/maps/place/Amul+Parlour+IIT+Bhubaneswar/data=!4m7!3m6!1s0x3a19ac4099c6de93:0x381cfdf3c688a455!8m2!3d20.154403!4d85.6636003!16s%2Fg%2F11g6qg2w_d!19sChIJk97GmUCsGToRVaSIxvP9HDg?authuser=0&hl=zh-TW&rclk=1
ChIJJwcQYL6uGToRQNmaqh3nmDA,Celesty Ice Cream Parlour,,False,130,"Name: CELESTY Ice Cream Parlour
link: https://www.google.com/maps/search/CELESTY+Ice+Cream+Parlour/@20.353293000000004,85.82445539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Celesty Ice Cream Factory
link: https://www.google.com/maps/search/Celesty+Ice+Cream+Factory/@20.3068132,85.85577479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: celesty ice cream
link: https://www.google.com/maps/search/celesty+ice+cream/@20.2779293,85.84271179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Dezzerts By Celesty
link: https://www.google.com/maps/search/Dezzerts+By+Celesty/@20.170616700000004,85.67965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.zomato.com/bhubaneswar/shree-ganesh-food-plaza-jatni-bhubaneshwar,Celesty Ice Cream Parlour (Ye Zhu ),https://www.google.com/maps/contrib/102463907477561318163,https://lh5.googleusercontent.com/p/AF1QipPLw-e3key-1Z7Bf_h6L4miupcSKugGi3gtAa10=w426-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Mian Bao Xi Bing Dian ",4.2,08:00-22:15,Open All Days,+91 82704 23847,"Celesty Ice Cream Parlour, main road, Jatni, Khordha, Odisha 752050Yin Du ",,https://www.google.com/maps/place/Celesty+Ice+Cream+Parlour/data=!4m7!3m6!1s0x3a19aebe60100727:0x3098e71daa9ad940!8m2!3d20.1624739!4d85.7012465!16s%2Fg%2F11c20c10rx!19sChIJJwcQYL6uGToRQNmaqh3nmDA?authuser=0&hl=zh-TW&rclk=1
ChIJxV1QZCCtGToRZUPZ7wy7ZJY,Eatm Cafteria,,False,33,"Name: GIET Canteen
link: https://www.google.com/maps/search/GIET+Canteen/@20.134700799999997,85.6184493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Red Chilli
link: https://www.google.com/maps/search/Red+Chilli/@20.1267009,85.61755079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Meet And Eat
link: https://www.google.com/maps/search/Meet+And+Eat/@20.158906599999998,85.7112044?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.eatm.in/,Eatm Cafteria (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO5dSNrTGbMgXyitu2Iy0Y50UadL5JYlg3HtW3i=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,08:00-19:00,Xing Qi Ri ,+91 98535 83574,"4JMC+4C3 Eatm Cafteria, Baniatangi, Odisha 752050Yin Du ",,https://www.google.com/maps/place/Eatm+Cafteria/data=!4m7!3m6!1s0x3a19ad2064505dc5:0x9664bb0cefd94365!8m2!3d20.1327539!4d85.6210436!16s%2Fg%2F11c1qn0bs0!19sChIJxV1QZCCtGToRZUPZ7wy7ZJY?authuser=0&hl=zh-TW&rclk=1
ChIJC2MPrsmuGToRYAF2Kb-vcbw,Cafe Coffee Day,,False,31,"Name: Chai Corner
link: https://www.google.com/maps/search/Chai+Corner/@20.1673531,85.6867875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Student's Cafe
link: https://www.google.com/maps/search/Student%27s+Cafe/@20.177004,85.70842619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: CENTURION COFFEE CONNECT
link: https://www.google.com/maps/search/CENTURION+COFFEE+CONNECT/@20.172947,85.70626080000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Adda
link: https://www.google.com/maps/search/Adda/@20.176990399999998,85.7084897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.cafecoffeeday.com/,Cafe Coffee Day (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4.3,08:00-22:30,Open All Days,+91 1800 102 5093,"Cafe Coffee Day, Centurion university main building, centurion University, Jatni Rd, Jatni, Odisha 752050Yin Du ",,https://www.google.com/maps/place/Cafe+Coffee+Day/data=!4m7!3m6!1s0x3a19aec9ae0f630b:0xbc71afbf29760160!8m2!3d20.17453!4d85.706921!16s%2Fg%2F11f2y4f22p!19sChIJC2MPrsmuGToRYAF2Kb-vcbw?authuser=0&hl=zh-TW&rclk=1
ChIJTUYcnMGpGToRL9Wh3VJcKKU,Cafe Coffee Day,,False,25,"Name: Dn Rengalia
link: https://www.google.com/maps/search/Dn+Rengalia/@20.2407501,85.7576744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 424 reviews

Name: Coffee & Life
link: https://www.google.com/maps/search/Coffee+%26+Life/@20.2667358,85.75566959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: DELISH CAFE
link: https://www.google.com/maps/search/DELISH+CAFE/@20.248981399999998,85.7878253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Tea Junction
link: https://www.google.com/maps/search/Tea+Junction/@20.2408558,85.7582266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",https://patrapada.cafecoffeeday.com/,Cafe Coffee Day (Ye Zhu ),https://www.google.com/maps/contrib/114680177702028561167,https://lh5.googleusercontent.com/p/AF1QipOr7V-NK8N3TrI4rPTKcxezuoITtC0fhZKMBUI3=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Wai Mai Zi Qu Can Ting , Gao Bing Dian , Can Ting , San Wen Zhi Dian ",3.6,10:30-22:00,Open All Days,+91 1800 102 5093,"Cafe Coffee Day, DN Regalia Rd, Kalinga Vihar, Kalinga Vihar LIG, Patrapada, Bhubaneswar, Odisha 751019Yin Du ",,https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/data=!4m7!3m6!1s0x3a19a9c19c1c464d:0xa5285c52dda1d52f!8m2!3d20.243589!4d85.7593518!16s%2Fg%2F11gy2yf1_j!19sChIJTUYcnMGpGToRL9Wh3VJcKKU?authuser=0&hl=zh-TW&rclk=1
ChIJ_xzE9m-oGToR8YEIJpdkZX0,Pratima Omfed,,False,20,"Name: Tarini OMFED
link: https://www.google.com/maps/search/Tarini+OMFED/@20.299072499999998,85.82133189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 459 reviews

Name: Bapu Omfed
link: https://www.google.com/maps/search/Bapu+Omfed/@20.2473659,85.7536052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://pratima-omfed.business.site/,Pratima Omfed (Ye Zhu ),https://www.google.com/maps/contrib/101630225904951880826,https://lh5.googleusercontent.com/p/AF1QipMq_Ym9dVxXLu989ISoh8oHUUzEweFupvDq_L5x=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-22:00,Open All Days,+91 94374 60431,"Pratima Omfed, Booth_code_2525; Near Ele,Office,Bbsr_751019, Kalinga Vihar LIG, Kalinganagar, Bhubaneswar, Odisha 752054Yin Du ",,https://www.google.com/maps/place/Pratima+Omfed/data=!4m7!3m6!1s0x3a19a86ff6c41cff:0x7d656497260881f1!8m2!3d20.2447216!4d85.7554532!16s%2Fg%2F11dxbdws_z!19sChIJ_xzE9m-oGToR8YEIJpdkZX0?authuser=0&hl=zh-TW&rclk=1
ChIJ-ZdGLj-rGToRXsqwMOZLiko,ALPHA R. Restaurant,,False,15,"Name: Maa Barunei Hotel
link: https://www.google.com/maps/search/Maa+Barunei+Hotel/@20.1733945,85.6331251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3642 reviews

Name: Military kitchen
link: https://www.google.com/maps/search/Military+kitchen/@20.1791823,85.6175701?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Swagat Restaurant
link: https://www.google.com/maps/search/Swagat+Restaurant/@20.1770734,85.61587999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Royal fast food
link: https://www.google.com/maps/search/Royal+fast+food/@20.1856457,85.64492299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://alpharrestaurant.business.site/?m=true,ALPHA R. Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/107583645837470728843,https://lh5.googleusercontent.com/p/AF1QipN8pqPNetAFPos7y4iLLSqhdaV_KGkFoxjt0kES=w426-h240-k-no,Jia Ting Can Ting ,Jia Ting Can Ting ,4.6,24 Xiao Shi Ying Ye ,Open All Days,+91 73810 61400,"ALPHA R. Restaurant, Bypass Road, Khordha, Odisha 752057Yin Du ",,https://www.google.com/maps/place/ALPHA+R.+Restaurant/data=!4m7!3m6!1s0x3a19ab3f2e4697f9:0x4a8a4be630b0ca5e!8m2!3d20.1876556!4d85.6447069!16s%2Fg%2F11kxj2w1c5!19sChIJ-ZdGLj-rGToRXsqwMOZLiko?authuser=0&hl=zh-TW&rclk=1
