place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvVYyYHIlqg8Rxd20fn3lDow,Kissidougou Central Market,,False,16,"Name: Kissidougou Shell Station
link: https://www.google.com/maps/search/Kissidougou+Shell+Station/@9.1886391,-10.098599799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Marche de korodou
link: https://www.google.com/maps/search/March%C3%A9+de+korodou/@9.1622273,-10.088858199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Kissidougou Central Market (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPe1lBidoTtRXN6S2urXE4Ju-f_GI_WSJ5PGdQy=w408-h306-k-no,Shi Chang ,Shi Chang ,3.6,,Open All Days,,"5VRX+7V5 Kissidougou Central Market, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Kissidougou+Central+Market/data=!4m7!3m6!1s0xfaa2572603256bd:0x8c0ee57d7eb4ddc5!8m2!3d9.1906413!4d-10.100268!16s%2Fg%2F11dxf1641v!19sChIJvVYyYHIlqg8Rxd20fn3lDow?authuser=0&hl=zh-TW&rclk=1
ChIJofXWyHMlqg8R8ye8hm02ZvY,Kissidougou Shell Station,,False,7,"Name: Kissidougou Central Market
link: https://www.google.com/maps/search/Kissidougou+Central+Market/@9.1906413,-10.100268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: TotalEnergies KISSIDOUGOU ROUTE KOUROUSSA
link: https://www.google.com/maps/search/TotalEnergies+KISSIDOUGOU+ROUTE+KOUROUSSA/@9.1858837,-10.0939768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Station shell
link: https://www.google.com/maps/search/Station+shell/@9.2147265,-10.109546499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Station Shell Korodou - MOUCI
link: https://www.google.com/maps/search/Station+Shell+Korodou+-+MOUCI/@9.1628888,-10.0890762?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bodega
link: https://www.google.com/maps/search/Bodega/@9.189965599999999,-10.100484?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Kissidougou Shell Station (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOW_VSVjk1NjntnJEaJMwmtt56rDttzQ03TjsdC=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.7,,Open All Days,+224 664 34 09 76,"5WQ2+FH2 Kissidougou Shell Station, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Kissidougou+Shell+Station/data=!4m7!3m6!1s0xfaa2573c8d6f5a1:0xf666366d86bc27f3!8m2!3d9.1886391!4d-10.0985998!16s%2Fg%2F11c20t0c_n!19sChIJofXWyHMlqg8R8ye8hm02ZvY?authuser=0&hl=zh-TW&rclk=1
ChIJYxgp318lqg8R1n8_7IdAVVw,Mobile Boutique,,False,3,"Name: Superette
link: https://www.google.com/maps/search/Superette/@9.2001403,-10.1035904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Tecno Sparke
link: https://www.google.com/maps/search/Tecno+Spark%C3%A9/@9.1886951,-10.098053499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Restaurant chez Fatou
link: https://www.google.com/maps/search/Restaurant+chez+Fatou/@9.1957753,-10.1010955?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bodega
link: https://www.google.com/maps/search/Bodega/@9.189965599999999,-10.100484?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Y'ello Boutique Kissidougou
link: https://www.google.com/maps/search/Y%27ello+Boutique+Kissidougou/@9.196785199999999,-10.1001243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Mobile Boutique (Ye Zhu ),,,Chao Ji Shi Chang ,Chao Ji Shi Chang ,2.7,,Open All Days,+224 623 87 97 05,"6VFQ+5FR Mobile Boutique, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Mobile+Boutique/data=!4m7!3m6!1s0xfaa255fdf291863:0x5c554087ec3f7fd6!8m2!3d9.2229848!4d-10.1113521!16s%2Fg%2F11gy3b872d!19sChIJYxgp318lqg8R1n8_7IdAVVw?authuser=0&hl=zh-TW&rclk=1
ChIJL4Khr34lqg8RevAbR5x8YW4,Plein air HAPPINESS KISSIDOUGOU,,False,2,"Name: Hotel Night-Club Zephyr international
link: https://www.google.com/maps/search/H%C3%B4tel+Night-Club+Z%C3%A9phyr+international/@9.1650188,-10.1067278?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Bar Piah Bengou
link: https://www.google.com/maps/search/Bar+Piah+B%C3%A8ngou/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Kouria kissidougou
link: https://www.google.com/maps/search/Kouria+kissidougou/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Parisiana night club
link: https://www.google.com/maps/search/Parisiana+night+club/@9.1840855,-10.0932414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: La Cachette
link: https://www.google.com/maps/search/La+Cachette/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Plein air HAPPINESS KISSIDOUGOU (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO9ORPFx29eDDbu7j8akrhmUzqy2pUy8EewMh63=w408-h545-k-no,Jiu Ba ,Jiu Ba ,4,,Open All Days,+224 620 62 38 99,"5V5Q+P3J Plein air HAPPINESS KISSIDOUGOU, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Plein+air+HAPPINESS+KISSIDOUGOU/data=!4m7!3m6!1s0xfaa257eafa1822f:0x6e617c9c471bf07a!8m2!3d9.1593372!4d-10.1123519!16s%2Fg%2F11qr9_nxvl!19sChIJL4Khr34lqg8RevAbR5x8YW4?authuser=0&hl=zh-TW&rclk=1
ChIJPRpPft4lqg8RTAr8QCGvIF4,Bar Cafe chez Alphadjo,,False,1,"Name: Kissi faramayah
link: https://www.google.com/maps/search/Kissi+faramayah/@9.2004558,-10.1036848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Bobah
link: https://www.google.com/maps/search/Bobah/@9.1967307,-10.101224499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Monte Carlo
link: https://www.google.com/maps/search/Cafe+Monte+Carlo/@9.2058527,-10.106233699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Bar Piah Bengou
link: https://www.google.com/maps/search/Bar+Piah+B%C3%A8ngou/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Bar Cafe chez Alphadjo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPq4j6ZdtCZSiBTPwAACI2ccqn-9WVmDK2BHZko=w408-h637-k-no,Ka Pei Ting ,Ka Pei Ting ,4,24 Xiao Shi Ying Ye ,Open All Days,+224 620 14 74 52,"5WP2+PJH Bar Cafe chez Alphadjo, Unnamed Road, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Bar+Caf%C3%A9+chez+Alphadj%C3%B4/data=!4m7!3m6!1s0xfaa25de7e4f1a3d:0x5e20af2140fc0a4c!8m2!3d9.1868217!4d-10.09839!16s%2Fg%2F11lps3dfxv!19sChIJPRpPft4lqg8RTAr8QCGvIF4?authuser=0&hl=zh-TW&rclk=1
ChIJpUR0k9Elqg8RP4JOUy3Vcfc,Cafe Monte Carlo,,False,1,"Name: Bar Cafe chez Alphadjo
link: https://www.google.com/maps/search/Bar+Caf%C3%A9+chez+Alphadj%C3%B4/@9.1868217,-10.09839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Tante Elisa
link: https://www.google.com/maps/search/Tante+Elisa/@9.187970499999999,-10.0950828?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Restorant delicieux Niandan
link: https://www.google.com/maps/search/Restorant+d%C3%A9licieux+Niandan/@9.2229875,-10.1113594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Monte Carlo (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"Cafe Monte Carlo, N1, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Cafe+Monte+Carlo/data=!4m7!3m6!1s0xfaa25d1937444a5:0xf771d52d534e823f!8m2!3d9.2058527!4d-10.1062337!16s%2Fg%2F11k6hqs38w!19sChIJpUR0k9Elqg8RP4JOUy3Vcfc?authuser=0&hl=zh-TW&rclk=1
ChIJJXO0FCMlqg8RwGo-jZ2cgAw,Restaurant Fanta Cyber cafe scolaire de Kissidougou,,False,1,"Name: Kissi faramayah
link: https://www.google.com/maps/search/Kissi+faramayah/@9.2004558,-10.1036848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cyber Grande Famille Vincent
link: https://www.google.com/maps/search/Cyber+Grande+Famille+Vincent/@9.1879923,-10.0993268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: CYBER FTIC
link: https://www.google.com/maps/search/CYBER+FTIC/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Restaurant Fanta Cyber cafe scolaire de Kissidougou (Ye Zhu ),,,Kuai Can Dian ,Kuai Can Dian ,2,,Open All Days,+224 621 95 18 74,"Restaurant Fanta Cyber cafe scolaire de Kissidougou, Lycee Soundiata Keita, Cyber cafe Scolaire de Kissidougou sise aupres du lycee Soundiata Keita, Kissidougou 224Ji Nei Ya ",,https://www.google.com/maps/place/Restaurant+Fanta+Cyber+caf%C3%A9+scolaire+de+Kissidougou/data=!4m7!3m6!1s0xfaa252314b47325:0xc809c9d8d3e6ac0!8m2!3d9.181034!4d-10.0941778!16s%2Fg%2F11j2w731h9!19sChIJJXO0FCMlqg8RwGo-jZ2cgAw?authuser=0&hl=zh-TW&rclk=1
ChIJx2Y5ePIlqg8R0c7Yxc1D9Uo,Gondole,,False,1,"Name: Kissi faramayah
link: https://www.google.com/maps/search/Kissi+faramayah/@9.2004558,-10.1036848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Restaurant Fanta Cyber cafe scolaire de Kissidougou
link: https://www.google.com/maps/search/Restaurant+Fanta+Cyber+caf%C3%A9+scolaire+de+Kissidougou/@9.181034,-10.094177799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Restaurant chez Fatou
link: https://www.google.com/maps/search/Restaurant+chez+Fatou/@9.1957753,-10.1010955?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Restorant delicieux Niandan
link: https://www.google.com/maps/search/Restorant+d%C3%A9licieux+Niandan/@9.2229875,-10.1113594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Gondole (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"Gondole, 5WQ2+8F, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Gondole/data=!4m7!3m6!1s0xfaa25f2783966c7:0x4af543cdc5d8ced1!8m2!3d9.1882807!4d-10.0991558!16s%2Fg%2F11fhv3r77y!19sChIJx2Y5ePIlqg8R0c7Yxc1D9Uo?authuser=0&hl=zh-TW&rclk=1
ChIJFbzN8Qclqg8Rn3PXtIptF9Y,Monte Carlo,,False,1,"Name: Bobah
link: https://www.google.com/maps/search/Bobah/@9.1967307,-10.101224499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe Monte Carlo
link: https://www.google.com/maps/search/Cafe+Monte+Carlo/@9.2058527,-10.106233699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Bar Cafe chez Alphadjo
link: https://www.google.com/maps/search/Bar+Caf%C3%A9+chez+Alphadj%C3%B4/@9.1868217,-10.09839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Restorant delicieux Niandan
link: https://www.google.com/maps/search/Restorant+d%C3%A9licieux+Niandan/@9.2229875,-10.1113594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Monte Carlo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMGzq34f_gwDICFsXaJW9HZuVHIA8KsIXK6vJWc=w408-h563-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+224 627 04 18 98,"5VXW+PJQ Monte Carlo, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Monte+Carlo/data=!4m7!3m6!1s0xfaa2507f1cdbc15:0xd6176d8ab4d7739f!8m2!3d9.1993461!4d-10.1033832!16s%2Fg%2F11j4jnsk9b!19sChIJFbzN8Qclqg8Rn3PXtIptF9Y?authuser=0&hl=zh-TW&rclk=1
ChIJBerL0m8lqg8R6MmV-BTwtM4,Mory Fofana Malickya,,False,1,"Name: Cafe Monte Carlo
link: https://www.google.com/maps/search/Cafe+Monte+Carlo/@9.2058527,-10.106233699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: La Cachette
link: https://www.google.com/maps/search/La+Cachette/@9.1914538,-10.1143176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Restorant delicieux Niandan
link: https://www.google.com/maps/search/Restorant+d%C3%A9licieux+Niandan/@9.2229875,-10.1113594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Mory Fofana Malickya (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,1,,Open All Days,+224 625 51 80 72,"Mory Fofana Malickya, 625518072, Kissidougou, Ji Nei Ya ",,https://www.google.com/maps/place/Mory+Fofana+Malickya/data=!4m7!3m6!1s0xfaa256fd2cbea05:0xceb4f014f895c9e8!8m2!3d9.1914538!4d-10.1143176!16s%2Fg%2F11j8k7d90h!19sChIJBerL0m8lqg8R6MmV-BTwtM4?authuser=0&hl=zh-TW&rclk=1
