place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJq3gPmS-mxEcRf5VvYJh46yY,Falstaff Knokke,,False,548,"Name: Le Phare
link: https://www.google.com/maps/search/Le+Phare/@51.3538636,3.2914447000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: Alexandra
link: https://www.google.com/maps/search/Alexandra/@51.3532234,3.2900003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 488 reviews

Name: Cafe van Parijs
link: https://www.google.com/maps/search/Caf%C3%A9+van+Parijs/@51.3524325,3.2895293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: Brasserie Sabrina
link: https://www.google.com/maps/search/Brasserie+Sabrina/@51.3510439,3.2841582999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: Bistro boudoir
link: https://www.google.com/maps/search/Bistro+boudoir/@51.3458731,3.2879679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews",http://falstaff-knokke.be/,Falstaff Knokke (Ye Zhu ),https://www.google.com/maps/contrib/106842552619019978857,https://lh5.googleusercontent.com/p/AF1QipP7n1BQyEIRR7CoXWgs8C7yh9AYefeweM4jGEa4=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Fa Guo Can Ting , Fa Shi Can Ting ",4,11:00-22:00,"Xing Qi Er , Xing Qi San ",+32 50 61 10 46,"Falstaff Knokke, Lippenslaan 383, 8300 Knokke-Heist, Bi Li Shi ","Yuan Gong , Fa Shi Can Ting , Pin Zhi , Chu Fang , Pi Jiu , Can Jiu Guan , Shu Tiao ",https://www.google.com/maps/place/Falstaff+Knokke/data=!4m7!3m6!1s0x47c4a62f990f78ab:0x26eb7898606f957f!8m2!3d51.3522995!4d3.288867!16s%2Fg%2F1v_smf1b!19sChIJq3gPmS-mxEcRf5VvYJh46yY?authuser=0&hl=zh-TW&rclk=1
ChIJObIV1lioxEcRbtuaTjAaCj4,Coupe de Nice,,False,476,"Name: Paola
link: https://www.google.com/maps/search/Paola/@51.3406987,3.2353631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 251 reviews

Name: Bloom
link: https://www.google.com/maps/search/Bloom/@51.340523999999995,3.2388578999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Factory
link: https://www.google.com/maps/search/Factory/@51.3397521,3.2389596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Panache
link: https://www.google.com/maps/search/Panach%C3%A9/@51.341721,3.242653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",http://www.coupedenice.be/,Coupe de Nice (Ye Zhu ),https://www.google.com/maps/contrib/102180344054560639963,https://lh5.googleusercontent.com/p/AF1QipOu0raf7p5wcmSoqzuy9xTDNXCg4C8-P58HElQc=w408-h272-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Fa Shi Bo Bing Can Ting , Fa Shi Can Ting ",3.7,11:00-22:00,Open All Days,+32 50 66 75 50,"Coupe de Nice, Parkstraat 1, 8301 Knokke-Heist, Bi Li Shi ","Yuan Gong , Xia Ding , Pi Sa , Song Bing , Di Tu , Qian ",https://www.google.com/maps/place/Coupe+de+Nice/data=!4m7!3m6!1s0x47c4a858d615b239:0x3e0a1a304e9adb6e!8m2!3d51.3415426!4d3.2462914!16s%2Fg%2F11g8fys6nv!19sChIJObIV1lioxEcRbtuaTjAaCj4?authuser=0&hl=zh-TW&rclk=1
ChIJQXbjjC-mxEcRgFBoEPOVAKU,Brasserie Carlton,,False,388,"Name: Falstaff Knokke
link: https://www.google.com/maps/search/Falstaff+Knokke/@51.3522995,3.2888669999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Bistro Pistache
link: https://www.google.com/maps/search/Bistro+Pistache/@51.352994800000005,3.2900237999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 371 reviews

Name: Cafe van Parijs
link: https://www.google.com/maps/search/Caf%C3%A9+van+Parijs/@51.3524325,3.2895293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: Brasserie Sabrina
link: https://www.google.com/maps/search/Brasserie+Sabrina/@51.3510439,3.2841582999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: Brasserie Van Bunnen
link: https://www.google.com/maps/search/Brasserie+Van+Bunnen/@51.353063399999996,3.2900008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",http://www.carltonknokke.be/,Brasserie Carlton (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNh_v2-25L6AQI3brjeGsjr2yFYWTVeqoyS_fBl=w408-h905-k-no,Ka Pei Ting ,Ka Pei Ting ,4,10:00-20:00,Open All Days,+32 50 62 66 64,"Brasserie Carlton, Van Bunnenplein 21, 8300 Knokke-Heist, Bi Li Shi ","Jia Ge , Zhi Fu , Yuan Gong , Ke Le Bing , Lu You , Pi Jiu , Xia Ding ",https://www.google.com/maps/place/Brasserie+Carlton/data=!4m7!3m6!1s0x47c4a62f8ce37641:0xa50095f310685080!8m2!3d51.3529455!4d3.2900789!16s%2Fg%2F11fxb21b5n!19sChIJQXbjjC-mxEcRgFBoEPOVAKU?authuser=0&hl=zh-TW&rclk=1
ChIJX2gWkS-mxEcRYb-48mwDdvE,Cafe van Parijs,,False,371,"Name: Falstaff Knokke
link: https://www.google.com/maps/search/Falstaff+Knokke/@51.3522995,3.2888669999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Brasserie Carlton
link: https://www.google.com/maps/search/Brasserie+Carlton/@51.3529455,3.2900788999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Bistro Pistache
link: https://www.google.com/maps/search/Bistro+Pistache/@51.352994800000005,3.2900237999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 371 reviews

Name: Brasserie Wim's
link: https://www.google.com/maps/search/Brasserie+Wim%27s/@51.3496283,3.2803633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: Brasserie Van Bunnen
link: https://www.google.com/maps/search/Brasserie+Van+Bunnen/@51.353063399999996,3.2900008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",http://www.cafedeparisknokke.be/,Cafe van Parijs (Ye Zhu ),https://www.google.com/maps/contrib/113277330422076553818,https://lh5.googleusercontent.com/p/AF1QipOa6_FZnFMUvvdk0BfEFxmyEJrob4m5j5ecfEHJ=w408-h240-k-no-pi0-ya263.77472-ro-0-fo100,Fa Shi Can Ting ,"Fa Shi Can Ting , Bi Li Shi Can Ting , Xiao Can Guan  (Bistro), Fa Guo Can Ting , Can Ting ",4.1,"12:00-15:00, 18:00-22:00","Xing Qi San , Xing Qi Si ",+32 50 61 16 10,"Cafe van Parijs, Van Bunnenplein 29, 8300 Knokke-Heist, Bi Li Shi ","Jia Ge , Chu Fang , Hong Jiu , Xia , Ti Wen , Kua Nian , Niu Liu , Ke Le Bing ",https://www.google.com/maps/place/Caf%C3%A9+van+Parijs/data=!4m7!3m6!1s0x47c4a62f9116685f:0xf176036cf2b8bf61!8m2!3d51.3524325!4d3.2895293!16s%2Fg%2F1q6h_2q9n!19sChIJX2gWkS-mxEcRYb-48mwDdvE?authuser=0&hl=zh-TW&rclk=1
ChIJpxRuRS6mxEcRtYQRhljXnlI,Australian Home Made Ice Cream,,False,355,"Name: Cremerie de la Poste
link: https://www.google.com/maps/search/Cremerie+de+la+Poste/@51.354858,3.296208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1569 reviews

Name: Cremerie Francois Knokke
link: https://www.google.com/maps/search/Cremerie+Fran%C3%A7ois+Knokke/@51.35225560000001,3.2926097999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 229 reviews

Name: L'Italiano Ice Cream
link: https://www.google.com/maps/search/L%27Italiano+Ice+Cream/@51.341510199999995,3.2412087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Hi Hawaiian Ice
link: https://www.google.com/maps/search/Hi+Hawaiian+Ice/@51.3476066,3.2739808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.australianice.be/,Australian Home Made Ice Cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOITjaFeFLL-j12RJoXK5vH67mxi6aVHxjXw7Od=w408-h542-k-no,Xue Gao Dian ,Xue Gao Dian ,4.1,11:30-22:00,Open All Days,,"Australian Home Made Ice Cream, Dumortierlaan 2A, 8300 Knokke-Heist, Bi Li Shi ","Tian Tong , Bing Sha , Zhi Fu , Jia Ge ",https://www.google.com/maps/place/Australian+Home+Made+Ice+Cream/data=!4m7!3m6!1s0x47c4a62e456e14a7:0x529ed758861184b5!8m2!3d51.3498601!4d3.2890273!16s%2Fg%2F11c1q8h6nx!19sChIJpxRuRS6mxEcRtYQRhljXnlI?authuser=0&hl=zh-TW&rclk=1
ChIJBy1cBi2mxEcRs8Fk7PazNqg,Creme Karamel,,False,278,"Name: Delissima
link: https://www.google.com/maps/search/Delissima/@51.345601699999996,3.2879101?authuser=0&hl=zh-TW&entry=ttu
Reviews: 319 reviews

Name: Ble d'Or
link: https://www.google.com/maps/search/Bl%C3%A9+d%27Or/@51.3528364,3.3039505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Roots Knokke
link: https://www.google.com/maps/search/Roots+Knokke/@51.3506399,3.2890745999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",http://www.cremekaramel.be/,Creme Karamel (Ye Zhu ),https://www.google.com/maps/contrib/105941899255258167994,https://lh5.googleusercontent.com/p/AF1QipPmtNQYmUIlzATSX__Hx2N2suHJ8MX679kqnf-Z=w408-h272-k-no,Wu Can Can Ting ,"Wu Can Can Ting , Zao Can Can Ting , Tang Guo Gao Bing Dian , Fa Shi Gao Bing Dian , San Wen Zhi Dian ",4.4,08:00-18:00,"Xing Qi Yi , Xing Qi Er ",+32 50 62 33 18,"Creme Karamel, Lippenslaan 110, 8300 Knokke-Heist, Bi Li Shi ","Zao Can , Song Bing , Jia Ge , Yuan Gong , San Ming Zhi , Ke Song , Zao Wu Can , Ka Pei Ting ",https://www.google.com/maps/place/Cr%C3%A8me+Karamel/data=!4m7!3m6!1s0x47c4a62d065c2d07:0xa836b3f6ec64c1b3!8m2!3d51.3453177!4d3.2882819!16s%2Fg%2F11fx_5rkqf!19sChIJBy1cBi2mxEcRs8Fk7PazNqg?authuser=0&hl=zh-TW&rclk=1
ChIJrZg1ri2mxEcRzGsIinkvTyw,"Brazila Coffee Roasters & Tea Knokke, Lippenslaan",,False,273,"Name: Cafe des Nations
link: https://www.google.com/maps/search/Caf%C3%A9+des+Nations/@51.340489899999994,3.2863108999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 385 reviews

Name: Comodo
link: https://www.google.com/maps/search/C%C3%B3modo/@51.334812,3.2397126999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 161 reviews

Name: IzyCoffee Knokke
link: https://www.google.com/maps/search/IzyCoffee+Knokke/@51.3522094,3.2889177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 96 reviews

Name: Roots Knokke
link: https://www.google.com/maps/search/Roots+Knokke/@51.3506399,3.2890745999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",http://www.brazila.be/,"Brazila Coffee Roasters & Tea Knokke, Lippenslaan (Ye Zhu )",https://www.google.com/maps/contrib/118063794980329141963,https://lh5.googleusercontent.com/p/AF1QipMv8yviGQYtqmprfISL2HJdW4I8RpMyrzx8Ra8n=w519-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ji Gong Ying Shang , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang , Cha Yi Guan , Cha Xie Dian ",4.3,08:45-18:00,Xing Qi Er ,+32 50 62 34 13,"Brazila Coffee Roasters & Tea Knokke, Lippenslaan, Lippenslaan 126, 8300 Knokke-Heist, Bi Li Shi ","Jia Ge , Qia Bu Qi Nuo , Zhi Fu , Gao , Na Tie , Qiao Ke Li ","https://www.google.com/maps/place/Brazila+Coffee+Roasters+%26+Tea+Knokke,+Lippenslaan/data=!4m7!3m6!1s0x47c4a62dae3598ad:0x2c4f2f798a086bcc!8m2!3d51.3457106!4d3.2883661!16s%2Fg%2F1tpn1r5_!19sChIJrZg1ri2mxEcRzGsIinkvTyw?authuser=0&hl=zh-TW&rclk=1"
ChIJldZtw1moxEcRgth9L8iPle0,Moeder Babelutte Cafe,,False,262,"Name: Bistro Maree
link: https://www.google.com/maps/search/Bistro+Mar%C3%A9e/@51.34072,3.2364271?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Bloom
link: https://www.google.com/maps/search/Bloom/@51.340523999999995,3.2388578999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Not Guilty
link: https://www.google.com/maps/search/Not+Guilty/@51.3542437,3.2932528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Moeder Babelutte
link: https://www.google.com/maps/search/Moeder+Babelutte/@51.3486729,3.2888235999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://www.moederbabelutte.be/,Moeder Babelutte Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110907562771331797989,https://lh5.googleusercontent.com/p/AF1QipMDtlr3KAw5nOevT8kpKbt9i1QnpDHPnSahg-gs=w408-h544-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Zao Can Can Ting , Ka Pei Dian , Tian Pin Can Ting , Jiu Ba , Cha Yi Guan ",4.6,08:00-18:00,"Xing Qi San , Xing Qi Si ",+32 50 51 32 13,"Moeder Babelutte Cafe, Graaf d'Ursellaan 6, 8301 Knokke-Heist, Bi Li Shi ","Gao , Zao Can , Bei , Yin Liao , Yuan Gong ",https://www.google.com/maps/place/Moeder+Babelutte+Caf%C3%A9/data=!4m7!3m6!1s0x47c4a859c36dd695:0xed958fc82f7dd882!8m2!3d51.3406036!4d3.2408029!16s%2Fg%2F11d_w8f01n!19sChIJldZtw1moxEcRgth9L8iPle0?authuser=0&hl=zh-TW&rclk=1
ChIJJykOLVamxEcRlSjM5_MvaXA,Hof van Vlaanderen,,False,240,"Name: Cafe van Parijs
link: https://www.google.com/maps/search/Caf%C3%A9+van+Parijs/@51.3524325,3.2895293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: Cafe Den Oosthoek
link: https://www.google.com/maps/search/Caf%C3%A9+Den+Oosthoek/@51.3383451,3.2416913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: East Corner
link: https://www.google.com/maps/search/East+Corner/@51.3488616,3.3276380999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Centenaire
link: https://www.google.com/maps/search/Centenaire/@51.346848699999995,3.2891065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Cafe De Vuurtoren
link: https://www.google.com/maps/search/Cafe+De+Vuurtoren/@51.3317574,3.2362454?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.facebook.com/profile.php%3Fid%3D100050831273207,Hof van Vlaanderen (Ye Zhu ),https://www.google.com/maps/contrib/111790612607543994227,https://lh5.googleusercontent.com/p/AF1QipMlSxRfgzB9J1154inAR5BwrzIMhnTAPrh0YtZp=w408-h292-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,10:00-21:00,Open All Days,+32 494 36 25 46,"Hof van Vlaanderen, Oosthoekplein 14, 8300 Knokke-Heist, Bi Li Shi ","Jian Xing , Jia Ge , Ke Le Bing , Xia , Song Bing ",https://www.google.com/maps/place/Hof+van+Vlaanderen/data=!4m7!3m6!1s0x47c4a6562d0e2927:0x70692ff3e7cc2895!8m2!3d51.3495481!4d3.3281624!16s%2Fg%2F1v3lp3n2!19sChIJJykOLVamxEcRlSjM5_MvaXA?authuser=0&hl=zh-TW&rclk=1
ChIJFfezVZqnxEcRrvbN2o3vtV0,Cremerie Francois Knokke,,False,230,"Name: Post
link: https://www.google.com/maps/search/Post/@51.346232199999996,3.2688797999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 775 reviews

Name: Hoeve-ijs Hazegras
link: https://www.google.com/maps/search/Hoeve-ijs+Hazegras/@51.3390055,3.3521721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 204 reviews

Name: IJsbar Liliane
link: https://www.google.com/maps/search/IJsbar+Liliane/@51.3501743,3.2820079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Finesse
link: https://www.google.com/maps/search/Finesse/@51.3518258,3.292322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cremeriefrancoisknokke.be/,Cremerie Francois Knokke (Ye Zhu ),https://www.google.com/maps/contrib/102712149237203408689,https://lh5.googleusercontent.com/p/AF1QipOAxRunQpLu3xEGQWwLvOpgSKe1xEZjSSq0fhCh=w408-h272-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,11:00-20:00,"Xing Qi Er , Xing Qi San ",+32 50 65 87 78,"Cremerie Francois Knokke, Dumortierlaan 113, 8300 Knokke-Heist, Bi Li Shi ","Ka Pei , Song Bing , Tian Tong , Yuan Gong , Ya Li , Jia Ge ",https://www.google.com/maps/place/Cremerie+Fran%C3%A7ois+Knokke/data=!4m7!3m6!1s0x47c4a79a55b3f715:0x5db5ef8ddacdf6ae!8m2!3d51.3522556!4d3.2926098!16s%2Fg%2F11h6t6r98t!19sChIJFfezVZqnxEcRrvbN2o3vtV0?authuser=0&hl=zh-TW&rclk=1
