place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ5ZOPYEKRoRQRYCr0D8OfCXs,everest,,False,930,"Name: Coffe Eat
link: https://www.google.com/maps/search/Coffe+Eat/@37.875459299999996,23.865736899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 665 reviews

Name: everest
link: https://www.google.com/maps/search/everest/@37.9381428,23.9494761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: To Perasma
link: https://www.google.com/maps/search/%CE%A4%CE%BF+%CE%A0%CE%AD%CF%81%CE%B1%CF%83%CE%BC%CE%B1/@37.8994813,23.871202099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: everest exclusive
link: https://www.google.com/maps/search/everest+exclusive/@38.0334801,23.7935961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: TRINIDAD O.E.
link: https://www.google.com/maps/search/TRINIDAD+O.E./@37.9897937,23.7045347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.everest.gr/,everest (Ye Zhu ),https://www.google.com/maps/contrib/107694161143222852802,https://lh5.googleusercontent.com/p/AF1QipNuVC4ljFbdc0GyQ1iUugH3Ex7MwJrSCB9Y-xCf=w408-h571-k-no,San Wen Zhi Dian ,"San Wen Zhi Dian , Ka Pei Dian , Kuai Can Dian ",3.9,05:00-21:00,Open All Days,+30 21 0662 1074,"everest, Leof. Vasileos Konstantinou 316, Koropi 194 00Xi La ",Ka Pei ,https://www.google.com/maps/place/everest/data=!4m7!3m6!1s0x14a19142608f93e5:0x7b099fc30ff42a60!8m2!3d37.8935965!4d23.880699!16s%2Fg%2F11cllpcb13!19sChIJ5ZOPYEKRoRQRYCr0D8OfCXs?authuser=0&hl=zh-TW&rclk=1
ChIJbRTB9kaRoRQRBOGqeGrFRxQ,Coffee Berry,,False,312,"Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@37.9005765,23.8728487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 624 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.8990486,23.8736291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Coffee Berry Paianias
link: https://www.google.com/maps/search/Coffee+Berry+%CE%A0%CE%B1%CE%B9%CE%B1%CE%BD%CE%AF%CE%B1%CF%82/@37.9511945,23.862263499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Coffeelicious
link: https://www.google.com/maps/search/Coffeelicious/@37.8992669,23.8630523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: The Koulouraki (Pretzel)
link: https://www.google.com/maps/search/The+Koulouraki+%28Pretzel%29/@37.9016236,23.8724086?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",https://coffeeberry.coffee/,Coffee Berry (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP1nEHJtktXuA73mct3f3-uOX6nikD1z1U8kL-Q=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,06:00-21:00,Open All Days,+30 21 0662 0908,"Coffee Berry, Leof. Vasileos Konstantinou 216, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Coffee+Berry/data=!4m7!3m6!1s0x14a19146f6c1146d:0x1447c56a78aae104!8m2!3d37.899083!4d23.8735951!16s%2Fg%2F11gdt2x3sy!19sChIJbRTB9kaRoRQRBOGqeGrFRxQ?authuser=0&hl=zh-TW&rclk=1
ChIJObNQ8UaRoRQRzKqpZiTaLGQ,Coffee Island,,False,256,"Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@37.9005765,23.8728487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 624 reviews

Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@37.899083,23.8735951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 312 reviews

Name: The Union Cafe
link: https://www.google.com/maps/search/%CE%A4he+Union+Caf%C3%A9/@37.895807399999995,23.8773958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: True coffee
link: https://www.google.com/maps/search/True+coffee/@37.9081194,23.875284999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Coffeelicious
link: https://www.google.com/maps/search/Coffeelicious/@37.8992669,23.8630523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.coffeeisland.gr/?utm_campaign=website&utm_medium=organic&utm_source=google,Coffee Island (Ye Zhu ),https://www.google.com/maps/contrib/110175705401321045893,https://lh5.googleusercontent.com/p/AF1QipMEo7WK5R9AemcTFTSlIwsSNEchNUGDmxrgoo3x=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,06:00-21:00,Open All Days,+30 21 0602 0998,"Coffee Island, Leof. Vasileos Konstantinou 218, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Coffee+Island/data=!4m7!3m6!1s0x14a19146f150b339:0x642cda2466a9aacc!8m2!3d37.8990486!4d23.8736291!16s%2Fg%2F1pty22zrb!19sChIJObNQ8UaRoRQRzKqpZiTaLGQ?authuser=0&hl=zh-TW&rclk=1
ChIJpwd5CEeRoRQR5YvEvmwMezw,Podilato Cafe Snack Bar,,False,245,"Name: Coffee4u
link: https://www.google.com/maps/search/Coffee4u/@37.8985021,23.8816223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: The Koulouraki (Pretzel)
link: https://www.google.com/maps/search/The+Koulouraki+%28Pretzel%29/@37.9016236,23.8724086?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Malloy's cafe bar
link: https://www.google.com/maps/search/Malloy%27s+cafe+bar/@37.9000987,23.8719443?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://www.facebook.com/podilatocafesnackbar/,Podilato Cafe Snack Bar (Ye Zhu ),https://www.google.com/maps/contrib/101129930307758483463,https://lh5.googleusercontent.com/p/AF1QipNkiEERUGYvUvV9-qAzTvtc55F7Heoo-mlmeONF=w427-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:00-02:00,Open All Days,+30 21 0662 7462,"Podilato Cafe Snack Bar, Geor. Papasideri 8, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Podilato+Cafe+Snack+Bar/data=!4m7!3m6!1s0x14a19147087907a7:0x3c7b0c6cbec48be5!8m2!3d37.9004969!4d23.8733972!16s%2Fg%2F11dxm75564!19sChIJpwd5CEeRoRQR5YvEvmwMezw?authuser=0&hl=zh-TW&rclk=1
ChIJjTWYHWiRoRQR4Clnh_h-_VM,Gregory's,,False,239,"Name: Coffe Eat
link: https://www.google.com/maps/search/Coffe+Eat/@37.875459299999996,23.865736899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 665 reviews

Name: Gregores
link: https://www.google.com/maps/search/Gr%C4%93g%C3%B3r%C4%93s/@37.8443253,23.9288456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: GREGORES MIKROGEUMATA
link: https://www.google.com/maps/search/%CE%93%CE%A1%CE%97%CE%93%CE%9F%CE%A1%CE%97%CE%A3+%CE%9C%CE%99%CE%9A%CE%A1%CE%9F%CE%93%CE%95%CE%A5%CE%9C%CE%91%CE%A4%CE%91/@37.970324999999995,23.8789382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",https://www.gregorys.gr/,Gregory's (Ye Zhu ),https://www.google.com/maps/contrib/117331811486063564568,https://lh5.googleusercontent.com/p/AF1QipPpGnk5EKWs0EImMUkiJ5wmsCoaEiqwtcVmGFyG=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Can Ting ",4.3,06:00-18:00,Xing Qi Ri ,+30 21 3040 0400,"Gregory's, 3o khm, Leoforos Koropiou Aerodromiou, Leof. Varis, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Gregory%27s/data=!4m7!3m6!1s0x14a191681d98358d:0x53fd7ef8876729e0!8m2!3d37.8763661!4d23.8659133!16s%2Fg%2F11bx2ldhc2!19sChIJjTWYHWiRoRQR4Clnh_h-_VM?authuser=0&hl=zh-TW&rclk=1
ChIJ33O23Nu9oRQRJmEsuFp0CmU,Coffee Theory,,False,191,"Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@37.899083,23.8735951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 312 reviews

Name: Coffee4u
link: https://www.google.com/maps/search/Coffee4u/@37.8985021,23.8816223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: True coffee
link: https://www.google.com/maps/search/True+coffee/@37.9081194,23.875284999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Coffeelicious
link: https://www.google.com/maps/search/Coffeelicious/@37.8992669,23.8630523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Coffee Theory
link: https://www.google.com/maps/search/Coffee+Theory/@37.8857013,23.8792479?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",http://www.delmocca.gr/,Coffee Theory (Ye Zhu ),https://www.google.com/maps/contrib/109686356906635571623,https://lh5.googleusercontent.com/p/AF1QipPkLoyfYY7sbY7EaqiiKhc9jRz1h7TSPdJg2MGq=w521-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,06:00-18:00,Open All Days,+30 21 0224 0201,"Coffee Theory, Ifestou 1, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Coffee+Theory/data=!4m7!3m6!1s0x14a1bddbdcb673df:0x650a745ab82c6126!8m2!3d37.8857402!4d23.8791363!16s%2Fg%2F11byt7mky6!19sChIJ33O23Nu9oRQRJmEsuFp0CmU?authuser=0&hl=zh-TW&rclk=1
ChIJ6ZkD60ORoRQRjrrrvkhsxXA,Nanou Donuts House Koropi,,False,107,"Name: Nanou Donuts House Paianias
link: https://www.google.com/maps/search/Nanou+Donuts+House+%CE%A0%CE%B1%CE%B9%CE%B1%CE%BD%CE%AF%CE%B1%CF%82/@37.9557761,23.8585161?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Nanou Donuts House Ano Gluphada - Terpsithea
link: https://www.google.com/maps/search/Nanou+Donuts+House+%CE%86%CE%BD%CF%89+%CE%93%CE%BB%CF%85%CF%86%CE%AC%CE%B4%CE%B1+-+%CE%A4%CE%B5%CF%81%CF%88%CE%B9%CE%B8%CE%AD%CE%B1/@37.8941978,23.7632586?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: NANOY DONUTS HOUSE TAUROS
link: https://www.google.com/maps/search/NANOY+DONUTS+HOUSE+%CE%A4%CE%91%CE%A5%CE%A1%CE%9F%CE%A3/@37.9648031,23.6999504?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Nanou Donats House
link: https://www.google.com/maps/search/Nanou+Donats+House/@37.884573499999995,24.0080155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.nanoudonutshouse.com/,Nanou Donuts House Koropi (Ye Zhu ),https://www.google.com/maps/contrib/111239593315008600818,https://lh5.googleusercontent.com/p/AF1QipOvU9R_vs4HxsKCTkPE87Io531xMQbk6dEXiXQn=w426-h240-k-no,Dong Shuai Dian ,Dong Shuai Dian ,4.8,16:00-21:30,Open All Days,+30 694 481 7954,"Nanou Donuts House Koropi, Leof. Vasileos Konstantinou 288, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Nanou+Donuts+House+%CE%9A%CE%BF%CF%81%CF%89%CF%80%CE%AF/data=!4m7!3m6!1s0x14a19143eb0399e9:0x70c56c48beebba8e!8m2!3d37.8955298!4d23.8776027!16s%2Fg%2F11gfmdzb3j!19sChIJ6ZkD60ORoRQRjrrrvkhsxXA?authuser=0&hl=zh-TW&rclk=1
ChIJE_zc9j-RoRQRRgIdavdlbjc,Coffeepoint,,False,84,"Name: Burger Ink
link: https://www.google.com/maps/search/Burger+Ink/@37.8989039,23.8740192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 824 reviews

Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@37.899083,23.8735951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 312 reviews

Name: Dimitris
link: https://www.google.com/maps/search/Dimitris/@37.898334999999996,23.867615999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews

Name: Mighty Oz ~ Coffee - Bites - Snacks
link: https://www.google.com/maps/search/Mighty+Oz+~+Coffee+-+Bites+-+Snacks/@37.9112511,23.8744732?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews",https://coffeepoint-koropi.business.site/,Coffeepoint (Ye Zhu ),https://www.google.com/maps/contrib/107611054938158743679,https://lh5.googleusercontent.com/p/AF1QipNTn9ZsAUsCLcWzIoAlQ7birEZh4C0_Hfdi2LNF=w408-h288-k-no,Wai Dai Ka Pei Zhuan Mai Dian ,"Wai Dai Ka Pei Zhuan Mai Dian , Wai Song Su Di Can Ting ",4.9,06:00-16:00,Open All Days,+30 21 1414 5444,"Coffeepoint, Attikis 18, Koropi 194 00Xi La ",,https://www.google.com/maps/place/Coffeepoint/data=!4m7!3m6!1s0x14a1913ff6dcfc13:0x376e65f76a1d0246!8m2!3d37.9102663!4d23.8743795!16s%2Fg%2F11l7gdg0kg!19sChIJE_zc9j-RoRQRRgIdavdlbjc?authuser=0&hl=zh-TW&rclk=1
ChIJTZhrVEaRoRQRyZ1p8vGupmE,Gregory's,,False,82,"Name: Coffee Berry
link: https://www.google.com/maps/search/Coffee+Berry/@37.899083,23.8735951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 312 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.8990486,23.8736291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: GREGORES MIKROGEUMATA
link: https://www.google.com/maps/search/%CE%93%CE%A1%CE%97%CE%93%CE%9F%CE%A1%CE%97%CE%A3+%CE%9C%CE%99%CE%9A%CE%A1%CE%9F%CE%93%CE%95%CE%A5%CE%9C%CE%91%CE%A4%CE%91/@37.970324999999995,23.8789382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: nico coffee and more
link: https://www.google.com/maps/search/nico+coffee+and+more/@37.8977991,23.8751619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: True coffee
link: https://www.google.com/maps/search/True+coffee/@37.9081194,23.875284999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://www.gregorys.gr/,Gregory's (Ye Zhu ),https://www.google.com/maps/contrib/104882524401183892098,https://lh5.googleusercontent.com/p/AF1QipOnTjyCSVFv7bEKSm_5HZbpobWpT9_7Qz12NLw9=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4,06:00-18:00,Xing Qi Ri ,+30 21 3040 0400,"Gregory's, Varis Koropiou Ave 194, Vari 166 72Xi La ",,https://www.google.com/maps/place/Gregory%27s/data=!4m7!3m6!1s0x14a19146546b984d:0x61a6aef1f2699dc9!8m2!3d37.8517394!4d23.8301801!16s%2Fg%2F12h_d_zj4!19sChIJTZhrVEaRoRQRyZ1p8vGupmE?authuser=0&hl=zh-TW&rclk=1
ChIJx6GWjUKRoRQRD_rMMCLGANg,KAYAK ABEE,,False,80,"Name: La Casa De Crepe
link: https://www.google.com/maps/search/La+Casa+De+Crepe/@37.898288699999995,23.873931799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Rizou
link: https://www.google.com/maps/search/Rizou/@37.8974189,23.8783104?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Kayak - pure magic ice cream
link: https://www.google.com/maps/search/Kayak+-+pure+magic+ice+cream/@37.9709162,23.7301058?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Kayak Ice Cream Store - Psychiko
link: https://www.google.com/maps/search/Kayak+Ice+Cream+Store+-+Psychiko/@38.004472799999995,23.775902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: ELMAK ELEFTHERIOS MAKRIDAKIS- novello chocolate
link: https://www.google.com/maps/search/ELMAK+ELEFTHERIOS+MAKRIDAKIS-+novello+chocolate/@37.8353702,23.790865999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://www.kayak.gr/,KAYAK ABEE (Ye Zhu ),https://www.google.com/maps/contrib/110482139770932471065,https://lh5.googleusercontent.com/p/AF1QipN7YJvVQfIY2nCdZdDh0C1zDC0AmAVl57JBU7CK=w408-h484-k-no,Xue Gao Dian ,Xue Gao Dian ,4.8,09:00-17:00,"Xing Qi Ri , Xing Qi Liu ",+30 21 0662 8464,"KAYAK ABEE, These Alonistra, Litous 15, Koropi 194 00Xi La ",,https://www.google.com/maps/place/KAYAK+%CE%91%CE%92%CE%95%CE%95/data=!4m7!3m6!1s0x14a191428d96a1c7:0xd800c62230ccfa0f!8m2!3d37.8916511!4d23.8784008!16s%2Fg%2F11bbrhgxxj!19sChIJx6GWjUKRoRQRD_rMMCLGANg?authuser=0&hl=zh-TW&rclk=1
