place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwa4rUzqlNzoRY8emWizY3uw,TEA ROOM,,False,18,"Name: Tea Room
link: https://www.google.com/maps/search/Tea+Room/@16.913574399999998,81.6730815?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: The Tea Tree
link: https://www.google.com/maps/search/The+Tea+Tree/@17.0125794,81.7274733?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@17.004894999999998,81.74170099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,TEA ROOM (Ye Zhu ),https://www.google.com/maps/contrib/105758022750933588127,https://lh5.googleusercontent.com/p/AF1QipNUlAgVfct0ZgUbZjbs6MdLRxqiiSqX6viMWEb3=w521-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,24 Xiao Shi Ying Ye ,Open All Days,,"TEA ROOM, ABN DEGREE COLLEGE, G.N.T. Rd, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/TEA+ROOM/data=!4m7!3m6!1s0x3a37a53a532baec1:0xecded82c5aa6c763!8m2!3d17.0233918!4d81.7221233!16s%2Fg%2F11qg5r5pj9!19sChIJwa4rUzqlNzoRY8emWizY3uw?authuser=0&hl=zh-TW&rclk=1
ChIJtzkQSqqlNzoRzInHlKZ5YXI,Icecream wholesale,,False,12,"Name: Sri Vinayaka ice creams
link: https://www.google.com/maps/search/Sri+Vinayaka+ice+creams/@17.023999,81.78373549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Amul dairy products
link: https://www.google.com/maps/search/Amul+dairy+products/@17.0103363,81.7766353?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Vijaya Ice Cream Distributers
link: https://www.google.com/maps/search/Vijaya+Ice+Cream+Distributers/@17.003331,81.783446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Visakha dairy
link: https://www.google.com/maps/search/Visakha+dairy/@17.0151132,81.7328489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Icecream wholesale (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMg3tKAMAx8pK8cvy2QL4hH8D0On2ayr2rOJ3Po=w408-h408-k-no,Xue Gao Dian ,Xue Gao Dian ,4.3,09:30-21:00,Open All Days,,"2PCJ+M5Q Icecream wholesale, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/Icecream+wholesale/data=!4m7!3m6!1s0x3a37a5aa4a1039b7:0x726179a694c789cc!8m2!3d17.0217231!4d81.7304983!16s%2Fg%2F11lh4y69fm!19sChIJtzkQSqqlNzoRzInHlKZ5YXI?authuser=0&hl=zh-TW&rclk=1
ChIJOWmz2T1FNjoRnIeUD710Kes,The Tea Tree,,False,4,"Name: TEA ROOM
link: https://www.google.com/maps/search/TEA+ROOM/@17.0233918,81.72212329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: The tea tree
link: https://www.google.com/maps/search/The+tea+tree/@16.934972899999998,81.67167189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,The Tea Tree (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNdK6sTE_Lqbvx1Z41kLs85qTWWWUpdL8Lgmceg=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.5,08:30-22:00,Open All Days,,"2P7G+2XQ The Tea Tree, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/The+Tea+Tree/data=!4m7!3m6!1s0x3a36453dd9b36939:0xeb2974bd0f94879c!8m2!3d17.0125794!4d81.7274733!16s%2Fg%2F11fn5lzj_f!19sChIJOWmz2T1FNjoRnIeUD710Kes?authuser=0&hl=zh-TW&rclk=1
ChIJfVf0QBmlNzoRpvF32Iv99l4,SRI BHAVANI TEA STALL,,False,3,"Name: TEA ROOM
link: https://www.google.com/maps/search/TEA+ROOM/@17.0233918,81.72212329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: The Tea Tree
link: https://www.google.com/maps/search/The+Tea+Tree/@17.0125794,81.7274733?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@17.004894999999998,81.74170099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,SRI BHAVANI TEA STALL (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMakjMdmVZ5NIIr_Do7UCCeOEtQ7s3FZtsRuQIw=w408-h885-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"2P8J+3X9 SRI BHAVANI TEA STALL, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/SRI+BHAVANI+TEA+STALL/data=!4m7!3m6!1s0x3a37a51940f4577d:0x5ef6fd8bd877f1a6!8m2!3d17.0148166!4d81.7324001!16s%2Fg%2F11pklvcp9_!19sChIJfVf0QBmlNzoRpvF32Iv99l4?authuser=0&hl=zh-TW&rclk=1
ChIJHfLd0NulNzoRsI4oASXHw4w,The Tea Pass,,False,3,"Name: The Tea Tree
link: https://www.google.com/maps/search/The+Tea+Tree/@17.0125794,81.7274733?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: TEA PASS
link: https://www.google.com/maps/search/TEA+PASS/@17.046449,81.84411709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@17.004894999999998,81.74170099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,The Tea Pass (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMXEo3ePrp3X3kqvzYln9Cc6XlHeqbhDsRcWe4r=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"2P9G+8XW The Tea Pass, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/The+Tea+Pass/data=!4m7!3m6!1s0x3a37a5dbd0ddf21d:0x8cc3c72501288eb0!8m2!3d17.0183621!4d81.7274444!16s%2Fg%2F11h_5y5770!19sChIJHfLd0NulNzoRsI4oASXHw4w?authuser=0&hl=zh-TW&rclk=1
ChIJ6aheg6elNzoRqK6hfMc0pGc,Samarlakota,,False,1,"Name: Bangalore Bakery
link: https://www.google.com/maps/search/Bangalore+Bakery/@17.0171962,81.7283465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Mahaveer Bangolore Ayyangar Bakery
link: https://www.google.com/maps/search/Mahaveer+Bangolore+Ayyangar+Bakery/@17.0166276,81.7323368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Just bake
link: https://www.google.com/maps/search/Just+bake/@17.0223808,81.7272673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Samarlakota (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZLVwBCZrFuloImeCkpIsTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=178.30495&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,5,,Open All Days,,"2P7H+F65 Samarlakota, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/Samarlakota/data=!4m7!3m6!1s0x3a37a5a7835ea8e9:0x67a434c77ca1aea8!8m2!3d17.013634!4d81.728107!16s%2Fg%2F11q3myc2z6!19sChIJ6aheg6elNzoRqK6hfMc0pGc?authuser=0&hl=zh-TW&rclk=1
ChIJ57HWuVmlNzoRvWW0XFR9PQg,COFFEE HOUSE,,False,,"Name: TEA ROOM
link: https://www.google.com/maps/search/TEA+ROOM/@17.0233918,81.72212329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: TEA COFFEE SHOP
link: https://www.google.com/maps/search/TEA+COFFEE+SHOP/@17.0101268,81.7735265?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,COFFEE HOUSE (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=efmJYcG7VbB3oLQwX3IKkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.61375&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"COFFEE HOUSE, NEAR, Railway Station Rd, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/COFFEE+HOUSE/data=!4m7!3m6!1s0x3a37a559b9d6b1e7:0x83d7d545cb465bd!8m2!3d17.0125794!4d81.7274733!16s%2Fg%2F11r1xjgjd6!19sChIJ57HWuVmlNzoRvWW0XFR9PQg?authuser=0&hl=zh-TW&rclk=1
ChIJ1aP4_3alNzoRghXlxU3nMYk,Cothas Coffee - Rajmundry,,False,,"Name: Cafe Coffee Day
link: https://www.google.com/maps/search/Caf%C3%A9+Coffee+Day/@17.007437,81.79479959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1725 reviews

Name: The chocolate room
link: https://www.google.com/maps/search/The+chocolate+room/@17.0118019,81.7970297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 703 reviews

Name: SRI Krishna Coffee Works
link: https://www.google.com/maps/search/SRI+Krishna+Coffee+Works/@17.0178996,81.79661879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Tata's Coorg Filter Coffee
link: https://www.google.com/maps/search/Tata%27s+Coorg+Filter+Coffee/@17.026498999999998,81.7844217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Sri Ganesh Tiffen Center
link: https://www.google.com/maps/search/Sri+Ganesh+Tiffen+Center/@16.9943071,81.775978?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cothas Coffee - Rajmundry (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNTeFtiLKkmRYt2m5RQ7EF-_nclKtmTMBsaabaz=w408-h464-k-no,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Cothas Coffee - Rajmundry, No. 44-22-19, Bradi Peta, Revenue Ward No. 26 Tadithota, Bypass Rd, Rajamahendravaram, Andhra Pradesh 533103Yin Du ",,https://www.google.com/maps/place/Cothas+Coffee+-+Rajmundry/data=!4m7!3m6!1s0x3a37a576fff8a3d5:0x8931e74dc5e51582!8m2!3d17.0087928!4d81.7356909!16s%2Fg%2F11sgcbcgpm!19sChIJ1aP4_3alNzoRghXlxU3nMYk?authuser=0&hl=zh-TW&rclk=1
ChIJT3iCqNGlNzoRAAAAcOPh8SA,Sravanthi Milk Dairy,,False,,"Name: Maha Lakshmi Dairy
link: https://www.google.com/maps/search/Maha+Lakshmi+Dairy/@16.9953772,81.7718752?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Sri Lakshmi Kovvuramma Milk Dairy
link: https://www.google.com/maps/search/Sri+Lakshmi+Kovvuramma+Milk+Dairy/@17.0168755,81.7314988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mahabub Subani Tea & Coffe Stall
link: https://www.google.com/maps/search/Mahabub+Subani+Tea+%26+Coffe+Stall/@17.0166643,81.7303661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Sangam Dairy
link: https://www.google.com/maps/search/Sangam+Dairy/@17.0023362,81.7420822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Sravanthi Milk Dairy (Ye Zhu ),https://www.google.com/maps/contrib/116229378214443501860,https://lh5.googleusercontent.com/p/AF1QipNN8SHJtJAJV4lPlMGyneg8bMRqnIDiFIz0KyVH=w408-h725-k-no,Xue Gao Dian ,Xue Gao Dian ,,06:00-22:00,Open All Days,+91 82474 61569,"Sravanthi Milk Dairy, AVR Complex, Main Road, near Rtc Complex, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/Sravanthi+Milk+Dairy/data=!4m7!3m6!1s0x3a37a5d1a882784f:0x20f1e1e370000000!8m2!3d17.0181918!4d81.7274196!16s%2Fg%2F11s0fjxpjx!19sChIJT3iCqNGlNzoRAAAAcOPh8SA?authuser=0&hl=zh-TW&rclk=1
ChIJ0Ubm_hWlNzoRNAR13twqbiM,Srinivas chowdary,,False,,"Name: VENNELA FAMILY RESTUARENT
link: https://www.google.com/maps/search/VENNELA+FAMILY+RESTUARENT/@17.0184259,81.7276432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Paradize Restaurant
link: https://www.google.com/maps/search/Paradize+Restaurant/@17.0172618,81.7289498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Sri Sivadurga Chicken Pakoda Center
link: https://www.google.com/maps/search/Sri+Sivadurga+Chicken+Pakoda+Center/@17.013008799999998,81.7276116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Srinivas chowdary (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-ApTLCRiA8P7v4-BAgJsInGbaqnzcYrcwH3yq=w506-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",,,Open All Days,,"2P7G+2PJ Srinivas chowdary, Kovvur, Andhra Pradesh 534350Yin Du ",,https://www.google.com/maps/place/Srinivas+chowdary/data=!4m7!3m6!1s0x3a37a515fee646d1:0x236e2adcde750434!8m2!3d17.0125812!4d81.7267534!16s%2Fg%2F11fjvwsl6t!19sChIJ0Ubm_hWlNzoRNAR13twqbiM?authuser=0&hl=zh-TW&rclk=1
