place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJBTrleTBZpjsRrbMh3BwL7pU,Sixth Avenue Cafe,,False,3115,"Name: Dr. Cafe
link: https://www.google.com/maps/search/Dr.+Cafe/@11.2698004,75.8437823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1880 reviews

Name: Happy Cup Cafe
link: https://www.google.com/maps/search/Happy+Cup+Cafe/@11.258374199999999,75.7742883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Chaiger
link: https://www.google.com/maps/search/Chaiger/@11.259087,75.7758486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: LAVESTA CAFE
link: https://www.google.com/maps/search/LAVESTA+CAFE/@11.2608537,75.7875183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://facebook.com/6thavenuecafe,Sixth Avenue Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100973320729823446775,https://lh5.googleusercontent.com/p/AF1QipPtcIcuY2M5tQK_57sod0tYTQjU7CixO1ZSTpwm=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.2,13:00-23:30,Open All Days,+91 90209 02096,"Sixth Avenue Cafe, Baby Arcade, PT Usha Rd, opposite Taj Gateway Hotel, 4th Gate, Vellayil, Kozhikode, Kerala 673032Yin Du ","Zhuang Xiu , mojito, Niu Pai , Qian Ceng Mian , Zhu Cai , mocktail, Lang Man ",https://www.google.com/maps/place/Sixth+Avenue+Cafe/data=!4m7!3m6!1s0x3ba6593079e53a05:0x95ee0b1cdc21b3ad!8m2!3d11.2583654!4d75.7751162!16s%2Fg%2F11b6stqq4f!19sChIJBTrleTBZpjsRrbMh3BwL7pU?authuser=0&hl=zh-TW&rclk=1
ChIJ8xxGQk9ZpjsRQfSh1Ei4GBQ,Indian Coffee House,,False,2448,"Name: Topform Restaurant Kozhikode
link: https://www.google.com/maps/search/Topform+Restaurant+Kozhikode/@11.2586091,75.7821708?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8186 reviews

Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2482741,75.78378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 558 reviews

Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2752555,75.8378182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 422 reviews

Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2545036,75.7715791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews",https://www.indiancoffeehousekannur.com/branch-calicut.php,Indian Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMaPl0lU5Q1gY2JoKqWTw2ZMjgOXb_03KqyTQKm=w426-h240-k-no,Nan Yin Du Can Ting ,"Nan Yin Du Can Ting , Zao Can Can Ting , Ka Pei Dian , Kuai Can Dian , Yin Du Can Ting ",3.9,07:00-22:00,Open All Days,+91 495 272 3291,"Indian Coffee House, Maniyattukudi, 5/2250, 1st, Mavoor Rd, Arayidathupalam, Kozhikode, Kerala 673004Yin Du ","Rou Kuai , Gong Che , Ka Pei Ting , Jing Ji , Jiang , Ting Che Wei , Dan , Zhong Wu , Huai Jiu ",https://www.google.com/maps/place/Indian+Coffee+House/data=!4m7!3m6!1s0x3ba6594f42461cf3:0x1418b848d4a1f441!8m2!3d11.2597375!4d75.7848793!16s%2Fg%2F11g6wbkt2b!19sChIJ8xxGQk9ZpjsRQfSh1Ei4GBQ?authuser=0&hl=zh-TW&rclk=1
ChIJm7aSQ75bpjsRwiNuuCQWLp8,Hug A Mug,,False,1944,"Name: Bun Club
link: https://www.google.com/maps/search/Bun+Club/@11.2590995,75.78876679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1558 reviews

Name: Happy Cup Cafe
link: https://www.google.com/maps/search/Happy+Cup+Cafe/@11.258374199999999,75.7742883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@11.2662503,75.80555989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews

Name: Chaiger
link: https://www.google.com/maps/search/Chaiger/@11.259087,75.7758486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews",http://www.hugamug.in/,Hug A Mug (Ye Zhu ),https://www.google.com/maps/contrib/102448761549446994541,https://lh5.googleusercontent.com/p/AF1QipPK-DjEPmcbrZPH8c664PDXVFAYnVeLNINk5n76=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Xi Bing Dian ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+91 81578 28282,"Hug A Mug, HiLITE City, HiLITE Business Park, Ground, Bypass, Thondayad, Kozhikode, Kerala 673014Yin Du ","Wan Shang , Hui Yi , Sheng Yi , Liao Tian , mojito, He Ping , Ye , Yin Si , Niu Nai Tang ",https://www.google.com/maps/place/Hug+A+Mug/data=!4m7!3m6!1s0x3ba65bbe4392b69b:0x9f2e1624b86e23c2!8m2!3d11.2479065!4d75.8331597!16s%2Fg%2F11bxfqvn8m!19sChIJm7aSQ75bpjsRwiNuuCQWLp8?authuser=0&hl=zh-TW&rclk=1
ChIJJ0bQsYdbpjsRUVYg4X14RYU,Dr. Cafe,,False,1881,"Name: Cafficana
link: https://www.google.com/maps/search/Cafficana/@11.2527131,75.828226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1827 reviews

Name: 'Nother Fine Day Cafe
link: https://www.google.com/maps/search/%27Nother+Fine+Day+Cafe/@11.2706818,75.8371887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 512 reviews

Name: Mac's cafe
link: https://www.google.com/maps/search/Mac%27s+cafe/@11.2651518,75.787114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 444 reviews

Name: Cafe Diary
link: https://www.google.com/maps/search/Caf%C3%A8+Diary/@11.249741499999999,75.7815956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews",https://m.facebook.com/drcafe.clt/,Dr. Cafe (Ye Zhu ),https://www.google.com/maps/contrib/109761795075856751598,https://lh5.googleusercontent.com/p/AF1QipNol0uVZzy1ltNs1vxmzI5dYFHbseVEAFtNkanw=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Ka Pei Dian , Han Bao Can Ting , Yi Da Li Can Ting , Bo Bing Can Ting ",4.1,12:00-23:00,Open All Days,+91 98465 76576,"Dr. Cafe, Kozhikode - Mavoor - Areacode Rd, Velliparamba, Kozhikode, Kerala 673008Yin Du ","Zhuang Xiu , Xue Yuan , mojito, Qia Bu Qi Nuo , Zong Hui San Ming Zhi , Ting Che Wei , You Xi ",https://www.google.com/maps/place/Dr.+Cafe/data=!4m7!3m6!1s0x3ba65b87b1d04627:0x8545787de1205651!8m2!3d11.2698004!4d75.8437823!16s%2Fg%2F11f3m9pxp8!19sChIJJ0bQsYdbpjsRUVYg4X14RYU?authuser=0&hl=zh-TW&rclk=1
ChIJDxI3iuRbpjsRVCemRTbf_N4,Cafficana,,False,1828,"Name: Dr. Cafe
link: https://www.google.com/maps/search/Dr.+Cafe/@11.2698004,75.8437823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1880 reviews

Name: Happy Cup Cafe
link: https://www.google.com/maps/search/Happy+Cup+Cafe/@11.258374199999999,75.7742883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Mac's cafe
link: https://www.google.com/maps/search/Mac%27s+cafe/@11.2651518,75.787114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 444 reviews

Name: Candid Resto cafe
link: https://www.google.com/maps/search/Candid+Resto+cafe/@11.262282599999999,75.8097231?authuser=0&hl=zh-TW&entry=ttu
Reviews: 298 reviews

Name: Cafe Al Bacio
link: https://www.google.com/maps/search/Cafe+Al+Bacio/@11.256265,75.8031889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",https://cafficana.com/,Cafficana (Ye Zhu ),https://www.google.com/maps/contrib/111817736541489169017,https://lh5.googleusercontent.com/p/AF1QipPuPQbW4t2HZ3dz0HS8UbUS8JZf9HdD1Tdjmsb6=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Han Bao Can Ting , Yi Da Li Can Ting , Mo Xi Ge Can Ting , Bo Bing Can Ting , Mei Shi Niu Ba Wu ",4.3,12:00-00:00,Open All Days,+91 79028 89998,"Cafficana, Bypass, near UL Cyber Park, Thondayad, Kozhikode, Kerala 673016Yin Du ","Pi Sa , Niu Pai , Ji Rou , Shu Liang , Gao Su Gong Lu , Ting Che Wei , Wei Lei ",https://www.google.com/maps/place/Cafficana/data=!4m7!3m6!1s0x3ba65be48a37120f:0xdefcdf3645a62754!8m2!3d11.2527131!4d75.828226!16s%2Fg%2F11j0bnsczj!19sChIJDxI3iuRbpjsRVCemRTbf_N4?authuser=0&hl=zh-TW&rclk=1
ChIJ0_5a17lepjsRKf0ZnzNqFYw,Bun Club,,False,1559,"Name: Brown Town - Paragon Restaurant
link: https://www.google.com/maps/search/Brown+Town+-+Paragon+Restaurant/@11.2614355,75.8090914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1959 reviews

Name: Happy Cup Cafe
link: https://www.google.com/maps/search/Happy+Cup+Cafe/@11.258374199999999,75.7742883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Cafe Mavoor
link: https://www.google.com/maps/search/Cafe+Mavoor/@11.2599643,75.7885276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Carabelle Cafe
link: https://www.google.com/maps/search/Carabelle+Cafe/@11.2609338,75.7805439?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.bunclub.com/,Bun Club (Ye Zhu ),https://www.google.com/maps/contrib/101115003709058279214,//lh6.googleusercontent.com/RQKNFFM5acS2jUFcaWraEgDUgT5khbRA09u5Ez-S3mYcOU3nBjXCkWxAhBgkfW5oVQ=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4,08:30-02:00,Open All Days,+91 90611 49111,"Bun Club, Asma Tower, Mavoor Rd, Arayidathupalam, Kozhikode, Kerala 673004Yin Du ","Han Bao , Liu Sha Bao , Gao , Tian Tian Quan , Nei Xian , Shu Liang , Zhi Kao , Xin , mojito",https://www.google.com/maps/place/Bun+Club/data=!4m7!3m6!1s0x3ba65eb9d75afed3:0x8c156a339f19fd29!8m2!3d11.2590995!4d75.7887668!16s%2Fg%2F11b7k3bpx7!19sChIJ0_5a17lepjsRKf0ZnzNqFYw?authuser=0&hl=zh-TW&rclk=1
ChIJi4cF1LlepjsRc4OECn-by38,Bun Club,,False,1076,"Name: Brown Town - Paragon Restaurant
link: https://www.google.com/maps/search/Brown+Town+-+Paragon+Restaurant/@11.2614355,75.8090914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1959 reviews

Name: Calicut Bakes And Cafe
link: https://www.google.com/maps/search/Calicut+Bakes+And+Cafe/@11.2862242,75.79371549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: HOT BUNS - Bakery & Restaurant
link: https://www.google.com/maps/search/HOT+BUNS+-+Bakery+%26+Restaurant/@11.2928128,75.8184122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",http://www.bunclub.com/,Bun Club (Ye Zhu ),https://www.google.com/maps/contrib/114440668953260792057,https://lh5.googleusercontent.com/p/AF1QipMePvBa3hOrKzAElMs77cI99di2XAyNIwyDX7hU=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Dong Shuai Dian , Can Ting ",4,11:00-23:00,Open All Days,+91 81130 83000,"Bun Club, Vee Pee Space, Wayanad Road, Eranhipalam - Karaparamba Canal Side Rd, near State Bank Of India ATM, Kozhikode, Kerala 673020Yin Du ","Han Bao , Gao , Ji Rou , Niu Pai , Liu Sha Bao , mojito, Hui Yi , Tian Tian Quan ",https://www.google.com/maps/place/Bun+Club/data=!4m7!3m6!1s0x3ba65eb9d405878b:0x7fcb9b7f0a848373!8m2!3d11.2808264!4d75.7868923!16s%2Fg%2F11c2r5bnvf!19sChIJi4cF1LlepjsRc4OECn-by38?authuser=0&hl=zh-TW&rclk=1
ChIJoz9EMH9ZpjsRa2NCtsyZM0A,LADY LOAFELLA,,False,898,"Name: Kadalas Cafe
link: https://www.google.com/maps/search/Kadalas+Cafe/@11.247750199999999,75.7726064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3328 reviews

Name: LAVESTA CAFE
link: https://www.google.com/maps/search/LAVESTA+CAFE/@11.2608537,75.7875183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",https://ladyloafella.com/,LADY LOAFELLA (Ye Zhu ),https://www.google.com/maps/contrib/106475585989622809978,https://lh5.googleusercontent.com/p/AF1QipMOT4kS98Y1WA40-vktqbV7rqq1TjOEl0V_uemt=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Chuan Zhu Dian , Ka Pei Dian , Jia Ting Can Ting , Qing Zhen Can Ting , Yi Da Li Can Ting , Yi Da Li Mian Shi Dian , Can Ting , Sha Lu Dian ",4.4,13:00-23:00,Open All Days,+91 92071 11777,"LADY LOAFELLA, opp. R.K Mission High School, Meenchanda, Kozhikode, Kerala 673018Yin Du ","Ke Song , Kuan Mian Tiao , Niu Rou , Suan Zhong , Mi Die Xiang , mojito, Qiu Qian ",https://www.google.com/maps/place/LADY+LOAFELLA/data=!4m7!3m6!1s0x3ba6597f30443fa3:0x403399ccb642636b!8m2!3d11.2190306!4d75.7940554!16s%2Fg%2F11skjwx324!19sChIJoz9EMH9ZpjsRa2NCtsyZM0A?authuser=0&hl=zh-TW&rclk=1
ChIJv-vVvn5ZpjsRcMyS2Dsnng4,Barish Coffee Restaurant,,False,777,"Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2597375,75.7848793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2446 reviews

Name: Bun Club
link: https://www.google.com/maps/search/Bun+Club/@11.2590995,75.78876679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1558 reviews

Name: Cafe Diary
link: https://www.google.com/maps/search/Caf%C3%A8+Diary/@11.249741499999999,75.7815956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews

Name: Barish Coffee
link: https://www.google.com/maps/search/Barish+Coffee/@11.2523394,75.78728749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://barishcoffee.com/,Barish Coffee Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/101635665353224908724,https://lh5.googleusercontent.com/p/AF1QipP5rwx7YY2_9Q9u8ZtRo8uFvyfzUF9tGLjP0-k4=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Ya Zhou Cai Can Ting , Xiao Can Guan  (Bistro), Ka Pei Ting , Ka Pei Dian , Gong Yuan ",3.8,10:00-00:00,Open All Days,+91 85473 22927,"Barish Coffee Restaurant, Manari Road, Junction, Mini Bypass Rd, Thiruvannur, Kozhikode, Kerala 673029Yin Du ","Jia Ge , Zha Ji , Zi Ran , Fan Dian , Shu Liang , Xiao Chi , Ting Che , Zhu Can ",https://www.google.com/maps/place/Barish+Coffee+Restaurant/data=!4m7!3m6!1s0x3ba6597ebed5ebbf:0xe9e273bd892cc70!8m2!3d11.2299124!4d75.8019069!16s%2Fg%2F11f_clzhhc!19sChIJv-vVvn5ZpjsRcMyS2Dsnng4?authuser=0&hl=zh-TW&rclk=1
ChIJLx8XCkBZpjsRvE7XKlk2mYw,Indian Coffee House,,False,559,"Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2597375,75.7848793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2446 reviews

Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2752555,75.8378182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 422 reviews

Name: Indian Coffee House
link: https://www.google.com/maps/search/Indian+Coffee+House/@11.2545036,75.7715791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews

Name: Indian coffee house
link: https://www.google.com/maps/search/Indian+coffee+house/@11.254973399999999,75.7843948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.indiancoffeehousekannur.com/,Indian Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOu7WMwuGjO8nnSk3NxbHywoBXZBPQ9w1MkBMH1=w408-h306-k-no,Nan Yin Du Can Ting ,"Nan Yin Du Can Ting , Zao Can Can Ting , Ka Pei Ting , Ka Pei Dian , Yin Du Can Ting ",3.7,06:00-22:00,Open All Days,+91 495 230 6819,"Ground Floor, Indian Coffee House, Imperial Building, Palayam Rd, Palayam, Kozhikode, Kerala 673002Yin Du ","Jia Ge , Yu Suan , Fan Dian , Jing Ji , Qing Jie , Wei Sheng , Rou Kuai , Ka Pei Ting ",https://www.google.com/maps/place/Indian+Coffee+House/data=!4m7!3m6!1s0x3ba659400a171f2f:0x8c9936592ad74ebc!8m2!3d11.2482741!4d75.78378!16s%2Fg%2F11x9m6y6n!19sChIJLx8XCkBZpjsRvE7XKlk2mYw?authuser=0&hl=zh-TW&rclk=1
