place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJyYtWppWNkTMRSJukRT7D8oo,El Union Coffee,,False,1153,"Name: Clean Beach Coffee
link: https://www.google.com/maps/search/Clean+Beach+Coffee/@16.66211,120.32384699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 497 reviews

Name: The Coffee Library
link: https://www.google.com/maps/search/The+Coffee+Library/@16.6563141,120.3211403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: Dal-luyon Cafe
link: https://www.google.com/maps/search/Dal-luyon+Caf%C3%A9/@16.661411299999997,120.32583019999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Little Cat Coffee
link: https://www.google.com/maps/search/Little+Cat+Coffee/@16.662159799999998,120.3241195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Coffee Spot San Juan La Union
link: https://www.google.com/maps/search/Coffee+Spot+San+Juan+La+Union/@16.6572459,120.32169929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.elunioncoffee.com/,El Union Coffee (Ye Zhu ),https://www.google.com/maps/contrib/115401483390467928004,https://lh5.googleusercontent.com/p/AF1QipOiaxLI1dn9cJ5Xa1N5GkohsR4KpVEJ5eumF4KZ=w462-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.4,08:00-18:00,Xing Qi San ,+63 945 483 4825,"M85C+VVW El Union Coffee, MacArthur National Highway, San Juan, La Union, Fei Lu Bin ","Sha Tan , Song Bing , Yin Du Nai Cha ",https://www.google.com/maps/place/El+Union+Coffee/data=!4m7!3m6!1s0x33918d95a6568bc9:0x8af2c33e45a49b48!8m2!3d16.6596426!4d120.3223926!16s%2Fg%2F11bzrbhx34!19sChIJyYtWppWNkTMRSJukRT7D8oo?authuser=0&hl=zh-TW&rclk=1
ChIJp0NphJaNkTMRA0hk24BqSHQ,Clean Beach Coffee,,False,499,"Name: El Union Coffee
link: https://www.google.com/maps/search/El+Union+Coffee/@16.659642599999998,120.3223926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1152 reviews

Name: The Coffee Library
link: https://www.google.com/maps/search/The+Coffee+Library/@16.6563141,120.3211403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: Coast Call Kitchen and Bar
link: https://www.google.com/maps/search/Coast+Call+Kitchen+and+Bar/@16.656886099999998,120.320124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: Makai Bowls
link: https://www.google.com/maps/search/Makai+Bowls/@16.6597814,120.32196829999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Dal-luyon Cafe
link: https://www.google.com/maps/search/Dal-luyon+Caf%C3%A9/@16.661411299999997,120.32583019999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",http://www.instagram.com/cleanbeachco,Clean Beach Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107641175916073527806,https://lh5.googleusercontent.com/p/AF1QipO4CUj_JnnkmhEFUM-3BEBPC6g_QRCBHBn1eSwt=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.5,07:00-20:00,Open All Days,,"Clean Beach Coffee, 134 Beachfront, MacArthur Highway,, Brgy. Urbiztondo, San Juan, 2514 La Union, Fei Lu Bin ","Ka Ye Tu Si , Ji Rou , Ting Che , wifi, Song Bing , Han Bao , Xi Yang , Bo ",https://www.google.com/maps/place/Clean+Beach+Coffee/data=!4m7!3m6!1s0x33918d96846943a7:0x74486a80db644803!8m2!3d16.66211!4d120.323847!16s%2Fg%2F11gd67csm9!19sChIJp0NphJaNkTMRA0hk24BqSHQ?authuser=0&hl=zh-TW&rclk=1
ChIJjwmZyDSPkTMRrxNvCJQfuNs,Starbucks San Fernando La Union (Drive thru),"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,184,"Name: Vis-a-vis San Fernando City, La Union
link: https://www.google.com/maps/search/Vis-a-vis+San+Fernando+City%2C+La+Union/@16.6152856,120.31515700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Beanleaf Coffee and Tea La Union
link: https://www.google.com/maps/search/Beanleaf+Coffee+and+Tea+La+Union/@16.6198713,120.3169309?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Take Off Milktea
link: https://www.google.com/maps/search/Take+Off+Milktea/@16.6036389,120.31954850000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe Tribu ELYU
link: https://www.google.com/maps/search/Cafe+Tribu+ELYU/@16.6359983,120.31241219999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.starbucks.ph/,Starbucks San Fernando La Union (Drive thru) (Ye Zhu ),https://www.google.com/maps/contrib/101971081708239952956,https://lh5.googleusercontent.com/p/AF1QipOXtBtS2-eGgmJmroVeA_ZLwSn1uvCKvDKHNPhm=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,06:00-00:00,Open All Days,+63 72 687 7062,"Starbucks San Fernando La Union (Drive thru), MacArthur Hi-way Brgy cor, Guerrero Rd, San Fernando, La Union, Fei Lu Bin ","Ting Che , Na Tie , wifi, Ke Fu , Ka Pei Shi , Xun Hao , Yun Qi , Mian Ji ",https://www.google.com/maps/place/Starbucks+San+Fernando+La+Union+%28Drive+thru%29/data=!4m7!3m6!1s0x33918f34c899098f:0xdbb81f94086f13af!8m2!3d16.6120944!4d120.3168493!16s%2Fg%2F11t7148mz4!19sChIJjwmZyDSPkTMRrxNvCJQfuNs?authuser=0&hl=zh-TW&rclk=1
ChIJGSJQTziFkTMRTbfhGphTiiU,Kwalitea Cafe,,False,39,"Name: Greater Food Avenue
link: https://www.google.com/maps/search/Greater+Food+Avenue/@16.5325971,120.32913629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Uvas Cafe
link: https://www.google.com/maps/search/Uvas+Cafe/@16.4634981,120.33581170000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Oh LolliCup
link: https://www.google.com/maps/search/Oh+LolliCup/@16.5347175,120.3279596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Alwe's kitchen
link: https://www.google.com/maps/search/Alwe%27s+kitchen/@16.5217355,120.33346089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.facebook.com/kwaliteacafe,Kwalitea Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMxcvEmO3WeJRQyyXOds9jMsc9A0nP4wnY-QcBD=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",3.8,09:00-17:00,Xing Qi Ri ,+63 72 888 0912,"G8GJ+P3M Kwalitea Cafe, Central East, Bauang, La Union, Fei Lu Bin ",Nai Cha ,https://www.google.com/maps/place/Kwalitea+Cafe/data=!4m7!3m6!1s0x339185384f502219:0x258a53981ae1b74d!8m2!3d16.5268321!4d120.3301785!16s%2Fg%2F11g6ttx98c!19sChIJGSJQTziFkTMRTbfhGphTiiU?authuser=0&hl=zh-TW&rclk=1
ChIJh9GgHfB3kTMRGN1NcZhcG8Q,LA CREMA CAFE,,False,35,"Name: Ice Tea Rue Restaurant
link: https://www.google.com/maps/search/Ice+Tea+Rue+Restaurant/@16.3169872,120.36820759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Mixed Milk Tea
link: https://www.google.com/maps/search/Mixed+Milk+Tea/@16.3237228,120.36919909999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Cafemalaya
link: https://www.google.com/maps/search/Caf%C3%A8malaya/@16.3235617,120.3695175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: The Edge Agoo
link: https://www.google.com/maps/search/The+Edge+Agoo/@16.345248899999998,120.34427840000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Dreamer's Cafe
link: https://www.google.com/maps/search/Dreamer%27s+Caf%C3%A9/@16.3235243,120.36792949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/lacremacafe.ph,LA CREMA CAFE (Ye Zhu ),https://www.google.com/maps/contrib/106411815473790816657,https://lh5.googleusercontent.com/p/AF1QipPq0UfWV2ckYMiCNcpbHCHDmco0a9uY1eC0o29k=w408-h510-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.5,09:30-19:00,Open All Days,+63 915 445 1636,"LA CREMA CAFE, B and D Building, Agoo, La Union, Fei Lu Bin ",Ka Pei ,https://www.google.com/maps/place/LA+CREMA+CAFE/data=!4m7!3m6!1s0x339177f01da0d187:0xc41b5c98714ddd18!8m2!3d16.3215996!4d120.3674917!16s%2Fg%2F11fsr_vbdt!19sChIJh9GgHfB3kTMRGN1NcZhcG8Q?authuser=0&hl=zh-TW&rclk=1
ChIJq5dbadhzkTMRmZ--1AbNLKA,9BAR Cafe,,False,31,"Name: The Coffee Library Rosario LU
link: https://www.google.com/maps/search/The+Coffee+Library+Rosario+LU/@16.2212006,120.5037431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Cafe Bliss
link: https://www.google.com/maps/search/Caf%C3%A9+Bliss/@16.2258516,120.49863640000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Cyber Tea Amlang
link: https://www.google.com/maps/search/Cyber+Tea+Amlang/@16.2322965,120.4371897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Coffee Box
link: https://www.google.com/maps/search/Coffee+Box/@16.2410976,120.4060237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/profile.php%3Fid%3D100083535677718,9BAR Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNWkIJKhi923pN1wBPrd1D5HzcMdVhciUW-Lr3j=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,07:00-23:00,Open All Days,+63 981 258 1579,"6FF2+CP8 9BAR Cafe, RH 7, Rosario, La Union, Fei Lu Bin ",,https://www.google.com/maps/place/9BAR+Cafe/data=!4m7!3m6!1s0x339173d8695b97ab:0xa02ccd06d4be9f99!8m2!3d16.2235467!4d120.4516856!16s%2Fg%2F11s9w17yj0!19sChIJq5dbadhzkTMRmZ--1AbNLKA?authuser=0&hl=zh-TW&rclk=1
ChIJ7-SaT3FzkTMRClxmVidh7OU,Dunkin',,False,31,"Name: Dunkin'
link: https://www.google.com/maps/search/Dunkin%27/@16.52795,120.3299277?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Dunkin' Donuts
link: https://www.google.com/maps/search/Dunkin%27+Donuts/@16.6182522,120.31567849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Dunkin Donuts Perez Blvd
link: https://www.google.com/maps/search/Dunkin+Donuts+Perez+Blvd/@16.0401476,120.33798200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Dunkin' - Robinsons La Union
link: https://www.google.com/maps/search/Dunkin%27+-+Robinsons+La+Union/@16.6006356,120.31882960000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://web.facebook.com/dexterorientecariaga,Dunkin' (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNAB5yzww5aW1gUqvVCB7d__hnYfWrqZZ048y62=w408-h543-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,06:00-21:00,Open All Days,,"6FFC+PP3 Dunkin', Rosario, La Union, Fei Lu Bin ",Ting Che ,https://www.google.com/maps/place/Dunkin%27/data=!4m7!3m6!1s0x339173714f9ae4ef:0xe5ec612756665c0a!8m2!3d16.2245428!4d120.4717314!16s%2Fg%2F11sdf47jw8!19sChIJ7-SaT3FzkTMRClxmVidh7OU?authuser=0&hl=zh-TW&rclk=1
ChIJTW-iQHKNkTMRdy615scx0qg,Stream of Consciousness,,False,20,,http://www.instagram.com/streamofconsciousnescoffee,Stream of Consciousness (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNtc5inhCNym0OftL1YK8B6FmTlL43UNbxnqjuU=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,,Open All Days,,"M85F+53X Stream of Consciousness, MacArthur Hwy, San Fernando, La Union, Fei Lu Bin ","Han Bao , Na Tie ",https://www.google.com/maps/place/Stream+of+Consciousness/data=!4m7!3m6!1s0x33918d7240a26f4d:0xa8d231c7e6b52e77!8m2!3d16.6580418!4d120.3224477!16s%2Fg%2F11ty5kr_xm!19sChIJTW-iQHKNkTMRdy615scx0qg?authuser=0&hl=zh-TW&rclk=1
ChIJ09j2hbSNkTMR1NntxUeEng4,Irugi Coffee,,False,18,"Name: El Union Coffee
link: https://www.google.com/maps/search/El+Union+Coffee/@16.659642599999998,120.3223926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1152 reviews

Name: Dal-luyon Cafe
link: https://www.google.com/maps/search/Dal-luyon+Caf%C3%A9/@16.661411299999997,120.32583019999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Dailydose Cafe Elyu
link: https://www.google.com/maps/search/Dailydose+Cafe+Elyu/@16.6621992,120.335168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Tea Farms San Juan
link: https://www.google.com/maps/search/Tea+Farms+San+Juan/@16.660771399999998,120.3269086?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Kape De Arko
link: https://www.google.com/maps/search/Kape+De+Arko/@16.669011299999998,120.3365087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://instagram.com/irugicoffee,Irugi Coffee (Ye Zhu ),https://www.google.com/maps/contrib/116205708599692815714,https://lh5.googleusercontent.com/p/AF1QipMb52rOorEsDSpr_bk8iUJGs7iNGVUV7V9YwaY=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,08:00-16:00,Open All Days,+63 977 210 2490,"Irugi Coffee, Brgy, Arbor Village, Irugi Coffee Bldg, Maria Cristina, San Juan, 2514 La Union, Fei Lu Bin ",,https://www.google.com/maps/place/Irugi+Coffee/data=!4m7!3m6!1s0x33918db485f6d8d3:0xe9e8447c5edd9d4!8m2!3d16.6725371!4d120.3367399!16s%2Fg%2F11rt1hnsf0!19sChIJ09j2hbSNkTMR1NntxUeEng4?authuser=0&hl=zh-TW&rclk=1
ChIJZQHhJISPkTMRj8swae8jpOg,Beanleaf Coffee and Tea La Union,,False,15,"Name: Cafe Esperanza
link: https://www.google.com/maps/search/Cafe+Esperanza/@16.615291,120.31739639999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Vis-a-vis San Fernando City, La Union
link: https://www.google.com/maps/search/Vis-a-vis+San+Fernando+City%2C+La+Union/@16.6152856,120.31515700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: The Cabean
link: https://www.google.com/maps/search/The+Cabean/@16.6045448,120.3056075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Pot & Pantry
link: https://www.google.com/maps/search/Pot+%26+Pantry/@16.5900553,120.3197101?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Hatched Brews & Chews
link: https://www.google.com/maps/search/Hatched+Brews+%26+Chews/@16.6181526,120.315658?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/Beanleaf-SFC-La-Union-111349560473497,Beanleaf Coffee and Tea La Union (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipObx2R6J8eOWpiO8vgltFC4ggeM_YkzrjnpHUIR=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,09:00-18:00,Open All Days,+63 939 905 4172,"J898+WQV Beanleaf Coffee and Tea La Union, San Fernando, La Union, Fei Lu Bin ",,https://www.google.com/maps/place/Beanleaf+Coffee+and+Tea+La+Union/data=!4m7!3m6!1s0x33918f8424e10165:0xe8a423ef6930cb8f!8m2!3d16.6198713!4d120.3169309!16s%2Fg%2F11kmf7cycg!19sChIJZQHhJISPkTMRj8swae8jpOg?authuser=0&hl=zh-TW&rclk=1
