place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSYxF9ZkrHzkRa73POS3ssiE,Dildar Barfi House,,False,8,"Name: Allah Ditta Barfi Eminabad wali, A.D barfi
link: https://www.google.com/maps/search/Allah+Ditta+Barfi+Eminabad+wali%2C+A.D+barfi/@32.093831699999996,74.20058929999999?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Muhammadia Milk and Sweet Shop (MMSS)
link: https://www.google.com/maps/search/Muhammadia+Milk+and+Sweet+Shop+%28MMSS%29/@32.1127603,74.1764578?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Emanabadi Barfi
link: https://www.google.com/maps/search/Emanabadi+Barfi/@32.1844707,74.1882391?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Eminabadi barfi & sweets
link: https://www.google.com/maps/search/Eminabadi+barfi+%26+sweets/@32.1775018,74.202272?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Bilal Sweets
link: https://www.google.com/maps/search/Bilal+Sweets/@32.1569883,74.1161278?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",https://dildar-barfi-house.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Dildar Barfi House (eigenaar),https://www.google.com/maps/contrib/102888748198916987060,https://lh5.googleusercontent.com/p/AF1QipOvtrYipkSVUE1DQrAfxLfsVxMa0YI6KjnmuIE7=w408-h802-k-no,Bakkerij,"Bakkerij, Snoepwinkel",4.8,24 uur geopend,Open All Days,+92 300 6425121,"Dildar Barfi House, Ladhe Wala Warraich, Gujranwala, Punjab 52250, Pakistan",,https://www.google.com/maps/place/Dildar+Barfi+House/data=!4m7!3m6!1s0x391f2b99f5458c49:0x21b2ec2d39cfbd6b!8m2!3d32.1565942!4d74.1294457!16s%2Fg%2F11fj7tlbf9!19sChIJSYxF9ZkrHzkRa73POS3ssiE?authuser=0&hl=nl&rclk=1
ChIJTWgQ_jgrHzkRQEH5WmqjeZc,Umer cold corner,,False,1,"Name: Umar cafe
link: https://www.google.com/maps/search/Umar+cafe/@32.1410298,74.16071269999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Abdullah Cold Corner
link: https://www.google.com/maps/search/Abdullah+Cold+Corner/@32.1556369,74.154096?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Umer Cold Corner
link: https://www.google.com/maps/search/Umer+Cold+Corner/@32.1426387,74.32290429999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",https://umer-cold-corner.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Umer cold corner (eigenaar),https://www.google.com/maps/contrib/112243280466204828382,https://lh5.googleusercontent.com/p/AF1QipPa5lCFTVaQGfz0Cerl7IDMs_RCOpGQQEKHDfOU=w408-h544-k-no,Cafe,Cafe,1,08:00-00:00,Open All Days,+92 321 7477279,"Umer cold corner, UMAR COLD CORNER, ALAM CHOWK, Arif Colony Haider Colony, Gujranwala, Punjab 52250, Pakistan",,https://www.google.com/maps/place/Umer+cold+corner/data=!4m7!3m6!1s0x391f2b38fe10684d:0x9779a36a5af94140!8m2!3d32.1568622!4d74.1456906!16s%2Fg%2F11h02pyp9j!19sChIJTWgQ_jgrHzkRQEH5WmqjeZc?authuser=0&hl=nl&rclk=1
ChIJRZrCDLorHzkR-hpWzYQZg9o,Jalandhar Sweets and Bakers,,False,33,"Name: Jalandhar Sweets
link: https://www.google.com/maps/search/Jalandhar+Sweets/@32.1603643,74.1871427?authuser=0&hl=nl&entry=ttu
Reviews: 446 reviews

Name: AL MERAGE BAKERS
link: https://www.google.com/maps/search/AL+MERAGE+BAKERS/@32.156134099999996,74.11800570000001?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Ladhywala warraich
link: https://www.google.com/maps/search/Ladhywala+warraich/@32.1581709,74.1151867?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Bilal Sweets
link: https://www.google.com/maps/search/Bilal+Sweets/@32.1569883,74.1161278?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Jalandhar Sweets and Bakers (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOATJMZlGX0VHiwV7E2bcptg0r4U04hipzG9ABI=w426-h240-k-no,Bakkerij,Bakkerij,4.3,07:00-22:00,Open All Days,,"544G+QQ3 Jalandhar Sweets and Bakers, Ladhe Wala Warraich, Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/Jalandhar+Sweets+and+Bakers/data=!4m7!3m6!1s0x391f2bba0cc29a45:0xda831984cd561afa!8m2!3d32.1569022!4d74.1269346!16s%2Fg%2F11pl5t13c6!19sChIJRZrCDLorHzkR-hpWzYQZg9o?authuser=0&hl=nl&rclk=1
ChIJ4xSkS2cvHzkRz6IX2PANuqM,Hamza Cold corner,,False,9,"Name: Hamza cold corner
link: https://www.google.com/maps/search/Hamza+cold+corner/@32.2805102,73.7519385?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Ladhywala warraich
link: https://www.google.com/maps/search/Ladhywala+warraich/@32.1581709,74.1151867?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Al.hafiz ice kareem
link: https://www.google.com/maps/search/Al.hafiz+ice+kareem/@32.1535963,74.1105457?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Bilal Sweets
link: https://www.google.com/maps/search/Bilal+Sweets/@32.1569883,74.1161278?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Mehmood Ahmed General Store
link: https://www.google.com/maps/search/Mehmood+Ahmed+General+Store/@32.1561612,74.1142698?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Hamza Cold corner (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMToqyi0bmax-lutZmdihvu3_Jj0sICdXvX4TyL=w408-h306-k-no,IJssalon,IJssalon,4.6,,Open All Days,,"5447+JC Hamza Cold corner, Ladhe Wala Warraich, Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/Hamza+Cold+corner/data=!4m7!3m6!1s0x391f2f674ba414e3:0xa3ba0df0d817a2cf!8m2!3d32.1565413!4d74.1135778!16s%2Fg%2F11rk9_47cc!19sChIJ4xSkS2cvHzkRz6IX2PANuqM?authuser=0&hl=nl&rclk=1
ChIJzWxM1hstHzkRDS0pXZO-L5w,Ladhewala waraich,,False,7,"Name: Mr chef fast food
link: https://www.google.com/maps/search/Mr+chef+fast+food/@32.1566124,74.12849729999999?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Rafique Food Master
link: https://www.google.com/maps/search/Rafique+Food+Master/@32.1566612,74.12559449999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Ajwa Food Point
link: https://www.google.com/maps/search/%F0%9D%98%BC%F0%9D%99%9F%F0%9D%99%AC%F0%9D%99%96+%F0%9D%99%81%F0%9D%99%A4%F0%9D%99%A4%F0%9D%99%99+%F0%9D%99%8B%F0%9D%99%A4%F0%9D%99%9E%F0%9D%99%A3%F0%9D%99%A9/@32.1548014,74.127061?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Bigbite Fast Food
link: https://www.google.com/maps/search/Bigbite+Fast+Food/@32.1563316,74.1306056?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Ladhewala waraich (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPvxYbe9J7kxQW47bjqd2aleS_FTBWoXw9cwFcT=w408-h725-k-no,Barbecuerestaurant,Barbecuerestaurant,4,,Open All Days,,"544C+453 Ladhewala waraich, Hafizabad Rd, near husnain city, Ladhe Wala Warraich, Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/Ladhewala+waraich/data=!4m7!3m6!1s0x391f2d1bd64c6ccd:0x9c2fbe935d292d0d!8m2!3d32.1552678!4d74.1204105!16s%2Fg%2F11tjx4vtlr!19sChIJzWxM1hstHzkRDS0pXZO-L5w?authuser=0&hl=nl&rclk=1
ChIJ_fGCSlArHzkRovoxdSSYYeU,nyw khwytth khyfy,,False,2,,,nyw khwytth khyfy (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPNUE_lQEiAoU1BUQqeNnh2gz_m90GzyA6VrenW=w408-h544-k-no,Koffiebar,Koffiebar,5,24 uur geopend,Open All Days,+92 304 2244579,"555J+XRQ nyw khwytth khyfy, College Rd, Abadi Mir Muzaffar Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/%D9%86%DB%8C%D9%88+%DA%A9%D9%88%DB%8C%D9%B9%DB%81+%DA%A9%DB%8C%D9%81%DB%92%E2%80%AD/data=!4m7!3m6!1s0x391f2b504a82f1fd:0xe56198247531faa2!8m2!3d32.1599693!4d74.1820768!16s%2Fg%2F11v9lm52vm!19sChIJ_fGCSlArHzkRovoxdSSYYeU?authuser=0&hl=nl&rclk=1
ChIJCZGbP4EpHzkRU38ALkKv65g,Abdullah Warraich House,,False,1,"Name: Ladhewala Warraich
link: https://www.google.com/maps/search/Ladhewala+Warraich/@32.1562424,74.11975029999999?authuser=0&hl=nl&entry=ttu
Reviews: 23 reviews

Name: Ladhewala waraich
link: https://www.google.com/maps/search/Ladhewala+waraich/@32.1552678,74.12041049999999?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Ladhewala warraich
link: https://www.google.com/maps/search/Ladhewala+warraich/@32.1541103,74.1196255?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Abid Warraich House
link: https://www.google.com/maps/search/Abid+Warraich+House/@32.096038,74.2137399?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Abdullah General store
link: https://www.google.com/maps/search/Abdullah+General+store/@32.1543285,74.11777719999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Abdullah Warraich House (eigenaar),,,Cafe,Cafe,5,,Open All Days,+92 305 6002264,"545J+32G Abdullah Warraich House, Unnamed Road, Ladhe Wala Warraich, Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/Abdullah+Warraich+House/data=!4m7!3m6!1s0x391f29813f9b9109:0x98ebaf422e007f53!8m2!3d32.1576855!4d74.1300635!16s%2Fg%2F11k7ztys5r!19sChIJCZGbP4EpHzkRU38ALkKv65g?authuser=0&hl=nl&rclk=1
ChIJfww5wO4rHzkRuEMS1vi2Jo0,Abdullah super store,,False,1,"Name: AL MERAGE BAKERS
link: https://www.google.com/maps/search/AL+MERAGE+BAKERS/@32.156134099999996,74.11800570000001?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Heera Gernal Store
link: https://www.google.com/maps/search/Heera+Gernal+Store/@32.1603492,74.1624001?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Ladhywala warraich
link: https://www.google.com/maps/search/Ladhywala+warraich/@32.1581709,74.1151867?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Abdullah General store
link: https://www.google.com/maps/search/Abdullah+General+store/@32.1543285,74.11777719999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: CH.PAN SHOP AND ICE CREAM.SHOP
link: https://www.google.com/maps/search/CH.PAN+SHOP+AND+ICE+CREAM.SHOP/@32.154742299999995,74.12049499999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Abdullah super store (eigenaar),https://www.google.com/maps/contrib/109283929219087940018,https://lh5.googleusercontent.com/p/AF1QipOGXeplfLBsp9B0KAUicX53Wa2ehBQBWp2Zwip1=w408-h544-k-no,Bakkerij,Bakkerij,2,24 uur geopend,Open All Days,,"Abdullah super store, Gujranwala - Hafizabad Rd, Ladhe Wala Warraich, Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan",,https://www.google.com/maps/place/Abdullah+super+store/data=!4m7!3m6!1s0x391f2beec0390c7f:0x8d26b6f8d61243b8!8m2!3d32.1554689!4d74.1081263!16s%2Fg%2F11qh853ymj!19sChIJfww5wO4rHzkRuEMS1vi2Jo0?authuser=0&hl=nl&rclk=1
ChIJLxL41fQtHzkRBDfiTLxhk70,Al.hafiz ice kareem,,False,1,"Name: Hamza Cold corner
link: https://www.google.com/maps/search/Hamza+Cold+corner/@32.1565413,74.1135778?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: ydgr qlfh hw's
link: https://www.google.com/maps/search/%DB%8C%D8%A7%D8%AF%DA%AF%D8%A7%D8%B1+%D9%82%D9%84%D9%81%DB%81+%DB%81%D8%A7%D8%A4%D8%B3/@32.162116499999996,74.1779023?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Ladhywala warraich
link: https://www.google.com/maps/search/Ladhywala+warraich/@32.1581709,74.1151867?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Al-Karim Baba Ice Cream & Faluda
link: https://www.google.com/maps/search/Al-Karim+Baba+Ice+Cream+%26+Faluda/@32.1635603,74.18753869999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Nabeel akhtar shop
link: https://www.google.com/maps/search/Nabeel+akhtar+shop/@32.153334799999996,74.1189538?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Al.hafiz ice kareem (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNU02iDDciCOBB21p3p-v6TMawAmKEH1jxhfQU4=w408-h571-k-no,IJssalon,IJssalon,5,24 uur geopend,"maandag, zondag",,"5436+C6M Al.hafiz ice kareem, Quran Mahal Rd, Ladhe Wala Warraich, Gujranwala, Punjab 54560, Pakistan",,https://www.google.com/maps/place/Al.hafiz+ice+kareem/data=!4m7!3m6!1s0x391f2df4d5f8122f:0xbd9361bc4ce23704!8m2!3d32.1535963!4d74.1105457!16s%2Fg%2F11q2z3p7r8!19sChIJLxL41fQtHzkRBDfiTLxhk70?authuser=0&hl=nl&rclk=1
ChIJ_4O2F-MrHzkR253qGuBC178,shehbaz mehar,,False,1,"Name: Bismillah Cafe
link: https://www.google.com/maps/search/Bismillah+Cafe/@32.1618208,74.20510689999999?authuser=0&hl=nl&entry=ttu
Reviews: 262 reviews

Name: Turkish cafe
link: https://www.google.com/maps/search/Turkish+cafe/@32.1503662,74.1734682?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Special Rehmani Daal Chawal
link: https://www.google.com/maps/search/Special+Rehmani+Daal+Chawal/@32.1467008,74.1676355?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Marhaba Chaey
link: https://www.google.com/maps/search/Marhaba+Chaey/@32.1581669,74.2004461?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,shehbaz mehar (eigenaar),https://www.google.com/maps/contrib/104392461171273540536,https://lh5.googleusercontent.com/p/AF1QipO4rZi2bNDyVdZrOG6MvUtMvZ216khiTHJ7E_si=w426-h240-k-no,Cafe,Cafe,3,24 uur geopend,Open All Days,+92 321 6496745,"shehbaz mehar, Street 6, Chah Talianwala Chah Tallian Wala, Gujranwala, Punjab 52250, Pakistan",,https://www.google.com/maps/place/shehbaz+mehar/data=!4m7!3m6!1s0x391f2be317b683ff:0xbfd742e01aea9ddb!8m2!3d32.1488904!4d74.1711937!16s%2Fg%2F11tj6k_l_p!19sChIJ_4O2F-MrHzkR253qGuBC178?authuser=0&hl=nl&rclk=1
