place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-6wzd5YN5kcRpnrY8bSr8B4,Quai Est,,False,1783,"Name: Pourquoi Pas?
link: https://www.google.com/maps/search/Pourquoi+Pas%3F/@48.849697,2.4989632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 828 reviews

Name: Le Blue-Marning
link: https://www.google.com/maps/search/Le+Blue-Marning/@48.8312641,2.5033604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 429 reviews

Name: Restaurant Guinguette Le Val de Beaute
link: https://www.google.com/maps/search/Restaurant+Guinguette+Le+Val+de+Beaut%C3%A9/@48.83251860000001,2.4770803999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 423 reviews

Name: Le Bel Air
link: https://www.google.com/maps/search/Le+Bel+Air/@48.8338177,2.5170453999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 285 reviews

Name: L'Ardoise
link: https://www.google.com/maps/search/L%27Ardoise/@48.836971,2.4957325999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews",https://www.quaiest.com/,Quai Est (Ye Zhu ),https://www.google.com/maps/contrib/104396651162485223403,https://lh5.googleusercontent.com/p/AF1QipMn1aO1zWnwTz6y2nfZVOcWu4XI99hBo9XFHB73=w631-h240-k-no,Fa Guo Can Ting ,"Fa Guo Can Ting , Jiu Ba , Jiu Ba Ya Zuo , Can Ting ",3.9,"12:00-14:30, 19:30-22:00",Open All Days,+33 1 48 72 33 33,"Quai Est, 223 Av. Pierre Brossolette, 94170 Le Perreux-sur-Marne, Fa Guo ","DJ, Yin Le , Wu , Ye Dian , Jiu Bei , Di Xia Shi ",https://www.google.com/maps/place/Quai+Est/data=!4m7!3m6!1s0x47e60d967733acfb:0x1ef0abb4f1d87aa6!8m2!3d48.8342719!4d2.5168283!16s%2Fg%2F12xptg_4n!19sChIJ-6wzd5YN5kcRpnrY8bSr8B4?authuser=0&hl=zh-TW&rclk=1
ChIJHWDzrHYN5kcR7L1Dr20l_0I,Pub Station Le Perreux,,False,1229,"Name: Au Bureau Noisy le Grand
link: https://www.google.com/maps/search/Au+Bureau+Noisy+le+Grand/@48.8481287,2.5525624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2329 reviews

Name: Pourquoi Pas?
link: https://www.google.com/maps/search/Pourquoi+Pas%3F/@48.849697,2.4989632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 828 reviews

Name: Au Bureau Le Raincy
link: https://www.google.com/maps/search/Au+Bureau+Le+Raincy/@48.8996324,2.5172152999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 789 reviews

Name: L'Ardoise
link: https://www.google.com/maps/search/L%27Ardoise/@48.836971,2.4957325999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: Brasserie des Sports
link: https://www.google.com/maps/search/Brasserie+des+Sports/@48.84919800000001,2.496553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews",https://pub-station-le-perreux.fr/fr,Pub Station Le Perreux (Ye Zhu ),https://www.google.com/maps/contrib/108533142205959780825,https://lh5.googleusercontent.com/p/AF1QipOYDxJVAOF-0OSLKVMjS8q6vsi1QL2zhBmBZNd-=w408-h544-k-no,Can Ting ,"Can Ting , Jiu Ba , Ou Zhou Can Ting , Fa Guo Can Ting , Han Bao Can Ting , Ai Er Lan Can Ting , Yun Dong Jiu Ba ",4,09:00-00:00,Open All Days,+33 1 48 72 58 22,"Pub Station Le Perreux, 12 Pl. Robert Belvaux, 94170 Le Perreux-sur-Marne, Fa Guo ","Diao Jiu , Yin Le , happy hour, Jia , Dong Hua ",https://www.google.com/maps/place/Pub+Station+Le+Perreux/data=!4m7!3m6!1s0x47e60d76acf3601d:0x42ff256daf43bdec!8m2!3d48.8383254!4d2.4951852!16s%2Fg%2F1tlbng0f!19sChIJHWDzrHYN5kcR7L1Dr20l_0I?authuser=0&hl=zh-TW&rclk=1
ChIJKToEHX8N5kcRRDppfivWnaA,Pourquoi Pas?,,False,828,"Name: PUR SANG
link: https://www.google.com/maps/search/PUR+SANG/@48.840427,2.5060909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 531 reviews

Name: La Cote de Boeuf
link: https://www.google.com/maps/search/La+C%C3%B4te+de+B%C5%93uf/@48.8509221,2.5102434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews

Name: Le Bel Air
link: https://www.google.com/maps/search/Le+Bel+Air/@48.8338177,2.5170453999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 285 reviews

Name: L'Ardoise
link: https://www.google.com/maps/search/L%27Ardoise/@48.836971,2.4957325999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: La nappe a carreaux
link: https://www.google.com/maps/search/La+nappe+%C3%A0+carreaux/@48.8354255,2.4982221?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews",https://fr-fr.facebook.com/restaurant.pourquoi.pas,Pourquoi Pas? (Ye Zhu ),https://www.google.com/maps/contrib/114711500342554702810,https://lh5.googleusercontent.com/p/AF1QipOmDMsFHfEXaUvEp-Rj1YsSfMdpV-S2019dB4Ps=w408-h306-k-no,Fa Guo Can Ting ,Fa Guo Can Ting ,4.5,"12:00-14:00, 19:00-22:00",Xing Qi Yi ,+33 1 48 72 84 68,"Pourquoi Pas?, 52 Bd d'Alsace Lorraine, 94170 Le Perreux-sur-Marne, Fa Guo ","E Gan , Re Qing ",https://www.google.com/maps/place/Pourquoi+Pas%3F/data=!4m7!3m6!1s0x47e60d7f1d043a29:0xa09dd62b7e693a44!8m2!3d48.849697!4d2.4989632!16s%2Fg%2F11b6xch47m!19sChIJKToEHX8N5kcRRDppfivWnaA?authuser=0&hl=zh-TW&rclk=1
ChIJ99rXc4cN5kcRGakkRrNX104,Intermarche SUPER Le Perreux-Sur-Marne,,False,702,"Name: MONOPRIX LE PERREUX
link: https://www.google.com/maps/search/MONOPRIX+LE+PERREUX/@48.8414079,2.5052326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 564 reviews

Name: Franprix
link: https://www.google.com/maps/search/Franprix/@48.8432124,2.5041778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: mega market ita
link: https://www.google.com/maps/search/mega+market+ita/@48.849236999999995,2.4969167000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Marches Publics J. Cordonnier
link: https://www.google.com/maps/search/Marches+Publics+J.+Cordonnier/@48.851603499999996,2.5068478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Proxi
link: https://www.google.com/maps/search/Proxi/@48.8508759,2.5031504?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.intermarche.com/magasin%3Fpdvref%3D06806%26utm_source%3Dgmb,Intermarche SUPER Le Perreux-Sur-Marne (Ye Zhu ),https://www.google.com/maps/contrib/100947871605954083741,https://lh5.googleusercontent.com/p/AF1QipOSL5-78xfAV3QTTDWTCaJc202u8G7B0aaZEc1i=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Leng Dong Shi Pin Shang Dian , Za Huo Dian , Jiu Pin Dian , You Ji Shi Pin Dian ",3.7,09:00-20:00,Xing Qi Yi ,+33 1 43 24 15 50,"Intermarche SUPER Le Perreux-Sur-Marne, 160 Bd d'Alsace Lorraine, 94170 Le Perreux-sur-Marne, Fa Guo ","Ke Ren , Shou Yin , Ting Che Chang , Mao Yi , Ri Qi , Bian Li Chao Shang , Xuan Ze ",https://www.google.com/maps/place/Intermarch%C3%A9+SUPER+Le+Perreux-Sur-Marne/data=!4m7!3m6!1s0x47e60d8773d7daf7:0x4ed757b34624a919!8m2!3d48.8519214!4d2.5098736!16s%2Fg%2F1w97tpwf!19sChIJ99rXc4cN5kcRGakkRrNX104?authuser=0&hl=zh-TW&rclk=1
ChIJJYAxCnUN5kcR0ZR_mUEBcJM,Les delices de Fred,,False,669,"Name: Il etait une fois
link: https://www.google.com/maps/search/Il+%C3%A9tait+une+fois/@48.8340666,2.5159183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 252 reviews

Name: LES MERVEILLES DE MARGOT
link: https://www.google.com/maps/search/LES+MERVEILLES+DE+MARGOT/@48.8430818,2.5037962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: Madeleine et Marguerite
link: https://www.google.com/maps/search/Madeleine+et+Marguerite/@48.8423154,2.5047801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Maison Roudil
link: https://www.google.com/maps/search/Maison+Roudil/@48.8344169,2.5148086?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Le Palais des Douceurs
link: https://www.google.com/maps/search/Le+Palais+des+Douceurs/@48.842295299999996,2.5047362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",http://wwww.fredboulangeries.com/,Les delices de Fred (Ye Zhu ),https://www.google.com/maps/contrib/101177237595088772675,https://lh5.googleusercontent.com/p/AF1QipOL6Poy3v4rTqi4-RMwCTV4w-QFfE5Me2nUM2Yt=w408-h408-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,07:00-20:00,"Xing Qi Yi , Xing Qi San ",+33 1 48 72 66 43,"Les delices de Fred, 58 Av. Pierre Brossolette, 94170 Le Perreux-sur-Marne, Fa Guo ","Fa Guo Mian Bao , Chuan Tong , Dian Yuan , Shui Guo , Wei , Mei ",https://www.google.com/maps/place/Les+d%C3%A9lices+de+Fred/data=!4m7!3m6!1s0x47e60d750a318025:0x93700141997f94d1!8m2!3d48.8351762!4d2.4984113!16s%2Fg%2F1tdklj86!19sChIJJYAxCnUN5kcR0ZR_mUEBcJM?authuser=0&hl=zh-TW&rclk=1
ChIJbXHduoAN5kcRbvSkNKm_vOI,LE CHAMBOULE TOUT,,False,471,"Name: Le Nogentais
link: https://www.google.com/maps/search/Le+Nogentais/@48.8373643,2.4852866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 780 reviews

Name: Restaurant La Salamandre
link: https://www.google.com/maps/search/Restaurant+La+Salamandre/@48.8314221,2.4753324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 521 reviews

Name: Restaurant Guinguette Le Val de Beaute
link: https://www.google.com/maps/search/Restaurant+Guinguette+Le+Val+de+Beaut%C3%A9/@48.83251860000001,2.4770803999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 423 reviews

Name: Le Chablis
link: https://www.google.com/maps/search/Le+Chablis/@48.8381644,2.4893875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Boulibar
link: https://www.google.com/maps/search/Boulibar/@48.8371626,2.4843764999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 204 reviews",http://lechambouletout.fr/,LE CHAMBOULE TOUT (Ye Zhu ),https://www.google.com/maps/contrib/106204288570327310251,https://lh5.googleusercontent.com/p/AF1QipOfZTskKDBGORCmhwACWJnKjXPFVYLUUi7WhEek=w426-h240-k-no,Can Ting ,"Can Ting , Dao Hui Fu Wu , Cha Yi Guan ",4.5,10:30-22:00,Open All Days,+33 1 88 27 15 40,"LE CHAMBOULE TOUT, 127 Gd Rue Charles de Gaulle, 94130 Nogent-sur-Marne, Fa Guo ","Guo Zhi , Liao Li , Diao Jiu , Gai Nian , Ji Jie , Zao Wu Can , Luo Li , Fa Shi Tu Si ",https://www.google.com/maps/place/LE+CHAMBOULE+TOUT/data=!4m7!3m6!1s0x47e60d80badd716d:0xe2bcbfa934a4f46e!8m2!3d48.8373098!4d2.486344!16s%2Fg%2F11g0ms62mj!19sChIJbXHduoAN5kcRbvSkNKm_vOI?authuser=0&hl=zh-TW&rclk=1
ChIJE344_W0N5kcRT4lPL_ISjSA,Bagelstein,,False,305,"Name: LE CHAMBOULE TOUT
link: https://www.google.com/maps/search/LE+CHAMBOULE+TOUT/@48.8373098,2.486344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 470 reviews

Name: Le Chablis
link: https://www.google.com/maps/search/Le+Chablis/@48.8381644,2.4893875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.836484,2.4815791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 211 reviews

Name: L'assiette express
link: https://www.google.com/maps/search/L%27assiette+express/@48.8366462,2.4824062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: King Food
link: https://www.google.com/maps/search/King+Food/@48.839800200000006,2.4803113999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.bagelstein.com/restaurant/nogent-de-gaulle/,Bagelstein (Ye Zhu ),https://www.google.com/maps/contrib/108898381787493360258,https://lh5.googleusercontent.com/p/AF1QipMqxLAWIWRy7ThvuVRgpwSdxk6vnwVdexQBeafb=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Mian Bao Quan Dian , Gao Bing Dian , Sha Lu Dian ",4.1,09:00-22:30,Open All Days,+33 1 41 93 73 56,"Bagelstein, 155 Gd Rue Charles de Gaulle, 94130 Nogent-sur-Marne, Fa Guo ","Bing Gan , Xiao Rong , Jia Ge , You Mo , Gai Nian , Tuan Dui , Xuan Ze , Bu Jing , Xiang Kuang ",https://www.google.com/maps/place/Bagelstein/data=!4m7!3m6!1s0x47e60d6dfd387e13:0x208d12f22f4f894f!8m2!3d48.8380541!4d2.488509!16s%2Fg%2F11c5zt2d2w!19sChIJE344_W0N5kcRT4lPL_ISjSA?authuser=0&hl=zh-TW&rclk=1
ChIJUTRQe5YN5kcRscYJJmUIeHg,Intermarche EXPRESS Le Perreux Sur Marne,,False,294,"Name: MONOPRIX LE PERREUX
link: https://www.google.com/maps/search/MONOPRIX+LE+PERREUX/@48.8414079,2.5052326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 564 reviews

Name: Franprix
link: https://www.google.com/maps/search/Franprix/@48.834289899999995,2.5127036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Superette de l'Alma
link: https://www.google.com/maps/search/Superette+de+l%27Alma/@48.834849399999996,2.5028924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Alimentation
link: https://www.google.com/maps/search/Alimentation/@48.83431890000001,2.5156768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://www.intermarche.com/magasin?pdvref=07518&utm_source=gmb,Intermarche EXPRESS Le Perreux Sur Marne (Ye Zhu ),https://www.google.com/maps/contrib/108974706800690593713,https://lh5.googleusercontent.com/p/AF1QipNwm2cqXG8uSsjgz96hSODf6G8Ef-oqatIANPqv=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Luo Nong Qu , Kuai Can Dian , Xian Shi Shi Chang , Leng Dong Shi Pin Shang Dian , Shu Guo Dian , Za Huo Dian , Jiu Pin Dian , San Wen Zhi Dian ",3.9,08:30-20:00,Xing Qi Yi ,+33 1 43 75 32 20,"Intermarche EXPRESS Le Perreux Sur Marne, 221 Av. Pierre Brossolette, 94170 Le Perreux-sur-Marne, Fa Guo ","Jia Ge , Shou Yin , Ke Ren , Mao Yi , Xiao Rong , Bian Li Shang Dian , E ",https://www.google.com/maps/place/Intermarch%C3%A9+EXPRESS+Le+Perreux+Sur+Marne/data=!4m7!3m6!1s0x47e60d967b503451:0x787808652609c6b1!8m2!3d48.8344459!4d2.5164056!16s%2Fg%2F11bwf6_9cv!19sChIJUTRQe5YN5kcRscYJJmUIeHg?authuser=0&hl=zh-TW&rclk=1
ChIJ0f5mdZYN5kcRdh1NKDxVUg0,Le Bel Air,,False,285,"Name: Quai Est
link: https://www.google.com/maps/search/Quai+Est/@48.8342719,2.5168283?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1781 reviews

Name: Pourquoi Pas?
link: https://www.google.com/maps/search/Pourquoi+Pas%3F/@48.849697,2.4989632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 828 reviews

Name: Le Blue-Marning
link: https://www.google.com/maps/search/Le+Blue-Marning/@48.8312641,2.5033604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 429 reviews

Name: La Cote de Boeuf
link: https://www.google.com/maps/search/La+C%C3%B4te+de+B%C5%93uf/@48.8509221,2.5102434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews

Name: L'Ardoise
link: https://www.google.com/maps/search/L%27Ardoise/@48.836971,2.4957325999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews",https://lebelairduperreux.wixsite.com/monsite,Le Bel Air (Ye Zhu ),https://www.google.com/maps/contrib/101814051782717088113,https://lh5.googleusercontent.com/p/AF1QipPnrGUYIKOrdC3IyOkZbsXt6jaa43TPXqnh_RAr=w426-h240-k-no,Can Ting ,"Can Ting , Fa Guo Can Ting ",4.2,"12:00-15:00, 19:00-22:30",Xing Qi San ,+33 1 43 24 11 73,"Le Bel Air, 127 Quai de l'Artois, 94170 Le Perreux-sur-Marne, Fa Guo ","Yi Dao Cai , Shi Jue , Liao Li , Zhu Can , Bai Pan , Xiang Kuang , Zhu Chu ",https://www.google.com/maps/place/Le+Bel+Air/data=!4m7!3m6!1s0x47e60d967566fed1:0xd52553c284d1d76!8m2!3d48.8338177!4d2.5170454!16s%2Fg%2F11clqr3jkh!19sChIJ0f5mdZYN5kcRdh1NKDxVUg0?authuser=0&hl=zh-TW&rclk=1
ChIJGaUP3JgN5kcRSyld2N2OPQA,Biocoop Les Papillons,,False,227,"Name: Biocoop Chelles
link: https://www.google.com/maps/search/Biocoop+Chelles/@48.8695364,2.5768885999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 395 reviews

Name: La Vie Claire organic store
link: https://www.google.com/maps/search/La+Vie+Claire+organic+store/@48.8423301,2.5042557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Le P'tit Bio
link: https://www.google.com/maps/search/Le+P%27tit+Bio/@48.8345943,2.5080679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Biocoop
link: https://www.google.com/maps/search/Biocoop/@48.8198948,2.4763897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews",https://www.biocooplespapillons.com/,Biocoop Les Papillons (Ye Zhu ),https://www.google.com/maps/contrib/105985253169874938330,https://lh5.googleusercontent.com/p/AF1QipOlNU4pbtNBPYv-j2nyWeGXD03CqrEKIRxj6TPt=w408-h306-k-no,You Ji Shi Pin Dian ,You Ji Shi Pin Dian ,4.2,10:00-20:00,Xing Qi Yi ,+33 1 43 24 82 91,"Biocoop Les Papillons, 131 Av. Pierre Brossolette, 94170 Le Perreux-sur-Marne, Fa Guo ","Jia Ge , Shui Guo , Dian Yuan , Shou Yin , Jing Pin Dian , Xuan Ze ",https://www.google.com/maps/place/Biocoop+Les+Papillons/data=!4m7!3m6!1s0x47e60d98dc0fa519:0x3d8eddd85d294b!8m2!3d48.8348624!4d2.5068812!16s%2Fg%2F1tf9mk65!19sChIJGaUP3JgN5kcRSyld2N2OPQA?authuser=0&hl=zh-TW&rclk=1
