place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF739cdDGFkcR1nKdte6YJUQ,Biedronka,,False,1144,"Name: Carrefour Market
link: https://www.google.com/maps/search/Carrefour+Market/@50.140955899999994,19.12649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 465 reviews

Name: Browarek Market
link: https://www.google.com/maps/search/Browarek+Market/@50.1278483,19.105763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@50.147594999999995,19.133995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Lewiatan
link: https://www.google.com/maps/search/Lewiatan/@50.151101,19.1348201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Bogacki R. Sklep spozywczy
link: https://www.google.com/maps/search/Bogacki+R.+Sklep+spo%C5%BCywczy/@50.145292399999995,19.1326948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/117217522669197028071,https://lh5.googleusercontent.com/p/AF1QipOUk6FNRb1Hks-9fR6vJKcKSAcCPaEN1UGo28jJ=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.8,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Holdunowska 18a, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4716c6d071fdbd17:0x442598eeb59d72d6!8m2!3d50.1419332!4d19.1304174!16s%2Fg%2F1th6cl38!19sChIJF739cdDGFkcR1nKdte6YJUQ?authuser=0&hl=zh-TW&rclk=1
ChIJM6Y3n-XGFkcRIOp-zC6qkq0,Stacja Paliw ORLEN,,False,789,"Name: Stacja Paliw ORLEN
link: https://www.google.com/maps/search/Stacja+Paliw+ORLEN/@50.2522427,19.0489203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 656 reviews

Name: Grotrans
link: https://www.google.com/maps/search/Grotrans/@50.1375173,19.1276276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Petro-Silesia sp.Z.O.O.
link: https://www.google.com/maps/search/Petro-Silesia+sp.Z.O.O./@50.1506701,19.1471719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Stacja Paliw APEX
link: https://www.google.com/maps/search/Stacja+Paliw+APEX/@50.14277380000001,19.1288193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://www.orlen.pl/pl/dla-ciebie?utm_source=google&utm_medium=maps&utm_campaign=maps_web_url,Stacja Paliw ORLEN (Ye Zhu ),https://www.google.com/maps/contrib/104543465873444771723,https://lh5.googleusercontent.com/p/AF1QipO6fd-TuqODCGULaJbovhaDehz0h9mlgprQyVIC=w408-h323-k-no,You Zhan ,"You Zhan , Za Huo Dian ",4.4,24 Xiao Shi Ying Ye ,Open All Days,+48 24 256 02 95,"Stacja Paliw ORLEN, Tyska 6, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Stacja+Paliw+ORLEN/data=!4m7!3m6!1s0x4716c6e59f37a633:0xad92aa2ecc7eea20!8m2!3d50.1467546!4d19.105566!16s%2Fg%2F11cl_j_33x!19sChIJM6Y3n-XGFkcRIOp-zC6qkq0?authuser=0&hl=zh-TW&rclk=1
ChIJKaz-RNnGFkcRFlBrDerDGg4,Netto,,False,751,"Name: Carrefour Market
link: https://www.google.com/maps/search/Carrefour+Market/@50.140955899999994,19.12649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 465 reviews

Name: Lewiatan
link: https://www.google.com/maps/search/Lewiatan/@50.151101,19.1348201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Chinskie Centrum Handlowe
link: https://www.google.com/maps/search/Chi%C5%84skie+Centrum+Handlowe/@50.141968,19.1303019?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@50.141992699999996,19.1328304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Piekarnia Emilia Kristof Firma Rodzinna sp. z o.o. (stoisko Netto)
link: https://www.google.com/maps/search/Piekarnia+Emilia+Kristof+Firma+Rodzinna+sp.+z+o.o.+%28stoisko+Netto%29/@50.139285099999995,19.1213604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.netto.pl/sklepy/ledziny/ul-ledzinska-16/dc187259a963449196a757c92e9378a0/,Netto (Ye Zhu ),https://www.google.com/maps/contrib/115943194080493265895,https://lh5.googleusercontent.com/p/AF1QipOGgtf629voDxSC6nFIm72oH4LkyRGmiIg9xPqk=w426-h240-k-no,Zhe Kou Shang Dian ,"Zhe Kou Shang Dian , Ping Jia Chao Ji Shi Chang , Za Huo Dian , Chao Ji Shi Chang ",4.2,06:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 531 994 994,"Netto, Ledzinska 16, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Netto/data=!4m7!3m6!1s0x4716c6d944feac29:0xe1ac3ea0d6b5016!8m2!3d50.1392851!4d19.1213604!16s%2Fg%2F1tg38vf8!19sChIJKaz-RNnGFkcRFlBrDerDGg4?authuser=0&hl=zh-TW&rclk=1
ChIJz8ai4OXGFkcRHzFIjcRI7b0,Stacja Paliw ORLEN,,False,640,"Name: Grotrans
link: https://www.google.com/maps/search/Grotrans/@50.1375173,19.1276276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Petro-Silesia sp.Z.O.O.
link: https://www.google.com/maps/search/Petro-Silesia+sp.Z.O.O./@50.1506701,19.1471719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Stacja Paliw APEX
link: https://www.google.com/maps/search/Stacja+Paliw+APEX/@50.14277380000001,19.1288193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Myjnia Ledziny
link: https://www.google.com/maps/search/Myjnia+L%C4%99dziny/@50.1406771,19.1257965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.orlen.pl/pl/dla-ciebie%3Futm_source%3Dgoogle%26utm_medium%3Dmaps%26utm_campaign%3Dmaps_web_url,Stacja Paliw ORLEN (Ye Zhu ),https://www.google.com/maps/contrib/118413999493326626954,https://lh5.googleusercontent.com/p/AF1QipNW0I6paiv16p3T6dnAbNyK55_9kvqeWEIrneyf=w408-h306-k-no,You Zhan ,"You Zhan , Za Huo Dian ",4.1,24 Xiao Shi Ying Ye ,Open All Days,+48 32 326 69 20,"Stacja Paliw ORLEN, DK1, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Stacja+Paliw+ORLEN/data=!4m7!3m6!1s0x4716c6e5e0a2c6cf:0xbded48c48d48311f!8m2!3d50.146248!4d19.1079868!16s%2Fg%2F1tf6kynd!19sChIJz8ai4OXGFkcRHzFIjcRI7b0?authuser=0&hl=zh-TW&rclk=1
ChIJBfiEEs_GFkcR59FZL1VGLBU,Hotel Pinocy,,False,509,,https://www.pinocy.com.pl/,Hotel Pinocy (Ye Zhu ),https://www.google.com/maps/contrib/114846453605044338915,https://lh5.googleusercontent.com/p/AF1QipN-VRqsP6N7ZdX89vcYPq0PmGu-fArXhkPj9o1s=w408-h272-k-no,Jiu Dian ,"Jiu Dian , Gao Bing Dian , Can Ting ",4,,Open All Days,+48 607 242 904,"Hotel Pinocy, Ludwika Warynskiego 35, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Hotel+Pinocy/data=!4m10!3m9!1s0x4716c6cf1284f805:0x152c46552f59d1e7!5m2!4m1!1i2!8m2!3d50.146387!4d19.1348969!16s%2Fg%2F1tnsqnyh!19sChIJBfiEEs_GFkcR59FZL1VGLBU?authuser=0&hl=zh-TW&rclk=1
ChIJfaWqKLjGFkcRthdj_Ofb9kE,Petrol Station ORLEN,,False,475,"Name: Grotrans
link: https://www.google.com/maps/search/Grotrans/@50.1375173,19.1276276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Petro-Silesia sp.Z.O.O.
link: https://www.google.com/maps/search/Petro-Silesia+sp.Z.O.O./@50.1506701,19.1471719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Stacja Paliw APEX
link: https://www.google.com/maps/search/Stacja+Paliw+APEX/@50.14277380000001,19.1288193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Holdunow Petla
link: https://www.google.com/maps/search/Ho%C5%82dun%C3%B3w+P%C4%99tla/@50.15440590000001,19.1369039?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.orlen.pl/pl/dla-ciebie%3Futm_source%3Dgoogle%26utm_medium%3Dmaps%26utm_campaign%3Dmaps_web_url,Petrol Station ORLEN (Ye Zhu ),https://www.google.com/maps/contrib/104304137815408789719,https://lh5.googleusercontent.com/p/AF1QipNd7Y9fm7X1byuNTBDTSZGMK32FlxIFyzT3Qo08=w468-h240-k-no,You Zhan ,"You Zhan , Za Huo Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+48 32 326 75 71,"Petrol Station ORLEN, Holdunowska b/n, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Petrol+Station+ORLEN/data=!4m7!3m6!1s0x4716c6b828aaa57d:0x41f6dbe7fc6317b6!8m2!3d50.1535824!4d19.1354695!16s%2Fg%2F1thxtz2m!19sChIJfaWqKLjGFkcRthdj_Ofb9kE?authuser=0&hl=zh-TW&rclk=1
ChIJFewkQtrGFkcRRedgQPDEJA4,Carrefour Market,,False,465,"Name: Netto
link: https://www.google.com/maps/search/Netto/@50.139285099999995,19.1213604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 751 reviews

Name: Browarek Market
link: https://www.google.com/maps/search/Browarek+Market/@50.1278483,19.105763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: S Market
link: https://www.google.com/maps/search/S+Market/@50.128374,19.106272699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Delikatesy Smakolyki - wyroby garmazeryjne
link: https://www.google.com/maps/search/Delikatesy+Smako%C5%82yki+-+wyroby+garma%C5%BCeryjne/@50.140955899999994,19.12649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Sklep Malgorzatka
link: https://www.google.com/maps/search/Sklep+Ma%C5%82gorzatka/@50.1246907,19.1184897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.carrefour.pl/sklep/ledziny/ledzinska-1,Carrefour Market (Ye Zhu ),https://www.google.com/maps/contrib/112824475849920181362,https://lh5.googleusercontent.com/p/AF1QipOoanFUn6R7vYdgUNNboP0HS3vi5zHjQTQ_L6Yn=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Shou Shi Dian , Shu Guo Dian , Za Huo Dian , Jian Kang Shi Pin Zhuan Mai Dian , Gong Ye Yong Pin Chao Shi , You Ji Shi Pin Dian ",4.1,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 32 216 79 99,"Carrefour Market, Ledzinska 1, 43-140 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Carrefour+Market/data=!4m7!3m6!1s0x4716c6da4224ec15:0xe24c4f04060e745!8m2!3d50.1409559!4d19.12649!16s%2Fg%2F1tqtwmlk!19sChIJFewkQtrGFkcRRedgQPDEJA4?authuser=0&hl=zh-TW&rclk=1
ChIJ9ah2eT3BFkcRzpREXvvsoFw,Happy Cafe,,False,345,"Name: Rybka u Jagody
link: https://www.google.com/maps/search/Rybka+u+Jagody/@50.13169,19.1987214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 594 reviews

Name: Plac zabaw
link: https://www.google.com/maps/search/Plac+zabaw/@50.1553826,19.1909657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Piekarnia-Ciastkarnia Stadler
link: https://www.google.com/maps/search/Piekarnia-Ciastkarnia+Stadler/@50.1472431,19.185724999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://happycafe.pl/,Happy Cafe (Ye Zhu ),https://www.google.com/maps/contrib/105966160855311097854,https://lh5.googleusercontent.com/p/AF1QipNDquz8_UacgSy-QIhXcqmlYYg8myIE-kLjksAo=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,10:00-19:00,Open All Days,+48 727 959 959,"Happy Cafe, Rynek, Imielinska 77, 41-407 Imielin, Bo Lan ",,https://www.google.com/maps/place/Happy+Cafe/data=!4m7!3m6!1s0x4716c13d7976a8f5:0x5ca0ecfb5e4494ce!8m2!3d50.147715!4d19.1848841!16s%2Fg%2F11h6sb26x9!19sChIJ9ah2eT3BFkcRzpREXvvsoFw?authuser=0&hl=zh-TW&rclk=1
ChIJW6iJR9rGFkcRcyACq_FMkys,Pizzeria 10,,False,227,"Name: Pizza Max
link: https://www.google.com/maps/search/Pizza+Max/@50.1368316,19.117292199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 407 reviews

Name: Pizzeria Marios Tychy
link: https://www.google.com/maps/search/Pizzeria+Marios+Tychy/@50.1145691,18.9839359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: Bistro Karlik
link: https://www.google.com/maps/search/Bistro+Karlik/@50.126880799999995,19.1261302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",http://www.10spzoo.pl/pizzeria/,Pizzeria 10 (Ye Zhu ),https://www.google.com/maps/contrib/116250897216160608199,https://lh5.googleusercontent.com/p/AF1QipPvK3Z25CCR1-PLxYoR3dhmrW_XQn9kSGHkr1mk=w427-h240-k-no,Bo Bing Can Ting ,Bo Bing Can Ting ,4.2,11:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 532 579 433,"Pizzeria 10, Ledzinska 1, 43-143 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Pizzeria+10/data=!4m7!3m6!1s0x4716c6da4789a85b:0x2b934cf1ab022073!8m2!3d50.1406176!4d19.1257163!16s%2Fg%2F11bw5m9lqc!19sChIJW6iJR9rGFkcRcyACq_FMkys?authuser=0&hl=zh-TW&rclk=1
ChIJTQZZwCLHFkcRs_wQksHBxm0,Browarek Market,,False,198,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.1419332,19.1304174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1144 reviews

Name: Carrefour Market
link: https://www.google.com/maps/search/Carrefour+Market/@50.140955899999994,19.12649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 465 reviews

Name: S Market
link: https://www.google.com/maps/search/S+Market/@50.128374,19.106272699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Stefanska R. Sklep spozywczy
link: https://www.google.com/maps/search/Stefa%C5%84ska+R.+Sklep+spo%C5%BCywczy/@50.121178900000004,19.133022999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Sklep spozywczy. Bendel Hubert
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy.+Bendel+Hubert/@50.1422743,19.1317065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.browarek.com.pl/,Browarek Market (Ye Zhu ),https://www.google.com/maps/contrib/109806306950623707110,https://lh5.googleusercontent.com/p/AF1QipNg_BBU3wpVWUiODBQwoBtphaMP4xs0241DU_ug=w408-h272-k-no,Za Huo Dian ,"Za Huo Dian , Zhou Li Jiu Pu ",4.3,06:00-22:00,Open All Days,,"Browarek Market, Ledzinska 165, 43-140 Ledziny, Bo Lan ",,https://www.google.com/maps/place/Browarek+Market/data=!4m7!3m6!1s0x4716c722c059064d:0x6dc6c1c19210fcb3!8m2!3d50.1278483!4d19.105763!16s%2Fg%2F11b7wb_4vh!19sChIJTQZZwCLHFkcRs_wQksHBxm0?authuser=0&hl=zh-TW&rclk=1
