place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ9_F9xN3r_TgRf957tSoUSMQ,Wanderers Terrace & Cafe - Leh,,False,218,"Name: LEHVENDA CAFE
link: https://www.google.com/maps/search/LEHVENDA+CAFE/@34.164867699999995,77.5854497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Summer Harvest
link: https://www.google.com/maps/search/Summer+Harvest/@34.16343750000001,77.5831875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 473 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: coffee tree cafe and adventure hub
link: https://www.google.com/maps/search/coffee+tree+cafe+and+adventure+hub/@34.1670928,77.58657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://wanderers-terrace-and-cafe.business.site/,Wanderers Terrace & Cafe - Leh (Ye Zhu ),https://www.google.com/maps/contrib/117039725746482365726,https://lh5.googleusercontent.com/p/AF1QipMxqm1u6luCZFmf-7I3rHiB2JMTN1NJKP-svnVY=w408-h394-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.3,11:00-22:30,Open All Days,,"Wanderers Terrace & Cafe - Leh, 3rd Floor, Tsewang Phuntsog Building Main Bazaar Road Leh Jammu and Kashmir, 194101","Yin Le , Jing Yan , Pi Sa , Guo Zhi , Han Bao , Wu Ding , Shi Chang , Ji Ta ",https://www.google.com/maps/place/Wanderers+Terrace+%26+Cafe+-+Leh/data=!4m7!3m6!1s0x38fdebddc47df1f7:0xc448142ab57bde7f!8m2!3d34.1647077!4d77.5850387!16s%2Fg%2F11g4jh4hcl!19sChIJ9_F9xN3r_TgRf957tSoUSMQ?authuser=0&hl=zh-TW&rclk=1
ChIJzaD2VQDr_TgRrBSoyXcZZ88,Naas Cafe,,False,209,"Name: LEHVENDA CAFE
link: https://www.google.com/maps/search/LEHVENDA+CAFE/@34.164867699999995,77.5854497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Lala's cafe
link: https://www.google.com/maps/search/Lala%27s+cafe/@34.1649728,77.5861962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews",https://instagram.com/naas_cafe,Naas Cafe (Ye Zhu ),https://www.google.com/maps/contrib/106825499425961356300,https://lh5.googleusercontent.com/p/AF1QipO5h6lTFdp3ei1iJRDDBe3IaVBDipByVkEdTsnb=w427-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.5,10:00-22:00,Open All Days,+91 96229 50096,"Naas Cafe, Main Bazaar Rd, near Soma Gompa, Leh, Ladakh 194101","Pi Sa , Dian Xin , Shi Chang , Han Bao , Ji Rou , San Ming Zhi , Yin Le , Suan La Tang ",https://www.google.com/maps/place/Naas+Cafe/data=!4m7!3m6!1s0x38fdeb0055f6a0cd:0xcf671977c9a814ac!8m2!3d34.1647078!4d77.5850488!16s%2Fg%2F11ns8_8cg8!19sChIJzaD2VQDr_TgRrBSoyXcZZ88?authuser=0&hl=zh-TW&rclk=1
ChIJwyrAs-rr_TgRXXFMlHGZp1M,Metta Cafe,,False,209,"Name: Himalayan Cafe
link: https://www.google.com/maps/search/Himalayan+Caf%C3%A9/@34.1634117,77.5852668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Yama Coffee House
link: https://www.google.com/maps/search/Yama+Coffee+House/@34.170783799999995,77.5783477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 184 reviews",https://cafe-metta.business.site/,Metta Cafe (Ye Zhu ),https://www.google.com/maps/contrib/103760992419370971581,https://lh5.googleusercontent.com/p/AF1QipMnFH8_gbUoRRbANO4lHMH2DQICXiN6eseIrQCY=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,,Open All Days,+91 94593 90915,"Metta Cafe, Hemis Complex, Zangsti parking next to main market towards chanspa road Zangsti Rd Changspa Road Leh Jammu and Kashmir, 194101","Ke Ke , Jian Kang Yin Shi , Shi Chang , Yin Le , Hui Hua , Shu , Qi Che , pancake, Lu Xing , vegan",https://www.google.com/maps/place/Metta+Cafe/data=!4m7!3m6!1s0x38fdebeab3c02ac3:0x53a79971944c715d!8m2!3d34.1655512!4d77.5837096!16s%2Fg%2F11g0lldxd8!19sChIJwyrAs-rr_TgRXXFMlHGZp1M?authuser=0&hl=zh-TW&rclk=1
ChIJq3IifQXt_TgRD7bVvdTWEIk,cafe NH 3,,False,207,"Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: NUBU CAFE & RESTRO
link: https://www.google.com/maps/search/NUBU+CAFE+%26+RESTRO/@34.1109783,77.5715177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://cafenh3.business.site/,cafe NH 3 (Ye Zhu ),https://www.google.com/maps/contrib/107278856342083321532,https://lh5.googleusercontent.com/p/AF1QipNopiTIiD1KogDYAxOPW8yliHy8TnADmaL42_7H=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.5,09:00-22:00,Open All Days,,"cafe NH 3, Choglamsar Near Sos Tcv School Road Leh Jammu and Kashmir, 194104","Jing Yan , atmosphere, Kai Wei Cai , Pi Sa , Xiao Rong , Jia Ting ",https://www.google.com/maps/place/cafe+NH+3/data=!4m7!3m6!1s0x38fded057d2272ab:0x8910d6d4bdd5b60f!8m2!3d34.1085684!4d77.5903701!16s%2Fg%2F11jv81bkb6!19sChIJq3IifQXt_TgRD7bVvdTWEIk?authuser=0&hl=zh-TW&rclk=1
ChIJAdGH-vPr_TgRQ9USy00d0Aw,Leh Cafe,,False,190,"Name: LEHVENDA CAFE
link: https://www.google.com/maps/search/LEHVENDA+CAFE/@34.164867699999995,77.5854497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Naas Cafe
link: https://www.google.com/maps/search/Naas+Cafe/@34.164707799999995,77.58504880000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews

Name: coffee tree cafe and adventure hub
link: https://www.google.com/maps/search/coffee+tree+cafe+and+adventure+hub/@34.1670928,77.58657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://lehcafe.business.site/,Leh Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104187430105089002435,https://lh5.googleusercontent.com/p/AF1QipMnxYGsFJLVfBnne3cn46Tw_hZVIAlfZs-IiYgU=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,08:00-23:00,Open All Days,,"Leh Cafe, Zangsti Rd, opp. SBI bank, Leh, Ladakh 194101","Jia Ge , Qiao Ke Li , Ru Luo Dan Gao , Shi Chang , atmosphere, Jing Yan ",https://www.google.com/maps/place/Leh+Cafe/data=!4m7!3m6!1s0x38fdebf3fa87d101:0xcd01d4dcb12d543!8m2!3d34.1646933!4d77.5842634!16s%2Fg%2F11g1m2q5dr!19sChIJAdGH-vPr_TgRQ9USy00d0Aw?authuser=0&hl=zh-TW&rclk=1
ChIJET5e1SDr_TgRk34BbzaANBc,Crafty Beanz cafe and roastery,,False,185,"Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: BARISTA LEH LADAKH
link: https://www.google.com/maps/search/BARISTA+LEH+LADAKH/@34.1642921,77.58407319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: coffee tree cafe and adventure hub
link: https://www.google.com/maps/search/coffee+tree+cafe+and+adventure+hub/@34.1670928,77.58657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",http://craftybeanzleh.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Crafty Beanz cafe and roastery (Ye Zhu ),https://www.google.com/maps/contrib/100746510073974159681,https://lh5.googleusercontent.com/p/AF1QipOJvnL9lMUp88xXPzny21RgVJU3-s2b7i-3AzxL=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Hong Bei Shang ",4.9,09:30-19:30,Open All Days,+91 97979 88263,"5H5J+7C Crafty Beanz cafe and roastery, Old Leh Rd, Leh, Ladakh 194101","wifi, atmosphere, Dou , Jing Yan , Ting Che Wei , Yin Le , Yi Da Li Mian , Ke Ke , Kao , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Crafty+Beanz+cafe+and+roastery/data=!4m7!3m6!1s0x38fdeb20d55e3e11:0x173480366f017e93!8m2!3d34.1581992!4d77.5810627!16s%2Fg%2F11t5yyhv1m!19sChIJET5e1SDr_TgRk34BbzaANBc?authuser=0&hl=zh-TW&rclk=1
ChIJgfKWnDvr_TgRd9qxV5zAcX0,Yama Coffee House,,False,184,"Name: Yum Yum Food N Cafe
link: https://www.google.com/maps/search/Yum+Yum+Food+N+Cafe/@34.164777099999995,77.5839053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews",http://www.yamatreks.com/,Yama Coffee House (Ye Zhu ),https://www.google.com/maps/contrib/104655915171983011658,https://lh5.googleusercontent.com/p/AF1QipNPdZDeJ0hgptoaAehtTLPSq9ZTenFGU2OmnSkP=w408-h305-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",4.5,09:30-22:00,Open All Days,+91 94198 08393,"Yama Coffee House, Goba Complex, Changspa Road, Leh, 194101","Zao Can , Dan Gao , atmosphere, Jing Yan , Zhu Can , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Yama+Coffee+House/data=!4m7!3m6!1s0x38fdeb3b9c96f281:0x7d71c09c57b1da77!8m2!3d34.1707838!4d77.5783477!16s%2Fg%2F11cnxy99xz!19sChIJgfKWnDvr_TgRd9qxV5zAcX0?authuser=0&hl=zh-TW&rclk=1
ChIJD2z_oEDr_TgR3dXr9r1770A,Leh Town Cafe - Best Cafe in Leh Ladakh,,False,165,"Name: LEHVENDA CAFE
link: https://www.google.com/maps/search/LEHVENDA+CAFE/@34.164867699999995,77.5854497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: My Cafe
link: https://www.google.com/maps/search/My+Cafe/@34.164702999999996,77.585129?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews",https://leh-town-cafe-best-cafe-in-leh-ladakh.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Leh Town Cafe - Best Cafe in Leh Ladakh (Ye Zhu ),https://www.google.com/maps/contrib/114005381240439323708,https://lh5.googleusercontent.com/p/AF1QipNVVjVbp6GHoa60cQ_xh9v2NN9Gh6cq9dd7_8HD=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,,Open All Days,+91 94191 87075,"Leh Town Cafe - Best Cafe in Leh Ladakh, Fort Rd, below Hotel Lumbini, Leh, Ladakh 194101","Han Bao , San Ming Zhi , Yin Le , Ke Ke , Bu Lang Ni , Qia Bu Qi Nuo , Shu , Qi Si ",https://www.google.com/maps/place/Leh+Town+Cafe+-+Best+Cafe+in+Leh+Ladakh/data=!4m7!3m6!1s0x38fdeb40a0ff6c0f:0x40ef7bbdf6ebd5dd!8m2!3d34.1629764!4d77.5805934!16s%2Fg%2F11gbf5cp1b!19sChIJD2z_oEDr_TgR3dXr9r1770A?authuser=0&hl=zh-TW&rclk=1
ChIJRybrXhXr_TgRfOArHfP0GFs,My Cafe,,False,141,"Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Yama Coffee House
link: https://www.google.com/maps/search/Yama+Coffee+House/@34.170783799999995,77.5783477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 184 reviews

Name: Lala's cafe
link: https://www.google.com/maps/search/Lala%27s+cafe/@34.1649728,77.5861962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Wheat & Barley - Ladakh
link: https://www.google.com/maps/search/Wheat+%26+Barley+-+Ladakh/@34.1530415,77.57370449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",https://my-cafe-coffee-shop.business.site/,My Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102408737357784789032,https://lh5.googleusercontent.com/p/AF1QipMvKfVQb2TpK2jjSvbzN7SzYmUdwL9rHZaCmLPP=w428-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,10:00-20:30,Open All Days,+91 95826 97397,"My Cafe, LBA complex, main bazar Leh Leh Jammu and Kashmir, 194101","Dan Gao , Shi Chang , wifi, Shu , Yang Tai , Ka Pei Shi ",https://www.google.com/maps/place/My+Cafe/data=!4m7!3m6!1s0x38fdeb155eeb2647:0x5b18f4f31d2be07c!8m2!3d34.164703!4d77.585129!16s%2Fg%2F11hbc1tr77!19sChIJRybrXhXr_TgRfOArHfP0GFs?authuser=0&hl=zh-TW&rclk=1
ChIJseGWnjnr_TgRag--NDXVJCM,"Cafe De Muse, Leh, Ladakh",,False,116,"Name: LEHVENDA CAFE
link: https://www.google.com/maps/search/LEHVENDA+CAFE/@34.164867699999995,77.5854497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Himalayan Cafe
link: https://www.google.com/maps/search/Himalayan+Caf%C3%A9/@34.1634117,77.5852668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Leh Cafe
link: https://www.google.com/maps/search/Leh+Cafe/@34.164693299999996,77.5842634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: The Nukkad Leh
link: https://www.google.com/maps/search/The+Nukkad+Leh/@34.1642668,77.5826125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://cafe-de-muse-skara.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"Cafe De Muse, Leh, Ladakh (Ye Zhu )",https://www.google.com/maps/contrib/107663919514230067868,https://lh5.googleusercontent.com/p/AF1QipNfGfDCR0xqaRe664xATlxrCzxaIAAA4pdFWlLc=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-21:30,Open All Days,,"Cafe De Muse, Leh, Ladakh, Skara Rd, near Hotel Ladakh Imperial, Leh, Ladakh 194101","Han Bao , Jing Yan , Qia Bu Qi Nuo ","https://www.google.com/maps/place/Cafe+De+Muse,+Leh,+Ladakh/data=!4m7!3m6!1s0x38fdeb399e96e1b1:0x2324d53534be0f6a!8m2!3d34.1531825!4d77.573476!16s%2Fg%2F11lg3jn5jn!19sChIJseGWnjnr_TgRag--NDXVJCM?authuser=0&hl=zh-TW&rclk=1"
