place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJGzZhpX1IE4wRegRw4itzeiI,Carrefour Market Boisripeaux,,False,204,"Name: Carrefour Market
link: https://www.google.com/maps/search/Carrefour+Market/@16.2039746,-61.605567699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews

Name: Carrefour Express
link: https://www.google.com/maps/search/Carrefour+Express/@16.2207965,-61.527215399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Carrefour Express Les Abymes
link: https://www.google.com/maps/search/Carrefour+Express+Les+Abymes/@16.2520636,-61.526011100000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Carrefour Express Coeur de Jarry
link: https://www.google.com/maps/search/Carrefour+Express+Coeur+de+Jarry/@16.2407126,-61.57174309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: VIVAL
link: https://www.google.com/maps/search/VIVAL/@16.278778499999998,-61.505200599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://g.co/kgs/xhFwS8,Carrefour Market Boisripeaux (Ye Zhu ),https://www.google.com/maps/contrib/112788841167907653117,https://lh5.googleusercontent.com/p/AF1QipOn6bmHvWmBJ3ZkwGqqgKRma0bzC4NrYoUBBsl6=w408-h544-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Xian Shi Shi Chang , You Ji Shi Pin Dian ",3.4,08:00-20:00,Open All Days,+33 5 90 20 96 47,"Carrefour Market Boisripeaux, Centre Commercial de Boisripeaux, Boulevard du 10 Mai 1981, 97139, Les Abymes, Gua Di Luo Pu ","Jia Ge , Bian Li Chao Shang , Yuan Gong , Ting Che Chang ",https://www.google.com/maps/place/Carrefour+Market+Boisripeaux/data=!4m7!3m6!1s0x8c13487da561361b:0x227a732be270047a!8m2!3d16.2811519!4d-61.5055577!16s%2Fg%2F11b7dsfjn_!19sChIJGzZhpX1IE4wRegRw4itzeiI?authuser=0&hl=zh-TW&rclk=1
ChIJb3Q3nOBFE4wR2W1EtrvIHNM,Sweethe Pointe a Pitre,,False,105,"Name: Le The Penseur
link: https://www.google.com/maps/search/Le+Th%C3%A9+Penseur/@16.238599699999998,-61.56801589999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Bubble tea bar 971
link: https://www.google.com/maps/search/Bubble+tea+bar+971/@16.2400405,-61.5350926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Sweethe Sainte-Anne
link: https://www.google.com/maps/search/Sweeth%C3%A9+Sainte-Anne/@16.2240385,-61.38372210000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Culture F.W.I
link: https://www.google.com/maps/search/Culture+F.W.I/@16.2391908,-61.535089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Gout et Sante
link: https://www.google.com/maps/search/Gout+et+Sant%C3%A9/@16.2407531,-61.536545999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/sweethe.fr/,Sweethe Pointe a Pitre (Ye Zhu ),https://www.google.com/maps/contrib/118244625409613383665,https://lh5.googleusercontent.com/p/AF1QipNSX5IbmGlGy7scWLxr4G4RiGELXdYhCy7hLvgn=w408-h620-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Cha Yi Guan , Cha Xie Dian ",4.7,09:00-16:30,Xing Qi Ri ,+590 590 91 90 95,"Sweethe Pointe a Pitre, 9 Rue Sadi Carnot, Pointe-a-Pitre 97110Gua Di Luo Pu ","Xiang Shui , Da Dan Zhu , Dao Gong ",https://www.google.com/maps/place/Sweeth%C3%A9+Pointe+%C3%A0+Pitre/data=!4m7!3m6!1s0x8c1345e09c37746f:0xd31cc8bbb6446dd9!8m2!3d16.2379842!4d-61.5362411!16s%2Fg%2F11c52rbv7j!19sChIJb3Q3nOBFE4wR2W1EtrvIHNM?authuser=0&hl=zh-TW&rclk=1
ChIJIYaaWh9GE4wRaeEZ0oY33r8,Brioche Doree Petit-Perou,,False,95,"Name: O'Tacos Les Abymes
link: https://www.google.com/maps/search/O%27Tacos+Les+Abymes/@16.2605975,-61.516518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: Brioche Doree
link: https://www.google.com/maps/search/Brioche+Dor%C3%A9e/@16.252031199999998,-61.59006480000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Brioche Doree - Dothemare
link: https://www.google.com/maps/search/Brioche+Dor%C3%A9e+-+Doth%C3%A9mare/@16.2748102,-61.50989?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Chez Pater
link: https://www.google.com/maps/search/Chez+Pater/@16.2555086,-61.5329589?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Snack Delices
link: https://www.google.com/maps/search/Snack+D%C3%A9lices/@16.256186700000004,-61.5133942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.briochedoree.fr/,Brioche Doree Petit-Perou (Ye Zhu ),https://www.google.com/maps/contrib/108209866592535448915,https://lh5.googleusercontent.com/p/AF1QipO-cOD9xGjAS_tQpMZhiT1U3-rGXT7CMqhCVNOB=w408-h544-k-no,Kuai Can Dian ,Kuai Can Dian ,3.7,07:00-17:30,Xing Qi Ri ,+590 590 89 51 46,"Brioche Doree Petit-Perou, Centre Commercial Le Perou, 97139, Les Abymes 97139Gua Di Luo Pu ",Jia Ge ,https://www.google.com/maps/place/Brioche+Dor%C3%A9e+Petit-P%C3%A9rou/data=!4m7!3m6!1s0x8c13461f5a9a8621:0xbfde3786d219e169!8m2!3d16.2588915!4d-61.5186714!16s%2Fg%2F11cs3838qg!19sChIJIYaaWh9GE4wRaeEZ0oY33r8?authuser=0&hl=zh-TW&rclk=1
ChIJMRs6YuBFE4wRn_MGZHfJRfg,Renee frebault,,False,57,"Name: Baguet Shop - Pointe-a-pitre
link: https://www.google.com/maps/search/Baguet+Shop+-+Pointe-%C3%A0-pitre/@16.2411612,-61.536930299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Restaurant Cafe de France
link: https://www.google.com/maps/search/Restaurant+Caf%C3%A9+de+France/@16.2372694,-61.534504899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Patisserie Renee Legitimus
link: https://www.google.com/maps/search/P%C3%A2tisserie+Ren%C3%A9e+L%C3%A9gitimus/@16.2433399,-61.534510299999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: BOUL'MICHE
link: https://www.google.com/maps/search/BOUL%27MICHE/@16.2410469,-61.5365809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Tout Chaud - Mortenol
link: https://www.google.com/maps/search/Tout+Chaud+-+Mortenol/@16.239549399999998,-61.5318833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://www.renee.gp/,Renee frebault (Ye Zhu ),https://www.google.com/maps/contrib/112740361740292314580,https://lh5.googleusercontent.com/p/AF1QipPn1zt5Ir2Y-661ekpLrKptolvsblPcazJHu6MH=w408-h613-k-no,Kuai Can Dian ,"Kuai Can Dian , Fa Shi Gao Bing Dian , San Wen Zhi Dian ",4.3,06:30-17:00,Xing Qi Ri ,+590 590 89 03 79,"Renee frebault, 53 Rue Frebault, Pointe-a-Pitre 97110Gua Di Luo Pu ","Qiao Ke Li , Gao ",https://www.google.com/maps/place/Ren%C3%A9e+fr%C3%A9bault/data=!4m7!3m6!1s0x8c1345e0623a1b31:0xf845c9776406f39f!8m2!3d16.2380846!4d-61.5359339!16s%2Fg%2F11b73wvxg6!19sChIJMRs6YuBFE4wRn_MGZHfJRfg?authuser=0&hl=zh-TW&rclk=1
ChIJF9ZXGCdPE4wR5fE5kOgGQcg,SAFAR Coffee Shop,,False,44,"Name: Zoo Rock Cafe
link: https://www.google.com/maps/search/Zoo+Rock+Caf%C3%A9/@16.2198311,-61.5270406?authuser=0&hl=zh-TW&entry=ttu
Reviews: 994 reviews

Name: Le Spot cafe-resto
link: https://www.google.com/maps/search/Le+Spot+caf%C3%A9-resto/@16.2084617,-61.50595119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Karukera Cafe
link: https://www.google.com/maps/search/Karuk%C3%A9ra+Caf%C3%A9/@16.2083328,-61.50638519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Chez Yoya super fria
link: https://www.google.com/maps/search/Chez+Yoya+super+fria/@16.2179088,-61.5091068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://instagram.com/safar_coffee_shop%3Figshid%3DMzRlODBiNWFlZA%3D%3D,SAFAR Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/109561935369017483934,https://lh5.googleusercontent.com/p/AF1QipP62LIF5FeJ8TlA5pK0b15lpKZIJz73jp9IlRxl=w408-h444-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Zao Wu Can Can Ting ",4.9,09:00-15:00,"Xing Qi Yi , Xing Qi Er ",,"SAFAR Coffee Shop, Espace Boukarou, Rte De Montauban, Le Gosier 97190Gua Di Luo Pu ","Song Bing , Zao Wu Can , Na Tie , Fu Wu , Guo Zhi , IG, Dao , Chu Fang , Bu Li Ou ",https://www.google.com/maps/place/SAFAR+Coffee+Shop/data=!4m7!3m6!1s0x8c134f271857d617:0xc84106e89039f1e5!8m2!3d16.2150865!4d-61.5027666!16s%2Fg%2F11srylstd8!19sChIJF9ZXGCdPE4wR5fE5kOgGQcg?authuser=0&hl=zh-TW&rclk=1
ChIJDTcU4uxFE4wRHxx0LCE4UWY,Parad Ice Cafe,,False,37,"Name: COCO KAFE
link: https://www.google.com/maps/search/COCO+KAFE/@16.2211344,-61.52321800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 950 reviews

Name: O'Bistrot
link: https://www.google.com/maps/search/O%E2%80%99Bistrot/@16.219687200000003,-61.5278198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Les Ignorants
link: https://www.google.com/maps/search/Les+Ignorants/@16.219900199999998,-61.528404?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Paradise
link: https://www.google.com/maps/search/Paradise/@16.219400399999998,-61.5275771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://parad-ice-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Parad Ice Cafe (Ye Zhu ),https://www.google.com/maps/contrib/113602796529001106418,https://lh5.googleusercontent.com/p/AF1QipOlMEBXcbVu7QQ2au455EFC9HoIUiNsvU1d9Bro=w408-h544-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",3.5,12:00-00:00,Open All Days,+590 590 90 96 76,"Parad Ice Cafe, Marina de, Pointe-a-Pitre 97110Gua Di Luo Pu ","Pi Sa , Jia Ge , Sha La ",https://www.google.com/maps/place/Parad+Ice+Caf%C3%A9/data=!4m7!3m6!1s0x8c1345ece214370d:0x665138212c741c1f!8m2!3d16.2199727!4d-61.5278719!16s%2Fg%2F11f54nss16!19sChIJDTcU4uxFE4wRHxx0LCE4UWY?authuser=0&hl=zh-TW&rclk=1
ChIJ-eaw4flHE4wRxOVXVeHf0UI,GLACE AN NOU LES ABYMES,,False,27,"Name: Gelato & Cappuccino Maitre Glacier Italien
link: https://www.google.com/maps/search/Gelato+%26+Cappuccino+Maitre+Glacier+Italien/@16.2238374,-61.38341260000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 577 reviews

Name: So'glaces
link: https://www.google.com/maps/search/So%27glaces/@16.2502993,-61.2727503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: La Dolce Vita
link: https://www.google.com/maps/search/La+Dolce+Vita/@16.2653098,-61.51351769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: CECILE Glacons
link: https://www.google.com/maps/search/C%C3%89CILE+Gla%C3%A7ons/@16.2589488,-61.505350899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: glacier saint francois guadeloupe
link: https://www.google.com/maps/search/glacier+saint+francois+guadeloupe/@16.2382176,-61.533753100000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://glaceannou.com/,GLACE AN NOU LES ABYMES (Ye Zhu ),https://www.google.com/maps/contrib/102526058912943919022,https://lh5.googleusercontent.com/p/AF1QipMNoZltc6cMaCHPR2ZRuDWpo0_GpngD8Y-N9AmW=w408-h544-k-no,Sheng Dai Can Ting ,Sheng Dai Can Ting ,4.4,11:00-19:00,Xing Qi Yi ,+590 590 48 44 65,"GLACE AN NOU LES ABYMES, PETIT PEROU LES ABYMES, 97139Gua Di Luo Pu ","Hua Sheng , Nai Xi , Bai Xiang Guo , Dian Yuan ",https://www.google.com/maps/place/GLACE+AN+NOU+LES+ABYMES/data=!4m7!3m6!1s0x8c1347f9e1b0e6f9:0x42d1dfe15557e5c4!8m2!3d16.2564209!4d-61.5204944!16s%2Fg%2F11frfgrkn0!19sChIJ-eaw4flHE4wRxOVXVeHf0UI?authuser=0&hl=zh-TW&rclk=1
ChIJmx_Sw6hHE4wRJVOr8QK3MLg,Renee Grand-camp,,False,25,"Name: Patisserie Renee Legitimus
link: https://www.google.com/maps/search/P%C3%A2tisserie+Ren%C3%A9e+L%C3%A9gitimus/@16.2433399,-61.534510299999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Sweet Delice
link: https://www.google.com/maps/search/Sweet+D%C3%A9lice/@16.2537319,-61.52233119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Restaurant Marie France
link: https://www.google.com/maps/search/Restaurant+Marie+France/@16.250333899999998,-61.532912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Boulangerie antillaise 4eme generation
link: https://www.google.com/maps/search/Boulangerie+antillaise+4%C3%A8me+g%C3%A9n%C3%A9ration/@16.2515878,-61.5415352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.renee.gp/,Renee Grand-camp (Ye Zhu ),https://www.google.com/maps/contrib/116625772519791276092,https://lh5.googleusercontent.com/p/AF1QipNPH9Y13Bsdd2kGYkpTX6sfXTm1JX6KjOTcNDmi=w408-h544-k-no,Kuai Can Dian ,Kuai Can Dian ,3.6,06:30-17:30,Open All Days,+590 590 91 89 54,"Renee Grand-camp, 22 center grand-camp Les abymes, 97139Gua Di Luo Pu ",,https://www.google.com/maps/place/Ren%C3%A9e+Grand-camp/data=!4m7!3m6!1s0x8c1347a8c3d21f9b:0xb830b702f1ab5325!8m2!3d16.2498591!4d-61.5330903!16s%2Fg%2F11n123rytm!19sChIJmx_Sw6hHE4wRJVOr8QK3MLg?authuser=0&hl=zh-TW&rclk=1
ChIJibMelp1IE4wRIxgbsWQBuoM,Cafe de France,,False,19,"Name: Restaurant Cafe de France
link: https://www.google.com/maps/search/Restaurant+Caf%C3%A9+de+France/@16.2401453,-61.5831051?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: La Pause Brunch
link: https://www.google.com/maps/search/La+Pause+Brunch/@16.252634399999998,-61.52109689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@16.2649963,-61.51299770000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: L'ITALIEN
link: https://www.google.com/maps/search/L%E2%80%99ITALIEN/@16.2653407,-61.512541299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Or Noir Cafe Guadeloupe
link: https://www.google.com/maps/search/Or+Noir+Caf%C3%A9+Guadeloupe/@16.2528125,-61.522687499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://website-4415473798376907617142-restaurant.business.site/,Cafe de France (Ye Zhu ),https://www.google.com/maps/contrib/112163003458955426394,https://lh5.googleusercontent.com/p/AF1QipMWP-wuvuNFFsfS2cd3vjzgcpmcYo4V_o9GGp0f=w408-h306-k-no,Zao Wu Can Can Ting ,"Zao Wu Can Can Ting , Ka Pei Ting , Can Ting , Sha Lu Dian , San Wen Zhi Dian ",3.1,,Open All Days,+590 590 20 89 62,"Cafe de France, centre commercial Milenis, Les Abymes 97139Gua Di Luo Pu ",San Ming Zhi ,https://www.google.com/maps/place/Caf%C3%A9+de+France/data=!4m7!3m6!1s0x8c13489d961eb389:0x83ba0164b11b1823!8m2!3d16.2648474!4d-61.513004!16s%2Fg%2F11csszc410!19sChIJibMelp1IE4wRIxgbsWQBuoM?authuser=0&hl=zh-TW&rclk=1
ChIJEQd0yFVHE4wRMDAyg-SJ4tA,La Kaz a Boudins,,False,14,"Name: Boudin De Saint Felix
link: https://www.google.com/maps/search/Boudin+De+Saint+F%C3%A9lix/@16.207474599999998,-61.4576862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: La Fine epicerie des Boudins de Saint Felix
link: https://www.google.com/maps/search/La+Fine+%C3%A9picerie+des+Boudins+de+Saint+F%C3%A9lix/@16.2400198,-61.5689948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Allamanda Market
link: https://www.google.com/maps/search/Allamanda+Market/@16.2713538,-61.504917000000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: CHEZ LAJOY
link: https://www.google.com/maps/search/CHEZ+LAJOY/@16.2477096,-61.5294963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://la-kaz-a-boudins.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Kaz a Boudins (Ye Zhu ),https://www.google.com/maps/contrib/118123813115886930502,https://lh5.googleusercontent.com/p/AF1QipM6UYh_Tmfla_QYYeaSr0l3L3HJVcEhOSvir2eg=w408-h274-k-no,Shou Shi Dian ,Shou Shi Dian ,4.6,08:30-18:30,Xing Qi Yi ,+590 690 59 71 07,"La Kaz a Boudins, Residence SIG les Aloes, 2601 Rue Jean Ignace, Les Abymes 97139Gua Di Luo Pu ",Jing Pin Dian ,https://www.google.com/maps/place/La+Kaz+%C3%A0+Boudins/data=!4m7!3m6!1s0x8c134755c8740711:0xd0e289e483323030!8m2!3d16.2528925!4d-61.5216375!16s%2Fg%2F11rpf2_pl0!19sChIJEQd0yFVHE4wRMDAyg-SJ4tA?authuser=0&hl=zh-TW&rclk=1
