place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-ZuOlFYABDQRT4Pk8HeffpM,Chong Guang Bai Huo Tong Luo Wan Dian ,"Zhe Dong Duo Lou Ceng De Bai Huo Shang Dian Yong You Zhi Ming Pin Pai Fu Shi , Hua Zhuang Pin , Jia Ju Yong Pin He Dian Qi . ",False,14218,"Name: Chong Guang Bai Huo 
link: https://www.google.com/maps/search/%E5%B4%87%E5%85%89%E7%99%BE%E8%B2%A8/@22.28091,114.18363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Longchamp
link: https://www.google.com/maps/search/Longchamp/@22.280447199999998,114.1842095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Pu La Da  Chong Guang Tong Luo Wan Dian 
link: https://www.google.com/maps/search/%E6%99%AE%E6%8B%89%E9%81%94+%E5%B4%87%E5%85%89%E9%8A%85%E9%91%BC%E7%81%A3%E5%BA%97/@22.2804272,114.18430319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Rockport
link: https://www.google.com/maps/search/Rockport/@22.280429299999998,114.1839139?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Beaute@SOGO
link: https://www.google.com/maps/search/Beaute%40SOGO/@22.280359999999998,114.1849412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.sogo.com.hk/cwb/en/about/location.php,Chong Guang Bai Huo Tong Luo Wan Dian  (Ye Zhu ),https://www.google.com/maps/contrib/110978397000908565223,https://lh5.googleusercontent.com/p/AF1QipP-3Q5CIejTyWTMvjydfVWO1I-o2-egQd_5anPk=w408-h305-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,4,10:00-22:30,Open All Days,2833 8338,Tong Luo Wan Xuan Ni Shi Dao Dong Jiao Zhong Xin Ji Dong Jiao Zhong Xin (Xin Yi )Chong Guang Bai Huo Tong Luo Wan Dian ,"Chao Shi , Di Ku , Jiao Tong , Jing Pin , Lu Ke , Di Biao , Duo Yuan , Ben Tu ",https://www.google.com/maps/place/%E5%B4%87%E5%85%89%E7%99%BE%E8%B2%A8%E9%8A%85%E9%91%BC%E7%81%A3%E5%BA%97/data=!4m7!3m6!1s0x34040056948e9bf9:0x937e9f77f0e4834f!8m2!3d22.2804272!4d114.1843032!16s%2Fg%2F12hk6lp8b!19sChIJ-ZuOlFYABDQRT4Pk8HeffpM?authuser=0&hl=zh-TW&rclk=1
ChIJySEHiGyqBjQRVcZqqpxEP_k,Chi Zhu Shi Ji ,"Re Nao De Lao Shi Jie Tou Shi Chang ,Xiao Fan Dou Shou Fu Shi , Gong Yi Pin He Ji Nian Pin . ",False,7588,"Name: Chi Zhu Guang Chang 
link: https://www.google.com/maps/search/%E8%B5%A4%E6%9F%B1%E5%BB%A3%E5%A0%B4/@22.219341699999998,114.20990119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9562 reviews

Name: Stanley Main Street
link: https://www.google.com/maps/search/Stanley+Main+Street/@22.2186265,114.21107269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 422 reviews

Name: Chi Zhu Shi Ji 
link: https://www.google.com/maps/search/%E8%B5%A4%E6%9F%B1%E5%B8%82%E9%9B%86/@22.219052,114.21285300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Chi Zhu Guang Chang 
link: https://www.google.com/maps/search/%E8%B5%A4%E6%9F%B1%E5%BB%A3%E5%A0%B4/@22.220209999999998,114.20918999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://hk-stanley-market.com/,Chi Zhu Shi Ji  (Ye Zhu ),https://www.google.com/maps/contrib/109780499821555839914,https://lh5.googleusercontent.com/p/AF1QipPLnaR5lD1iSaIA17POqM8sbMXjhvkZH0-PDi-e=w408-h306-k-no,Shi Chang ,"Shi Chang , Lu You Jing Dian ",4,10:00-19:00,Open All Days,,Chi Zhu Chi Zhu Xin Jie Chi Zhu Shi Ji ,"Sha Tan , Ji Nian Pin , You Ke , Yi Qing , Yi Shu Pin , Chu Kou , Qi Ju ",https://www.google.com/maps/place/%E8%B5%A4%E6%9F%B1%E5%B8%82%E9%9B%86/data=!4m7!3m6!1s0x3406aa6c880721c9:0xf93f449caa6ac655!8m2!3d22.2181259!4d114.212625!16zL20vMGJoY3Zq!19sChIJySEHiGyqBjQRVcZqqpxEP_k?authuser=0&hl=zh-TW&rclk=1
ChIJoWWLP-34AzQR7wlS0vBcvNo,Quan Wan Qian Se Hui ,,False,6358,"Name: Quan Wan Qian Se Hui 
link: https://www.google.com/maps/search/%E8%8D%83%E7%81%A3%E5%8D%83%E8%89%B2%E5%8C%AF/@22.3706309,114.11764529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5724 reviews

Name: Qian Se  Citistore Quan Wan Dian Zi Sheng Tang Zhuan Gui 
link: https://www.google.com/maps/search/%E5%8D%83%E8%89%B2+Citistore+%E8%8D%83%E7%81%A3%E5%BA%97%E8%B3%87%E7%94%9F%E5%A0%82%E5%B0%88%E6%AB%83/@22.371364,114.118961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Clinique Tsuen Wan Qian Se Hui 
link: https://www.google.com/maps/search/Clinique+Tsuen+Wan+%E5%8D%83%E8%89%B2%E5%8C%AF/@22.3714615,114.1188473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Shan Mo Shi ,Qian Se 
link: https://www.google.com/maps/search/%E8%86%B3%E9%AD%94%E5%B8%AB%2C%E5%8D%83%E8%89%B2/@22.371349,114.11884500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ms. Chu Soap & Beaut (Citistore, Tsuen Wan)
link: https://www.google.com/maps/search/Ms.+Chu+Soap+%26+Beaut+%28Citistore%2C+Tsuen+Wan%29/@22.3699518,114.11435390000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.citistore.com.hk/store/tw/,Quan Wan Qian Se Hui  (Ye Zhu ),https://www.google.com/maps/contrib/113642206213974639587,https://lh5.googleusercontent.com/p/AF1QipMGXuhQ6MSUv3dMk28_QRHjQ7R6FYftr6HmI5j-=w426-h240-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,3.8,10:00-22:00,Open All Days,3725 8000,Quan Wan Qian Se Hui  Quan Wan Di Duan  301Hao  Quan Wan Qian Se Hui  II,"Shang Chang , Jiao Tong , Huo Wu , Zhuang Xiu , Ren Liu , Di Tie Zhan , Pin Zhong , Ce Suo , Ping Ri ",https://www.google.com/maps/place/%E8%8D%83%E7%81%A3%E5%8D%83%E8%89%B2%E6%BB%99/data=!4m7!3m6!1s0x3403f8ed3f8b65a1:0xdabc5cf0d25209ef!8m2!3d22.371301!4d114.1188727!16s%2Fg%2F124srdhjp!19sChIJoWWLP-34AzQR7wlS0vBcvNo?authuser=0&hl=zh-TW&rclk=1
ChIJV2PkBe34AzQR9N64qEMD5mw,Quan Wan Qian Se Hui ,"Kuan Chang De Xian Dai Feng Shi Nei Gou Wu Zhong Xin ,She You Ge Zhong Shang Dian He Can Ting ,Bing Ti Gong Mian Fei Ting Che Wei . ",False,5724,"Name: Quan Wan Guang Chang 
link: https://www.google.com/maps/search/%E8%8D%83%E7%81%A3%E5%BB%A3%E5%A0%B4/@22.370821,114.1112277?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8625 reviews

Name: Quan Xin Tian Di 
link: https://www.google.com/maps/search/%E8%8D%83%E6%96%B0%E5%A4%A9%E5%9C%B0/@22.369603100000003,114.11365049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7729 reviews

Name: Quan Wan Qian Se Hui 
link: https://www.google.com/maps/search/%E8%8D%83%E7%81%A3%E5%8D%83%E8%89%B2%E6%BB%99/@22.371301,114.1188727?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6357 reviews

Name: Quan Wan Xin Zhi Cheng 
link: https://www.google.com/maps/search/%E8%8D%83%E7%81%A3%E6%96%B0%E4%B9%8B%E5%9F%8E/@22.3736955,114.1164644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1610 reviews

Name: Quan Wan Zhong Xin Shang Chang 
link: https://www.google.com/maps/search/%E8%8D%83%E7%81%A3%E4%B8%AD%E5%BF%83%E5%95%86%E5%A0%B4/@22.378103499999998,114.10784439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews",http://www.samsung.com/hk/,Quan Wan Qian Se Hui  (Ye Zhu ),https://www.google.com/maps/contrib/104029216057605003102,https://lh5.googleusercontent.com/p/AF1QipPqq1u1t6xSq2rk0NN97F-u9g_X59B4GUlFP8fn=w408-h272-k-no,Shou Ji Zhuan Men Dian ,"Shou Ji Zhuan Men Dian , Dian Qi Ling Shou ",3.7,11:00-21:00,Open All Days,2701 4062,"I, Quan Wan Qian Se Hui  KOLOUR, Shop G001B, G/F, 68 Chung On St, Tsuen Wan","Bai Huo Gong Si , Jiao Tong , Zhuang Xiu , Yin Shi , Shu Shi , Yong Pin , Duo Yuan , Pin Zhong , Lei ",https://www.google.com/maps/place/%E8%8D%83%E7%81%A3%E5%8D%83%E8%89%B2%E5%8C%AF/data=!4m7!3m6!1s0x3403f8ed05e46357:0x6ce60343a8b8def4!8m2!3d22.3706309!4d114.1176453!16s%2Fm%2F063_y65!19sChIJV2PkBe34AzQR9N64qEMD5mw?authuser=0&hl=zh-TW&rclk=1
ChIJfRcTPckABDQRYtDqSnsSIQ4,Yi Tian Chao Shi  Wang Jiao Dian ,,False,1814,"Name: Guai Dian  Kaiten
link: https://www.google.com/maps/search/%E6%80%AA%E5%BA%97+Kaiten/@22.318866699999997,114.1685026?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Tian Ji Shi Duo 
link: https://www.google.com/maps/search/%E6%B7%BB%E8%A8%98%E5%A3%AB%E5%A4%9A/@22.32361,114.1652919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Yee Fat trading co.
link: https://www.google.com/maps/search/Yee+Fat+trading+co./@22.325190799999998,114.17332789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: dotdotDe Guo Jiao Yuan  l Wang Jiao Yi Tian Zhuan Gui YATA
link: https://www.google.com/maps/search/dotdot%E5%BE%B7%E5%9C%8B%E8%86%A0%E5%8E%9F+l+%E6%97%BA%E8%A7%92%E4%B8%80%E7%94%B0%E5%B0%88%E6%AB%83YATA/@22.323282799999998,114.17207119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.yata.hk/tch/store/mong-kok/,Yi Tian Chao Shi (Wang Jiao ) (Ye Zhu ),https://www.google.com/maps/contrib/114056300607781745357,https://lh5.googleusercontent.com/p/AF1QipN0vDAVOWRSkmxC_S1ueKic3AoLgmtem4KQSz4L=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,10:00-22:00,Open All Days,2192 2388,Wang Jiao Tai Zi Dao Xi 193Hao Wang Jiao Xin Shi Ji Guang Chang  5Lou Yi Tian Chao Shi (Wang Jiao ),"Huo Pin , Xuan Ze , Shu Shi , Zhuang Xiu , You Hui , Shui Guo , Pin Zhong , Shou Shi , Shou Si , Sheng Xian ",https://www.google.com/maps/place/%E4%B8%80%E7%94%B0%E8%B6%85%E5%B8%82+%E6%97%BA%E8%A7%92%E5%BA%97/data=!4m7!3m6!1s0x340400c93d13177d:0xe21127b4aead062!8m2!3d22.3235622!4d114.1727777!16s%2Fg%2F1pty4_5_t!19sChIJfRcTPckABDQRYtDqSnsSIQ4?authuser=0&hl=zh-TW&rclk=1
ChIJ2UdzigsEBDQR9-15zlpIxFA,Qian Se  Citistore,,False,1436,"Name: Qian Se  Citistore Quan Wan Dian Zi Sheng Tang Zhuan Gui 
link: https://www.google.com/maps/search/%E5%8D%83%E8%89%B2+Citistore+%E8%8D%83%E7%81%A3%E5%BA%97%E8%B3%87%E7%94%9F%E5%A0%82%E5%B0%88%E6%AB%83/@22.371364,114.118961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: BRUNO Store
link: https://www.google.com/maps/search/BRUNO+Store/@22.2944425,114.2707138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: AMOR Baby's Wear - Bao Lin Dian 
link: https://www.google.com/maps/search/AMOR+Baby%27s+Wear+-+%E5%AF%B6%E7%90%B3%E5%BA%97/@22.322848699999998,114.25851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: CoTima, CITISTORE
link: https://www.google.com/maps/search/CoTima%2C+CITISTORE/@22.323263999999998,114.258219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.citistore.com.hk/tko-store/,Qian Se  Citistore (Ye Zhu ),https://www.google.com/maps/contrib/101422435603472941086,https://lh5.googleusercontent.com/p/AF1QipOyIzZF-YpAv6hW2U6JP88xtzGyPVopWQHwfsEZ=w408-h306-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,3.8,10:00-22:00,Open All Days,3725 8000,Jiang Jun Ao Xin Jing Lu 8Hao Qian Se  Citistore,"Huo Pin , Shang Chang , Xuan Ze , Jia , Dian Qi , Jiao Tong , Dian Yuan , Li Mao , Pin Zhong , Zhuang Xiu ",https://www.google.com/maps/place/%E5%8D%83%E8%89%B2+Citistore/data=!4m7!3m6!1s0x3404040b8a7347d9:0x50c4485ace79edf7!8m2!3d22.3224818!4d114.2588691!16s%2Fg%2F1tg_tpwv!19sChIJ2UdzigsEBDQR9-15zlpIxFA?authuser=0&hl=zh-TW&rclk=1
ChIJn9hr3_IABDQRBeb2qQ-u27c,Lian Qia Fo ,,False,922,"Name: Lian Qia Fo 
link: https://www.google.com/maps/search/%E9%80%A3%E5%8D%A1%E4%BD%9B/@22.278150999999998,114.1821136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 713 reviews

Name: DIOR BEAUTY - LANE CRAWFORD (CANTON ROAD)
link: https://www.google.com/maps/search/DIOR+BEAUTY+-+LANE+CRAWFORD+%28CANTON+ROAD%29/@22.295088099999997,114.1689699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: THIERRY MUGLER @ Lian Qia Fo 
link: https://www.google.com/maps/search/THIERRY+MUGLER+%40+%E9%80%A3%E5%8D%A1%E4%BD%9B/@22.297888,114.16796900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: BYREDO Hong Kong LC Canton Road
link: https://www.google.com/maps/search/BYREDO+Hong+Kong+LC+Canton+Road/@22.2952342,114.16933290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Guerlain
link: https://www.google.com/maps/search/Guerlain/@22.294974699999997,114.1670968?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.lanecrawford.com.hk/,Lian Qia Fo  (Ye Zhu ),https://www.google.com/maps/contrib/118192332282404888861,https://lh5.googleusercontent.com/p/AF1QipM83hWtw6Zlaza-OW95--M_IHYm3wUrXiQOvLx_=w426-h240-k-no,Bai Huo Gong Si ,"Bai Huo Gong Si , Fu Zhuang Dian , Hua Zhuang Pin Dian , Shi Zhuang Ji Pei Shi Dian , Jia Dian , Li Pin Dian , Xie Pin Dian ",4,10:00-21:00,Open All Days,2118 2288,Jian Sha Ju Guang Dong Dao 3Hao Lian Qia Fo ,"Pin Pai , Jing Pin , Jia Ge , Fu Wu , Shi Zhuang , Gou Wu Zhong Xin , Fan Mai , Huo Pin , You Hui , Shu Shi ",https://www.google.com/maps/place/%E9%80%A3%E5%8D%A1%E4%BD%9B/data=!4m7!3m6!1s0x340400f2df6bd89f:0xb7dbae0fa9f6e605!8m2!3d22.2953231!4d114.1688678!16s%2Fg%2F1v3hxl6c!19sChIJn9hr3_IABDQRBeb2qQ-u27c?authuser=0&hl=zh-TW&rclk=1
ChIJjZiRnLEIBDQRU56eU1r5SHg,Qian Se Citistore,,False,839,"Name: Xin Gang Cheng Zhong Xin 
link: https://www.google.com/maps/search/%E6%96%B0%E6%B8%AF%E5%9F%8E%E4%B8%AD%E5%BF%83/@22.4241633,114.2314688?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5603 reviews

Name: Qu Chen Shi 
link: https://www.google.com/maps/search/%E5%B1%88%E8%87%A3%E6%B0%8F/@22.4237565,114.231349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Qian Se  Citistore Quan Wan Dian Zi Sheng Tang Zhuan Gui 
link: https://www.google.com/maps/search/%E5%8D%83%E8%89%B2+Citistore+%E8%8D%83%E7%81%A3%E5%BA%97%E8%B3%87%E7%94%9F%E5%A0%82%E5%B0%88%E6%AB%83/@22.371364,114.118961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Trendy
link: https://www.google.com/maps/search/Trendy/@22.4255042,114.23110539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: CoTima, CITISTORE
link: https://www.google.com/maps/search/CoTima%2C+CITISTORE/@22.323263999999998,114.258219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.citistore.com.hk/mos/,Qian Se Citistore (Ye Zhu ),https://www.google.com/maps/contrib/107889288715979548910,https://lh5.googleusercontent.com/p/AF1QipP_q--pT5-LXMH-euw2f5r0o1V6_B3IQsWw6b1h=w408-h306-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,3.8,10:00-22:00,Open All Days,3725 8000,Ma An Shan An Lu Jie 18Hao Qian Se Citistore,"Jia Qian , Huo Pin , Xuan Ze , Zhuang Xiu , Shu Shi , Sheng Huo Yong Pin , Fu Zhuang , Ren Liu , Pin Pai , Xiao Fei ",https://www.google.com/maps/place/%E5%8D%83%E8%89%B2Citistore/data=!4m7!3m6!1s0x340408b19c91988d:0x7848f95a539e9e53!8m2!3d22.4245307!4d114.232641!16s%2Fg%2F1vnnf_d5!19sChIJjZiRnLEIBDQRU56eU1r5SHg?authuser=0&hl=zh-TW&rclk=1
ChIJAaZtxfIABDQRjt0sVFtI8bg,Wu Yin Liang Pin  Hai Gang Cheng Dian ,"Ji Jian Feng Ge De Ri Ben Ling Shou Shang Dian ,Fan Shou Fu Zhuang He Jia Ju Yong Pin Deng Ge Zhong Chang Jian Chan Pin . ",False,501,"Name: Wu Yin Liang Pin  Mei Li Hua Guang Chang Dian 
link: https://www.google.com/maps/search/%E7%84%A1%E5%8D%B0%E8%89%AF%E5%93%81+%E7%BE%8E%E9%BA%97%E8%8F%AF%E5%BB%A3%E5%A0%B4%E5%BA%97/@22.3006559,114.1721209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Wu Yin Liang Pin  De Fu Guang Chang Dian 
link: https://www.google.com/maps/search/%E7%84%A1%E5%8D%B0%E8%89%AF%E5%93%81+%E5%BE%B7%E7%A6%8F%E5%BB%A3%E5%A0%B4%E5%BA%97/@22.320563999999997,114.21314129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Ri Ben Cheng 
link: https://www.google.com/maps/search/%E6%97%A5%E6%9C%AC%E5%9F%8E/@22.2972567,114.1726391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Atelier MUJI Gong Zuo Shi 
link: https://www.google.com/maps/search/Atelier+MUJI+%E5%B7%A5%E4%BD%9C%E5%AE%A4/@22.295784299999998,114.1692032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.muji.com/,Wu Yin Liang Pin  Hai Gang Cheng Dian  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP4ztx1vpbpGwrP3vdQFEDAQINx8nTr-Q8OtBuY=w408-h544-k-no,Jia Ju Yong Pin Dian ,"Jia Ju Yong Pin Dian , Shang Dian ",4.2,11:00-21:30,Open All Days,3971 3101,Jian Sha Ju Wu Yin Liang Pin  Hai Gang Cheng Dian ,"cafe, Wei Dao , Shan , Xuan Ze , Shu Shi , Fu Wu , Pin Zhi , She Ji , Ri Ben Liao Li , Huo Pin ",https://www.google.com/maps/place/%E7%84%A1%E5%8D%B0%E8%89%AF%E5%93%81+%E6%B5%B7%E6%B8%AF%E5%9F%8E%E5%BA%97/data=!4m7!3m6!1s0x340400f2c56da601:0xb8f1485b542cdd8e!8m2!3d22.2958989!4d114.1690877!16s%2Fg%2F1tfxd8sl!19sChIJAaZtxfIABDQRjt0sVFtI8bg?authuser=0&hl=zh-TW&rclk=1
ChIJtYyQDT37AzQRUBQm1_s-bzM,Citistore,,False,376,"Name: Qian Se  Citistore Quan Wan Dian Zi Sheng Tang Zhuan Gui 
link: https://www.google.com/maps/search/%E5%8D%83%E8%89%B2+Citistore+%E8%8D%83%E7%81%A3%E5%BA%97%E8%B3%87%E7%94%9F%E5%A0%82%E5%B0%88%E6%AB%83/@22.371364,114.118961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Vans
link: https://www.google.com/maps/search/Vans/@22.3927311,113.97720249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.citistore.com.hk/tm/,Citistore (Ye Zhu ),https://www.google.com/maps/contrib/102520582638338910904,https://lh5.googleusercontent.com/p/AF1QipMnSzyHpajn6avXtG7ZZfMjWBwjdB-DRaL6lTyA=w408-h544-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,3.7,10:00-22:00,Open All Days,3725 8000,"San Lou , CitistoreTun Men Shi Dai Guang Chang Bei Yi  Tuen Lung St, Tuen Mun","Huo Pin , Dian Qi ",https://www.google.com/maps/place/Citistore/data=!4m7!3m6!1s0x3403fb3d0d908cb5:0x336f3efbd7261450!8m2!3d22.3931103!4d113.9756713!16s%2Fg%2F11b67dgflr!19sChIJtYyQDT37AzQRUBQm1_s-bzM?authuser=0&hl=zh-TW&rclk=1
