place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-wr-lqDXiZYRluz5-nu1qP8,Panaderia Poveda,,False,951,"Name: Panaderia Condell
link: https://www.google.com/maps/search/Panaderia+Condell/@-32.988031899999996,-71.2657359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 463 reviews

Name: Panaderia Ginebra
link: https://www.google.com/maps/search/Panader%C3%ADa+Ginebra/@-33.015656899999996,-71.2573367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Paula
link: https://www.google.com/maps/search/Paula/@-33.002004,-71.26833069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Panaderia y Pasteleria Aromas
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Aromas/@-33.0050616,-71.2590357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Confiteria Peques
link: https://www.google.com/maps/search/Confiteria+Peques/@-32.9839991,-71.2765142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.panaderiapoveda.cl/,Panaderia Poveda (Ye Zhu ),https://www.google.com/maps/contrib/115989404113223808602,https://lh5.googleusercontent.com/p/AF1QipNYAbx33gS_4KQ1xf6YHmkPFfhojRb2fa-_DTuB=w408-h408-k-no,Gao Bing Dian ,"Gao Bing Dian , Mian Bao Xi Bing Dian ",4.6,08:00-20:30,Open All Days,+56 33 241 4433,"Panaderia Poveda - Av. Republica 2042, 2240623 Limache, Valparaiso, Zhi Li ","Xian Bing , Pin Zhi , Fu You , Tian , Rou Xian , Nong Chan Pin , Pi Sa , Chuan Tong , San Ming Zhi ",https://www.google.com/maps/place/Panaderia+Poveda/data=!4m7!3m6!1s0x9689d7a096fe0afb:0xffa8b57bfaf9ec96!8m2!3d-33.009331!4d-71.2481323!16s%2Fg%2F1tg_y9bg!19sChIJ-wr-lqDXiZYRluz5-nu1qP8?authuser=0&hl=zh-TW&rclk=1
ChIJpdeH5AzUiZYRXpm55Bw_FH8,Panaderia Condell,,False,463,"Name: Pasteleria Murken
link: https://www.google.com/maps/search/Pasteleria+M%C3%BCrken/@-32.9871935,-71.2776796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 396 reviews

Name: Panaderia y Pasteleria Aromas
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Aromas/@-33.0050616,-71.2590357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Panaderia Italia
link: https://www.google.com/maps/search/Panaderia+Italia/@-33.0061327,-71.2557079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Pasteleria Limache
link: https://www.google.com/maps/search/Pasteleria+Limache/@-32.987164799999995,-71.2776563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.amarillas.cl/fichas/panaderia-condell_15379447/,Panaderia Condell (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP6HLVDfXDF-4qX8SGxhYxjtgGjvO5TtmYl1-4P=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.6,06:30-20:30,Open All Days,+56 33 241 4838,"Panaderia Condell - Condell 797, 2240230 Limache, Valparaiso, Zhi Li ","Chan Pin , Fu You , Pin Zhi , Jia Ge , Xian Bing , Zhu Zi Bao , Ke Ren , Zhi Fu , Pin Guo Pai ",https://www.google.com/maps/place/Panaderia+Condell/data=!4m7!3m6!1s0x9689d40ce487d7a5:0x7f143f1ce4b9995e!8m2!3d-32.9880319!4d-71.2657359!16s%2Fg%2F11c329t830!19sChIJpdeH5AzUiZYRXpm55Bw_FH8?authuser=0&hl=zh-TW&rclk=1
ChIJqaqtcAbUiZYRVT2ipraik8o,Pasteleria Murken,,False,397,"Name: Panaderia Condell
link: https://www.google.com/maps/search/Panaderia+Condell/@-32.988031899999996,-71.2657359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 463 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Panaderia y Pasteleria Aromas
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Aromas/@-33.0050616,-71.2590357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Co&Co Dulce Placer
link: https://www.google.com/maps/search/Co%26Co+Dulce+Placer/@-32.9836178,-71.2688349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Pasteleria Limache
link: https://www.google.com/maps/search/Pasteleria+Limache/@-32.987164799999995,-71.2776563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://pasteleriamurken.cl/,Pasteleria Murken (Ye Zhu ),https://www.google.com/maps/contrib/113273508940671014795,https://lh5.googleusercontent.com/p/AF1QipNklGuSEdZDcA3np0_I3yWud2HCsvgWeD_m_RBU=w426-h240-k-no,Gao Bing Dian ,Gao Bing Dian ,4.8,07:30-19:00,Open All Days,+56 9 6342 2541,"Pasteleria Murken - Caupolican 53, Limache, Valparaiso, Zhi Li ","Chan Pin , Fu You , Pin Zhi , Xian Bing , Jia Ge , Tian , San Ming Zhi , Bu Lang Ni ",https://www.google.com/maps/place/Pasteleria+M%C3%BCrken/data=!4m7!3m6!1s0x9689d40670adaaa9:0xca93a2b6a6a23d55!8m2!3d-32.9871935!4d-71.2776796!16s%2Fg%2F11dfpr4v8w!19sChIJqaqtcAbUiZYRVT2ipraik8o?authuser=0&hl=zh-TW&rclk=1
ChIJaakpLwbUiZYR6UApbzr8uPc,Cafe Moneglia,,False,186,"Name: Cafeteria Rucamanqui
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Rucamanqui/@-33.0003458,-71.2058174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 620 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Chamanes Cafeteria & Cerveceria
link: https://www.google.com/maps/search/Chamanes+Cafeter%C3%ADa+%26+Cervecer%C3%ADa/@-32.9868368,-71.27829740000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Cafe Boutique Estacion Taltal
link: https://www.google.com/maps/search/Caf%C3%A9+Boutique+Estaci%C3%B3n+Taltal/@-32.9898859,-71.2648248?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Kimbo
link: https://www.google.com/maps/search/Kimbo/@-32.980604899999996,-71.2715551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://m.facebook.com/Monegliacafe,Cafe Moneglia (Ye Zhu ),https://www.google.com/maps/contrib/114307345876941881085,https://lh5.googleusercontent.com/p/AF1QipM5s4wnCy4huFkSdVqn-c8Qu_iXQK1hCiHko5dw=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,"10:00-14:00, 16:00-19:30",Open All Days,+56 33 241 1590,"Cafe Moneglia - Av. Jose Tomas Urmeneta 84, Local A, 2240139 Limache, Valparaiso, Zhi Li ","Fu You , Jia Ge , Qiao Ke Li , Pin Zhi , San Ming Zhi , Hui Hua , Jia Ting ",https://www.google.com/maps/place/Cafe+Moneglia/data=!4m7!3m6!1s0x9689d4062f29a969:0xf7b8fc3a6f2940e9!8m2!3d-32.985198!4d-71.2760322!16s%2Fg%2F11c607mwnx!19sChIJaakpLwbUiZYR6UApbzr8uPc?authuser=0&hl=zh-TW&rclk=1
ChIJy0vHQkHUiZYRMuDCMhgqWIg,Fundacion Cultural Lumbre,,False,118,"Name: Cafe Moneglia
link: https://www.google.com/maps/search/Cafe+Moneglia/@-32.985198,-71.2760322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Chamanes Cafeteria & Cerveceria
link: https://www.google.com/maps/search/Chamanes+Cafeter%C3%ADa+%26+Cervecer%C3%ADa/@-32.9868368,-71.27829740000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Kimbo
link: https://www.google.com/maps/search/Kimbo/@-32.980604899999996,-71.2715551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.lumbre.cl/,Fundacion Cultural Lumbre (Ye Zhu ),https://www.google.com/maps/contrib/103748799282919306011,https://lh5.googleusercontent.com/p/AF1QipMKihLF73dmCuKXH8wa6DIG8ZSxTRYDN-smYf0c=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,09:00-14:00,"Xing Qi Liu , Xing Qi Ri ",+56 9 6347 3517,"Fundacion Cultural Lumbre - Av. Republica 996, 2240438 Limache, Valparaiso, Zhi Li ","Huo Dong , Wen Hua Zhong Xin , She Qu , Mo Fa ",https://www.google.com/maps/place/Fundacion+Cultural+Lumbre/data=!4m7!3m6!1s0x9689d44142c74bcb:0x88582a1832c2e032!8m2!3d-33.0050916!4d-71.2583685!16s%2Fg%2F11c1n1lt0w!19sChIJy0vHQkHUiZYRMuDCMhgqWIg?authuser=0&hl=zh-TW&rclk=1
ChIJG7QTPU3ViZYRQZCgWKydcVw,Vilu,,False,53,"Name: Tu Sabor Limache
link: https://www.google.com/maps/search/Tu+Sabor+Limache/@-32.9862596,-71.2762673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 361 reviews

Name: Cafe Moneglia
link: https://www.google.com/maps/search/Cafe+Moneglia/@-32.985198,-71.2760322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Cafe Boutique Estacion Taltal
link: https://www.google.com/maps/search/Caf%C3%A9+Boutique+Estaci%C3%B3n+Taltal/@-32.9898859,-71.2648248?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Kimbo
link: https://www.google.com/maps/search/Kimbo/@-32.980604899999996,-71.2715551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.instagram.com/vilu.teycafe,Vilu (Ye Zhu ),https://www.google.com/maps/contrib/105142121670060982985,https://lh5.googleusercontent.com/p/AF1QipMNa9iI7FTXJXghuccHvEJ1TMu2_-Q3dIq6ndjm=w408-h725-k-no,Zi Zhu Can Ting ,Zi Zhu Can Ting ,4.6,09:00-18:00,"Xing Qi Liu , Xing Qi Ri ",+56 9 3589 1439,"Vilu - Caupolican 953, marga marga, Limache, Valparaiso, Zhi Li ","Fu You , Dan Gao , San Ming Zhi , Yin Le ",https://www.google.com/maps/place/Vil%C3%BA/data=!4m7!3m6!1s0x9689d54d3d13b41b:0x5c719dac58a09041!8m2!3d-32.9924086!4d-71.2655424!16s%2Fg%2F11gntvf0pv!19sChIJG7QTPU3ViZYRQZCgWKydcVw?authuser=0&hl=zh-TW&rclk=1
ChIJ9UB6LBXViZYRmiemuwF4eeU,Chamanes Cafeteria & Cerveceria,,False,46,"Name: Cafe Moneglia
link: https://www.google.com/maps/search/Cafe+Moneglia/@-32.985198,-71.2760322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Cerveceria Limache
link: https://www.google.com/maps/search/Cervecer%C3%ADa+Limache/@-32.9625555,-71.3297412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Cafe Negro
link: https://www.google.com/maps/search/Caf%C3%A9+Negro/@-32.9862962,-71.276215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Kimbo
link: https://www.google.com/maps/search/Kimbo/@-32.980604899999996,-71.2715551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.chamanes.cl/,Chamanes Cafeteria & Cerveceria (Ye Zhu ),https://www.google.com/maps/contrib/100398156896917450707,https://lh5.googleusercontent.com/p/AF1QipOVcAXV24083gxZFoxzXuPpBeHvjj5G7bGmDgKJ=w408-h306-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Jiu Chang Jiu Ba ",5,11:00-20:00,"Xing Qi Yi , Xing Qi Ri ",+56 9 5496 1698,"Chamanes Cafeteria & Cerveceria - Arturo Prat 399, 2240223 Limache, Valparaiso, Zhi Li ","Dan Gao , Yin Le , Huan Jing , vegan",https://www.google.com/maps/place/Chamanes+Cafeter%C3%ADa+%26+Cervecer%C3%ADa/data=!4m7!3m6!1s0x9689d5152c7a40f5:0xe5797801bba6279a!8m2!3d-32.9868368!4d-71.2782974!16s%2Fg%2F11lkmcd08s!19sChIJ9UB6LBXViZYRmiemuwF4eeU?authuser=0&hl=zh-TW&rclk=1
ChIJ5Qouc4DViZYRxk-quC_hqjs,Cafe Negro,,False,36,"Name: Cafe Moneglia
link: https://www.google.com/maps/search/Cafe+Moneglia/@-32.985198,-71.2760322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Amor Limache
link: https://www.google.com/maps/search/Amor+Limache/@-32.9869467,-71.2724204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Chamanes Cafeteria & Cerveceria
link: https://www.google.com/maps/search/Chamanes+Cafeter%C3%ADa+%26+Cervecer%C3%ADa/@-32.9868368,-71.27829740000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Kimbo
link: https://www.google.com/maps/search/Kimbo/@-32.980604899999996,-71.2715551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Donuts Coffee
link: https://www.google.com/maps/search/Donuts+Coffee/@-33.0018599,-71.2678741?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/cafenegro_limache?igshid=ZDdkNTZiNTM=,Cafe Negro (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOWv3FC78TeIlQbr4rHOALi8CwtUlwnSrC8NiGy=w408-h544-k-no,Zi Zhu Can Ting ,Zi Zhu Can Ting ,4.8,08:00-21:00,Open All Days,,"Cafe Negro - Serrano 307, 2240000 Limache, Valparaiso, Zhi Li ","Dan Gao , San Ming Zhi , Fu You , Jia Ge ",https://www.google.com/maps/place/Caf%C3%A9+Negro/data=!4m7!3m6!1s0x9689d580732e0ae5:0x3baae12fb8aa4fc6!8m2!3d-32.9862962!4d-71.276215!16s%2Fg%2F11t9_h73y0!19sChIJ5Qouc4DViZYRxk-quC_hqjs?authuser=0&hl=zh-TW&rclk=1
ChIJ7Yye3WbViZYRMjgWts4ZLlI,Costanera Padel Club,,False,32,"Name: PADEL CLUB QUILPUE
link: https://www.google.com/maps/search/PADEL+CLUB+QUILPUE/@-33.0594168,-71.4368545?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Centro Deportivo De Padel y Tenis ATT Penablanca
link: https://www.google.com/maps/search/Centro+Deportivo+De+Padel+y+Tenis+ATT+Pe%C3%B1ablanca/@-33.0547049,-71.3333028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Club R4 Padel Center
link: https://www.google.com/maps/search/Club+R4+Padel+Center/@-33.051324699999995,-71.3420522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Padel Home Limache
link: https://www.google.com/maps/search/Padel+Home+Limache/@-33.02869030000001,-71.2787475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Club de tenis
link: https://www.google.com/maps/search/Club+de+tenis/@-32.985900199999996,-71.274951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://instagram.com/costanerapadelclub,Costanera Padel Club (Ye Zhu ),https://www.google.com/maps/contrib/105722479552687316541,https://lh5.googleusercontent.com/p/AF1QipPA2B5qQHNXn5IBJ_hZ3v7zOLPdc2O_YM07CktQ=w408-h306-k-no,Ban Wang Qiu Ju Le Bu ,"Ban Wang Qiu Ju Le Bu , Zheng Liu Ka Pei Ba ",4.3,08:00-00:00,Open All Days,+56 9 8903 4899,"Costanera Padel Club - 5 de Abril 17, 2240000 Limache, Valparaiso, Zhi Li ",Huan Jing ,https://www.google.com/maps/place/Costanera+Padel+Club/data=!4m7!3m6!1s0x9689d566dd9e8ced:0x522e19ceb6163832!8m2!3d-32.9984962!4d-71.2668456!16s%2Fg%2F11rkd272jp!19sChIJ7Yye3WbViZYRMjgWts4ZLlI?authuser=0&hl=zh-TW&rclk=1
ChIJ6zadFWXViZYRWwSaJ26MMZ8,Emporio y Cafeteria Liquen,,False,1,"Name: Sociedad Colmenares Flora Nativa
link: https://www.google.com/maps/search/Sociedad+Colmenares+Flora+Nativa/@-33.0032868,-71.2684931?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: El Vegetario
link: https://www.google.com/maps/search/El+Vegetario/@-32.9870333,-71.27257700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: MapuNewen Emporio
link: https://www.google.com/maps/search/MapuNewen+Emporio/@-33.038441999999996,-71.38130439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Emporio de Leo
link: https://www.google.com/maps/search/Emporio+de+Leo/@-33.015633099999995,-71.25602719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.emporioliquen.cl/,Emporio y Cafeteria Liquen (Ye Zhu ),https://www.google.com/maps/contrib/101039332442778229074,https://lh5.googleusercontent.com/p/AF1QipOdqc3xK_Ar_CklzhYe3DvB0m2cyySgG4CGcwnW=w408-h544-k-no,You Ji Shang Dian ,"You Ji Shang Dian , Zheng Liu Ka Pei Ba ",5,09:00-19:00,"Xing Qi Yi , Xing Qi Ri ",+56 9 6571 9542,"Emporio y Cafeteria Liquen - Dolores 394, 2240000 Limache, Valparaiso, Zhi Li ",,https://www.google.com/maps/place/Emporio+y+Cafeteria+Liquen/data=!4m7!3m6!1s0x9689d565159d36eb:0x9f318c6e279a045b!8m2!3d-32.9898764!4d-71.2718614!16s%2Fg%2F11sgdnsqyr!19sChIJ6zadFWXViZYRWwSaJ26MMZ8?authuser=0&hl=zh-TW&rclk=1
