place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwZ2iWwTWsRsRFqvcachj0k4,Shoprite Lobito,"Lian Suo Chao Shi ,Fan Shou Ge Pin Pai Yu Zi You Pin Pai De Za Huo ,Bing She You Hong Bei Fang He Shou Shi Qu . ",False,672,"Name: Kero Lobito
link: https://www.google.com/maps/search/Kero+Lobito/@-12.391395099999999,13.548223700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: MAXI Supermarket LOBITO
link: https://www.google.com/maps/search/MAXI+Supermarket+LOBITO/@-12.3784224,13.5492223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: mimi Shopping
link: https://www.google.com/maps/search/mimi+Shopping/@-12.3597053,13.5495409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Nosso Super
link: https://www.google.com/maps/search/Nosso+Super/@-12.3818339,13.5782013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: PEP Angola Lobito 1 Shoprite Centre
link: https://www.google.com/maps/search/PEP+Angola+Lobito+1+Shoprite+Centre/@-12.3639879,13.551190499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.shoprite.co.za/,Shoprite Lobito (Ye Zhu ),https://www.google.com/maps/contrib/117713392532584720387,https://lh5.googleusercontent.com/p/AF1QipOwFkxlK8Det3gUaqMD81Xu-K1M2pk1XoNyiSUq=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Pin Dian ",3.8,09:00-18:00,Open All Days,+244 923 884 989,"Shoprite Lobito, Largo 1 De Maio, Lobito, An Ge La ","Jia Ge , Pin Zhi , Zhou Mo , Da Mai Chang , Zu Zhi , Fu Wu ",https://www.google.com/maps/place/Shoprite+Lobito/data=!4m7!3m6!1s0x1bb1d6045ba29dc1:0x4ed263c869dcab16!8m2!3d-12.36346!4d13.55125!16s%2Fg%2F1wz3bd0p!19sChIJwZ2iWwTWsRsRFqvcachj0k4?authuser=0&hl=zh-TW&rclk=1
ChIJucaNMzHWsRsR68lC_jSzAek,Alfa Beach Bar,,False,354,"Name: Restaurante Batuk
link: https://www.google.com/maps/search/Restaurante+Batuk/@-12.324485099999999,13.571331899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 701 reviews

Name: Luna Ocean Club
link: https://www.google.com/maps/search/Luna+Ocean+Club/@-12.3336053,13.5579532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Al-Kamal
link: https://www.google.com/maps/search/Al-Kamal/@-12.3501712,13.5448738?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Majestic Bar Cafe
link: https://www.google.com/maps/search/Majestic+Bar+Caf%C3%A9/@-12.345125,13.545830700000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Bar Ellitis Restaurant
link: https://www.google.com/maps/search/Bar+Ellitis+Restaurant/@-12.3635512,13.530234100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://alfa-beach-bar.ola.click/,Alfa Beach Bar (Ye Zhu ),https://www.google.com/maps/contrib/100019198868812916664,https://lh5.googleusercontent.com/p/AF1QipPmM0VAl1VuR1dGIijQf_zpJ36zZfrYRRDKpf6j=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba ",3.9,08:30-22:00,Open All Days,+244 923 350 351,"Alfa Beach Bar, Avenida de Lisboa, Lobito, An Ge La ","Hai , You Qi , Pi Sa , Yin Liao , Jia Ge , Pai Qiu , Wan Shang ",https://www.google.com/maps/place/Alfa+Beach+Bar/data=!4m7!3m6!1s0x1bb1d631338dc6b9:0xe901b334fe42c9eb!8m2!3d-12.332622!4d13.560507!16s%2Fg%2F1td817rj!19sChIJucaNMzHWsRsR68lC_jSzAek?authuser=0&hl=zh-TW&rclk=1
ChIJ020__zDWsRsRYKLd6bfxSGw,Luna Ocean Club,,False,270,"Name: Restaurante Batuk
link: https://www.google.com/maps/search/Restaurante+Batuk/@-12.324485099999999,13.571331899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 701 reviews

Name: Alfa Beach Bar
link: https://www.google.com/maps/search/Alfa+Beach+Bar/@-12.332621999999999,13.560507000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 352 reviews

Name: O Cantinho da Juju
link: https://www.google.com/maps/search/O+Cantinho+da+Juj%C3%BA/@-12.381368799999999,13.540763499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Luna Louge
link: https://www.google.com/maps/search/Luna+Louge/@-12.5814583,13.401771199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://lunaoceanclub.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Luna Ocean Club (Ye Zhu ),https://www.google.com/maps/contrib/111686638903592323795,https://lh5.googleusercontent.com/p/AF1QipOApS4v3ea4aY_3rzGUxxHroP-2oJUSRVIJmwzW=w408-h271-k-no,Can Ting ,Can Ting ,4.2,09:00-00:00,Open All Days,+244 926 963 939,"Luna Ocean Club, Av. de Lisboa, Lobito, An Ge La ","Yin Le , Hai , Jia Ge , Kong Jian , Huan Jing , Pi Sa , Diao Jiu , Zhuang Xiu ",https://www.google.com/maps/place/Luna+Ocean+Club/data=!4m7!3m6!1s0x1bb1d630ff3f6dd3:0x6c48f1b7e9dda260!8m2!3d-12.3336053!4d13.5579532!16s%2Fg%2F11b6jjy3x1!19sChIJ020__zDWsRsRYKLd6bfxSGw?authuser=0&hl=zh-TW&rclk=1
ChIJH2HtS_oprhsR_BkHSXhfiL4,MAXI Supermarket LOBITO,,False,254,"Name: Shoprite Lobito
link: https://www.google.com/maps/search/Shoprite+Lobito/@-12.36346,13.55125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 670 reviews

Name: Kero Lobito
link: https://www.google.com/maps/search/Kero+Lobito/@-12.391395099999999,13.548223700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: Jota Jota
link: https://www.google.com/maps/search/Jota+Jota/@-12.353309200000002,13.5465693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Nosso Super
link: https://www.google.com/maps/search/Nosso+Super/@-12.3818339,13.5782013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Mercado da Calumba
link: https://www.google.com/maps/search/Mercado+da+Calumba/@-12.380374,13.555437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.maxi.co.ao/,MAXI Supermarket LOBITO (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPLQhHdE-ae6dAtj2eCsfvKHCxNAdPJFoet-yHl=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,08:00-20:00,Open All Days,+244 272 226 142,"MAXI Supermarket LOBITO, Bairro da Luz Talhao no 434 1o LOBITO, Lobito, An Ge La ","Jia Ge , Pin Zhi ",https://www.google.com/maps/place/MAXI+Supermarket+LOBITO/data=!4m7!3m6!1s0x1bae29fa4bed611f:0xbe885f78490719fc!8m2!3d-12.3784224!4d13.5492223!16s%2Fg%2F1jgl_2npz!19sChIJH2HtS_oprhsR_BkHSXhfiL4?authuser=0&hl=zh-TW&rclk=1
ChIJPxr6klcprhsR3hyWNMcfKNA,Tchilamar Restaurante-Bar e Salao de Eventos,,False,10,"Name: Restaurante D. Bina
link: https://www.google.com/maps/search/Restaurante+D.+Bina/@-12.344805599999999,13.546304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: A Cubata do Marcao
link: https://www.google.com/maps/search/A+Cubata+do+Marc%C3%A3o/@-12.3253056,13.569985599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Majestic Bar Cafe
link: https://www.google.com/maps/search/Majestic+Bar+Caf%C3%A9/@-12.345125,13.545830700000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Bar Ellitis Restaurant
link: https://www.google.com/maps/search/Bar+Ellitis+Restaurant/@-12.3635512,13.530234100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: CHICALA MAR II
link: https://www.google.com/maps/search/CHICALA+MAR+II/@-12.333660199999999,13.561789699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://tchilamar.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Tchilamar Restaurante-Bar e Salao de Eventos (Ye Zhu ),https://www.google.com/maps/contrib/105944022433596808046,https://lh5.googleusercontent.com/p/AF1QipMTr0inkc7dxpcgypyzUkZvTwL19nv_YZa2nKeL=w408-h306-k-no,Can Ting ,Can Ting ,4,24 Xiao Shi Ying Ye ,Xing Qi Yi ,+244 934 471 672,"Tchilamar Restaurante-Bar e Salao de Eventos, Avenida do Brasil casa 101, Lobito, An Ge La ",,https://www.google.com/maps/place/Tchilamar+Restaurante-Bar+e+Sal%C3%A3o+de+Eventos/data=!4m7!3m6!1s0x1bae295792fa1a3f:0xd0281fc734961cde!8m2!3d-12.3513046!4d13.5359414!16s%2Fg%2F1ptxfy7gh!19sChIJPxr6klcprhsR3hyWNMcfKNA?authuser=0&hl=zh-TW&rclk=1
ChIJKdsN9PTVsRsR81STUFOePj4,Kero Lobito,,False,518,"Name: Shoprite Lobito
link: https://www.google.com/maps/search/Shoprite+Lobito/@-12.36346,13.55125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 670 reviews

Name: Kero Maior Iper Mercado De Angola
link: https://www.google.com/maps/search/Kero+Maior+Iper+Mercado+De+Angola/@-12.5974641,13.3846322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 584 reviews

Name: MAXI Supermarket LOBITO
link: https://www.google.com/maps/search/MAXI+Supermarket+LOBITO/@-12.3784224,13.5492223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: Jota Jota
link: https://www.google.com/maps/search/Jota+Jota/@-12.353309200000002,13.5465693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Nosso Super
link: https://www.google.com/maps/search/Nosso+Super/@-12.3818339,13.5782013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews",,Kero Lobito (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO4x6ZlQ-h8QCK23WaPmRnAYHoyckTDQ8Mi60NB=w408-h725-k-no,Da Xing Chao Ji Shi Chang ,Da Xing Chao Ji Shi Chang ,3.8,08:00-22:00,Open All Days,+244 226 433 480,"JG5X+C7X Kero Lobito, Retail Park do, EN100, Lobito, An Ge La ","Jia Ge , Tui Guang , Fu Wu , Pin Wei , Zu Zhi , Ting Che , Kou Dai ",https://www.google.com/maps/place/Kero+Lobito/data=!4m7!3m6!1s0x1bb1d5f4f40ddb29:0x3e3e9e53509354f3!8m2!3d-12.3913951!4d13.5482237!16s%2Fg%2F11bbyfd7hw!19sChIJKdsN9PTVsRsR81STUFOePj4?authuser=0&hl=zh-TW&rclk=1
ChIJHY4_nhzWsRsR7ERWB3qHULA,Auria Bakery,,False,286,"Name: Padaria Angosag
link: https://www.google.com/maps/search/Padaria+Angosag/@-12.3537381,13.549040699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Padaria Jota Jota Lda.
link: https://www.google.com/maps/search/Padaria+Jota+Jota+Lda./@-12.3492655,13.5447306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Padaria AMGI
link: https://www.google.com/maps/search/Padaria+AMGI/@-12.399445799999999,13.5459544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Padaria Pao Jota
link: https://www.google.com/maps/search/Padaria+Pao+Jota/@-12.349172300000001,13.5444205?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ndapandula Thanks LDA
link: https://www.google.com/maps/search/Ndapandula+Thanks+LDA/@-12.3939823,13.5503723?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Auria Bakery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipODDCwt-bnq0JtKHghwSf0XGAhybTx0TREKkr75=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,05:00-17:00,Open All Days,+244 272 222 464,"JGRX+PRW Auria Bakery, Lobito, An Ge La ","Zao Can , Fu Wu , Pin Zhi , Jia Ge , Ka Pei ",https://www.google.com/maps/place/Auria+Bakery/data=!4m7!3m6!1s0x1bb1d61c9e3f8e1d:0xb050877a075644ec!8m2!3d-12.358144!4d13.54959!16s%2Fg%2F1tk40dmf!19sChIJHY4_nhzWsRsR7ERWB3qHULA?authuser=0&hl=zh-TW&rclk=1
ChIJDzxDUh7WsRsRSjNSnS9D2bg,Jota Jota,,False,137,"Name: Kero Lobito
link: https://www.google.com/maps/search/Kero+Lobito/@-12.391395099999999,13.548223700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: MAXI Supermarket LOBITO
link: https://www.google.com/maps/search/MAXI+Supermarket+LOBITO/@-12.3784224,13.5492223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: mimi Shopping
link: https://www.google.com/maps/search/mimi+Shopping/@-12.3597053,13.5495409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Padaria Jota Jota Lda.
link: https://www.google.com/maps/search/Padaria+Jota+Jota+Lda./@-12.3492655,13.5447306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: J.Fumba Comercial, A Garrafeira
link: https://www.google.com/maps/search/J.Fumba+Comercial%2C+A+Garrafeira/@-12.3588144,13.567485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Jota Jota (Ye Zhu ),https://www.google.com/maps/contrib/113516471208357569139,https://lh5.googleusercontent.com/p/AF1QipN7xcBEFE8RPxQb04G_WMpfSeDI3eKFvIT9OnYA=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.6,07:30-21:00,Open All Days,+244 272 225 522,"Jota Jota, Lobito, An Ge La ","Ka Pei , Ting Che ",https://www.google.com/maps/place/Jota+Jota/data=!4m7!3m6!1s0x1bb1d61e52433c0f:0xb8d9432f9d52334a!8m2!3d-12.3533092!4d13.5465693!16s%2Fg%2F1w6ws46b!19sChIJDzxDUh7WsRsRSjNSnS9D2bg?authuser=0&hl=zh-TW&rclk=1
ChIJucJ_rwTWsRsR-qdW1vB1UuQ,Don Castelhana,,False,68,"Name: GUNGA
link: https://www.google.com/maps/search/GUNGA/@-12.352670199999999,13.5473208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 298 reviews

Name: Restaurante D. Bina
link: https://www.google.com/maps/search/Restaurante+D.+Bina/@-12.344805599999999,13.546304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: Colina
link: https://www.google.com/maps/search/Colina/@-12.348089400000001,13.545142799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Restaurante Horizonte
link: https://www.google.com/maps/search/Restaurante+Horizonte/@-12.362691199999999,13.5661121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Pizzaria Spuntino Rapido 2
link: https://www.google.com/maps/search/Pizzaria+Spuntino+R%C3%A1pido+2/@-12.346480099999999,13.543368399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Don Castelhana (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM8nFUHwcBwUpIFc7p73rjZ1wltICwc_u49dgck=w426-h240-k-no,Can Ting ,Can Ting ,3.9,08:00-23:00,Xing Qi Yi ,,"JHQ2+W27 Don Castelhana, Lobito, An Ge La ",Pi Sa ,https://www.google.com/maps/place/Don+Castelhana/data=!4m7!3m6!1s0x1bb1d604af7fc2b9:0xe45275f0d656a7fa!8m2!3d-12.3602118!4d13.5500435!16s%2Fg%2F11g702gfj_!19sChIJucJ_rwTWsRsR-qdW1vB1UuQ?authuser=0&hl=zh-TW&rclk=1
ChIJEc2OtI4prhsRNDBqJL00lJs,Gelados Sanico,,False,32,"Name: Jota Jota
link: https://www.google.com/maps/search/Jota+Jota/@-12.353309200000002,13.5465693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Padaria Jota Jota Lda.
link: https://www.google.com/maps/search/Padaria+Jota+Jota+Lda./@-12.3492655,13.5447306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Petiskos Kuya
link: https://www.google.com/maps/search/Petiskos+Kuya/@-12.381336099999999,13.6217527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: 2.5 Gelados
link: https://www.google.com/maps/search/2.5+Gelados/@-12.363028199999999,13.566673699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Padaria Pao Jota
link: https://www.google.com/maps/search/Padaria+Pao+Jota/@-12.349172300000001,13.5444205?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Gelados Sanico (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN66XQ7d6lNDAPtehjTBLeMPXNHlmz9ZTmzounJ=w408-h725-k-no,Xue Gao Dian ,Xue Gao Dian ,4.2,,Open All Days,,"JGXP+3M9 Gelados Sanico, Av. Gov. Silva Carvalho, Lobito, An Ge La ",Jia Ge ,https://www.google.com/maps/place/Gelados+Sani%C3%A7o/data=!4m7!3m6!1s0x1bae298eb48ecd11:0x9b9434bd246a3034!8m2!3d-12.3523301!4d13.5367341!16s%2Fg%2F11n35f0_c0!19sChIJEc2OtI4prhsRNDBqJL00lJs?authuser=0&hl=zh-TW&rclk=1
