place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJI0ZiDaZE65QRTORg0u8kRNo,Mister Cuca,,False,1532,"Name: Chablau Cafeteria
link: https://www.google.com/maps/search/Ch%C3%A1blau+Cafeteria/@-23.305972399999998,-51.169387400000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Kofi - Cafe e Chocolate
link: https://www.google.com/maps/search/Kofi+-+Caf%C3%A9+e+Chocolate/@-23.3163508,-51.169405399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: COPA CAFE
link: https://www.google.com/maps/search/COPA+CAF%C3%89/@-23.3163375,-51.1573661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",http://www.mistercuca.com.br/,Mister Cuca (Ye Zhu ),https://www.google.com/maps/contrib/105049741878396219686,https://lh5.googleusercontent.com/p/AF1QipMtLitfcaSwqRF7-0rJR_gT3PA37KiD4dJEyljG=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Gao Bing Dian ",4.4,10:00-19:00,Xing Qi Ri ,+55 43 3373-1000,"Mister Cuca - R. Sergipe, 1524 - Centro, Londrina - PR, 86081-542Ba Xi ","Dan Gao , Chan Pin , Pai , Jia Ting , Ji Rou , Xia ",https://www.google.com/maps/place/Mister+Cuca/data=!4m7!3m6!1s0x94eb44a60d624623:0xda4424efd260e44c!8m2!3d-23.3096962!4d-51.1678056!16s%2Fg%2F1tf2576f!19sChIJI0ZiDaZE65QRTORg0u8kRNo?authuser=0&hl=zh-TW&rclk=1
ChIJiwmHt15D65QRpHdYW7fKMOw,Cafe com Proposito,,False,1219,"Name: O Armazem Cafe
link: https://www.google.com/maps/search/O+Armaz%C3%A9m+Caf%C3%A9/@-23.310477499999998,-51.166578799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1094 reviews

Name: Kofi - Cafe e Chocolate
link: https://www.google.com/maps/search/Kofi+-+Caf%C3%A9+e+Chocolate/@-23.3163508,-51.169405399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: COPA CAFE
link: https://www.google.com/maps/search/COPA+CAF%C3%89/@-23.3163375,-51.1573661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",https://www.cafecomproposito.com.br/,Cafe com Proposito (Ye Zhu ),https://www.google.com/maps/contrib/103380235953476393253,https://lh5.googleusercontent.com/p/AF1QipP9_NZfOOTr5moVL3KcRxDoF3XKxKYlCoqkf-48=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.6,11:00-19:00,Xing Qi Ri ,+55 43 3322-0826,"Cafe com Proposito - R. Espirito Santo, 1123 - Centro, Londrina - PR, 86020-420Ba Xi ","vegan, Pai , Guo Jiang , Han Bao , Dun Fan , Liao Li ",https://www.google.com/maps/place/Caf%C3%A9+com+Prop%C3%B3sito/data=!4m7!3m6!1s0x94eb435eb787098b:0xec30cab75b5877a4!8m2!3d-23.3166871!4d-51.1630829!16s%2Fg%2F11ckr9km6g!19sChIJiwmHt15D65QRpHdYW7fKMOw?authuser=0&hl=zh-TW&rclk=1
ChIJtUj3hExD65QRGR36Epz4X7Q,Cakes Frei Palhano,,False,432,"Name: Panetteria Palhano Paes e Doces Ltda.
link: https://www.google.com/maps/search/Panetteria+Palhano+P%C3%A3es+e+Doces+Ltda./@-23.3328661,-51.1777333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3134 reviews

Name: Cafeteria - Cafe Mojo
link: https://www.google.com/maps/search/Cafeteria+-+Caf%C3%A9+Mojo/@-23.327447,-51.1775946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Bolos Do Frei - Garden
link: https://www.google.com/maps/search/Bolos+Do+Frei+-+Garden/@-23.3157675,-51.168093199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: Boleria Londrinense
link: https://www.google.com/maps/search/Boleria+Londrinense/@-23.3160218,-51.1239407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/bolosdofreipalhano/,Cakes Frei Palhano (Ye Zhu ),https://www.google.com/maps/contrib/118082100385696935096,https://lh5.googleusercontent.com/p/AF1QipNz07k3yAhu47L2Z62VnfxfYcAYHp4EecTzos_E=w408-h480-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Tang Guo Dian , Ka Pei Dian ",4.7,09:00-19:00,Xing Qi Ri ,+55 43 3343-4343,"Cakes Frei Palhano - Av. Ayrton Senna da Silva, 677 - loja 01 - Palhano 2, Londrina - PR, 86050-460Ba Xi ","Huan Jing , Chan Pin , Jia Ge , Pai , Pin Wei , Bu Lang Ni , Li Zi , Qing Shi ",https://www.google.com/maps/place/Cakes+Frei+Palhano/data=!4m7!3m6!1s0x94eb434c84f748b5:0xb45ff89c12fa1d19!8m2!3d-23.3315829!4d-51.1772768!16s%2Fg%2F11cm05bdmr!19sChIJtUj3hExD65QRGR36Epz4X7Q?authuser=0&hl=zh-TW&rclk=1
ChIJk0ECvZpd65QRGiw-6R5fq1s,Cafe Cultura,,False,421,"Name: Jardim Secreto Cafeteria
link: https://www.google.com/maps/search/Jardim+Secreto+Cafeteria/@-23.3355498,-51.179755799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: Cafe Design
link: https://www.google.com/maps/search/Caf%C3%A9+Design/@-23.342599900000003,-51.187105599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Premium Cafe
link: https://www.google.com/maps/search/Premium+Caf%C3%A9/@-23.3355624,-51.176802599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://www.cafeculturabrasil.com/,Cafe Cultura (Ye Zhu ),https://www.google.com/maps/contrib/103432039666099360160,https://lh5.googleusercontent.com/p/AF1QipNcaHj1bk0YdcEKAe3OK1_npBKHK10y_qPmZHPl=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Xiao Can Guan  (Bistro), Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Ting , Tang Guo Dian , Ka Pei Hong Bei Shang , Tian Pin Zi Zhu Can , Can Ting ",4.8,10:00-23:00,Xing Qi Yi ,+55 43 3367-6343,"Cafe Cultura - Rod. Celso Garcia Cid, 5600 - loja A15 - Terra Bonita - Palhano 2, Londrina - PR, 86050-901Ba Xi ","Huan Jing , Chan Pin , Dan Gao , Jing Yan , Pai , Jia Ge , Shang Chang , Guo Jiang ",https://www.google.com/maps/place/Caf%C3%A9+Cultura/data=!4m7!3m6!1s0x94eb5d9abd024193:0x5bab5f1ee93e2c1a!8m2!3d-23.3420844!4d-51.1864252!16s%2Fg%2F11s0_nr90j!19sChIJk0ECvZpd65QRGiw-6R5fq1s?authuser=0&hl=zh-TW&rclk=1
ChIJD6fyjANb65QR_QOylXXie-g,Cacique Company Instant Coffee,,False,357,"Name: Cafe Cultura
link: https://www.google.com/maps/search/Caf%C3%A9+Cultura/@-23.342084399999997,-51.186425199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 421 reviews

Name: Baru Confeitaria Criativa
link: https://www.google.com/maps/search/Baru+Confeitaria+Criativa/@-23.345021,-51.192487199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Chablau Cafeteria
link: https://www.google.com/maps/search/Ch%C3%A1blau+Cafeteria/@-23.305972399999998,-51.169387400000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Cafe Gourmet Vale Azul
link: https://www.google.com/maps/search/Caf%C3%A9+Gourmet+Vale+Azul/@-23.3146509,-51.156650299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.cacique.com.br/,Cacique Company Instant Coffee (Ye Zhu ),https://www.google.com/maps/contrib/106571386618847134661,https://lh5.googleusercontent.com/p/AF1QipOZkF_Qh0ZVi1XiJiAutJwKTU6LcffvqwB4aGxQ=w408-h272-k-no,Shi Pin Zhi Zao Gong Ying ,"Shi Pin Zhi Zao Gong Ying , Ka Pei Ting , Zhi Zao Shang ",4.7,24 Xiao Shi Ying Ye ,Open All Days,+55 43 4009-6000,"Cacique Company Instant Coffee, Horario Sabino Coimbra - R. Horacio Sabino Coimbra, 100 - Pq. Industrial, Londrina - PR, 86072-900Ba Xi ","Sheng Yi , Chan Pin , Zhi Chang , Zu Zhi ",https://www.google.com/maps/place/Cacique+Company+Instant+Coffee/data=!4m7!3m6!1s0x94eb5b038cf2a70f:0xe87be27595b203fd!8m2!3d-23.290376!4d-51.216554!16s%2Fg%2F1tctgrz1!19sChIJD6fyjANb65QR_QOylXXie-g?authuser=0&hl=zh-TW&rclk=1
ChIJO15D7qVd65QR0aKQ_M0QYdA,Jardim Secreto Cafeteria,,False,329,"Name: Chablau Cafeteria
link: https://www.google.com/maps/search/Ch%C3%A1blau+Cafeteria/@-23.305972399999998,-51.169387400000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: The Coffee
link: https://www.google.com/maps/search/The+Coffee/@-23.3301677,-51.174200899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Premium Cafe
link: https://www.google.com/maps/search/Premium+Caf%C3%A9/@-23.3355624,-51.176802599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://www.facebook.com/jardimsecretocafeteria,Jardim Secreto Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/106689563838250067993,https://lh5.googleusercontent.com/p/AF1QipNCQooz3_19LFunjVjyQnLNOBlLCbHU6lImMF3Y=w408-h271-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian ",4.7,08:00-18:30,"Xing Qi Yi , Xing Qi Ri ",+55 43 3066-6203,"Jardim Secreto Cafeteria - Av. Me. Leonia Milito, 1.900 - Palhano 1, Londrina - PR, 86050-270Ba Xi ","Huan Jing , Qia Bu Qi Nuo , Bing Qi Lin , Zao Wu Can , Mian Bao , Song Bing , Chan Pin ",https://www.google.com/maps/place/Jardim+Secreto+Cafeteria/data=!4m7!3m6!1s0x94eb5da5ee435e3b:0xd06110cdfc90a2d1!8m2!3d-23.3355498!4d-51.1797558!16s%2Fg%2F11h0g_5t8c!19sChIJO15D7qVd65QR0aKQ_M0QYdA?authuser=0&hl=zh-TW&rclk=1
ChIJx7GhOltd65QR7UWSBc5xJcA,Casa Bauducco,,False,294,"Name: Cafe Cultura
link: https://www.google.com/maps/search/Caf%C3%A9+Cultura/@-23.342084399999997,-51.186425199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 421 reviews

Name: Jardim Secreto Cafeteria
link: https://www.google.com/maps/search/Jardim+Secreto+Cafeteria/@-23.3355498,-51.179755799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: Cafe Design
link: https://www.google.com/maps/search/Caf%C3%A9+Design/@-23.342599900000003,-51.187105599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews",http://www.casabauducco.com.br/,Casa Bauducco (Ye Zhu ),https://www.google.com/maps/contrib/104809570383439480146,https://lh5.googleusercontent.com/p/AF1QipOxK3y9vcjWKcdO3UB9YAyp6z7vw62vKDXu_VfB=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,10:00-22:00,Open All Days,+55 43 3028-8604,"Casa Bauducco - Rod. Celso Garcia Cid, 377 - Terra Bonita, Londrina - PR, 86050-901Ba Xi ","Qiao Ke Li , Jia Ge , Huan Jing , Qia Bu Qi Nuo , Rou Gui , Xia Wu , Ke Song ",https://www.google.com/maps/place/Casa+Bauducco/data=!4m7!3m6!1s0x94eb5d5b3aa1b1c7:0xc02571ce059245ed!8m2!3d-23.3425438!4d-51.1846733!16s%2Fg%2F11h6r55_bw!19sChIJx7GhOltd65QR7UWSBc5xJcA?authuser=0&hl=zh-TW&rclk=1
ChIJJ7lvWhJd65QR4lCqiisTOpQ,Baru Confeitaria Criativa,,False,242,"Name: Hachimitsu Bakery
link: https://www.google.com/maps/search/Hachimitsu+Bakery/@-23.330316,-51.174209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2266 reviews

Name: Tusura Panificadora e Confeitaria - UN 1
link: https://www.google.com/maps/search/Tusura+Panificadora+e+Confeitaria+-+UN+1/@-23.292514399999998,-51.2012548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 626 reviews

Name: Cakes Frei Palhano
link: https://www.google.com/maps/search/Cakes+Frei+Palhano/@-23.331582899999997,-51.177276799999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: Santa Ceia
link: https://www.google.com/maps/search/Santa+Ceia/@-23.3459153,-51.192631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",http://www.instagram.com/barucriativa,Baru Confeitaria Criativa (Ye Zhu ),https://www.google.com/maps/contrib/113611871947358385988,https://lh5.googleusercontent.com/p/AF1QipOjChlu_-EVY6RFNHHimwBVn0f2UKsbKJVF44mz=w408-h539-k-no,Gao Bing Dian ,"Gao Bing Dian , Mian Bao Xi Bing Dian , Zao Wu Can Can Ting , Zheng Liu Ka Pei Ba ",4.8,10:00-19:00,"Xing Qi Yi , Xing Qi Er ",+55 43 3321-6646,"Baru Confeitaria Criativa - R. Rubens Carlos de Jesus, 300 - ALAMEDA SANTANA, Londrina - PR, 86055-240Ba Xi ","Huan Jing , Pai , Jia Ge , Cai Dan , Chan Pin , Fa Xiao , Zao Shang ",https://www.google.com/maps/place/Baru+Confeitaria+Criativa/data=!4m7!3m6!1s0x94eb5d125a6fb927:0x943a132b8aaa50e2!8m2!3d-23.345021!4d-51.1924872!16s%2Fg%2F11fldplb4x!19sChIJJ7lvWhJd65QR4lCqiisTOpQ?authuser=0&hl=zh-TW&rclk=1
ChIJkQgtt8BF65QR562ZMZz6avg,REI DO MATE,,False,235,"Name: O Armazem Cafe
link: https://www.google.com/maps/search/O+Armaz%C3%A9m+Caf%C3%A9/@-23.310477499999998,-51.166578799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1094 reviews

Name: Jardim Secreto Cafeteria
link: https://www.google.com/maps/search/Jardim+Secreto+Cafeteria/@-23.3355498,-51.179755799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: The Coffee
link: https://www.google.com/maps/search/The+Coffee/@-23.312543299999998,-51.1668387?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Nanica
link: https://www.google.com/maps/search/Nanica/@-23.305738299999998,-51.1788417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: KLM Cafeteria
link: https://www.google.com/maps/search/KLM+Cafeteria/@-23.3218709,-51.1758798?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.reidomate.com.br/,REI DO MATE (Ye Zhu ),https://www.google.com/maps/contrib/113303278210705664053,https://lh5.googleusercontent.com/p/AF1QipO1odD2H_YnK2DQF2hcS-wpMXNqH9szw9pD4nX0=w430-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Cha Yi Guan ",4.6,08:00-20:00,Open All Days,+55 43 3328-4455,"REI DO MATE - Av. Maringa, 241 - Vitoria, Londrina - PR, 86060-000Ba Xi ","Jia Ge , Chan Pin , Qia Bu Qi Nuo ",https://www.google.com/maps/place/REI+DO+MATE/data=!4m7!3m6!1s0x94eb45c0b72d0891:0xf86afa9c3199ade7!8m2!3d-23.303374!4d-51.1786987!16s%2Fg%2F11qb_g6308!19sChIJkQgtt8BF65QR562ZMZz6avg?authuser=0&hl=zh-TW&rclk=1
ChIJXdYxZU1D65QROUMgEC-iJdA,Cafeteria - Cafe Mojo,,False,233,"Name: Cakes Frei Palhano
link: https://www.google.com/maps/search/Cakes+Frei+Palhano/@-23.331582899999997,-51.177276799999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: Go Coffee Londrina
link: https://www.google.com/maps/search/Go+Coffee+Londrina/@-23.329065699999997,-51.1776221?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: The Coffee
link: https://www.google.com/maps/search/The+Coffee/@-23.3301677,-51.174200899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews",http://www.cafemojo.com.br/,Cafeteria - Cafe Mojo (Ye Zhu ),https://www.google.com/maps/contrib/104280606573360435639,https://lh5.googleusercontent.com/p/AF1QipM4ZRdiqlwC6NawmhN2W0Vo7yXXnMCvxGY-D1Hn=w408-h544-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting , Ka Pei Dian ",4.5,07:45-19:15,"Xing Qi Yi , Xing Qi Ri ",+55 43 99959-6647,"Cafeteria - Cafe Mojo - Av. Ayrton Senna da Silva, 200 - Palhano 1, Londrina - PR, 86050-460Ba Xi ","Jia Ge , Huan Jing , Yin Liao , Qia Bu Qi Nuo , Chan Pin , Ke Ren ",https://www.google.com/maps/place/Cafeteria+-+Caf%C3%A9+Mojo/data=!4m7!3m6!1s0x94eb434d6531d65d:0xd025a22f10204339!8m2!3d-23.327447!4d-51.1775946!16s%2Fg%2F11f00d1n6z!19sChIJXdYxZU1D65QROUMgEC-iJdA?authuser=0&hl=zh-TW&rclk=1
