place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJeRalUwwv3YARpKcn0Eo4ex8,Teofilo Coffee Company,,False,93,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@33.803498,-118.070795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 473 reviews

Name: Firehouse Cafe
link: https://www.google.com/maps/search/Firehouse+Cafe/@33.8100723,-118.06519989999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: 5th Ave Bagelry
link: https://www.google.com/maps/search/5th+Ave+Bagelry/@33.8044349,-118.0721327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: Goodfellows Coffee
link: https://www.google.com/maps/search/Goodfellows+Coffee/@33.818380499999996,-118.0607691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: Cafe Niko
link: https://www.google.com/maps/search/Cafe+Niko/@33.803748399999996,-118.0674369?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://www.teofilocoffeecompany.com/,Teofilo Coffee Company (Ye Zhu ),https://www.google.com/maps/contrib/102149284898102916631,https://lh5.googleusercontent.com/p/AF1QipMP9HR9MXNL3pmuXRVxOU8suvnVSPZjqbkg0QXX=w426-h240-k-no,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Mian Bao Xi Bing Dian , Zao Can Can Ting , Wai Hui Yin Shi Gong Ying Shang , Ka Pei Dian ",4.8,07:00-17:00,Open All Days,+1 714-715-7183,"Teofilo Coffee Company, 10525 Los Alamitos Blvd, Los Alamitos, CA 90720Mei Guo ","Na Tie , Dou , Bing Di Ka Pei , Ka Pei Shi , Pao Mo , Tian , Bing Ka Pei ",https://www.google.com/maps/place/Teofilo+Coffee+Company/data=!4m7!3m6!1s0x80dd2f0c53a51679:0x1f7b384ad027a7a4!8m2!3d33.8099277!4d-118.0723385!16s%2Fg%2F11fsx9nc_t!19sChIJeRalUwwv3YARpKcn0Eo4ex8?authuser=0&hl=zh-TW&rclk=1
ChIJJYIbIWNhazkRYEtfgqjHr2k,Rj 23 AC cafe & RESTRO,,False,56,"Name: BMB Cafe
link: https://www.google.com/maps/search/BMB+Cafe/@27.4021764,74.9178613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Yash Cafe Coffee
link: https://www.google.com/maps/search/Yash+Cafe+Coffee/@27.405130699999997,74.9214489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.rj23losal.com/,Rj 23 AC cafe & RESTRO (Ye Zhu ),https://www.google.com/maps/contrib/111299384483367971285,https://lh5.googleusercontent.com/p/AF1QipNmlkv2xM6OsIvN0a3ULR1546FwyDPwcOdwvyTD=w427-h240-k-no,Kuai Can Dian ,Kuai Can Dian ,4.5,06:00-22:00,Open All Days,+91 96607 11767,"Rj 23 AC cafe & RESTRO, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/Rj+23+AC+caf%C3%A9+%26+RESTRO/data=!4m7!3m6!1s0x396b6163211b8225:0x69afc7a8825f4b60!8m2!3d27.4019312!4d74.9264162!16s%2Fg%2F11j0h8t_3x!19sChIJJYIbIWNhazkRYEtfgqjHr2k?authuser=0&hl=zh-TW&rclk=1
ChIJvzxShkr7AzQRQ50genqnWAY,L.K Coffee,,False,2,"Name: Le Pei Plus
link: https://www.google.com/maps/search/%E6%A8%82%E5%95%A1Plus/@22.399240199999998,113.9776574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews

Name: Kaffee Jen
link: https://www.google.com/maps/search/Kaffee+Jen/@22.3969435,113.96884229999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Lorway Coffee & Bakery
link: https://www.google.com/maps/search/Lorway+Coffee+%26+Bakery/@22.381296199999998,113.971954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: KURAI
link: https://www.google.com/maps/search/KURAI/@22.4037702,113.9785239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Ka Pei Hong 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E7%84%A2/@22.391488499999998,113.97069950000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.lkcoffeehk.com/,L.K Coffee (Ye Zhu ),https://www.google.com/maps/contrib/103208312125402383085,https://lh5.googleusercontent.com/p/AF1QipPaz6H-aoSZ2_pEij3xr5zkNQlhfr1jtxNA6IfN=w408-h408-k-no,Yi Lang Ka Pei Ting ,"Yi Lang Ka Pei Ting , Ka Pei Dian ",5,,Open All Days,6702 9496,Tun Men Jian Fa Jie 11Hao AZuo 601Shi Hao Jing Gong Ye Da Sha L.K Coffee11Hao ,,https://www.google.com/maps/place/L.K+Coffee/data=!4m7!3m6!1s0x3403fb4a86523cbf:0x658a77a7a209d43!8m2!3d22.3984139!4d113.9677258!16s%2Fg%2F11q3y716jz!19sChIJvzxShkr7AzQRQ50genqnWAY?authuser=0&hl=zh-TW&rclk=1
ChIJiTOnDdgABDQRnGeEEnFavag,co:llab coffee,,False,1,"Name: Xing Ba Ke  (Hong Hui Ge )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E9%B4%BB%E8%BC%9D%E9%96%A3%29/@22.2900284,114.1960929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: On The Hill Coffee Bar
link: https://www.google.com/maps/search/On+The+Hill+Coffee+Bar/@22.292999599999998,114.20100029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Lungo
link: https://www.google.com/maps/search/Lungo/@22.2870548,114.19232029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.287944,114.19258649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: coffeelab
link: https://www.google.com/maps/search/coffeelab/@22.3143247,114.1701543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.co-llabcoffee.com/,co:llab coffee (Ye Zhu ),https://www.google.com/maps/contrib/113191664089913334558,https://lh5.googleusercontent.com/p/AF1QipMtjb96Qqt6oLsfJVJGFHa7Jli4yOWrTdfwgYc3=w408-h510-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,3,,Open All Days,,"14/F, co:llab coffee, Yin Hui Zhong Xin 351-353 King's Rd, North Point",,https://www.google.com/maps/place/co:llab+coffee/data=!4m7!3m6!1s0x340400d80da73389:0xa8bd5a711284679c!8m2!3d22.2907825!4d114.1973933!16s%2Fg%2F11f046_rgj!19sChIJiTOnDdgABDQRnGeEEnFavag?authuser=0&hl=zh-TW&rclk=1
ChIJeXW-jvthazkRmmYvTAQMoLk,The backbenchers cafe,,False,124,"Name: BMB Cafe
link: https://www.google.com/maps/search/BMB+Cafe/@27.4021764,74.9178613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Karan Arjun Backery
link: https://www.google.com/maps/search/Karan+Arjun+Backery/@27.3994869,74.91787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Balaji Cafe
link: https://www.google.com/maps/search/Balaji+Cafe/@27.4021764,74.91786090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,The backbenchers cafe (Ye Zhu ),https://www.google.com/maps/contrib/103143324751478250874,https://lh5.googleusercontent.com/p/AF1QipPuKBkfGF62d_Tj2arAHEFnPqHEE0e9i7gHI5dh=w526-h240-k-no,Can Ting ,Can Ting ,4.8,,Open All Days,,"The backbenchers cafe, RNB Mega Mart, Sikar Road, Losal, Rajasthan 332025Yin Du ",Ju Hui ,https://www.google.com/maps/place/The+backbenchers+cafe/data=!4m7!3m6!1s0x396b61fb8ebe7579:0xb9a00c044c2f669a!8m2!3d27.404139!4d74.9233808!16s%2Fg%2F11rk26sq9s!19sChIJeXW-jvthazkRmmYvTAQMoLk?authuser=0&hl=zh-TW&rclk=1
ChIJz5KC78FhazkRTsNtjL64iso,BMB Cafe,,False,63,"Name: Balaji Cafe
link: https://www.google.com/maps/search/Balaji+Cafe/@27.4021764,74.91786090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: BIKANER MISTHAN BHANAR
link: https://www.google.com/maps/search/BIKANER+MISTHAN+BHANAR/@27.3988892,74.9166989?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,BMB Cafe (Ye Zhu ),https://www.google.com/maps/contrib/103531214288027157099,https://lh5.googleusercontent.com/p/AF1QipPfHROvkFGd5n_bDVtYgfhKA1-75n3cBz82HigU=w408-h408-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4,08:00-23:00,Open All Days,,"BMB Cafe, Unnamed Road, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/BMB+Cafe/data=!4m7!3m6!1s0x396b61c1ef8292cf:0xca8ab8be8c6dc34e!8m2!3d27.4021764!4d74.9178613!16s%2Fg%2F11g0w0sxkl!19sChIJz5KC78FhazkRTsNtjL64iso?authuser=0&hl=zh-TW&rclk=1
ChIJSzY3EfZhazkRM2omvbHYYa8,Moon light cafe losal,,False,35,"Name: Hotel Bhagwati Palace and Restaurant Losal
link: https://www.google.com/maps/search/Hotel+Bhagwati+Palace+and+Restaurant+Losal/@27.396793300000002,74.9164467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Balaji Cafe
link: https://www.google.com/maps/search/Balaji+Cafe/@27.4021764,74.91786090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Moon light cafe losal (Ye Zhu ),https://www.google.com/maps/contrib/104132188098594261102,https://lh5.googleusercontent.com/p/AF1QipMTlcLreZZByJcZYF90Ema7cBJTx5Kad-CuaxFs=w408-h272-k-no,Kuai Can Dian ,Kuai Can Dian ,4.5,09:00-22:00,Open All Days,,"Moon light cafe losal, opp. Vidya bharti school losal, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/Moon+light+cafe+losal/data=!4m7!3m6!1s0x396b61f61137364b:0xaf61d8b1bd266a33!8m2!3d27.4018517!4d74.9179906!16s%2Fg%2F11rd2dnzmh!19sChIJSzY3EfZhazkRM2omvbHYYa8?authuser=0&hl=zh-TW&rclk=1
ChIJi2o9ChNhazkRrKUqpHjImMU,Yash Cafe Coffee,,False,17,"Name: Sip N Slice Losal
link: https://www.google.com/maps/search/Sip+N+Slice+Losal/@27.401839100000004,74.91797919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Karan Arjun Backery
link: https://www.google.com/maps/search/Karan+Arjun+Backery/@27.3994869,74.91787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Balaji Cafe
link: https://www.google.com/maps/search/Balaji+Cafe/@27.4021764,74.91786090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Yash Cafe Coffee (Ye Zhu ),https://www.google.com/maps/contrib/112828916915066306207,https://lh5.googleusercontent.com/p/AF1QipP-p0Ug-UgCtPH5_PL6LjwiuKyLjPD-dJDV_UK1=w519-h240-k-no,Vegetarian cafe and deli,Vegetarian cafe and deli,4.8,09:00-22:00,Open All Days,+91 99831 24154,"Yash Cafe Coffee, near Focus, near main bus stand, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/Yash+Cafe+Coffee/data=!4m7!3m6!1s0x396b61130a3d6a8b:0xc598c878a42aa5ac!8m2!3d27.4051307!4d74.9214489!16s%2Fg%2F11pr73crjw!19sChIJi2o9ChNhazkRrKUqpHjImMU?authuser=0&hl=zh-TW&rclk=1
ChIJixck_nhhazkRdqwIG3it6v0,Lucky Tea Point,,False,15,"Name: Moon light cafe losal
link: https://www.google.com/maps/search/Moon+light+cafe+losal/@27.401851699999998,74.9179906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Balaji Cafe
link: https://www.google.com/maps/search/Balaji+Cafe/@27.4021764,74.91786090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",,Lucky Tea Point (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO7l9AAmgqnsTwAaM8J2lmiJOi0yCxKQuJJG70X=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,08:00-20:00,Open All Days,,"9WWG+7MJ Lucky Tea Point, Kuchaman, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/Lucky+Tea+Point/data=!4m7!3m6!1s0x396b6178fe24178b:0xfdeaad781b08ac76!8m2!3d27.395711!4d74.9266516!16s%2Fg%2F11hbrvkk18!19sChIJixck_nhhazkRdqwIG3it6v0?authuser=0&hl=zh-TW&rclk=1
ChIJM1NSHgthazkRDuZUQl00i4g,Balaji Cafe,,False,10,"Name: BMB Cafe
link: https://www.google.com/maps/search/BMB+Cafe/@27.4021764,74.9178613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Yash Cafe Coffee
link: https://www.google.com/maps/search/Yash+Cafe+Coffee/@27.405130699999997,74.9214489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Gr Cafe &Restaurants losal
link: https://www.google.com/maps/search/Gr+Cafe+%26Restaurants+losal/@27.4035758,74.923772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Balaji Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNdLXNowBsGDU4Kv6jJm5BpLe7bYQcAvu2wlyP5=w408-h720-k-no,Ka Pei Ting ,Ka Pei Ting ,5,08:00-20:00,Open All Days,,"CW29+V4H Balaji Cafe, Unnamed Road, Losal, Rajasthan 332025Yin Du ",,https://www.google.com/maps/place/Balaji+Cafe/data=!4m7!3m6!1s0x396b610b1e525333:0x888b345d4254e60e!8m2!3d27.4021764!4d74.9178609!16s%2Fg%2F11gfp7p2zw!19sChIJM1NSHgthazkRDuZUQl00i4g?authuser=0&hl=zh-TW&rclk=1
