place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJFSddk6ePPDkR84eeIHJjWLc,Mailsi Trade Center,,False,834,"Name: Mailsi Departmental Store& ppizza House
link: https://www.google.com/maps/search/Mailsi+Departmental+Store%26+ppizza+House/@29.8049646,72.1751986?authuser=0&hl=nl&entry=ttu
Reviews: 243 reviews

Name: Iqbal Traders Ghala Mandi Mailsi
link: https://www.google.com/maps/search/Iqbal+Traders+Ghala+Mandi+Mailsi/@29.8069567,72.1817192?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: Mailsi Corporation
link: https://www.google.com/maps/search/Mailsi+Corporation/@29.7930097,72.1720366?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Ink. collection
link: https://www.google.com/maps/search/Ink.+collection/@29.8041796,72.1768287?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Market Commitee Mailsi
link: https://www.google.com/maps/search/Market+Commitee+Mailsi/@29.806340199999998,72.1801151?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Mailsi Trade Center (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMkW6pQhulyfd_We0lDlO0Dl_LZ7GNIbete5TVi=w408-h306-k-no,Supermarkt,Supermarkt,4.1,07:16-21:15,Open All Days,+92 300 7723853,"R53G+H5H Mailsi Trade Center, Trade Centre Rd, Mailsi, Vehari, Punjab, Pakistan","zakelijk, hotel, elektronica, kwaliteit, mall, verkoop, ervaring, chemisch bestrijdingsmiddel, warenhuis, prijs",https://www.google.com/maps/place/Mailsi+Trade+Center/data=!4m7!3m6!1s0x393c8fa7935d2715:0xb7586372209e87f3!8m2!3d29.8039419!4d72.1754882!16s%2Fg%2F1v4prcy4!19sChIJFSddk6ePPDkR84eeIHJjWLc?authuser=0&hl=nl&rclk=1
ChIJiygdEqePPDkR025gmsBAOrU,Lasani Bakers And Sweets,,False,225,"Name: Sargodha Sweets and Bakers
link: https://www.google.com/maps/search/Sargodha+Sweets+and+Bakers/@29.792508899999998,72.1704673?authuser=0&hl=nl&entry=ttu
Reviews: 54 reviews

Name: Malik Super Store & Bakers Mailsi
link: https://www.google.com/maps/search/Malik+Super+Store+%26+Bakers+Mailsi/@29.8075816,72.17275819999999?authuser=0&hl=nl&entry=ttu
Reviews: 33 reviews

Name: New Haideri Sweets Bakers & Provision Store
link: https://www.google.com/maps/search/New+Haideri+Sweets+Bakers+%26+Provision+Store/@29.800406099999996,72.1806892?authuser=0&hl=nl&entry=ttu
Reviews: 13 reviews

Name: Samdia Sweets & Bakers
link: https://www.google.com/maps/search/Samdia+Sweets+%26+Bakers/@29.792270700000003,72.17020029999999?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews",,Lasani Bakers And Sweets (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNgiZWtim-2lLm0UJ4JhNxxNGSkHJLVrSqwbnDq=w408-h725-k-no,Bakkerij,Bakkerij,4.1,24 uur geopend,Open All Days,+92 301 7935596,"R53F+R9P Lasani Bakers And Sweets, Multan Rd, Rasool Pura Mailsi, Vehari, Punjab 61200, Pakistan","producten, kwaliteit",https://www.google.com/maps/place/Lasani+Bakers+And+Sweets/data=!4m7!3m6!1s0x393c8fa7121d288b:0xb53a40c09a606ed3!8m2!3d29.8045784!4d72.1734489!16s%2Fg%2F1jkvyryqm!19sChIJiygdEqePPDkR025gmsBAOrU?authuser=0&hl=nl&rclk=1
ChIJc2iD2l6PPDkRuTkAlaTTXzw,Pizza house Mailsi,,False,169,"Name: New Pizza Hut
link: https://www.google.com/maps/search/New+Pizza+Hut/@29.805715400000004,72.171761?authuser=0&hl=nl&entry=ttu
Reviews: 33 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.8018682,72.17270350000001?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Royal pizza
link: https://www.google.com/maps/search/Royal+pizza/@29.798575200000002,72.1837274?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Hadi Fast Food & Pizza
link: https://www.google.com/maps/search/Hadi+Fast+Food+%26+Pizza/@29.7997912,72.1831816?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Kukoo'z Bites pizza shop
link: https://www.google.com/maps/search/Kukoo%27z+Bites+pizza+shop/@29.7982345,72.1852588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews",,Pizza house Mailsi (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNEEZm0gqmVp9t0Z8FAOekiPMz7XaYTbYGyhBgt=w408-h544-k-no,Restaurant,Restaurant,4,11:00-00:00,Open All Days,+92 301 8022626,"Q5RC+PHQ Pizza house Mailsi, Garrisson Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Pizza+house+Mailsi/data=!4m7!3m6!1s0x393c8f5eda836873:0x3c5fd3a4950039b9!8m2!3d29.7918281!4d72.1714784!16s%2Fg%2F11h51zqpql!19sChIJc2iD2l6PPDkRuTkAlaTTXzw?authuser=0&hl=nl&rclk=1
ChIJ48lBwSuPPDkRSm3sPWHEB3U,Rehman albaik Cafe,,False,130,"Name: Pizza house Mailsi
link: https://www.google.com/maps/search/Pizza+house+Mailsi/@29.791828099999996,72.1714784?authuser=0&hl=nl&entry=ttu
Reviews: 169 reviews

Name: Cafe-007 Mailsi
link: https://www.google.com/maps/search/Cafe-007+Mailsi/@29.7981885,72.18476629999999?authuser=0&hl=nl&entry=ttu
Reviews: 96 reviews

Name: Bismillah Hotel
link: https://www.google.com/maps/search/Bismillah+Hotel/@29.796252700000004,72.169397?authuser=0&hl=nl&entry=ttu
Reviews: 86 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.8018682,72.17270350000001?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Kukoo'z Bites pizza shop
link: https://www.google.com/maps/search/Kukoo%27z+Bites+pizza+shop/@29.7982345,72.1852588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews",,Rehman albaik Cafe (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOhDfutlr9pBxAlYF0_gBPSJv_ePkUj-mq5xGUE=w408-h398-k-no,Restaurant,Restaurant,4.1,,Open All Days,+92 300 0827722,"Rehman albaik Cafe, Kahror Pakka Road Pathak, Kahror Pakka Rd, Mailsi, Vehari, Punjab, Pakistan",pizza,https://www.google.com/maps/place/Rehman+albaik+Cafe/data=!4m7!3m6!1s0x393c8f2bc141c9e3:0x7507c4613dec6d4a!8m2!3d29.7875834!4d72.1577191!16s%2Fg%2F11hvzr_ps2!19sChIJ48lBwSuPPDkRSm3sPWHEB3U?authuser=0&hl=nl&rclk=1
ChIJq0ljo5GPPDkR4Ikw_NdjUmk,Cafe-007 Mailsi,,False,96,"Name: Pizza house Mailsi
link: https://www.google.com/maps/search/Pizza+house+Mailsi/@29.791828099999996,72.1714784?authuser=0&hl=nl&entry=ttu
Reviews: 169 reviews

Name: Rehman albaik Cafe
link: https://www.google.com/maps/search/Rehman+albaik+Cafe/@29.7875834,72.1577191?authuser=0&hl=nl&entry=ttu
Reviews: 130 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.801644000000003,72.1733692?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Kukoo'z Bites pizza shop
link: https://www.google.com/maps/search/Kukoo%27z+Bites+pizza+shop/@29.7982345,72.1852588?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Cafe 007
link: https://www.google.com/maps/search/Cafe+007/@29.7921021,72.1771541?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Cafe-007 Mailsi (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOLmRaReZTCvUkaoPRmvg2OuXXoz7zRzvVE1HxO=w426-h240-k-no,Snackbar,Snackbar,4,,Open All Days,+92 300 1294007,"Q5XM+7WC Cafe-007 Mailsi, Colony Road, Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Cafe-007+Mailsi/data=!4m7!3m6!1s0x393c8f91a36349ab:0x695263d7fc3089e0!8m2!3d29.7981885!4d72.1847663!16s%2Fg%2F11rr2_yg7z!19sChIJq0ljo5GPPDkR4Ikw_NdjUmk?authuser=0&hl=nl&rclk=1
ChIJDyD8cwyPPDkRlbe-Pxpa4xA,Bismillah Hotel,,False,86,"Name: Al Fahad Merhaba Hotel
link: https://www.google.com/maps/search/Al+Fahad+Merhaba+Hotel/@29.803204500000003,72.175614?authuser=0&hl=nl&entry=ttu
Reviews: 173 reviews

Name: Pizza house Mailsi
link: https://www.google.com/maps/search/Pizza+house+Mailsi/@29.791828099999996,72.1714784?authuser=0&hl=nl&entry=ttu
Reviews: 169 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.8018682,72.17270350000001?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Mailsi Chicken Broast & Chargha House
link: https://www.google.com/maps/search/Mailsi+Chicken+Broast+%26+Chargha+House/@29.805132000000004,72.1721256?authuser=0&hl=nl&entry=ttu
Reviews: 15 reviews

Name: Mehar Hotel
link: https://www.google.com/maps/search/Mehar+Hotel/@29.7927509,72.1701422?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews",,Bismillah Hotel (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipM8ViIjznLNi_f1B9QGRzK4txZVgYa8coZXiNbi=w408-h544-k-no,Restaurant,Restaurant,3.9,24 uur geopend,Open All Days,+92 300 2630943,"Q5W9+GQ2 Bismillah Hotel, Colony Rd, Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Bismillah+Hotel/data=!4m7!3m6!1s0x393c8f0c73fc200f:0x10e35a1a3fbeb795!8m2!3d29.7962527!4d72.169397!16s%2Fg%2F11csrrmcy2!19sChIJDyD8cwyPPDkRlbe-Pxpa4xA?authuser=0&hl=nl&rclk=1
ChIJx6PMxgePPDkRT5nY1L3iSwo,Shakoori Food And Tea,,False,64,"Name: Bismillah Hotel
link: https://www.google.com/maps/search/Bismillah+Hotel/@29.796252700000004,72.169397?authuser=0&hl=nl&entry=ttu
Reviews: 86 reviews

Name: Darbar Shinwari Hotel
link: https://www.google.com/maps/search/Darbar+Shinwari+Hotel/@29.799014999999997,72.1697082?authuser=0&hl=nl&entry=ttu
Reviews: 85 reviews

Name: Shokari Rice Point
link: https://www.google.com/maps/search/Shokari+Rice+Point/@29.8017434,72.178428?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews",,Shakoori Food And Tea (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMY2re5FMUBK7SHA9bgwQOX4VJ-Af_ZJCMJQnkV=w408-h544-k-no,Restaurant,Restaurant,4.4,08:00-22:50,Open All Days,,"R52H+M9J Shakoori Food And Tea, Mintoo St, Siddiq-e-Akber Mailsi, Vehari, Punjab, Pakistan",milkshake,https://www.google.com/maps/place/Shakoori+Food+And+Tea/data=!4m7!3m6!1s0x393c8f07c6cca3c7:0xa4be2bdd4d8994f!8m2!3d29.8017099!4d72.1783985!16s%2Fg%2F11c53jvbg9!19sChIJx6PMxgePPDkRT5nY1L3iSwo?authuser=0&hl=nl&rclk=1
ChIJWUvJ1QOPPDkRgxdd5PJsjTw,Karachi Restaurant,,False,44,"Name: Pizza house Mailsi
link: https://www.google.com/maps/search/Pizza+house+Mailsi/@29.791828099999996,72.1714784?authuser=0&hl=nl&entry=ttu
Reviews: 169 reviews

Name: Bismillah Hotel
link: https://www.google.com/maps/search/Bismillah+Hotel/@29.796252700000004,72.169397?authuser=0&hl=nl&entry=ttu
Reviews: 86 reviews

Name: Darbar Shinwari Hotel
link: https://www.google.com/maps/search/Darbar+Shinwari+Hotel/@29.799014999999997,72.1697082?authuser=0&hl=nl&entry=ttu
Reviews: 85 reviews

Name: Crispy Fri Chiks
link: https://www.google.com/maps/search/Crispy+Fri+Chiks/@29.7993611,72.1834342?authuser=0&hl=nl&entry=ttu
Reviews: 29 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.8018682,72.17270350000001?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews",,Karachi Restaurant (eigenaar),,,Restaurant,Restaurant,4,24 uur geopend,Open All Days,+92 302 6825006,"Q5XP+F7Q Karachi Restaurant, Quaid E Azam Rd, Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Karachi+Restaurant/data=!4m7!3m6!1s0x393c8f03d5c94b59:0x3c8d6cf2e45d1783!8m2!3d29.7987043!4d72.185746!16s%2Fg%2F11byxftp9n!19sChIJWUvJ1QOPPDkRgxdd5PJsjTw?authuser=0&hl=nl&rclk=1
ChIJOcq1Bg6PPDkRLrS8kSdklpA,The Ice Cream Palace,,False,42,"Name: Rehman albaik Cafe
link: https://www.google.com/maps/search/Rehman+albaik+Cafe/@29.7875834,72.1577191?authuser=0&hl=nl&entry=ttu
Reviews: 130 reviews

Name: Cafe-007 Mailsi
link: https://www.google.com/maps/search/Cafe-007+Mailsi/@29.7981885,72.18476629999999?authuser=0&hl=nl&entry=ttu
Reviews: 96 reviews

Name: Shakoori Food And Tea
link: https://www.google.com/maps/search/Shakoori+Food+And+Tea/@29.8017099,72.1783985?authuser=0&hl=nl&entry=ttu
Reviews: 64 reviews

Name: Akram Tea Cafe
link: https://www.google.com/maps/search/Akram+Tea+Cafe/@29.8002874,72.18099649999999?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: mahar cafe and funland
link: https://www.google.com/maps/search/mahar+cafe+and+funland/@29.7921021,72.1771541?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,The Ice Cream Palace (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOEcdaHobTEty8Kgv1V1TyZIfzAxv-IRXT2XsHo=w426-h240-k-no,Cafe,Cafe,4,14:00-00:00,Open All Days,+92 300 7742077,"Q5RC+MJM The Ice Cream Palace, Garrisson Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/The+Ice+Cream+Palace/data=!4m7!3m6!1s0x393c8f0e06b5ca39:0x9096642791bcb42e!8m2!3d29.791706!4d72.1715435!16s%2Fg%2F11bzr5zx83!19sChIJOcq1Bg6PPDkRLrS8kSdklpA?authuser=0&hl=nl&rclk=1
ChIJEcb6cQ6PPDkRdNsHkxzDwIg,Aslam Tea Cafe,,False,29,"Name: Akram Tea Cafe
link: https://www.google.com/maps/search/Akram+Tea+Cafe/@29.8002874,72.18099649999999?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Jameel Tea Cafe
link: https://www.google.com/maps/search/Jameel+Tea+Cafe/@29.793739700000003,72.1700817?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Muhammadi Tea Cafe
link: https://www.google.com/maps/search/Muhammadi+Tea+Cafe/@29.7932488,72.1721039?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Aslam Tea Cafe (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMkDem4CMNalMajSV8Wuq7HZtJvuBNIchXUeOYe=w408-h544-k-no,Koffiebar,Koffiebar,4.1,17:00-00:00,Open All Days,+92 301 6578767,"Q5VC+7Q7 Aslam Tea Cafe, Dharam Pura Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Aslam+Tea+Cafe/data=!4m7!3m6!1s0x393c8f0e71fac611:0x88c0c31c9307db74!8m2!3d29.7931683!4d72.171932!16s%2Fg%2F11bx4b8xdk!19sChIJEcb6cQ6PPDkRdNsHkxzDwIg?authuser=0&hl=nl&rclk=1
ChIJmeSgmS-PPDkRVI5B-_a4If0,Crispy Fri Chiks,,False,29,"Name: Pizza house Mailsi
link: https://www.google.com/maps/search/Pizza+house+Mailsi/@29.791828099999996,72.1714784?authuser=0&hl=nl&entry=ttu
Reviews: 169 reviews

Name: PFC Mailsi
link: https://www.google.com/maps/search/PFC+Mailsi/@29.8018682,72.17270350000001?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Mailsi Chicken Broast & Chargha House
link: https://www.google.com/maps/search/Mailsi+Chicken+Broast+%26+Chargha+House/@29.805132000000004,72.1721256?authuser=0&hl=nl&entry=ttu
Reviews: 15 reviews

Name: Shokari Rice Point
link: https://www.google.com/maps/search/Shokari+Rice+Point/@29.8017434,72.178428?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Hadi Fast Food & Pizza
link: https://www.google.com/maps/search/Hadi+Fast+Food+%26+Pizza/@29.7997912,72.1831816?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews",,Crispy Fri Chiks (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPfxv_6XyBD3TAs2YY8zUwkbkeRNW38svA9JhzO=w408-h306-k-no,Restaurant,Restaurant,4.1,11:00-01:00,Open All Days,+92 313 7715594,"Q5XM+P9V Crispy Fri Chiks, Quaid E Azam Rd, Mailsi, Vehari, Punjab, Pakistan",,https://www.google.com/maps/place/Crispy+Fri+Chiks/data=!4m7!3m6!1s0x393c8f2f99a0e499:0xfd21b8f6fb418e54!8m2!3d29.7993611!4d72.1834342!16s%2Fg%2F11kmqy_fzh!19sChIJmeSgmS-PPDkRVI5B-_a4If0?authuser=0&hl=nl&rclk=1
