place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJXaA2AM3AjRIRwSG3h7CFfEk,Cafe Khaled,,False,25,"Name: Cafe l'olivier
link: https://www.google.com/maps/search/Caf%C3%A9+l%27olivier/@36.7933224,4.0602297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Nafaa COFFEE
link: https://www.google.com/maps/search/Nafaa+COFFEE/@36.801468799999995,4.0403686?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafe Khaled (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM7Xe4QUTzGolRmTm7ky5TlPd0xvQ7m8BI9Z6zl=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,05:00-21:00,Open All Days,+213 771 17 61 55,"R22R+VH5 Cafe Khaled, W3, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+Khaled/data=!4m7!3m6!1s0x128dc0cd0036a05d:0x497c85b087b721c1!8m2!3d36.8021457!4d4.0414987!16s%2Fg%2F11c563n1zc!19sChIJXaA2AM3AjRIRwSG3h7CFfEk?authuser=0&hl=zh-TW&rclk=1
ChIJIUnSu1q_jRIRycIUlq1z6X0,Cafeteria Remblai,,False,12,"Name: Cafe Khaled
link: https://www.google.com/maps/search/Cafe+Khaled/@36.802145700000004,4.0414987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: VAVA CHEIKH
link: https://www.google.com/maps/search/VAVA+CHEIKH/@36.7912922,4.0631281999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Cafe l'olivier
link: https://www.google.com/maps/search/Caf%C3%A9+l%27olivier/@36.7933224,4.0602297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Cafeteria Remblai (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN8F2vH_u-zWjgXSp9a7nJJebuFzugbiN6pkBw=w520-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,05:00-21:00,Open All Days,,"R36H+2JJ Cafeteria Remblai, N72, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria+Remblai/data=!4m7!3m6!1s0x128dbf5abbd24921:0x7de973ad9614c2c9!8m2!3d36.8100981!4d4.0790079!16s%2Fg%2F11dy_jny3d!19sChIJIUnSu1q_jRIRycIUlq1z6X0?authuser=0&hl=zh-TW&rclk=1
ChIJp9WEGFHHjRIRpEQDOgbRFps,VAVA CHEIKH,,False,10,"Name: Cafeteria Remblai
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Remblai/@36.8100981,4.0790079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",,VAVA CHEIKH (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,3.4,,Open All Days,,"Q3R7+G76 VAVA CHEIKH, N72, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/VAVA+CHEIKH/data=!4m7!3m6!1s0x128dc7511884d5a7:0x9b16d1063a0344a4!8m2!3d36.7912922!4d4.0631282!16s%2Fg%2F11btm831v7!19sChIJp9WEGFHHjRIRpEQDOgbRFps?authuser=0&hl=zh-TW&rclk=1
ChIJbaw6qNa_jRIRADuWkdFIiVA,SARL PHENIX MIZRANA,,False,7,"Name: BOUTIQUE CAFE SARL PHENIX MIZRANA
link: https://www.google.com/maps/search/BOUTIQUE+CAFE+SARL+PHENIX+MIZRANA/@36.8925957,4.1232245?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Boutique cafe et the Sarl phenix mizrana
link: https://www.google.com/maps/search/Boutique+cafe+et+th%C3%A9+Sarl+phenix+mizrana/@36.7306677,3.9576819000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: STAND CAFE PHENIX MIZRANA
link: https://www.google.com/maps/search/STAND+CAFE+PHENIX+MIZRANA/@36.7042698,4.0442006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,SARL PHENIX MIZRANA (Ye Zhu ),https://www.google.com/maps/contrib/104167605420903709274,https://lh5.googleusercontent.com/p/AF1QipMJ6fez68d4Nm1e0fy2M5QjLbfxAXYwyLGk7y0H=w519-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,08:00-16:00,Xing Qi Wu ,+213 555 01 70 50,"SARL PHENIX MIZRANA, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/SARL+PHENIX+MIZRANA/data=!4m7!3m6!1s0x128dbfd6a83aac6d:0x508948d191963b00!8m2!3d36.8261481!4d4.0829223!16s%2Fg%2F11fl0xzl8_!19sChIJbaw6qNa_jRIRADuWkdFIiVA?authuser=0&hl=zh-TW&rclk=1
ChIJi0Et8VHHjRIRMKyk2ARIZXo,Cafe l'olivier,,False,6,"Name: Cafe Khaled
link: https://www.google.com/maps/search/Cafe+Khaled/@36.802145700000004,4.0414987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Cafeteria Remblai
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Remblai/@36.8100981,4.0790079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Cafeteria d'escale Hadouda
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+d%27escale+Hadouda/@36.7774821,4.0289832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafe l'olivier (Ye Zhu ),https://www.google.com/maps/contrib/106689421806077669557,https://lh5.googleusercontent.com/p/AF1QipOsGsVXeI2NTlMqVbXZch9J92DAvJbIRPLTVOjo=w408-h315-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,04:00-00:00,Open All Days,+213 551 54 83 05,"Cafe l'olivier, Makouda centre ville, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+l%27olivier/data=!4m7!3m6!1s0x128dc751f12d418b:0x7a654804d8a4ac30!8m2!3d36.7933224!4d4.0602297!16s%2Fg%2F11c1vb8008!19sChIJi0Et8VHHjRIRMKyk2ARIZXo?authuser=0&hl=zh-TW&rclk=1
ChIJHxKPNFHHjRIRfqpVDuwNcAo,Boulangerie Kacha,,False,5,"Name: VAVA CHEIKH
link: https://www.google.com/maps/search/VAVA+CHEIKH/@36.7912922,4.0631281999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Superette MAKOUDA ETS les freres IKHLEF
link: https://www.google.com/maps/search/Sup%C3%A9rette+MAKOUDA+ETS+les+fr%C3%A8res+IKHLEF/@36.7891039,4.0617234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Huilerie Moderne Ets Kacha
link: https://www.google.com/maps/search/Huilerie+Moderne+Ets+Kacha/@36.7920711,4.0540734?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Gateau riyan
link: https://www.google.com/maps/search/G%C3%A2teau+riyan/@36.8272153,4.0769758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Produits Patisseries Et Emballages ""LINA.s.""
link: https://www.google.com/maps/search/Produits+P%C3%A2tisseries+Et+Emballages+%22LINA.s.%22/@36.7914525,4.063320099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Boulangerie Kacha (Ye Zhu ),,,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.8,06:00-15:00,Open All Days,,"Q3R7+PP6 Boulangerie Kacha, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Boulangerie+Kacha/data=!4m7!3m6!1s0x128dc751348f121f:0xa700dec0e55aa7e!8m2!3d36.7917779!4d4.0642703!16s%2Fg%2F11c0p_1lkw!19sChIJHxKPNFHHjRIRfqpVDuwNcAo?authuser=0&hl=zh-TW&rclk=1
ChIJU7BxUb3AjRIRm6pet5otY74,Cafeteria Khaloui Chabane,,False,5,"Name: Cafe Khaled
link: https://www.google.com/maps/search/Cafe+Khaled/@36.802145700000004,4.0414987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Cafeteria Remblai
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Remblai/@36.8100981,4.0790079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: VAVA CHEIKH
link: https://www.google.com/maps/search/VAVA+CHEIKH/@36.7912922,4.0631281999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: FAST FOOD DJAMEL
link: https://www.google.com/maps/search/FAST+FOOD+DJAMEL/@36.8207458,4.0598844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cafeteria Khaloui Chabane (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNlsVV37ZLnFHijmJvkklAwD7ZH2oLsvlBHQx74=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,,"R3C5+2HR Cafeteria Khaloui Chabane, W3, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafeteria+Khaloui+Chabane/data=!4m7!3m6!1s0x128dc0bd5171b053:0xbe632d9ab75eaa9b!8m2!3d36.8201191!4d4.058879!16s%2Fg%2F11cs40k2kz!19sChIJU7BxUb3AjRIRm6pet5otY74?authuser=0&hl=zh-TW&rclk=1
ChIJCX1RZzC_jRIR30HOmlOsQ-o,Cafe Du centre,,False,4,"Name: Cafe l'olivier
link: https://www.google.com/maps/search/Caf%C3%A9+l%27olivier/@36.7933224,4.0602297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cafeteria Moh Oubaradj
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+Moh+Oubaradj/@36.776713,4.203746000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Hamouche
link: https://www.google.com/maps/search/Hamouche/@36.799792,4.0929132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafeteria du village
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+du+village/@36.771907999999996,4.1479186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Du centre (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP8TaglHs5E4qsSan4aIHOEptICRow3TRamX4Lf=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3,06:00-22:00,Open All Days,,"R34X+V62 Cafe Du centre, Makouda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Du+centre/data=!4m7!3m6!1s0x128dbf3067517d09:0xea43ac539ace41df!8m2!3d36.8071377!4d4.0980003!16s%2Fg%2F11g6wxj_d1!19sChIJCX1RZzC_jRIR30HOmlOsQ-o?authuser=0&hl=zh-TW&rclk=1
ChIJIYaVGKTBjRIROvJImUF86m8,lqahwa boukacem,,False,4,"Name: LQAHWA N RAVAH Bakli
link: https://www.google.com/maps/search/LQAHWA+N+RAVAH+Bakli/@36.8255068,3.9940337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Lqahwa n samir
link: https://www.google.com/maps/search/Lqahwa+n+samir/@36.8254646,3.9933150000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafeteria mouh akli
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+mouh+akli/@36.81526970000001,4.2464873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Hamouche
link: https://www.google.com/maps/search/Hamouche/@36.799792,4.0929132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,lqahwa boukacem (Ye Zhu ),https://www.google.com/maps/contrib/110990467739631889956,https://lh5.googleusercontent.com/p/AF1QipMQXO0xuwKRFMCIRLhS0evBN000AZFxTd4Eyu0U=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,2.8,06:30-22:30,Open All Days,,"lqahwa boukacem, 35110, Afir 35110A Er Ji Li Ya ",,https://www.google.com/maps/place/lqahwa+boukacem/data=!4m7!3m6!1s0x128dc1a418958621:0x6fea7c419948f23a!8m2!3d36.8493535!4d4.0144974!16s%2Fg%2F11clzqlj72!19sChIJIYaVGKTBjRIROvJImUF86m8?authuser=0&hl=zh-TW&rclk=1
ChIJzZF_pfbAjRIRyRiwwJ8WZ0Y,Cafe Balit,,False,4,"Name: CAFETERIA THALWITH
link: https://www.google.com/maps/search/CAF%C3%89T%C3%89RIA+THALWITH/@36.88593290000001,4.1263559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe RACHID
link: https://www.google.com/maps/search/Caf%C3%A9+RACHID/@36.8381198,4.0452922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Balit (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOIpvMYrlSHRSs2-8iiSbGOQiwLkV8KmeD8uICh=w408-h306-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,3.8,,Open All Days,,"R2QV+4CR Cafe Balit, talatoghrast Mizrana, Mizrana, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Balit/data=!4m7!3m6!1s0x128dc0f6a57f91cd:0x4667169fc0b018c9!8m2!3d36.8378552!4d4.0435006!16s%2Fg%2F11c6rgy4tf!19sChIJzZF_pfbAjRIRyRiwwJ8WZ0Y?authuser=0&hl=zh-TW&rclk=1
