place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJa_-U2VttvDMRbitgHqssTXk,Yugto Coffee,,False,6,"Name: Tea, Coffee & Deli - Mamburao
link: https://www.google.com/maps/search/Tea%2C+Coffee+%26+Deli+-+Mamburao/@13.222718100000002,120.5970841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: JoyZone Cafe
link: https://www.google.com/maps/search/JoyZone+Cafe/@13.224374599999999,120.59425239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/yugtocoffee,Yugto Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMB15PoVMQqTtMOhNWpMux-IZE4CYD1CBknyVPF=w408-h507-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,12:00-20:00,Open All Days,,"Yugto Coffee, Capitol, West Road, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Yugto+Coffee/data=!4m7!3m6!1s0x33bc6d5bd994ff6b:0x794d2cab1e602b6e!8m2!3d13.2216704!4d120.6008249!16s%2Fg%2F11ptsfmckh!19sChIJa_-U2VttvDMRbitgHqssTXk?authuser=0&hl=zh-TW&rclk=1
ChIJtzQcWs9tvDMRL746tr2n35Q,AC Milktea House,,False,,"Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: BGC Mamburao
link: https://www.google.com/maps/search/BGC+Mamburao/@13.2248457,120.59082269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Shine Coffee Shop
link: https://www.google.com/maps/search/Shine+Coffee+Shop/@13.2208089,120.60017400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: MarBol Tea House
link: https://www.google.com/maps/search/MarBol+Tea+House/@13.2205294,120.59962200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/ACMilkteaHouse/,AC Milktea House (Ye Zhu ),https://www.google.com/maps/contrib/112806007718012310070,https://lh5.googleusercontent.com/p/AF1QipM7mHxKA0Bvwu4YZdAgbxoY5qta4mK_pf_LEJ0p=w408-h317-k-no,Cha Yi Guan ,Cha Yi Guan ,,10:00-20:00,Xing Qi Ri ,,"AC Milktea House, Brgy.5, Mamburao, 5106 Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/AC+Milktea+House/data=!4m7!3m6!1s0x33bc6dcf5a1c34b7:0x94dfa7bdb63abe2f!8m2!3d13.2260958!4d120.5930957!16s%2Fg%2F11rtybnrxf!19sChIJtzQcWs9tvDMRL746tr2n35Q?authuser=0&hl=zh-TW&rclk=1
ChIJdSapV2ptvDMRVFnJOEUGpAE,"Tea, Coffee & Deli - Mamburao",,False,6,"Name: Bibo's Restaurant
link: https://www.google.com/maps/search/Bibo%27s+Restaurant/@13.2258102,120.59318799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: BGC Mamburao
link: https://www.google.com/maps/search/BGC+Mamburao/@13.2248457,120.59082269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Anda's Cocina
link: https://www.google.com/maps/search/Anda%E2%80%99s+Cocina/@13.2249363,120.5926122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"Tea, Coffee & Deli - Mamburao (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipM0fXOQPbDvALXXNLnlqoEviBFDAG_4ZlpA_5zp=w408-h544-k-no,Can Ting ,Can Ting ,4.3,11:00-21:00,Open All Days,+63 945 562 4299,"Tea, Coffee & Deli - Mamburao, 89 San Jose St, Payompon, Mamburao, Occidental Mindoro, Fei Lu Bin ",,"https://www.google.com/maps/place/Tea,+Coffee+%26+Deli+-+Mamburao/data=!4m7!3m6!1s0x33bc6d6a57a92675:0x1a4064538c95954!8m2!3d13.2227181!4d120.5970841!16s%2Fg%2F11t3cwn914!19sChIJdSapV2ptvDMRVFnJOEUGpAE?authuser=0&hl=zh-TW&rclk=1"
ChIJwe69U0psvDMRSj11HLw2U2o,JoyZone Cafe,,False,5,"Name: Yugto Coffee
link: https://www.google.com/maps/search/Yugto+Coffee/@13.221670399999999,120.60082489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Shine Coffee Shop
link: https://www.google.com/maps/search/Shine+Coffee+Shop/@13.2208089,120.60017400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,JoyZone Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNSNosK22id4N6pQsMpiIT0sd5sxCoYWuuWkHT2=w425-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,24 Xiao Shi Ying Ye ,Open All Days,,"6HFV+PPR JoyZone Cafe, Rizal St, Bayan ng Mamburao, Lalawigan ng Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/JoyZone+Cafe/data=!4m7!3m6!1s0x33bc6c4a53bdeec1:0x6a5336bc1c753d4a!8m2!3d13.2243746!4d120.5942524!16s%2Fg%2F11gfn6qylz!19sChIJwe69U0psvDMRSj11HLw2U2o?authuser=0&hl=zh-TW&rclk=1
ChIJfZa-n3BtvDMRin-n2HpnC6g,D' Sweet Express,,False,4,,,D' Sweet Express (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNIJi10JPhWNjdPctZsInAHr9FGEqDEq-86w2Vl=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,08:00-22:00,Open All Days,,"6JC2+2J9 D' Sweet Express, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/D%27+Sweet+Express/data=!4m7!3m6!1s0x33bc6d709fbe967d:0xa80b677ad8a77f8a!8m2!3d13.2200385!4d120.6016218!16s%2Fg%2F11l29z0bsx!19sChIJfZa-n3BtvDMRin-n2HpnC6g?authuser=0&hl=zh-TW&rclk=1
ChIJFdiuchBtvDMRBMI_KGNmxqc,BigBrew Mamburao,,False,3,"Name: Yugto Coffee
link: https://www.google.com/maps/search/Yugto+Coffee/@13.221670399999999,120.60082489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: JoyZone Cafe
link: https://www.google.com/maps/search/JoyZone+Cafe/@13.224374599999999,120.59425239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Shine Coffee Shop
link: https://www.google.com/maps/search/Shine+Coffee+Shop/@13.2208089,120.60017400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,BigBrew Mamburao (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TbnkLjiyYG5QhleLbfR1cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=185.6775&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"BigBrew Mamburao, 91 San Jose St, Payompon, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/BigBrew+Mamburao/data=!4m7!3m6!1s0x33bc6d1072aed815:0xa7c66663283fc204!8m2!3d13.2209752!4d120.5991933!16s%2Fg%2F11rw7pmxmd!19sChIJFdiuchBtvDMRBMI_KGNmxqc?authuser=0&hl=zh-TW&rclk=1
ChIJM0uVMaBtvDMRX1z4OVgq92U,Cups Mamburao,,False,3,"Name: Yugto Coffee
link: https://www.google.com/maps/search/Yugto+Coffee/@13.221670399999999,120.60082489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Beanleaf
link: https://www.google.com/maps/search/Beanleaf/@13.2160655,120.60393189999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: BigBrew Mamburao
link: https://www.google.com/maps/search/BigBrew+Mamburao/@13.2209752,120.59919329999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Shine Coffee Shop
link: https://www.google.com/maps/search/Shine+Coffee+Shop/@13.2208089,120.60017400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cups
link: https://www.google.com/maps/search/Cups/@13.215753500000002,120.6169646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cups Mamburao (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OqraRVhEDnHdmhdsPCVfkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.31357&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"Cups Mamburao, 89 San Jose St, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Cups+Mamburao/data=!4m7!3m6!1s0x33bc6da031954b33:0x65f72a5839f85c5f!8m2!3d13.2211544!4d120.5989924!16s%2Fg%2F11p0mxhwx0!19sChIJM0uVMaBtvDMRX1z4OVgq92U?authuser=0&hl=zh-TW&rclk=1
ChIJxTWRW5ttvDMRLIu-e4iNgvg,Beanleaf,,False,2,"Name: Yugto Coffee
link: https://www.google.com/maps/search/Yugto+Coffee/@13.221670399999999,120.60082489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tea, Coffee & Deli - Mamburao
link: https://www.google.com/maps/search/Tea%2C+Coffee+%26+Deli+-+Mamburao/@13.222718100000002,120.5970841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: JoyZone Cafe
link: https://www.google.com/maps/search/JoyZone+Cafe/@13.224374599999999,120.59425239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: MarBol Tea House
link: https://www.google.com/maps/search/MarBol+Tea+House/@13.2205294,120.59962200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Beanleaf (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPeNZ8AmVR6tw_75Bn7ZRWTb61CvFVvv8PhNH-3=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,+63 966 793 3288,"6J83+CHF Beanleaf, National Hwy, Bayan ng Mamburao, Lalawigan ng Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Beanleaf/data=!4m7!3m6!1s0x33bc6d9b5b9135c5:0xf8828d887bbe8b2c!8m2!3d13.2160655!4d120.6039319!16s%2Fg%2F11h4cz9tqp!19sChIJxTWRW5ttvDMRLIu-e4iNgvg?authuser=0&hl=zh-TW&rclk=1
ChIJARurEE5tvDMRqGfWmdR8xzk,Shine Coffee Shop,,False,1,"Name: Yugto Coffee
link: https://www.google.com/maps/search/Yugto+Coffee/@13.221670399999999,120.60082489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: JoyZone Cafe
link: https://www.google.com/maps/search/JoyZone+Cafe/@13.224374599999999,120.59425239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cups Mamburao
link: https://www.google.com/maps/search/Cups+Mamburao/@13.2211544,120.5989924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: BigBrew Mamburao
link: https://www.google.com/maps/search/BigBrew+Mamburao/@13.2209752,120.59919329999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cups
link: https://www.google.com/maps/search/Cups/@13.215753500000002,120.6169646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Shine Coffee Shop (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X2Z7vIOh-NcdkHw8C3XUpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.27755&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4,,Open All Days,,"6JC2+83F Shine Coffee Shop, National Hwy, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/Shine+Coffee+Shop/data=!4m7!3m6!1s0x33bc6d4e10ab1b01:0x39c77cd499d667a8!8m2!3d13.2208089!4d120.600174!16s%2Fg%2F11rql5vc90!19sChIJARurEE5tvDMRqGfWmdR8xzk?authuser=0&hl=zh-TW&rclk=1
ChIJWy88IlBtvDMRzOAgfkMv5RQ,KAPItolyo Coffee Shop and Lomi,,False,,,,KAPItolyo Coffee Shop and Lomi (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wlW4ENzSk5Hrj4FSUIvUxQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.58229&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"6HFW+95F KAPItolyo Coffee Shop and Lomi, San Jose St, Mamburao, Occidental Mindoro, Fei Lu Bin ",,https://www.google.com/maps/place/KAPItolyo+Coffee+Shop+and+Lomi/data=!4m7!3m6!1s0x33bc6d50223c2f5b:0x14e52f437e20e0cc!8m2!3d13.2234348!4d120.5954065!16s%2Fg%2F11l2kh1sc5!19sChIJWy88IlBtvDMRzOAgfkMv5RQ?authuser=0&hl=zh-TW&rclk=1
