place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ31T-ZcYABDQRtavCaCmfsd4,Knockbox Coffee Company,,False,713,"Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3184032,114.16869439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 671 reviews

Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: Zi Pei 
link: https://www.google.com/maps/search/%E5%AD%96%E5%95%A1/@22.315190899999997,114.16998230000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 307 reviews

Name: Home Place Cafe
link: https://www.google.com/maps/search/Home+Place+Cafe/@22.315161699999997,114.1699639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",http://www.knockboxcoffee.hk/,Knockbox Coffee Company (Ye Zhu ),https://www.google.com/maps/contrib/114366107224706490113,https://lh5.googleusercontent.com/p/AF1QipN4Ns1zKqoz9iB-tAJO6M-0m4uWsgfuiShMCMQw=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,11:00-18:00,Open All Days,2781 0363,"Knockbox Coffee Company, 23Hao  Hak Po St, Mong Kok","Ka Pei Shi , Bei , latte, Wo Fu , flat white, Kou Wei , Shu Shi , Kao , Ce Suo ",https://www.google.com/maps/place/Knockbox+Coffee+Company/data=!4m7!3m6!1s0x340400c665fe54df:0xdeb19f2968c2abb5!8m2!3d22.3176204!4d114.1725583!16s%2Fg%2F1tfpxg90!19sChIJ31T-ZcYABDQRtavCaCmfsd4?authuser=0&hl=zh-TW&rclk=1
ChIJS-GRnXsABDQRO-CIBlQY_r8,FINEPRINT,,False,400,"Name: Hazel & Hershey Coffee Roasters
link: https://www.google.com/maps/search/Hazel+%26+Hershey+Coffee+Roasters/@22.282152800000002,114.1519694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Blend & Grind Mid-Levels
link: https://www.google.com/maps/search/Blend+%26+Grind+Mid-Levels/@22.280860999999998,114.152098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Preface Coffee & Wine (Central)
link: https://www.google.com/maps/search/Preface+Coffee+%26+Wine+%28Central%29/@22.282055699999997,114.1554426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: FINEPRINT Pop-up
link: https://www.google.com/maps/search/FINEPRINT+Pop-up/@22.285285899999998,114.16172209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.fineprint.hk/,FINEPRINT (Ye Zhu ),https://www.google.com/maps/contrib/109490555575471418661,https://lh5.googleusercontent.com/p/AF1QipMi8AFUgl8KvDv4A2ZDbr8ZtKCIt4Ox8SZ2mQeH=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Mian Bao Xi Bing Dian , Zheng Liu Ka Pei Ba ",4.5,06:00-18:00,Open All Days,5503 6880,"FINEPRINT, Fineprint, 38 Peel St, Central","flat white, Lan Mei , Lao Mian , Zao Wu Can , Yan , happy hour",https://www.google.com/maps/place/FINEPRINT/data=!4m7!3m6!1s0x3404007b9d91e14b:0xbffe18540688e03b!8m2!3d22.2826808!4d114.1527794!16s%2Fg%2F11c2njt74f!19sChIJS-GRnXsABDQRO-CIBlQY_r8?authuser=0&hl=zh-TW&rclk=1
ChIJn7Lb1CQBBDQRIb17OefQqT0,Coffee Solutions by Pacific Coffee (JURA Showroom),,False,363,"Name: Crew (Wan Zi )
link: https://www.google.com/maps/search/Crew+%28%E7%81%A3%E4%BB%94%29/@22.2754402,114.1713133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Gaggia Milano - HK
link: https://www.google.com/maps/search/Gaggia+Milano+-+HK/@22.2859022,114.1519873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules
link: https://www.google.com/maps/search/Boncaf%C3%A9+%28Hong+Kong%29+Limited+%7C+Coffee+Machine+Purchase+%2F+Rental+%7C+Coffee+Beans+%26+Capsules/@22.3227562,114.2077498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Gao Duan You Xian Gong Si 
link: https://www.google.com/maps/search/%E9%AB%98%E7%AB%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.280887,114.17488999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: The Coffee Company
link: https://www.google.com/maps/search/The+Coffee+Company/@22.278594299999998,114.1775721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://eshop-coffeesolutions.pacificcoffee.com/,Coffee Solutions by Pacific Coffee (JURA Showroom) (Ye Zhu ),https://www.google.com/maps/contrib/108600229769618475047,https://lh5.googleusercontent.com/p/AF1QipPncrW2B_5PQzGFAtROykPrF8S5G4HGbJRUrKtk=w494-h240-k-no,Ka Pei Ji Gong Ying Shang ,Ka Pei Ji Gong Ying Shang ,4,07:00-20:00,Open All Days,2865 4977,"Coffee Solutions by Pacific Coffee (JURA Showroom), Shops UG 4-5, East Town Building, Fenwick Street, 41 Lockhart Rd, Wan Chai","Shu Shi , Yin Pin , Huan Jing , Hui Yi , wifi, Wu Can , atmosphere, Sha Fa ",https://www.google.com/maps/place/Coffee+Solutions+by+Pacific+Coffee+%28JURA+Showroom%29/data=!4m7!3m6!1s0x34040124d4dbb29f:0x3da9d0e7397bbd21!8m2!3d22.2783971!4d114.170572!16s%2Fg%2F11lkyw8t95!19sChIJn7Lb1CQBBDQRIb17OefQqT0?authuser=0&hl=zh-TW&rclk=1
ChIJb9rZLHEBBDQRDG2xKUswpCg,Tai Ping Yang Ka Pei ,,False,165,"Name: Xing Ba Ke  (Li Jing Wan )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E9%AF%89%E6%99%AF%E7%81%A3%29/@22.2849282,114.22335919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 261 reviews

Name: Shang Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%8A%E5%92%96%E5%95%A1/@22.2774763,114.2275796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Mu Dan Ka Pei 
link: https://www.google.com/maps/search/%E7%89%A1%E4%B8%B9%E5%92%96%E5%95%A1/@22.2815598,114.22261519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: The Home Eatery
link: https://www.google.com/maps/search/The+Home+Eatery/@22.2815543,114.2218327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Cowbird Coffee Roasters
link: https://www.google.com/maps/search/Cowbird+Coffee+Roasters/@22.285212299999998,114.2221617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",http://www.pacificcoffee.com/,Tai Ping Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/112054055008569977348,https://lh5.googleusercontent.com/p/AF1QipNAXNDBBHOZgRdWcFbFI58FtW33UK9ZTYofrTTl=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,07:30-20:00,Open All Days,2857 9963,"Tai Ping Yang Ka Pei  Shop GD 21B-22, Site D, 25 Tai On Street, Lei King Wan, Sai Wan Ho",,https://www.google.com/maps/place/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x340401712cd9da6f:0x28a4304b29b16d0c!8m2!3d22.2834679!4d114.2234484!16s%2Fg%2F11c2k5ccxk!19sChIJb9rZLHEBBDQRDG2xKUswpCg?authuser=0&hl=zh-TW&rclk=1
ChIJPVU5UsAABDQRWpnKCws7xaM,ELF Coffee Zuo Dun  Ka Pei Zhuan Men Dian ,,False,66,"Name: Colour Brown Coffee
link: https://www.google.com/maps/search/Colour+Brown+Coffee/@22.3033789,114.1688508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 450 reviews

Name: Hands-On Coffee
link: https://www.google.com/maps/search/Hands-On+Coffee/@22.3020814,114.1759134?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Slow Walker
link: https://www.google.com/maps/search/Slow+Walker/@22.3037645,114.16976899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Quality Life Coffee
link: https://www.google.com/maps/search/Quality+Life+Coffee/@22.3889086,114.2074148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Pin Wei Ka Pei Gong Si 
link: https://www.google.com/maps/search/%E5%93%81%E5%91%B3%E5%92%96%E5%95%A1%E5%85%AC%E5%8F%B8/@22.313884899999998,114.17103619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://elfcoffeehk.com/,ELF Coffee Company Limited (Ye Zhu ),https://www.google.com/maps/contrib/109952517155690317781,https://lh5.googleusercontent.com/p/AF1QipOzofkimTMJxxxNy6u3gyY83u6avhMXfAfz1Blr=w408-h544-k-no,Shang Dian ,"Shang Dian , Ka Pei Ji Gong Ying Shang , Ka Pei Dian , Ka Pei Pi Fa Shang , Wang Ka /Wang Lu Yong Pin Dian ",4.5,11:30-20:00,Xing Qi Yi ,3188 9263,You Ma Di Wu Song Jie 62-64Hao 7Lou  Quan Ceng Xing Fu Shang Ye Da Sha ELF Coffee Company Limited,"Nai Xin , Chan Pin , Dou , Ke Ren ",https://www.google.com/maps/place/ELF+Coffee+%E4%BD%90%E6%95%A6+%E5%92%96%E5%95%A1%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x340400c05239553d:0xa3c53b0b0bca995a!8m2!3d22.3069904!4d114.1707!16s%2Fg%2F11b7c9w17v!19sChIJPVU5UsAABDQRWpnKCws7xaM?authuser=0&hl=zh-TW&rclk=1
ChIJ6amL4HMBBDQRYuIaddkVZxY,Knockbox Coffee Company,,False,53,"Name: Crew (Wan Zi )
link: https://www.google.com/maps/search/Crew+%28%E7%81%A3%E4%BB%94%29/@22.2754402,114.1713133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Coco Espresso Wan Chai
link: https://www.google.com/maps/search/Coco+Espresso+Wan+Chai/@22.277258200000002,114.1687493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Coffeelin Espresso (Wan Chai)
link: https://www.google.com/maps/search/Coffeelin+Espresso+%28Wan+Chai%29/@22.278468,114.172259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: BOOK cafe
link: https://www.google.com/maps/search/BOOK+caf%C3%A9/@22.276830099999998,114.17361439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",http://www.knockboxcoffee.hk/,Knockbox Coffee Company (Ye Zhu ),https://www.google.com/maps/contrib/101851072269661215528,https://lh5.googleusercontent.com/p/AF1QipNSJ6x4LtuSjH_izMl2czrEG4TcLT0CGzBVBNla=w408-h612-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,11:30-18:00,Xing Qi San ,2781 1299,"Knockbox Coffee Company, 3 Burrows St, Wan Chai","Dou , She Ji , Luo Li , light, Ji Rou , Xuan Ze , Bei , Huan Jing , Zao Shang , Jia Ge ",https://www.google.com/maps/place/Knockbox+Coffee+Company/data=!4m7!3m6!1s0x34040173e08ba9e9:0x166715d9751ae262!8m2!3d22.277193!4d114.176326!16s%2Fg%2F11nnzxmf4h!19sChIJ6amL4HMBBDQRYuIaddkVZxY?authuser=0&hl=zh-TW&rclk=1
ChIJDS-V7lUBBDQRV8lGpgyC7C4,Filters Lane,,False,38,"Name: EverShine Cafe
link: https://www.google.com/maps/search/EverShine+Cafe/@22.2837615,114.15360799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: 29 Coffee
link: https://www.google.com/maps/search/29+Coffee/@22.285767,114.1512853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://filterslane.com/,Filters Lane (Ye Zhu ),https://www.google.com/maps/contrib/100996565304178141523,https://lh5.googleusercontent.com/p/AF1QipNA5akXPzmHTrc008DWDVXmUb3STz-XTaEvX0fq=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,09:00-18:00,Open All Days,2517 1868,Zhong Huan Jia Xian Jie 34Hao Filters LaneHao Di Xia ,"Na Tie , Jia Ge , Dou ",https://www.google.com/maps/place/Filters+Lane/data=!4m7!3m6!1s0x34040155ee952f0d:0x2eec820ca646c957!8m2!3d22.2827903!4d114.1533729!16s%2Fg%2F11qpxlzzn8!19sChIJDS-V7lUBBDQRV8lGpgyC7C4?authuser=0&hl=zh-TW&rclk=1
ChIJY2g-7MYABDQRClpbwssgUMo,My Little Coffee,,False,35,"Name: Knockbox Coffee Company
link: https://www.google.com/maps/search/Knockbox+Coffee+Company/@22.3176204,114.17255829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 713 reviews

Name: Coffee Break
link: https://www.google.com/maps/search/Coffee+Break/@22.315861299999998,114.17136049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Black Coffee
link: https://www.google.com/maps/search/Black+Coffee/@22.3163596,114.17286779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: sharen8 Ka Pei Yong Pin Dian 
link: https://www.google.com/maps/search/sharen8+%E5%92%96%E5%95%A1%E7%94%A8%E5%93%81%E5%BA%97/@22.315982899999998,114.17194239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.facebook.com/MYLITTLECOFFEE.HK,My Little Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNGOYFrVFiB1F6wMNzmq5CxgJKxCSlD1FG6iOyT=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,13:00-21:00,Open All Days,3488 8387,"Room 22 16 My Little Coffee, 1/F Wang Jiao Hua Yuan Jie Wang Jiao ",Dou ,https://www.google.com/maps/place/My+Little+Coffee/data=!4m7!3m6!1s0x340400c6ec3e6863:0xca5020cbc25b5a0a!8m2!3d22.3160446!4d114.1718779!16s%2Fg%2F11c1rsj89_!19sChIJY2g-7MYABDQRClpbwssgUMo?authuser=0&hl=zh-TW&rclk=1
ChIJA73TWZEABDQRxU7ViI8zoxM,Nespresso ELEMENTS Boutique,"Zhe Jian Guo Ji Lian Suo Shang Dian Fan Shou Zi Chan Ka Pei ,Yi Ji Shi He Ju Jia Chong Pao De Yi Shi Ka Pei Ji He Pei Jian . ",False,21,"Name: Xing Ba Ke  (Yuan Fang )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%9C%93%E6%96%B9%29/@22.304768900000003,114.16231529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 691 reviews

Name: NOC (Tsim Sha Tsui East)
link: https://www.google.com/maps/search/NOC+%28Tsim+Sha+Tsui+East%29/@22.2983261,114.17847959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Pret A Manger
link: https://www.google.com/maps/search/Pret+A+Manger/@22.30331,114.16017?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Tea WG Boutique at Elements (Yuan Fang Jing Pin Dian )
link: https://www.google.com/maps/search/Tea+WG+Boutique+at+Elements+%28%E5%9C%93%E6%96%B9%E7%B2%BE%E5%93%81%E5%BA%97%29/@22.3047543,114.1623662?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules
link: https://www.google.com/maps/search/Boncaf%C3%A9+%28Hong+Kong%29+Limited+%7C+Coffee+Machine+Purchase+%2F+Rental+%7C+Coffee+Beans+%26+Capsules/@22.3227562,114.2077498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.nespresso.com/hk/en/home,Nespresso ELEMENTS Boutique (Ye Zhu ),https://www.google.com/maps/contrib/110269111231757382691,https://lh5.googleusercontent.com/p/AF1QipP58-wVzQl8A-jWy46Ugzn3wZpz98_QjaqIrI3B=w408-h271-k-no,Ka Pei Ji Gong Ying Shang ,Ka Pei Ji Gong Ying Shang ,4.5,12:00-20:00,Open All Days,8101 1007,"Shop 1089B, Nespresso ELEMENTS Boutique, 1 Austin Rd W, Tsim Sha Tsui",Chan Pin ,https://www.google.com/maps/place/Nespresso+ELEMENTS+Boutique/data=!4m7!3m6!1s0x3404009159d3bd03:0x13a3338f88d54ec5!8m2!3d22.3047905!4d114.1623752!16s%2Fg%2F1tdwbjsv!19sChIJA73TWZEABDQRxU7ViI8zoxM?authuser=0&hl=zh-TW&rclk=1
ChIJIebHQQkBBDQRtZoQ4WAQH-s,flow float,,False,21,"Name: Xi Ni Le Yuan  - Tong Luo Wan 
link: https://www.google.com/maps/search/%E6%82%89%E5%B0%BC%E6%A8%82%E5%9C%92+-+%E9%8A%85%E9%91%BC%E7%81%A3/@22.2788334,114.18594519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Pedestrian Coffee
link: https://www.google.com/maps/search/Pedestrian+Coffee/@22.2779519,114.18476090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Cafe flower
link: https://www.google.com/maps/search/Cafe+flower/@22.279552499999998,114.1888409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.flowfloat.com/,flow float (Ye Zhu ),https://www.google.com/maps/contrib/113080532089613266475,https://lh5.googleusercontent.com/p/AF1QipMAJUyy7r1hcDppZlo50aQjrplkCnG_5pE573qX=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-18:00,Open All Days,,Tong Luo Wan Li Dun Dao 95-97Hao Di Xia EHao Pu Xing Hui Da Sha flow float,"Yan Mai Nai , La Hua , Ka Pei Shi , Jia Ge ",https://www.google.com/maps/place/flow+float/data=!4m7!3m6!1s0x3404010941c7e621:0xeb1f1060e1109ab5!8m2!3d22.2773498!4d114.184958!16s%2Fg%2F11rhdbtqxc!19sChIJIebHQQkBBDQRtZoQ4WAQH-s?authuser=0&hl=zh-TW&rclk=1
