place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRUHYIo5DnAARIbu9lTUJKbg,Groceries Bakery Bread Beach,,False,1020,"Name: Lisamar Supermercado e Padaria
link: https://www.google.com/maps/search/Lisamar+Supermercado+e+Padaria/@-23.030907199999998,-44.1642532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 773 reviews

Name: Mercado e Padaria Hortifruti
link: https://www.google.com/maps/search/Mercado+e+Padaria+Hortifruti/@-23.027930599999998,-44.1638559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Padaria, Lanchonete E Mini Mercado Bom Gosto
link: https://www.google.com/maps/search/Padaria%2C+Lanchonete+E+Mini+Mercado+Bom+Gosto/@-23.0304614,-44.163421799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Meu Pao de Queijo Gourmet
link: https://www.google.com/maps/search/Meu+P%C3%A3o+de+Queijo+Gourmet/@-23.0306262,-44.1635071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://wa.me/5521981630770,Groceries Bakery Bread Beach (Ye Zhu ),https://www.google.com/maps/contrib/112577003854662610847,https://lh5.googleusercontent.com/p/AF1QipPPy2aL9C7kY9Dcab8_0IoYFLoMQpPrMcjzpHJT=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Za Huo Dian ",4.4,06:00-22:00,Open All Days,+55 21 2685-0545,"Groceries Bakery Bread Beach - R. Euclides Claudino da Silva, 94-202 - Conceicao de Jacarei, Mangaratiba - RJ, 23860-000Ba Xi ","Jia Ge , Zao Can , Chan Pin , Di Qu , Guo Jiang , Jia Ting ",https://www.google.com/maps/place/Groceries+Bakery+Bread+Beach/data=!4m7!3m6!1s0x9c438e22d84145:0xb829093595bdbb21!8m2!3d-23.0302321!4d-44.1630127!16s%2Fg%2F11bw46ys09!19sChIJRUHYIo5DnAARIbu9lTUJKbg?authuser=0&hl=zh-TW&rclk=1
ChIJU20eHzEVnAARbngWw3QQNqY,Poup Market Mangaratiba,,False,294,"Name: Mercado Poup Market Itacuruca
link: https://www.google.com/maps/search/Mercado+Poup+Market+Itacuru%C3%A7%C3%A1/@-22.9250358,-43.908620299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Mercado Ibicui Market
link: https://www.google.com/maps/search/Mercado+Ibicu%C3%AD+Market/@-22.9610619,-44.029432299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Minimercado Lider de Mangaratiba
link: https://www.google.com/maps/search/Minimercado+Lider+de+Mangaratiba/@-22.9443721,-44.039012899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Rede Poup Market
link: https://www.google.com/maps/search/Rede+Poup+Market/@-22.9475904,-44.0372682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",https://redepoupmarket.com.br/,Poup Market Mangaratiba (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOubfF0TilpA1mlQGy4dwdkhONGgwiH8-ZGNCMW=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,06:00-21:00,Open All Days,+55 21 99063-3944,"Poup Market Mangaratiba - Estr. RJ 014, 190 - Ibicui, Mangaratiba - RJ, 23860-000Ba Xi ","Jia Ge , Di Qu , Chou ",https://www.google.com/maps/place/Poup+Market+Mangaratiba/data=!4m7!3m6!1s0x9c15311f1e6d53:0xa6361074c316786e!8m2!3d-22.9623791!4d-44.0335495!16s%2Fg%2F11k67mc_xf!19sChIJU20eHzEVnAARbngWw3QQNqY?authuser=0&hl=zh-TW&rclk=1
ChIJMa6RBgAVnAARE9AiPbhG61E,Rei do Pao,,False,19,"Name: Padaria Fortaleza
link: https://www.google.com/maps/search/Padaria+Fortaleza/@-22.9394991,-44.0366314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Padaria
link: https://www.google.com/maps/search/Padaria/@-22.936447899999997,-44.0369519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Rede Poup Market
link: https://www.google.com/maps/search/Rede+Poup+Market/@-22.9475904,-44.0372682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://www.alexandretortas.com.br/,Rei do Pao (Ye Zhu ),https://www.google.com/maps/contrib/116660841091744552487,https://lh5.googleusercontent.com/p/AF1QipPs84FtFQsjqQGv9RKypcj0jVK-TWBXyuNigXfn=w533-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.7,06:00-21:00,Open All Days,+55 21 99680-0082,"Rei do Pao - Rua Sao Joao Marcos LT12 - gleba 2, Mangaratiba - RJ, 23860-000Ba Xi ",,https://www.google.com/maps/place/Rei+do+P%C3%A3o/data=!4m7!3m6!1s0x9c15000691ae31:0x51eb46b83d22d013!8m2!3d-22.948509!4d-44.0375095!16s%2Fg%2F11syr3d0ll!19sChIJMa6RBgAVnAARE9AiPbhG61E?authuser=0&hl=zh-TW&rclk=1
ChIJW3JLV8ZDnAARPW2HNAJC964,ANALU'S COFFEE,,False,6,"Name: Lupe Sabores
link: https://www.google.com/maps/search/Lupe+Sabores/@-23.0366863,-44.1809072?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe Bar
link: https://www.google.com/maps/search/Caf%C3%A9+Bar/@-23.0318316,-44.162464299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Bar Corpore Fit
link: https://www.google.com/maps/search/Caf%C3%A9+Bar+Corpore+Fit/@-23.0301925,-44.1631936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Acai Jacarei
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD+Jacarei/@-23.0312488,-44.1648438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/analuscoffee,ANALU'S COFFEE (Ye Zhu ),https://www.google.com/maps/contrib/108142120777288285417,https://lh5.googleusercontent.com/p/AF1QipPe_oSQsce4dkRb_hnVpxE-1FkaM5pJELHSJRnf=w408-h510-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,08:00-19:00,Xing Qi Yi ,+55 21 98766-0985,"ANALU'S COFFEE - R. Braulio de Souza Matos, S/N - Conceicao de Jacarei, Mangaratiba - RJ, 23885-000Ba Xi ",,https://www.google.com/maps/place/ANALU%C2%B4S+COFFEE/data=!4m7!3m6!1s0x9c43c6574b725b:0xaef7420234876d3d!8m2!3d-23.0318425!4d-44.1646324!16s%2Fg%2F11s220t1ky!19sChIJW3JLV8ZDnAARPW2HNAJC964?authuser=0&hl=zh-TW&rclk=1
ChIJ06z-AroVnAARsyMLkU28NoY,Tudo Aqui variedades Mangaratiba,,False,6,"Name: Quiosque To Aqui
link: https://www.google.com/maps/search/Quiosque+T%C3%B4+Aqui/@-22.9297743,-43.9139602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Super Compras - Mangaratiba
link: https://www.google.com/maps/search/Super+Compras+-+Mangaratiba/@-22.960115599999998,-44.04129400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Encantu's variedades
link: https://www.google.com/maps/search/Encantu%27s+variedades/@-22.949561199999998,-44.1411563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: MERCEARIA TEM TUDO
link: https://www.google.com/maps/search/MERCEARIA+TEM+TUDO/@-22.9196344,-43.9507352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Conveniencias da Praia
link: https://www.google.com/maps/search/Conveni%C3%AAncias+da+Praia/@-23.0325825,-44.1641719?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.instagram.com/tudoaquimangaratiba/,Tudo Aqui variedades Mangaratiba (Ye Zhu ),https://www.google.com/maps/contrib/101865520558330912265,https://lh5.googleusercontent.com/p/AF1QipOoU1p4Wr4P2kzvxFKqLYPBc-uC_SSXSSrSpEjY=w408-h725-k-no,Bian Li Dian ,Bian Li Dian ,5,08:00-19:00,Xing Qi Ri ,+55 21 97180-7601,"Tudo Aqui variedades Mangaratiba, proximo ao hospital e prefeitura - R. Rubiao Junior, 84 - Mangaratiba, RJ, 23860-000Ba Xi ",,https://www.google.com/maps/place/Tudo+Aqui+variedades+Mangaratiba/data=!4m7!3m6!1s0x9c15ba02feacd3:0x8636bc4d910b23b3!8m2!3d-22.9617966!4d-44.0401286!16s%2Fg%2F11tjg9525f!19sChIJ06z-AroVnAARsyMLkU28NoY?authuser=0&hl=zh-TW&rclk=1
ChIJxzQuUEgVnAARH19uAtZ9qzE,OPEN STORE PORTO BELO,,False,3,,"https://api.whatsapp.com/send?phone=5521985751685&text=Ol%C3%A1,%20te%20encontrei%20no%20Google%20e%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es.",OPEN STORE PORTO BELO (Ye Zhu ),https://www.google.com/maps/contrib/107893362355705941985,https://lh5.googleusercontent.com/p/AF1QipMbBoJX56vXMWFFSjUDQRiuvYb4T8F1BvG5VXPD=w408-h306-k-no,Bian Li Dian ,"Bian Li Dian , Mei Tan Gong Ying Shang , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Xue Gao Dian , Bing Chang , Jiu Pin Dian , Shi Chang , Xiao Shi /Ling Shi Ba , Yan Cao Dian ",5,07:00-22:00,Open All Days,+55 21 98575-1685,"OPEN STORE PORTO BELO - Rod. Rio Santos, km 439 - loja 01 - Itaoca, Mangaratiba - RJ, 23860-000Ba Xi ",,https://www.google.com/maps/place/OPEN+STORE+PORTO+BELO/data=!4m7!3m6!1s0x9c1548502e34c7:0x31ab7dd6026e5f1f!8m2!3d-22.9515055!4d-44.0787759!16s%2Fg%2F11stv4y3l2!19sChIJxzQuUEgVnAARH19uAtZ9qzE?authuser=0&hl=zh-TW&rclk=1
ChIJ3dYkgwdDnAARiCV4fbexqRU,Cafe Bar Corpore Fit,,False,,"Name: Caicara Gourmet
link: https://www.google.com/maps/search/Cai%C3%A7ara+Gourmet/@-23.0309945,-44.1628715?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Restaurante Divino Sabor
link: https://www.google.com/maps/search/Restaurante+Divino+Sabor/@-23.029651899999998,-44.1644553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: ANALU'S COFFEE
link: https://www.google.com/maps/search/ANALU%C2%B4S+COFFEE/@-23.0318425,-44.164632399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cafe Bar
link: https://www.google.com/maps/search/Caf%C3%A9+Bar/@-23.0318316,-44.162464299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/cafe_bar_corporefit,Cafe Bar Corpore Fit (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UAVT7qGJN-rkNjAahzVeCg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.38434&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Cafe Bar Corpore Fit - R.Adalberto P Pinto, 38 - Conceicao de Jacarei, Mangaratiba - RJ, 23860-000Ba Xi ",,https://www.google.com/maps/place/Caf%C3%A9+Bar+Corpore+Fit/data=!4m7!3m6!1s0x9c43078324d6dd:0x15a9b1b77d782588!8m2!3d-23.0301925!4d-44.1631936!16s%2Fg%2F11rn4tvtjx!19sChIJ3dYkgwdDnAARiCV4fbexqRU?authuser=0&hl=zh-TW&rclk=1
ChIJ_ZKDgfkOnAARENAeXe1TBbM,Posto Capixaba,,False,3017,"Name: Posto BR
link: https://www.google.com/maps/search/Posto+BR/@-22.9147768,-43.9012205?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews

Name: Calabria Forneria
link: https://www.google.com/maps/search/Calabria+Forneria/@-22.9296273,-43.910567799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Posto Ipiranga
link: https://www.google.com/maps/search/Posto+Ipiranga/@-22.959729,-44.041641?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Posto Diana de Itacuruca
link: https://www.google.com/maps/search/Posto+Diana+de+Itacuru%C3%A7%C3%A1/@-22.914583399999998,-43.9010198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,Posto Capixaba (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPCd187ZLz4Yx0rU-vk_77LxpF4n8tNw2SQ8irn=w408-h351-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,06:00-22:00,Open All Days,,"Posto Capixaba - Rod. Governador Mario Covas, 754 - Itacuruca, Mangaratiba - RJ, 23860-000Ba Xi ","Yu Shi , Gong Che Zhan , Xiao Chi Dian , Qing Shi , Zu Zhi , Tui , Guo Jiang ",https://www.google.com/maps/place/Posto+Capixaba/data=!4m7!3m6!1s0x9c0ef9818392fd:0xb30553ed5d1ed010!8m2!3d-22.9144444!4d-43.9008333!16s%2Fg%2F11df82bw6g!19sChIJ_ZKDgfkOnAARENAeXe1TBbM?authuser=0&hl=zh-TW&rclk=1
ChIJn74m9lIVnAARf9sTdweJ7_4,Queijaria Bom Jardim,,False,805,"Name: Queijaria Morro Redondo
link: https://www.google.com/maps/search/Queijaria+Morro+Redondo/@-22.7520858,-44.1425348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Fazendas Pub Ingaiba
link: https://www.google.com/maps/search/Fazendas+Pub+Ingaiba/@-22.9528499,-44.1111718?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Queijos Sao Jose (Produtos da Roca)
link: https://www.google.com/maps/search/Queijos+S%C3%A3o+Jos%C3%A9+%28Produtos+da+Ro%C3%A7a%29/@-22.9375014,-44.0411837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Rainha do queijo Itaguai
link: https://www.google.com/maps/search/Rainha+do+queijo+Itagua%C3%AD/@-22.8763044,-43.816552900000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",,Queijaria Bom Jardim (Ye Zhu ),https://www.google.com/maps/contrib/117788327961692742775,https://lh5.googleusercontent.com/p/AF1QipMMXAg5Zq2Y9sECa2E0fz8FGEHDVTTRBPSxPmiR=w426-h240-k-no,Zhi Shi Zhuan Mai Dian ,Zhi Shi Zhuan Mai Dian ,4.5,07:30-17:00,Open All Days,+55 21 2689-3074,"Queijaria Bom Jardim - Rod. Rio Santos, KM 48.9 - Mangaratiba, RJ, 23860-000Ba Xi ","Guo Jiang , Ka Pei , Xin Yong Qia , Shou Gong , Qian ",https://www.google.com/maps/place/Queijaria+Bom+Jardim/data=!4m7!3m6!1s0x9c1552f626be9f:0xfeef89077713db7f!8m2!3d-22.9533797!4d-44.0880637!16s%2Fg%2F11c538f5gr!19sChIJn74m9lIVnAARf9sTdweJ7_4?authuser=0&hl=zh-TW&rclk=1
ChIJg7--xywRnAARKD1I3R6M6Js,Emporio da Barreira,,False,432,"Name: Restaurante Casa Da Beth
link: https://www.google.com/maps/search/Restaurante+Casa+Da+Beth/@-22.981968100000003,-44.0523759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 568 reviews

Name: Restaurante Emporio do Sabor
link: https://www.google.com/maps/search/Restaurante+Emporio+do+Sabor/@-23.0309945,-44.1628715?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Sabor da Empada Mineira
link: https://www.google.com/maps/search/Sabor+da+Empada+Mineira/@-22.9287256,-44.031295799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: restaurante sabor da terra
link: https://www.google.com/maps/search/restaurante+sabor+da+terra/@-22.9338257,-44.0359903?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Emporio da Barreira (Ye Zhu ),https://www.google.com/maps/contrib/110146809099305884794,https://lh5.googleusercontent.com/p/AF1QipMRgNqGQKe57gsxIjIBLrMebao5xB6iCo_wk8Sh=w408-h293-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Shou Gong Yi Pin , Xing Shan Jing ",4.7,09:00-17:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si ",+55 21 99799-7736,"Emporio da Barreira - Estr. Sao Joao Marcos - Serra do Piloto, Mangaratiba - RJ, 23860-000Ba Xi ","Ka Pei , Zi Ran , Pu Bu , Li Shi , Jia Ting , Xiao Jing , Wu Can , Shou Gong , Shan Gu ",https://www.google.com/maps/place/Emp%C3%B3rio+da+Barreira/data=!4m7!3m6!1s0x9c112cc7bebf83:0x9be88c1edd483d28!8m2!3d-22.9015919!4d-44.0191883!16s%2Fg%2F11g1wbh1fb!19sChIJg7--xywRnAARKD1I3R6M6Js?authuser=0&hl=zh-TW&rclk=1
