place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJrfF5wmjcMjoR5IttPp82I3w,Udipi Hotel,,False,58,"Name: Sri Godavari Biryani Center
link: https://www.google.com/maps/search/Sri+Godavari+Biryani+Center/@18.645394,79.6679175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 300 reviews

Name: Manthani Family Restaurant
link: https://www.google.com/maps/search/Manthani+Family+Restaurant/@18.645302,79.667451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Mamatha Mess
link: https://www.google.com/maps/search/Mamatha+Mess/@18.6509654,79.6680659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Sri Rajarajeshwara Family restaurant
link: https://www.google.com/maps/search/Sri+Rajarajeshwara+Family+restaurant/@18.6454465,79.6657377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Sri Balaji Sweet House
link: https://www.google.com/maps/search/Sri+Balaji+Sweet+House/@18.6507872,79.66876529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Udipi Hotel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN3k8zGLfec1OCx2-QFhOPZ0JO9ZaTsN9-9JW3o=w408-h305-k-no,Can Ting ,"Can Ting , Su Shi Can Ting ",3.8,08:30-21:00,Open All Days,,"MM29+79M Udipi Hotel, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Udipi+Hotel/data=!4m7!3m6!1s0x3a32dc68c279f1ad:0x7c23369f3e6d8be4!8m2!3d18.6507002!4d79.668434!16s%2Fg%2F1hf41ykp_!19sChIJrfF5wmjcMjoR5IttPp82I3w?authuser=0&hl=zh-TW&rclk=1
ChIJownvOW_cMjoRx_upH8c3-jg,Apoorva Bakery,,False,4,"Name: Ruchi Bangalore AYANGAR Bakery
link: https://www.google.com/maps/search/Ruchi+Bangalore+AYANGAR+Bakery/@18.6501503,79.6682335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Padmavathi bakery
link: https://www.google.com/maps/search/Padmavathi+bakery/@18.651517200000004,79.6683572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Venkateshawara sweets House and Bekarey
link: https://www.google.com/maps/search/Venkateshawara+sweets+House+and+Bekarey/@18.6456625,79.6685114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: SRI SAI BAKERY
link: https://www.google.com/maps/search/SRI+SAI+BAKERY/@18.650929599999998,79.6689081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Bhavani Bakery & Cakes
link: https://www.google.com/maps/search/Bhavani+Bakery+%26+Cakes/@18.651262199999998,79.6683605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Apoorva Bakery (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E4D-5nNkNhrLzWULDKKIsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=55.717567&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.8,,Open All Days,,"MM28+8G8 Apoorva Bakery, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Apoorva+Bakery/data=!4m7!3m6!1s0x3a32dc6f39ef09a3:0x38fa37c71fa9fbc7!8m2!3d18.6507811!4d79.6663309!16s%2Fg%2F11d_d68lcd!19sChIJownvOW_cMjoRx_upH8c3-jg?authuser=0&hl=zh-TW&rclk=1
ChIJpYV8n_ndMjoRuI7h7J9laRw,Sri Vinayaka CHAI BAR,,False,3,"Name: KRISHNA BAR AND RESTAURANT
link: https://www.google.com/maps/search/KRISHNA+BAR+AND+RESTAURANT/@18.645716099999998,79.6673871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Amul Ice-cream Parlour
link: https://www.google.com/maps/search/Amul+Ice-cream+Parlour/@18.6497964,79.6663353?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Amul ice creams
link: https://www.google.com/maps/search/Amul+ice+creams/@18.6517688,79.66561659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Sri Vinayaka CHAI BAR (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNpFqfK5F0OXAlc3Izqk9mIHP5_p56sqMAnnCB9=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.3,,Open All Days,,"MM29+H88 Sri Vinayaka CHAI BAR, Manthani - Peddapalli Rd, opposite to Bustand OUT gate, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Sri+Vinayaka+CHAI+BAR/data=!4m7!3m6!1s0x3a32ddf99f7c85a5:0x1c69659fece18eb8!8m2!3d18.6514162!4d79.6683418!16s%2Fg%2F11rqjfg2xq!19sChIJpYV8n_ndMjoRuI7h7J9laRw?authuser=0&hl=zh-TW&rclk=1
ChIJ80rcaB_dMjoRBuhfO7AVpvE,Tea time manthani,,False,2,"Name: AZAM Tea&Tiffin center
link: https://www.google.com/maps/search/AZAM+Tea%26Tiffin+center/@18.651362499999998,79.66841649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Tea Time Cafe NTPC
link: https://www.google.com/maps/search/Tea+Time+Cafe+NTPC/@18.762631499999998,79.4724574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Tea Time - Chennur
link: https://www.google.com/maps/search/Tea+Time+-+Chennur/@18.853366400000002,79.7850881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Taaj Tea Stall&snackspoint
link: https://www.google.com/maps/search/Taaj+Tea+Stall%26snackspoint/@18.6102573,79.3748488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Tea time manthani (Ye Zhu ),https://www.google.com/maps/contrib/103818303822254947991,https://lh5.googleusercontent.com/p/AF1QipMhyye1l68gWhcAFLlZnw5qjqpYR-bqoTD3zYdx=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"Tea time manthani, Manthani - Peddapalli Rd, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Tea+time+manthani/data=!4m7!3m6!1s0x3a32dd1f68dc4af3:0xf1a615b03b5fe806!8m2!3d18.645511!4d79.6685465!16s%2Fg%2F11r9vvrnw2!19sChIJ80rcaB_dMjoRBuhfO7AVpvE?authuser=0&hl=zh-TW&rclk=1
ChIJ4QgB77vdMjoR1sqccKW4Io0,Amul ice creams,,False,1,"Name: Amul Ice-cream Parlour
link: https://www.google.com/maps/search/Amul+Ice-cream+Parlour/@18.6497964,79.6663353?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Amul Exclusive Store
link: https://www.google.com/maps/search/Amul+Exclusive+Store/@18.7494182,79.5107166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Amul ice cream parlour (Amul exclusive store)
link: https://www.google.com/maps/search/Amul+ice+cream+parlour+%28Amul+exclusive+store%29/@18.6862001,79.539824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Amul ice creams (Ye Zhu ),https://www.google.com/maps/contrib/109489732722276449729,https://lh5.googleusercontent.com/p/AF1QipM8xJyUylyJsTWbrotjUDuUFKuze8u3ZirclZbz=w408-h544-k-no,Xue Gao Dian ,Xue Gao Dian ,4,05:00-21:30,Open All Days,,"Amul ice creams, Penjeru Katta, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Amul+ice+creams/data=!4m7!3m6!1s0x3a32ddbbef0108e1:0x8d22b8a5709ccad6!8m2!3d18.6517688!4d79.6656166!16s%2Fg%2F11jk6cnvvy!19sChIJ4QgB77vdMjoR1sqccKW4Io0?authuser=0&hl=zh-TW&rclk=1
ChIJHS9XhL3dMjoRxCv0Li-gQIk,Sri Sai Tea stall,,False,1,,,Sri Sai Tea stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO_9fWMsS_bAlLONpGZj5yLAazJd1ghU6FL8Yq_=w426-h240-k-no,Cha Yi Guan ,Cha Yi Guan ,5,,Open All Days,,"MM29+8CR Sri Sai Tea stall, opp. Andra Bank, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Sri+Sai+Tea+stall/data=!4m7!3m6!1s0x3a32ddbd84572f1d:0x8940a02f2ef42bc4!8m2!3d18.6508686!4d79.6685087!16s%2Fg%2F11kqvs909y!19sChIJHS9XhL3dMjoRxCv0Li-gQIk?authuser=0&hl=zh-TW&rclk=1
ChIJraMmqivdMjoRCXY26EF6ctU,Sri manikanta bakery & tea,,False,,,,Sri manikanta bakery & tea (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cRXCGfsrVKNG9SsSjSMiGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=127.117096&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,,,Open All Days,,"MM29+96W Sri manikanta bakery & tea, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Sri+manikanta+bakery+%26+tea/data=!4m7!3m6!1s0x3a32dd2baa26a3ad:0xd5727a41e8367609!8m2!3d18.6509971!4d79.6680728!16s%2Fg%2F11l2thrhdk!19sChIJraMmqivdMjoRCXY26EF6ctU?authuser=0&hl=zh-TW&rclk=1
ChIJaQBajwzdMjoRk9NGFxyvoQc,AMMA TEA STALL,,False,,,,AMMA TEA STALL (Ye Zhu ),https://www.google.com/maps/contrib/114320233887011354025,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qzl0HcWl9dFzLydT7-5njA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.7184&pitch=0&thumbfov=100,Cha Xie Dian ,Cha Xie Dian ,,,Open All Days,+91 86889 71795,"AMMA TEA STALL, 1-35/2, opposite Manappuram Gold Loan, Chowrastha, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/AMMA+TEA+STALL/data=!4m7!3m6!1s0x3a32dd0c8f5a0069:0x7a1af1c1746d393!8m2!3d18.6507243!4d79.6677131!16s%2Fg%2F11kpqg37lf!19sChIJaQBajwzdMjoRk9NGFxyvoQc?authuser=0&hl=zh-TW&rclk=1
ChIJl_Qbm6DdMjoRV7FYQMUCQK8,Godavari Cafes,,False,,,,Godavari Cafes (Ye Zhu ),https://www.google.com/maps/contrib/117577424076857723880,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=obfmLKu1DAB8C0k8V4FXNg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.60596&pitch=0&thumbfov=100,Can Ting ,Can Ting ,,,Open All Days,+91 79810 21234,"Godavari Cafes, Near Iocl Petrol Pump, 1-23, Main Road, Manthani, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Godavari+Cafes/data=!4m7!3m6!1s0x3a32dda09b1bf497:0xaf4002c54058b157!8m2!3d18.6457427!4d79.667826!16s%2Fg%2F11l6r9pl1c!19sChIJl_Qbm6DdMjoRV7FYQMUCQK8?authuser=0&hl=zh-TW&rclk=1
ChIJCcJ5Hw3dMjoRoayoj80Pj-U,Venkatesh Fruits,,False,,"Name: Vegetable Market
link: https://www.google.com/maps/search/Vegetable+Market/@18.6498994,79.667655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Srinivas Fruit Merchant
link: https://www.google.com/maps/search/Srinivas+Fruit+Merchant/@18.6496516,79.66810269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Venkatesh Fruits (Ye Zhu ),https://www.google.com/maps/contrib/112330967283046402105,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p1ChGjrbIkcgEnIkraNGaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=266.26053&pitch=0&thumbfov=100,Shang Dian ,Shang Dian ,,,Open All Days,+91 90101 22087,"Venkatesh Fruits, Shop No 4 Manthani Peddapalli, Telangana 505184Yin Du ",,https://www.google.com/maps/place/Venkatesh+Fruits/data=!4m7!3m6!1s0x3a32dd0d1f79c209:0xe58f0fcd8fa8aca1!8m2!3d18.6496619!4d79.6679446!16s%2Fg%2F11pkfmx6ql!19sChIJCcJ5Hw3dMjoRoayoj80Pj-U?authuser=0&hl=zh-TW&rclk=1
