place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlbdu-cHAyRIRE1RZ5SOEr60,Le Panier Marseillais,"Ma Sai Li Shi You Jiu De Qu Yu ,You E Luan Shi Jie Dao , Bin Fen Duo Cai De Jian Zhu He Shou Gong Yi Pin Dian . ",False,3861,"Name: Au Coeur du Panier
link: https://www.google.com/maps/search/Au+Coeur+du+Panier/@43.2993726,5.3684123999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 820 reviews

Name: Le Vieux Panier
link: https://www.google.com/maps/search/Le+Vieux+Panier/@43.297444899999995,5.3654166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 502 reviews

Name: DAYO - Restaurant Panier Marseille
link: https://www.google.com/maps/search/DAYO+-+Restaurant+Panier+Marseille/@43.296946299999995,5.3672604999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews

Name: Quartier du panier
link: https://www.google.com/maps/search/Quartier+du+panier/@43.299913,5.3680905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews",https://www.lepanierdemarseille.com/,Le Panier Marseillais (Ye Zhu ),https://www.google.com/maps/contrib/118371999350515075954,https://lh5.googleusercontent.com/p/AF1QipMqTODivUExAiMWTA766tH6TJuswo1-yF34x5-2=w408-h272-k-no,Lu You Jing Dian ,"Lu You Jing Dian , Li Pin Dian , Li Shi Di Biao , Shi Chang , Can Ting , Gou Wu Zhong Xin , Shang Dian ",4.5,24 Xiao Shi Ying Ye ,Open All Days,,"Le Panier Marseillais, 1A Rue du Petit Puits, 13002 Marseille, Fa Guo ","Zou Lang , Ru Hua , Bi Hua ",https://www.google.com/maps/place/Le+Panier+Marseillais/data=!4m7!3m6!1s0x12c9c0c1f96eb795:0xadaf8423e5595413!8m2!3d43.2999791!4d5.3686834!16s%2Fg%2F11bzzw25my!19sChIJlbdu-cHAyRIRE1RZ5SOEr60?authuser=0&hl=zh-TW&rclk=1
ChIJ1xLhzrjAyRIRJltMg_vl-JE,Amorino,,False,2159,"Name: Glacier Vanille Noire
link: https://www.google.com/maps/search/Glacier+Vanille+Noire/@43.297014999999995,5.3686023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1386 reviews

Name: Glacier Marina
link: https://www.google.com/maps/search/Glacier+Marina/@43.296552600000005,5.372897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 482 reviews

Name: The Marseiller
link: https://www.google.com/maps/search/The+Marseiller/@43.2963965,5.3709476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 356 reviews

Name: Glacier Gelati Amore Canebiere
link: https://www.google.com/maps/search/Glacier+Gelati+Amore+Canebiere/@43.2957858,5.376375400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Glacier Maison Marcel
link: https://www.google.com/maps/search/Glacier+Maison+Marcel/@43.2940597,5.3743717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews",https://www.amorino.com/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,Amorino (Ye Zhu ),https://www.google.com/maps/contrib/106300289512266565180,https://lh5.googleusercontent.com/p/AF1QipMP4gv8HaHskf4ZIPAIl6iq1-jKvIZdd8rIWu1I=w408-h324-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting , Qiao Ke Li Ka Pei Guan , Zhu Gu Li Dian , Fa Shi Bo Bing Can Ting , Tian Pin Can Ting , Tian Pin Dian , Bing Pin Gong Ying Shang , Cha Yi Guan ",4,09:30-22:00,Open All Days,+33 4 88 86 75 21,"Amorino, 29 Quai des Belges, 13001 Marseille, Fa Guo ","Xiang Shui , Ke Ke , Hua , Ma Qia Long , Ce Suo , Zhen Guo , Jiu Ceng Ta ",https://www.google.com/maps/place/Amorino/data=!4m7!3m6!1s0x12c9c0b8cee112d7:0x91f8e5fb834c5b26!8m2!3d43.294686!4d5.374795!16s%2Fg%2F11b5pjknl8!19sChIJ1xLhzrjAyRIRJltMg_vl-JE?authuser=0&hl=zh-TW&rclk=1
ChIJZwfPXb_AyRIRnl0zHlFxtxM,La Samaritaine,,False,2143,"Name: Brasserie l'OM Cafe - Officiel
link: https://www.google.com/maps/search/Brasserie+l%27OM+Caf%C3%A9+-+Officiel/@43.2949726,5.3746991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3388 reviews

Name: Paulette - Restaurant Vieux Port
link: https://www.google.com/maps/search/Paulette+-+Restaurant+Vieux+Port/@43.2958333,5.3666667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1346 reviews

Name: Le Soleil
link: https://www.google.com/maps/search/Le+Soleil/@43.2948492,5.3747576?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1102 reviews

Name: Le New Terrasse
link: https://www.google.com/maps/search/Le+New+Terrasse/@43.296341399999996,5.370497299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Bar Le Quai du 7eme
link: https://www.google.com/maps/search/Bar+Le+Quai+du+7%C3%A8me/@43.2923422,5.3672743999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 268 reviews",http://www.la-samaritaine-marseille.fr/,La Samaritaine (Ye Zhu ),https://www.google.com/maps/contrib/101752295714109290984,https://lh5.googleusercontent.com/p/AF1QipOIh2KLX7L8JgNq7BRg7VPXe8QCm8xjVcR9dsX1=w426-h240-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Shao Kao Can Ting , Ka Pei Ting ",3.4,08:30-20:30,Xing Qi Yi ,+33 4 91 90 31 41,"La Samaritaine, 2 Quai du Port, 13002 Marseille, Fa Guo ","Shi Jue , Lu You , Gang Kou , Ke Song , Ou Mu Dan , Shen Hua , Fan Gan ",https://www.google.com/maps/place/La+Samaritaine/data=!4m7!3m6!1s0x12c9c0bf5dcf0767:0x13b771511e335d9e!8m2!3d43.2963358!4d5.3738151!16s%2Fg%2F1thjqp6j!19sChIJZwfPXb_AyRIRnl0zHlFxtxM?authuser=0&hl=zh-TW&rclk=1
ChIJOeKef8DAyRIRvirwrhNP6iQ,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1889,"Name: 7VB Cafe
link: https://www.google.com/maps/search/7VB+Caf%C3%A9/@43.297139300000005,5.3688630999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: BAGELSTEIN * Bagels & Coffee shop
link: https://www.google.com/maps/search/BAGELSTEIN+%E2%80%A2+Bagels+%26+Coffee+shop/@43.296997499999996,5.373238799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews

Name: Cafe des Arts
link: https://www.google.com/maps/search/Caf%C3%A9+des+Arts/@43.292528999999995,5.367731?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: MAISON FLORENT
link: https://www.google.com/maps/search/MAISON+FLORENT/@43.301423199999995,5.3696589?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/117771318421469450485,https://lh5.googleusercontent.com/p/AF1QipM7IBUEZX3DZK-BaUj2fOBeweE8usUJ0TjJjpm7=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Zao Wu Can Can Ting , Zi Zhu Can Ting , Xi Bing Dian , Ka Pei Dian , Sha Lu Dian , San Wen Zhi Dian , Cha Xie Dian , Wi-Fi Re Dian ",3.9,08:00-19:30,Open All Days,+33 4 91 90 74 86,"Starbucks, 17 Rue de la Republique, 13002 Marseille, Fa Guo ","Ce Suo , Leng Qi , Bing Kuai , Lu You , Shui , Ma Ke Bei , Xing Bing Le , Dian Nao ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x12c9c0c07f9ee239:0x24ea4f13aef02abe!8m2!3d43.297684!4d5.3727181!16s%2Fg%2F1vntxrd8!19sChIJOeKef8DAyRIRvirwrhNP6iQ?authuser=0&hl=zh-TW&rclk=1
ChIJI8qmv8DAyRIRsQUw3Q6LKK0,La Caravelle,,False,1699,"Name: The Shamrock
link: https://www.google.com/maps/search/The+Shamrock/@43.292983899999996,5.3704731?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2801 reviews

Name: La cigale vieux port
link: https://www.google.com/maps/search/La+cigale+vieux+port/@43.296095799999996,5.3686605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1449 reviews

Name: Le BocaL
link: https://www.google.com/maps/search/Le+BocaL/@43.2963823,5.3708446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 479 reviews

Name: Cafe Beau Rivage
link: https://www.google.com/maps/search/Caf%C3%A9+Beau+Rivage/@43.2930582,5.3708925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Le Bar Des Pecheurs
link: https://www.google.com/maps/search/Le+Bar+Des+P%C3%AAcheurs/@43.292224999999995,5.3667244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews",http://www.lacaravelle-marseille.com/,La Caravelle (Ye Zhu ),https://www.google.com/maps/contrib/111887578608817688905,https://lh5.googleusercontent.com/p/AF1QipMbXLc_0OGkbUACw8ekndRSNYKT7jRo99wnlBs=w408-h426-k-no,Jiu Ba ,"Jiu Ba , Pi Jiu Niang Zhi Chang , Ka Pei Ting , Fa Guo Can Ting , Xian Chang Yin Le Jiu Ba , Jiu Ba Ya Zuo , Xi Ban Ya Xiao Shi Can Ting ",4.3,07:00-02:00,Open All Days,+33 4 91 90 36 64,"La Caravelle, 34 Quai du Port, 13002 Marseille, Fa Guo ","Shi Jue , Yang Tai , Jue Shi Le , Lou Ceng , Xi Yang , Gang Qin ",https://www.google.com/maps/place/La+Caravelle/data=!4m7!3m6!1s0x12c9c0c0bfa6ca23:0xad288b0edd3005b1!8m2!3d43.2965064!4d5.372001!16s%2Fm%2F011l1thd!19sChIJI8qmv8DAyRIRsQUw3Q6LKK0?authuser=0&hl=zh-TW&rclk=1
ChIJV62tisXAyRIRZB4YANn1h80,Le Four des Navettes,,False,1690,"Name: Boulangerie Aixoise
link: https://www.google.com/maps/search/Boulangerie+Aixoise/@43.293104799999995,5.3765686?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Les Navettes des Accoules
link: https://www.google.com/maps/search/Les+Navettes+des+Accoules/@43.297117400000005,5.3662593?authuser=0&hl=zh-TW&entry=ttu
Reviews: 440 reviews

Name: La Pepite
link: https://www.google.com/maps/search/La+P%C3%A9pite/@43.2909693,5.3672528999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: La paline
link: https://www.google.com/maps/search/La+paline/@43.291596399999996,5.371946299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Four des Navettes - Les Docks
link: https://www.google.com/maps/search/Four+des+Navettes+-+Les+Docks/@43.3060148,5.3659031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",http://www.fourdesnavettes.com/,Le Four des Navettes (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMzXGIEViyJUfSDyIKZc-YRs-esxYo3NJ2I9qdo=w408-h511-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4,08:00-19:00,Open All Days,+33 4 91 33 32 12,"Le Four des Navettes, 136 Rue Sainte, 13007 Marseille, Fa Guo ",Hua Xue ,https://www.google.com/maps/place/Le+Four+des+Navettes/data=!4m7!3m6!1s0x12c9c0c58aadad57:0xcd87f5d900181e64!8m2!3d43.2907623!4d5.3664386!16s%2Fg%2F121dvgyp!19sChIJV62tisXAyRIRZB4YANn1h80?authuser=0&hl=zh-TW&rclk=1
ChIJn22bD8fAyRIRFxvh7MiK40Q,Exit Cafe,,False,1516,"Name: Bar de la Marine
link: https://www.google.com/maps/search/Bar+de+la+Marine/@43.2930273,5.370744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1512 reviews

Name: 7VB Cafe
link: https://www.google.com/maps/search/7VB+Caf%C3%A9/@43.297139300000005,5.3688630999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: Le Bar Des Pecheurs
link: https://www.google.com/maps/search/Le+Bar+Des+P%C3%AAcheurs/@43.292224999999995,5.3667244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews",https://www.facebook.com/LexitCafe/%3Flocale%3Dfr_FR,Exit Cafe (Ye Zhu ),https://www.google.com/maps/contrib/116398511602879849656,https://lh5.googleusercontent.com/p/AF1QipNCL8w_9I6DzhPIHhfNcDZqdoonf9fZH4dYho98=w533-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",3.8,09:00-02:00,Open All Days,+33 6 42 59 96 24,"Exit Cafe, 12 Quai de Rive Neuve, 13007 Marseille, Fa Guo ","happy hour, Diao Jiu , Shu Tiao , mojito, Hua Sheng , Bao Mi Hua ",https://www.google.com/maps/place/Exit+Caf%C3%A9/data=!4m7!3m6!1s0x12c9c0c70f9b6d9f:0x44e38ac8ece11b17!8m2!3d43.293116!4d5.371112!16s%2Fg%2F1w0r1__n!19sChIJn22bD8fAyRIRFxvh7MiK40Q?authuser=0&hl=zh-TW&rclk=1
ChIJPTeuALrAyRIRW0SiJnK4xow,Le Cafe de la Banque,,False,1223,"Name: Brasserie l'OM Cafe - Officiel
link: https://www.google.com/maps/search/Brasserie+l%27OM+Caf%C3%A9+-+Officiel/@43.2949726,5.3746991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3388 reviews

Name: Brasserie Paulaner
link: https://www.google.com/maps/search/Brasserie+Paulaner/@43.285102099999996,5.3837852999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1281 reviews

Name: Grand Bar Pierre
link: https://www.google.com/maps/search/Grand+Bar+Pierre/@43.290871599999996,5.3794089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Ezio Restaurant
link: https://www.google.com/maps/search/Ezio+Restaurant/@43.29102770000001,5.379223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews",https://www.lecafedelabanque.fr/,Le Cafe de la Banque (Ye Zhu ),https://www.google.com/maps/contrib/103663704377874631586,https://lh5.googleusercontent.com/p/AF1QipNFBpq6VCg7hRXNr2BtAB8iY51Hfdy9fBwSZu2E=w426-h240-k-no,Pi Jiu Niang Zhi Chang ,"Pi Jiu Niang Zhi Chang , Jiu Ba , Xiao Can Guan  (Bistro), Jiu Chang Jiu Ba , Ka Pei Dian , Can Ting ",4.3,07:00-21:45,Xing Qi Ri ,+33 4 91 33 35 07,"Le Cafe de la Banque, 24 Bd Paul Peytral, 13006 Marseille, Fa Guo ","Zao Can , Liao Li , Can Jiu Guan , Xiang Kuang , Yi Dao Cai ",https://www.google.com/maps/place/Le+Caf%C3%A9+de+la+Banque/data=!4m7!3m6!1s0x12c9c0ba00ae373d:0x8cc6b87226a2445b!8m2!3d43.290251!4d5.3786697!16s%2Fg%2F1tcz00c3!19sChIJPTeuALrAyRIRW0SiJnK4xow?authuser=0&hl=zh-TW&rclk=1
ChIJeSc5sMPAyRIRLmJXbd_lKc0,Le Glacier du Roi,,False,1072,"Name: Gelateria Major
link: https://www.google.com/maps/search/Gelateria+Major/@43.298515099999996,5.3640459?authuser=0&hl=zh-TW&entry=ttu
Reviews: 814 reviews

Name: Glacier Marina
link: https://www.google.com/maps/search/Glacier+Marina/@43.296552600000005,5.372897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 482 reviews

Name: Le Glacier de la Corniche
link: https://www.google.com/maps/search/Le+Glacier+de+la+Corniche/@43.2756395,5.3597294?authuser=0&hl=zh-TW&entry=ttu
Reviews: 385 reviews

Name: The Marseiller
link: https://www.google.com/maps/search/The+Marseiller/@43.2963965,5.3709476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 356 reviews

Name: Cafe EMKIPOP @Marseille
link: https://www.google.com/maps/search/Caf%C3%A9+EMKIPOP+%40Marseille/@43.2835251,5.374931999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 279 reviews",https://www.leglacierduroi.com/,Le Glacier du Roi (Ye Zhu ),https://www.google.com/maps/contrib/115442774059906023113,https://lh5.googleusercontent.com/p/AF1QipMrjcMoHobS0PEHe8fgWbEyUaDGzXay2uZwy_HS=w426-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Shou Gong Yi Pin , Cha Yi Guan ",4.2,10:00-17:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si ",+33 4 91 91 01 16,"Le Glacier du Roi, 4 Pl. de Lenche, 13002 Marseille, Fa Guo ","Xiang Shui , Bing Sha , Shou Gong , Lan , Jin Rong Qia ",https://www.google.com/maps/place/Le+Glacier+du+Roi/data=!4m7!3m6!1s0x12c9c0c3b0392779:0xcd29e5df6d57622e!8m2!3d43.297437!4d5.3659375!16s%2Fg%2F1td80r_h!19sChIJeSc5sMPAyRIRLmJXbd_lKc0?authuser=0&hl=zh-TW&rclk=1
ChIJ20XjN7rAyRIRVa53VNblRag,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1047,"Name: Deep
link: https://www.google.com/maps/search/Deep/@43.293499,5.3751768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 642 reviews

Name: 7VB Cafe
link: https://www.google.com/maps/search/7VB+Caf%C3%A9/@43.297139300000005,5.3688630999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: Black Bird Coffee
link: https://www.google.com/maps/search/Black+Bird+Coffee/@43.2931046,5.3830024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 538 reviews

Name: Bernie Coffee
link: https://www.google.com/maps/search/Bernie+Coffee/@43.2914616,5.381054600000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: Monop' MONTGRAND MARSEILLE
link: https://www.google.com/maps/search/Monop%27+MONTGRAND+MARSEILLE/@43.291654699999995,5.3781069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/112406838887353772444,https://lh5.googleusercontent.com/p/AF1QipNoLNLV-FsK3lwMM7CovDpmVsrJevpBVMqf8C-1=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Zao Wu Can Can Ting , Zi Zhu Can Ting , Xi Bing Dian , Ka Pei Dian , Sha Lu Dian , San Wen Zhi Dian , Cha Xie Dian , Wi-Fi Re Dian ",4,08:00-19:30,Open All Days,+33 4 91 35 65 09,"Starbucks, 12 Rue Montgrand, 13006 Marseille, Fa Guo ","Lou Ceng , Wu Ding , Nai , Ce Suo , Ge Zi , Xiang Kuang , Xing Bing Le ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x12c9c0ba37e345db:0xa845e5d65477ae55!8m2!3d43.2919!4d5.37956!16s%2Fg%2F12hrqxl9b!19sChIJ20XjN7rAyRIRVa53VNblRag?authuser=0&hl=zh-TW&rclk=1
