place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2dU1bogBBDQRHM_0z6YSDco,Xin Cui Shang Chang ,"Ming Liang De Xian Dai Hua Gou Wu Zhong Xin ,Cong Shi Zhuang Dian Dao Dian Zi Chan Pin Dian Ying You Jin You ,Ling Fu She Can Ting He Su Shi Dian . ",False,1740,"Name: Huan Cui Shang Chang 
link: https://www.google.com/maps/search/%E7%92%B0%E7%BF%A0%E5%95%86%E5%A0%B4/@22.2627788,114.2376661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1016 reviews

Name: Xin Hong Ji Zhong Xin Shang Chang 
link: https://www.google.com/maps/search/%E6%96%B0%E9%B4%BB%E5%9F%BA%E4%B8%AD%E5%BF%83%E5%95%86%E5%A0%B4/@22.280391599999998,114.1769259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1009 reviews

Name: Long Yue Hai Xian Jiu Jia  Chai Wan 
link: https://www.google.com/maps/search/%E9%BE%8D%E6%82%85%E6%B5%B7%E9%AE%AE%E9%85%92%E5%AE%B6+%E6%9F%B4%E7%81%A3/@22.2641219,114.23737009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 594 reviews

Name: Xin Cui Hua Yuan 
link: https://www.google.com/maps/search/%E6%96%B0%E7%BF%A0%E8%8A%B1%E5%9C%92/@22.264079,114.23729399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Cui Wan Shang Chang 
link: https://www.google.com/maps/search/%E7%BF%A0%E7%81%A3%E5%95%86%E5%A0%B4/@22.2679673,114.24046609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://www.newjadeshoppingarcade.hk/en/contact.php,Xin Cui Shang Chang  (Ye Zhu ),https://www.google.com/maps/contrib/103163672975683759191,https://lh5.googleusercontent.com/p/AF1QipMsblyMUVq97vqnJMCqswhcXeUA1TOh2Fy5p1H0=w408-h305-k-no,Gou Wu Zhong Xin ,Gou Wu Zhong Xin ,3.4,06:00-00:00,Open All Days,2897 8929,Chai Wan Chai Wan Dao 233Hao Xin Cui Shang Chang ,"Di Tie Zhan , Jiao Tong , Yin Shi , Lian Suo Dian , Kuai Can Dian , Bian Li , Ren Liu , Dian Xin , Zhuang Xiu , Huan Jing ",https://www.google.com/maps/place/%E6%96%B0%E7%BF%A0%E5%95%86%E5%A0%B4/data=!4m7!3m6!1s0x340401886e35d5d9:0xca0d12a6cff4cf1c!8m2!3d22.2639913!4d114.2370739!16s%2Fg%2F155snrs0!19sChIJ2dU1bogBBDQRHM_0z6YSDco?authuser=0&hl=zh-TW&rclk=1
ChIJAQAhpH4ABDQRJ9C5gcbz0II,Ban Lu Ka Pei ,,False,682,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Common Ground
link: https://www.google.com/maps/search/Common+Ground/@22.2831659,114.15079709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 227 reviews

Name: Detour
link: https://www.google.com/maps/search/Detour/@22.2866195,114.1427858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://instagram.com/halfwaycoffee,Ban Lu Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/103648958868667790196,https://lh5.googleusercontent.com/p/AF1QipMBXmUE1JyXgyHHOoWLieiSURCVMQ8NiVrlz_Xb=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-18:00,Open All Days,2606 1160,Shang Huan Mo Luo Shang Jie 26Hao Ban Lu Ka Pei ,"flat white, Gu Dong , Ci , Fu Gu , Long Yan , Jia Ju , Ning Meng Ta , Suan Zhong , Cha Bei ",https://www.google.com/maps/place/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3404007ea4210001:0x82d0f3c681b9d027!8m2!3d22.2847563!4d114.1497161!16s%2Fg%2F11dfv58r80!19sChIJAQAhpH4ABDQRJ9C5gcbz0II?authuser=0&hl=zh-TW&rclk=1
ChIJfdx7V3sABDQRHjmdnP_R_MU,Africa Coffee & Tea,,False,323,"Name: Bread & Bistro
link: https://www.google.com/maps/search/Bread+%26+Bistro/@22.2487671,114.1693025?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Maison Kayser - Wong Chuk Hang
link: https://www.google.com/maps/search/Maison+Kayser+-+Wong+Chuk+Hang/@22.248341699999997,114.1678104?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Tan Bei Cha 
link: https://www.google.com/maps/search/%E5%98%86%E6%9D%AF%E8%8C%B6/@22.3438838,114.1987023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Cafe Deco Group
link: https://www.google.com/maps/search/Cafe+Deco+Group/@22.2492646,114.1671379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.africacoffeeandtea.com/,Africa Coffee & Tea (Ye Zhu ),https://www.google.com/maps/contrib/101178680119845659872,https://lh5.googleusercontent.com/p/AF1QipMGKFwH_B3GuJPpXxiZVsz4ckbXViQM7dmLymUr=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,10:00-18:00,Open All Days,2180 7536,"Suite 1501, Africa Coffee & Tea, 15/F, 41 Heung Yip Rd, Wong Chuk Hang","Ji Rou , Hui , Ka Li , Dou , Wen Hua , Ban Gong Shi , Yang Rou ",https://www.google.com/maps/place/Africa+Coffee+%26+Tea/data=!4m7!3m6!1s0x3404007b577bdc7d:0xc5fcd1ff9c9d391e!8m2!3d22.2477533!4d114.1627187!16s%2Fg%2F11cmqhmdz_!19sChIJfdx7V3sABDQRHjmdnP_R_MU?authuser=0&hl=zh-TW&rclk=1
ChIJE6Of0YwBBDQRL1dqfjfy_B4,ARTISTA PERFETTO,,False,272,"Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.2783309,114.1820944?authuser=0&hl=zh-TW&entry=ttu
Reviews: 551 reviews

Name: Caflex by the coffeeology
link: https://www.google.com/maps/search/Caflex+by+the+coffeeology/@22.277604,114.182445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Beyond Coffee & Bar
link: https://www.google.com/maps/search/Beyond+Coffee+%26+Bar/@22.2776316,114.1819511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews",https://artistaperfetto.com/,ARTISTA PERFETTO (Ye Zhu ),https://www.google.com/maps/contrib/114558239142072594581,https://lh5.googleusercontent.com/p/AF1QipNXjag0OlsFXl-_SFQL41xrFBZtXDr2jbnTpMdz=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-19:00,Open All Days,,Tong Luo Wan Sha Xi Jie 3aHao ARTISTA PERFETTO,"Nai , Ka Pei Shi , Kou Wei , espresso, flat white, Huan Jing , Dou , She Ji , Mo Cha , Xuan Ze ",https://www.google.com/maps/place/ARTISTA+PERFETTO/data=!4m7!3m6!1s0x3404018cd19fa313:0x1efcf2377e6a572f!8m2!3d22.2776704!4d114.180279!16s%2Fg%2F11fckvvcb3!19sChIJE6Of0YwBBDQRL1dqfjfy_B4?authuser=0&hl=zh-TW&rclk=1
ChIJrW2sJ475AzQRzfoc_Awab4Q,KOKO Coffee Roasters,,False,189,"Name: HIKARI Coffee
link: https://www.google.com/maps/search/HIKARI+Coffee/@22.371743499999997,114.11083909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: Cozy Coffee
link: https://www.google.com/maps/search/Cozy+Coffee/@22.3750707,114.1101695?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Labels Cafe + Bar
link: https://www.google.com/maps/search/Labels+Cafe+%2B+Bar/@22.3750707,114.1101695?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: KoBaNe
link: https://www.google.com/maps/search/KoBaNe/@22.3750826,114.11024139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.kokoroaster.com/,KOKO Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/109955686490172774071,https://lh5.googleusercontent.com/p/AF1QipNNQ-OaDzFIkEui0NcbZtuox4R85mCy661gTB0=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,09:30-21:00,Open All Days,2499 7255,Quan Wan Bai Tian Ba Jie 45Hao Nan Feng Sha Chang Liu Chang KOKO Coffee RoastersG09,"flat white, Yi Fen , Gu , Niu You Guo , Suan , Suan , Ban Ni Di Ke Dan , Zhuang Xiu , Kao , Qi Si Bao ",https://www.google.com/maps/place/KOKO+Coffee+Roasters/data=!4m7!3m6!1s0x3403f98e27ac6dad:0x846f1a0cfc1cfacd!8m2!3d22.3750707!4d114.1101695!16s%2Fg%2F11gy1tn145!19sChIJrW2sJ475AzQRzfoc_Awab4Q?authuser=0&hl=zh-TW&rclk=1
ChIJIcmOBTr5AzQRJjXT8IPTHq4,Tai Yang Xi Wei Yuan Hui ,,False,97,"Name: Re Sha Ka Pei 
link: https://www.google.com/maps/search/%E7%86%B1%E6%B2%99%E5%92%96%E5%95%A1/@22.3532852,114.0593699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Tai Wu 
link: https://www.google.com/maps/search/%E6%B3%B0%E5%B1%8B/@22.3519525,114.05825850000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Little Mario's Pizzeria Ma Wan
link: https://www.google.com/maps/search/Little+Mario%27s+Pizzeria+Ma+Wan/@22.349946,114.06128439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: La Rosabelle Bar & Grill
link: https://www.google.com/maps/search/La+Rosabelle+Bar+%26+Grill/@22.3500026,114.0613018?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Bistro Food Journey
link: https://www.google.com/maps/search/Bistro+Food+Journey/@22.352286,114.05881099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",http://solcommittee.com/,Tai Yang Xi Wei Yuan Hui  (Ye Zhu ),https://www.google.com/maps/contrib/105586941464155029662,https://lh5.googleusercontent.com/p/AF1QipONvY6LEx1GHR5XxAsyu13NiBDxxtqKC0Y5sG3j=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.8,11:00-18:00,Open All Days,9832 5638,"Tai Yang Xi Wei Yuan Hui  Shop 1A, Level 2, Beach Comm. Complex Park Island, Ma Wan","cafe, Jia Qian , Hai Tan , Yi Fen , Ming Tai Zi , Bei , Dan Gao , Chong Wu , Shu Fu ",https://www.google.com/maps/place/%E5%A4%AA%E9%99%BD%E7%B3%BB%E5%A7%94%E5%93%A1%E6%9C%83/data=!4m7!3m6!1s0x3403f93a058ec921:0xae1ed383f0d33526!8m2!3d22.3498835!4d114.0613041!16s%2Fg%2F11n13cckfv!19sChIJIcmOBTr5AzQRJjXT8IPTHq4?authuser=0&hl=zh-TW&rclk=1
ChIJn3PBl0Lhvi0RMRaDCC4rXng,Lotus Cafe Mawang,,False,90,"Name: MOKULA COFFEE
link: https://www.google.com/maps/search/MOKULA+COFFEE/@-5.2025915,119.49768479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: The Coff Cafe
link: https://www.google.com/maps/search/The+Coff+Cafe/@-5.202827699999999,119.4525481?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Mutiara Cafee
link: https://www.google.com/maps/search/Mutiara+Cafee/@-5.190372099999999,119.44864170000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://lotuscafemawang.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Lotus Cafe Mawang (Ye Zhu ),https://www.google.com/maps/contrib/107240232042738127983,https://lh5.googleusercontent.com/p/AF1QipMVtws_qYpIrESU50v-D4piJY9uv1axQ620IQO1=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.2,10:00-23:00,Open All Days,,"Lotus Cafe Mawang, Jl. Malino No.345, Buttadidi, Mawang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92119Yin Ni ",,https://www.google.com/maps/place/Lotus+Cafe+Mawang/data=!4m7!3m6!1s0x2dbee14297c1739f:0x785e2b2e08831631!8m2!3d-5.2228173!4d119.4880897!16s%2Fg%2F11cm27tct1!19sChIJn3PBl0Lhvi0RMRaDCC4rXng?authuser=0&hl=zh-TW&rclk=1
ChIJk5e96RoBBDQRnAB1rvimPvI,YAMA COFFEE,,False,45,"Name: A CUP THING.
link: https://www.google.com/maps/search/A+CUP+THING./@22.307654199999998,114.16623380000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Syphon coffee
link: https://www.google.com/maps/search/Syphon+coffee/@22.3102983,114.17051989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Japanmama
link: https://www.google.com/maps/search/Japanmama/@22.328125,114.190642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/yama.hk/,YAMA COFFEE (Ye Zhu ),https://www.google.com/maps/contrib/108914156244850202257,https://lh5.googleusercontent.com/p/AF1QipPvTFjefiexvVAnAKPie3z_HxuZ7QNfeQ8Fg7lC=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Jing Pin Dian , Xiao Shi /Ling Shi Ba ",4.8,11:00-17:45,"Xing Qi Yi , Xing Qi San ",,You Ma Di Bi Jie 15CHao YAMA COFFEE,"Nai , Dian Zhu , Bei ",https://www.google.com/maps/place/YAMA+COFFEE/data=!4m7!3m6!1s0x3404011ae9bd9793:0xf23ea6f8ae75009c!8m2!3d22.3135121!4d114.1679387!16s%2Fg%2F11q24cht92!19sChIJk5e96RoBBDQRnAB1rvimPvI?authuser=0&hl=zh-TW&rclk=1
ChIJx0YIfcwBBDQRhMr-VcqQzTU,Sheng Chang Bei Dou ,,False,39,"Name: Top Life Cafe
link: https://www.google.com/maps/search/Top+Life+Cafe/@22.3217461,114.1905049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Dou Dou Bing Dian 
link: https://www.google.com/maps/search/%E8%B1%86%E8%B1%86%E9%A4%85%E5%BA%97/@22.3108818,114.1877425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules
link: https://www.google.com/maps/search/Boncaf%C3%A9+%28Hong+Kong%29+Limited+%7C+Coffee+Machine+Purchase+%2F+Rental+%7C+Coffee+Beans+%26+Capsules/@22.3227562,114.2077498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: The Coffee Gallery Ka Pei Jia Le 
link: https://www.google.com/maps/search/The+Coffee+Gallery+%E5%92%96%E5%95%A1%E5%AE%B6%E6%A8%82/@22.323850999999998,114.210443?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.sangroastery.com/,Sheng Chang Bei Dou  (Ye Zhu ),https://www.google.com/maps/contrib/103380471074727138055,https://lh5.googleusercontent.com/p/AF1QipMad2-NcbmVeRcj5A-KmCeETKNpxyXiHHvOlssa=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4.8,10:00-18:30,Open All Days,9350 1540,Ma Tou Jiao Tu Gua Wan Dao 114Hao Sheng Chang Bei Dou ,"Fu Gu , Gan Shou , She Ji , Bei ",https://www.google.com/maps/place/%E7%94%9F%E6%98%8C%E7%84%99%E8%B1%86/data=!4m7!3m6!1s0x340401cc7d0846c7:0x35cd90ca55feca84!8m2!3d22.3204627!4d114.1934739!16s%2Fg%2F11s57kk5rt!19sChIJx0YIfcwBBDQRhMr-VcqQzTU?authuser=0&hl=zh-TW&rclk=1
ChIJwcca28QHBDQRiqdz87-TJ_E,SOL Mate Club,,False,34,"Name: Qin Xing Cha Can Shi 
link: https://www.google.com/maps/search/%E5%8B%A4%E8%88%88%E8%8C%B6%E9%A4%90%E5%AE%A4/@22.338525699999998,114.1576585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Sheng Ye San Song Fan 
link: https://www.google.com/maps/search/%E9%99%9E%E7%88%BA%E4%B8%89%E9%A4%B8%E9%A3%AF/@22.329525,114.1595364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Lao Di Fang Guo Zhi  (Di Er Fen Dian )
link: https://www.google.com/maps/search/%E8%80%81%E5%9C%B0%E6%96%B9%E6%9E%9C%E6%B1%81+%28%E7%AC%AC%E4%BA%8C%E5%88%86%E5%BA%97%29/@22.3317347,114.1612724?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Feng Wei Shi Cai Dian  - Sha Lu Cai  FungMei Salad Vegetables
link: https://www.google.com/maps/search/%E8%B1%90%E5%91%B3%E9%A3%9F%E6%9D%90%E5%BA%97+-+%E6%B2%99%E5%BE%8B%E8%8F%9C+FungMei+Salad+Vegetables/@22.3383482,114.1581082?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Oscare
link: https://www.google.com/maps/search/Oscare/@22.3276103,114.1590306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/solmateclub,SOL Mate Club (Ye Zhu ),https://www.google.com/maps/contrib/100305324794616575081,https://lh5.googleusercontent.com/p/AF1QipPf0aQXNRZHrj_-UUVtvSGYljjJ5FOeR-Hmes6j=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Han Bao Can Ting ",5,11:00-21:00,Open All Days,9856 6742,Chang Sha Wan Bao An Dao 55Hao Mei Zhu Zhong Xin CZuo SOL Mate ClubDi Xia C1Hao Pu ,"taco, Lan Qiu , cafe, Yu Zi Shao , Ming Tai Zi , Qiang , Xiao Shi , mojito, Xia , Ye Zi ",https://www.google.com/maps/place/SOL+Mate+Club/data=!4m7!3m6!1s0x340407c4db1ac7c1:0xf12793bff373a78a!8m2!3d22.3368175!4d114.160131!16s%2Fg%2F11tr_z6ckw!19sChIJwcca28QHBDQRiqdz87-TJ_E?authuser=0&hl=zh-TW&rclk=1
