place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJI5b6Mnyh6EcR0USi2NWO0FU,E.Leclerc MEAUX,,False,4030,"Name: E.Leclerc COULOMMIERS
link: https://www.google.com/maps/search/E.Leclerc+COULOMMIERS/@48.8030974,3.0917955999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5204 reviews

Name: E.Leclerc Animalerie
link: https://www.google.com/maps/search/E.Leclerc+Animalerie/@48.9576998,2.9183402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews

Name: E.Leclerc Drive Meaux
link: https://www.google.com/maps/search/E.Leclerc+Drive+Meaux/@48.957767,2.9183851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: E.Leclerc DRIVE Mareuil-les-Meaux
link: https://www.google.com/maps/search/E.Leclerc+DRIVE+Mareuil-l%C3%A8s-Meaux/@48.9346478,2.8769848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Sodimeaux
link: https://www.google.com/maps/search/Sodimeaux/@48.9592483,2.9162667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://e.leclerc/mag/e-leclerc-meaux,E.Leclerc MEAUX (Ye Zhu ),https://www.google.com/maps/contrib/108492161028127052981,https://lh5.googleusercontent.com/p/AF1QipPXAOINXZzxUbulr1vcNPiP6htVRcaM02Yw3b3r=w408-h544-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Shu Guo Dian , Za Huo Dian , You Ji Shi Pin Dian ",3.9,08:00-19:45,Xing Qi Yi ,+33 1 60 09 89 20,"E.Leclerc MEAUX, 3 Rue Georges Claude, 77100 Meaux, Fa Guo ","Jing Wei , De Lai Su , Ju Hui , Chong Wu Dian ",https://www.google.com/maps/place/E.Leclerc+MEAUX/data=!4m7!3m6!1s0x47e8a17c32fa9623:0x55d08ed5d8a244d1!8m2!3d48.9593642!4d2.9165034!16s%2Fg%2F1tfn21ds!19sChIJI5b6Mnyh6EcR0USi2NWO0FU?authuser=0&hl=zh-TW&rclk=1
ChIJiU0rUSGh6EcRqkDfdLCbyzQ,Burger King,"Zhu Ming De Lian Suo Su Shi Dian ,Fan Shou Shao Kao Han Bao , Shu Tiao He Nai Xi . ",False,4014,"Name: KFC Meaux
link: https://www.google.com/maps/search/KFC+Meaux/@48.9570752,2.9053779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3446 reviews

Name: McDonald's Nanteuil Les Meaux
link: https://www.google.com/maps/search/McDonald%27s+Nanteuil+Les+Meaux/@48.9415836,2.8801148999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2618 reviews

Name: Quick Meaux
link: https://www.google.com/maps/search/Quick+Meaux/@48.9571793,2.9162349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2001 reviews

Name: Memphis - Restaurant Diner
link: https://www.google.com/maps/search/Memphis+-+Restaurant+Diner/@48.9418976,2.8783317999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1662 reviews

Name: -OKB- au kebab
link: https://www.google.com/maps/search/-OKB-+au+kebab/@48.9418976,2.8783317999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews",https://www.burgerking.fr/restaurants?y_source=1_MTUwMTQ0NzgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Burger King (Ye Zhu ),https://www.google.com/maps/contrib/102568835644445027086,https://lh5.googleusercontent.com/p/AF1QipMH8LzfgBZXp_vLAna3uxer1mWNvvBNWog-Qm4V=w408-h272-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Jiu Ba Ba Fang , Jia Ting Can Ting , Han Bao Can Ting , Wai Mai Zi Qu Can Ting ",3.9,11:00-23:00,Open All Days,+33 1 82 78 00 09,"Burger King, Zac De La Haute Borne, Av. de la Haute Borne, 77100 Mareuil-les-Meaux, Fa Guo ","Leng , Jing Zheng , Bai Pan , Lou Ceng , Jing Li Ren , Bing Kuai , Niu Pai Guan ",https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x47e8a121512b4d89:0x34cb9bb074df40aa!8m2!3d48.9403722!4d2.8784232!16s%2Fg%2F11ckcmb3vg!19sChIJiU0rUSGh6EcRqkDfdLCbyzQ?authuser=0&hl=zh-TW&rclk=1
ChIJq2IiVnGh6EcR_p3uFx3dHAI,KFC Meaux,"Lian Suo Can Ting ,Yi Zha Ji Tong , Tao Can He Pei Can Wen Ming . ",False,3447,"Name: Quick Meaux
link: https://www.google.com/maps/search/Quick+Meaux/@48.9571793,2.9162349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2001 reviews

Name: McDonald's Meaux
link: https://www.google.com/maps/search/McDonald%27s+Meaux/@48.956956899999994,2.8839756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1773 reviews

Name: Chicken Street Meaux
link: https://www.google.com/maps/search/Chicken+Street+Meaux/@48.956344200000004,2.8891571999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 920 reviews

Name: Le Kalife Restaurant
link: https://www.google.com/maps/search/Le+Kalife+Restaurant/@48.9577032,2.8933326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: Chicken Spot Meaux
link: https://www.google.com/maps/search/Chicken+Spot+Meaux/@48.9530895,2.9122928999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",https://kfc.fr/restaurants/kfc-meaux/,KFC Meaux (Ye Zhu ),https://www.google.com/maps/contrib/114219920792728946444,https://lh5.googleusercontent.com/p/AF1QipP2NheqRLmi6EJmZ2mJuxYaSwTPMLRXhamnJK5D=w408-h408-k-no,Can Ting ,"Can Ting , Kuai Can Dian , Han Bao Can Ting ",3.8,11:00-23:30,Open All Days,+33 1 60 23 93 69,"KFC Meaux, 2 Av. des Sablons Bouillants, 77100 Meaux, Fa Guo ","De Lai Su , Su Shi , Wei Sheng , Leng , Tong , Jing Li Ren , Shou Tao ",https://www.google.com/maps/place/KFC+Meaux/data=!4m7!3m6!1s0x47e8a171562262ab:0x21cdd1d17ee9dfe!8m2!3d48.9570752!4d2.9053779!16s%2Fg%2F1tm8jxn9!19sChIJq2IiVnGh6EcR_p3uFx3dHAI?authuser=0&hl=zh-TW&rclk=1
ChIJfynPSHqg6EcRmZaugqo-Hsc,McDonald's Meaux les saisons,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,2952,"Name: Quick Meaux
link: https://www.google.com/maps/search/Quick+Meaux/@48.9571793,2.9162349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2001 reviews

Name: Nabab Kebab
link: https://www.google.com/maps/search/Nabab+Kebab/@48.9577811,2.8605921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 489 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.9580031,2.8602219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews

Name: Ham BAO Burger
link: https://www.google.com/maps/search/Ham+BAO+Burger/@48.957677999999994,2.8607554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Chick'end Cafe Meaux
link: https://www.google.com/maps/search/Chick%E2%80%99end+Caf%C3%A9+Meaux/@48.957677999999994,2.8607554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.restaurants.mcdonalds.fr/mcdonalds-meaux-chauconin,McDonald's Meaux les saisons (Ye Zhu ),https://www.google.com/maps/contrib/108163697421689453398,https://lh5.googleusercontent.com/p/AF1QipNDXow7EBjxM6aIfuKMv4RHrs3Bol33FBvP4QG7=w408-h306-k-no,Kuai Can Dian ,Kuai Can Dian ,3.8,09:30-23:00,Xing Qi Yi ,+33 1 64 35 17 54,"McDonald's Meaux les saisons, 1 Av. Roland Moreno, 77124 Chauconin-Neufmontiers, Fa Guo ","Xia Ding , Leng , Shou Shi , Jing Li Ren ",https://www.google.com/maps/place/McDonald%27s+Meaux+les+saisons/data=!4m7!3m6!1s0x47e8a07a48cf297f:0xc71e3eaa82ae9699!8m2!3d48.9562418!4d2.8624535!16s%2Fg%2F11bxdy4r1n!19sChIJfynPSHqg6EcRmZaugqo-Hsc?authuser=0&hl=zh-TW&rclk=1
ChIJHUSrRHyh6EcRj7W3GIrfFCY,Quick Meaux,,False,2001,"Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@48.9403722,2.8784232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4012 reviews

Name: KFC Meaux
link: https://www.google.com/maps/search/KFC+Meaux/@48.9570752,2.9053779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3446 reviews

Name: McDonald's Meaux
link: https://www.google.com/maps/search/McDonald%27s+Meaux/@48.956956899999994,2.8839756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1773 reviews

Name: O'Tacos
link: https://www.google.com/maps/search/O%27Tacos/@48.958602899999995,2.8853983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 817 reviews

Name: Chicken Spot Meaux
link: https://www.google.com/maps/search/Chicken+Spot+Meaux/@48.9530895,2.9122928999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",https://www.quick.fr/,Quick Meaux (Ye Zhu ),https://www.google.com/maps/contrib/100612289941345765055,https://lh5.googleusercontent.com/p/AF1QipPn4duEG3-WX1SqR_ojJkC1bjOsoUkFfYOxLYk6=w408-h306-k-no,Kuai Can Dian ,Kuai Can Dian ,2.9,09:00-23:00,Open All Days,+33 1 60 23 42 54,"Quick Meaux, 71-81 Av. de la Victoire, 77100 Meaux, Fa Guo ","De Lai Su , Leng , Qing Zhen , Zu Zhi , La Ji Tong , Ce Suo , Jing Li Ren , Yong Qi ",https://www.google.com/maps/place/Quick+Meaux/data=!4m7!3m6!1s0x47e8a17c44ab441d:0x2614df8a18b7b58f!8m2!3d48.9571793!4d2.9162349!16s%2Fg%2F11fxc7swn5!19sChIJHUSrRHyh6EcRj7W3GIrfFCY?authuser=0&hl=zh-TW&rclk=1
ChIJDcEy9A2h6EcRWYm1Ao0s6cg,McDonald's Meaux,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1773,"Name: KFC Meaux
link: https://www.google.com/maps/search/KFC+Meaux/@48.9570752,2.9053779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3446 reviews

Name: Quick Meaux
link: https://www.google.com/maps/search/Quick+Meaux/@48.9571793,2.9162349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2001 reviews

Name: O'Tacos
link: https://www.google.com/maps/search/O%27Tacos/@48.958602899999995,2.8853983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 817 reviews

Name: LE MISTRAL
link: https://www.google.com/maps/search/LE+MISTRAL/@48.95306850000001,2.895118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: O Street Food
link: https://www.google.com/maps/search/O+Street+Food/@48.959770899999995,2.8772357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",http://www.restaurants.mcdonalds.fr/mcdonalds-meaux,McDonald's Meaux (Ye Zhu ),https://www.google.com/maps/contrib/111989755694755959418,https://lh5.googleusercontent.com/p/AF1QipN-HtRbhc2AUzLyjEIWPLw4BtdhM4V4TPCStdjR=w408-h244-k-no,Kuai Can Dian ,"Kuai Can Dian , Han Bao Can Ting , Wai Mai Zi Qu Can Ting , Bo Bing Can Ting ",3.1,09:30-02:00,Open All Days,+33 1 60 44 03 56,"McDonald's Meaux, Av. du President Salvador Allende, 77100 Meaux, Fa Guo ","Xia Ding , Leng , Ce Suo , Ting Che Chang , Ju Wu Ba , Jing Li Ren , La Ji Tong , Yin Shua ",https://www.google.com/maps/place/McDonald%27s+Meaux/data=!4m7!3m6!1s0x47e8a10df432c10d:0xc8e92c8d02b58959!8m2!3d48.9569569!4d2.8839756!16s%2Fg%2F1tmz67w1!19sChIJDcEy9A2h6EcRWYm1Ao0s6cg?authuser=0&hl=zh-TW&rclk=1
ChIJT6glWQKh6EcRSAFNpFmfx74,Le Riverside,,False,1687,"Name: La Peniche
link: https://www.google.com/maps/search/La+P%C3%A9niche/@48.9571045,2.8806922999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 856 reviews

Name: C Comme Ca
link: https://www.google.com/maps/search/C+Comme+%C3%87a/@48.955791,2.8784989999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 805 reviews

Name: Brasserie L'Esplanade Meaux
link: https://www.google.com/maps/search/Brasserie+L%27Esplanade+Meaux/@48.9597548,2.8794964999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Le Jardin Provencal
link: https://www.google.com/maps/search/Le+Jardin+Proven%C3%A7al/@48.9579837,2.8900696?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: L'Authentique Restaurant
link: https://www.google.com/maps/search/L%27Authentique+Restaurant/@48.9597996,2.8804512?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews",http://riverside-pub-meaux.fr/,Le Riverside (Ye Zhu ),https://www.google.com/maps/contrib/103268256991393548912,https://lh5.googleusercontent.com/p/AF1QipPDntlhwUBVrhGn97wfECNuZ3f6tsCzZHlBYsAC=w408-h271-k-no,Fa Guo Can Ting ,"Fa Guo Can Ting , Jiu Ba , Fa Shi Can Ting ",4.1,11:30-01:00,"Xing Qi Yi , Xing Qi Ri ",+33 1 60 38 02 03,"Le Riverside, 9 Pl. Lafayette, 77100 Meaux, Fa Guo ","Diao Jiu , DJ, Qia La ok, Xiao Jiu Ba , Dong Hua , mojito, Shou Gou ",https://www.google.com/maps/place/Le+Riverside/data=!4m7!3m6!1s0x47e8a1025925a84f:0xbec79f59a44d0148!8m2!3d48.9578945!4d2.8765079!16s%2Fg%2F1hc2kcthz!19sChIJT6glWQKh6EcRSAFNpFmfx74?authuser=0&hl=zh-TW&rclk=1
ChIJ3VXu1tih6EcR7pyTCBGgsVI,Au Bureau Nanteuil les Meaux,,False,1658,"Name: Buffalo Grill Nanteuil Les Meaux
link: https://www.google.com/maps/search/Buffalo+Grill+Nanteuil+Les+Meaux/@48.9401886,2.8802962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2726 reviews

Name: Memphis - Restaurant Diner
link: https://www.google.com/maps/search/Memphis+-+Restaurant+Diner/@48.9418976,2.8783317999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1662 reviews

Name: Del Arte
link: https://www.google.com/maps/search/Del+Arte/@48.9361651,2.8804909999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1106 reviews

Name: Hiro & co
link: https://www.google.com/maps/search/Hiro+%26+co/@48.936994399999996,2.8805372?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1039 reviews

Name: La Fabrik de Meaux
link: https://www.google.com/maps/search/La+Fabrik+de+Meaux/@48.9560712,2.8862666?authuser=0&hl=zh-TW&entry=ttu
Reviews: 833 reviews",https://www.aubureau.fr/restaurant/%3Fville%3DAB_Nanteuil%26y_source%3D1_MTgyMzE5MzItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Au Bureau Nanteuil les Meaux (Ye Zhu ),https://www.google.com/maps/contrib/104272620414500598913,https://lh5.googleusercontent.com/p/AF1QipPMPvE4Ak7zbtfJOIKWC5dYvzjzagMhYBdq7nbR=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba , Ou Zhou Can Ting , Fa Guo Can Ting , Han Bao Can Ting , Ai Er Lan Can Ting , Yun Dong Jiu Ba ",4.6,11:30-23:00,Xing Qi Yi ,+33 1 60 22 34 68,"Au Bureau Nanteuil les Meaux, 75 Av. de la Foulee, 77100 Nanteuil-les-Meaux, Fa Guo ","Diao Jiu , Bai Pan , Sheng Ri , Xiao Jiu Ba , Bi Sai , happy hour",https://www.google.com/maps/place/Au+Bureau+Nanteuil+les+Meaux/data=!4m7!3m6!1s0x47e8a1d8d6ee55dd:0x52b1a01108939cee!8m2!3d48.9418869!4d2.8806061!16s%2Fg%2F11hkq5h26z!19sChIJ3VXu1tih6EcR7pyTCBGgsVI?authuser=0&hl=zh-TW&rclk=1
ChIJQ5HY5SOh6EcRkS6bwzhD69Y,BOULANGERIE ANGE,,False,1070,"Name: Au Bon Pain
link: https://www.google.com/maps/search/Au+Bon+Pain/@48.9533251,2.8862885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Nanteuil les Pains
link: https://www.google.com/maps/search/Nanteuil+les+Pains/@48.928882599999994,2.8975391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: La reine de nanteuil
link: https://www.google.com/maps/search/La+reine+de+nanteuil/@48.928444,2.8978037000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Au Plaisir du Pain
link: https://www.google.com/maps/search/Au+Plaisir+du+Pain/@48.9570705,2.8794975999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Autour du Pain Nanteuil-les-Meaux
link: https://www.google.com/maps/search/Autour+du+Pain+Nanteuil-l%C3%A8s-Meaux/@48.9373012,2.8835097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.boulangerie-ange.fr/,BOULANGERIE ANGE (Ye Zhu ),https://www.google.com/maps/contrib/117835311530277307269,https://lh5.googleusercontent.com/p/AF1QipMlfNHfFtQuIF8I8ntaxiL3G2CaOm-EqKVtEkji=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting , Cha Yi Guan ",4.2,06:30-20:00,Xing Qi Yi ,+33 1 60 09 21 17,"BOULANGERIE ANGE, 150 Cote de la Justice, 77100 Mareuil-les-Meaux, Fa Guo ","Dian Yuan , Pi Sa , Ke Song , Xia Ding , Ju Kao , Shui Guo , Leng Dong , Qing Jie ",https://www.google.com/maps/place/BOULANGERIE+ANGE/data=!4m7!3m6!1s0x47e8a123e5d89143:0xd6eb4338c39b2e91!8m2!3d48.9405712!4d2.8789!16s%2Fg%2F11b7vchthp!19sChIJQ5HY5SOh6EcRkS6bwzhD69Y?authuser=0&hl=zh-TW&rclk=1
ChIJV74siw-h6EcRsXZqF2yCLiA,La Fabrik de Meaux,,False,833,"Name: Le Riverside
link: https://www.google.com/maps/search/Le+Riverside/@48.957894499999995,2.8765079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1687 reviews

Name: LE CIRKUS - BRASSERIE/RESTAURANT
link: https://www.google.com/maps/search/LE+CIRKUS+-+BRASSERIE%2FRESTAURANT/@48.9584236,2.8767619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 989 reviews

Name: La Toile Du Chef
link: https://www.google.com/maps/search/La+Toile+Du+Chef/@48.9585982,2.8862042999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 528 reviews

Name: La Maison Meldoise
link: https://www.google.com/maps/search/La+Maison+Meldoise/@48.9598484,2.8767389999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 445 reviews

Name: Brasserie du Luxembourg
link: https://www.google.com/maps/search/Brasserie+du+Luxembourg/@48.955103199999996,2.8794473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews",http://www.lafabrikdemeaux.fr/,La Fabrik de Meaux (Ye Zhu ),https://www.google.com/maps/contrib/112166889996047437853,https://lh5.googleusercontent.com/p/AF1QipOGALwu9J_1dUEAiuhy1xzyfwqG0MDmUya_w1Cq=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba , Fa Guo Can Ting , Han Bao Can Ting ",4.3,"08:00-15:00, 17:30-23:00","Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Ri ",+33 7 82 65 99 85,"La Fabrik de Meaux, 38 Rue Aristide Briand, 77100 Meaux, Fa Guo ","Liao Li , Bai Pan , Yi Dao Cai , Xiang Kuang , Qian Cai , Yan Chang Hui , Qia La ok",https://www.google.com/maps/place/La+Fabrik+de+Meaux/data=!4m7!3m6!1s0x47e8a10f8b2cbe57:0x202e826c176a76b1!8m2!3d48.9560712!4d2.8862666!16s%2Fg%2F11c6ty6zn7!19sChIJV74siw-h6EcRsXZqF2yCLiA?authuser=0&hl=zh-TW&rclk=1
