place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJryVF8OIREBkRExe1e87dVNI,Puma Filing Station,"Retail location for the brand's own athletic shoes & apparel, backpacks & other accessories.",False,56,"Name: Total Filling Station
link: https://www.google.com/maps/search/Total+Filling+Station/@-11.8439224,31.444088700000002?authuser=0&hl=en&entry=ttu
Reviews: 99 reviews

Name: Eco petroleum
link: https://www.google.com/maps/search/Eco+petroleum/@-11.860588499999999,31.436618499999998?authuser=0&hl=en&entry=ttu
Reviews: 89 reviews

Name: Mt Meru Filling Station
link: https://www.google.com/maps/search/Mt+Meru+Filling+Station/@-11.8420737,31.443950899999997?authuser=0&hl=en&entry=ttu
Reviews: 65 reviews

Name: Eco Petroleum
link: https://www.google.com/maps/search/Eco+Petroleum/@-11.8614255,31.436323199999997?authuser=0&hl=en&entry=ttu
Reviews: 25 reviews

Name: Zamtel Retail Shop
link: https://www.google.com/maps/search/Zamtel+Retail+Shop/@-11.8422343,31.4447986?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Puma Filing Station (Owner),,https://lh5.googleusercontent.com/p/AF1QipPDbMHgfuhTm56OuflLmQv-vA8AbUe559g0oCFT=w426-h240-k-no,Gas station,Gas station,3.1,Open 24 hours,Open All Days,,"5C4V+R79 Puma Filing Station, M1, Mpika, Zambia",service,https://www.google.com/maps/place/Puma+Filing+Station/data=!4m7!3m6!1s0x191011e2f04525af:0xd254ddce7bb51713!8m2!3d-11.8429699!4d31.4432305!16s%2Fg%2F1vk488ff!19sChIJryVF8OIREBkRExe1e87dVNI?authuser=0&hl=en&rclk=1
ChIJBbMBPB4OEBkR8JWlsUOIq3Y,Microfast Business Center,,False,33,"Name: Busy mind technologies & general dealers
link: https://www.google.com/maps/search/Busy+mind+technologies+%26+general+dealers/@-11.8374229,31.442399100000003?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Zamtel Retail Shop
link: https://www.google.com/maps/search/Zamtel+Retail+Shop/@-11.8422343,31.4447986?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: JB ONE CAFE
link: https://www.google.com/maps/search/JB+ONE+CAFE/@-11.836794999999999,31.453384699999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Microfast Business Center (Owner),,https://lh5.googleusercontent.com/p/AF1QipPwtsaNDTYhTyR3wqIgp25yDozZ-kVZJpsabffi=w408-h721-k-no,Cafe,Cafe,3.9,8 AM-7 PM,Sunday,+260 96 8916868,"5C7W+5M8 Microfast Business Center, T2, Mpika, Zambia","internet, money",https://www.google.com/maps/place/Microfast+Business+Center/data=!4m7!3m6!1s0x19100e1e3c01b305:0x76ab8843b1a595f0!8m2!3d-11.8370877!4d31.4467011!16s%2Fg%2F11c1bzvpgz!19sChIJBbMBPB4OEBkR8JWlsUOIq3Y?authuser=0&hl=en&rclk=1
ChIJhZ00lIYREBkRME1jMDXX_e4,Chitulika Market,,False,10,"Name: GM Trading
link: https://www.google.com/maps/search/GM+Trading/@-11.8368396,31.455407599999997?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Gm Super Market
link: https://www.google.com/maps/search/Gm+Super+Market/@-11.837697700000001,31.4465263?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: Mpika Main market
link: https://www.google.com/maps/search/Mpika+Main+market/@-11.8380777,31.454560200000003?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Ichuma Bantu Stores
link: https://www.google.com/maps/search/Ichuma+Bantu+Stores/@-11.8358335,31.4545112?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,Chitulika Market (Owner),,https://lh5.googleusercontent.com/p/AF1QipPRMISxMzhA1nT59a9syex_tSs9T_tWElInoF1P=w426-h240-k-no,Supermarket,Supermarket,3.7,,Open All Days,,"5C6R+XW4 Chitulika Market, Unnamed Road, Mpika, Zambia",,https://www.google.com/maps/place/Chitulika+Market/data=!4m7!3m6!1s0x1910118694349d85:0xeefdd73530634d30!8m2!3d-11.8376064!4d31.4423391!16s%2Fg%2F11hwxs52sr!19sChIJhZ00lIYREBkRME1jMDXX_e4?authuser=0&hl=en&rclk=1
ChIJI8qTFh4OEBkRnhXY7Idmy7A,Gm Internet Cafe,,False,3,"Name: Microfast Business Center
link: https://www.google.com/maps/search/Microfast+Business+Center/@-11.8370877,31.4467011?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Busy mind technologies & general dealers
link: https://www.google.com/maps/search/Busy+mind+technologies+%26+general+dealers/@-11.8374229,31.442399100000003?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Zamtel
link: https://www.google.com/maps/search/Zamtel/@-11.8448172,31.411152599999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: JB ONE CAFE
link: https://www.google.com/maps/search/JB+ONE+CAFE/@-11.836794999999999,31.453384699999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Zamtel Retail Shop
link: https://www.google.com/maps/search/Zamtel+Retail+Shop/@-11.8422343,31.4447986?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Gm Internet Cafe (Owner),,,Internet cafe,Internet cafe,5,,Open All Days,,"5C6W+XMR Gm Internet Cafe, Mpika, Zambia",,https://www.google.com/maps/place/Gm+Internet+Cafe/data=!4m7!3m6!1s0x19100e1e1693ca23:0xb0cb6687ecd8159e!8m2!3d-11.8375231!4d31.4466501!16s%2Fg%2F11c6ybk2gb!19sChIJI8qTFh4OEBkRnhXY7Idmy7A?authuser=0&hl=en&rclk=1
ChIJnRHCwpwREBkRYjmcqbx9WF4,Roadview Cafe,,False,1,"Name: CIMS
link: https://www.google.com/maps/search/CIMS/@-11.8375464,31.4457038?authuser=0&hl=en&entry=ttu
Reviews: 390 reviews

Name: Twins Restaurant
link: https://www.google.com/maps/search/Twins+Restaurant/@-11.835626699999999,31.4536063?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Tafiq Restaurant
link: https://www.google.com/maps/search/Tafiq+Restaurant/@-11.8390414,31.447224699999996?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Choz kitchen
link: https://www.google.com/maps/search/Choz+kitchen/@-11.8280231,31.451331399999997?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: A SQUARED BY FATHER HILLARY
link: https://www.google.com/maps/search/A+SQUARED+BY+FATHER+HILLARY/@-11.8406503,31.445375100000003?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Roadview Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipPz9GChCECBNfA1g6o60dOA2VmVBEOspz0Zh3Uc=w408-h544-k-no,Cafe,Cafe,3,8 AM-10 PM,Monday,+260 97 7545404,"5C5R+52F Roadview Cafe, M1, Mpika, Zambia",,https://www.google.com/maps/place/Roadview+Cafe/data=!4m7!3m6!1s0x1910119cc2c2119d:0x5e587dbca99c3962!8m2!3d-11.8420584!4d31.4400316!16s%2Fg%2F11j0830_wq!19sChIJnRHCwpwREBkRYjmcqbx9WF4?authuser=0&hl=en&rclk=1
ChIJJzo0aFUPEBkRB4KRNqQl7ZY,MWANJA P,,False,1,"Name: CIMS
link: https://www.google.com/maps/search/CIMS/@-11.8375464,31.4457038?authuser=0&hl=en&entry=ttu
Reviews: 390 reviews

Name: Bayama's Lodge and Restaurant
link: https://www.google.com/maps/search/Bayama%27s+Lodge+and+Restaurant/@-11.846014199999999,31.446327000000004?authuser=0&hl=en&entry=ttu
Reviews: 96 reviews

Name: Twins Restaurant
link: https://www.google.com/maps/search/Twins+Restaurant/@-11.835626699999999,31.4536063?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Nachi's restaurant and takeaway
link: https://www.google.com/maps/search/Nachi%27s+restaurant+and+takeaway/@-11.8361842,31.4475105?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Choz kitchen
link: https://www.google.com/maps/search/Choz+kitchen/@-11.8280231,31.451331399999997?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,MWANJA P (Owner),https://www.google.com/maps/contrib/106593992831249104835,https://lh5.googleusercontent.com/p/AF1QipNmP19ec1iArrMbmsRwizzdK-KFUHRlOd6jt30H=w408-h406-k-no,Restaurant,Restaurant,1,,Open All Days,+260 97 3202520,"MWANJA P, Mpika, Zambia",,https://www.google.com/maps/place/MWANJA+P/data=!4m7!3m6!1s0x19100f5568343a27:0x96ed25a436918207!8m2!3d-11.8348399!4d31.4465683!16s%2Fg%2F11jm6yms33!19sChIJJzo0aFUPEBkRB4KRNqQl7ZY?authuser=0&hl=en&rclk=1
ChIJceC0xRQREBkR-klOH0YVmp8,Roadview Cafe,,False,,"Name: CIMS
link: https://www.google.com/maps/search/CIMS/@-11.8375464,31.4457038?authuser=0&hl=en&entry=ttu
Reviews: 390 reviews

Name: TOWN VIEW LODGE MPIKA
link: https://www.google.com/maps/search/TOWN+VIEW+LODGE+MPIKA/@-11.8255776,31.449611400000002?authuser=0&hl=en&entry=ttu
Reviews: 75 reviews

Name: Microfast Business Center
link: https://www.google.com/maps/search/Microfast+Business+Center/@-11.8370877,31.4467011?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Twins Restaurant
link: https://www.google.com/maps/search/Twins+Restaurant/@-11.835626699999999,31.4536063?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Minimart
link: https://www.google.com/maps/search/Minimart/@-11.8614193,31.436327199999997?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,Roadview Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipMgLAhzgKVUSCu2gUUFCYKqrJwvEBX0kqYljBb6=w408-h544-k-no,Cafe,Cafe,,8 AM-10 PM,Monday,+260 97 7545404,"Roadview Cafe, plot 3715 kasama Road, Mpika, Zambia",,https://www.google.com/maps/place/Roadview+Cafe/data=!4m7!3m6!1s0x19101114c5b4e071:0x9f9a15461f4e49fa!8m2!3d-11.8185385!4d31.4391321!16s%2Fg%2F11h7z8m601!19sChIJceC0xRQREBkR-klOH0YVmp8?authuser=0&hl=en&rclk=1
ChIJDbiViuoREBkR1ZLxdgNOixQ,A SQUARED BY FATHER HILLARY,,False,,"Name: Microfast Business Center
link: https://www.google.com/maps/search/Microfast+Business+Center/@-11.8370877,31.4467011?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Shaz pub & Grill
link: https://www.google.com/maps/search/Shaz+pub+%26+Grill/@-11.839749,31.449236199999998?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Tafiq Restaurant
link: https://www.google.com/maps/search/Tafiq+Restaurant/@-11.8390414,31.447224699999996?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Roadview Cafe
link: https://www.google.com/maps/search/Roadview+Cafe/@-11.842058399999999,31.440031599999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Minimart
link: https://www.google.com/maps/search/Minimart/@-11.8614193,31.436327199999997?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,A SQUARED BY FATHER HILLARY (Owner),,,Cafe,Cafe,,,Open All Days,,"5C5W+P5J A SQUARED BY FATHER HILLARY, T2, Mpika, Zambia",,https://www.google.com/maps/place/A+SQUARED+BY+FATHER+HILLARY/data=!4m7!3m6!1s0x191011ea8a95b80d:0x148b4e0376f192d5!8m2!3d-11.8406503!4d31.4453751!16s%2Fg%2F11j233fw_2!19sChIJDbiViuoREBkR1ZLxdgNOixQ?authuser=0&hl=en&rclk=1
ChIJg2CXXhAPEBkRIARFa4UpAoQ,JB ONE CAFE,,False,,"Name: Microfast Business Center
link: https://www.google.com/maps/search/Microfast+Business+Center/@-11.8370877,31.4467011?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Busy mind technologies & general dealers
link: https://www.google.com/maps/search/Busy+mind+technologies+%26+general+dealers/@-11.8374229,31.442399100000003?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,JB ONE CAFE (Owner),,,Internet cafe,Internet cafe,,,Open All Days,,"5F73+C25 JB ONE CAFE, Mpika, Zambia",,https://www.google.com/maps/place/JB+ONE+CAFE/data=!4m7!3m6!1s0x19100f105e976083:0x840229856b450420!8m2!3d-11.836795!4d31.4533847!16s%2Fg%2F11q3d2wb3l!19sChIJg2CXXhAPEBkRIARFa4UpAoQ?authuser=0&hl=en&rclk=1
ChIJycuRJYQPEBkRJllsiaVdinU,Lake Petroleum Filling Station (Mpika),,False,,,,Lake Petroleum Filling Station (Mpika) (Owner),,,Gas station,Gas station,,,Open All Days,,"5CCX+R6W Lake Petroleum Filling Station (Mpika), Mpika, Zambia",,https://www.google.com/maps/place/Lake+Petroleum+Filling+Station+%28Mpika%29/data=!4m7!3m6!1s0x19100f842591cbc9:0x758a5da5896c5926!8m2!3d-11.82757!4d31.44935!16s%2Fg%2F11v18d8c7v!19sChIJycuRJYQPEBkRJllsiaVdinU?authuser=0&hl=en&rclk=1
