place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJXTH4vzg0uTsRaWE_PQubBvs,Hotel Shri Shankar narayan vilas,,False,287,"Name: Akshaya Fast Food
link: https://www.google.com/maps/search/Akshaya+Fast+Food/@14.9702062,75.0371684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Bankapur Hotel
link: https://www.google.com/maps/search/Bankapur+Hotel/@14.9717196,75.0361487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Vinayak Taste Hotel
link: https://www.google.com/maps/search/Vinayak+Taste+Hotel/@14.970442799999997,75.0378252?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: HOTEL CLASSIC
link: https://www.google.com/maps/search/HOTEL+CLASSIC/@14.9732597,75.0410909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Hotel Shri Shankar narayan vilas (Ye Zhu ),https://www.google.com/maps/contrib/103312280812535600223,https://lh5.googleusercontent.com/p/AF1QipMLQz67ieDepTJHPCKiCeJm07YeC-TFeIYfRojN=w408-h544-k-no,Nan Yin Du Can Ting ,"Nan Yin Du Can Ting , Zao Can Can Ting , Su Shi Can Ting ",4.2,06:00-21:00,Xing Qi Liu ,,"Hotel Shri Shankar narayan vilas, B Y road, Mundgod, Karnataka 581349Yin Du ","Qing Jie , Zao Can , Wei Sheng ",https://www.google.com/maps/place/Hotel+Shri+Shankar+narayan+vilas/data=!4m7!3m6!1s0x3bb93438bff8315d:0xfb069b0b3d3f6169!8m2!3d14.9693823!4d75.0392387!16s%2Fg%2F11bx56jkyx!19sChIJXTH4vzg0uTsRaWE_PQubBvs?authuser=0&hl=zh-TW&rclk=1
ChIJrWU-nW8zuTsR5paigM-OMS4,Brother's Cafe,,False,102,"Name: The restaurant with no name
link: https://www.google.com/maps/search/The+restaurant+with+no+name/@15.009240300000002,74.9998201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: Loseling Canteen And Coffee Shop
link: https://www.google.com/maps/search/Loseling+Canteen+And+Coffee+Shop/@15.028940999999998,75.0049787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: CD7_cafe
link: https://www.google.com/maps/search/CD7_cafe/@15.009319,74.9990004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Shri Venkateshwar Bakery & Sweets
link: https://www.google.com/maps/search/Shri+Venkateshwar+Bakery+%26+Sweets/@14.9693715,75.0366275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Brother's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115108615506125808767,https://lh5.googleusercontent.com/p/AF1QipNgckvjEyT3wWO-T-ZDhTA3nMptXSQNEbeJojU8=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,10:00-19:00,Xing Qi Er ,+91 97898 94858,"Brother's Cafe, 1st Floor, Camp No. 3, Main Circle P.O. Tibetan Colony Mundgod, Kusur, Karnataka 581411Yin Du ",Dan Gao ,https://www.google.com/maps/place/Brother%27s+Cafe/data=!4m7!3m6!1s0x3bb9336f9d3e65ad:0x2e318ecf80a296e6!8m2!3d15.0087233!4d74.9998588!16s%2Fg%2F11h9y5qmdg!19sChIJrWU-nW8zuTsR5paigM-OMS4?authuser=0&hl=zh-TW&rclk=1
ChIJp8vYBUw1uTsRqmLWyDOTdow,MH Bakes & Cafe,,False,8,"Name: Shri Venkateshwar Bakery & Sweets
link: https://www.google.com/maps/search/Shri+Venkateshwar+Bakery+%26+Sweets/@14.9693715,75.0366275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: SHRI SHRIKANT BAKERY
link: https://www.google.com/maps/search/SHRI+SHRIKANT+BAKERY/@14.970192199999998,75.037459?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,MH Bakes & Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOo8e_TFppfp5p9ZpH4JHJ_C3Eu9uLHFHpxlmI1=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.1,07:30-23:00,Open All Days,,"X2CP+P36 MH Bakes & Cafe, Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/MH+Bakes+%26+Cafe/data=!4m7!3m6!1s0x3bb9354c05d8cba7:0x8c769333c8d662aa!8m2!3d14.9718397!4d75.0351315!16s%2Fg%2F11kb3k1_q0!19sChIJp8vYBUw1uTsRqmLWyDOTdow?authuser=0&hl=zh-TW&rclk=1
ChIJWX71iWc1uTsRV3_0ZRS7d6I,INDIRA CANTEEN,,False,7,"Name: Hotel Shri Shankar narayan vilas
link: https://www.google.com/maps/search/Hotel+Shri+Shankar+narayan+vilas/@14.9693823,75.0392387?authuser=0&hl=zh-TW&entry=ttu
Reviews: 286 reviews

Name: Akshaya Fast Food
link: https://www.google.com/maps/search/Akshaya+Fast+Food/@14.9702062,75.0371684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Vinayak Taste Hotel
link: https://www.google.com/maps/search/Vinayak+Taste+Hotel/@14.970442799999997,75.0378252?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Jangchup dorjee
link: https://www.google.com/maps/search/Jangchup+dorjee/@14.9736864,75.040677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,INDIRA CANTEEN (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNbyhMIYHmWhX_0ouKSKdBRZUrUTwkot_j7Qc9x=w408-h306-k-no,Zao Can Can Ting ,Zao Can Can Ting ,4.3,"12:30-15:30, 19:30-09:00",Open All Days,,"X2FQ+79F INDIRA CANTEEN, Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/INDIRA+CANTEEN/data=!4m7!3m6!1s0x3bb9356789f57e59:0xa277bb1465f47f57!8m2!3d14.9731763!4d75.0384118!16s%2Fg%2F11sy41cp2n!19sChIJWX71iWc1uTsRV3_0ZRS7d6I?authuser=0&hl=zh-TW&rclk=1
ChIJ7WyneKk1uTsRSISnkyRP1pE,Anand coldrinks,,False,6,"Name: Nayak Cold Drinks and Hotel (naayk kooldd ddriNks mttu hoottel)
link: https://www.google.com/maps/search/Nayak+Cold+Drinks+and+Hotel+%28%E0%B2%A8%E0%B2%BE%E0%B2%AF%E0%B2%95+%E0%B2%95%E0%B3%8B%E0%B2%B2%E0%B3%8D%E0%B2%A1%E0%B3%8D+%E0%B2%A1%E0%B3%8D%E0%B2%B0%E0%B2%BF%E0%B2%82%E0%B2%95%E0%B3%8D%E0%B2%B8%E0%B3%8D+%E0%B2%AE%E0%B2%A4%E0%B3%8D%E0%B2%A4%E0%B3%81+%E0%B2%B9%E0%B3%8B%E0%B2%9F%E0%B3%86%E0%B2%B2%29/@14.968819199999999,75.038617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Shri Padmamba Cold Drinks
link: https://www.google.com/maps/search/Shri+Padmamba+Cold+Drinks/@15.178318099999998,74.9699005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: LIMBRA COOL DRINKS
link: https://www.google.com/maps/search/LIMBRA+COOL+DRINKS/@14.971473999999999,75.0364386?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Anand coldrinks (Ye Zhu ),https://www.google.com/maps/contrib/109714684125787744225,https://lh5.googleusercontent.com/p/AF1QipP37qoNw5Js5AOWAdmY6qRZLmk1B6MTZKoFMXrt=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.8,08:30-22:30,Open All Days,,"Anand coldrinks, Sirsi - Hubli - Belgaum Rd, Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/Anand+coldrinks/data=!4m7!3m6!1s0x3bb935a978a76ced:0x91d64f2493a78448!8m2!3d14.969388!4d75.0366646!16s%2Fg%2F11h6qh879t!19sChIJ7WyneKk1uTsRSISnkyRP1pE?authuser=0&hl=zh-TW&rclk=1
ChIJEYtJTHAzuTsRxWPVIYeyzUI,CD7_cafe,,False,6,"Name: The restaurant with no name
link: https://www.google.com/maps/search/The+restaurant+with+no+name/@15.009240300000002,74.9998201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: Brother's Cafe
link: https://www.google.com/maps/search/Brother%27s+Cafe/@15.0087233,74.9998588?authuser=0&hl=zh-TW&entry=ttu
Reviews: 102 reviews

Name: Loseling Canteen And Coffee Shop
link: https://www.google.com/maps/search/Loseling+Canteen+And+Coffee+Shop/@15.028940999999998,75.0049787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Rato Cafe
link: https://www.google.com/maps/search/Rato+Cafe/@15.033630299999999,75.0050294?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,CD7_cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNW53YzXWOmKM7PtmsrlIMxYo5JP9SAA_uZhwEQ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,5,08:00-20:00,Xing Qi San ,,"CD7_cafe, Camp No.3, Mundgod, Kusur, Karnataka 581411Yin Du ",,https://www.google.com/maps/place/CD7_cafe/data=!4m7!3m6!1s0x3bb933704c498b11:0x42cdb28721d563c5!8m2!3d15.009319!4d74.9990004!16s%2Fg%2F11r0yq3ydl!19sChIJEYtJTHAzuTsRxWPVIYeyzUI?authuser=0&hl=zh-TW&rclk=1
ChIJ21on3UA0uTsRdnKi_CZxR7c,Nmdnetworld Fayaz,,False,5,"Name: Chandru Tea Point
link: https://www.google.com/maps/search/Chandru+Tea+Point/@14.969924800000001,74.7131639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Ganesh Tea & Tiffin center Yellapur
link: https://www.google.com/maps/search/Ganesh+Tea+%26+Tiffin+center+Yellapur/@14.962624000000002,74.71549949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: guddada vadeya net cafe
link: https://www.google.com/maps/search/guddada+vadeya+net+cafe/@14.6993791,75.173891?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Nmdnetworld Fayaz (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNmaf_9BjKcVeVuDqTTcOnt_3-zMAbGmHH7xb58=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,,Open All Days,,"X2CP+M5H Nmdnetworld Fayaz, near camp jeep stand road, Yellapur, Karnataka, Yin Du ",,https://www.google.com/maps/place/Nmdnetworld+Fayaz/data=!4m7!3m6!1s0x3bb93440dd275adb:0xb7477126fca27276!8m2!3d14.9716983!4d75.0354736!16s%2Fg%2F11c31w9_f3!19sChIJ21on3UA0uTsRdnKi_CZxR7c?authuser=0&hl=zh-TW&rclk=1
ChIJh1lbVSM1uTsRHoT1tRt35Fs,Nayak Cold Drinks and Hotel (naayk kooldd ddriNks mttu hoottel),,False,4,"Name: Vinayak Taste Hotel
link: https://www.google.com/maps/search/Vinayak+Taste+Hotel/@14.970442799999997,75.0378252?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Norbu's Icecream Parlour, Camp No 3
link: https://www.google.com/maps/search/Norbu%27s+Icecream+Parlour%2C+Camp+No+3/@15.009044499999998,74.9997302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Anand coldrinks
link: https://www.google.com/maps/search/Anand+coldrinks/@14.969387999999999,75.0366646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Nayak Cold Drinks and Hotel (naayk kooldd ddriNks mttu hoottel) (Ye Zhu ),https://www.google.com/maps/contrib/113876391160540621046,https://lh5.googleusercontent.com/p/AF1QipPVothY5NT1O4-Sol3HQ159DOZS4RPDA_-NdOcQ=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.8,08:00-21:00,Xing Qi Si ,+91 94487 63827,"Nayak Cold Drinks and Hotel (naayk kooldd ddriNks mttu hoottel), Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/Nayak+Cold+Drinks+and+Hotel+%28%E0%B2%A8%E0%B2%BE%E0%B2%AF%E0%B2%95+%E0%B2%95%E0%B3%8B%E0%B2%B2%E0%B3%8D%E0%B2%A1%E0%B3%8D+%E0%B2%A1%E0%B3%8D%E0%B2%B0%E0%B2%BF%E0%B2%82%E0%B2%95%E0%B3%8D%E0%B2%B8%E0%B3%8D+%E0%B2%AE%E0%B2%A4%E0%B3%8D%E0%B2%A4%E0%B3%81+%E0%B2%B9%E0%B3%8B%E0%B2%9F%E0%B3%86%E0%B2%B2%29/data=!4m7!3m6!1s0x3bb93523555b5987:0x5be4771bb5f5841e!8m2!3d14.9688192!4d75.038617!16s%2Fg%2F11k4b5wb7g!19sChIJh1lbVSM1uTsRHoT1tRt35Fs?authuser=0&hl=zh-TW&rclk=1
ChIJJUtmkwc1uTsRssqSBIc7xOU,Munna Paan Shop,,False,4,"Name: shiv prakash pan shop
link: https://www.google.com/maps/search/shiv+prakash+pan+shop/@14.9705879,75.0370551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: SHANKARNARAYAN PAN SHOP
link: https://www.google.com/maps/search/SHANKARNARAYAN+PAN+SHOP/@14.969550499999999,75.0394706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Munna Paan Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNfGb0cUXSqu8DVK0ywdspyUs3p3G3pDv8YKzj3=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,,Open All Days,,"X2CM+J5C Munna Paan Shop, Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/Munna+Paan+Shop/data=!4m7!3m6!1s0x3bb9350793664b25:0xe5c43b870492cab2!8m2!3d14.9715659!4d75.0328928!16s%2Fg%2F11gn1_fnvn!19sChIJJUtmkwc1uTsRssqSBIc7xOU?authuser=0&hl=zh-TW&rclk=1
ChIJy9UBjp01uTsRnmzVTvgRFLA,Indian Pan Shop,,False,3,,,Indian Pan Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPu4XP9kisC4PhLjAF_euybMgOUBRp_ohqvWpUU=w425-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,,"X28P+P4J Indian Pan Shop, Mundgod, Karnataka 581349Yin Du ",,https://www.google.com/maps/place/Indian+Pan+Shop/data=!4m7!3m6!1s0x3bb9359d8e01d5cb:0xb01411f84ed56c9e!8m2!3d14.9668439!4d75.0352577!16s%2Fg%2F11lpkf_snf!19sChIJy9UBjp01uTsRnmzVTvgRFLA?authuser=0&hl=zh-TW&rclk=1
