place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2yjAXS38jT4RspbRdeFNPJw,Cafe Bateel - Al Mouj,,False,1009,"Name: Mani's Cafe Al Mouj mqh~ mnyz kfyh
link: https://www.google.com/maps/search/Mani%27s+Cafe+Al+Mouj+%D9%85%D9%82%D9%87%D9%89+%D9%85%D8%A7%D9%86%D9%8A%D8%B2+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.6301718,58.2693376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews

Name: Dose Cafe
link: https://www.google.com/maps/search/Dose+Cafe/@23.6291932,58.26626649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: 7 Vibez
link: https://www.google.com/maps/search/7+Vibez/@23.6302029,58.2666614?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: The Crepe Cafe - The Wave
link: https://www.google.com/maps/search/The+Crepe+Cafe+-+The+Wave/@23.6293883,58.2666108?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.bateel.com/,Cafe Bateel - Al Mouj (Ye Zhu ),https://www.google.com/maps/contrib/114054512593622070153,https://lh5.googleusercontent.com/p/AF1QipMOXsJy_D9G9xlIe64PHk_F_FsBtH_LOo1x_gyi=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Di Zhong Hai Can Ting ",4.3,07:30-00:00,Open All Days,+968 24 558839,"Cafe Bateel - Al Mouj, Block No 304 C, Shop No 3134 D Al Mouj, Way 447 C, Muscat, Muscat, A Man ","atmosphere, Yi Da Li Mian , Mei , Jing Yan , Jian Kang Yin Shi , Dun Fan , Zhu Can , Shi Wu Pin Zhi , Xi Yang ",https://www.google.com/maps/place/Caf%C3%A9+Bateel+-+Al+Mouj/data=!4m7!3m6!1s0x3e8dfc2d5dc028db:0x9c3c4de175d196b2!8m2!3d23.6305859!4d58.2694389!16s%2Fg%2F11c2098jkz!19sChIJ2yjAXS38jT4RspbRdeFNPJw?authuser=0&hl=zh-TW&rclk=1
ChIJFTlh84z4kT4R54LYDC4G9BQ,Copper Roastery lmHmS@ lnHsy@,,False,514,"Name: Second Cup Al Qurum Complex
link: https://www.google.com/maps/search/Second+Cup+Al+Qurum+Complex/@23.6155875,58.497682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 501 reviews

Name: Pakistani Coffee Shop mqh~ bkstny
link: https://www.google.com/maps/search/Pakistani+Coffee+Shop+%D9%85%D9%82%D9%87%D9%89+%D8%A8%D8%A7%D9%83%D8%B3%D8%AA%D8%A7%D9%86%D9%8A/@23.5912681,58.560313799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Coffee Shop
link: https://www.google.com/maps/search/Coffee+Shop/@23.5801135,58.564226500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Wadi Kabir Coffee Shop( East Sunset Leading Project)
link: https://www.google.com/maps/search/Wadi+Kabir+Coffee+Shop%28+East+Sunset+Leading+Project%29/@23.5786685,58.56612269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Al Nuzha Cafe
link: https://www.google.com/maps/search/Al+Nuzha+Cafe/@23.583979900000003,58.5606995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.copperroastery.com/,Copper Roastery lmHmS@ lnHsy@ (Ye Zhu ),https://www.google.com/maps/contrib/114185914661721778222,https://lh5.googleusercontent.com/p/AF1QipMz7ll6nr-m_hLJ8o5hOyWMMVVYM_I3uH1NPgz1=w408-h408-k-no,Ka Pei Pi Fa Shang ,"Ka Pei Pi Fa Shang , Ka Pei Hong Bei Shang , Ka Pei Dian , Shang Dian ",4.1,08:00-18:00,"Xing Qi Wu , Xing Qi Liu ",+968 7178 2300,"Copper Roastery lmHmS@ lnHsy@, Nesto, Wadi Kabir / Near, Muscat, A Man ","Han Bao , Jia Ge , Zao Can , Cai Dan , Xiao Hai , Yin Le , Sha La , Jia Ting , Ji Rou ",https://www.google.com/maps/place/Copper+Roastery+%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5%D8%A9+%D8%A7%D9%84%D9%86%D8%AD%D8%A7%D8%B3%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e91f88cf3613915:0x14f4062e0cd882e7!8m2!3d23.5898338!4d58.5623207!16s%2Fg%2F11cn94w7k7!19sChIJFTlh84z4kT4R54LYDC4G9BQ?authuser=0&hl=zh-TW&rclk=1
ChIJ4wQHot__kT4RyK5U5FtLXeo,Cafe T mqh~ kfyh ty,,False,393,"Name: ARCH CAFE mqh~ lqws kfyh
link: https://www.google.com/maps/search/ARCH+CAFE+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%82%D9%88%D8%B3+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.5858802,58.3690095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Gazan's Cafe
link: https://www.google.com/maps/search/Gazan%27s+Cafe/@23.586642299999998,58.3620837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Ciasto Cafe mqh~ kystw kfyh
link: https://www.google.com/maps/search/Ciasto+Caf%C3%A9+%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%8A%D8%A7%D8%B3%D8%AA%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.590943,58.3778045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Coffee Shop & Fast Food mqh~ lwjbt lsry`@
link: https://www.google.com/maps/search/Coffee+Shop+%26+Fast+Food+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%88%D8%AC%D8%A8%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9%D8%A9/@23.5899929,58.3859553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: illy coffee
link: https://www.google.com/maps/search/illy+coffee/@23.601882999999997,58.3689678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.cafet.me/,Cafe T mqh~ kfyh ty (Ye Zhu ),https://www.google.com/maps/contrib/100262368030836860311,https://lh5.googleusercontent.com/p/AF1QipN1VIohMP5fNM96R-i5hKK3OtRxjMEw8JDeDOJa=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,"07:00-14:00, 16:00-22:00",Open All Days,+968 9099 9198,"Cafe T mqh~ kfyh ty, Unnamed Road, Muscat, A Man ","Xiao Chi , Su Shi , Qian , Jia Zhi , Su Shi ",https://www.google.com/maps/place/Cafe+T+%D9%85%D9%82%D9%87%D9%89+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%AA%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e91ffdfa20704e3:0xea5d4b5be454aec8!8m2!3d23.587755!4d58.3731137!16s%2Fg%2F11g8vvlbmq!19sChIJ4wQHot__kT4RyK5U5FtLXeo?authuser=0&hl=zh-TW&rclk=1
ChIJSUOcN6T_kT4RsseQ9mu3nTM,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,371,"Name: Second Cup Oman Avenues Mall
link: https://www.google.com/maps/search/Second+Cup+Oman+Avenues+Mall/@23.590436200000003,58.410428100000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Cinnabon synbwn
link: https://www.google.com/maps/search/Cinnabon+%D8%B3%D9%8A%D9%86%D8%A7%D8%A8%D9%88%D9%86/@23.5904289,58.4109344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Burger King - Oman Avenues Mall
link: https://www.google.com/maps/search/Burger+King+-+Oman+Avenues+Mall/@23.5906718,58.4104023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Season Tea Coffee Shop mqh~ lmwsm
link: https://www.google.com/maps/search/Season+Tea+Coffee+Shop+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85/@23.593266099999997,58.3716674?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://locations.starbucks.com.om/directory/muscat/oman-avenues-mall?utm_source=GMB&utm_medium=Yext&y_source=1_MTU1MDQ5MDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/111305401363559458856,https://lh5.googleusercontent.com/p/AF1QipNuQrhmcU4n7QJeR7t_CGcYyYgPen7yllaQNRw=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-23:00,Open All Days,+968 22 300159,"Starbucks, Oman Avenues Mall, Shop # 07, Muscat 116A Man ","Kong Jian , Wang Zhan , Fu Wu , espresso, Tian Dian ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3e91ffa4379c4349:0x339db76bf690c7b2!8m2!3d23.59014!4d58.4109983!16s%2Fg%2F11cn9hyptm!19sChIJSUOcN6T_kT4RsseQ9mu3nTM?authuser=0&hl=zh-TW&rclk=1
ChIJVWczL7T_kT4RqWOhXZh9cUw,FiLLi Cafe - Mall of Oman,,False,266,"Name: FiLLi Cafe - Shati Al Qurum
link: https://www.google.com/maps/search/FiLLi+Caf%C3%A9+-+Shati+Al+Qurum/@23.6123552,58.45393679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 589 reviews

Name: L'ETO caffe
link: https://www.google.com/maps/search/L%27ETO+caffe/@23.5730576,58.4066468?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews

Name: Molten Chocolate Cafe Mall of Oman
link: https://www.google.com/maps/search/Molten+Chocolate+Cafe+Mall+of+Oman/@23.5716292,58.4053164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: My Space Cafe - Mall of Oman
link: https://www.google.com/maps/search/My+Space+Caf%C3%A9+-+Mall+of+Oman/@23.5720672,58.405641800000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Momaz Mall of Oman mwmz - mwl `umn
link: https://www.google.com/maps/search/Momaz+Mall+of+Oman+%D9%85%D9%88%D9%85%D8%A7%D8%B2+-+%D9%85%D9%88%D9%84+%D8%B9%D9%8F%D9%85%D8%A7%D9%86/@23.572408199999998,58.405907600000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",https://www.instagram.com/fillicafeoman,FiLLi Cafe - Mall of Oman (Ye Zhu ),https://www.google.com/maps/contrib/110671639482473003796,https://lh5.googleusercontent.com/p/AF1QipMTC8rUa_h-FX4OEl7Z_igQvleLHSuWsLzcbMBe=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Can Ting ",4.6,08:00-00:00,Open All Days,+968 24 501111,"FiLLi Cafe - Mall of Oman, Vox Cinemas, Level 3, Mall of Oman, Bawshar In Front of Buildex. Near, Muscat, A Man ","Jing Yan , Kong Jian , Fan Hong Hua , Can , Shu Tiao , Jia Ge , Mei ",https://www.google.com/maps/place/FiLLi+Caf%C3%A9+-+Mall+of+Oman/data=!4m7!3m6!1s0x3e91ffb42f336755:0x4c717d985da163a9!8m2!3d23.5725836!4d58.4060323!16s%2Fg%2F11p0xz8vwf!19sChIJVWczL7T_kT4RqWOhXZh9cUw?authuser=0&hl=zh-TW&rclk=1
ChIJDWMLQbT4kT4RtDfGLNEB9f0,Richoux Cafe,,False,253,"Name: The Crepe Cafe - Oasis by the Sea
link: https://www.google.com/maps/search/The+Crepe+Cafe+-+Oasis+by+the+Sea/@23.616239999999998,58.4615108?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: The Address Cafe Muscat
link: https://www.google.com/maps/search/The+Address+Cafe+Muscat/@23.6162898,58.46203279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: KAIA
link: https://www.google.com/maps/search/KAIA/@23.616152,58.461633400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Fauchon
link: https://www.google.com/maps/search/Fauchon/@23.6140631,58.467563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews

Name: Mani's Cafe Qurum
link: https://www.google.com/maps/search/Mani%27s+Cafe+Qurum/@23.6158421,58.4630062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews",http://www.richouxoman.com/,Richoux Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111962380842949274878,https://lh5.googleusercontent.com/p/AF1QipNhzq3HZrM-nDmwVkKxhq6vNkVW0qp-zBqM3FfF=w408-h544-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.3,09:00-23:00,Open All Days,+968 9310 0100,"Richoux Cafe, Muscat, A Man ","Zao Can , Yin Liao , Jia Ge , atmosphere, San Ming Zhi , Ge Ju Yuan , Zao Wu Can , Wang Zhan , Pi Sa ",https://www.google.com/maps/place/Richoux+Caf%C3%A9/data=!4m7!3m6!1s0x3e91f8b4410b630d:0xfdf501d12cc637b4!8m2!3d23.6140593!4d58.4670327!16s%2Fg%2F11bztd18bd!19sChIJDWMLQbT4kT4RtDfGLNEB9f0?authuser=0&hl=zh-TW&rclk=1
ChIJbyCghVH_kT4RQ7lnIPB5URE,Qaha Cafe - Speciality Coffee qh kfyh - fr` bwshr,,False,210,"Name: Windrose Coffee qhw@ wyndrwz
link: https://www.google.com/maps/search/Windrose+Coffee+%D9%82%D9%87%D9%88%D8%A9+%D9%88%D9%8A%D9%86%D8%AF%D8%B1%D9%88%D8%B2/@23.5638041,58.4199883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews

Name: Grace Cafe mqh~ jrys kfyh
link: https://www.google.com/maps/search/Grace+Caf%C3%A9+%D9%85%D9%82%D9%87%D9%89+%D8%AC%D8%B1%D9%8A%D8%B3+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.5645861,58.4185545?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Karak Tea 24 Hours mqh~ shy lkrk
link: https://www.google.com/maps/search/Karak+Tea+24+Hours+%D9%85%D9%82%D9%87%D9%89+%D8%B4%D8%A7%D9%8A+%D8%A7%D9%84%D9%83%D8%B1%D9%83/@23.564794499999998,58.4174672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Qaha Cafe - SQUare qh kfyh - fr` lkhwD
link: https://www.google.com/maps/search/Qaha+Cafe+-+SQUare+%D9%82%D9%87%D9%80%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+-+%D9%81%D8%B1%D8%B9+%D8%A7%D9%84%D8%AE%D9%88%D8%B6/@23.5842863,58.1464621?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Chai House
link: https://www.google.com/maps/search/Chai+House/@23.558279799999998,58.409951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews",https://instagram.com/qahacafe%3Futm_medium%3Dcopy_link,Qaha Cafe - Speciality Coffee qh kfyh - fr` bwshr (Ye Zhu ),https://www.google.com/maps/contrib/112770890809938848012,https://lh5.googleusercontent.com/p/AF1QipP6mBkZHHsakL4E4nM7vuwQbIjWiPiNQ8LbMnez=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,06:30-00:00,Open All Days,+968 9247 8000,"Qaha Cafe - Speciality Coffee qh kfyh - fr` bwshr, 4 Al Maha St, Muscat, A Man ","Kong Jian , atmosphere, Zhuang Xiu , Fu Wu , Shi Yan , Jia Ge , Na Tie ",https://www.google.com/maps/place/Qaha+Cafe+-+Speciality+Coffee+%D9%82%D9%87%D9%80%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+-+%D9%81%D8%B1%D8%B9+%D8%A8%D9%88%D8%B4%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e91ff5185a0206f:0x115179f02067b943!8m2!3d23.5681552!4d58.4148902!16s%2Fg%2F11j2c2cp2c!19sChIJbyCghVH_kT4RQ7lnIPB5URE?authuser=0&hl=zh-TW&rclk=1
ChIJxV_5gMD_kT4RAXFk9kbl4GY,ICONS Coffee Couture,,False,204,"Name: Brigit's Coffee qhw@ bryjyt
link: https://www.google.com/maps/search/Brigit%27s+Coffee+%D9%82%D9%87%D9%88%D8%A9+%D8%A8%D8%B1%D9%8A%D8%AC%D9%8A%D8%AA/@23.5835582,58.4101151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Pista Cafe
link: https://www.google.com/maps/search/Pista+Cafe/@23.580097499999997,58.408015000000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: CHOCOMANIA CAFE - Panorama Mall shwkwmny kfyh
link: https://www.google.com/maps/search/CHOCOMANIA+CAF%C3%89+-+Panorama+Mall+%D8%B4%D9%88%D9%83%D9%88%D9%85%D8%A7%D9%86%D9%8A%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@23.582932,58.408472200000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Pasha Cafe
link: https://www.google.com/maps/search/Pasha+Cafe/@23.5907433,58.4128147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Coffee Mansion
link: https://www.google.com/maps/search/Coffee+Mansion/@23.581914599999998,58.4080004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.meeticons.com/,ICONS Coffee Couture (Ye Zhu ),https://www.google.com/maps/contrib/110917690184828119817,https://lh5.googleusercontent.com/p/AF1QipNJAxGyBUS6OLuu5EbQzPtQx6o5OGTZw9q9_8tc=w408-h533-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,07:00-00:00,Open All Days,+968 7907 9040,"ICONS Coffee Couture, Muscat, bosher, beside Panorama mall, Muscat, A Man ","You Ji , Jian Kang Yin Shi , Mei , San Ming Zhi , Guo Zhi , Bing Qi Lin , Na Tie ",https://www.google.com/maps/place/ICONS+Coffee+Couture/data=!4m7!3m6!1s0x3e91ffc080f95fc5:0x66e0e546f6647101!8m2!3d23.5804762!4d58.4080906!16s%2Fg%2F11fp9v66st!19sChIJxV_5gMD_kT4RAXFk9kbl4GY?authuser=0&hl=zh-TW&rclk=1
ChIJmWOKSYj5kT4RVstzdV77Ipw,Tr.Eat Cafe,,False,198,"Name: Trader Vic's Muscat
link: https://www.google.com/maps/search/Trader+Vic%27s+Muscat/@23.6164541,58.4645515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 702 reviews

Name: The Crepe Cafe - Oasis by the Sea
link: https://www.google.com/maps/search/The+Crepe+Cafe+-+Oasis+by+the+Sea/@23.616239999999998,58.4615108?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: The Address Cafe Muscat
link: https://www.google.com/maps/search/The+Address+Cafe+Muscat/@23.6162898,58.46203279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: Mani's Cafe Qurum
link: https://www.google.com/maps/search/Mani%27s+Cafe+Qurum/@23.6158421,58.4630062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: ratio
link: https://www.google.com/maps/search/ratio/@23.615996499999998,58.477138800000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews",http://instagram.com/tr.eatcafe,Tr.Eat Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110219828786226673144,https://lh5.googleusercontent.com/p/AF1QipOIfaLnKHF77HSq8P0y0lKb_iEqX8PKQmzyC4e-=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Xi Bing Dian , Ka Pei Dian ",4.4,07:30-22:00,Open All Days,+968 24 680060,"Tr.Eat Cafe, Al Kharjiya, Al Shatti Area, InterContinental Muscat, Muscat 114A Man ","Jia Ge , Fan Dian , Kong Jian , Jing Yan , Ke Song , Cao Mei Dan Gao , atmosphere, Ke Fu , Shui Mi Tao , Pin Zhi ",https://www.google.com/maps/place/Tr.Eat+Cafe/data=!4m7!3m6!1s0x3e91f988498a6399:0x9c22fb5e7573cb56!8m2!3d23.6161939!4d58.4648351!16s%2Fg%2F11ghq5sr8c!19sChIJmWOKSYj5kT4RVstzdV77Ipw?authuser=0&hl=zh-TW&rclk=1
ChIJJ9UnuA8Bjj4Rt5EOQUF91FY,"Awshal Restaurant, Bakery & Coffee shop",,False,198,"Name: mqh~ sw kfyh SWA Cafe
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B3%D9%88%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87+SWA+Cafe/@23.5747853,58.2976047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 138 reviews

Name: Mani's Cafe The Links mqh~ mnyz dh lynks
link: https://www.google.com/maps/search/Mani%E2%80%99s+Cafe+The+Links+%D9%85%D9%82%D9%87%D9%89+%D9%85%D8%A7%D9%86%D9%8A%D8%B2+%D8%B0%D8%A7+%D9%84%D9%8A%D9%86%D9%83%D8%B3/@23.5755129,58.2987286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Ajeen
link: https://www.google.com/maps/search/Ajeen/@23.5756931,58.298015500000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Avar Restaurant
link: https://www.google.com/maps/search/Avar+Restaurant/@23.574989700000003,58.297632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Sweet Salt swyt swlt llHlwyt
link: https://www.google.com/maps/search/Sweet+Salt+%D8%B3%D9%88%D9%8A%D8%AA+%D8%B3%D9%88%D9%84%D8%AA+%D9%84%D9%84%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA/@23.574928099999997,58.2978475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://www.awshaloman.com/,"Awshal Restaurant, Bakery & Coffee shop (Ye Zhu )",https://www.google.com/maps/contrib/103201100051952771967,https://lh5.googleusercontent.com/p/AF1QipN0oaZeifVvaPb6crjk74cDLHwF5wQ6Kt_fCI42=w408-h306-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Ka Pei Dian ",4.2,11:00-23:00,Open All Days,+968 22 420000,"Awshal Restaurant, Bakery & Coffee shop, Muscat, A Man ","Jia Ge , Chuan Shao , Zao Can , Ji Rou , Jing Yan , atmosphere, Chi Dao Bao , Pi Sa , Kong Jian ","https://www.google.com/maps/place/Awshal+Restaurant,+Bakery+%26+Coffee+shop/data=!4m7!3m6!1s0x3e8e010fb827d527:0x56d47d41410e91b7!8m2!3d23.5751456!4d58.2978549!16s%2Fg%2F11pc1tgd33!19sChIJJ9UnuA8Bjj4Rt5EOQUF91FY?authuser=0&hl=zh-TW&rclk=1"
