place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAQAAANE2YRARnG8cG0yNePk,California golden shop,,False,90,"Name: The Splendeur, Hotels & Resorts
link: https://www.google.com/maps/search/The+Splendeur%2C+Hotels+%26+Resorts/@4.0149091,9.149440300000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Quarter 1
link: https://www.google.com/maps/search/Quarter+1/@4.0893051,9.3145854?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Rozzy Palace
link: https://www.google.com/maps/search/Rozzy+Palace/@4.0893051,9.3145854?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Local Motel
link: https://www.google.com/maps/search/Local+Motel/@4.085302800000001,9.3260806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Personal chef
link: https://www.google.com/maps/search/Personal+chef/@4.0880643,9.3121222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://t.me/caligoldenfarrms,California golden shop (Ye Zhu ),https://www.google.com/maps/contrib/111691826310167052314,https://lh5.googleusercontent.com/p/AF1QipNDwhrQ4kpRUKQ3YALOt5BjSIDe5miMBwLyff2a=w427-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,3.1,24 Xiao Shi Ying Ye ,Open All Days,+1 424-269-9353,"California golden shop, Plakini street, Mutengene, Ke Mai Long ",Fang Jian ,https://www.google.com/maps/place/California+golden+shop/data=!4m7!3m6!1s0x106136d100000001:0xf9788d4c1b1c6f9c!8m2!3d4.0933341!4d9.3150192!16s%2Fg%2F11cs4ly3r1!19sChIJAQAAANE2YRARnG8cG0yNePk?authuser=0&hl=zh-TW&rclk=1
ChIJLRuq-tI2YRARbW4XI_oWumc,Timame poultry farm,,False,262,"Name: TOMATO Market
link: https://www.google.com/maps/search/TOMATO+Market/@4.0905686999999995,9.319531699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Const's Poultry
link: https://www.google.com/maps/search/Const%27s+Poultry/@4.0832546999999995,9.3073493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Poutery Farm Limbe
link: https://www.google.com/maps/search/Poutery+Farm+Limbe/@4.0084252,9.2187208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Big Foot Chicken Shop
link: https://www.google.com/maps/search/Big+Foot+Chicken+Shop/@4.1601468,9.2942226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Timame poultry farm (Ye Zhu ),https://www.google.com/maps/contrib/110481769636142046074,https://lh5.googleusercontent.com/p/AF1QipMqLO9-PdBN7TplhmBOQ3PZl0pIBimULRQBsYAZ=w408-h861-k-no,Shi Chang ,Shi Chang ,3.7,09:00-17:00,Xing Qi Ri ,+237 6 79 41 91 51,"Timame poultry farm, Buea, road, Mutengene, Ke Mai Long ","Jia Ge , Shui Guo , Fan Mai , Zu Zhi , Chan Pin , Zhu Hu , Za Huo , Yi Fu ",https://www.google.com/maps/place/Timame+poultry+farm/data=!4m7!3m6!1s0x106136d2faaa1b2d:0x67ba16fa23176e6d!8m2!3d4.0949218!4d9.3139108!16s%2Fg%2F11gbxc854h!19sChIJLRuq-tI2YRARbW4XI_oWumc?authuser=0&hl=zh-TW&rclk=1
ChIJfZ9HlW43YRAR5gWV8vo7v5s,Big Mop Market,,False,41,"Name: Bokwaongo Main Market
link: https://www.google.com/maps/search/Bokwaongo+Main+Market/@4.136381,9.22628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: TOMATO Market
link: https://www.google.com/maps/search/TOMATO+Market/@4.0905686999999995,9.319531699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Likomba Market
link: https://www.google.com/maps/search/Likomba+Market/@4.0899132,9.3468118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: SECTEUR TIKO PHP
link: https://www.google.com/maps/search/SECTEUR+TIKO+PHP/@4.0996353999999995,9.3558211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tiko main market
link: https://www.google.com/maps/search/Tiko+main+market/@4.0632312,9.363707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Big Mop Market (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOJLadkvRhpfqnQ7ngUZc04SA8hMFVq6VJ_pQiZ=w408-h544-k-no,Shi Chang ,Shi Chang ,3.8,,Open All Days,,"38P4+5M3 Big Mop Market, Mutengene, Tiko, Ke Mai Long ",,https://www.google.com/maps/place/Big+Mop+Market/data=!4m7!3m6!1s0x1061376e95479f7d:0x9bbf3bfaf29505e6!8m2!3d4.0853934!4d9.3066675!16s%2Fg%2F11gmcxrc44!19sChIJfZ9HlW43YRAR5gWV8vo7v5s?authuser=0&hl=zh-TW&rclk=1
ChIJY-osOZIxYRARQPtq8tu7lgE,Magic Touch Fresh Ice Cream,,False,16,"Name: Nelly's juice, ice cream and kitchen near you.
link: https://www.google.com/maps/search/Nelly%27s+juice%2C+ice+cream+and+kitchen+near+you./@4.1550994,9.2897119?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: ICE CREAM @ MAGIC TOUCH ICE CREAM
link: https://www.google.com/maps/search/ICE+CREAM+%40+MAGIC+TOUCH+ICE+CREAM/@4.1527071,9.299193599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: MAGIC TOUCH ICE CREAM (UB JUNCTION)
link: https://www.google.com/maps/search/MAGIC+TOUCH+ICE+CREAM+%28UB+JUNCTION%29/@4.1487729,9.299750699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Magic Fingers
link: https://www.google.com/maps/search/Magic+Fingers/@4.1592875,9.2872969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Magic Touch Fresh Ice Cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMGD7aUifwzew0u_U-tNGwz5nQERzbKaCLiWQY8=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,07:30-23:00,Open All Days,+237 6 79 47 87 09,"573R+GH6 Magic Touch Fresh Ice Cream, Buea, Ke Mai Long ",,https://www.google.com/maps/place/Magic+Touch+Fresh+Ice+Cream/data=!4m7!3m6!1s0x10613192392cea63:0x196bbdbf26afb40!8m2!3d4.1537798!4d9.2913851!16s%2Fg%2F11cn9hhc0g!19sChIJY-osOZIxYRARQPtq8tu7lgE?authuser=0&hl=zh-TW&rclk=1
ChIJxcKM6ikxYRARxIybAgqAau8,Coffee Shop,,False,8,"Name: OIC Restaurant
link: https://www.google.com/maps/search/OIC+Restaurant/@4.1550218999999995,9.256689500000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Weg Cafe Buea
link: https://www.google.com/maps/search/Weg+Cafe+Buea/@4.1543241,9.2514057?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Yara Food Mall
link: https://www.google.com/maps/search/Yara+Food+Mall/@4.1537863,9.291355399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: ST's Cafe
link: https://www.google.com/maps/search/ST%27s+Caf%C3%A9/@4.1542553,9.2862029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: J-CAFE
link: https://www.google.com/maps/search/J-CAFE/@4.1559658,9.2632243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/109290054532163008425,https://lh5.googleusercontent.com/p/AF1QipPt-ulZP1Qh0nAzSrY5nMN2iftOrScs0Pv2CA5M=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-20:30,Open All Days,+237 6 51 26 11 03,"Coffee Shop, Opposite linas Molyko Beside Former police station molyko, Buea, Ke Mai Long ",,https://www.google.com/maps/place/Coffee+Shop/data=!4m7!3m6!1s0x10613129ea8cc2c5:0xef6a800a029b8cc4!8m2!3d4.1554521!4d9.2890751!16s%2Fg%2F11fqd_cv4r!19sChIJxcKM6ikxYRARxIybAgqAau8?authuser=0&hl=zh-TW&rclk=1
ChIJDXtkyJ8xYRAR2USNh0kMa3c,TIACCOOP-LIMITED,,False,7,"Name: Sicily
link: https://www.google.com/maps/search/Sicily/@4.0839419999999995,9.3534747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Toristic Snack Bar
link: https://www.google.com/maps/search/Toristic+Snack+Bar/@4.0829946,9.356081999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Back Crystalline
link: https://www.google.com/maps/search/Back+Crystalline/@4.0747827999999995,9.3663322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: AGENCE ENEO DE TIKO. ,PARKING AXE 1
link: https://www.google.com/maps/search/AGENCE+ENEO+DE+TIKO.+%2CPARKING+AXE+1/@4.0786535,9.3590015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Sicile
link: https://www.google.com/maps/search/Sicile/@4.0786535,9.3590015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,TIACCOOP-LIMITED (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNwRtf6WXBggZzQr5Gw3f3X7jeRV6NC7OmgMLOO=w408-h310-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,07:30-16:30,"Xing Qi Liu , Xing Qi Ri ",+237 6 71 11 91 02,"TIACCOOP-LIMITED, miles 14, Dibanda, Tiko, Ke Mai Long ",,https://www.google.com/maps/place/TIACCOOP-LIMITED/data=!4m7!3m6!1s0x1061319fc8647b0d:0x776b0c49878d44d9!8m2!3d4.1217678!4d9.307013!16s%2Fg%2F11n_x1stw9!19sChIJDXtkyJ8xYRAR2USNh0kMa3c?authuser=0&hl=zh-TW&rclk=1
ChIJWWO8WXc1YRARpyTesUWjs_I,Stan Coffee,,False,3,"Name: National Employment Fund
link: https://www.google.com/maps/search/National+Employment+Fund/@4.0162745,9.1906082?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: ALINO'S CAFE & RESTO
link: https://www.google.com/maps/search/ALINO%27S+CAF%C3%89+%26+RESTO/@4.0009302,9.217112199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: StanCoffee
link: https://www.google.com/maps/search/StanCoffee/@4.0185791,9.2151613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Spledour Of Africa Cafe
link: https://www.google.com/maps/search/Spledour+Of+Africa+Cafe/@4.025922899999999,9.209564499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Stan Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPLTeWMI007SpTc34a9vfObe8onyMKhJAJyxC83=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,5,08:30-21:30,Open All Days,+237 6 70 02 52 58,"25CW+X5M Stan Coffee, Manga Williams Ave, Limbe, Ke Mai Long ",,https://www.google.com/maps/place/Stan+Coffee/data=!4m7!3m6!1s0x1061357759bc6359:0xf2b3a345b1de24a7!8m2!3d4.02246!4d9.1954157!16s%2Fg%2F11fctmyg_w!19sChIJWWO8WXc1YRARpyTesUWjs_I?authuser=0&hl=zh-TW&rclk=1
ChIJSb6e-QM1YRARJzly0r4stwk,StanCoffee,,False,3,"Name: Area Code Bar
link: https://www.google.com/maps/search/Area+Code+Bar/@4.007790300000001,9.208625999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Bamboo Bar Busumbu
link: https://www.google.com/maps/search/Bamboo+Bar+Busumbu/@4.0420014,9.2105334?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: SABUC WINE SHOP
link: https://www.google.com/maps/search/SABUC+WINE+SHOP/@4.0100542,9.206803299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Stan Coffee
link: https://www.google.com/maps/search/Stan+Coffee/@4.02246,9.1954157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,StanCoffee (Ye Zhu ),https://www.google.com/maps/contrib/104316201032625638001,https://lh5.googleusercontent.com/p/AF1QipNGsaIEDGZU20vG-wPjgiVbolaqacVkfYY-ij2A=w408-h544-k-no,Ji Wei Jiu Jiu Ba ,Ji Wei Jiu Jiu Ba ,4,,Open All Days,+237 6 73 36 52 96,"StanCoffee, Weledji Easte, Limbe, Ke Mai Long ",,https://www.google.com/maps/place/StanCoffee/data=!4m7!3m6!1s0x10613503f99ebe49:0x9b72cbed2723927!8m2!3d4.0185791!4d9.2151613!16s%2Fg%2F11fjstwdz3!19sChIJSb6e-QM1YRARJzly0r4stwk?authuser=0&hl=zh-TW&rclk=1
ChIJszF5cEQ3YRARpQ0XblyjnAA,Odara & Ada convenience store,,False,2,"Name: Madika
link: https://www.google.com/maps/search/Madika/@4.0381135,9.6870218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: DAMA SHOP DISTRIBUTION
link: https://www.google.com/maps/search/DAMA+SHOP+DISTRIBUTION/@4.0470868,9.713376499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Javino Word wide
link: https://www.google.com/maps/search/Javino+Word+wide/@4.0090967,9.7270577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Chez HAMADOU
link: https://www.google.com/maps/search/Chez+HAMADOU/@4.0658363,9.709709199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Marha
link: https://www.google.com/maps/search/Marha/@4.0370751,9.6883518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Odara & Ada convenience store (Ye Zhu ),,,Bian Li Dian ,Bian Li Dian ,2.5,,Open All Days,,"38P7+72H Odara & Ada convenience store, Mutengene, Ke Mai Long ",,https://www.google.com/maps/place/Odara+%26+Ada+convenience+store/data=!4m7!3m6!1s0x10613744707931b3:0x9ca35c6e170da5!8m2!3d4.0856991!4d9.3126149!16s%2Fg%2F11rlzj908q!19sChIJszF5cEQ3YRARpQ0XblyjnAA?authuser=0&hl=zh-TW&rclk=1
ChIJo3TO5qMTYRARPj8UidQ1Tqg,Cafe MOHAMED,,False,2,"Name: Cafe Hassan, Mabanda
link: https://www.google.com/maps/search/Caf%C3%A9+Hassan%2C+Mabanda/@4.0686135,9.6566014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Spar Cafe
link: https://www.google.com/maps/search/Spar+Caf%C3%A9/@4.0776927,9.6508559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Chez EBONGUE
link: https://www.google.com/maps/search/Chez+EBONGUE/@4.0822166,9.6773741?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: MIMIDO resto
link: https://www.google.com/maps/search/MIMIDO+resto/@4.0776927,9.6508559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe MOHAMED (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPwidezicLAfZJwYRYF-lIHWQzEaf5iuRD9Z1VM=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,3.5,,Open All Days,,"3MR4+C7M Cafe MOHAMED, Bonaberi, Ke Mai Long ",,https://www.google.com/maps/place/Cafe+MOHAMED/data=!4m7!3m6!1s0x106113a3e6ce74a3:0xa84e35d489143f3e!8m2!3d4.0910842!4d9.6556792!16s%2Fg%2F11k3xtwj3b!19sChIJo3TO5qMTYRARPj8UidQ1Tqg?authuser=0&hl=zh-TW&rclk=1
