place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpRDb2ryf3TARi5N4VO1IjSg,This is a book. coffee and library bar,,False,108,"Name: Charmuang
link: https://www.google.com/maps/search/Charmuang/@16.729388999999998,98.5704306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 408 reviews

Name: Baan Phim Coffee Shop
link: https://www.google.com/maps/search/Baan+Phim+Coffee+Shop/@16.7182471,98.5853059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Braverly - Cafe
link: https://www.google.com/maps/search/Braverly+-+Cafe/@16.7129492,98.5602047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Alisa Cafe
link: https://www.google.com/maps/search/Alisa+Cafe/@16.6918629,98.5195402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.facebook.com/thisisabook.coffeeandlibrarybar,This is a book. coffee and library bar (Ye Zhu ),https://www.google.com/maps/contrib/102031108136424233002,https://lh5.googleusercontent.com/p/AF1QipPZe0biD561V4FBg_-vzWdMGM14qvbbupot4eE=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,10:00-17:00,Xing Qi San ,+66 64 070 9978,"This is a book. coffee and library bar, 123 hmuu4 hmuubaanwangtaekhiiyn Tha Sai Luat, Mae Sot District, Tak 63110Tai Guo ","atmosphere, Yu , Yue Du , Kou Wei , Zi Ran ",https://www.google.com/maps/place/This+is+a+book.+coffee+and+library+bar/data=!4m7!3m6!1s0x30dd9fbcdadb10a5:0x288d48ed5478938b!8m2!3d16.7092667!4d98.5163584!16s%2Fg%2F11clytpdkz!19sChIJpRDb2ryf3TARi5N4VO1IjSg?authuser=0&hl=zh-TW&rclk=1
ChIJ67NNWLuf3TARR0H3X0MpFaI,Giveandtake Cafe House,,False,42,"Name: Sunday Morning Cafe
link: https://www.google.com/maps/search/Sunday+Morning+Caf%C3%A9/@16.7123024,98.5707534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Coffee Dezign
link: https://www.google.com/maps/search/Coffee+Dezign/@16.7186733,98.58970389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Move on
link: https://www.google.com/maps/search/Move+on/@16.7154439,98.5724929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: ``ngt`ngkh`ffiiehaas
link: https://www.google.com/maps/search/%E0%B8%AD%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%AD%E0%B8%9F%E0%B8%9F%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%AE%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B9%8C/@16.7188451,98.5730626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: THE RICH Cafe & Bistro
link: https://www.google.com/maps/search/THE+RICH+Cafe+%26+Bistro/@16.7228413,98.5795378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://www.facebook.com/giveandtakecafehouse/,Giveandtake Cafe House (Ye Zhu ),https://www.google.com/maps/contrib/103970963488577747771,https://lh5.googleusercontent.com/p/AF1QipPmu2dDrRbEngHp6KDuJLQTjjZO_xz9WcCxdWGj=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-17:00,Xing Qi Yi ,+66 63 246 1946,"Giveandtake Cafe House 354 hmuu 7 Tha Sai Luat, Mae Sot District, Tak 63110Tai Guo ",atmosphere,https://www.google.com/maps/place/Giveandtake+Cafe+House/data=!4m7!3m6!1s0x30dd9fbb584db3eb:0xa21529435ff74147!8m2!3d16.719783!4d98.5005664!16s%2Fg%2F11h7fnfpwq!19sChIJ67NNWLuf3TARR0H3X0MpFaI?authuser=0&hl=zh-TW&rclk=1
ChIJiwdWoeyf3TARoo1OIFKlBqM,K2 Ice cream & Cold drinks,,False,23,"Name: ICE Restaurant
link: https://www.google.com/maps/search/ICE+Restaurant/@16.684573699999998,98.4972815?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: M2 Cool Drink & Eatery
link: https://www.google.com/maps/search/M2+Cool+Drink+%26+Eatery/@16.6884895,98.50982169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: For You - Cold, Drink & Food
link: https://www.google.com/maps/search/For+You+-+Cold%2C+Drink+%26+Food/@16.6900364,98.5040854?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: ANGLE mun:chiung
link: https://www.google.com/maps/search/ANGLE+%E1%80%99%E1%80%AF%E1%80%94%E1%80%BA%E1%80%B8%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@16.6888845,98.5072745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: keaang:thiuk mnmaamun'miuu:cuN
link: https://www.google.com/maps/search/%E1%80%80%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%B8%E1%80%91%E1%80%AD%E1%80%AF%E1%80%80%E1%80%BA+%E1%80%99%E1%80%BC%E1%80%94%E1%80%BA%E1%80%99%E1%80%AC%E1%80%99%E1%80%AF%E1%80%94%E1%80%B7%E1%80%BA%E1%80%99%E1%80%BB%E1%80%AD%E1%80%B0%E1%80%B8%E1%80%85%E1%80%AF%E1%80%B6/@16.688966,98.50696549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100064366291251,K2 Ice cream & Cold drinks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNI3cbil5E4sI_pIOHrrReDjPJVK2BpT7YGjoUk=w408-h725-k-no,Xue Gao Dian ,Xue Gao Dian ,4.3,08:00-20:00,Open All Days,+95 9 42978 2249,"MFQX+C9P K2 Ice cream & Cold drinks, Chit kyi yae street, Myawaddy, Mian Dian ",,https://www.google.com/maps/place/K2+Ice+cream+%26+Cold+drinks/data=!4m7!3m6!1s0x30dd9feca156078b:0xa306a552204e8da2!8m2!3d16.6885912!4d98.4984518!16s%2Fg%2F11rf6nkj6w!19sChIJiwdWoeyf3TARoo1OIFKlBqM?authuser=0&hl=zh-TW&rclk=1
ChIJ-ecv3waf3TARyLVh02kmwFE,Cafe Amazon MWD 3,,False,10,"Name: Myatwaddy Cafe
link: https://www.google.com/maps/search/Myatwaddy+Cafe/@16.689285299999998,98.50568129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Myat Noe Thu
link: https://www.google.com/maps/search/Myat+Noe+Thu/@16.6866032,98.4983872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: MWD Cafe
link: https://www.google.com/maps/search/MWD+Caf%C3%A9/@16.6868281,98.5018486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Shwe La Min Cafe
link: https://www.google.com/maps/search/Shwe+La+Min+Cafe/@16.6889693,98.5111136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/cafeamazonmyanmar/,Cafe Amazon MWD 3 (Ye Zhu ),https://www.google.com/maps/contrib/111098447642051767574,https://lh5.googleusercontent.com/p/AF1QipPo4WmV0yuP9Eoh-0ceyy-wz-ZTRmxYRKyRwdXP=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,09:00-16:30,Open All Days,+95 9 44888 8365,"Cafe Amazon MWD 3, Asia Road, Myawaddy, Mian Dian ",,https://www.google.com/maps/place/Caf%C3%A9+Amazon+MWD+3/data=!4m7!3m6!1s0x30dd9f06df2fe7f9:0x51c02669d361b5c8!8m2!3d16.68635!4d98.4974353!16s%2Fg%2F11pckt6qht!19sChIJ-ecv3waf3TARyLVh02kmwFE?authuser=0&hl=zh-TW&rclk=1
ChIJobUgyyOf3TARb65fQSb-k1k,Wake Up Bakery & Coffee,,False,6,"Name: Heart Made cake&cups
link: https://www.google.com/maps/search/Heart+Made+cake%26cups/@16.7191661,98.5928469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Chaunchom coffee 3 (Baan wang)
link: https://www.google.com/maps/search/Chaunchom+coffee+3+%28Baan+wang%29/@16.7077207,98.5146541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Wake Up
link: https://www.google.com/maps/search/Wake+Up/@16.6973497,98.5306051?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: K Bike Coffee
link: https://www.google.com/maps/search/K+Bike+Coffee/@16.7148111,98.5774648?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Wake Up Coffee @ B2 Mae Sot
link: https://www.google.com/maps/search/Wake+Up+Coffee+%40+B2+Mae+Sot/@16.7269652,98.5579453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://m.facebook.com/wakeupbyHiang/,Wake Up Bakery & Coffee (Ye Zhu ),https://www.google.com/maps/contrib/109415022127371036593,https://lh5.googleusercontent.com/p/AF1QipM8CW3_T8yt0Tlp0D9CzMp5vxz_Hbms9Yz5V01o=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,10:30-18:00,Open All Days,+66 81 783 2307,"Wake Up Bakery & Coffee 185 kmuu 2 thnn thaanghlwngsaaye`echiiyhmaayelkh 2, Tha Sai Luat, Mae Sot District, Tak 63110Tai Guo ",,https://www.google.com/maps/place/Wake+Up+Bakery+%26+Coffee/data=!4m7!3m6!1s0x30dd9f23cb20b5a1:0x5993fe26415fae6f!8m2!3d16.6938573!4d98.522553!16s%2Fg%2F11f5fbbvs3!19sChIJobUgyyOf3TARb65fQSb-k1k?authuser=0&hl=zh-TW&rclk=1
ChIJmeenhhmj3TAR5Fp7Hw0BPdw,Do mun tam cafe.,,False,2,"Name: raankaaaef`emch`n ptth.rimemy
link: https://www.google.com/maps/search/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F%E0%B8%AD%E0%B9%80%E0%B8%A1%E0%B8%8B%E0%B8%AD%E0%B8%99+%E0%B8%9B%E0%B8%95%E0%B8%97.%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%A2/@16.700205999999998,98.5369788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: kh`ffiirimemy
link: https://www.google.com/maps/search/%E0%B8%84%E0%B8%AD%E0%B8%9F%E0%B8%9F%E0%B8%B5%E0%B9%88%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%A2/@16.692279199999998,98.5196964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: hlbmum
link: https://www.google.com/maps/search/%E0%B8%AB%E0%B8%A5%E0%B8%9A%E0%B8%A1%E0%B8%B8%E0%B8%A1/@16.762507,98.585312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: lamunchaa khaaef
link: https://www.google.com/maps/search/%E0%B8%A5%E0%B8%B0%E0%B8%A1%E0%B8%B8%E0%B8%99%E0%B8%8A%E0%B8%B2+%E0%B8%84%E0%B8%B2%E0%B9%80%E0%B8%9F%E0%B9%88/@16.6629041,98.5972996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: raanchaa & kaaaef namemy
link: https://www.google.com/maps/search/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%8A%E0%B8%B2+%26+%E0%B8%81%E0%B8%B2%E0%B9%81%E0%B8%9F+%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%A1%E0%B8%A2/@16.6969899,98.5284327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Do-mun-tam-cafe-105159091814253/,Do mun tam cafe. (Ye Zhu ),https://www.google.com/maps/contrib/106699329758662391071,https://lh5.googleusercontent.com/p/AF1QipPscho-rQoh5u9mJaB3ditc0l8ybn5lM7nj7w0v=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,5,06:00-16:00,Open All Days,+66 61 364 2942,"Do mun tam cafe. tlaadrimemy chumthii 29 Tha Sai Luat, Mae Sot District, Tak 63110Tai Guo ",,https://www.google.com/maps/place/Do+mun+tam+cafe./data=!4m7!3m6!1s0x30dda31986a7e799:0xdc3d010d1f7b5ae4!8m2!3d16.6919304!4d98.5177935!16s%2Fg%2F11p5rff835!19sChIJmeenhhmj3TAR5Fp7Hw0BPdw?authuser=0&hl=zh-TW&rclk=1
ChIJK3PYnbSf3TARVXb5wqeYYcM,528 Tea & Coffee Shop - TrueMoney,,False,,"Name: CURRN EXCHANG
link: https://www.google.com/maps/search/CURRN+EXCHANG/@16.6885931,98.51227259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: TKH money transfer service
link: https://www.google.com/maps/search/TKH+money+transfer+service/@16.6842686,98.500672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: cngemiu:
link: https://www.google.com/maps/search/%E1%80%85%E1%80%84%E1%80%BD%E1%80%B1%E1%80%99%E1%80%AD%E1%80%AF%E1%80%B8/@16.6746332,98.50368809999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://truemoney.com.mm/,528 Tea & Coffee Shop - TrueMoney (Ye Zhu ),https://www.google.com/maps/contrib/114795788658092212945,,Hui Kuan Fu Wu ,Hui Kuan Fu Wu ,,,Open All Days,+95 1 230 5360,"528 Tea & Coffee Shop - TrueMoney, Padamyar St,No.2,Myawaddy Tsp., Myawaddy, Mian Dian ",,https://www.google.com/maps/place/528+Tea+%26+Coffee+Shop+-+TrueMoney/data=!4m7!3m6!1s0x30dd9fb49dd8732b:0xc36198a7c2f97655!8m2!3d16.6914464!4d98.5116279!16s%2Fg%2F11fx9gzwlv!19sChIJK3PYnbSf3TARVXb5wqeYYcM?authuser=0&hl=zh-TW&rclk=1
ChIJO1s4UDWe3TARv72uESUssf8,Myatwaddy Cafe,,False,127,"Name: MWD Cafe
link: https://www.google.com/maps/search/MWD+Caf%C3%A9/@16.6868281,98.5018486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Shwe Lumaw Bakery & Coffee
link: https://www.google.com/maps/search/Shwe+Lumaw+Bakery+%26+Coffee/@16.6865395,98.49376939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: rekukkiulklkrnnychiung
link: https://www.google.com/maps/search/%E1%80%9B%E1%80%BD%E1%80%BE%E1%80%B1%E1%80%80%E1%80%AF%E1%80%80%E1%80%B9%E1%80%80%E1%80%AD%E1%80%AF%E1%80%9C%E1%80%80%E1%80%BA%E1%80%9C%E1%80%80%E1%80%BA%E1%80%9B%E1%80%8A%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@16.6889762,98.5048764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: cim'(caa:phycuN)
link: https://www.google.com/maps/search/%E1%80%85%E1%80%AD%E1%80%99%E1%80%BA%E1%80%B7%28%E1%80%85%E1%80%AC%E1%80%B8%E1%80%96%E1%80%BD%E1%80%9A%E1%80%BA%E1%80%85%E1%80%AF%E1%80%B6%29/@16.6886761,98.5053058?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: rnkunchnputtnng'khekchaikeaachiung
link: https://www.google.com/maps/search/%E1%80%9B%E1%80%94%E1%80%BA%E1%80%80%E1%80%AF%E1%80%94%E1%80%BA%E1%80%86%E1%80%94%E1%80%BA%E1%80%95%E1%80%BC%E1%80%AF%E1%80%90%E1%80%BA%E1%80%94%E1%80%BE%E1%80%84%E1%80%B7%E1%80%BA%E1%80%81%E1%80%B1%E1%80%AB%E1%80%80%E1%80%BA%E1%80%86%E1%80%BD%E1%80%B2%E1%80%80%E1%80%BB%E1%80%B1%E1%80%AC%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@16.6884347,98.50785379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Myatwaddy Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPtxmVw4ViPnlE6EZs9sQbaZfnJwwz-rlSDbB1v=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,04:00-22:00,Open All Days,,"MGQ4+P77 Myatwaddy Cafe, Myawaddy, Mian Dian ",Cha Dian ,https://www.google.com/maps/place/Myatwaddy+Cafe/data=!4m7!3m6!1s0x30dd9e3550385b3b:0xffb12c2511aebdbf!8m2!3d16.6892853!4d98.5056813!16s%2Fg%2F11c5szrjxq!19sChIJO1s4UDWe3TARv72uESUssf8?authuser=0&hl=zh-TW&rclk=1
ChIJGzOtzrKf3TARnbxoNaph7Vs,River View Resturant,,False,118,"Name: Good To Go restaurant
link: https://www.google.com/maps/search/Good+To+Go+restaurant/@16.6858386,98.4853442?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: ckittkng: saa:kii:
link: https://www.google.com/maps/search/%E1%80%85%E1%80%80%E1%80%AD%E1%80%90%E1%80%BA%E1%80%80%E1%80%BD%E1%80%84%E1%80%BA%E1%80%B8+%E1%80%9E%E1%80%AC%E1%80%B8%E1%80%80%E1%80%BC%E1%80%AE%E1%80%B8/@16.6826711,98.5015889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Shwe Myawaddy ( Halal Restaurant )
link: https://www.google.com/maps/search/Shwe+Myawaddy+%28+Halal+Restaurant+%29/@16.690784,98.5136151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Arian Restaurant Fresh seafood & B.B.Q
link: https://www.google.com/maps/search/Arian+Restaurant+Fresh+seafood+%26+B.B.Q/@16.685952099999998,98.5083148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: cim'(caa:phycuN)
link: https://www.google.com/maps/search/%E1%80%85%E1%80%AD%E1%80%99%E1%80%BA%E1%80%B7%28%E1%80%85%E1%80%AC%E1%80%B8%E1%80%96%E1%80%BD%E1%80%9A%E1%80%BA%E1%80%85%E1%80%AF%E1%80%B6%29/@16.6886761,98.5053058?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,River View Resturant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMtmehgHlOCvmFEIStPGHnPhUx4Uq8L1373-1HY=w425-h240-k-no,Can Ting ,Can Ting ,3.7,08:00-23:00,Open All Days,+95 58 51 061,"MGR8+26H River View Resturant, Myawaddy, Mian Dian ","Jia Ge , Qiao , Pi Jiu ",https://www.google.com/maps/place/River+View+Resturant/data=!4m7!3m6!1s0x30dd9fb2cead331b:0x5bed61aa3568bc9d!8m2!3d16.6900622!4d98.5156155!16s%2Fg%2F11c2jb6p9y!19sChIJGzOtzrKf3TARnbxoNaph7Vs?authuser=0&hl=zh-TW&rclk=1
ChIJ3UNcE8-f3TARjh_g7_PYQhA,Klang 9 Cafe,,False,74,"Name: TEA HOUSE AND COFFEE BAR
link: https://www.google.com/maps/search/TEA+HOUSE+AND+COFFEE+BAR/@16.72128,98.5653552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: 9&9 coffee house
link: https://www.google.com/maps/search/9%269+coffee+house/@16.7877771,98.5915196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: ekaaophchnaa
link: https://www.google.com/maps/search/%E0%B9%80%E0%B8%81%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%A0%E0%B8%8A%E0%B8%99%E0%B8%B2/@16.7124646,98.5806619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: raan ekaa ophchnaa
link: https://www.google.com/maps/search/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99+%E0%B9%80%E0%B8%81%E0%B9%89%E0%B8%B2+%E0%B9%82%E0%B8%A0%E0%B8%8A%E0%B8%99%E0%B8%B2/@16.7159855,98.5686351?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Klang 9 Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZkQePrixc-88x0uRrnCFh4x520YdCJvx9B0Pu=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,09:00-17:00,Open All Days,,"PF2X+5H7 Klang 9 Cafe, Unnamed Road, Tha Sai Luat, Mae Sot District, Tak 63110Tai Guo ",,https://www.google.com/maps/place/Klang+9+Cafe/data=!4m7!3m6!1s0x30dd9fcf135c43dd:0x1042d8f3efe01f8e!8m2!3d16.700404!4d98.4989205!16s%2Fg%2F11c5rqwqm1!19sChIJ3UNcE8-f3TARjh_g7_PYQhA?authuser=0&hl=zh-TW&rclk=1
