place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlTphlrsWEEcRH1GxRQpfz9A,Kaufland Namyslow,,False,1610,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@51.0758,17.72476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1084 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@51.075496099999995,17.7200116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: KiK Textil Sp. z o. o.
link: https://www.google.com/maps/search/KiK+Textil+Sp.+z+o.+o./@51.0776767,17.724841599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Cukiernia Kawiarnia Godyla
link: https://www.google.com/maps/search/Cukiernia+Kawiarnia+Godyla/@51.0776799,17.723150999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Apteka Dr.Max
link: https://www.google.com/maps/search/Apteka+Dr.Max/@51.077664,17.7236829?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.kaufland.pl/?cid=F19054B02C1200K01000W01030000,Kaufland Namyslow (Ye Zhu ),https://www.google.com/maps/contrib/107040754800556456129,https://lh5.googleusercontent.com/p/AF1QipMVriQxpnWd1TN0tcPpZlnFbt0gK86Ryg65P6Uc=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,06:00-00:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 800 300 062,"Kaufland Namyslow, gen. Sikorskiego 12, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Kaufland+Namys%C5%82%C3%B3w/data=!4m7!3m6!1s0x471016bb96613a95:0xd0cf5f0a45b1511f!8m2!3d51.0776677!4d17.7235982!16s%2Fg%2F1tdd3_bl!19sChIJlTphlrsWEEcRH1GxRQpfz9A?authuser=0&hl=zh-TW&rclk=1
ChIJQ-YbiKMWEEcRe0ZaQjY5b0g,Lidl,,False,1084,"Name: Kaufland Namyslow
link: https://www.google.com/maps/search/Kaufland+Namys%C5%82%C3%B3w/@51.0776677,17.723598199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1610 reviews

Name: Intermarche. Supermarket
link: https://www.google.com/maps/search/Intermarche.+Supermarket/@51.0745764,17.725081199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@51.075496099999995,17.7200116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Sklep Listewka
link: https://www.google.com/maps/search/Sklep+Listewka/@51.071044199999996,17.717302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/112188812012188804290,https://lh5.googleusercontent.com/p/AF1QipP69QTDXgbQujGNFTV2HWdh8M64kT_d13HAVGyW=w408-h308-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.3,06:00-23:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 61 880 30 00,"Lidl, Bohaterow Warszawy 17, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x471016a3881be643:0x486f3936425a467b!8m2!3d51.0758!4d17.72476!16s%2Fg%2F1tr8k90d!19sChIJQ-YbiKMWEEcRe0ZaQjY5b0g?authuser=0&hl=zh-TW&rclk=1
ChIJKXethJgWEEcRJPpeNGM1n8E,Biedronka,,False,832,"Name: Kaufland Namyslow
link: https://www.google.com/maps/search/Kaufland+Namys%C5%82%C3%B3w/@51.0776677,17.723598199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1610 reviews

Name: Intermarche. Supermarket
link: https://www.google.com/maps/search/Intermarche.+Supermarket/@51.0745764,17.725081199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: POLOmarket
link: https://www.google.com/maps/search/POLOmarket/@51.075255899999995,17.7077083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@51.072128899999996,17.7210721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: ABC Grocery Store
link: https://www.google.com/maps/search/ABC+Grocery+Store/@51.073263999999995,17.710686499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/118014332745678754900,https://lh5.googleusercontent.com/p/AF1QipP52q4fmOow8Bzc5DkHNzpmEsz8yEENR9gZ_csA=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.2,06:00-23:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 800 080 010,"Biedronka, Stawowa 1A, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4710169884ad7729:0xc19f3563345efa24!8m2!3d51.0717249!4d17.7229371!16s%2Fg%2F1tf5jc75!19sChIJKXethJgWEEcRJPpeNGM1n8E?authuser=0&hl=zh-TW&rclk=1
ChIJGefQjqMWEEcR8px05kq9ilk,Bricomarche,,False,634,"Name: Majster S.A. Namyslow
link: https://www.google.com/maps/search/Majster+S.A.+Namys%C5%82%C3%B3w/@51.0736184,17.754994099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 420 reviews

Name: Intermarche. Supermarket
link: https://www.google.com/maps/search/Intermarche.+Supermarket/@51.0745764,17.725081199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: Materialy budowlane Pszczolka ,,Czyzowicz""
link: https://www.google.com/maps/search/Materia%C5%82y+budowlane+Pszcz%C3%B3%C5%82ka+%E2%80%9ECzy%C5%BCowicz%E2%80%9D/@51.0730484,17.722683399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Sklep Meblowy
link: https://www.google.com/maps/search/Sklep+Meblowy/@51.016836,17.754338000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.bricomarche.pl/%3FposId%3D101,Bricomarche (Ye Zhu ),https://www.google.com/maps/contrib/116592009371803978400,https://lh5.googleusercontent.com/p/AF1QipOIHDicirysscBzal5du9TBOqxTz72xPkXgOZLT=w426-h240-k-no,Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang ,"Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cai Shang Dian , Shi Zhuang Ji Pei Shi Dian , Yuan Yi Dian ",4.2,07:00-20:00,Xing Qi Ri ,+48 77 419 07 00,"Bricomarche, Bohaterow Warszawy 20B, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Bricomarch%C3%A9/data=!4m7!3m6!1s0x471016a38ed0e719:0x598abd4ae6749cf2!8m2!3d51.0745471!4d17.7256133!16s%2Fg%2F1vtzfyqc!19sChIJGefQjqMWEEcR8px05kq9ilk?authuser=0&hl=zh-TW&rclk=1
ChIJ29UiVZUWEEcRdgbAoDqHgNk,Biedronka,,False,618,"Name: POLOmarket
link: https://www.google.com/maps/search/POLOmarket/@51.075255899999995,17.7077083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@51.072128899999996,17.7210721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: ABC market
link: https://www.google.com/maps/search/ABC+market/@51.075359899999995,17.733213?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: ABC Grocery Store
link: https://www.google.com/maps/search/ABC+Grocery+Store/@51.073263999999995,17.710686499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Lewiatan
link: https://www.google.com/maps/search/Lewiatan/@51.0777497,17.699206399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/101671980489921984829,https://lh5.googleusercontent.com/p/AF1QipOk0qrr53SJIsqiDwxeAW2HefWe3ztSTXS7Q4NH=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.2,06:00-23:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 800 080 010,"Biedronka, Olawska 30a, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x471016955522d5db:0xd980873aa0c00676!8m2!3d51.0735449!4d17.7029989!16s%2Fg%2F11b5wl8zzw!19sChIJ29UiVZUWEEcRdgbAoDqHgNk?authuser=0&hl=zh-TW&rclk=1
ChIJeTbwiKQWEEcRxxIjux-x_nM,EL BURRO BURGER,,False,605,"Name: Creperie - French pancakes
link: https://www.google.com/maps/search/Creperie+-+French+pancakes/@51.0770657,17.718372199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 595 reviews

Name: Pizza&Pub Marcel
link: https://www.google.com/maps/search/Pizza%26Pub+Marcel/@51.0759979,17.7254078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Kurcze Namyslow - Pub Retro
link: https://www.google.com/maps/search/Kurcze+Namys%C5%82%C3%B3w+-+Pub+Retro/@51.0740639,17.7228136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: KEBAB MARK
link: https://www.google.com/maps/search/KEBAB+MARK/@51.075515599999996,17.724998199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: Pierogi Domowe
link: https://www.google.com/maps/search/Pierogi+Domowe/@51.0759109,17.7214599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews",http://www.elburro.pl/,EL BURRO BURGER (Ye Zhu ),https://www.google.com/maps/contrib/100283055762578143781,https://lh5.googleusercontent.com/p/AF1QipNhtVZ9XJtNCk066f55UFGtNJ7_D6KezabIPJID=w408-h271-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Kuai Can Dian , Guo Zhi Dian , Zhong Da Xi Yang Can Ting  (Mei Guo )",4.6,11:00-21:00,Open All Days,+48 669 922 733,"EL BURRO BURGER, Bohaterow Warszawy 17B/3, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/EL+BURRO+BURGER/data=!4m7!3m6!1s0x471016a488f03679:0x73feb11fbb2312c7!8m2!3d51.076785!4d17.724696!16s%2Fg%2F11cly9sxsc!19sChIJeTbwiKQWEEcRxxIjux-x_nM?authuser=0&hl=zh-TW&rclk=1
ChIJJ_HYYrsWEEcRRRYhmCHYUbY,Creperie - French pancakes,,False,595,"Name: Cafe Stefanek.
link: https://www.google.com/maps/search/Cafe+Stefanek./@51.0767843,17.7165724?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Makaroniarnia Marcel
link: https://www.google.com/maps/search/Makaroniarnia+Marcel/@51.0764551,17.7158151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews

Name: Rodzinka Cafe Kawiarnia Przyjazna Dzieciom
link: https://www.google.com/maps/search/Rodzinka+Cafe+Kawiarnia+Przyjazna+Dzieciom/@51.0763585,17.7166678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: Pierogi Domowe
link: https://www.google.com/maps/search/Pierogi+Domowe/@51.0759109,17.7214599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews",http://www.creperie.pl/,Creperie - French pancakes (Ye Zhu ),https://www.google.com/maps/contrib/113209689619269411313,https://lh5.googleusercontent.com/p/AF1QipOtc4ufO6gwwWokBvXycllIlGhupoMndecjCDKE=w408-h306-k-no,Can Ting ,Can Ting ,4.9,12:00-19:00,Xing Qi Ri ,+48 77 546 74 68,"Creperie - French pancakes, Staszica 2, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Creperie+-+French+pancakes/data=!4m7!3m6!1s0x471016bb62d8f127:0xb651d82198211645!8m2!3d51.0770657!4d17.7183722!16s%2Fg%2F1tnpjqyp!19sChIJJ_HYYrsWEEcRRRYhmCHYUbY?authuser=0&hl=zh-TW&rclk=1
ChIJx6lnfLwWEEcRiPjHOsniknE,Cafe Stefanek.,,False,464,"Name: Creperie - French pancakes
link: https://www.google.com/maps/search/Creperie+-+French+pancakes/@51.0770657,17.718372199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 595 reviews

Name: Rodzinka Cafe Kawiarnia Przyjazna Dzieciom
link: https://www.google.com/maps/search/Rodzinka+Cafe+Kawiarnia+Przyjazna+Dzieciom/@51.0763585,17.7166678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: Grupa Stefanek
link: https://www.google.com/maps/search/Grupa+Stefanek/@51.0758556,17.725478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Delicje. Kawiarnia. Pater M.
link: https://www.google.com/maps/search/Delicje.+Kawiarnia.+Pater+M./@51.073619,17.708084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.facebook.com/cafe.stefanek,Cafe Stefanek. (Ye Zhu ),https://www.google.com/maps/contrib/108718923097044085314,https://lh5.googleusercontent.com/p/AF1QipObpZX1LUslC4jKKAbd8t3p8huPAlvl_MYXjJcs=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Can Ting ",4.3,10:00-18:00,Open All Days,+48 732 730 780,"Cafe Stefanek., Rynek, plyta, 46-100 Namyslow, Bo Lan ",Pi Jiu ,https://www.google.com/maps/place/Cafe+Stefanek./data=!4m7!3m6!1s0x471016bc7c67a9c7:0x7192e2c93ac7f888!8m2!3d51.0767843!4d17.7165724!16s%2Fg%2F11f6yydcmn!19sChIJx6lnfLwWEEcRiPjHOsniknE?authuser=0&hl=zh-TW&rclk=1
ChIJrXjxiKMWEEcRpPf7uylKjfs,Petrol Station ORLEN,,False,460,"Name: Pieprzyk
link: https://www.google.com/maps/search/Pieprzyk/@51.071037499999996,17.7248226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: LPG - Namyslow
link: https://www.google.com/maps/search/LPG+-+Namys%C5%82%C3%B3w/@51.0765524,17.747772899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: myjnia 24 h
link: https://www.google.com/maps/search/myjnia+24+h/@51.0847981,17.7070544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: ORLEN Paczka Automat Paczkowy
link: https://www.google.com/maps/search/ORLEN+Paczka+Automat+Paczkowy/@51.0755,17.724899999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.orlen.pl/pl/dla-ciebie%3Futm_source%3Dgoogle%26utm_medium%3Dmaps%26utm_campaign%3Dmaps_web_url,Petrol Station ORLEN (Ye Zhu ),https://www.google.com/maps/contrib/100526949200148014576,https://lh5.googleusercontent.com/p/AF1QipPAtwTzLRxz8FrOnKf3dhHVHeu2pXdBW_cLuEJj=w442-h240-k-no,You Zhan ,"You Zhan , Za Huo Dian ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+48 24 256 40 83,"Petrol Station ORLEN, Bohaterow Warszawy 18, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Petrol+Station+ORLEN/data=!4m7!3m6!1s0x471016a388f178ad:0xfb8d4a29bbfbf7a4!8m2!3d51.0754062!4d17.7247214!16s%2Fg%2F11bwg42cty!19sChIJrXjxiKMWEEcRpPf7uylKjfs?authuser=0&hl=zh-TW&rclk=1
ChIJd7voQdwXEEcRGPvNoQWYRNg,Makaroniarnia Marcel,,False,358,"Name: Pizza&Pub Marcel
link: https://www.google.com/maps/search/Pizza%26Pub+Marcel/@51.0759979,17.7254078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Fantazja Smaku
link: https://www.google.com/maps/search/Fantazja+Smaku/@51.0756702,17.729093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: Pierogi Domowe
link: https://www.google.com/maps/search/Pierogi+Domowe/@51.0759109,17.7214599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: Domowe Smaki
link: https://www.google.com/maps/search/Domowe+Smaki/@51.075532599999995,17.7242276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 96 reviews",https://www.makaroniarniamarcel.pl/,Makaroniarnia Marcel (Ye Zhu ),https://www.google.com/maps/contrib/116803701368756688994,https://lh5.googleusercontent.com/p/AF1QipOWMVEPZI4RrurRdh0JkhKfZI3pCiZJ-di9_9oO=w426-h240-k-no,Can Ting ,"Can Ting , Yi Da Li Can Ting ",4.6,12:00-20:00,Open All Days,+48 694 880 732,"Makaroniarnia Marcel, 3 Maja 1, 46-100 Namyslow, Bo Lan ",,https://www.google.com/maps/place/Makaroniarnia+Marcel/data=!4m7!3m6!1s0x471017dc41e8bb77:0xd8449805a1cdfb18!8m2!3d51.0764551!4d17.7158151!16s%2Fg%2F11hj5215dk!19sChIJd7voQdwXEEcRGPvNoQWYRNg?authuser=0&hl=zh-TW&rclk=1
