place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJywK06KfuBUgRp0zUCg2-778,Creperie Heb Ken,,False,2074,"Name: Creperie Fleur de Sel
link: https://www.google.com/maps/search/Cr%C3%AAperie+Fleur+de+Sel/@47.215106999999996,-1.5532218999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 647 reviews

Name: La Creperie du Bouffay
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+du+Bouffay/@47.2154609,-1.5525020999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 612 reviews

Name: La Creperie Jaune
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+Jaune/@47.2151078,-1.5525624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 506 reviews

Name: La Blanche Hermine
link: https://www.google.com/maps/search/La+Blanche+Hermine/@47.215578799999996,-1.5523795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews",https://creperie-hebken.fr/,Creperie Heb Ken (Ye Zhu ),https://www.google.com/maps/contrib/109775201015112985176,https://lh5.googleusercontent.com/p/AF1QipNdzOPSVfA19PShDTLcqDxX1-wHiw3NK2irb3cZ=w408-h271-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Can Ting , Cha Yi Guan ",4.3,11:45-22:45,Xing Qi Ri ,+33 2 40 48 79 03,"Creperie Heb Ken, 5 Rue de Guerande, 44000 Nantes, Fa Guo ","Yang Cong , Gao , You Ji , Wei , Wen Shi ",https://www.google.com/maps/place/Cr%C3%AAperie+Heb+Ken/data=!4m7!3m6!1s0x4805eea7e8b402cb:0xbfefbe0d0ad44ca7!8m2!3d47.2140621!4d-1.5591114!16s%2Fg%2F1tdc006p!19sChIJywK06KfuBUgRp0zUCg2-778?authuser=0&hl=zh-TW&rclk=1
ChIJxaMJ16XuBUgRAo1FFGf8RcQ,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1852,"Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.2129332,-1.5588541999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@47.2163314,-1.5423559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: La Brulerie
link: https://www.google.com/maps/search/La+Brulerie/@47.2156544,-1.554479?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/118009825976729210188,https://lh5.googleusercontent.com/p/AF1QipNdTB1Rmbea3HKGaAa804Z_pn5pMQFXj7szFHKm=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Ting , Zao Can Can Ting , Zheng Liu Ka Pei Ba , Wang Ka /Wang Lu Yong Pin Dian , Gao Bing Dian , Wu Jiu Jing Yin Liao Dian , Cha Yi Guan ",3.8,09:00-19:00,Open All Days,+33 2 28 29 87 55,"Starbucks, 27 Rue de la Marne, 44000 Nantes, Fa Guo ","Ce Suo , Zhuo , Bing Kuai , Dian Nao , Yan , Shui ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x4805eea5d709a3c5:0xc445fc6714458d02!8m2!3d47.2154032!4d-1.5547348!16s%2Fg%2F11cn06zs2w!19sChIJxaMJ16XuBUgRAo1FFGf8RcQ?authuser=0&hl=zh-TW&rclk=1
ChIJsYwE96_uBUgRoSb2C8QnM8E,Delirium Cafe,,False,1289,"Name: Atomic's Cafe
link: https://www.google.com/maps/search/Atomic%27s+Caf%C3%A9/@47.2130433,-1.5547859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 516 reviews

Name: Ruin Bar Bouffay
link: https://www.google.com/maps/search/Ruin+Bar+Bouffay/@47.214772599999996,-1.5526132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 509 reviews

Name: Bootlegger
link: https://www.google.com/maps/search/Bootlegger/@47.212723499999996,-1.5555402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 378 reviews

Name: Le Duplex Graslin
link: https://www.google.com/maps/search/Le+Duplex+Graslin/@47.212575199999996,-1.5615043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews

Name: Le Cafe du Matin
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+Matin/@47.221389599999995,-1.5568514?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://fr-fr.facebook.com/deliriumcafenantes/,Delirium Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102735339321543792064,https://lh5.googleusercontent.com/p/AF1QipPB3HX8GTWutOHsEk23aEvUsOodd0fW4FLiLohr=w408-h240-k-no-pi-0-ya47.38249-ro-0-fo100,Jiu Ba ,"Jiu Ba , Ka Pei Ting ",4.4,15:00-02:00,Xing Qi Ri ,+33 2 40 08 90 77,"Delirium Cafe, bar le Delirium, 19 All. Baco, 44000 Nantes, Fa Guo ","Chou Yan , Ya Li , Ping , Fei Biao , Fa Shi Can Ting ",https://www.google.com/maps/place/D%C3%A9lirium+Caf%C3%A9/data=!4m7!3m6!1s0x4805eeaff7048cb1:0xc13327c40bf626a1!8m2!3d47.2133278!4d-1.5503361!16s%2Fg%2F1wyc3q9c!19sChIJsYwE96_uBUgRoSb2C8QnM8E?authuser=0&hl=zh-TW&rclk=1
ChIJWWByDqjuBUgRFQK1HBYxStE,Cafe du Commerce,,False,1268,"Name: Cafe Cult'
link: https://www.google.com/maps/search/Caf%C3%A9+Cult%27/@47.2158132,-1.55498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 889 reviews

Name: Bar Restaurant Terrasse a Nantes | Bistro du Cours
link: https://www.google.com/maps/search/Bar+Restaurant+Terrasse+%C3%A0+Nantes+%7C+Bistro+du+Cours/@47.2156972,-1.5560771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 885 reviews

Name: Cafe du Passage
link: https://www.google.com/maps/search/Caf%C3%A9+du+Passage/@47.2147794,-1.557397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: Le Cafe du Marche
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+March%C3%A9/@47.2124664,-1.5462527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 399 reviews

Name: Soon Cafe
link: https://www.google.com/maps/search/Soon+Caf%C3%A9/@47.213231199999996,-1.5584523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews",https://www.cafe-ducommerce.com/,Cafe du Commerce (Ye Zhu ),https://www.google.com/maps/contrib/117028432645645098724,https://lh5.googleusercontent.com/p/AF1QipOKUTRJMsN_R7smUe9ehBnkR1poVrWBCyohWJE=w408-h544-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Jiu Ba , Zao Wu Can Can Ting ",4,07:00-01:30,Open All Days,+33 6 98 46 60 21,"Cafe du Commerce, 9-10 Pl. du Commerce, 44000 Nantes, Fa Guo ","Xiao Rong , Yi Dao Cai , Xia Ding , Bai Pan , Lou Ceng , Ke Song ",https://www.google.com/maps/place/Caf%C3%A9+du+Commerce/data=!4m7!3m6!1s0x4805eea80e726059:0xd14a31161cb50215!8m2!3d47.2134676!4d-1.5581571!16s%2Fg%2F1tgf74vz!19sChIJWWByDqjuBUgRFQK1HBYxStE?authuser=0&hl=zh-TW&rclk=1
ChIJSZ4TA6juBUgRlhom2xLgdvM,Ker Juliette,,False,1155,"Name: La Creperie du Bouffay
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+du+Bouffay/@47.2154609,-1.5525020999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 612 reviews

Name: La Creperie Jaune
link: https://www.google.com/maps/search/La+Cr%C3%AAperie+Jaune/@47.2151078,-1.5525624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 506 reviews

Name: La Gavotte
link: https://www.google.com/maps/search/La+Gavotte/@47.2115079,-1.5668800999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 335 reviews

Name: Ker Juliette - Gare de Nantes
link: https://www.google.com/maps/search/Ker+Juliette+-+Gare+de+Nantes/@47.2161997,-1.5418741999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 321 reviews",https://www.kerjuliette.fr/nantes/,Ker Juliette (Ye Zhu ),https://www.google.com/maps/contrib/114707601855025097186,https://lh5.googleusercontent.com/p/AF1QipMIBMSx4eY4TL915TpqT2s7JweI6nY7K5Y5fSRh=w408-h612-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Ka Pei Dian , Kuai Can Dian , Fa Guo Can Ting , Wu Fu Zhi Shi Pin Can Ting , Wai Mai Zi Qu Can Ting , Su Shi Can Ting ",4.1,12:00-22:45,Xing Qi Yi ,+33 9 83 86 71 36,"Ker Juliette, 4 Pl. de la Bourse, 44000 Nantes, Fa Guo ","Su Shi , Gai Nian , Xia Ding , Xiao Cai , Lou Ceng , Gui Yu , Xue Sheng , Zu Zhi ",https://www.google.com/maps/place/Ker+Juliette/data=!4m7!3m6!1s0x4805eea803139e49:0xf376e012db261a96!8m2!3d47.2128348!4d-1.5591744!16s%2Fg%2F11bytm_sh_!19sChIJSZ4TA6juBUgRlhom2xLgdvM?authuser=0&hl=zh-TW&rclk=1
ChIJzXA_LrnuBUgRudPFOVDClgg,Cafe des Plantes,,False,1136,"Name: The Cafe de l'Orangerie
link: https://www.google.com/maps/search/The+Caf%C3%A9+de+l%27Orangerie/@47.2209558,-1.5439516?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1010 reviews

Name: Soon Cafe
link: https://www.google.com/maps/search/Soon+Caf%C3%A9/@47.213231199999996,-1.5584523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Cafe Penche
link: https://www.google.com/maps/search/Caf%C3%A9+Pench%C3%A9/@47.215360000000004,-1.5587452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews",https://cafe-des-plantes.fr/,Cafe des Plantes (Ye Zhu ),https://www.google.com/maps/contrib/105069053570820363680,https://lh5.googleusercontent.com/p/AF1QipNIqOzd_m5-gV872f1ZLtRiE6cwvgdxvwqGj9Dj=w408-h272-k-no,Jiu Ba Ba Fang ,"Jiu Ba Ba Fang , Jiu Ba , Ka Pei Ting , Fa Shi Can Ting ",3.9,07:00-22:00,Xing Qi Yi ,+33 2 40 74 05 44,"Cafe des Plantes, 24 Bd de Stalingrad, 44000 Nantes, Fa Guo ","Che Zhan , Fa Shi Can Ting , Hua Yuan , Ce Suo , Liao Li , Can Jiu Guan ",https://www.google.com/maps/place/Caf%C3%A9+des+Plantes/data=!4m7!3m6!1s0x4805eeb92e3f70cd:0x896c25039c5d3b9!8m2!3d47.2181093!4d-1.5425532!16s%2Fg%2F11b6dk4q1h!19sChIJzXA_LrnuBUgRudPFOVDClgg?authuser=0&hl=zh-TW&rclk=1
ChIJbQoAQKbuBUgRISOyjruadqM,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1104,"Name: French Coffee Shop
link: https://www.google.com/maps/search/French+Coffee+Shop/@47.2129332,-1.5588541999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Sugar Blue
link: https://www.google.com/maps/search/Sugar+Blue/@47.2153281,-1.5582418999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 531 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@47.2163314,-1.5423559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Curieux Coffeeshop
link: https://www.google.com/maps/search/Curieux+Coffeeshop/@47.2146536,-1.5554457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/110468847545497266219,https://lh5.googleusercontent.com/p/AF1QipO65olprbN3GsUgPG01sQesx30Pcg230NB1znSM=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Ting , Zao Can Can Ting , Zheng Liu Ka Pei Ba , Wang Ka /Wang Lu Yong Pin Dian , Gao Bing Dian , Wu Jiu Jing Yin Liao Dian , Cha Yi Guan ",3.9,07:00-19:00,Xing Qi Ri ,+33 2 28 29 87 59,"Starbucks, 4 All. Cassard, 44000 Nantes, Fa Guo ","Lou Ceng , Ce Suo , Gao , Jian Feng Shi Jian , Yuan Gong , Bai Hui , Ke Ting , Re Yin ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x4805eea640000a6d:0xa3769abb8eb22321!8m2!3d47.2145308!4d-1.5560661!16s%2Fg%2F11cn0l948w!19sChIJbQoAQKbuBUgRISOyjruadqM?authuser=0&hl=zh-TW&rclk=1
ChIJtzVq5gjsBUgRj3lCvSki4W4,LevIaette Cafe Nantes,,False,1037,"Name: Le Royal Cafe
link: https://www.google.com/maps/search/Le+Royal+Caf%C3%A9/@47.214967099999996,-1.5584373999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 698 reviews

Name: Cafe de la Branche
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+Branche/@47.206655999999995,-1.5650264?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: L'Absence
link: https://www.google.com/maps/search/L%27Absence/@47.207456099999995,-1.5572542999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews

Name: Mariole
link: https://www.google.com/maps/search/Mariole/@47.212581799999995,-1.5610146999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Cafe Becot
link: https://www.google.com/maps/search/Caf%C3%A9+B%C3%A9cot/@47.2169337,-1.5559908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews",https://www.levrettecafe.fr/,LevIaette Cafe Nantes (Ye Zhu ),https://www.google.com/maps/contrib/108457339734139059098,https://lh5.googleusercontent.com/p/AF1QipMZCVRVqxNEyst6FTUmdVvcViIsmkc17d0rSrlI=w426-h240-k-no,Jiu Ba ,"Jiu Ba , Pi Jiu Guan , Ka Pei Dian , Xi Ban Ya Xiao Shi Jiu Ba , Pu Tao Jiu Ba ",4.4,17:00-00:00,Open All Days,+33 9 86 66 60 13,"LevIaette Cafe Nantes, Parc des chantiers - Pont 1 du Nantilus, 30 Quai Fernand Crouan, 44200 Nantes, Fa Guo ","Shi Jue , Xiang Kuang , Yin Le , Xi Yang , Ban , Feng ",https://www.google.com/maps/place/Lev%D0%AFette+Caf%C3%A9+Nantes/data=!4m7!3m6!1s0x4805ec08e66a35b7:0x6ee12229bd42798f!8m2!3d47.2068531!4d-1.5686425!16s%2Fg%2F11g6wvhvrk!19sChIJtzVq5gjsBUgRj3lCvSki4W4?authuser=0&hl=zh-TW&rclk=1
ChIJgex4Y77uBUgRKwErfaifcvk,The Cafe de l'Orangerie,,False,1010,"Name: The Coffee House
link: https://www.google.com/maps/search/The+Coffee+House/@47.220316,-1.5495590000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1170 reviews

Name: Cafe des Plantes
link: https://www.google.com/maps/search/Caf%C3%A9+des+Plantes/@47.218109299999995,-1.5425532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1135 reviews

Name: Dinette
link: https://www.google.com/maps/search/D%C3%AEnette/@47.216272,-1.5521245?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: L'atelier des delices
link: https://www.google.com/maps/search/L%27atelier+des+d%C3%A9lices/@47.2164442,-1.5577705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Cafe Penche
link: https://www.google.com/maps/search/Caf%C3%A9+Pench%C3%A9/@47.215360000000004,-1.5587452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews",https://www.cafe-de-l-orangerie-restaurant-nantes.fr/,The Cafe de l'Orangerie (Ye Zhu ),https://www.google.com/maps/contrib/105475966284446950821,https://lh5.googleusercontent.com/p/AF1QipPRqms1aiJrCxG-rMeloX74vaRiwtOIoXk-iqR6=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-18:00,Open All Days,+33 2 28 44 27 08,"The Cafe de l'Orangerie, 15 Rue Gambetta, 44000 Nantes, Fa Guo ","Hua Yuan , Xiang Kuang , Bai Pan , Liao Li , Yi Dao Cai , Ru Luo Dan Gao , Qian Cai , Wen Shi ",https://www.google.com/maps/place/The+Caf%C3%A9+de+l%27Orangerie/data=!4m7!3m6!1s0x4805eebe6378ec81:0xf9729fa87d2b012b!8m2!3d47.2209558!4d-1.5439516!16s%2Fg%2F1tczzx4z!19sChIJgex4Y77uBUgRKwErfaifcvk?authuser=0&hl=zh-TW&rclk=1
ChIJnQF41aXuBUgRasZeP9xC5UI,Cafe Cult',,False,889,"Name: Cafe du Commerce
link: https://www.google.com/maps/search/Caf%C3%A9+du+Commerce/@47.2134676,-1.5581570999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1268 reviews

Name: CHACHA
link: https://www.google.com/maps/search/CHACHA/@47.214787199999996,-1.554878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 457 reviews

Name: L'atelier des delices
link: https://www.google.com/maps/search/L%27atelier+des+d%C3%A9lices/@47.2164442,-1.5577705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Melbourne Coffee
link: https://www.google.com/maps/search/Melbourne+Coffee/@47.2132021,-1.5455455999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 364 reviews

Name: The Cafe Kleber
link: https://www.google.com/maps/search/The+Cafe+Kleber/@47.214434,-1.565993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews",https://www.cafe-cult.com/,Cafe Cult' (Ye Zhu ),https://www.google.com/maps/contrib/101976313089751443722,https://lh5.googleusercontent.com/p/AF1QipOT1V9GtWx0KhkueDTgudQvd6kpv7_6Dhw0Chjg=w408-h272-k-no,Can Ting ,"Can Ting , Jiu Ba , Ka Pei Ting ",4.2,12:00-01:00,"Xing Qi Ri , Xing Qi Yi ",+33 2 40 47 18 49,"Cafe Cult', 2 Rue des Carmes, 44000 Nantes, Fa Guo ","Xiang Kuang , Bai Pan , Liao Li , Zha Yu Shu Tiao ",https://www.google.com/maps/place/Caf%C3%A9+Cult%27/data=!4m7!3m6!1s0x4805eea5d578019d:0x42e542dc3f5ec66a!8m2!3d47.2158132!4d-1.55498!16s%2Fg%2F1tp07gsq!19sChIJnQF41aXuBUgRasZeP9xC5UI?authuser=0&hl=zh-TW&rclk=1
