place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJN6MqVoC1lzMRieIKfnTmuwc,Da Supreme Snack House,,False,6,,https://www.facebook.com/dasupremeee%3Fmibextid%3DZbWKwL,Da Supreme Snack House (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMD5qWAtZdWeqcQR5G1cPuVQZQmmNjYbNDULbv-=w457-h240-k-no,Koffiebar,Koffiebar,5,14:00-01:00,Open All Days,+63 991 471 2673,"Da Supreme Snack House, 11-D, 11 Estrella St, Navotas, 1485 Metro Manila, Filipijnen",,https://www.google.com/maps/place/Da+Supreme+Snack+House/data=!4m7!3m6!1s0x3397b580562aa337:0x7bbe6747e0ae289!8m2!3d14.6553256!4d120.9493316!16s%2Fg%2F11svwy6sww!19sChIJN6MqVoC1lzMRieIKfnTmuwc?authuser=0&hl=nl&rclk=1
ChIJ3dqlzIG1lzMRCpGaf2TKr8o,Noki Kopi - Navotas,,False,4,"Name: La Olla Cafe
link: https://www.google.com/maps/search/La+Olla+Cafe/@14.6593804,120.9468098?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Cup 'N Shop
link: https://www.google.com/maps/search/Cup+%27N+Shop/@14.657233999999999,120.94613?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Noki Cafe
link: https://www.google.com/maps/search/Noki+Cafe/@14.632541799999998,121.0598059?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Kohiboi Coffee and Pastries
link: https://www.google.com/maps/search/K%C5%8Dh%C4%ABb%C5%8Di+Coffee+and+Pastries/@14.671786999999998,120.95120029999998?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/nokikopi.ph,Noki Kopi - Navotas (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNMeFFm4Yt5N2sl9r7kGfh-NgPT2-MIUa6d32Kx=w426-h240-k-no,Koffiebar,Koffiebar,5,15:00-00:00,Open All Days,,"Noki Kopi - Navotas, 548 Gov. A. Pascual St, Navotas, 1485 Metro Manila, Filipijnen",,https://www.google.com/maps/place/Noki+Kopi+-+Navotas/data=!4m7!3m6!1s0x3397b581cca5dadd:0xcaafca647f9a910a!8m2!3d14.6688997!4d120.9393629!16s%2Fg%2F11p5mjp8k6!19sChIJ3dqlzIG1lzMRCpGaf2TKr8o?authuser=0&hl=nl&rclk=1
ChIJweRPYem1lzMR5RLno1v9nN0,The Breadwinners Cafe,,False,4,,https://www.facebook.com/thebreadwinnerscafe%3Fmibextid%3DZbWKwL,The Breadwinners Cafe (eigenaar),https://www.google.com/maps/contrib/111378773104729042417,https://lh5.googleusercontent.com/p/AF1QipOI-73zgVbMoAdqPdIucUYE24Iing5spHEk0kxn=w408-h544-k-no,Koffiebar,Koffiebar,5,14:00-22:00,Open All Days,+63 994 925 1827,"The Breadwinners Cafe, 602 Gov. A. Pascual St, Navotas, 1409 Metro Manila, Filipijnen",,https://www.google.com/maps/place/The+Breadwinners+Cafe/data=!4m7!3m6!1s0x3397b5e9614fe4c1:0xdd9cfd5ba3e712e5!8m2!3d14.6704066!4d120.9382626!16s%2Fg%2F11kprq8c9k!19sChIJweRPYem1lzMR5RLno1v9nN0?authuser=0&hl=nl&rclk=1
ChIJz4kxdiO1lzMRwAINj_X8pwY,Pa-Hinga Cafe,,False,4,"Name: Alberto's Tea Spot
link: https://www.google.com/maps/search/Alberto%E2%80%99s+Tea+Spot/@14.645791,120.95635070000002?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: FRAPATEA (Agora)
link: https://www.google.com/maps/search/FRAPATEA+%28Agora%29/@14.643338300000002,120.9545826?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Kapehan sa Ulap
link: https://www.google.com/maps/search/Kapehan+sa+Ulap/@14.686844,120.957823?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Alfredo's Lutong Bahay / Kape Alfredo's
link: https://www.google.com/maps/search/Alfredo%27s+Lutong+Bahay+%2F+Kape+Alfredo%27s/@14.6690866,120.94130699999998?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Pad 41 kofe Tanza 1
link: https://www.google.com/maps/search/Pad+41+kofe+Tanza+1/@14.6778802,120.93677199999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/PaHingaCafe,Pa-Hinga Cafe (eigenaar),https://www.google.com/maps/contrib/117429890114979475016,https://lh5.googleusercontent.com/p/AF1QipN3BZ7eaG-QsobFg8OA-hUkmzy5UM_ipC73k9U=w408-h544-k-no,Koffiebar,Koffiebar,4.3,13:30-23:00,zondag,,"Pa-Hinga Cafe, 2 J.Pascual, Navotas, Metro Manila, Filipijnen",,https://www.google.com/maps/place/Pa-Hinga+Cafe/data=!4m7!3m6!1s0x3397b523763189cf:0x6a7fcf58f0d02c0!8m2!3d14.6733625!4d120.9348824!16s%2Fg%2F11rgl4h4_c!19sChIJz4kxdiO1lzMRwAINj_X8pwY?authuser=0&hl=nl&rclk=1
ChIJ00VZyg21lzMRbDKNNZ1BIHA,Juan Cafe - Tanza Navotas,,False,4,,https://www.facebook.com/profile.php%3Fid%3D100093986382169,Juan Cafe - Tanza Navotas (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNImGDmc9VBLA0hmXVeuaiSUoPbSNI771Nggf3N=w408-h305-k-no,Cafe,Cafe,5,10:00-00:00,Open All Days,,"Juan Cafe - Tanza Navotas, 151 E Rodriguez St, Tanza 1, Navotas, Metro Manila, Filipijnen",,https://www.google.com/maps/place/Juan+Cafe+-+Tanza+Navotas/data=!4m7!3m6!1s0x3397b50dca5945d3:0x7020419d358d326c!8m2!3d14.6782691!4d120.9342203!16s%2Fg%2F11l5l01d9b!19sChIJ00VZyg21lzMRbDKNNZ1BIHA?authuser=0&hl=nl&rclk=1
ChIJXXic5k-1lzMRgvTh441lTg8,ThirTea Ann - Maliputo St. Navotas,,False,4,"Name: Thirtea ann lico,blumentritt
link: https://www.google.com/maps/search/Thirtea+ann+lico%2Cblumentritt/@14.6274638,120.98125490000001?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Lettea Milktea House Navotas City
link: https://www.google.com/maps/search/Lettea+Milktea+House+Navotas+City/@14.6559914,120.9465221?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Thirtea Ann Humilidad Pasay
link: https://www.google.com/maps/search/Thirtea+Ann+Humilidad+Pasay/@14.5592615,120.991923?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Thirstea MNL
link: https://www.google.com/maps/search/Thirstea+MNL/@14.61071,121.00501399999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/ThirTeaAnnMaliputoStNavotas,ThirTea Ann - Maliputo St. Navotas (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipN9AdnYEstU_kRw5gbfcUA2laXEawejmWKIdxEx=w408-h544-k-no,Theehuis,Theehuis,3.5,13:00-19:00,Open All Days,+63 919 226 2191,"ThirTea Ann - Maliputo St. Navotas, Blk 34 clot 39 Phase 2 Area 2, Maliputo St, Navotas, 1409 Metro Manila, Filipijnen",,https://www.google.com/maps/place/ThirTea+Ann+-+Maliputo+St.+Navotas/data=!4m7!3m6!1s0x3397b54fe69c785d:0xf4e658de3e1f482!8m2!3d14.6518081!4d120.955292!16s%2Fg%2F11k5fc_d4r!19sChIJXXic5k-1lzMRgvTh441lTg8?authuser=0&hl=nl&rclk=1
ChIJSUg3MIi1lzMRs9vQFvaNfNU,Coffee Buddy Maypajo,,False,4,,https://www.facebook.com/coffeebuddymaypajocaloocan,Coffee Buddy Maypajo (eigenaar),https://www.google.com/maps/contrib/104950343975310404730,https://lh5.googleusercontent.com/p/AF1QipNZuWwCtCYyJngXbSDmVGwXgmepujzwedO4DdJG=w408-h408-k-no,Koffiebar,Koffiebar,4.5,06:30-22:00,Open All Days,+63 917 177 7548,"Coffee Buddy Maypajo, 237 A. Mabini St, Maypajo, Caloocan, 1410 Metro Manila, Filipijnen",,https://www.google.com/maps/place/Coffee+Buddy+Maypajo/data=!4m7!3m6!1s0x3397b58830374849:0xd57c8df616d0dbb3!8m2!3d14.6409635!4d120.9755742!16s%2Fg%2F11vchh445b!19sChIJSUg3MIi1lzMRs9vQFvaNfNU?authuser=0&hl=nl&rclk=1
ChIJTxajssq1lzMRVGJMI9QRaAg,"SuperDaddy - Daanghari, Navotas",,False,3,,https://www.facebook.com/profile.php%3Fid%3D100091902814852%26mibextid%3DLQQJ4d,"SuperDaddy - Daanghari, Navotas (eigenaar)",https://www.google.com/maps/contrib/113531960541080898616,https://lh5.googleusercontent.com/p/AF1QipMrxnPsLS6NdFkwOGIznkd0JgU6ZSQfQLwVyI1-=w408-h510-k-no,Koffiebar,Koffiebar,2.7,11:00-23:00,Open All Days,+63 977 022 2722,"SuperDaddy - Daanghari, Navotas, 466J Gov. A. Pascual St, Navotas, 1489 Metro Manila, Filipijnen",,"https://www.google.com/maps/place/SuperDaddy+-+Daanghari,+Navotas/data=!4m7!3m6!1s0x3397b5cab2a3164f:0x86811d4234c6254!8m2!3d14.6659627!4d120.9411372!16s%2Fg%2F11kj9kpyvy!19sChIJTxajssq1lzMRVGJMI9QRaAg?authuser=0&hl=nl&rclk=1"
ChIJr8Zm6cC1lzMRm59-w0she9U,Alberto's Tea Spot,,False,3,"Name: Tea-Pop
link: https://www.google.com/maps/search/Tea-Pop/@14.652325399999997,120.9497236?authuser=0&hl=nl&entry=ttu
Reviews: 99 reviews

Name: Batak Coffee PH.
link: https://www.google.com/maps/search/Batak+Coffee+PH./@14.644819900000002,120.9562923?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Podcups Cafe
link: https://www.google.com/maps/search/Podcups+Cafe/@14.6445031,120.9559432?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Tea Side
link: https://www.google.com/maps/search/Tea+Side/@14.6676079,120.94343679999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: RE-CUP Coffee Shop, Navotas
link: https://www.google.com/maps/search/RE-CUP+Coffee+Shop%2C+Navotas/@14.644133,120.9570841?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://albertos-tea-spot.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Alberto's Tea Spot (eigenaar),https://www.google.com/maps/contrib/111219049052623263952,https://lh5.googleusercontent.com/p/AF1QipMML4A4tUextUmmb4m6gFwYEtEGamfVTsBw18B3=w408-h306-k-no,Cafe,Cafe,5,,Open All Days,+63 965 709 0857,"Alberto's Tea Spot, A16 kapitbahayan, Bangus St, Navotas, 1409 Metro Manila, Filipijnen",,https://www.google.com/maps/place/Alberto%E2%80%99s+Tea+Spot/data=!4m7!3m6!1s0x3397b5c0e966c6af:0xd57b214bc37e9f9b!8m2!3d14.645791!4d120.9563507!16s%2Fg%2F11fmvbjhhc!19sChIJr8Zm6cC1lzMRm59-w0she9U?authuser=0&hl=nl&rclk=1
ChIJk4XuhRq1lzMRJPciaUyMmLQ,Ang Tagpuan,,False,2,"Name: Cup 'N Shop
link: https://www.google.com/maps/search/Cup+%27N+Shop/@14.657233999999999,120.94613?authuser=0&hl=nl&entry=ttu
Reviews: 8 reviews

Name: Beanhive Cafe Ph
link: https://www.google.com/maps/search/Beanhive+Cafe+Ph/@14.6542408,120.9491456?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Batak Coffee PH.
link: https://www.google.com/maps/search/Batak+Coffee+PH./@14.644819900000002,120.9562923?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Angelyn Carinderia
link: https://www.google.com/maps/search/Angelyn+Carinderia/@14.6446677,120.95612480000001?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: QTEA coffee and tea bar
link: https://www.google.com/maps/search/QTEA+coffee+and+tea+bar/@14.671318,120.93384680000001?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/angtagpuan,Ang Tagpuan (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNEJMsar5vnSSy2qiZrtXA0_XtT9FwlUdr_0m46=w408-h306-k-no,Cafe,Cafe,5,15:00-00:00,dinsdag,+63 915 331 8861,"Ang Tagpuan, 237 Governor A, Pascual St, Navotas, Filipijnen",,https://www.google.com/maps/place/Ang+Tagpuan/data=!4m7!3m6!1s0x3397b51a85ee8593:0xb4988c4c6922f724!8m2!3d14.6578356!4d120.9458033!16s%2Fg%2F11hdy_fkbf!19sChIJk4XuhRq1lzMRJPciaUyMmLQ?authuser=0&hl=nl&rclk=1
ChIJLz8N1pS1lzMRNejtmlnMncY,Sevis_PH,,False,2,"Name: Beanhive Cafe Ph
link: https://www.google.com/maps/search/Beanhive+Cafe+Ph/@14.6542408,120.9491456?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Seia home
link: https://www.google.com/maps/search/Seia+home/@14.6451697,120.9568676?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Festivitea Cafe
link: https://www.google.com/maps/search/Festivitea+Cafe/@14.6569544,120.9460909?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Sevis PH Valenzuela
link: https://www.google.com/maps/search/Sevis+PH+Valenzuela/@14.7424779,120.9968841?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: RE-CUP Coffee Shop, Navotas
link: https://www.google.com/maps/search/RE-CUP+Coffee+Shop%2C+Navotas/@14.644133,120.9570841?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/SevisPH,Sevis_PH (eigenaar),https://www.google.com/maps/contrib/102099968970212936628,https://lh5.googleusercontent.com/p/AF1QipNCfwvAjQzeLMfhuw-sWPjhV_b2tDBcikjUXteV=w408-h408-k-no,Koffiebar,Koffiebar,5,10:00-22:00,Open All Days,,"Sevis_PH, 35 Maliputo St, Navotas, 1485 Metro Manila, Filipijnen",,https://www.google.com/maps/place/Sevis_PH/data=!4m7!3m6!1s0x3397b594d60d3f2f:0xc69dcc599aede835!8m2!3d14.6514255!4d120.9567054!16s%2Fg%2F11lb54bhxf!19sChIJLz8N1pS1lzMRNejtmlnMncY?authuser=0&hl=nl&rclk=1
ChIJ6xfjGva1lzMRPVpR9JKi9To,The Port Laundry Cafe,,False,2,,http://facebook.com/theportlaundry,The Port Laundry Cafe (eigenaar),https://www.google.com/maps/contrib/105353093491581199278,https://lh5.googleusercontent.com/p/AF1QipO6rHW0pnk6KAByamWiHAk12usQSOBwMank4TNC=w408-h306-k-no,Wasserij,"Wasserij, Koffiebar",5,08:00-19:00,maandag,+63 927 061 8482,"R10, The Port Laundry Cafe, corner Daungan St, Navotas, 1409 Metro Manila, Filipijnen",,https://www.google.com/maps/place/The+Port+Laundry+Cafe/data=!4m7!3m6!1s0x3397b5f61ae317eb:0x3af5a292f4515a3d!8m2!3d14.6447169!4d120.951859!16s%2Fg%2F11kjpncs9h!19sChIJ6xfjGva1lzMRPVpR9JKi9To?authuser=0&hl=nl&rclk=1
