place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVawCiO-0bBkRN22UkoO-fck,Shoprite Kafubu Mall,"Supermarket chain with brand-name & house-label groceries, plus a bakery & a deli.",False,1548,"Name: Kafubu Shopping Mall
link: https://www.google.com/maps/search/Kafubu+Shopping+Mall/@-12.980866299999999,28.6403365?authuser=0&hl=en&entry=ttu
Reviews: 3220 reviews

Name: Choppies
link: https://www.google.com/maps/search/Choppies/@-12.980936600000001,28.6380479?authuser=0&hl=en&entry=ttu
Reviews: 107 reviews

Name: Shoprite Jacaranda Mall
link: https://www.google.com/maps/search/Shoprite+Jacaranda+Mall/@-13.0046448,28.649417900000003?authuser=0&hl=en&entry=ttu
Reviews: 105 reviews

Name: Chapasuka Supermarket
link: https://www.google.com/maps/search/Chapasuka+Supermarket/@-12.9269752,28.6104211?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Foschini - Kafubu Mall
link: https://www.google.com/maps/search/Foschini+-+Kafubu+Mall/@-12.9810786,28.6400109?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.shoprite.co.za/,Shoprite Kafubu Mall (Owner),https://www.google.com/maps/contrib/101624674530581280244,https://lh5.googleusercontent.com/p/AF1QipMts37-KDjbXwU1eUpofNNi7xH3EngV209H_utx=w426-h240-k-no,Supermarket,Supermarket,4.1,8 AM-8 PM,Open All Days,+260 97 2933524,"Shoprite Kafubu Mall, Cnr Kabwe and, President Ave, Ndola, Zambia","experience, clean, convenient, roof, household, queues, good service, toilets, parking space",https://www.google.com/maps/place/Shoprite+Kafubu+Mall/data=!4m7!3m6!1s0x196cb4ef8802ac55:0xc97dbe8392946d37!8m2!3d-12.9809192!4d28.6406682!16s%2Fg%2F11c2pqpt6g!19sChIJVawCiO-0bBkRN22UkoO-fck?authuser=0&hl=en&rclk=1
ChIJN0MBywi1bBkR0m5S6RfmVHg,Pick n Pay Kansenshi,,False,1523,"Name: Shoprite Ndola
link: https://www.google.com/maps/search/Shoprite+Ndola/@-12.9742561,28.647831999999998?authuser=0&hl=en&entry=ttu
Reviews: 1282 reviews

Name: Pick N Pay
link: https://www.google.com/maps/search/Pick+N+Pay/@-12.820891399999999,28.209792300000004?authuser=0&hl=en&entry=ttu
Reviews: 435 reviews

Name: Kansenshi Market
link: https://www.google.com/maps/search/Kansenshi+Market/@-12.957112299999999,28.628917599999998?authuser=0&hl=en&entry=ttu
Reviews: 172 reviews

Name: Pickn Pay Z Mart
link: https://www.google.com/maps/search/Pickn+Pay+Z+Mart/@-12.974453299999999,28.6486161?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",https://www.picknpayzambia.com/,Pick n Pay Kansenshi (Owner),https://www.google.com/maps/contrib/100191410501698436676,https://lh5.googleusercontent.com/p/AF1QipPzc5EASZtSFLG2iNokRqb1qgrLQK-2Qg0j-yIL=w630-h240-k-no,Supermarket,"Supermarket, Grocery store",4,7 AM-9 PM,Open All Days,+260 96 4333010,"Pick n Pay Kansenshi, Kwacha Rd, Ndola 00000, Zambia","mall, parking space, customer service, experience, atms, household, roof, lion, security",https://www.google.com/maps/place/Pick+n+Pay+Kansenshi/data=!4m7!3m6!1s0x196cb508cb014337:0x7854e617e9526ed2!8m2!3d-12.9606602!4d28.6324595!16s%2Fg%2F11g9f8lnhn!19sChIJN0MBywi1bBkR0m5S6RfmVHg?authuser=0&hl=en&rclk=1
ChIJz9sBxuC0bBkRuisVH-BnUBc,Shoprite Ndola,"Supermarket chain with brand-name & house-label groceries, plus a bakery & a deli.",False,1283,"Name: Food Lover's Market
link: https://www.google.com/maps/search/Food+Lover%E2%80%99s+Market/@-12.977749999999999,28.6447859?authuser=0&hl=en&entry=ttu
Reviews: 754 reviews

Name: Choppies
link: https://www.google.com/maps/search/Choppies/@-12.980936600000001,28.6380479?authuser=0&hl=en&entry=ttu
Reviews: 107 reviews

Name: Shoprite Jacaranda Mall
link: https://www.google.com/maps/search/Shoprite+Jacaranda+Mall/@-13.0046448,28.649417900000003?authuser=0&hl=en&entry=ttu
Reviews: 105 reviews

Name: Spar
link: https://www.google.com/maps/search/Spar/@-12.9681719,28.6535008?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews

Name: Chapasuka Supermarket
link: https://www.google.com/maps/search/Chapasuka+Supermarket/@-12.9269752,28.6104211?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews",http://www.shoprite.co.za/,Shoprite Ndola (Owner),https://www.google.com/maps/contrib/116689331043045805754,https://lh5.googleusercontent.com/p/AF1QipMOdDIF-ZwKwAOhf2R8Lxjpl6agf7sKA3FRJK0D=w533-h240-k-no,Supermarket,Supermarket,4,9 AM-8 PM,Open All Days,,"Shoprite Ndola, Plot 91 President Ave, Ndola 50100, Zambia","customer service, convenient, roof, town, clean, household, mall, drinks, home, need",https://www.google.com/maps/place/Shoprite+Ndola/data=!4m7!3m6!1s0x196cb4e0c601dbcf:0x175067e01f152bba!8m2!3d-12.9742561!4d28.647832!16s%2Fg%2F1v6_dsdt!19sChIJz9sBxuC0bBkRuisVH-BnUBc?authuser=0&hl=en&rclk=1
ChIJu8X2YuW0bBkRa2KbqGwTHaA,Copper Canyon Spur,"Restaurant chain with a family-friendly vibe, dishing up steaks, burgers, ribs & wings.",False,727,"Name: Bo'Jangles Pub Grill & Pizzeria
link: https://www.google.com/maps/search/Bo%27Jangles+Pub+Grill+%26+Pizzeria/@-12.9815305,28.639927699999998?authuser=0&hl=en&entry=ttu
Reviews: 751 reviews

Name: Angelina's Bistro, Bar & Pizzeria
link: https://www.google.com/maps/search/Angelina%27s+Bistro%2C+Bar+%26+Pizzeria/@-12.961188499999999,28.6323208?authuser=0&hl=en&entry=ttu
Reviews: 564 reviews

Name: Hungry Lion Kafubu
link: https://www.google.com/maps/search/Hungry+Lion+Kafubu/@-12.9807224,28.6409801?authuser=0&hl=en&entry=ttu
Reviews: 268 reviews

Name: The Chief Steak House
link: https://www.google.com/maps/search/The+Chief+Steak+House/@-12.9649963,28.641842900000004?authuser=0&hl=en&entry=ttu
Reviews: 74 reviews",https://www.spursteakranches.com/zm%3Futm_source%3Dgoogle_maps%26utm_medium%3Dwebsite_link%26utm_campaign%3DSP%26utm_content%3DSP,Copper Canyon Spur (Owner),https://www.google.com/maps/contrib/111590707181740121508,https://lh5.googleusercontent.com/p/AF1QipMdCcaJSGieZECgqsvnKLW02q2LqZSz7lONJQ8X=w408-h307-k-no,Steak house,"Steak house, African restaurant, Bar & grill, Barbecue restaurant, Breakfast restaurant, Dessert restaurant, Family restaurant, Hamburger restaurant, Restaurant",4,8 AM-9 PM,Open All Days,+260 95 4605681,"Copper Canyon Spur, Shop 19, Kafube Mall Corner Golf Club and, President Ave, Ndola 10100, Zambia","breakfast, ribs, environment, price, playground, hospitality, cold, party",https://www.google.com/maps/place/Copper+Canyon+Spur/data=!4m7!3m6!1s0x196cb4e562f6c5bb:0xa01d136ca89b626b!8m2!3d-12.9817484!4d28.6398574!16s%2Fg%2F11bymvfrvm!19sChIJu8X2YuW0bBkRa2KbqGwTHaA?authuser=0&hl=en&rclk=1
ChIJjX9tUw-1bBkRnxpuT5ZVIBM,"Angelina's Bistro, Bar & Pizzeria",,False,565,"Name: Bo'Jangles Pub Grill & Pizzeria
link: https://www.google.com/maps/search/Bo%27Jangles+Pub+Grill+%26+Pizzeria/@-12.9815305,28.639927699999998?authuser=0&hl=en&entry=ttu
Reviews: 751 reviews

Name: Leonidas Restaurant & Lounge
link: https://www.google.com/maps/search/Leonidas+Restaurant+%26+Lounge/@-12.9813816,28.6381546?authuser=0&hl=en&entry=ttu
Reviews: 90 reviews

Name: Roman's Pizza Ndola
link: https://www.google.com/maps/search/Roman%27s+Pizza+Ndola/@-12.981169699999999,28.639906399999997?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Pizza Inn - Ndola
link: https://www.google.com/maps/search/Pizza+Inn+-+Ndola/@-12.9808582,28.640327499999998?authuser=0&hl=en&entry=ttu
Reviews: 22 reviews

Name: Panarottis Jacaranda
link: https://www.google.com/maps/search/Panarottis+Jacaranda/@-13.0046967,28.649892700000002?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews",https://angelinas-bistro-bar-pizzeria.business.site/,"Angelina's Bistro, Bar & Pizzeria (Owner)",https://www.google.com/maps/contrib/106047135510212010270,https://lh5.googleusercontent.com/p/AF1QipMip0kiJaQ6z_XuKDCt5CHmRatPLxKkCfmE35yw=w408-h240-k-no-pi-0-ya343-ro0-fo100,Bistro,Bistro,4,11 AM-9:30 PM,Monday,+260 97 1899795,"Angelina's Bistro, Bar & Pizzeria, Z-Mall - Kansenshi - Northrise, Ndola 10101, Zambia","italian, music, atmosphere, drinks, price, good services, family, customer service, chilled, mall","https://www.google.com/maps/place/Angelina%27s+Bistro,+Bar+%26+Pizzeria/data=!4m7!3m6!1s0x196cb50f536d7f8d:0x132055964f6e1a9f!8m2!3d-12.9611885!4d28.6323208!16s%2Fg%2F11c6sr7yss!19sChIJjX9tUw-1bBkRnxpuT5ZVIBM?authuser=0&hl=en&rclk=1"
ChIJyRfHCaK0bBkR0qvMnhruPbE,Mint Cafe Ndola,,False,339,"Name: Copper Canyon Spur
link: https://www.google.com/maps/search/Copper+Canyon+Spur/@-12.981748399999999,28.6398574?authuser=0&hl=en&entry=ttu
Reviews: 726 reviews

Name: Ndola cafe
link: https://www.google.com/maps/search/Ndola+cafe/@-13.008936799999999,28.654431499999998?authuser=0&hl=en&entry=ttu
Reviews: 120 reviews

Name: Leonidas Restaurant & Lounge
link: https://www.google.com/maps/search/Leonidas+Restaurant+%26+Lounge/@-12.9813816,28.6381546?authuser=0&hl=en&entry=ttu
Reviews: 90 reviews

Name: The Town Restaurant Ndola
link: https://www.google.com/maps/search/The+Town+Restaurant+Ndola/@-12.9662509,28.6519823?authuser=0&hl=en&entry=ttu
Reviews: 53 reviews",https://www.facebook.com/pages/Mint-Cafe-Ndola/217883351584212,Mint Cafe Ndola (Owner),https://www.google.com/maps/contrib/102295008982680541651,https://lh5.googleusercontent.com/p/AF1QipPwzrwqQTzhFz4FuD9i7dC4Mkvm5rVkmRl2TazO=w408-h544-k-no,Cafe,"Cafe, Breakfast restaurant, Brunch restaurant, Lunch restaurant",4.1,8 AM-6 PM,Open All Days,+260 97 3752359,"Mint Cafe Ndola, 33 Dag Hammarskjoeld Driver, Ndola, Zambia","environment, prices, healthy food, salad, family, cocktails, cake, wrap, garden, atmosphere",https://www.google.com/maps/place/Mint+Caf%C3%A9+Ndola/data=!4m7!3m6!1s0x196cb4a209c717c9:0xb13dee1a9eccabd2!8m2!3d-12.9820384!4d28.6600797!16s%2Fg%2F1hhx5npy0!19sChIJyRfHCaK0bBkR0qvMnhruPbE?authuser=0&hl=en&rclk=1
ChIJaVdUr3u1bBkRNo95jz6Dp94,Steers,"Long-running counter-serve chain known for flame-grilled beef burgers & thick, handmade chips.",False,202,"Name: After Ten
link: https://www.google.com/maps/search/After+Ten/@-12.9677811,28.6526405?authuser=0&hl=en&entry=ttu
Reviews: 284 reviews

Name: Indulge restaurant
link: https://www.google.com/maps/search/Indulge+restaurant/@-12.962332,28.6449762?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: Debonairs Pizza
link: https://www.google.com/maps/search/Debonairs+Pizza/@-12.9678694,28.648573400000004?authuser=0&hl=en&entry=ttu
Reviews: 25 reviews

Name: Empire Grill
link: https://www.google.com/maps/search/Empire+Grill/@-12.9681404,28.6519619?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://zambia.steers.africa/%3Fy_source%3D1_NjE2MTQ2OTItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Steers (Owner),https://www.google.com/maps/contrib/100061931823822085567,https://lh5.googleusercontent.com/p/AF1QipOnbRsHNGHPSmYPvoQz_GXdbpF5Qqt56n0eMk2V=w426-h240-k-no,Hamburger restaurant,"Hamburger restaurant, Fast food restaurant",4.4,8:30 AM-10 PM,Open All Days,+260 76 0062531,"Steers, PUMA, Broadway, Ndola 10101, Zambia",,https://www.google.com/maps/place/Steers/data=!4m7!3m6!1s0x196cb57baf545769:0xdea7833e8f798f36!8m2!3d-12.9679563!4d28.6485623!16s%2Fg%2F11s9lqqkcy!19sChIJaVdUr3u1bBkRNo95jz6Dp94?authuser=0&hl=en&rclk=1
ChIJX5SujOW1bBkRuYRGtYkBhIo,Rubicon Bakery and Takeaway,,False,135,"Name: Star Bakery ltd.
link: https://www.google.com/maps/search/Star+Bakery+ltd./@-12.9650751,28.649893300000002?authuser=0&hl=en&entry=ttu
Reviews: 120 reviews

Name: Divine Bakery
link: https://www.google.com/maps/search/Divine+Bakery/@-12.9759415,28.648066999999994?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Rubicon Bakery Location 2
link: https://www.google.com/maps/search/Rubicon+Bakery+Location+2/@-13.010392399999999,28.6430485?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews

Name: Lets Bake ( Irennie's cakes)
link: https://www.google.com/maps/search/Lets+Bake+%28+Irennie%27s+cakes%29/@-12.9628114,28.642045699999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Cake shop
link: https://www.google.com/maps/search/Cake+shop/@-12.9549509,28.6439854?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/rubiconbakers/,Rubicon Bakery and Takeaway (Owner),https://www.google.com/maps/contrib/104429437682204017022,https://lh5.googleusercontent.com/p/AF1QipN9lcasZd13vYPYPPyPYLO5JN2hF_VexWNwRdvC=w408-h306-k-no,Bakery,Bakery,3.3,7 AM-9:30 PM,Open All Days,+260 96 5310694,"Rubicon Bakery and Takeaway, Kawambwa, Ndola 70637, Zambia",,https://www.google.com/maps/place/Rubicon+Bakery+and+Takeaway/data=!4m7!3m6!1s0x196cb5e58cae945f:0x8a840189b54684b9!8m2!3d-12.9987841!4d28.6440471!16s%2Fg%2F11g0t2hvrl!19sChIJX5SujOW1bBkRuYRGtYkBhIo?authuser=0&hl=en&rclk=1
ChIJEfVaP0G1bBkRQ9r6aQKlzy4,Shoprite Jacaranda Mall,"Supermarket chain with brand-name & house-label groceries, plus a bakery & a deli.",False,105,"Name: Shoprite Kafubu Mall
link: https://www.google.com/maps/search/Shoprite+Kafubu+Mall/@-12.980919199999999,28.6406682?authuser=0&hl=en&entry=ttu
Reviews: 1548 reviews

Name: Jacaranda Mall
link: https://www.google.com/maps/search/Jacaranda+Mall/@-13.004559200000001,28.6495377?authuser=0&hl=en&entry=ttu
Reviews: 1308 reviews

Name: Jacaranda Shopping Complex
link: https://www.google.com/maps/search/Jacaranda+Shopping+Complex/@-13.029984299999999,28.6349754?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: SHAALI ENTERPRISE
link: https://www.google.com/maps/search/SHAALI+ENTERPRISE/@-13.0069036,28.653946400000002?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: JABURANE ENTERPRISES
link: https://www.google.com/maps/search/JABURANE+ENTERPRISES/@-12.9955872,28.5915623?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.shoprite.co.za/,Shoprite Jacaranda Mall (Owner),https://www.google.com/maps/contrib/117545589475569026325,https://lh5.googleusercontent.com/p/AF1QipO8rxNfSJLPDa2rvcsoYWfIoAMCFMZ1SUIk66IE=w408-h544-k-no,Supermarket,Supermarket,4.2,8 AM-8 PM,Open All Days,,"Shoprite Jacaranda Mall, C/o Mushili Road And T3 Main Zambia Ndola ZM, 50100, Zambia",experience,https://www.google.com/maps/place/Shoprite+Jacaranda+Mall/data=!4m7!3m6!1s0x196cb5413f5af511:0x2ecfa50269fada43!8m2!3d-13.0046448!4d28.6494179!16s%2Fg%2F11rfsxfms6!19sChIJEfVaP0G1bBkRQ9r6aQKlzy4?authuser=0&hl=en&rclk=1
ChIJOzKHsuS1bBkROpfKG9C14cU,Casu Lava,,False,50,"Name: Mint Cafe Ndola
link: https://www.google.com/maps/search/Mint+Caf%C3%A9+Ndola/@-12.982038399999999,28.660079699999997?authuser=0&hl=en&entry=ttu
Reviews: 339 reviews

Name: Ndola cafe
link: https://www.google.com/maps/search/Ndola+cafe/@-13.008936799999999,28.654431499999998?authuser=0&hl=en&entry=ttu
Reviews: 120 reviews

Name: Strawberry Coffee Bar
link: https://www.google.com/maps/search/Strawberry+Coffee+Bar/@-12.9889884,28.655266500000003?authuser=0&hl=en&entry=ttu
Reviews: 34 reviews

Name: Mursal Cafe
link: https://www.google.com/maps/search/Mursal+Cafe/@-12.963747,28.652465799999995?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews

Name: Eureka
link: https://www.google.com/maps/search/Eureka/@-12.995649799999999,28.6199259?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://casulava.com/,Casu Lava (Owner),https://www.google.com/maps/contrib/101169120329272621597,https://lh5.googleusercontent.com/p/AF1QipNx-1Bff0Ut5_BpRDHBc4If5b1RHeSF7lMnm9fg=w408-h272-k-no,Coffee shop,Coffee shop,4.2,8 AM-9 PM,Open All Days,+260 97 5193332,"Casu Lava, 08 Dag hammarskjoled dr, Ndola 71043, Zambia",atmosphere,https://www.google.com/maps/place/Casu+Lava/data=!4m7!3m6!1s0x196cb5e4b287323b:0xc5e1b5d01bca973a!8m2!3d-12.9849176!4d28.6571431!16s%2Fg%2F11t3vb633q!19sChIJOzKHsuS1bBkROpfKG9C14cU?authuser=0&hl=en&rclk=1
ChIJs8dl7SC1bBkRkxfroYiYrw4,White Orchid,,False,22,"Name: Ndola cafe
link: https://www.google.com/maps/search/Ndola+cafe/@-13.008936799999999,28.654431499999998?authuser=0&hl=en&entry=ttu
Reviews: 120 reviews

Name: Casu Lava
link: https://www.google.com/maps/search/Casu+Lava/@-12.9849176,28.657143099999995?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: Strawberry Coffee Bar
link: https://www.google.com/maps/search/Strawberry+Coffee+Bar/@-12.9889884,28.655266500000003?authuser=0&hl=en&entry=ttu
Reviews: 34 reviews

Name: Mursal Cafe
link: https://www.google.com/maps/search/Mursal+Cafe/@-12.963747,28.652465799999995?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews",https://www.facebook.com/Ndola-Golf-Club-181431128667200/,White Orchid (Owner),,https://lh5.googleusercontent.com/p/AF1QipOyijD1cCMt1wra-xDFEetjw6OuCvAl5sE80hzl=w426-h240-k-no,Cafe,Cafe,4.5,8 AM-7 PM,Open All Days,,"White Orchid, 1 T3, Ndola, Zambia",,https://www.google.com/maps/place/White+Orchid/data=!4m7!3m6!1s0x196cb520ed65c7b3:0xeaf9888a1eb1793!8m2!3d-12.9819275!4d28.6391508!16s%2Fg%2F11f0l1s4nt!19sChIJs8dl7SC1bBkRkxfroYiYrw4?authuser=0&hl=en&rclk=1
ChIJd0phQEq1bBkRCXRP2hTBLxM,Gigibonta Kansenshi,,False,18,"Name: God First Bakery
link: https://www.google.com/maps/search/God+First+Bakery/@-13.0166857,28.624048199999997?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Confection Connection
link: https://www.google.com/maps/search/Confection+Connection/@-12.970257199999999,28.652484599999998?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Gigibonta Jacaranda Mall
link: https://www.google.com/maps/search/Gigibont%C3%A0+Jacaranda+Mall/@-13.004007999999999,28.649086899999997?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Chingola
link: https://www.google.com/maps/search/Chingola/@-12.9685678,28.648886100000002?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Maggie k's Cakes
link: https://www.google.com/maps/search/Maggie+k%27s+Cakes/@-12.958629499999999,28.647694100000002?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/gigibontazambia/,Gigibonta Kansenshi (Owner),https://www.google.com/maps/contrib/102267305190374310227,https://lh5.googleusercontent.com/p/AF1QipNaL5dM4zRM3LPgV8N5XfgKS8jA1ZeS3IHPDpdW=w621-h240-k-no,Ice cream shop,Ice cream shop,4,7 AM-8:30 PM,Open All Days,+260 96 8563649,"Gigibonta Kansenshi, Kwacha Rd, Ndola, Zambia",coffee,https://www.google.com/maps/place/Gigibont%C3%A0+Kansenshi/data=!4m7!3m6!1s0x196cb54a40614a77:0x132fc114da4f7409!8m2!3d-12.9606303!4d28.6323568!16s%2Fg%2F11gyb_82mt!19sChIJd0phQEq1bBkRCXRP2hTBLxM?authuser=0&hl=en&rclk=1
