place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJhRuaME-3n48R2PKjSaJ6yoM,Pali,,False,626,"Name: Maxi Pali
link: https://www.google.com/maps/search/Maxi+Pal%C3%AD/@10.1611779,-85.448584?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1019 reviews

Name: Supermercado Empino
link: https://www.google.com/maps/search/Supermercado+Empino/@10.1501129,-85.4527257?authuser=0&hl=zh-TW&entry=ttu
Reviews: 424 reviews

Name: Supermercado Grupo Economico
link: https://www.google.com/maps/search/Supermercado+Grupo+Economico/@10.1518407,-85.45284149999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 218 reviews

Name: Minisuper Peniel
link: https://www.google.com/maps/search/Minisuper+Peniel/@10.1504164,-85.4491451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Super y concentrados Nicoya
link: https://www.google.com/maps/search/S%C3%BAper+y+concentrados+Nicoya/@10.1433319,-85.451079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://maxipali.co.cr/%3Futm_source%3Dtoplocal%26utm_medium%3Dcpm%26utm_campaign%3Dpreciopaliverano_conceptual_marca%26utm_content%3Dtxt_1080x1080_macroseason%26utm_term%3Dopen_home,Pali (Ye Zhu ),https://www.google.com/maps/contrib/105319162889531961923,https://lh5.googleusercontent.com/p/AF1QipNmaGpZzXqhmL6Mf0uqqMyPnDDryezyYeaOqbl3=w408-h725-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,08:30-19:00,Open All Days,+506 2685 5644,"Pali, Av. 11, Provincia de Guanacaste, Nicoya, El Carmen, Ge Si Da Li Jia ","Jia Ge , He , Ke Ren , Jing Ji ",https://www.google.com/maps/place/Pal%C3%AD/data=!4m7!3m6!1s0x8f9fb74f309a1b85:0x83ca7aa249a3f2d8!8m2!3d10.1482457!4d-85.4524159!16s%2Fg%2F1hf08q54t!19sChIJhRuaME-3n48R2PKjSaJ6yoM?authuser=0&hl=zh-TW&rclk=1
ChIJayMt6EW3n48RJebAZQqGQOg,Pops Nicoya,,False,291,"Name: Pops Tamarindo
link: https://www.google.com/maps/search/Pops+Tamarindo/@10.299596099999999,-85.8409423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Heladeria & Reposteria Virginia's
link: https://www.google.com/maps/search/Helader%C3%ADa+%26+Reposter%C3%ADa+Virginia%27s/@10.143742000000001,-85.451033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Heladeria El Parque
link: https://www.google.com/maps/search/Heladeria+El+Parque/@10.1421116,-85.45329869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.pops.co.cr/,Pops Nicoya (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMGIg1Mx401D_LZBZaptAIBsClTV3iz1maVPpHu=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,10:00-22:00,Open All Days,+506 6166 3942,"5H53+Q3G Pops Nicoya, Av. 19, Provincia de Guanacaste, Nicoya, Ge Si Da Li Jia ","Nai Xi , Kou Wei , Leng Qi , Fu You , Ke Fu ",https://www.google.com/maps/place/Pops+Nicoya/data=!4m7!3m6!1s0x8f9fb745e82d236b:0xe840860a65c0e625!8m2!3d10.1594455!4d-85.447288!16s%2Fg%2F11cp7dfptx!19sChIJayMt6EW3n48RJebAZQqGQOg?authuser=0&hl=zh-TW&rclk=1
ChIJDQjEdUy3n48ROAc-9N5SweY,Soda El Parque,,False,269,"Name: La Tortilleria Nicoya
link: https://www.google.com/maps/search/La+Tortiller%C3%ADa+Nicoya/@10.1433802,-85.4528571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Soda El Condor
link: https://www.google.com/maps/search/Soda+El+Condor/@10.1468153,-85.45265959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 382 reviews

Name: Soda Yadira #2
link: https://www.google.com/maps/search/Soda+Yadira+%232/@10.1423455,-85.4522393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Soda Dona Chica
link: https://www.google.com/maps/search/Soda+Do%C3%B1a+Chica/@10.1452136,-85.4526097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews",https://sodaelparque.negocio.site/?utm_source=gmb&utm_medium=referral,Soda El Parque (Ye Zhu ),https://www.google.com/maps/contrib/111786509047252348780,https://lh5.googleusercontent.com/p/AF1QipPU1VnqeEtOPvGRS8KBGSgoqg2Tne9IIZ0v0lrS=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.1,06:00-21:00,Open All Days,+506 2685 5436,"Soda El Parque, Frente a la parada de taxis, parque de Nicoya, C. 1, Provincia de Guanacaste, Nicoya, Ge Si Da Li Jia ","Ka Pei , Jia Ge , Jie Hun , San Ming Zhi ",https://www.google.com/maps/place/Soda+El+Parque/data=!4m7!3m6!1s0x8f9fb74c75c4080d:0xe6c152def43e0738!8m2!3d10.1428875!4d-85.4528851!16s%2Fg%2F11b634q1ml!19sChIJDQjEdUy3n48ROAc-9N5SweY?authuser=0&hl=zh-TW&rclk=1
ChIJPyQcbEy3n48RbZysWC0c0a4,Cafe Daniela,,False,238,"Name: La Tortilleria Nicoya
link: https://www.google.com/maps/search/La+Tortiller%C3%ADa+Nicoya/@10.1433802,-85.4528571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Chari's Bar Y Restaurante
link: https://www.google.com/maps/search/Chari%27s+Bar+Y+Restaurante/@10.1544141,-85.4506543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 569 reviews

Name: Restaurante Nicoya
link: https://www.google.com/maps/search/Restaurante+Nicoya/@10.1429333,-85.45214829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: Soda El Parque
link: https://www.google.com/maps/search/Soda+El+Parque/@10.142887499999999,-85.4528851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: SANGUCHERIA NICOYA
link: https://www.google.com/maps/search/SANGUCHERIA+NICOYA/@10.1462243,-85.4542891?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.cafedaniela.com/,Cafe Daniela (Ye Zhu ),https://www.google.com/maps/contrib/118271094540180027614,https://lh5.googleusercontent.com/p/AF1QipPPSYIK6q2PdrwIkjl26QixcPzUW5j9uiACYzof=w408-h306-k-no,Can Ting ,Can Ting ,4.1,07:00-20:30,"Xing Qi Ri , Xing Qi Liu ",+506 2686 6148,"Cafe Daniela, 150, Provincia de Guanacaste, Nicoya, Ge Si Da Li Jia ","Jia Ge , Fu You , Nai Xi , Gao , Tang ",https://www.google.com/maps/place/Caf%C3%A9+Daniela/data=!4m7!3m6!1s0x8f9fb74c6c1c243f:0xaed11c2d58ac9c6d!8m2!3d10.1428241!4d-85.4521215!16s%2Fg%2F1v8gd2sd!19sChIJPyQcbEy3n48RbZysWC0c0a4?authuser=0&hl=zh-TW&rclk=1
ChIJt4aM5Em3n48RtIzoKtA_iiM,Cafeteria Nativo,,False,71,"Name: Burger King Nicoya
link: https://www.google.com/maps/search/Burger+King+Nicoya/@10.159343699999999,-85.4475758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 481 reviews

Name: Restaurante Tio Juan
link: https://www.google.com/maps/search/Restaurante+Tio+Juan/@10.1628486,-85.4503634?authuser=0&hl=zh-TW&entry=ttu
Reviews: 284 reviews

Name: CanelAzul
link: https://www.google.com/maps/search/CanelAzul/@10.142146,-85.4543632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: SANGUCHERIA NICOYA
link: https://www.google.com/maps/search/SANGUCHERIA+NICOYA/@10.1462243,-85.4542891?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Las Tinajas Cafe & Bistro
link: https://www.google.com/maps/search/Las+Tinajas+Caf%C3%A9+%26+Bistr%C3%B3/@10.1446051,-85.4515929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://entucelular.com/nativo/,Cafeteria Nativo (Ye Zhu ),https://www.google.com/maps/contrib/107975565084539262007,https://lh5.googleusercontent.com/p/AF1QipOySdTf4tyZNPLfejhQuZ4DqwU0eIr7B9DnTKn_=w408-h272-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting ",4.5,12:00-20:00,Open All Days,,"Cafeteria Nativo, plaza amara, Provincia de Guanacaste, Nicoya, Ge Si Da Li Jia ","Jia Ge , San Ming Zhi , Tian Dian ",https://www.google.com/maps/place/Cafeter%C3%ADa+Nativo/data=!4m7!3m6!1s0x8f9fb749e48c86b7:0x238a3fd02ae88cb4!8m2!3d10.1595668!4d-85.4472401!16s%2Fg%2F11fs03fg_5!19sChIJt4aM5Em3n48RtIzoKtA_iiM?authuser=0&hl=zh-TW&rclk=1
ChIJFyz2MEy3n48RNW9f8q8BLMQ,Heladeria & Reposteria Virginia's,,False,11,"Name: Pops Nicoya
link: https://www.google.com/maps/search/Pops+Nicoya/@10.1594455,-85.447288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Bakery Santa Clara
link: https://www.google.com/maps/search/Bakery+Santa+Clara/@10.1418486,-85.4518847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Heladeria El Parque
link: https://www.google.com/maps/search/Heladeria+El+Parque/@10.1421116,-85.45329869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Bella's Pasteleria&Reposteria
link: https://www.google.com/maps/search/Bella%27s+Pasteler%C3%ADa%26Reposter%C3%ADa/@10.142572900000001,-85.4485914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://heladeria-reposteria-virginias.business.site/?utm_source=gmb&utm_medium=referral,Heladeria & Reposteria Virginia's (Ye Zhu ),https://www.google.com/maps/contrib/111580902431856104865,https://lh5.googleusercontent.com/p/AF1QipPgoHiQ5vcPhHdyOcom2HotF0rFrabuMOpgKKeg=w408-h294-k-no,Xue Gao Dian ,"Xue Gao Dian , Gao Bing Dian ",4.3,09:30-19:30,Open All Days,,"Heladeria & Reposteria Virginia's, 225 Este de Iglesia Colonial de Nicoya, Nicoya Guanacaste, 50201Ge Si Da Li Jia ",,https://www.google.com/maps/place/Helader%C3%ADa+%26+Reposter%C3%ADa+Virginia%27s/data=!4m7!3m6!1s0x8f9fb74c30f62c17:0xc42c01aff25f6f35!8m2!3d10.143742!4d-85.451033!16s%2Fg%2F11cn7mqbv_!19sChIJFyz2MEy3n48RNW9f8q8BLMQ?authuser=0&hl=zh-TW&rclk=1
ChIJv_PTi0m0n48RLCMMYWN-T5E,Casa del Picudo,,False,9,"Name: Pitufo Restaurant
link: https://www.google.com/maps/search/Pitufo+Restaurant/@10.1328598,-85.4109094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Cafe Daniela
link: https://www.google.com/maps/search/Caf%C3%A9+Daniela/@10.1428241,-85.45212149999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: CanelAzul
link: https://www.google.com/maps/search/CanelAzul/@10.142146,-85.4543632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Casa del Sol
link: https://www.google.com/maps/search/Casa+del+Sol/@10.275183799999999,-85.5220745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Soda YoYo
link: https://www.google.com/maps/search/Soda+YoYo/@10.145537299999999,-85.4522832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.facebook.com/casadelpicudo,Casa del Picudo (Ye Zhu ),https://www.google.com/maps/contrib/108526759247605621896,https://lh5.googleusercontent.com/p/AF1QipOqeLghv9OlEFE71gXwu027XzgadCsVd-_rBc2G=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,06:00-18:00,Open All Days,+506 8811 6088,"Casa del Picudo, 3 kms este, Guanacaste Province, Nicoya, Ge Si Da Li Jia ",,https://www.google.com/maps/place/Casa+del+Picudo/data=!4m7!3m6!1s0x8f9fb4498bd3f3bf:0x914f7e63610c232c!8m2!3d10.1789259!4d-85.5470916!16s%2Fg%2F11g7z9ktmf!19sChIJv_PTi0m0n48RLCMMYWN-T5E?authuser=0&hl=zh-TW&rclk=1
ChIJ0cLTAEy3n48RbQqchXiYKVU,Musmanni Nicoya Sur,,False,473,"Name: Panaderia La Castellana
link: https://www.google.com/maps/search/Panaderia+La+Castellana/@10.1444268,-85.45234409999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Bakery Santa Clara
link: https://www.google.com/maps/search/Bakery+Santa+Clara/@10.1418486,-85.4518847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Musmanni Nicoya Norte
link: https://www.google.com/maps/search/Musmanni+Nicoya+Norte/@10.1536676,-85.45547429999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Musmanni Huacas
link: https://www.google.com/maps/search/Musmanni+Huacas/@10.3682517,-85.7736022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Bella's Pasteleria&Reposteria
link: https://www.google.com/maps/search/Bella%27s+Pasteler%C3%ADa%26Reposter%C3%ADa/@10.142572900000001,-85.4485914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Musmanni Nicoya Sur (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNQVsGKHykJ9agX8AGDj-aeLmCRl7H4VdYG2obM=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,05:00-21:00,Open All Days,+506 2686 6473,"4GVW+PR5 Musmanni Nicoya Sur, Av. 1, Provincia de Guanacaste, Nicoya, Santa Lucia, Ge Si Da Li Jia ","Pin Zhi , Chan Pin , Jia Ge , Ke Ren , Ka Pei , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Musmanni+Nicoya+Sur/data=!4m7!3m6!1s0x8f9fb74c00d3c2d1:0x55299878859c0a6d!8m2!3d10.144257!4d-85.4528831!16s%2Fg%2F1tmplkpq!19sChIJ0cLTAEy3n48RbQqchXiYKVU?authuser=0&hl=zh-TW&rclk=1
ChIJBVUlHUy3n48RT8adbYfbt4E,Panaderia La Castellana,,False,434,"Name: Musmanni Nicoya Sur
link: https://www.google.com/maps/search/Musmanni+Nicoya+Sur/@10.144257,-85.4528831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 473 reviews

Name: Bakery Santa Clara
link: https://www.google.com/maps/search/Bakery+Santa+Clara/@10.1418486,-85.4518847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Panaderia Y Reposteria S""chino
link: https://www.google.com/maps/search/Panader%C3%ADa+Y+Reposter%C3%ADa+S%22chino/@10.157875299999999,-85.4537598?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Pan Casero Teresita de Nicoya
link: https://www.google.com/maps/search/Pan+Casero+Teresita+de+Nicoya/@10.152640199999999,-85.4523217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Bella's Pasteleria&Reposteria
link: https://www.google.com/maps/search/Bella%27s+Pasteler%C3%ADa%26Reposter%C3%ADa/@10.142572900000001,-85.4485914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Panaderia La Castellana (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMkw_1si0-rzyk-m_ZZAEKeqvSNmpucXxIZueEH=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,05:00-20:00,Open All Days,+506 2686 6150,"4GVX+Q3C Panaderia La Castellana, 150, Provincia de Guanacaste, Nicoya, Ge Si Da Li Jia ","Jia Ge , Tian Dian , Zao Can , Fu You , Pin Zhi , Kou Wei , Ka Pei Ting , Ke Ren , Chan Pin ",https://www.google.com/maps/place/Panaderia+La+Castellana/data=!4m7!3m6!1s0x8f9fb74c1d255505:0x81b7db876d9dc64f!8m2!3d10.1444268!4d-85.4523441!16s%2Fg%2F113g1x35m!19sChIJBVUlHUy3n48RT8adbYfbt4E?authuser=0&hl=zh-TW&rclk=1
ChIJEbE_kW-3n48RxYjD6YUzv70,Plaza Amara Nicoya,,False,240,"Name: Subway Nicoya
link: https://www.google.com/maps/search/Subway+Nicoya/@10.150265899999999,-85.4523482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Cafeteria Nativo
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Nativo/@10.1595668,-85.4472401?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Mundiplaza
link: https://www.google.com/maps/search/Mundiplaza/@10.1461128,-85.4525712?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Mercado Nicoa
link: https://www.google.com/maps/search/Mercado+Nicoa/@10.1461727,-85.4524034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Plaza Nicoya
link: https://www.google.com/maps/search/Plaza+Nicoya/@10.150258599999999,-85.4523038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Plaza Amara Nicoya (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMQ_sbAX7-hVpr0J-BJu90A6aJLT0VfF6aKqKbw=w408-h503-k-no,Gou Wu Zhong Xin ,Gou Wu Zhong Xin ,4.4,12:00-19:00,Open All Days,+506 8840 0480,"5H52+RX9 Plaza Amara Nicoya, Provincia de Guanacaste, Nicoya, Bosques Don Jose, Ge Si Da Li Jia ","Bing Qi Lin , Ting Che , Ka Pei , Su Shi ",https://www.google.com/maps/place/Plaza+Amara+Nicoya/data=!4m7!3m6!1s0x8f9fb76f913fb111:0xbdbf3385e9c388c5!8m2!3d10.159539!4d-85.4475016!16s%2Fg%2F11f5vf66yj!19sChIJEbE_kW-3n48RxYjD6YUzv70?authuser=0&hl=zh-TW&rclk=1
