place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJr-Ui-TctSUYRJl9-5NxZ1Qk,Kvickly,,False,2511,"Name: fotex Norresundby
link: https://www.google.com/maps/search/f%C3%B8tex+N%C3%B8rresundby/@57.0597146,9.9177106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1375 reviews

Name: SuperBrugsen
link: https://www.google.com/maps/search/SuperBrugsen/@57.0563483,9.923049899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 743 reviews

Name: JYSK
link: https://www.google.com/maps/search/JYSK/@57.0884249,9.9765629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 206 reviews

Name: Kvickly (Loftbrovej / Norresundby)
link: https://www.google.com/maps/search/Kvickly+%28Loftbrovej+%2F+N%C3%B8rresundby%29/@57.0891088,9.975884899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://kvicklynoerresundby.dk/,Kvickly (Ye Zhu ),https://www.google.com/maps/contrib/105732262590629789666,https://lh5.googleusercontent.com/p/AF1QipMaFYq4ndIyRu1to65tNmZWf1ZiFGKpM7ak9i16=w408-h306-k-no,Pi Fa Dian ,"Pi Fa Dian , Jia Ju Yong Pin Dian ",3.9,07:00-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 96 32 34 00,"Kvickly, Loftbrovej 17, Postbox 86, 9400 Norresundby, Dan Mai ","Chan Pin , Jia Ge ",https://www.google.com/maps/place/Kvickly/data=!4m7!3m6!1s0x46492d37f922e5af:0x9d559dce47e5f26!8m2!3d57.0887504!4d9.9766028!16s%2Fg%2F1hc1l8j1d!19sChIJr-Ui-TctSUYRJl9-5NxZ1Qk?authuser=0&hl=zh-TW&rclk=1
ChIJbURIzYwySUYRI4iosgMWq2s,Cafe Penny Lane,,False,1693,"Name: Cafe Peace
link: https://www.google.com/maps/search/Caf%C3%A9+Peace/@57.0473115,9.920256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1269 reviews

Name: Koch's Kaffebar
link: https://www.google.com/maps/search/Koch%27s+Kaffebar/@57.047255299999996,9.9211805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 687 reviews

Name: Cafe Luna
link: https://www.google.com/maps/search/Caf%C3%A9+Luna/@57.0443961,9.9181408?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Cafe Min Olivia
link: https://www.google.com/maps/search/Caf%C3%A9+Min+Olivia/@57.049842999999996,9.917811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews",http://pennylanecafe.dk/,Cafe Penny Lane (Ye Zhu ),https://www.google.com/maps/contrib/106053495172377378545,https://lh5.googleusercontent.com/p/AF1QipOCKjgUUAMwngRPc5c9R21OO3YeDM1ljYvisZEG=w408-h270-k-no,Ka Pei Ting ,"Ka Pei Ting , Gao Bing Dian , Fa Shi Gao Bing Dian ",4.4,08:00-18:00,Open All Days,+45 98 12 58 00,"Cafe Penny Lane, Skipper Clements Gade 1a, 9000 Aalborg, Dan Mai ","Jia Ge , atmosphere, Zao Wu Can , San Ming Zhi , Tian Dian , vegan, Xuan Ze , Gou ",https://www.google.com/maps/place/Cafe+Penny+Lane/data=!4m7!3m6!1s0x4649328ccd48446d:0x6bab1603b2a88823!8m2!3d57.0471337!4d9.9204138!16s%2Fg%2F1tdz7_xw!19sChIJbURIzYwySUYRI4iosgMWq2s?authuser=0&hl=zh-TW&rclk=1
ChIJvXiKk4wySUYRHmUgjEO6ygI,Cafe Vi2,,False,1596,"Name: Cafe Peace
link: https://www.google.com/maps/search/Caf%C3%A9+Peace/@57.0473115,9.920256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1269 reviews

Name: Cafeministeriet
link: https://www.google.com/maps/search/Caf%C3%A9ministeriet/@57.0460028,9.9213036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1087 reviews

Name: Bistro V
link: https://www.google.com/maps/search/Bistro+V/@57.0499832,9.9232829?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Cafe KlosterTorvet
link: https://www.google.com/maps/search/Caf%C3%A9+KlosterTorvet/@57.049097599999996,9.9195365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 658 reviews

Name: Cafe Min Olivia
link: https://www.google.com/maps/search/Caf%C3%A9+Min+Olivia/@57.049842999999996,9.917811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews",https://cafevi2.dk/,Cafe Vi2 (Ye Zhu ),https://www.google.com/maps/contrib/107745827331032237690,https://lh5.googleusercontent.com/p/AF1QipNHA8eXdAUDcUEqwVN67spTd4-anbF8K_TKYpgV=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-23:00,Open All Days,+45 98 10 25 23,"Cafe Vi2, C. W. Obels Pl. 2, 9000 Aalborg, Dan Mai ","Han Bao , Jia Ge , Zao Wu Can , Pi Jiu , atmosphere, vegan, Zhu Can , Sha La , Diao Jiu , Bing Sha ",https://www.google.com/maps/place/Cafe+Vi2/data=!4m7!3m6!1s0x4649328c938a78bd:0x2caba438c20651e!8m2!3d57.0491343!4d9.9199832!16s%2Fg%2F1th22dd7!19sChIJvXiKk4wySUYRHmUgjEO6ygI?authuser=0&hl=zh-TW&rclk=1
ChIJS-F5y4cySUYRBh895Ohpd0o,fotex Norresundby,,False,1375,"Name: SuperBrugsen
link: https://www.google.com/maps/search/SuperBrugsen/@57.0563483,9.923049899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 743 reviews

Name: 365discount Norresundby, Sonderport
link: https://www.google.com/maps/search/365discount+N%C3%B8rresundby%2C+S%C3%B8nderport/@57.058172799999994,9.9240475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews

Name: Norresundby City Center
link: https://www.google.com/maps/search/N%C3%B8rresundby+City+Center/@57.059750699999995,9.918215499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 199 reviews

Name: PostNord postbutik Fotex
link: https://www.google.com/maps/search/PostNord+postbutik+F%C3%B8tex/@57.0476764,9.9250154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: fotex ud af huset
link: https://www.google.com/maps/search/f%C3%B8tex+ud+af+huset/@57.0598259,9.9175915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.foetex.dk/kundeservice/find-din-foetex/,fotex Norresundby (Ye Zhu ),https://www.google.com/maps/contrib/100417105299705690380,https://lh5.googleusercontent.com/p/AF1QipOl95JZyxcUbSrDzz0tlrgM38FWFqH4UBRI7WSF=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Da Xing Chao Ji Shi Chang ",4.1,07:00-21:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 99 32 50 00,"fotex Norresundby, Vestergade 30, 9400 Norresundby, Dan Mai ",,https://www.google.com/maps/place/f%C3%B8tex+N%C3%B8rresundby/data=!4m7!3m6!1s0x46493287cb79e14b:0x4a7769e8e43d1f06!8m2!3d57.0597146!4d9.9177106!16s%2Fg%2F1hc1grxjd!19sChIJS-F5y4cySUYRBh895Ohpd0o?authuser=0&hl=zh-TW&rclk=1
ChIJo-GEAocjT0YRSXK_4TSdeww,Lidl,,False,1354,"Name: fotex Norresundby
link: https://www.google.com/maps/search/f%C3%B8tex+N%C3%B8rresundby/@57.0597146,9.9177106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1375 reviews

Name: REMA 1000
link: https://www.google.com/maps/search/REMA+1000/@57.0595127,9.919371?authuser=0&hl=zh-TW&entry=ttu
Reviews: 613 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@57.069408800000005,9.9038187?authuser=0&hl=zh-TW&entry=ttu
Reviews: 553 reviews

Name: Lindholm-El
link: https://www.google.com/maps/search/Lindholm-El/@57.0685357,9.8988331?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.lidl.dk/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website&utm_content=noerresundby-thistedvej,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/104365530897748191872,https://lh5.googleusercontent.com/p/AF1QipN6eG6HpRQdw3guE8AFD_dPTOz0cC6RQNSdpgGp=w408-h544-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.1,07:00-21:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 80 70 27 02,"Lidl, Thistedvej 1D, 9400 Norresundby, Dan Mai ","Jia Ge , You Hui , Ting Che ",https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x464f23870284e1a3:0xc7b9d34e1bf7249!8m2!3d57.06321!4d9.91033!16s%2Fg%2F1v9ghlst!19sChIJo-GEAocjT0YRSXK_4TSdeww?authuser=0&hl=zh-TW&rclk=1
ChIJc05TM_MySUYRKQUKxq4WjMg,Cafe Peace,,False,1269,"Name: Cafe Penny Lane
link: https://www.google.com/maps/search/Cafe+Penny+Lane/@57.047133699999996,9.9204138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1693 reviews

Name: Friends bar & kitchen
link: https://www.google.com/maps/search/Friends+bar+%26+kitchen/@57.049609200000006,9.916046399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 860 reviews

Name: Cafe Luna
link: https://www.google.com/maps/search/Caf%C3%A9+Luna/@57.0443961,9.9181408?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Provence
link: https://www.google.com/maps/search/Provence/@57.050513699999996,9.920058700000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 546 reviews

Name: Cafe Min Olivia
link: https://www.google.com/maps/search/Caf%C3%A9+Min+Olivia/@57.049842999999996,9.917811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews",https://www.cafepeace.dk/,Cafe Peace (Ye Zhu ),https://www.google.com/maps/contrib/112149664798393735320,https://lh5.googleusercontent.com/p/AF1QipOs1JFnIiKIIVqPesnpA94eqOPor_kEMjFeBsh9=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Duo Gong Neng Shi She Shi , Can Ting ",4.3,08:00-22:00,Open All Days,+45 70 70 71 03,"Cafe Peace, Boulevarden 4, 9000 Aalborg, Dan Mai ","Jia Ge , Zao Wu Can , Han Bao , Dan Gao ",https://www.google.com/maps/place/Caf%C3%A9+Peace/data=!4m7!3m6!1s0x464932f333534e73:0xc88c16aec60a0529!8m2!3d57.0473115!4d9.920256!16s%2Fg%2F11b7r689px!19sChIJc05TM_MySUYRKQUKxq4WjMg?authuser=0&hl=zh-TW&rclk=1
ChIJ_wPFJI8ySUYRaQwtb72D9eY,SuperBrugsen,,False,743,"Name: Kvickly
link: https://www.google.com/maps/search/Kvickly/@57.088750399999995,9.9766028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2510 reviews

Name: fotex Norresundby
link: https://www.google.com/maps/search/f%C3%B8tex+N%C3%B8rresundby/@57.0597146,9.9177106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1375 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@57.069520399999995,9.9454235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 642 reviews

Name: 365discount Norresundby, Sonderport
link: https://www.google.com/maps/search/365discount+N%C3%B8rresundby%2C+S%C3%B8nderport/@57.058172799999994,9.9240475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews

Name: SuperBrugsen Pandrup
link: https://www.google.com/maps/search/SuperBrugsen+Pandrup/@57.224340999999995,9.6778629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 525 reviews",https://superbrugsennordhavnen.dk/,SuperBrugsen (Ye Zhu ),https://www.google.com/maps/contrib/111166826942423277122,https://lh5.googleusercontent.com/p/AF1QipMF7To06UXULjK48ffpnVxSh25DwluIdfdAnn_7=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:00-19:45,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 96 20 19 60,"SuperBrugsen, Havnegade 10, 9400 Norresundby, Dan Mai ",Jia Ge ,https://www.google.com/maps/place/SuperBrugsen/data=!4m7!3m6!1s0x4649328f24c503ff:0xe6f583bd6f2d0c69!8m2!3d57.0563483!4d9.9230499!16s%2Fg%2F11gcbvx7sm!19sChIJ_wPFJI8ySUYRaQwtb72D9eY?authuser=0&hl=zh-TW&rclk=1
ChIJLZcvbvMySUYRfKoP6QgXMU8,Spiret Aalborg,,False,716,"Name: Cafe Peace
link: https://www.google.com/maps/search/Caf%C3%A9+Peace/@57.0473115,9.920256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1269 reviews

Name: Cafeministeriet
link: https://www.google.com/maps/search/Caf%C3%A9ministeriet/@57.0460028,9.9213036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1087 reviews

Name: Cafe Luna
link: https://www.google.com/maps/search/Caf%C3%A9+Luna/@57.0443961,9.9181408?authuser=0&hl=zh-TW&entry=ttu
Reviews: 657 reviews

Name: Cafe Min Olivia
link: https://www.google.com/maps/search/Caf%C3%A9+Min+Olivia/@57.049842999999996,9.917811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews

Name: Helmuth
link: https://www.google.com/maps/search/Helmuth/@57.045173899999995,9.9180604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 499 reviews",http://spiretaalborg.dk/,Spiret Aalborg (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNFORNkrlvYKOzMPqbGYorcJGzRVYYj-cJjoxmB=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4,09:00-22:00,Open All Days,+45 98 10 33 00,"Spiret Aalborg, Boulevarden 24, 9000 Aalborg, Dan Mai ","Zao Wu Can , Jia Ge , Han Bao , Song Bing , Guo Zhi , Zha Yu Shu Tiao ",https://www.google.com/maps/place/Spiret+Aalborg/data=!4m7!3m6!1s0x464932f36e2f972d:0x4f311708e90faa7c!8m2!3d57.0455243!4d9.9181013!16s%2Fg%2F1tctw4p8!19sChIJLZcvbvMySUYRfKoP6QgXMU8?authuser=0&hl=zh-TW&rclk=1
ChIJR14CeX4tSUYRNPK4Nr5GchU,REMA 1000,,False,701,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@57.06321,9.91033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1352 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@57.069520399999995,9.9454235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 642 reviews

Name: 365discount Norresundby, Sonderport
link: https://www.google.com/maps/search/365discount+N%C3%B8rresundby%2C+S%C3%B8nderport/@57.058172799999994,9.9240475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews

Name: Naerkob
link: https://www.google.com/maps/search/N%C3%A6rk%C3%B8b/@57.0705556,9.9347222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Lovvang Shopping Center
link: https://www.google.com/maps/search/L%C3%B8vvang+Shopping+Center/@57.071853700000005,9.926939599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://rema1000.dk/stores/983/,REMA 1000 (Ye Zhu ),https://www.google.com/maps/contrib/116984855726154071327,https://lh5.googleusercontent.com/p/AF1QipPBZvQ4r3ef3e1x6NElBBPjJmtaFoh3ryAo5gr9=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Za Huo Dian ",4.2,08:00-21:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 96 32 05 30,"REMA 1000, Lovbakken 4 B, 9400 Norresundby, Dan Mai ",,https://www.google.com/maps/place/REMA+1000/data=!4m7!3m6!1s0x46492d7e79025e47:0x157246be36b8f234!8m2!3d57.0716971!4d9.926523!16s%2Fg%2F11c0xvjwmj!19sChIJR14CeX4tSUYRNPK4Nr5GchU?authuser=0&hl=zh-TW&rclk=1
ChIJBVZ8e4sySUYRFMR78U94_94,Cafe Vestera V4,,False,700,"Name: Cafe Peace
link: https://www.google.com/maps/search/Caf%C3%A9+Peace/@57.0473115,9.920256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1269 reviews

Name: Cafeministeriet
link: https://www.google.com/maps/search/Caf%C3%A9ministeriet/@57.0460028,9.9213036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1087 reviews

Name: Cafe Min Olivia
link: https://www.google.com/maps/search/Caf%C3%A9+Min+Olivia/@57.049842999999996,9.917811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews

Name: Struktur
link: https://www.google.com/maps/search/Struktur/@57.049746999999996,9.9179739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews",http://www.cafevesteraa.dk/,Cafe Vestera V4 (Ye Zhu ),https://www.google.com/maps/contrib/108883441644947003052,https://lh5.googleusercontent.com/p/AF1QipOCObRqeaG2_ROURm2AdlXQDj8lk4zxMzSQU7jW=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Ye Zong Hui ",4,11:00-00:00,Xing Qi Ri ,+45 98 16 99 99,"Cafe Vestera V4, Vestera 4, 9000 Aalborg, Dan Mai ","Diao Jiu , Jia Ge , Han Bao , Di Ban , Zao Wu Can , Yin Le ",https://www.google.com/maps/place/Cafe+Vester%C3%A5+V4/data=!4m7!3m6!1s0x4649328b7b7c5605:0xdeff784ff17bc414!8m2!3d57.049806!4d9.918061!16s%2Fg%2F1th5yd2r!19sChIJBVZ8e4sySUYRFMR78U94_94?authuser=0&hl=zh-TW&rclk=1
