place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJgR86fuiivpURYS27xZKygEY,La Anonima,,False,1436,"Name: Cooperativa Obrera
link: https://www.google.com/maps/search/Cooperativa+Obrera/@-35.45138,-60.89745599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 913 reviews

Name: Carniceria La Central
link: https://www.google.com/maps/search/Carniceria+La+Central/@-35.44737260000001,-60.890024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: La Vieja Esquina
link: https://www.google.com/maps/search/La+Vieja+Esquina/@-35.4528694,-60.8857651?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Rotiseria La Esquina
link: https://www.google.com/maps/search/Rotiser%C3%ADa+La+Esquina/@-35.4468047,-60.876898000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.laanonima.com.ar/,La Anonima (Ye Zhu ),https://www.google.com/maps/contrib/114483817267502640025,https://lh5.googleusercontent.com/p/AF1QipP_ey1uv15XyazQy2ccODDZoYHdgOKr7X9Atnsz=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.4,08:00-21:00,Open All Days,+54 2317 42-8695,"La Anonima, Av Agustin Alvarez 261, esquina, Avellaneda, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Gong Ying , Qing Jie , Pin Pai , Yong Pin , Ting Che Chang , Rou , He , 7Yue ",https://www.google.com/maps/place/La+An%C3%B3nima/data=!4m7!3m6!1s0x95bea2e87e3a1f81:0x4680b292c5bb2d61!8m2!3d-35.4572485!4d-60.8903132!16s%2Fg%2F11cs9y6vsx!19sChIJgR86fuiivpURYS27xZKygEY?authuser=0&hl=zh-TW&rclk=1
ChIJVVXlueoNv5URxlgz0IvNvxs,Torremolinos,,False,1365,"Name: Olivo Cafe+Resto
link: https://www.google.com/maps/search/Olivo+Caf%C3%A9%2BRest%C3%B3/@-35.4410071,-60.87695240000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 897 reviews

Name: El Lomito Comidas Calientes
link: https://www.google.com/maps/search/El+Lomito+Comidas+Calientes/@-35.4452977,-60.8859954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: El Lomito Hamburger
link: https://www.google.com/maps/search/El+Lomito+Hamburger/@-35.455984199999996,-60.8822758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: LA TABA
link: https://www.google.com/maps/search/LA+TABA/@-35.4485852,-60.8801014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews",https://www.facebook.com/torremolinostaberna9dejulio/,Torremolinos (Ye Zhu ),https://www.google.com/maps/contrib/105418724143854890998,https://lh5.googleusercontent.com/p/AF1QipO-_3V2gAI0d5IAxjTPgrVisugIDF5ZltJQf-2M=w408-h306-k-no,Can Ting ,Can Ting ,4.1,07:00-03:00,Xing Qi Er ,+54 2317 42-2738,"Torremolinos, 898, Av. Vedia 800, 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Pi Sa , Ka Pei , Xian Bing , Jia Ting , Pi Jiu , Zai Nan , Li Shi , Wan Can ",https://www.google.com/maps/place/Torremolinos/data=!4m7!3m6!1s0x95bf0deab9e55555:0x1bbfcd8bd03358c6!8m2!3d-35.4457472!4d-60.883363!16s%2Fg%2F11c6s0pb41!19sChIJVVXlueoNv5URxlgz0IvNvxs?authuser=0&hl=zh-TW&rclk=1
ChIJ9Sj5pTQNv5URlInpDbFE3Gs,Cooperativa Obrera,,False,912,"Name: La Anonima
link: https://www.google.com/maps/search/La+An%C3%B3nima/@-35.4572485,-60.89031319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1436 reviews

Name: Super Todo
link: https://www.google.com/maps/search/Super+Todo/@-35.4429112,-60.88135?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews

Name: Grupo Los Grobo
link: https://www.google.com/maps/search/Grupo+Los+Grobo/@-35.4417222,-60.8784837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cooperativa Electrica
link: https://www.google.com/maps/search/Cooperativa+Electrica/@-35.4525126,-60.882088100000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cooperativaobrera.coop/,Cooperativa Obrera (Ye Zhu ),https://www.google.com/maps/contrib/113915101446730646440,https://lh5.googleusercontent.com/p/AF1QipMCXHbNult4sR2H8sJ5UepWuB-HzMF-QdRU0InY=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.4,08:30-20:30,Open All Days,+54 2317 52-4469,"Cooperativa Obrera, Bartolome Mitre 2537, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Gong Ying , Pin Pai , Ting Che Chang , Jia Dian , He , Zhi Fu , Wu Zhang Ai ",https://www.google.com/maps/place/Cooperativa+Obrera/data=!4m7!3m6!1s0x95bf0d34a5f928f5:0x6bdc44b10de98994!8m2!3d-35.45138!4d-60.897456!16s%2Fg%2F11c1v5sspk!19sChIJ9Sj5pTQNv5URlInpDbFE3Gs?authuser=0&hl=zh-TW&rclk=1
ChIJrU6qiQYNv5URC4zk_JfU2Do,Olivo Cafe+Resto,,False,897,"Name: PIZZERIA MANOLO
link: https://www.google.com/maps/search/PIZZERIA+MANOLO/@-35.4456821,-60.88615139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1736 reviews

Name: El Lomito Comidas Calientes
link: https://www.google.com/maps/search/El+Lomito+Comidas+Calientes/@-35.4452977,-60.8859954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: il cuoco..trattoria & ristorante
link: https://www.google.com/maps/search/il+cuoco..trattoria+%26+ristorante/@-35.4463992,-60.8815743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Pizzas Verona Delivery
link: https://www.google.com/maps/search/Pizzas+Verona+Delivery/@-35.4448027,-60.8868145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",http://www.olivocaferesto.com.ar/,Olivo Cafe+Resto (Ye Zhu ),https://www.google.com/maps/contrib/110252120484288934970,https://lh5.googleusercontent.com/p/AF1QipN4067JaM0ZLe8wOxTTWycXdnoewOk6h874XRY=w456-h240-k-no,Can Ting ,"Can Ting , Jiu Ba , Zi Zhu Can Ting , Wai Song Su Di Can Ting , Wai Mai Zi Qu Can Ting ",4,08:00-02:00,Open All Days,+54 9 2317 45-6440,"Olivo Cafe+Resto, Av, Bartolome Mitre 486, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Xin , Gong Yuan , Shi Jue , Zai Nan , Hong Jiu , Tu Si ",https://www.google.com/maps/place/Olivo+Caf%C3%A9%2BRest%C3%B3/data=!4m7!3m6!1s0x95bf0d0689aa4ead:0x3ad8d497fce48c0b!8m2!3d-35.4410071!4d-60.8769524!16s%2Fg%2F11fpjrkkdp!19sChIJrU6qiQYNv5URC4zk_JfU2Do?authuser=0&hl=zh-TW&rclk=1
ChIJfXVqLJUNv5URUS0Mnra2I9c,Cooper's Cafe Resto Bar,,False,412,"Name: La Cantina de Don Cano
link: https://www.google.com/maps/search/La+Cantina+de+Don+Cano/@-35.4441331,-60.8819836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Cocina Club Rotiseria
link: https://www.google.com/maps/search/Cocina+Club+Rotiser%C3%ADa/@-35.4510377,-60.8760776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Despensa Scatto
link: https://www.google.com/maps/search/Despensa+Scatto/@-35.4408692,-60.892284000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Hotel Cooper
link: https://www.google.com/maps/search/Hotel+Cooper/@-35.449917,-60.883329999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/Coopers.Cafe.Resto.Bar/,Cooper's Cafe Resto Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO_WG3SnElAAIFrOMuXT9hNoSp6hydVLxrCZDAZ=w426-h240-k-no,Can Ting ,Can Ting ,4.3,06:30-00:00,Open All Days,+54 2317 42-2421,"Cooper's Cafe Resto Bar, Bartolome Mitre 1230, B6500AAZ 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Han Bao , Jia Ting , Xin , Wan Can ",https://www.google.com/maps/place/Cooper%27s+Caf%C3%A9+Resto+Bar/data=!4m7!3m6!1s0x95bf0d952c6a757d:0xd723b6b69e0c2d51!8m2!3d-35.4448213!4d-60.8844489!16s%2Fg%2F11bw3_chvf!19sChIJfXVqLJUNv5URUS0Mnra2I9c?authuser=0&hl=zh-TW&rclk=1
ChIJiXEQ2JoOv5URxu868oluDlM,Autoservicio Mayorista Diarco De Julio,,False,286,"Name: Aromas de Campo
link: https://www.google.com/maps/search/Aromas+de+Campo/@-35.468220599999995,-60.850643299999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Autoservicio San Andres
link: https://www.google.com/maps/search/Autoservicio+San+Andr%C3%A9s/@-35.4507762,-60.884911599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Distribuidora Gandini
link: https://www.google.com/maps/search/Distribuidora+Gandini/@-35.455504399999995,-60.894138000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Centro De Distribucion 9 De Julio Srl
link: https://www.google.com/maps/search/Centro+De+Distribucion+9+De+Julio+Srl/@-35.4490773,-60.8927813?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.diarco.com.ar/,Autoservicio Mayorista Diarco De Julio (Ye Zhu ),https://www.google.com/maps/contrib/116950494317374249593,https://lh5.googleusercontent.com/p/AF1QipNCjXSl1BP6cPpE7C6on6r4uImtt7wTVDJ-7KGa=w408-h408-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Da Xing Chao Ji Shi Chang , Pi Fa Shang ",4.3,08:00-18:00,Open All Days,+54 2317 42-7277,"Autoservicio Mayorista Diarco De Julio, RN5 Km 262, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Yong Pin , Wei Sheng , Pi Fa ",https://www.google.com/maps/place/Autoservicio+Mayorista+Diarco+De+Julio/data=!4m7!3m6!1s0x95bf0e9ad8107189:0x530e6e89f23aefc6!8m2!3d-35.4686613!4d-60.8525215!16s%2Fg%2F1vhklrcc!19sChIJiXEQ2JoOv5URxu868oluDlM?authuser=0&hl=zh-TW&rclk=1
ChIJzbLtV44Nv5URIDTg3A6w3v8,Gelateria Giuseppino,,False,269,"Name: Pampita ice cream & confectionery
link: https://www.google.com/maps/search/Pampita+ice+cream+%26+confectionery/@-35.4456911,-60.884544700000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 609 reviews

Name: Yo Heladerias
link: https://www.google.com/maps/search/Yo+Helader%C3%ADas/@-35.4414022,-60.87854900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 436 reviews

Name: Grido
link: https://www.google.com/maps/search/Grido/@-35.4463261,-60.88768929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews

Name: Gelatiamo
link: https://www.google.com/maps/search/Gelatiamo/@-35.4467067,-60.8851192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Heladerias
link: https://www.google.com/maps/search/Heladerias/@-35.445023,-60.8851198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/GelateriaGiuseppino/,Gelateria Giuseppino (Ye Zhu ),https://www.google.com/maps/contrib/105302260621812562222,https://lh5.googleusercontent.com/p/AF1QipMlAfwUx73NL6gXftr3hVtWI2hKhosPgKGal_oM=w408-h544-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,10:00-00:00,Open All Days,+54 2317 43-1757,"Gelateria Giuseppino, CLB, Avenida Compaire 1324, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Shou Gong , Fu You , Jia Ge , Chan Pin ",https://www.google.com/maps/place/Gelateria+Giuseppino/data=!4m7!3m6!1s0x95bf0d8e57edb2cd:0xffdeb00edce03420!8m2!3d-35.4365008!4d-60.8921035!16s%2Fg%2F11c32gjtzm!19sChIJzbLtV44Nv5URIDTg3A6w3v8?authuser=0&hl=zh-TW&rclk=1
ChIJH_-Ssk4Nv5URG_7hVa5Vrrw,Box Work Cafe,,False,243,"Name: Olivo Cafe+Resto
link: https://www.google.com/maps/search/Olivo+Caf%C3%A9%2BRest%C3%B3/@-35.4410071,-60.87695240000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 897 reviews

Name: Cooper's Cafe Resto Bar
link: https://www.google.com/maps/search/Cooper%27s+Caf%C3%A9+Resto+Bar/@-35.4448213,-60.88444889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews

Name: La Cantina de Don Cano
link: https://www.google.com/maps/search/La+Cantina+de+Don+Cano/@-35.4441331,-60.8819836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Pizzas Verona Delivery
link: https://www.google.com/maps/search/Pizzas+Verona+Delivery/@-35.4448027,-60.8868145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Resto-bar nueva ciudad
link: https://www.google.com/maps/search/Resto-bar+nueva+ciudad/@-35.4607276,-60.87199399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://www.boxcafe.com.ar/,Box Work Cafe (Ye Zhu ),https://www.google.com/maps/contrib/114362480525888081803,https://lh5.googleusercontent.com/p/AF1QipPKMYem3TTJFt2LC0IaSW-0A_JgzCGT8Q5bcCYi=w408-h305-k-no,Ying Shi Gao Ji Jiu Ba ,Ying Shi Gao Ji Jiu Ba ,4.6,07:30-00:00,Open All Days,+54 2317 52-5370,"Box Work Cafe, Av Juan Domingo Peron 1894, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Huan Jing , Wu Can , Hui Yi , Xiang Fa , Sheng Tong ",https://www.google.com/maps/place/Box+Work+Caf%C3%A9/data=!4m7!3m6!1s0x95bf0d4eb292ff1f:0xbcae55ae55e1fe1b!8m2!3d-35.4678369!4d-60.8502571!16s%2Fg%2F11t4bcx03n!19sChIJH_-Ssk4Nv5URG_7hVa5Vrrw?authuser=0&hl=zh-TW&rclk=1
ChIJz0jY05QNv5URCPR4rrLRVro,Autoservicio Rio Uruguay,,False,99,"Name: Super Todo
link: https://www.google.com/maps/search/Super+Todo/@-35.4429112,-60.88135?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews

Name: Super Tuti 3
link: https://www.google.com/maps/search/Super+Tuti+3/@-35.4378293,-60.8894065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: Autoservicio San Andres
link: https://www.google.com/maps/search/Autoservicio+San+Andr%C3%A9s/@-35.4507762,-60.884911599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Verduleria Super Nico
link: https://www.google.com/maps/search/Verduler%C3%ADa+Super+Nico/@-35.4415462,-60.88768100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Verduleria ER y P
link: https://www.google.com/maps/search/Verduleria+ER+y+P/@-35.446965,-60.8769243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/riouruguay9dejulio/,Autoservicio Rio Uruguay (Ye Zhu ),https://www.google.com/maps/contrib/107403911695322588740,https://lh5.googleusercontent.com/p/AF1QipNHt-Vc_g-GvF64JpJS_Y07Z1HGUP2sfdbPFC2F=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.7,"08:00-13:00, 16:00-21:00",Xing Qi Ri ,+54 2317 61-0444,"Autoservicio Rio Uruguay, Av. Cosentino 802, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/Autoservicio+R%C3%ADo+Uruguay/data=!4m7!3m6!1s0x95bf0d94d3d848cf:0xba56d1b2ae78f408!8m2!3d-35.4425185!4d-60.8773762!16s%2Fg%2F11c7vrp0tv!19sChIJz0jY05QNv5URCPR4rrLRVro?authuser=0&hl=zh-TW&rclk=1
ChIJT8FUxO8Nv5UReoThVe5Ys0E,D'etalles Regaleria Artesanal,,False,4,"Name: Santeria y Regaleria Iluminate
link: https://www.google.com/maps/search/Santer%C3%ADa+y+Regaler%C3%ADa+Iluminate/@-35.4446061,-60.8788236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: GANESHA SANTERIA REGALERIA
link: https://www.google.com/maps/search/GANESHA+SANTER%C3%8DA+REGALER%C3%8DA/@-35.4461789,-60.884126599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: LA CASA DE ADELA
link: https://www.google.com/maps/search/LA+CASA+DE+ADELA/@-35.4469438,-60.8848617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Salvattore Deco & Jardin
link: https://www.google.com/maps/search/Salvattore+Deco+%26+Jardin/@-35.4468961,-60.882748299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Regala Pop
link: https://www.google.com/maps/search/Regala+Pop/@-35.4493015,-60.881498400000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://detalles-regaleria-artesanal.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,D'etalles Regaleria Artesanal (Ye Zhu ),https://www.google.com/maps/contrib/117200133790824134625,https://lh5.googleusercontent.com/p/AF1QipOl4yYIGqtTJoRi3nSuFuttBMO_d8vy_VVA11-q=w408-h544-k-no,Li Pin Dian ,Li Pin Dian ,4.8,"09:00-12:00, 17:00-20:00",Xing Qi Ri ,+54 2317 52-3088,"D'etalles Regaleria Artesanal, Mendoza 786, B6500 9 de Julio, Provincia de Buenos Aires, A Gen Ting ",,https://www.google.com/maps/place/D%C2%B4etalles+Regaleria+Artesanal/data=!4m7!3m6!1s0x95bf0defc454c14f:0x41b358ee55e1847a!8m2!3d-35.4473341!4d-60.8862334!16s%2Fg%2F11g0khx7bc!19sChIJT8FUxO8Nv5UReoThVe5Ys0E?authuser=0&hl=zh-TW&rclk=1
