place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJk1aCnb6CHDkRU0ji6JMk430,Akarshan Food And sweets,,False,567,"Name: Krishna cafe & Restro Noorpur
link: https://www.google.com/maps/search/Krishna+cafe+%26+Restro+Noorpur/@32.3011614,75.8906696?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Jugnu dhaba veg and non veg
link: https://www.google.com/maps/search/Jugnu+dhaba+veg+and+non+veg/@32.292496799999995,75.8770303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: City Heart Restaurant
link: https://www.google.com/maps/search/City+Heart+Restaurant/@32.3001341,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://akarshan-food-and-gogi-sweets.business.site/,Akarshan Food And sweets (Ye Zhu ),https://www.google.com/maps/contrib/104682905804637696270,https://lh5.googleusercontent.com/p/AF1QipM94xaqKeL1NOGawyEAbUIMm6xm_-x_GNsd1AEW=w408-h410-k-no,Kuai Can Dian ,"Kuai Can Dian , Zao Can Can Ting , Tang Guo Dian , Yin Du Can Ting , Nan Yin Du Can Ting ",4.3,08:30-22:00,Open All Days,+91 94189 79610,"Akarshan Food And sweets, NH154, Nurpur, Himachal Pradesh 176202Yin Du ","Shi Wu Pin Zhi , Jia Ge , Ting Che , Kuan Dai , Xiao Chi ",https://www.google.com/maps/place/Akarshan+Food+And+sweets/data=!4m7!3m6!1s0x391c82be9d825693:0x7de32493e8e24853!8m2!3d32.2959063!4d75.88003!16s%2Fg%2F11clgg5mbh!19sChIJk1aCnb6CHDkRU0ji6JMk430?authuser=0&hl=zh-TW&rclk=1
ChIJk6xiI5-DHDkRT8y65QNcNZM,Mahajan Shakes & Juice Bar,,False,,,http://mahajanshakesjuicebarnurpur.com/,Mahajan Shakes & Juice Bar (Ye Zhu ),https://www.google.com/maps/contrib/114719011424301878431,https://lh5.googleusercontent.com/p/AF1QipOVZUWyM35PXNm3cA121HI2FZd1SIx--Yu8Wy_N=w408-h906-k-no,Ka Pei Ting ,Ka Pei Ting ,,09:00-22:00,Open All Days,,"Mahajan Shakes & Juice Bar, Bus stand, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/Mahajan+Shakes+%26+Juice+Bar/data=!4m7!3m6!1s0x391c839f2362ac93:0x93355c03e5bacc4f!8m2!3d32.295923!4d75.8800115!16s%2Fg%2F11v3d526tt!19sChIJk6xiI5-DHDkRT8y65QNcNZM?authuser=0&hl=zh-TW&rclk=1
ChIJXzYN5HB9GzkRhHCVmerSdfY,Himachal Bakery,,False,203,"Name: Sachin Bakers
link: https://www.google.com/maps/search/Sachin+Bakers/@32.3014029,75.8845776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: JAI Baker's Sweet & General Store
link: https://www.google.com/maps/search/JAI+Baker%27s+Sweet+%26+General+Store/@32.2577262,75.7920006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Bhardwaj confectionerz and Bakerz
link: https://www.google.com/maps/search/Bhardwaj+confectionerz+and+Bakerz/@32.278525699999996,75.8068061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Sharma Daily Need Shop & Ice Cream Parlor
link: https://www.google.com/maps/search/Sharma+Daily+Need+Shop+%26+Ice+Cream+Parlor/@32.281299,75.8502491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Rohit baker & snack
link: https://www.google.com/maps/search/Rohit+baker+%26+snack/@32.2723081,75.8483268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Himachal Bakery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPiW056ye5S3TzOrpWoUst8WDv6Uyucaq8tjnEH=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,08:00-20:00,Open All Days,+91 94181 59273,"7V76+QF3 Himachal Bakery, Matholi, Tehsil, Nurpur, Himachal Pradesh 176201Yin Du ","Chan Pin , Bing Gan , Jia Ge , Han Bao ",https://www.google.com/maps/place/Himachal+Bakery/data=!4m7!3m6!1s0x391b7d70e40d365f:0xf675d2ea99957084!8m2!3d32.2643911!4d75.8611606!16s%2Fg%2F11c70hyqh0!19sChIJXzYN5HB9GzkRhHCVmerSdfY?authuser=0&hl=zh-TW&rclk=1
ChIJYRQqDySDHDkRwFm3u0jdadA,Gogi Sweets,,False,67,"Name: Ram Sweets
link: https://www.google.com/maps/search/Ram+Sweets/@32.3003267,75.88408129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Sachin Bakers
link: https://www.google.com/maps/search/Sachin+Bakers/@32.3014029,75.8845776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Mahajan Sweets Shop
link: https://www.google.com/maps/search/Mahajan+Sweets+Shop/@32.3031468,75.89348269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",,Gogi Sweets (Ye Zhu ),https://www.google.com/maps/contrib/118161953460484343864,https://lh5.googleusercontent.com/p/AF1QipNeJnWl6xzRiSwXYGr0Xsq8UuCNAmMZBPjUrpy0=w426-h240-k-no,Yin Du Tian Dian Dian ,"Yin Du Tian Dian Dian , Xi Bing Dian , Tang Guo Dian , Tang Guo Gao Bing Dian , Tian Pin Dian , Xue Gao Dian ",4.4,07:00-21:00,Open All Days,+91 189 322 0256,"Gogi Sweets, Main Bazar, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/Gogi+Sweets/data=!4m7!3m6!1s0x391c83240f2a1461:0xd069dd48bbb759c0!8m2!3d32.301239!4d75.8845381!16s%2Fg%2F11f61wp837!19sChIJYRQqDySDHDkRwFm3u0jdadA?authuser=0&hl=zh-TW&rclk=1
ChIJbS91q4WDHDkRrCzBP42vjhs,RA Lazeez,,False,66,"Name: Firangi Dhaba Nurpur
link: https://www.google.com/maps/search/Firangi+Dhaba+Nurpur/@32.277882700000006,75.8188163?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1932 reviews

Name: Akarshan Food And sweets
link: https://www.google.com/maps/search/Akarshan+Food+And+sweets/@32.295906300000006,75.88002999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Jugnu dhaba veg and non veg
link: https://www.google.com/maps/search/Jugnu+dhaba+veg+and+non+veg/@32.292496799999995,75.8770303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: City Heart Restaurant
link: https://www.google.com/maps/search/City+Heart+Restaurant/@32.3001341,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Hotel River View & Restaurant
link: https://www.google.com/maps/search/Hotel+River+View+%26+Restaurant/@32.4820649,75.9091826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,RA Lazeez (Ye Zhu ),https://www.google.com/maps/contrib/109144223875064239853,https://lh5.googleusercontent.com/p/AF1QipPssANetcD5aqJp1_ucDPd7kQlGT_35h-BPMGI0=w408-h306-k-no,Can Ting ,Can Ting ,5,24 Xiao Shi Ying Ye ,Open All Days,,"RA Lazeez, Lambi Gali, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/RA+Lazeez/data=!4m7!3m6!1s0x391c8385ab752f6d:0x1b8eaf8d3fc12cac!8m2!3d32.3001342!4d75.8853465!16s%2Fg%2F11snl49jfw!19sChIJbS91q4WDHDkRrCzBP42vjhs?authuser=0&hl=zh-TW&rclk=1
ChIJO_Ewq7eCHDkRhvmEWNQDPrk,Krishna cafe & Restro Noorpur,,False,55,"Name: Akarshan Food And sweets
link: https://www.google.com/maps/search/Akarshan+Food+And+sweets/@32.295906300000006,75.88002999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Dominar Pizza
link: https://www.google.com/maps/search/Dominar+Pizza/@32.3013228,75.89061910000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Jugnu dhaba veg and non veg
link: https://www.google.com/maps/search/Jugnu+dhaba+veg+and+non+veg/@32.292496799999995,75.8770303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Prince Punjabi Dhaba
link: https://www.google.com/maps/search/Prince+Punjabi+Dhaba/@32.2980218,75.8805605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: City Heart Restaurant
link: https://www.google.com/maps/search/City+Heart+Restaurant/@32.3001341,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,Krishna cafe & Restro Noorpur (Ye Zhu ),https://www.google.com/maps/contrib/101539630704171345922,https://lh5.googleusercontent.com/p/AF1QipNwPo_hne3NMLitT5Uxh0uK50Z_IVFCbBy18MPm=w408-h544-k-no,Kuai Can Dian ,"Kuai Can Dian , Ka Pei Ting ",4.1,10:00-22:00,Open All Days,+91 98161 65488,"Krishna cafe & Restro Noorpur, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/Krishna+cafe+%26+Restro+Noorpur/data=!4m7!3m6!1s0x391c82b7ab30f13b:0xb93e03d45884f986!8m2!3d32.3011614!4d75.8906696!16s%2Fg%2F11c5bgb_z2!19sChIJO_Ewq7eCHDkRhvmEWNQDPrk?authuser=0&hl=zh-TW&rclk=1
ChIJexkVBsyDHDkRUMpc39NliWc,Raman Chat House,,False,52,"Name: Akarshan Food And sweets
link: https://www.google.com/maps/search/Akarshan+Food+And+sweets/@32.295906300000006,75.88002999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: RA Lazeez
link: https://www.google.com/maps/search/RA+Lazeez/@32.300134199999995,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Krishna cafe & Restro Noorpur
link: https://www.google.com/maps/search/Krishna+cafe+%26+Restro+Noorpur/@32.3011614,75.8906696?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Jugnu dhaba veg and non veg
link: https://www.google.com/maps/search/Jugnu+dhaba+veg+and+non+veg/@32.292496799999995,75.8770303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Sharma Guest House and resturant
link: https://www.google.com/maps/search/Sharma+Guest+House+and+resturant/@32.2963379,75.88005919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",,Raman Chat House (Ye Zhu ),https://www.google.com/maps/contrib/100648970512338869699,https://lh5.googleusercontent.com/p/AF1QipNO3cfQqCdew97bbJypVgZFMQI2fHKN_Q7B6qp_=w408-h488-k-no,Can Ting ,Can Ting ,4.6,11:30-20:30,Xing Qi Ri ,,"Raman Chat House, Hanuman Mandir, Lambi Gali, Nurpur, Himachal Pradesh 176202Yin Du ",Jia Ge ,https://www.google.com/maps/place/Raman+Chat+House/data=!4m7!3m6!1s0x391c83cc0615197b:0x678965d3df5cca50!8m2!3d32.3001342!4d75.8853465!16s%2Fg%2F11fn053jqz!19sChIJexkVBsyDHDkRUMpc39NliWc?authuser=0&hl=zh-TW&rclk=1
ChIJj-vS5riCHDkRZe-gpuFQDJo,Ram Sweets,,False,48,"Name: Himachal Bakery
link: https://www.google.com/maps/search/Himachal+Bakery/@32.2643911,75.86116059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 203 reviews

Name: Gogi Sweets
link: https://www.google.com/maps/search/Gogi+Sweets/@32.301238999999995,75.8845381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Sachin Bakers
link: https://www.google.com/maps/search/Sachin+Bakers/@32.3014029,75.8845776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Mahajan Sweets Shop
link: https://www.google.com/maps/search/Mahajan+Sweets+Shop/@32.3031468,75.89348269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",,Ram Sweets (Ye Zhu ),,,Yin Du Tian Dian Dian ,"Yin Du Tian Dian Dian , Mian Bao Xi Bing Dian ",4.6,07:00-21:00,Open All Days,+91 189 322 0104,"8V2M+4JP Ram Sweets, Main Bazar Rd, Nurpur, Himachal Pradesh 176202Yin Du ","Za Huo , Dan Gao , Leng Dong , Lu Dou , Pi Sa ",https://www.google.com/maps/place/Ram+Sweets/data=!4m7!3m6!1s0x391c82b8e6d2eb8f:0x9a0c50e1a6a0ef65!8m2!3d32.3003267!4d75.8840813!16s%2Fg%2F11c31808f2!19sChIJj-vS5riCHDkRZe-gpuFQDJo?authuser=0&hl=zh-TW&rclk=1
ChIJnd6Tn4qDHDkReVD2x0Bd_OU,Jugnu dhaba veg and non veg,,False,44,"Name: RA Lazeez
link: https://www.google.com/maps/search/RA+Lazeez/@32.300134199999995,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Sangam Punjabi Family Dhaba
link: https://www.google.com/maps/search/Sangam+Punjabi+Family+Dhaba/@32.2925149,75.8770262?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Bansi Da Dhaba - Since 1969
link: https://www.google.com/maps/search/Bansi+Da+Dhaba+-+Since+1969/@32.297436,75.880101?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Goldy Vaishno Dhaba
link: https://www.google.com/maps/search/Goldy+Vaishno+Dhaba/@32.2922156,75.87691989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Prince Punjabi Dhaba
link: https://www.google.com/maps/search/Prince+Punjabi+Dhaba/@32.2980218,75.8805605?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",,Jugnu dhaba veg and non veg (Ye Zhu ),https://www.google.com/maps/contrib/109526637072348867030,https://lh5.googleusercontent.com/p/AF1QipPNJz8qZTa_vpMlXsybSfkH4qlIj7TPKi-tlcFf=w408-h251-k-no,Can Ting ,Can Ting ,4.5,24 Xiao Shi Ying Ye ,Open All Days,,"Jugnu dhaba veg and non veg, NH154, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/Jugnu+dhaba+veg+and+non+veg/data=!4m7!3m6!1s0x391c838a9f93de9d:0xe5fc5d40c7f65079!8m2!3d32.2924968!4d75.8770303!16s%2Fg%2F11j4qrdzt0!19sChIJnd6Tn4qDHDkReVD2x0Bd_OU?authuser=0&hl=zh-TW&rclk=1
ChIJ9Q-p_WeDHDkRkJ5FNJannjY,Jungle Hut,,False,32,"Name: RA Lazeez
link: https://www.google.com/maps/search/RA+Lazeez/@32.300134199999995,75.8853465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Jugnu dhaba veg and non veg
link: https://www.google.com/maps/search/Jugnu+dhaba+veg+and+non+veg/@32.292496799999995,75.8770303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Bangal Restaurant
link: https://www.google.com/maps/search/Bangal+Restaurant/@32.284694,75.8634993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",,Jungle Hut (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPyCiW1RNpiXcpu18x4egEmpazK4gwMXshhQHFk=w408-h408-k-no,Can Ting ,Can Ting ,3.8,09:00-21:30,Open All Days,,"8V4J+2VX Jungle Hut, Nurpur, Himachal Pradesh 176202Yin Du ",,https://www.google.com/maps/place/Jungle+Hut/data=!4m7!3m6!1s0x391c8367fda90ff5:0x369ea79634459e90!8m2!3d32.3051072!4d75.8822354!16s%2Fg%2F11rwxh4t4m!19sChIJ9Q-p_WeDHDkRkJ5FNJannjY?authuser=0&hl=zh-TW&rclk=1
