place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJXVSKr99kJA0R0SDEIvQdji0,7g Roaster Apartments & Restaurant,,False,2385,,https://7groaster.pt/,7g Roaster Apartments & Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/102278576886274462168,https://lh5.googleusercontent.com/p/AF1QipNX5wCff5-mEq9OnL-JqNGftMS7iWwi7WXZS3q0=w408-h416-k-no,Fu Wu Xing Zhu Su ,"Fu Wu Xing Zhu Su , Fu Wu Shi Zhu Zhai , Zao Can Can Ting , Zao Wu Can Can Ting , Zi Zhu Can Ting , Ka Pei Hong Bei Shang , Ka Pei Dian , Jia Ri Gong Yu ",4.6,,Open All Days,+351 963 758 004,"7g Roaster Apartments & Restaurant, R. de Franca 52, 4400-174 Vila Nova de Gaia, Pu Tao Ya ","Zao Wu Can , Qia Bu Qi Nuo , Song Bing , Na Tie , Ka Pei Shi , flat white, Bing Sha , Ka Pei Dou , Niang Zao , Ban Ni Di Ke Dan ",https://www.google.com/maps/place/7g+Roaster+Apartments+%26+Restaurant/data=!4m10!3m9!1s0xd2464dfaf8a545d:0x2d8e1df422c420d1!5m2!4m1!1i2!8m2!3d41.13695!4d-8.61402!16s%2Fg%2F11c2y1yn74!19sChIJXVSKr99kJA0R0SDEIvQdji0?authuser=0&hl=zh-TW&rclk=1
ChIJebQL4dFkJA0RUj05x64fQ0I,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,2033,"Name: Republica dos Sabores
link: https://www.google.com/maps/search/Rep%C3%BAblica+dos+Sabores/@41.1202646,-8.6063785?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Cafe Avenida
link: https://www.google.com/maps/search/Caf%C3%A9+Avenida/@41.135610799999995,-8.608251899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 366 reviews

Name: Cafe Solar
link: https://www.google.com/maps/search/Caf%C3%A9+Solar/@41.1255228,-8.6055186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Cafe Convite
link: https://www.google.com/maps/search/Caf%C3%A9+Convite/@41.131933499999995,-8.6066878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: CoffeMarket
link: https://www.google.com/maps/search/CoffeMarket/@41.1259993,-8.6112788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.starbucks.pt/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/104812304023758282242,https://lh5.googleusercontent.com/p/AF1QipOQaosdMUz80qj7hkMm_IOCaRATdxiJZ1-e4QsA=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Zi Zhu Can Ting ",4.2,10:00-22:00,Open All Days,+351 938 331 654,"Starbucks, Av. da Republica 1435, 4430-204 Vila Nova de Gaia, Pu Tao Ya ","Jia Ge , Chan Pin , Huan Jing , Jing Yan , Tuan Dui , Gai Nian , Zhuo , Pin Wei , Bei Zi ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0xd2464d1e10bb479:0x42431faec7393d52!8m2!3d41.125397!4d-8.604389!16s%2Fg%2F11bxb9q28c!19sChIJebQL4dFkJA0RUj05x64fQ0I?authuser=0&hl=zh-TW&rclk=1
ChIJvd30NFtkJA0RJgIg3FK76zc,Combi Coffee Roasters,,False,1716,"Name: FABRICA COFFEE ROASTERS - PORTO
link: https://www.google.com/maps/search/F%C3%81BRICA+COFFEE+ROASTERS+-+PORTO/@41.1489811,-8.6141743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1014 reviews

Name: Mesa 325
link: https://www.google.com/maps/search/Mesa+325/@41.1482214,-8.5973842?authuser=0&hl=zh-TW&entry=ttu
Reviews: 955 reviews

Name: My Coffee Porto (Specialty Coffee Shop)
link: https://www.google.com/maps/search/My+Coffee+Porto+%28Specialty+Coffee+Shop%29/@41.1411563,-8.610052099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 882 reviews

Name: O Vicio do Cafe
link: https://www.google.com/maps/search/O+V%C3%ADcio+do+Caf%C3%A9/@41.1472276,-8.607410699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 581 reviews

Name: A Certain cafe
link: https://www.google.com/maps/search/A+Certain+caf%C3%A9/@41.147048999999996,-8.6004915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews",https://combi-coffee.com/,Combi Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/100165602128871533706,https://lh5.googleusercontent.com/p/AF1QipOY_iOwfapLslzgQhv4GKkH4EvBkSgssew-_u29=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4.7,09:00-17:00,Open All Days,+351 914 023 978,"Combi Coffee Roasters, R. do Morgado de Mateus no29, 4000-334 Porto, Pu Tao Ya ","flat white, Bi Dian , Re Qing , Dan Ta , Wen Qing ",https://www.google.com/maps/place/Combi+Coffee+Roasters/data=!4m7!3m6!1s0xd24645b34f4ddbd:0x37ebbb52dc200226!8m2!3d41.146626!4d-8.601491!16s%2Fg%2F11bwpzf3b_!19sChIJvd30NFtkJA0RJgIg3FK76zc?authuser=0&hl=zh-TW&rclk=1
ChIJAfRBxNFkJA0R28etE9FYRhI,Angola Cafe,,False,763,"Name: Cafe Offline
link: https://www.google.com/maps/search/Caf%C3%A9+Offline/@41.1260895,-8.6074994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1743 reviews

Name: Cafe Restaurante Cantinho de Luanda
link: https://www.google.com/maps/search/Caf%C3%A9+Restaurante+Cantinho+de+Luanda/@41.1243668,-8.611821299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 459 reviews

Name: Garfo
link: https://www.google.com/maps/search/Garfo/@41.122476299999995,-8.6028915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 344 reviews

Name: Cafe Luanda
link: https://www.google.com/maps/search/Cafe+Luanda/@41.1167099,-8.607820799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: ONE CAFFE
link: https://www.google.com/maps/search/ONE+CAFFE/@41.1231144,-8.6231169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews",http://www.angolacafe.com/,Angola Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110054332134965009372,https://lh5.googleusercontent.com/p/AF1QipO7XGfnHEhx4f9NzTA63QO4p2T9lYfFFPBzlUIQ=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.4,07:30-20:00,Open All Days,+351 22 375 1264,"Angola Cafe, R. Padua Correia no413, 4430-238 Vila Nova de Gaia, Pu Tao Ya ","Huan Jing , Jia Ge , Chan Pin , Mian Bao , Zhu Yi ",https://www.google.com/maps/place/Angola+Caf%C3%A9/data=!4m7!3m6!1s0xd2464d1c441f401:0x124658d113adc7db!8m2!3d41.1261977!4d-8.6059914!16s%2Fg%2F1q62br264!19sChIJAfRBxNFkJA0R28etE9FYRhI?authuser=0&hl=zh-TW&rclk=1
ChIJMxC1YNxkJA0Rr-ngMNlhlXw,Cafe Avenida,,False,366,"Name: Italycaffegaia
link: https://www.google.com/maps/search/Italycaffegaia/@41.1356754,-8.6082656?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1069 reviews

Name: Tappas Caffe Regional
link: https://www.google.com/maps/search/Tappas+Caff%C3%A9+Regional/@41.1374407,-8.6129491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1059 reviews

Name: Republica dos Sabores
link: https://www.google.com/maps/search/Rep%C3%BAblica+dos+Sabores/@41.1202646,-8.6063785?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Cafe Convite
link: https://www.google.com/maps/search/Caf%C3%A9+Convite/@41.131933499999995,-8.6066878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://cafe-avenida-cafeteria.negocio.site/,Cafe Avenida (Ye Zhu ),https://www.google.com/maps/contrib/110044962705518636526,https://lh5.googleusercontent.com/p/AF1QipMSpUgL4P0iCfGINU80R8i0KqfQ_490gRBG5lbj=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Zi Zhu Can Ting , Qiao Ke Li Ka Pei Guan ",3.9,07:00-22:00,Xing Qi Er ,+351 22 319 4345,"Cafe Avenida, Av. da Republica 300, 4430-198 Vila Nova de Gaia, Pu Tao Ya ","Jia Ge , Zhuo , Pan , Yin Liao , Zhu Can , Cheng Ben , Xi Yang , Zhang Yu ",https://www.google.com/maps/place/Caf%C3%A9+Avenida/data=!4m7!3m6!1s0xd2464dc60b51033:0x7c9561d930e0e9af!8m2!3d41.1356108!4d-8.6082519!16s%2Fg%2F11g8xg7m0l!19sChIJMxC1YNxkJA0Rr-ngMNlhlXw?authuser=0&hl=zh-TW&rclk=1
ChIJr_9Gj95kJA0RJxkgXORBgjg,Miraporto,,False,316,"Name: Rabelos Restaurante Bar
link: https://www.google.com/maps/search/Rabelos+Restaurante+Bar/@41.1373646,-8.6142664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1136 reviews

Name: Browns Cafe Bar
link: https://www.google.com/maps/search/Browns+Caf%C3%A9+Bar/@41.1284948,-8.6670796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Mira Mira by Ricardo Costa
link: https://www.google.com/maps/search/Mira+Mira+by+Ricardo+Costa/@41.135014,-8.6150474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Mare Baixa Cafe
link: https://www.google.com/maps/search/Mare+Baixa+Cafe/@41.137004999999995,-8.6158658?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Cafe Bonjour
link: https://www.google.com/maps/search/Caf%C3%A9+Bonjour/@41.123548799999995,-8.6035272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",http://miraporto.eatbu.com/,Miraporto (Ye Zhu ),https://www.google.com/maps/contrib/105853103344831891752,https://lh5.googleusercontent.com/p/AF1QipM_ZLVL_wiMJb6U-t5xxGt3yNRb-gg61iNqfewu=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Pi Jiu Zhuan Mai Dian , Ba Xi Can Ting , Zao Can Can Ting , Xi Bing Dian , Zhi Shi Zhuan Mai Dian , Ji Wei Jiu Jiu Ba , Han Bao Can Ting , Pu Tao Ya Can Ting , Pu Tao Jiu Ba ",3.9,08:00-02:00,Open All Days,+351 22 374 0059,"Miraporto, R. do Gen. Torres 303, 4430-173 Vila Nova de Gaia, Pu Tao Ya ","Jia Ge , Pi Jiu , Qi Si , Lu You , Huo Tui , Shi Jue , He ",https://www.google.com/maps/place/Miraporto/data=!4m7!3m6!1s0xd2464de8f46ffaf:0x388241e45c201927!8m2!3d41.1363292!4d-8.6113333!16s%2Fg%2F11c1n5bmzk!19sChIJr_9Gj95kJA0RJxkgXORBgjg?authuser=0&hl=zh-TW&rclk=1
ChIJRbmqs1J7JA0RWIPUjKz9iL0,Oliveira Douro,,False,45,"Name: Cafe Estrelicia
link: https://www.google.com/maps/search/Caf%C3%A9+Estrelicia/@41.1163841,-8.5936022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 942 reviews

Name: Cafe Bonaparte
link: https://www.google.com/maps/search/Caf%C3%A9+Bonaparte/@41.123154299999996,-8.586375499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Cafe Familiar
link: https://www.google.com/maps/search/Caf%C3%A9+Familiar/@41.11786240000001,-8.5734953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Cafe Santa Eulalia
link: https://www.google.com/maps/search/Caf%C3%A9+Santa+Eulalia/@41.1255662,-8.576642099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://www.jfodouro.pt/,Oliveira Douro (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO6XkBeYQmdq0E3eaK_fDrYXaPu5O2bkVITScZV=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,24 Xiao Shi Ying Ye ,Open All Days,,"Oliveira Douro, 4430-999 Vila Nova de Gaia, Pu Tao Ya ",,https://www.google.com/maps/place/Oliveira+Douro/data=!4m7!3m6!1s0xd247b52b3aab945:0xbd88fdac8cd48358!8m2!3d41.1212048!4d-8.5821618!16s%2Fg%2F11c3vyxtrx!19sChIJRbmqs1J7JA0RWIPUjKz9iL0?authuser=0&hl=zh-TW&rclk=1
ChIJTQ9881tlJA0RERc-xiFsUz8,Vinte Vinte Cafe,,False,44,"Name: 7g Roaster Apartments & Restaurant
link: https://www.google.com/maps/search/7g+Roaster+Apartments+%26+Restaurant/@41.13695,-8.61402?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2385 reviews

Name: Cafe Avenida
link: https://www.google.com/maps/search/Caf%C3%A9+Avenida/@41.135610799999995,-8.608251899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 366 reviews

Name: ONE CAFFE
link: https://www.google.com/maps/search/ONE+CAFFE/@41.1231144,-8.6231169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Confeitaria Vera Lucia
link: https://www.google.com/maps/search/Confeitaria+Vera+L%C3%BAcia/@41.1251122,-8.631305000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Vinte Vinte Chocolate
link: https://www.google.com/maps/search/Vinte+Vinte+Chocolate/@41.136198,-8.613571799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.wow.pt/restaurants/vinte-vinte-cafe-gaia%3F_gl%3D1*m82has*_ga*NTExMDUxMTUxLjE3MDE4NTUwOTI.*_ga_B5KHJGHP2E*MTcwMjMwODk2NS41LjEuMTcwMjMwOTE4Mi4wLjAuMA..,Vinte Vinte Cafe (Ye Zhu ),https://www.google.com/maps/contrib/112906659335763340083,https://lh5.googleusercontent.com/p/AF1QipNOrnr2eRVDwhiwFaE5sTztnMn7JQYJYdcrIA7s=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Qiao Ke Li Ka Pei Guan ",4.8,10:00-19:00,Open All Days,+351 22 012 1225,"Vinte Vinte Cafe, R. de Guilherme Braga 21, 4400-174 Vila Nova de Gaia, Pu Tao Ya ","Qiao Ke Li , Jia Ge , Bu Lang Ni , Jing Yan ",https://www.google.com/maps/place/Vinte+Vinte+Cafe/data=!4m7!3m6!1s0xd24655bf37c0f4d:0x3f536c21c63e1711!8m2!3d41.136198!4d-8.6135718!16s%2Fg%2F11t25cbgzl!19sChIJTQ9881tlJA0RERc-xiFsUz8?authuser=0&hl=zh-TW&rclk=1
ChIJvTQJvbx7JA0RzNp6D24CydE,Cafe Portugal Novo,,False,38,"Name: Cafe Luanda
link: https://www.google.com/maps/search/Cafe+Luanda/@41.1167099,-8.607820799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: ONE CAFFE
link: https://www.google.com/maps/search/ONE+CAFFE/@41.1231144,-8.6231169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Grao Cafe
link: https://www.google.com/maps/search/Gr%C3%A3o+Caf%C3%A9/@41.1129046,-8.6078574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Oliveira Douro
link: https://www.google.com/maps/search/Oliveira+Douro/@41.1212048,-8.5821618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Cafe Ponte Nova
link: https://www.google.com/maps/search/Caf%C3%A9+Ponte+Nova/@41.1382857,-8.6005348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://codigopostal.ciberforma.pt/dir/0/cafe-portugal-novo/,Cafe Portugal Novo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNFdF4izY_bmRE-2divVF1LOZVXkR7cX98ZhqrK=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,07:30-20:00,Open All Days,,"Cafe Portugal Novo, R. Antonio Rodrigues Rocha 361, Vila Nova de Gaia, Pu Tao Ya ",,https://www.google.com/maps/place/Cafe+Portugal+Novo/data=!4m7!3m6!1s0xd247bbcbd0934bd:0xd1c9026e0f7adacc!8m2!3d41.115738!4d-8.6086592!16s%2Fg%2F11gmfbr0zf!19sChIJvTQJvbx7JA0RzNp6D24CydE?authuser=0&hl=zh-TW&rclk=1
ChIJkXS27KtkJA0RwC_GEOtwQvU,Cafe Santa Eulalia,,False,19,"Name: Cafe Estrelicia
link: https://www.google.com/maps/search/Caf%C3%A9+Estrelicia/@41.1163841,-8.5936022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 942 reviews

Name: Pastelaria Santa Eulalia
link: https://www.google.com/maps/search/Pastelaria+Santa+Eul%C3%A1lia/@41.356852499999995,-8.2879173?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews

Name: Confeitaria Doce Douro
link: https://www.google.com/maps/search/Confeitaria+Doce+Douro/@41.125678799999996,-8.579220099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Oliveira Douro
link: https://www.google.com/maps/search/Oliveira+Douro/@41.1212048,-8.5821618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Cafe Santana
link: https://www.google.com/maps/search/Caf%C3%A9+Santana/@41.1218759,-8.580844899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.facebook.com/Caf%25C3%25A9-Santa-Eul%25C3%25A1lia-108776165048050/,Cafe Santa Eulalia (Ye Zhu ),https://www.google.com/maps/contrib/100637732717470067576,https://lh5.googleusercontent.com/p/AF1QipP6Ln8Trd6S1ZQCfzPfQOnAGmBtuneHkD46XOEU=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-22:00,Xing Qi Yi ,+351 918 605 208,"Cafe Santa Eulalia, R. Dr. Gaspar da Costa Leite 13, 4430-387 Oliveira do Douro, Pu Tao Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Santa+Eulalia/data=!4m7!3m6!1s0xd2464abecb67491:0xf54270eb10c62fc0!8m2!3d41.1255662!4d-8.5766421!16s%2Fg%2F11kmp57kvd!19sChIJkXS27KtkJA0RwC_GEOtwQvU?authuser=0&hl=zh-TW&rclk=1
