place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRz4FR21F-TIRYDK9iLyhXWg,R Troopers Good Food + Coffee Shop,,False,104,"Name: Den's Coffee
link: https://www.google.com/maps/search/Den%27s+Coffee/@7.307518,125.6864879?authuser=0&hl=en&entry=ttu
Reviews: 42 reviews

Name: TEA BARREL PANABO CITY
link: https://www.google.com/maps/search/TEA+BARREL+PANABO+CITY/@7.3003812,125.683567?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews

Name: PSALMS Coffee and Pastry
link: https://www.google.com/maps/search/PSALMS+Coffee+and+Pastry/@7.305268899999999,125.6857087?authuser=0&hl=en&entry=ttu
Reviews: 31 reviews

Name: KAPEHANG LOKAL
link: https://www.google.com/maps/search/KAPEHANG+LOKAL/@7.3072578,125.66743009999999?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Mr. Boy SpecialTea
link: https://www.google.com/maps/search/Mr.+Boy+SpecialTea/@7.3031746,125.6800659?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Troopers-Coffee-1662737223795116/,R Troopers Good Food + Coffee Shop (Owner),,https://lh5.googleusercontent.com/p/AF1QipOsXYJRhdgumZqD9E0fmIHUiTUwX6Bncztch9EM=w408-h306-k-no,Cafe,Cafe,4.2,12 PM-12 AM,Sunday,+63 977 801 8942,"8M5J+W49 R Troopers Good Food + Coffee Shop, Tadeco Rd, Panabo, Davao del Norte, Philippines","wifi, internet connection",https://www.google.com/maps/place/R+Troopers+Good+Food+%2B+Coffee+Shop/data=!4m7!3m6!1s0x32f9456d47053e47:0x685da1bc88bd3260!8m2!3d7.3097865!4d125.6803563!16s%2Fg%2F11f6y220k2!19sChIJRz4FR21F-TIRYDK9iLyhXWg?authuser=0&hl=en&rclk=1
ChIJnRT6aUpE-TIRnrsCfJWC1cw,Vitorillo's Kitchen,,False,56,"Name: Sito's Panabo(Unlimited Rice)
link: https://www.google.com/maps/search/Sito%27s+Panabo%28Unlimited+Rice%29/@7.308048599999999,125.6834865?authuser=0&hl=en&entry=ttu
Reviews: 145 reviews

Name: Bibam's Sisig Avenue
link: https://www.google.com/maps/search/Bibam%27s+Sisig+Avenue/@7.3037467,125.67859030000001?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Marty's
link: https://www.google.com/maps/search/Marty%27s/@7.3024768,125.68134739999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Virtudazo Eatery
link: https://www.google.com/maps/search/Virtudazo+Eatery/@7.3124971,125.68542909999998?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Pinoylicious Kapampangan's Lutong Bahay
link: https://www.google.com/maps/search/Pinoylicious+Kapampangan%27s+Lutong+Bahay/@7.301689199999998,125.68217899999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://vitorillos-kitchen.business.site/,Vitorillo's Kitchen (Owner),https://www.google.com/maps/contrib/110620333635714798059,https://lh5.googleusercontent.com/p/AF1QipNtb8f1EHV86GDudcxfOkdlr_aL1TFe7JgrLUIj=w426-h240-k-no,Restaurant,"Restaurant, Filipino restaurant",4.5,9 AM-8 PM,Sunday,+63 933 852 2889,"Vitorillo's Kitchen, Prk Sili Barangay PH, Panabo, 8105, Philippines",healthy,https://www.google.com/maps/place/Vitorillo%27s+Kitchen/data=!4m7!3m6!1s0x32f9444a69fa149d:0xccd582957c02bb9e!8m2!3d7.302636!4d125.676472!16s%2Fg%2F11ddwp4l_f!19sChIJnRT6aUpE-TIRnrsCfJWC1cw?authuser=0&hl=en&rclk=1
ChIJO50Dbq9F-TIRDN0CV9u4CdQ,Hangry Tuna,,False,25,"Name: Jollibee
link: https://www.google.com/maps/search/Jollibee/@7.3068031,125.68622529999999?authuser=0&hl=en&entry=ttu
Reviews: 109 reviews

Name: Cara's Food Haven
link: https://www.google.com/maps/search/Cara%27s+Food+Haven/@7.3010993,125.6837638?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: TUNA GRILLED STATION
link: https://www.google.com/maps/search/TUNA+GRILLED+STATION/@7.3089341,125.6852356?authuser=0&hl=en&entry=ttu
Reviews: 38 reviews

Name: Potato Frydays
link: https://www.google.com/maps/search/Potato+Frydays/@7.306691100000001,125.68636149999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/HangryTuna,Hangry Tuna (Owner),https://www.google.com/maps/contrib/103028743080249545466,https://lh5.googleusercontent.com/p/AF1QipM1QOmR4t6vaC5t7scF8vCTwSZC0x5B1qiZ-YJq=w408-h306-k-no,Restaurant,Restaurant,4.5,"10 AM-2 PM, 5-9 PM",Open All Days,+63 949 833 1732,"Hangry Tuna, Brgy. Gredu National Highway, Panabo, 8105 Davao del Norte, Philippines",,https://www.google.com/maps/place/Hangry+Tuna/data=!4m7!3m6!1s0x32f945af6e039d3b:0xd409b8db5702dd0c!8m2!3d7.3009097!4d125.6804281!16s%2Fg%2F11r9wfhl_n!19sChIJO50Dbq9F-TIRDN0CV9u4CdQ?authuser=0&hl=en&rclk=1
ChIJKbTi83NF-TIRutHGGYECQUw,ChaRangHae Milk Tea House,,False,15,"Name: Chikatsa Milktea Station
link: https://www.google.com/maps/search/Chikatsa+Milktea+Station/@7.2979296,125.70906?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: North Cup Milktea
link: https://www.google.com/maps/search/North+Cup+Milktea/@7.308603,125.6851052?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Tea Kap
link: https://www.google.com/maps/search/Tea+Kap/@7.3010965,125.68397420000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Chikatsa Milk Tea Station
link: https://www.google.com/maps/search/Chikatsa+Milk+Tea+Station/@7.303473299999999,125.68478219999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Bajoy's Milktea House
link: https://www.google.com/maps/search/Bajoy%27s+Milktea+House/@7.298572500000001,125.67249880000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/charanghaemilktea/,ChaRangHae Milk Tea House (Owner),https://www.google.com/maps/contrib/109783714147328319323,https://lh5.googleusercontent.com/p/AF1QipO_OoydDb1jzzBaNAf8FhzuQUHdX9XwaaFjIb8h=w408-h544-k-no,Bubble tea store,Bubble tea store,4.6,10 AM-7 PM,Sunday,+63 84 823 4406,"ChaRangHae Milk Tea House, Lauron, Panabo, 8105 Davao del Norte, Philippines",,https://www.google.com/maps/place/ChaRangHae+Milk+Tea+House/data=!4m7!3m6!1s0x32f94573f3e2b429:0x4c41028119c6d1ba!8m2!3d7.2999899!4d125.6795155!16s%2Fg%2F11h1dnn6cl!19sChIJKbTi83NF-TIRutHGGYECQUw?authuser=0&hl=en&rclk=1
ChIJ48A7KLNF-TIRknPtarAyC3A,Goldilocks Bakeshop,"Filipino bakeshop offering bread, cakes & other baked goods, along with classic dishes.",False,11,"Name: RR-GAISANO GRAND PANABO
link: https://www.google.com/maps/search/RR-GAISANO+GRAND+PANABO/@7.306058599999999,125.6864798?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Breadbox
link: https://www.google.com/maps/search/Breadbox/@7.306773,125.68361119999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Sasha's Cakes & Pastries
link: https://www.google.com/maps/search/Sasha%27s+Cakes+%26+Pastries/@7.301057600000001,125.6804697?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.goldilocks.com.ph/,Goldilocks Bakeshop (Owner),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wnYnHpteU0EqdTVl0_kQ0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.13606&pitch=0&thumbfov=100,Food store,Food store,4.5,Open 24 hours,Open All Days,+63 84 628 6897,"8M4M+686 Goldilocks Bakeshop, Aguinaldo St, Panabo, Davao del Norte, Philippines",,https://www.google.com/maps/place/Goldilocks+Bakeshop/data=!4m7!3m6!1s0x32f945b3283bc0e3:0x700b32b06aed7392!8m2!3d7.3055495!4d125.6832765!16s%2Fg%2F1w0p34sh!19sChIJ48A7KLNF-TIRknPtarAyC3A?authuser=0&hl=en&rclk=1
ChIJj8EsNLJF-TIRxhavOKbqK5A,7-Eleven 2132 Maryknoll,"Convenience chain offering grab-&-go bites & beverages, plus assorted newsstand items.",False,11,"Name: 7-Eleven
link: https://www.google.com/maps/search/7-Eleven/@7.451357,125.80261089999998?authuser=0&hl=en&entry=ttu
Reviews: 32 reviews

Name: 7-Eleven Bunawan
link: https://www.google.com/maps/search/7-Eleven+Bunawan/@7.2363061,125.64206920000001?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: 7-Eleven 2170 Tibungco
link: https://www.google.com/maps/search/7-Eleven+2170+Tibungco/@7.1911567,125.6482438?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: 7-Eleven
link: https://www.google.com/maps/search/7-Eleven/@7.460380399999999,125.7847766?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: 7-Eleven 2562 Quezon Panabo
link: https://www.google.com/maps/search/7-Eleven+2562+Quezon+Panabo/@7.299733499999999,125.68325619999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",http://www.7-eleven.com.ph/,7-Eleven 2132 Maryknoll (Owner),,https://lh5.googleusercontent.com/p/AF1QipMHz2bAiUFS-Cb1Io-8vAsto7wvF_sUySYYkfg=w426-h240-k-no,Convenience store,"Convenience store, Ice cream shop",4.4,Open 24 hours,Open All Days,,"8M5M+CFR 7-Eleven 2132 Maryknoll, Tagum - Panabo Circumferential Rd, Panabo, Davao del Norte, Philippines",,https://www.google.com/maps/place/7-Eleven+2132+Maryknoll/data=!4m7!3m6!1s0x32f945b2342cc18f:0x902beaa638af16c6!8m2!3d7.3086113!4d125.6836541!16s%2Fg%2F11cn06fs3p!19sChIJj8EsNLJF-TIRxhavOKbqK5A?authuser=0&hl=en&rclk=1
ChIJ68GUxWFF-TIRLsvIVmDgoWY,Sasha's Cafe,,False,10,"Name: Hilaiza's Pastry Shop
link: https://www.google.com/maps/search/Hilaiza%27s+Pastry+Shop/@7.318561400000001,125.6886666?authuser=0&hl=en&entry=ttu
Reviews: 180 reviews

Name: Den's Coffee
link: https://www.google.com/maps/search/Den%27s+Coffee/@7.307518,125.6864879?authuser=0&hl=en&entry=ttu
Reviews: 42 reviews

Name: PSALMS Coffee and Pastry
link: https://www.google.com/maps/search/PSALMS+Coffee+and+Pastry/@7.305268899999999,125.6857087?authuser=0&hl=en&entry=ttu
Reviews: 31 reviews

Name: Sasha's Cakes & Pastries
link: https://www.google.com/maps/search/Sasha%27s+Cakes+%26+Pastries/@7.301057600000001,125.6804697?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Sweets by Ysa
link: https://www.google.com/maps/search/Sweets+by+Ysa/@7.299756899999999,125.68667699999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Sashas-Cafe-110658664135149/,Sasha's Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipPjGycPeTtEhkbu7TRO5R9NLeJJ4JNC12_5M8E3=w426-h240-k-no,Cafe,Cafe,4.6,,Open All Days,+63 910 108 1702,"8M4M+765 Sasha's Cafe, NATIONAL HIGH WAY, STO.NINO, Panabo, Davao del Norte, Philippines",,https://www.google.com/maps/place/Sasha%27s+Cafe/data=!4m7!3m6!1s0x32f94561c594c1eb:0x66a1e06056c8cb2e!8m2!3d7.3056275!4d125.6831197!16s%2Fg%2F11lfdxpz3t!19sChIJ68GUxWFF-TIRLsvIVmDgoWY?authuser=0&hl=en&rclk=1
ChIJl9Zk3w1E-TIRF_Uthf9u21w,iNet Cafe Panabo,,False,9,"Name: Net Central Panabo (NCGC Esports)
link: https://www.google.com/maps/search/Net+Central+Panabo+%28NCGC+Esports%29/@7.3003812,125.683567?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Exoduz Internet Cafe
link: https://www.google.com/maps/search/Exoduz+Internet+Cafe/@7.3035489,125.6790076?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: E-Games Cafes
link: https://www.google.com/maps/search/E-Games+Cafes/@7.3013791,125.6834655?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Norkenn Internet Cafe
link: https://www.google.com/maps/search/Norkenn+Internet+Cafe/@7.3015194999999995,125.68380189999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/inetcafepanabo,iNet Cafe Panabo (Owner),https://www.google.com/maps/contrib/104573563665862534702,https://lh5.googleusercontent.com/p/AF1QipO9dgJg2z3QYVHAkmUM-SiR-9ttPmHprGPbyS9a=w408-h285-k-no,Internet cafe,Internet cafe,4.1,8 AM-10 PM,Open All Days,+63 84 823 0039,"iNet Cafe Panabo, Dacudao Country Homes, Phase 2, Lot 2, Block 1, Brgy. JP Laurel, Panabo, 8105 Davao del Norte, Philippines",,https://www.google.com/maps/place/iNet+Cafe+Panabo/data=!4m7!3m6!1s0x32f9440ddf64d697:0x5cdb6eff852df517!8m2!3d7.277912!4d125.669689!16s%2Fg%2F11c1ply8b1!19sChIJl9Zk3w1E-TIRF_Uthf9u21w?authuser=0&hl=en&rclk=1
ChIJL-EeycVF-TIRw7-rSEuVs7M,RR-GAISANO GRAND PANABO,,False,8,"Name: Goldilocks Bakeshop
link: https://www.google.com/maps/search/Goldilocks+Bakeshop/@7.305549499999999,125.68327649999999?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Red Ribbon
link: https://www.google.com/maps/search/Red+Ribbon/@7.0781865999999996,125.61361289999999?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Mix n Bake Cakes & Pastries
link: https://www.google.com/maps/search/Mix+n+Bake+Cakes+%26+Pastries/@7.3017035,125.68219869999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: MaDen Oven
link: https://www.google.com/maps/search/MaDen+Oven/@7.3151491,125.6915827?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://redribbondelivery.com.ph/home/brand/5361912613175296,RR-GAISANO GRAND PANABO (Owner),https://www.google.com/maps/contrib/117048846551421371730,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XSRMzeeP1E1nAfsWcBp0rQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.407295&pitch=0&thumbfov=100,Bakery,"Bakery, Restaurant",4.3,9 AM-8 PM,Open All Days,,"RR-GAISANO GRAND PANABO, LEVEL 1 GAISANO GRAND, Quezon St, BRGY. SAN ANTONIO, Panabo, Philippines",,https://www.google.com/maps/place/RR-GAISANO+GRAND+PANABO/data=!4m7!3m6!1s0x32f945c5c91ee12f:0xb3b3954b48abbfc3!8m2!3d7.3060586!4d125.6864798!16s%2Fg%2F11jg3qd04h!19sChIJL-EeycVF-TIRw7-rSEuVs7M?authuser=0&hl=en&rclk=1
ChIJDfuVL3tF-TIREz0eVoUXndw,KAPEHANG LOKAL,,False,7,"Name: Den's Coffee
link: https://www.google.com/maps/search/Den%27s+Coffee/@7.307518,125.6864879?authuser=0&hl=en&entry=ttu
Reviews: 42 reviews

Name: PSALMS Coffee and Pastry
link: https://www.google.com/maps/search/PSALMS+Coffee+and+Pastry/@7.305268899999999,125.6857087?authuser=0&hl=en&entry=ttu
Reviews: 31 reviews

Name: GREEN BEAN CAFE
link: https://www.google.com/maps/search/GREEN+BEAN+CAFE/@7.305474299999999,125.68322059999998?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Barkoffee
link: https://www.google.com/maps/search/Barkoffee/@7.306398300000001,125.6800507?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Tea Kap
link: https://www.google.com/maps/search/Tea+Kap/@7.3010965,125.68397420000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/profile.php%3Fid%3D100088560606629%26mibextid%3DZbWKwL,KAPEHANG LOKAL (Owner),https://www.google.com/maps/contrib/100682567506810130159,https://lh5.googleusercontent.com/p/AF1QipNBHrCYUVNWbzCU9skUU55pu9FVr_NdlNiiVdhT=w408-h306-k-no,Coffee shop,Coffee shop,4.7,9 AM-5 PM,Open All Days,+63 910 344 0730,"KAPEHANG LOKAL, Panabo, 8105 Davao del Norte, Philippines",,https://www.google.com/maps/place/KAPEHANG+LOKAL/data=!4m7!3m6!1s0x32f9457b2f95fb0d:0xdc9d1785561e3d13!8m2!3d7.3072578!4d125.6674301!16s%2Fg%2F11rf9_kcth!19sChIJDfuVL3tF-TIREz0eVoUXndw?authuser=0&hl=en&rclk=1
