place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJnR4_qpTMDUcRc7ozWScEcvQ,"Cafe Bajer ""In the yard""",,False,1475,"Name: good Coffee
link: https://www.google.com/maps/search/good+Coffee/@50.044777499999995,15.7516906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 947 reviews

Name: CrossCafe Trida Miru
link: https://www.google.com/maps/search/CrossCafe+T%C5%99%C3%ADda+M%C3%ADru/@50.037378,15.7752416?authuser=0&hl=zh-TW&entry=ttu
Reviews: 450 reviews

Name: Bakla cafe
link: https://www.google.com/maps/search/Bakla+caf%C3%A9/@50.03940360000001,15.7795423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@50.037442999999996,15.776390999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",http://www.cafebajer.cz/,"Cafe Bajer ""In the yard"" (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipOa0lRTQaUJQgAh0vFpjO_mnrgA2u1tlPqKvrqG=w408-h305-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.6,09:00-22:00,Open All Days,+420 466 511 265,"Cafe Bajer ""In the yard"", tr. Miru 763, 530 02 Pardubice I, Jie Ke ","Dan Gao , Jia Ge , Zhuang Xiu , atmosphere",https://www.google.com/maps/place/Cafe+Bajer+%22In+the+yard%22/data=!4m7!3m6!1s0x470dcc94aa3f1e9d:0xf47204275933ba73!8m2!3d50.0374588!4d15.7753832!16s%2Fg%2F1td4ykqy!19sChIJnR4_qpTMDUcRc7ozWScEcvQ?authuser=0&hl=zh-TW&rclk=1
ChIJdczeFMnMDUcRmorxAtyxyhM,good Coffee,,False,947,"Name: Galerie Cafe park restaurant
link: https://www.google.com/maps/search/Galerie+Caf%C3%A9+park+restaurant/@50.0393712,15.773693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1994 reviews

Name: Cafe Bajer ""In the yard""
link: https://www.google.com/maps/search/Cafe+Bajer+%22In+the+yard%22/@50.037458799999996,15.775383199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1473 reviews

Name: Bakla cafe
link: https://www.google.com/maps/search/Bakla+caf%C3%A9/@50.03940360000001,15.7795423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Pierre coffe
link: https://www.google.com/maps/search/Pierre+coffe/@50.0368752,15.7727185?authuser=0&hl=zh-TW&entry=ttu
Reviews: 400 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",https://www.dobrykafe.net/,good Coffee (Ye Zhu ),https://www.google.com/maps/contrib/102031339121556606061,https://lh5.googleusercontent.com/p/AF1QipNsmzcJ-vKNTdCXHX08HN3J-gLj0f6fpUGRf3k6=w408-h276-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Ka Pei Dian ",4.7,07:30-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+420 732 811 192,"good Coffee, 530 09, Mozartova 566, 530 09 Pardubice II, Jie Ke ",,https://www.google.com/maps/place/good+Coffee/data=!4m7!3m6!1s0x470dccc914decc75:0x13cab1dc02f18a9a!8m2!3d50.0447775!4d15.7516906!16s%2Fg%2F11cjhmrm5q!19sChIJdczeFMnMDUcRmorxAtyxyhM?authuser=0&hl=zh-TW&rclk=1
ChIJs8aT6uzMDUcRaLV4xU-4Fz8,Cafe Restaurant Pizzeria Galera,,False,909,"Name: Galerie Cafe park restaurant
link: https://www.google.com/maps/search/Galerie+Caf%C3%A9+park+restaurant/@50.0393712,15.773693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1994 reviews

Name: Art Cafe
link: https://www.google.com/maps/search/Art+Cafe/@50.035660799999995,15.776995200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 652 reviews

Name: Pizzerie U Dusicku
link: https://www.google.com/maps/search/Pizzerie+U+Du%C5%A1i%C4%8Dk%C5%AF/@50.038270399999995,15.778853999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 461 reviews",http://www.galera-pizzerie.cz/,Cafe Restaurant Pizzeria Galera (Ye Zhu ),https://www.google.com/maps/contrib/113475813765345546907,https://lh5.googleusercontent.com/p/AF1QipPDIakaTWQIOXuWnGlGkVw1CKxSTFpb0dHAQwve=w408-h271-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Yi Da Li Can Ting , Bo Bing Can Ting ",3.6,10:00-22:00,Open All Days,+420 776 331 394,"Cafe Restaurant Pizzeria Galera, Bartolomejska 116, 530 01 Pardubice I-Stare Mesto, Jie Ke ","Pi Sa , Ke Fu ",https://www.google.com/maps/place/Caf%C3%A9+Restaurant+Pizzeria+Galera/data=!4m7!3m6!1s0x470dccecea93c6b3:0x3f17b84fc578b568!8m2!3d50.0386123!4d15.7783158!16s%2Fg%2F1tj1l6yd!19sChIJs8aT6uzMDUcRaLV4xU-4Fz8?authuser=0&hl=zh-TW&rclk=1
ChIJa5ffyOzMDUcR6otC9GDoWbo,Cokolada Bajer,,False,877,"Name: good Coffee
link: https://www.google.com/maps/search/good+Coffee/@50.044777499999995,15.7516906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 947 reviews

Name: CrossCafe Trida Miru
link: https://www.google.com/maps/search/CrossCafe+T%C5%99%C3%ADda+M%C3%ADru/@50.037378,15.7752416?authuser=0&hl=zh-TW&entry=ttu
Reviews: 450 reviews

Name: Bakla cafe
link: https://www.google.com/maps/search/Bakla+caf%C3%A9/@50.03940360000001,15.7795423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Mlsna kava
link: https://www.google.com/maps/search/Mlsn%C3%A1+k%C3%A1va/@50.035834699999995,15.7774789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 381 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",http://www.cafebajer.cz/,Cokolada Bajer (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOf6vMdRx8EUhisbViyQ60VaDDhMuv2zX-u7SzJ=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,08:00-22:00,Open All Days,+420 775 936 333,"Cokolada Bajer, Zelenobranska 2, 530 02 Pardubice I, Jie Ke ","Ke Ke , atmosphere",https://www.google.com/maps/place/%C4%8Cokol%C3%A1da+Bajer/data=!4m7!3m6!1s0x470dccecc8df976b:0xba59e860f4428bea!8m2!3d50.037857!4d15.7779102!16s%2Fg%2F11ckr78zsx!19sChIJa5ffyOzMDUcR6otC9GDoWbo?authuser=0&hl=zh-TW&rclk=1
ChIJ-Q72XJXMDUcRxRISOLJimDg,Costa Coffee,"Cai Gui Tai Dian Can De Lian Suo Ka Pei Dian ,Gong Ying Re Yin , Bing Liang Leng Yin , Tian Dian He San Ming Zhi . ",False,673,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@50.037493,15.769129?authuser=0&hl=zh-TW&entry=ttu
Reviews: 413 reviews

Name: Panorama - Caffe-Bar
link: https://www.google.com/maps/search/Panorama+-+Caffe-Bar/@50.0363676,15.7691448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 334 reviews

Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@50.037442999999996,15.776390999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Cafe Atrium
link: https://www.google.com/maps/search/Caf%C3%A9+Atrium/@50.0344761,15.773180199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.costa-coffee.cz/kavarny/91-pardubice-afi-palac,Costa Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107239818215636004357,https://lh5.googleusercontent.com/p/AF1QipN1gRCTaX38wZ8M-N3_CcGjsfb0TF80qRsU3uZc=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.2,09:00-21:00,Open All Days,+420 739 542 445,"Costa Coffee, Masarykovo nam. 2799, 530 02 Pardubice I, Jie Ke ",,https://www.google.com/maps/place/Costa+Coffee/data=!4m7!3m6!1s0x470dcc955cf60ef9:0x389862b2381212c5!8m2!3d50.0363655!4d15.7691785!16s%2Fg%2F1th5h52_!19sChIJ-Q72XJXMDUcRxRISOLJimDg?authuser=0&hl=zh-TW&rclk=1
ChIJvY0Z5VMVc0ERKrJJp72-giY,Art Cafe,,False,652,"Name: Galerie Cafe park restaurant
link: https://www.google.com/maps/search/Galerie+Caf%C3%A9+park+restaurant/@50.0393712,15.773693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1994 reviews

Name: Cafe Restaurant Pizzeria Galera
link: https://www.google.com/maps/search/Caf%C3%A9+Restaurant+Pizzeria+Galera/@50.0386123,15.778315800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 909 reviews

Name: Pizzerie U Dusicku
link: https://www.google.com/maps/search/Pizzerie+U+Du%C5%A1i%C4%8Dk%C5%AF/@50.038270399999995,15.778853999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 461 reviews

Name: b
link: https://www.google.com/maps/search/b/@50.035520899999995,15.7705738?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://www.art-cafe.cz/,Art Cafe (Ye Zhu ),https://www.google.com/maps/contrib/106721607331860471138,https://lh5.googleusercontent.com/p/AF1QipOuRVE_hD7dlBjoouke9eDGsbMOgOhgNZT2bS5j=w408-h280-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Ka Pei Ting ",4.2,08:00-21:00,Open All Days,+420 773 668 283,"Art Cafe, Jindrisska 2028, 530 12 Pardubice I, Jie Ke ",,https://www.google.com/maps/place/Art+Cafe/data=!4m7!3m6!1s0x41731553e5198dbd:0x2682bebda749b22a!8m2!3d50.0356608!4d15.7769952!16s%2Fg%2F11b6_sk8y1!19sChIJvY0Z5VMVc0ERKrJJp72-giY?authuser=0&hl=zh-TW&rclk=1
ChIJLTNP75LMDUcReV_5Te2V_jA,Pohoda-Kocici kavarna,,False,641,"Name: Bakla cafe
link: https://www.google.com/maps/search/Bakla+caf%C3%A9/@50.03940360000001,15.7795423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 418 reviews

Name: Panorama - Caffe-Bar
link: https://www.google.com/maps/search/Panorama+-+Caffe-Bar/@50.0363676,15.7691448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 334 reviews

Name: Putovni prazirna Pardubice
link: https://www.google.com/maps/search/Putovn%C3%AD+pra%C5%BE%C3%ADrna+Pardubice/@50.0341008,15.762622299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Doppie Coffee
link: https://www.google.com/maps/search/Doppie+Coffee/@50.0376366,15.770030499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: Kaficko Polabiny
link: https://www.google.com/maps/search/Kaf%C3%AD%C4%8Dko+Polabiny/@50.0497447,15.7580306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews",http://www.kavarna-pohoda.cz/,Pohoda-Kocici kavarna (Ye Zhu ),https://www.google.com/maps/contrib/103124083882114399008,https://lh5.googleusercontent.com/p/AF1QipPCxsq4d_8k8x3Ik0MQsJQNX6wmCX2xuqL-4UqF=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,14:00-19:00,Open All Days,+420 606 682 872,"Pohoda-Kocici kavarna, I, J. z Podebrad 2589, Zelene Predmesti, 530 02 Pardubice, Jie Ke ",Mao ,https://www.google.com/maps/place/Pohoda-Ko%C4%8Di%C4%8D%C3%AD+kav%C3%A1rna/data=!4m7!3m6!1s0x470dcc92ef4f332d:0x30fe95ed4df95f79!8m2!3d50.0354727!4d15.7791609!16s%2Fg%2F11bzrkh132!19sChIJLTNP75LMDUcReV_5Te2V_jA?authuser=0&hl=zh-TW&rclk=1
ChIJFZybqZTMDUcRWieJaiHMw-g,CrossCafe Trida Miru,,False,450,"Name: Cafe Bajer ""In the yard""
link: https://www.google.com/maps/search/Cafe+Bajer+%22In+the+yard%22/@50.037458799999996,15.775383199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1473 reviews

Name: Mlsna kava
link: https://www.google.com/maps/search/Mlsn%C3%A1+k%C3%A1va/@50.035834699999995,15.7774789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 381 reviews

Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@50.037442999999996,15.776390999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Grand Cafe Royal
link: https://www.google.com/maps/search/Grand+Cafe+Royal/@50.020620099999995,15.775237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews",https://www.crosscafe.cz/kavarny/trida-miru/,CrossCafe Trida Miru (Ye Zhu ),https://www.google.com/maps/contrib/109960083986074075637,https://lh5.googleusercontent.com/p/AF1QipPu1iMbJQjf7ntD_4AsPunqC2EwVGA1ynYgwc5K=w426-h240-k-no,Tian Pin Dian ,"Tian Pin Dian , Xiao Can Guan  (Bistro), Zao Can Can Ting , Ka Pei Ting ",4.4,08:00-19:00,Open All Days,+420 770 122 803,"CrossCafe Trida Miru, tr. Miru 110, 530 02 Pardubice I-Zelene Predmesti, Jie Ke ","Ka Pei , Xiao Chi , Hui Yi ",https://www.google.com/maps/place/CrossCafe+T%C5%99%C3%ADda+M%C3%ADru/data=!4m7!3m6!1s0x470dcc94a99b9c15:0xe8c3cc216a89275a!8m2!3d50.037378!4d15.7752416!16s%2Fg%2F11g6p2ypgh!19sChIJFZybqZTMDUcRWieJaiHMw-g?authuser=0&hl=zh-TW&rclk=1
ChIJYX-S8ezMDUcR2aSZoJIdzKw,Bakla cafe,,False,418,"Name: Cafe Bajer ""In the yard""
link: https://www.google.com/maps/search/Cafe+Bajer+%22In+the+yard%22/@50.037458799999996,15.775383199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1473 reviews

Name: Pohoda-Kocici kavarna
link: https://www.google.com/maps/search/Pohoda-Ko%C4%8Di%C4%8D%C3%AD+kav%C3%A1rna/@50.0354727,15.7791609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 640 reviews

Name: Cafe Casablanca
link: https://www.google.com/maps/search/Caf%C3%A9+Casablanca/@50.035669999999996,15.7709491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: KAVARNA NOTA ve spolupraci s hlt.
link: https://www.google.com/maps/search/KAV%C3%81RNA+NOTA+ve+spolupr%C3%A1ci+s+hlt./@50.038515999999994,15.7752511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",http://bakla.cz/,Bakla cafe (Ye Zhu ),https://www.google.com/maps/contrib/107476372981112216092,https://lh5.googleusercontent.com/p/AF1QipP5djZbpZLL-gNAJb6wj_iAMWG68LrQ162E_xlI=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,08:00-19:00,Open All Days,+420 723 273 330,"Bakla cafe, Pernstynska 40, 530 02 Pardubice I-Stare Mesto, Jie Ke ",Hong Jiu ,https://www.google.com/maps/place/Bakla+caf%C3%A9/data=!4m7!3m6!1s0x470dccecf1927f61:0xaccc1d92a099a4d9!8m2!3d50.0394036!4d15.7795423!16s%2Fg%2F11bbwyzx94!19sChIJYX-S8ezMDUcR2aSZoJIdzKw?authuser=0&hl=zh-TW&rclk=1
ChIJI9NVvpTMDUcRg_9si61sG58,Pierre coffe,,False,400,"Name: Cafe Bajer ""In the yard""
link: https://www.google.com/maps/search/Cafe+Bajer+%22In+the+yard%22/@50.037458799999996,15.775383199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1473 reviews

Name: good Coffee
link: https://www.google.com/maps/search/good+Coffee/@50.044777499999995,15.7516906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 947 reviews

Name: Coffeeshop Company
link: https://www.google.com/maps/search/Coffeeshop+Company/@50.037442999999996,15.776390999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Cafe Level Pardubice
link: https://www.google.com/maps/search/Caf%C3%A9+Level+Pardubice/@50.0371092,15.7690631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Doppie Coffee
link: https://www.google.com/maps/search/Doppie+Coffee/@50.0376366,15.770030499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews",http://pierre-pardubice.cz/,Pierre coffe (Ye Zhu ),https://www.google.com/maps/contrib/101945745153012719630,https://lh5.googleusercontent.com/p/AF1QipOlF7y5kszLfQ_rob2P31K3fHlRXhYxfIPXJSdU=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:30-22:00,Open All Days,+420 777 630 685,"Pierre coffe, tr. Miru 95, 530 02 Pardubice I-Zelene Predmesti, Jie Ke ",Diao Jiu ,https://www.google.com/maps/place/Pierre+coffe/data=!4m7!3m6!1s0x470dcc94be55d323:0x9f1b6cad8b6cff83!8m2!3d50.0368752!4d15.7727185!16s%2Fg%2F11cn654y78!19sChIJI9NVvpTMDUcRg_9si61sG58?authuser=0&hl=zh-TW&rclk=1
