place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDzBhCg4oqhQRWwWI2bKtL8o,Lidl,,False,1477,"Name: Petrich
link: https://www.google.com/maps/search/%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3971282,23.1934912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Obshchinski pazar Petrich
link: https://www.google.com/maps/search/%D0%9E%D0%B1%D1%89%D0%B8%D0%BD%D1%81%D0%BA%D0%B8+%D0%BF%D0%B0%D0%B7%D0%B0%D1%80+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3956032,23.208644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 245 reviews

Name: BILLA Petrich
link: https://www.google.com/maps/search/BILLA+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3950481,23.206569599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Stihl
link: https://www.google.com/maps/search/Stihl/@41.4027435,23.208056900000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Khristovi market
link: https://www.google.com/maps/search/%D0%A5%D1%80%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%B8+%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82/@41.397324,23.211511299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.lidl.bg/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/103996411536534589754,https://lh5.googleusercontent.com/p/AF1QipPThNRO5beR50I5NyKseTOoPq8ytdJKYxGR1Itm=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.2,07:30-20:30,Open All Days,+359 2 906 6444,"Lidl, ul. ,,Rokfeler"" 49, 2850 Tsentar, Petrich, Bao Jia Li Ya ","Jia Ge , Pin Zhi , You Hui ",https://www.google.com/maps/place/%D0%9B%D0%B8%D0%B4%D0%BB/data=!4m7!3m6!1s0x14aa280e0a61300f:0xca2fadb2d988055b!8m2!3d41.3983501!4d23.2095229!16s%2Fg%2F11clyx4d3r!19sChIJDzBhCg4oqhQRWwWI2bKtL8o?authuser=0&hl=zh-TW&rclk=1
ChIJpyAWjQUoqhQRHmdoaTdOO4s,Supermarket Paradise,,False,682,"Name: Petrich
link: https://www.google.com/maps/search/%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3971282,23.1934912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: BILLA Petrich
link: https://www.google.com/maps/search/BILLA+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3950481,23.206569599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Supermarket Rai
link: https://www.google.com/maps/search/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82+%D0%A0%D0%B0%D0%B9/@41.394078799999996,23.21639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Supermarket ""Rai""
link: https://www.google.com/maps/search/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82+%22%D0%A0%D0%B0%D0%B9%22/@41.4038094,23.2123174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Supermarket Rai 3
link: https://www.google.com/maps/search/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82+%D0%A0%D0%B0%D0%B9+3/@41.398621899999995,23.1999063?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://comunicatorbg.com/supermarket_rai.html,Supermarket Paradise (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPKd_cou7XdlnkJJv3h9Pf_aTkhkjWCsOxy2doI=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.4,24 Xiao Shi Ying Ye ,Open All Days,+359 74 560 250,"Supermarket Paradise, ul. ""Tsar Simeon"" 24, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/Supermarket+Paradise/data=!4m7!3m6!1s0x14aa28058d1620a7:0x8b3b4e376968671e!8m2!3d41.3935327!4d23.1991463!16s%2Fg%2F11g9vmrqrr!19sChIJpyAWjQUoqhQRHmdoaTdOO4s?authuser=0&hl=zh-TW&rclk=1
ChIJf3Nk4oMpqhQRU1uaZ5ir6Rs,Petrich,,False,397,"Name: Lidl
link: https://www.google.com/maps/search/%D0%9B%D0%B8%D0%B4%D0%BB/@41.398350099999995,23.2095229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1477 reviews

Name: Supermarket Paradise
link: https://www.google.com/maps/search/Supermarket+Paradise/@41.3935327,23.1991463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 681 reviews

Name: BILLA Petrich
link: https://www.google.com/maps/search/BILLA+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3950481,23.206569599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Easypay
link: https://www.google.com/maps/search/Easypay/@41.3960236,23.2077934?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.kaufland.bg/%3Fcid%3DBG:loc:google_1627538199456,Petrich (Ye Zhu ),https://www.google.com/maps/contrib/108571877474922662776,https://lh5.googleusercontent.com/p/AF1QipPzXWBOxZtibE2sS2w9ctnfz3hsZZAdDk6_jCU=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,07:00-22:00,Xing Qi Yi ,+359 800 12 220,"Petrich, ul. ""Rokfeler"" 1, 2850 Petrich, Bao Jia Li Ya ",Jia Ge ,https://www.google.com/maps/place/%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/data=!4m7!3m6!1s0x14aa2983e264737f:0x1be9ab98679a5b53!8m2!3d41.3971282!4d23.1934912!16s%2Fg%2F11pf5pdcg6!19sChIJf3Nk4oMpqhQRU1uaZ5ir6Rs?authuser=0&hl=zh-TW&rclk=1
ChIJyfmQTK4pqhQRLL8r8DRW-bI,BILLA Petrich,,False,130,"Name: Lidl
link: https://www.google.com/maps/search/%D0%9B%D0%B8%D0%B4%D0%BB/@41.398350099999995,23.2095229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1477 reviews

Name: Supermarket Paradise
link: https://www.google.com/maps/search/Supermarket+Paradise/@41.3935327,23.1991463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 681 reviews

Name: Petrich
link: https://www.google.com/maps/search/%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/@41.3971282,23.1934912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Supermarket Rai
link: https://www.google.com/maps/search/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82+%D0%A0%D0%B0%D0%B9/@41.394078799999996,23.21639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Minimarket""BIZhEVI""
link: https://www.google.com/maps/search/%D0%9C%D0%B8%D0%BD%D0%B8%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%22%D0%91%D0%98%D0%96%D0%95%D0%92%D0%98%22/@41.392227399999996,23.2023218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://www.billa.bg/,BILLA Petrich (Ye Zhu ),https://www.google.com/maps/contrib/117809695588777435519,https://lh5.googleusercontent.com/p/AF1QipN_ehQ4eELF_17RO06kTHe0fwf4gGQuP0awuttU=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,07:30-22:00,Open All Days,,"BILLA Petrich, ul. ""Vrah Kitka"" 2, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/BILLA+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87/data=!4m7!3m6!1s0x14aa29ae4c90f9c9:0xb2f95634f02bbf2c!8m2!3d41.3950481!4d23.2065696!16s%2Fg%2F11ryb9b0tg!19sChIJyfmQTK4pqhQRLL8r8DRW-bI?authuser=0&hl=zh-TW&rclk=1
ChIJHfJY7T8oqhQR2vu_5IjSoYY,Cafe BOBIKAT,,False,77,"Name: Semeina pekarna ""Margarita"" | Sladki i soleni pechiva Petrich | Khliab | Pogachi | Zakuski | Banitsi | Kozunak | Deserti | Kadaif
link: https://www.google.com/maps/search/%D0%A1%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D0%B0+%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D0%B0+%22%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0%22+%7C+%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B8+%D0%B8+%D1%81%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8+%D0%BF%D0%B5%D1%87%D0%B8%D0%B2%D0%B0+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87+%7C+%D0%A5%D0%BB%D1%8F%D0%B1+%7C+%D0%9F%D0%BE%D0%B3%D0%B0%D1%87%D0%B8+%7C+%D0%97%D0%B0%D0%BA%D1%83%D1%81%D0%BA%D0%B8+%7C+%D0%91%D0%B0%D0%BD%D0%B8%D1%86%D0%B8+%7C+%D0%9A%D0%BE%D0%B7%D1%83%D0%BD%D0%B0%D0%BA+%7C+%D0%94%D0%B5%D1%81%D0%B5%D1%80%D1%82%D0%B8+%7C+%D0%9A%D0%B0%D0%B4%D0%B0%D0%B8%D1%84/@41.396403199999995,23.2122223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Torti Sabaion
link: https://www.google.com/maps/search/%D0%A2%D0%BE%D1%80%D1%82%D0%B8+%D0%A1%D0%B0%D0%B1%D0%B0%D0%B9%D0%BE%D0%BD/@41.4001106,23.204958200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Sladkarska k'shcha Stoikov
link: https://www.google.com/maps/search/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D1%81%D0%BA%D0%B0+%D0%BA%D1%8A%D1%89%D0%B0+%D0%A1%D1%82%D0%BE%D0%B9%D0%BA%D0%BE%D0%B2/@41.396157099999996,23.2211996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Sladkarnitsa VIENA
link: https://www.google.com/maps/search/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+%D0%92%D0%98%D0%95%D0%9D%D0%90/@41.3928519,23.207861200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.ukrasi-bg.com/,Cafe BOBIKAT (Ye Zhu ),https://www.google.com/maps/contrib/103938781514511547344,https://lh5.googleusercontent.com/p/AF1QipPes9nA7b4xl6SSYubH-y211wNMHcP3umdLFQAz=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,07:00-14:00,"Xing Qi Liu , Xing Qi Ri ",+359 88 893 2845,"Cafe BOBIKAT, ul. ""Tetovo"" 11, 2850 Iztok, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/Cafe+BOBIKAT/data=!4m7!3m6!1s0x14aa283fed58f21d:0x86a1d288e4bffbda!8m2!3d41.3992949!4d23.2168699!16s%2Fg%2F11b7llsww1!19sChIJHfJY7T8oqhQR2vu_5IjSoYY?authuser=0&hl=zh-TW&rclk=1
ChIJPYEoABsoqhQR2MOMrCOa_FM,Pri Galeto,,False,29,"Name: An Dzhi Li Pitsariia
link: https://www.google.com/maps/search/%D0%90%D0%BD+%D0%94%D0%B6%D0%B8+%D0%9B%D0%B8+%D0%9F%D0%B8%D1%86%D0%B0%D1%80%D0%B8%D1%8F/@41.3947405,23.207184899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 500 reviews

Name: Tsar Samuil Stadium
link: https://www.google.com/maps/search/Tsar+Samuil+Stadium/@41.3905569,23.1993902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Diuneri Miro
link: https://www.google.com/maps/search/%D0%94%D1%8E%D0%BD%D0%B5%D1%80%D0%B8+%D0%9C%D0%B8%D1%80%D0%BE/@41.3916821,23.209260699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: PRI_TUFI
link: https://www.google.com/maps/search/PRI_TUFI/@41.3923886,23.206859299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Gostilnitsata na Geores
link: https://www.google.com/maps/search/%D0%93%D0%BE%D1%81%D1%82%D0%B8%D0%BB%D0%BD%D0%B8%D1%86%D0%B0%D1%82%D0%B0+%D0%BD%D0%B0+%D0%93%D0%B5%D0%BE%D1%80%D0%B5%D1%81/@41.403590699999995,23.2050327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://prigaleto.business.site/,Pri Galeto (Ye Zhu ),https://www.google.com/maps/contrib/110013866727128938959,https://lh5.googleusercontent.com/p/AF1QipOSmUrFWGd1KjEfPZt2z7EpcKtgKjK2YZGzor0j=w426-h240-k-no,Kuai Can Dian ,Kuai Can Dian ,4.7,06:00-18:00,"Xing Qi Liu , Xing Qi Ri ",+359 89 463 6339,"Pri Galeto, ulitsa Otets Paisii 8, 2850 Permanik, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/%D0%9F%D1%80%D0%B8+%D0%93%D0%B0%D0%BB%D0%B5%D1%82%D0%BE/data=!4m7!3m6!1s0x14aa281b0028813d:0x53fc9a23ac8cc3d8!8m2!3d41.3902238!4d23.206505!16s%2Fg%2F11fyly9z50!19sChIJPYEoABsoqhQR2MOMrCOa_FM?authuser=0&hl=zh-TW&rclk=1
ChIJzadsmxAoqhQRdbNIRhNnugQ,Urban Picnic,,False,22,"Name: FIORI
link: https://www.google.com/maps/search/FIORI/@41.3923732,23.2086933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Globus
link: https://www.google.com/maps/search/Globus/@41.3917475,23.207697099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Party Time
link: https://www.google.com/maps/search/Party+Time/@41.3983104,23.204397999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Be You
link: https://www.google.com/maps/search/Be+You/@41.392474299999996,23.2087348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Uniqato Coffee
link: https://www.google.com/maps/search/Uniqato+Coffee/@41.3973112,23.2133169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/urbanpicnicCafe/,Urban Picnic (Ye Zhu ),https://www.google.com/maps/contrib/110150061706686335007,https://lh5.googleusercontent.com/p/AF1QipPvtKnAI0ED65mOSB2bf4I_mvZjoP8CX6cU04oM=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,08:00-17:00,Xing Qi Ri ,,"Urban Picnic, ul. Gotse Delchev 7, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/Urban+Picnic/data=!4m7!3m6!1s0x14aa28109b6ca7cd:0x4ba67134648b375!8m2!3d41.3927364!4d23.2074026!16s%2Fg%2F11dxdphczm!19sChIJzadsmxAoqhQRdbNIRhNnugQ?authuser=0&hl=zh-TW&rclk=1
ChIJnc_yMR0pqhQRdjQyCNalFzY,"Simple Cafe, Petrich, Bulgaria",,False,17,"Name: Kafe ""Malta""
link: https://www.google.com/maps/search/%D0%9A%D0%B0%D1%84%D0%B5+%22%D0%9C%D0%B0%D0%BB%D1%82%D0%B0%22/@41.3923098,23.2081934?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Cafe-aperitif "" Slonovete ""
link: https://www.google.com/maps/search/Cafe-aperitif+%22+Slonovete+%22/@41.396882399999996,23.210458199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Globus
link: https://www.google.com/maps/search/Globus/@41.3917475,23.207697099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.facebook.com/Simple-cafe-homemade-food-109366153956149/,"Simple Cafe, Petrich, Bulgaria (Ye Zhu )",https://www.google.com/maps/contrib/107272143979185968793,https://lh5.googleusercontent.com/p/AF1QipM1fmuOlbCx7hjio0eg0Ij7jd7Ms72bnIICQZrh=w425-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,5,09:00-16:00,"Xing Qi Liu , Xing Qi Ri ",+359 89 922 8997,"Simple Cafe, Petrich, Bulgaria, ul. ""Pere Toshev"" 14, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,"https://www.google.com/maps/place/Simple+Cafe,+Petrich,+Bulgaria/data=!4m7!3m6!1s0x14aa291d31f2cf9d:0x3617a5d608323476!8m2!3d41.3915092!4d23.2081478!16s%2Fg%2F11j36hygqn!19sChIJnc_yMR0pqhQRdjQyCNalFzY?authuser=0&hl=zh-TW&rclk=1"
ChIJ15GOrWYpqhQRqBll5si2PO4,Torti Sabaion,,False,13,"Name: Semeina pekarna ""Margarita"" | Sladki i soleni pechiva Petrich | Khliab | Pogachi | Zakuski | Banitsi | Kozunak | Deserti | Kadaif
link: https://www.google.com/maps/search/%D0%A1%D0%B5%D0%BC%D0%B5%D0%B9%D0%BD%D0%B0+%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D0%B0+%22%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0%22+%7C+%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B8+%D0%B8+%D1%81%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8+%D0%BF%D0%B5%D1%87%D0%B8%D0%B2%D0%B0+%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%87+%7C+%D0%A5%D0%BB%D1%8F%D0%B1+%7C+%D0%9F%D0%BE%D0%B3%D0%B0%D1%87%D0%B8+%7C+%D0%97%D0%B0%D0%BA%D1%83%D1%81%D0%BA%D0%B8+%7C+%D0%91%D0%B0%D0%BD%D0%B8%D1%86%D0%B8+%7C+%D0%9A%D0%BE%D0%B7%D1%83%D0%BD%D0%B0%D0%BA+%7C+%D0%94%D0%B5%D1%81%D0%B5%D1%80%D1%82%D0%B8+%7C+%D0%9A%D0%B0%D0%B4%D0%B0%D0%B8%D1%84/@41.396403199999995,23.2122223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Cafe BOBIKAT
link: https://www.google.com/maps/search/Cafe+BOBIKAT/@41.3992949,23.2168699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Sladkarska k'shcha Stoikov
link: https://www.google.com/maps/search/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D1%81%D0%BA%D0%B0+%D0%BA%D1%8A%D1%89%D0%B0+%D0%A1%D1%82%D0%BE%D0%B9%D0%BA%D0%BE%D0%B2/@41.396157099999996,23.2211996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Sladkarnitsa VIENA
link: https://www.google.com/maps/search/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+%D0%92%D0%98%D0%95%D0%9D%D0%90/@41.3928519,23.207861200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://sabayon.business.site/,Torti Sabaion (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMA2q8_JPsI7ODAnl1BqqVa0Nn0IgykSb5RNSTb=w408-h271-k-no,Gao Bing Dian ,Gao Bing Dian ,4.8,08:00-20:00,Xing Qi Ri ,+359 87 873 9700,"Torti Sabaion, ul. ""Svoboda"" 10, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/%D0%A2%D0%BE%D1%80%D1%82%D0%B8+%D0%A1%D0%B0%D0%B1%D0%B0%D0%B9%D0%BE%D0%BD/data=!4m7!3m6!1s0x14aa2966ad8e91d7:0xee3cb6c8e66519a8!8m2!3d41.4001106!4d23.2049582!16s%2Fg%2F11grpx0bts!19sChIJ15GOrWYpqhQRqBll5si2PO4?authuser=0&hl=zh-TW&rclk=1
ChIJFddi3s0pqhQRo2Pk-ZCn7O4,Zdravosloven magazin PrEroda,,False,10,"Name: Aromati
link: https://www.google.com/maps/search/Aromati/@41.3985146,23.2085246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Yarn Store
link: https://www.google.com/maps/search/Yarn+Store/@41.3950563,23.211074099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Food Store
link: https://www.google.com/maps/search/Food+Store/@41.3999084,23.212454400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Preroda/,Zdravosloven magazin PrEroda (Ye Zhu ),https://www.google.com/maps/contrib/109895312619713984569,https://lh5.googleusercontent.com/p/AF1QipOCYpCIHix4B1y2DP_oOJBSnsYlcmaTsgpOIpWw=w408-h544-k-no,Jian Kang Shi Pin Zhuan Mai Dian ,"Jian Kang Shi Pin Zhuan Mai Dian , Ka Pei Dian , Hua Zhuang Pin Dian ",5,08:30-18:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+359 87 655 6880,"Zdravosloven magazin PrEroda, ul. ""Tsar Boris III"" 46, 2850 Tsentar, Petrich, Bao Jia Li Ya ",,https://www.google.com/maps/place/%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D0%BE%D1%81%D0%BB%D0%BE%D0%B2%D0%B5%D0%BD+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9F%D1%80%D0%95%D1%80%D0%BE%D0%B4%D0%B0/data=!4m7!3m6!1s0x14aa29cdde62d715:0xeeeca790f9e463a3!8m2!3d41.3981356!4d23.2087637!16s%2Fg%2F11jvhlk272!19sChIJFddi3s0pqhQRo2Pk-ZCn7O4?authuser=0&hl=zh-TW&rclk=1
