place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJp8aCJ76NpzERNgPosp9qqUo,Highlands Coffee Phu Quoc,,False,660,"Name: HD HouseCoffee
link: https://www.google.com/maps/search/HD+HouseCoffee/@10.214940799999999,103.95986529999999?authuser=0&hl=en&entry=ttu
Reviews: 484 reviews

Name: Coffee About Privacy
link: https://www.google.com/maps/search/Coffee+About+Privacy/@10.213292599999999,103.9654379?authuser=0&hl=en&entry=ttu
Reviews: 257 reviews

Name: The Coffee Garden
link: https://www.google.com/maps/search/The+Coffee+Garden/@10.224724799999999,103.9727618?authuser=0&hl=en&entry=ttu
Reviews: 152 reviews

Name: HOME cafe
link: https://www.google.com/maps/search/HOME+cafe/@10.218014,103.95924350000001?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",https://www.highlandscoffee.com.vn/,Highlands Coffee Phu Quoc (Owner),,https://lh5.googleusercontent.com/p/AF1QipObHzFVVf3YRrIccbtdumOmKJbLrCc6gD44q9OD=w426-h240-k-no,Cafe,Cafe,4.4,6 AM-10 PM,Open All Days,+84 297 3999 189,"Highlands Coffee Phu Quoc, 10a Hung Vuong, TT. Duong Dong, Phu Quoc, Kien Giang, Vietnam","ac units, banh mi",https://www.google.com/maps/place/Highlands+Coffee+Ph%C3%BA+Qu%E1%BB%91c/data=!4m7!3m6!1s0x31a78dbe2782c6a7:0x4aa96a9fb2e80336!8m2!3d10.2187964!4d103.9717915!16s%2Fg%2F11hdvdp61_!19sChIJp8aCJ76NpzERNgPosp9qqUo?authuser=0&hl=en&rclk=1
ChIJCweI-WOMpzERmQsY8f2Arcs,Son tra coffee,,False,429,"Name: 24 Coffee & Tea
link: https://www.google.com/maps/search/24+Coffee+%26+Tea/@10.218673899999999,103.9585309?authuser=0&hl=en&entry=ttu
Reviews: 100 reviews

Name: The God Father
link: https://www.google.com/maps/search/The+God+Father/@10.2159824,103.96097809999999?authuser=0&hl=en&entry=ttu
Reviews: 96 reviews

Name: Cao coffee
link: https://www.google.com/maps/search/C%C3%A0o+coffee/@10.2138432,103.9633351?authuser=0&hl=en&entry=ttu
Reviews: 93 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: So Coffee & Tea
link: https://www.google.com/maps/search/S%C3%B2+Coffee+%26+Tea/@10.2160459,103.9686423?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews",https://nhahang.sontrahillphuquoc.com/,Son tra coffee (Owner),https://www.google.com/maps/contrib/115376124687664700273,https://lh5.googleusercontent.com/p/AF1QipMSmKoFZet9EjzKRRk9re-Ci8cDKjZpK0BaA5wF=w408-h510-k-no,Cafe,Cafe,4.4,7 AM-10 PM,Open All Days,+84 297 3979 989,"Son tra coffee, TT. Duong Dong, Phu Quoc, Kien Giang, Vietnam","sunset, species, price, sea, view",https://www.google.com/maps/place/S%C6%A1n+tr%C3%A0+coffee/data=!4m7!3m6!1s0x31a78c63f988070b:0xcbad80fdf1180b99!8m2!3d10.2091486!4d103.9662509!16s%2Fg%2F11dzxd6hl7!19sChIJCweI-WOMpzERmQsY8f2Arcs?authuser=0&hl=en&rclk=1
ChIJZ4DYfi6NpzERwk2Xbd77-PU,ANBA COFFEE,,False,379,"Name: Tarapaca Cafe
link: https://www.google.com/maps/search/Tarapaca+Cafe/@10.1969242,103.96821589999999?authuser=0&hl=en&entry=ttu
Reviews: 301 reviews

Name: ISLAND COFFEE
link: https://www.google.com/maps/search/ISLAND+COFFEE/@10.206254399999999,103.963208?authuser=0&hl=en&entry=ttu
Reviews: 263 reviews

Name: Tuc Cafe
link: https://www.google.com/maps/search/T%C3%BAc+Caf%C3%A9/@10.1866144,103.9693695?authuser=0&hl=en&entry=ttu
Reviews: 155 reviews

Name: Skyline Cafe
link: https://www.google.com/maps/search/Skyline+Caf%C3%A9/@10.1935475,103.9670307?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",https://www.facebook.com/AnBaCafe/,ANBA COFFEE (Owner),https://www.google.com/maps/contrib/106857631486015352964,https://lh5.googleusercontent.com/p/AF1QipNEuL7V2MMIulxC_oHolLcIcHgIS8qG8mUrV-J8=w426-h240-k-no,Cafe,Cafe,4.5,7 AM-9:30 PM,Open All Days,+84 297 3556 888,"ANBA COFFEE, 131 Duong Tran Hung Dao, TT. Duong Dong, Phu Quoc, Kien Giang, Vietnam","ac units, kindness, employees, smoothie, garden, coconut cream, washroom, bowl, salty, love this moment (daegwan song & shinji)",https://www.google.com/maps/place/ANBA+COFFEE/data=!4m7!3m6!1s0x31a78d2e7ed88067:0xf5f8fbde6d974dc2!8m2!3d10.1972587!4d103.9685044!16s%2Fg%2F11hjxrffnf!19sChIJZ4DYfi6NpzERwk2Xbd77-PU?authuser=0&hl=en&rclk=1
ChIJz7n3odeNpzERv7kSgm1OgA4,Like Coffee Phu Quoc,,False,372,"Name: MIX BAKERY COFFEE & TEA
link: https://www.google.com/maps/search/MIX+BAKERY+COFFEE+%26+TEA/@10.216602199999999,103.9697015?authuser=0&hl=en&entry=ttu
Reviews: 265 reviews

Name: 24 Coffee & Tea
link: https://www.google.com/maps/search/24+Coffee+%26+Tea/@10.218673899999999,103.9585309?authuser=0&hl=en&entry=ttu
Reviews: 100 reviews

Name: Cao coffee
link: https://www.google.com/maps/search/C%C3%A0o+coffee/@10.2138432,103.9633351?authuser=0&hl=en&entry=ttu
Reviews: 93 reviews

Name: HOME cafe
link: https://www.google.com/maps/search/HOME+cafe/@10.218014,103.95924350000001?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: Uyen Coffee Lounge
link: https://www.google.com/maps/search/Uyen+Coffee+Lounge/@10.2139797,103.9634626?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",https://www.facebook.com/Like-Coffee-Ph%25C3%25BA-Qu%25E1%25BB%2591c-293928221472104/%3Fmodal%3Dadmin_todo_tour,Like Coffee Phu Quoc (Owner),https://www.google.com/maps/contrib/108530413193567865098,https://lh5.googleusercontent.com/p/AF1QipOw3jhaE1bNDCerNTVosB1X2mx6vTBmSt3ixcdB=w408-h306-k-no,Cafe,"Cafe, Coffee shop",4.4,6:30 AM-11:30 PM,Open All Days,+84 297 2242 777,"Like Coffee Phu Quoc, 162 D. 30 Thang 4, Khu Pho 1, Phu Quoc, Kien Giang, Vietnam",playground,https://www.google.com/maps/place/Like+Coffee+Ph%C3%BA+Qu%E1%BB%91c/data=!4m7!3m6!1s0x31a78dd7a1f7b9cf:0xe804e6d8212b9bf!8m2!3d10.2212554!4d103.9655811!16s%2Fg%2F11h15wjsk4!19sChIJz7n3odeNpzERv7kSgm1OgA4?authuser=0&hl=en&rclk=1
ChIJ3-wY_GOMpzERl60Uy5PuD3E,Nha hang Son Tra Hill,,False,304,,https://nhahang.sontrahillphuquoc.com/,Nha hang Son Tra Hill (Owner),https://www.google.com/maps/contrib/101622373310168825820,https://lh5.googleusercontent.com/p/AF1QipPbBkAa3iLslPtdptkuvwKfHp9ERTgp43nWY_-j=w408-h272-k-no,Restaurant,Restaurant,4.3,7 AM-11 PM,Open All Days,+84 297 3979 989,"Nha hang Son Tra Hill, Duong Tran Hung Dao, TT. Duong Dong, Phu Quoc, Kien Giang 922200, Vietnam","cafe, sunset, hotel, people, view, sea, employees, night, price, coconut",https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+S%C6%A1n+Tr%C3%A0+Hill/data=!4m7!3m6!1s0x31a78c63fc18ecdf:0x710fee93cb14ad97!8m2!3d10.2089862!4d103.9663373!16s%2Fg%2F11cs49zbw0!19sChIJ3-wY_GOMpzERl60Uy5PuD3E?authuser=0&hl=en&rclk=1
ChIJBZASQZ6NpzERfkHFOYJvawM,Tarapaca Cafe,,False,301,"Name: HD HouseCoffee
link: https://www.google.com/maps/search/HD+HouseCoffee/@10.214940799999999,103.95986529999999?authuser=0&hl=en&entry=ttu
Reviews: 484 reviews

Name: ANBA COFFEE
link: https://www.google.com/maps/search/ANBA+COFFEE/@10.1972587,103.9685044?authuser=0&hl=en&entry=ttu
Reviews: 376 reviews

Name: Hardy's German Bakery & Cafe
link: https://www.google.com/maps/search/Hardy%27s+German+Bakery+%26+Cafe/@10.1951784,103.967834?authuser=0&hl=en&entry=ttu
Reviews: 246 reviews

Name: XOM coffee & bar
link: https://www.google.com/maps/search/X%E1%BB%90M+coffee+%26+bar/@10.1924083,103.96717770000001?authuser=0&hl=en&entry=ttu
Reviews: 140 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",http://www.tarapacacafe.vn/,Tarapaca Cafe (Owner),https://www.google.com/maps/contrib/110094574475423784166,https://lh5.googleusercontent.com/p/AF1QipNwU3UUWbP7Wv2Gs_qenDI7eNZMrxowKj6aq2j2=w408-h408-k-no,Cafe,Cafe,4.7,7:30 AM-6:30 PM,Open All Days,+84 977 148 499,"Tarapaca Cafe, 106A Duong Tran Hung Dao, Duong To, Phu Quoc, Kien Giang 70000, Vietnam","smoothie, coconut, waffles, employees, atmosphere, mango, kindness, island, souvenirs, washroom",https://www.google.com/maps/place/Tarapaca+Cafe/data=!4m7!3m6!1s0x31a78d9e41129005:0x36b6f8239c5417e!8m2!3d10.1969242!4d103.9682159!16s%2Fg%2F11fn1rwgs0!19sChIJBZASQZ6NpzERfkHFOYJvawM?authuser=0&hl=en&rclk=1
ChIJBynkSGOMpzERDDHHx53PB60,Coffee About Privacy,,False,257,"Name: Highlands Coffee Phu Quoc
link: https://www.google.com/maps/search/Highlands+Coffee+Ph%C3%BA+Qu%E1%BB%91c/@10.218796399999999,103.9717915?authuser=0&hl=en&entry=ttu
Reviews: 661 reviews

Name: 24 Coffee & Tea
link: https://www.google.com/maps/search/24+Coffee+%26+Tea/@10.218673899999999,103.9585309?authuser=0&hl=en&entry=ttu
Reviews: 100 reviews

Name: Cao coffee
link: https://www.google.com/maps/search/C%C3%A0o+coffee/@10.2138432,103.9633351?authuser=0&hl=en&entry=ttu
Reviews: 93 reviews

Name: HOME cafe
link: https://www.google.com/maps/search/HOME+cafe/@10.218014,103.95924350000001?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",https://caphekhoangrieng.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Coffee About Privacy (Owner),https://www.google.com/maps/contrib/117801884532249456129,https://lh5.googleusercontent.com/p/AF1QipPUuye5XpiXVGhO-uSnYbwbMPdxCGTMcHlGC_gg=w408-h306-k-no,Cafe,Cafe,3.9,6:30 AM-9 PM,Open All Days,+84 865 383 538,"Coffee About Privacy, 78 D. 30 Thang 4, Khu 1, Phu Quoc, Kien Giang 91000, Vietnam",price,https://www.google.com/maps/place/Coffee+About+Privacy/data=!4m7!3m6!1s0x31a78c6348e42907:0xad07cf9dc7c7310c!8m2!3d10.2132926!4d103.9654379!16s%2Fg%2F12mjyhmw3!19sChIJBynkSGOMpzERDDHHx53PB60?authuser=0&hl=en&rclk=1
ChIJjy14YRaLpzERK8EiEnT-Mg4,Garden Coffee,,False,134,"Name: Like Coffee Phu Quoc
link: https://www.google.com/maps/search/Like+Coffee+Ph%C3%BA+Qu%E1%BB%91c/@10.221255399999999,103.9655811?authuser=0&hl=en&entry=ttu
Reviews: 372 reviews

Name: ISLAND COFFEE
link: https://www.google.com/maps/search/ISLAND+COFFEE/@10.206254399999999,103.963208?authuser=0&hl=en&entry=ttu
Reviews: 263 reviews

Name: Xu Garden Coffee & Hostel
link: https://www.google.com/maps/search/Xu+Garden+Coffee+%26+Hostel/@10.2236614,103.97533539999999?authuser=0&hl=en&entry=ttu
Reviews: 174 reviews

Name: The Coffee Garden
link: https://www.google.com/maps/search/The+Coffee+Garden/@10.224724799999999,103.9727618?authuser=0&hl=en&entry=ttu
Reviews: 152 reviews

Name: HOME cafe
link: https://www.google.com/maps/search/HOME+cafe/@10.218014,103.95924350000001?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews",https://website--355804391092706668149-cafe.business.site/,Garden Coffee (Owner),,https://lh5.googleusercontent.com/p/AF1QipOr4oYe3MdvL3h-6lD3IxiPxZGtQYoJ1NnIV9dH=w427-h240-k-no,Cafe,Cafe,4.8,6 AM-10 PM,Open All Days,+84 977 444 532,"7WPJ+6WW Garden Coffee, DT45, Cua Duong, Phu Quoc, Kien Giang, Vietnam","price, smoothie, fried rice, resort, mango, juice, meal, banh mi, atmosphere, employees",https://www.google.com/maps/place/Garden+Coffee/data=!4m7!3m6!1s0x31a78b1661782d8f:0xe32fe741222c12b!8m2!3d10.2860337!4d103.9318519!16s%2Fg%2F11g_sk5ftj!19sChIJjy14YRaLpzERK8EiEnT-Mg4?authuser=0&hl=en&rclk=1
ChIJsUtKbcyNpzERvb8Kdb3kX4g,CHAO Cafe & Local Taste,,False,124,"Name: Authentic Weasel Coffee PhuQuoc - Ca Phe Chon PhuQuoc ( Coffee Chon PhuQuoc)
link: https://www.google.com/maps/search/Authentic+Weasel+Coffee+PhuQuoc+-+C%C3%A0+Ph%C3%AA+Ch%E1%BB%93n+PhuQuoc+%28+Coffee+Ch%E1%BB%93n+PhuQuoc%29/@10.200604499999999,103.9657194?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews",https://www.facebook.com/chaophuquoc,CHAO Cafe & Local Taste (Owner),https://www.google.com/maps/contrib/102927603259242554799,https://lh5.googleusercontent.com/p/AF1QipMKPSqHr__e8pq9VNHJas7n2lW75EpoP6mJUi2l=w408-h544-k-no,Coffee shop,Coffee shop,4.9,7:30 AM-6 PM,Open All Days,+84 904 316 121,"CHAO Cafe & Local Taste, 118/2/1/1 Duong Tran Hung Dao, Khu Pho 7, Phu Quoc, Kien Giang, Vietnam","atmosphere, smoothies, breakfast, cats, kindness, coconut, vietnamese, island, banh mi, soup",https://www.google.com/maps/place/CHAO+Cafe+%26+Local+Taste/data=!4m7!3m6!1s0x31a78dcc6d4a4bb1:0x885fe4bd750abfbd!8m2!3d10.1947937!4d103.9644997!16s%2Fg%2F11k9blgb6h!19sChIJsUtKbcyNpzERvb8Kdb3kX4g?authuser=0&hl=en&rclk=1
ChIJx4kkhiiNpzERH47LIVsqJps,Zyzu Kafe,,False,116,"Name: HD HouseCoffee
link: https://www.google.com/maps/search/HD+HouseCoffee/@10.214940799999999,103.95986529999999?authuser=0&hl=en&entry=ttu
Reviews: 484 reviews

Name: ISLAND COFFEE
link: https://www.google.com/maps/search/ISLAND+COFFEE/@10.206254399999999,103.963208?authuser=0&hl=en&entry=ttu
Reviews: 263 reviews

Name: Xu Garden Coffee & Hostel
link: https://www.google.com/maps/search/Xu+Garden+Coffee+%26+Hostel/@10.2236614,103.97533539999999?authuser=0&hl=en&entry=ttu
Reviews: 174 reviews

Name: Skyline Cafe
link: https://www.google.com/maps/search/Skyline+Caf%C3%A9/@10.1935475,103.9670307?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Coffee Phu Quoc
link: https://www.google.com/maps/search/Coffee+Phu+Quoc/@10.2136721,103.959115?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",https://www.facebook.com/Zyzu-Kaf%25C3%25A9-Ph%25C3%25BA-Qu%25E1%25BB%2591c-113851120487546/,Zyzu Kafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipNRxXY8IM0vi6dSHZ1ZIxPidBiFLoYoTk2D8vYO=w408-h306-k-no,Coffee shop,Coffee shop,4.6,8 AM-11 PM,Open All Days,,"Zyzu Kafe, Loi len, so 69 Duong Tran Hung Dao, Duong To, Phu Quoc, Kien Giang, Vietnam","kindness, view, employees, ac units, photos, tower, smoothie, sea, interior, people",https://www.google.com/maps/place/Zyzu+Kaf%C3%A9/data=!4m7!3m6!1s0x31a78d28862489c7:0x9b262a5b21cb8e1f!8m2!3d10.208775!4d103.9664396!16s%2Fg%2F11lsk_f8ld!19sChIJx4kkhiiNpzERH47LIVsqJps?authuser=0&hl=en&rclk=1
