place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJd7NvrgQxxpQRIrMTcCqo8Qo,Assaggio Bistro Cafe e Padaria,,False,2760,"Name: DiPappi - Padaria & Cafeteria
link: https://www.google.com/maps/search/DiPappi+-+Padaria+%26+Cafeteria/@-22.723243699999998,-47.6447113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1670 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Paris/@-22.726200199999997,-47.6502939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Agora Boulevard
link: https://www.google.com/maps/search/%C3%81gora+Boulevard/@-22.7262165,-47.6428843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews",http://assaggio.com.br/,Assaggio Bistro Cafe e Padaria (Ye Zhu ),https://www.google.com/maps/contrib/102993975559416911705,https://lh5.googleusercontent.com/p/AF1QipNbPGmVln-8I3ws91rAd-UK0C7Yt2QUAaEW9onS=w408-h306-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Dian , Xiao Shi /Ling Shi Ba ",4.2,06:00-22:00,Open All Days,+55 19 3422-3433,"Assaggio Bistro Cafe e Padaria - R. Boa Morte, 2129 - Centro, Piracicaba - SP, 13400-140Ba Xi ","Guo Zhi , Guo Jiang , Pin Wei , Xiao Chi , Wan Ju , You Le Chang ",https://www.google.com/maps/place/Assaggio+Bistro+Caf%C3%A9+e+Padaria/data=!4m7!3m6!1s0x94c63104ae6fb377:0xaf1a82a7013b322!8m2!3d-22.7344953!4d-47.654551!16s%2Fg%2F1ptw2f63v!19sChIJd7NvrgQxxpQRIrMTcCqo8Qo?authuser=0&hl=zh-TW&rclk=1
ChIJGyUYU2gxxpQRRhSw7f8_AIs,Padaria do Vovo - Loja II,,False,1359,"Name: DiPappi - Padaria & Cafeteria
link: https://www.google.com/maps/search/DiPappi+-+Padaria+%26+Cafeteria/@-22.723243699999998,-47.6447113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1670 reviews

Name: Padaria do Vovo I
link: https://www.google.com/maps/search/Padaria+do+Vov%C3%B4+I/@-22.714485600000003,-47.6591564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 888 reviews

Name: Rivana Bakery Delicatessen - Shop 02
link: https://www.google.com/maps/search/Rivana+Bakery+Delicatessen+-+Shop+02/@-22.737164,-47.640726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 628 reviews

Name: Padaria e Confeitaria Pane Di Vita
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+Pane+Di+Vita/@-22.7098598,-47.6623114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: Padaria Dom Pedro II
link: https://www.google.com/maps/search/Padaria+Dom+Pedro+II/@-22.732402,-47.640322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews",https://www.facebook.com/padariadovovo,Padaria do Vovo - Loja II (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOKVWZIYeqlUVYF6m3ykcUsohjT7RIUnFtonO4Z=w408-h274-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian ",4.5,06:00-21:00,Open All Days,+55 19 3421-0033,"Padaria do Vovo - Loja II - Av. Armando Cesare Dedini, 444 - Nova Piracicaba, Piracicaba - SP, 13405-268Ba Xi ","Chan Pin , Zao Can , Huan Jing , Zhuo , Guo Jiang , Pin Wei , Ting Che , Wu Can Rou ",https://www.google.com/maps/place/Padaria+do+Vov%C3%B4+-+Loja+II/data=!4m7!3m6!1s0x94c631685318251b:0x8b003fffedb01446!8m2!3d-22.7163033!4d-47.6631724!16s%2Fg%2F1tddbz2t!19sChIJGyUYU2gxxpQRRhSw7f8_AIs?authuser=0&hl=zh-TW&rclk=1
ChIJncX0BmDKx5QRTQDVP3oKD1c,Cafe Tirol,,False,1248,"Name: Assaggio Bistro Cafe e Padaria
link: https://www.google.com/maps/search/Assaggio+Bistro+Caf%C3%A9+e+Padaria/@-22.7344953,-47.654551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2759 reviews

Name: Osteria Tirolesa
link: https://www.google.com/maps/search/Osteria+Tirolesa/@-22.615884899999998,-47.743837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Paris/@-22.726200199999997,-47.6502939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Cafe Mamma Italia
link: https://www.google.com/maps/search/Caf%C3%A9+Mamma+It%C3%A1lia/@-22.7226487,-47.647247?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Center Cafe
link: https://www.google.com/maps/search/Center+Caf%C3%A9/@-22.7273647,-47.647862200000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://linktr.ee/cafetirol,Cafe Tirol (Ye Zhu ),https://www.google.com/maps/contrib/116972730110750967396,https://lh5.googleusercontent.com/p/AF1QipMI-IxCbx-2io0i_xzdRy9fGXb1gTGURNjJjPdr=w408-h271-k-no,Can Ting ,"Can Ting , Zao Can Can Ting , Ka Pei Dian , Zheng Liu Ka Pei Ba , De Guo Can Ting , Yi Da Li Can Ting ",4.9,09:00-17:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu ",,"Cafe Tirol - R. Santa Olimpia, 160 - Santa Olimpia, Piracicaba - SP, 13411-589Ba Xi ","Li Shi , Bing Gan , Kuai Le , Pu Tao , Ran Se ",https://www.google.com/maps/place/Caf%C3%A9+Tirol/data=!4m7!3m6!1s0x94c7ca6006f4c59d:0x570f0a7a3fd5004d!8m2!3d-22.6145385!4d-47.744264!16s%2Fg%2F1q6kk4h9h!19sChIJncX0BmDKx5QRTQDVP3oKD1c?authuser=0&hl=zh-TW&rclk=1
ChIJlQ9cWiEwxpQRwvzyt-1l7jI,Spagnhol Plantas Ornamentais / Spagnhol Cafe,,False,678,"Name: Floriculture & Grameira SL
link: https://www.google.com/maps/search/Floriculture+%26+Grameira+SL/@-22.740807099999998,-47.607804699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 387 reviews

Name: Paisagismo e Jardinagem Piracicaba
link: https://www.google.com/maps/search/Paisagismo+e+Jardinagem+Piracicaba/@-22.744421400000004,-47.6437434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: Rede Garden Flores e Plantas Ornamentais
link: https://www.google.com/maps/search/Rede+Garden+Flores+e+Plantas+Ornamentais/@-22.741221,-47.605564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Jardim & Cia Paisagismo
link: https://www.google.com/maps/search/Jardim+%26+Cia+Paisagismo/@-22.7183881,-47.662421800000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Nativa Plantas e Jardins
link: https://www.google.com/maps/search/Nativa+Plantas+e+Jardins/@-22.7338038,-47.6653769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.spagnhol.com.br/,Spagnhol Plantas Ornamentais / Spagnhol Cafe (Ye Zhu ),https://www.google.com/maps/contrib/105025702812337554793,https://lh5.googleusercontent.com/p/AF1QipMQpUjVO_D08RZUq05y3gK36RuNZSwMe_bRLT8D=w408-h306-k-no,Yuan Lin Guan Li Yuan ,"Yuan Lin Guan Li Yuan , Ka Pei Dian , Hua Dian , Shi Nei Pen Jing Fu Wu , Yuan Jing She Ji Shi , Jing Guan Mei Hua Yong Pin Dian , Hu Wai Jia Ju Dian , Miao Pu ",4.7,08:00-18:00,Open All Days,+55 19 3424-1015,"Spagnhol Plantas Ornamentais / Spagnhol Cafe - Av. Dois Corregos, 2107 - Dois Corregos, Piracicaba - SP, 13420-835Ba Xi ","Hua Pen , Chan Pin , Dian Yuan , Jing Yan , Mei Gui , Shi Pin ",https://www.google.com/maps/place/Spagnhol+Plantas+Ornamentais+%2F+Spagnhol+Caf%C3%A9/data=!4m7!3m6!1s0x94c630215a5c0f95:0x32ee65edb7f2fcc2!8m2!3d-22.7411299!4d-47.610641!16s%2Fg%2F11b7hmgsgn!19sChIJlQ9cWiEwxpQRwvzyt-1l7jI?authuser=0&hl=zh-TW&rclk=1
ChIJVZLXp6MxxpQRt5_1ZUE0Ts4,Bakery Garden City,,False,648,"Name: DiPappi - Padaria & Cafeteria
link: https://www.google.com/maps/search/DiPappi+-+Padaria+%26+Cafeteria/@-22.723243699999998,-47.6447113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1670 reviews

Name: Padaria Divino Pao Piracicaba
link: https://www.google.com/maps/search/Padaria+Divino+P%C3%A3o+Piracicaba/@-22.7139144,-47.642963599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1372 reviews

Name: Q'Paozinho
link: https://www.google.com/maps/search/Q%27P%C3%A3ozinho/@-22.71238,-47.642784999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1354 reviews

Name: Padaria Emporio Dos Paes
link: https://www.google.com/maps/search/Padaria+Emp%C3%B3rio+Dos+P%C3%A3es/@-22.7388721,-47.5975201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1303 reviews

Name: Padaria Da Familia
link: https://www.google.com/maps/search/Padaria+Da+Familia/@-22.7442679,-47.663613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews",http://padariacidadejardim.com.br/,Bakery Garden City (Ye Zhu ),https://www.google.com/maps/contrib/101142118237032784901,https://lh5.googleusercontent.com/p/AF1QipNzGA1swOLMBUFAFm8wxW1Ry1QJw-g_VDiNC0ce=w408-h302-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Pi Jiu Zhuan Mai Dian , Tang Guo Dian , Ka Pei Dian , Tang Guo Gao Bing Dian , Huo Tui Dian , Xue Gao Dian , Bo Bing Can Ting , Bo Bing Wai Mai Zi Qu ",4.6,06:00-20:00,Xing Qi Yi ,+55 19 99977-0345,"Bakery Garden City - R. Fernando Febeliano da Costa, 1402 - Alemaes, Piracicaba - SP, 13416-253Ba Xi ","Chan Pin , Jia Ge , Pi Sa , Guo Jiang , Tai Shi , Jia Ting , Huan Jing ",https://www.google.com/maps/place/Bakery+Garden+City/data=!4m7!3m6!1s0x94c631a3a7d79255:0xce4e344165f59fb7!8m2!3d-22.7187168!4d-47.638254!16s%2Fg%2F11b7hg7rpf!19sChIJVZLXp6MxxpQRt5_1ZUE0Ts4?authuser=0&hl=zh-TW&rclk=1
ChIJe9z0xX4xxpQRVF7g9-1WsFk,Rei do Mate,,False,526,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@-22.7034214,-47.6492745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 608 reviews

Name: Cafe Donut's
link: https://www.google.com/maps/search/Caf%C3%A9+Donut%27s/@-22.7046553,-47.6494138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: Casa Bauducco Piracicaba
link: https://www.google.com/maps/search/Casa+Bauducco+Piracicaba/@-22.7041255,-47.6494181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Ice Creamy Ice Cream (Ice Cream in Stone)
link: https://www.google.com/maps/search/Ice+Creamy+Ice+Cream+%28Ice+Cream+in+Stone%29/@-22.7048509,-47.6507889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.reidomate.com.br/,Rei do Mate (Ye Zhu ),https://www.google.com/maps/contrib/118047888461650226769,https://lh5.googleusercontent.com/p/AF1QipNXcNrsK3jDApLoHEipQ2AjRFnjOCzPDQY6iaBo=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Cha Yi Guan ",4.3,11:00-22:00,Open All Days,+55 19 3413-3098,"Rei do Mate - K03 Terreo, Av. Limeira, 722 - Vila Rezende, Piracicaba - SP, 13414-018Ba Xi ","Chan Pin , Qia Bu Qi Nuo , Bing Qi Lin , Pin Wei , Zhuo , Guo Jiang , Nai Fen ",https://www.google.com/maps/place/Rei+do+Mate/data=!4m7!3m6!1s0x94c6317ec5f4dc7b:0x59b056edf7e05e54!8m2!3d-22.703483!4d-47.6487402!16s%2Fg%2F1ptz34935!19sChIJe9z0xX4xxpQRVF7g9-1WsFk?authuser=0&hl=zh-TW&rclk=1
ChIJB5BH4uYxxpQRSe5MhoxIh6c,A Mineira Cafeteria Piracicaba,,False,509,"Name: Barish Cafe
link: https://www.google.com/maps/search/Barish+Caf%C3%A9/@-22.719873,-47.643299899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Mo cafe
link: https://www.google.com/maps/search/M%C3%B3+caf%C3%A9/@-22.7237294,-47.632025399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Grao Cafe
link: https://www.google.com/maps/search/Gr%C3%A3o+Caf%C3%A9/@-22.726931099999998,-47.6435191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.amineiracafeteria.com.br/,A Mineira Cafeteria Piracicaba (Ye Zhu ),https://www.google.com/maps/contrib/111258983930293098363,https://lh5.googleusercontent.com/p/AF1QipOFnlihX2ipD3AKObD_vnbMPWHc9TbT6V4IdGau=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,07:30-18:00,Open All Days,+55 19 3374-4964,"A Mineira Cafeteria Piracicaba - Av. Dois Corregos, 427 - Vila Prudente, Piracicaba - SP, 13420-610Ba Xi ","Huan Jing , Chan Pin , Guo Jiang , Yin Le , Qia Bu Qi Nuo , Zhou Ri ",https://www.google.com/maps/place/A+Mineira+Cafeteria+Piracicaba/data=!4m7!3m6!1s0x94c631e6e2479007:0xa787488c864cee49!8m2!3d-22.7386799!4d-47.6263896!16s%2Fg%2F11h00255rk!19sChIJB5BH4uYxxpQRSe5MhoxIh6c?authuser=0&hl=zh-TW&rclk=1
ChIJWZ269PUbVgERCeh1RAqMRxY,Cafe com Prosa,,False,346,"Name: Noz Cafe e Paes
link: https://www.google.com/maps/search/N%C3%B3z+Caf%C3%A9+e+P%C3%A3es/@-22.7167983,-47.6374253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 592 reviews

Name: Mo cafe
link: https://www.google.com/maps/search/M%C3%B3+caf%C3%A9/@-22.7237294,-47.632025399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Alferes Cafe e Restaurante
link: https://www.google.com/maps/search/Alferes+Caf%C3%A9+e+Restaurante/@-22.7234147,-47.649666499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Grao Cafe
link: https://www.google.com/maps/search/Gr%C3%A3o+Caf%C3%A9/@-22.726931099999998,-47.6435191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/cafecomprosadeliciasesabores/%3Feid%3DARAWHrrADXrVBMARwQzsaXNwlYHgDqwdPeV7mFZfIcehtk7NwGjljh0SXeM2MBXm4Yz6tzmdSy17tlBA,Cafe com Prosa (Ye Zhu ),https://www.google.com/maps/contrib/114296154266043432654,https://lh5.googleusercontent.com/p/AF1QipPFBppyQwuATMncmh1szoX35BwqNpYDaPiXZ5ZO=w408-h388-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Ka Pei Ting ",4.6,06:30-18:30,Xing Qi Ri ,+55 19 2533-1377,"Cafe com Prosa - Av. Sao Joao, 573 - Sao Judas, Piracicaba - SP, 13416-382Ba Xi ","Jia Ge , Wu Can , Chan Pin , Mian Bao , Kao Ji , Huan Jing ",https://www.google.com/maps/place/Caf%C3%A9+com+Prosa/data=!4m7!3m6!1s0x1561bf5f4ba9d59:0x16478c0a4475e809!8m2!3d-22.7155764!4d-47.6370219!16s%2Fg%2F11b7hj_66l!19sChIJWZ269PUbVgERCeh1RAqMRxY?authuser=0&hl=zh-TW&rclk=1
ChIJwytIJV8xxpQRqO_U_53ByFM,Padaria Amizade 7,,False,344,"Name: Casa dos Paes - Padaria 24 horas
link: https://www.google.com/maps/search/Casa+dos+P%C3%A3es+-+Padaria+24+horas/@-22.740915599999997,-47.6271981?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1491 reviews

Name: Q'Paozinho
link: https://www.google.com/maps/search/Q%27P%C3%A3ozinho/@-22.71238,-47.642784999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1354 reviews

Name: Padaria Emporio Dos Paes
link: https://www.google.com/maps/search/Padaria+Emp%C3%B3rio+Dos+P%C3%A3es/@-22.7388721,-47.5975201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1303 reviews

Name: Bakery Garden City
link: https://www.google.com/maps/search/Bakery+Garden+City/@-22.7187168,-47.638253999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 646 reviews",https://linktr.ee/PadariaAmizade,Padaria Amizade 7 (Ye Zhu ),https://www.google.com/maps/contrib/100489254820059541598,https://lh5.googleusercontent.com/p/AF1QipPnzetith6qov4OOojfwGf9KPxdYLYYxKJeo925=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian ",4.6,06:00-22:00,Open All Days,+55 19 97165-1337,"Padaria Amizade 7 - Av. Piracicamirim, 2766 - Piracicamirim, Piracicaba - SP, 13417-780Ba Xi ","Chan Pin , Ka Pei , Jia Ge , Guo Jiang , Zhu Zi Bao , Xiao Chi , Huan Jing ",https://www.google.com/maps/place/Padaria+Amizade+7/data=!4m7!3m6!1s0x94c6315f25482bc3:0x53c8c19dffd4efa8!8m2!3d-22.735098!4d-47.6332211!16s%2Fg%2F11mw8425tt!19sChIJwytIJV8xxpQRqO_U_53ByFM?authuser=0&hl=zh-TW&rclk=1
ChIJXZvpqfYxxpQRYh5ImqBhng4,Varanda Jequitiba Restaurante,,False,302,"Name: Vecchio Cancian Piracicaba
link: https://www.google.com/maps/search/Vecchio+Cancian+Piracicaba/@-22.7193431,-47.651847800000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1327 reviews

Name: Navegantes Restaurante
link: https://www.google.com/maps/search/Navegantes+Restaurante/@-22.705079599999998,-47.6730094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1243 reviews

Name: HERMANN'S RESTAURANTE DE PIRACICABA
link: https://www.google.com/maps/search/HERMANN%27S+RESTAURANTE+DE+PIRACICABA/@-22.729352799999997,-47.642968499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: Tempero Piracicaba
link: https://www.google.com/maps/search/Tempero+Piracicaba/@-22.7291213,-47.6501448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Espaco Grill Restaurante
link: https://www.google.com/maps/search/Espa%C3%A7o+Grill+Restaurante/@-22.679305700000004,-47.6274164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews",https://varandajequitibarestaurante.negocio.site/,Varanda Jequitiba Restaurante (Ye Zhu ),https://www.google.com/maps/contrib/112533598682852913844,https://lh5.googleusercontent.com/p/AF1QipM3OEOi5EANalreLConjqMN6nn54XUVO-PKjta1=w408-h271-k-no,Can Ting ,"Can Ting , Zao Can Can Ting , Ka Pei Dian ",4.5,07:00-17:00,Xing Qi Ri ,+55 19 99722-0460,"Varanda Jequitiba Restaurante - 13414157 - Santa Rosa, Piracicaba - SP, 13403-600Ba Xi ","Jia Ge , Huan Jing , Chi Dao Bao , Han Bao ",https://www.google.com/maps/place/Varanda+Jequitib%C3%A1+Restaurante/data=!4m7!3m6!1s0x94c631f6a9e99b5d:0xe9e61a09a481e62!8m2!3d-22.6949481!4d-47.6209907!16s%2Fg%2F11c51wj6fq!19sChIJXZvpqfYxxpQRYh5ImqBhng4?authuser=0&hl=zh-TW&rclk=1
