place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJs5354qMLqgARTva8zJs5EMc,CORDEIRO SUPERMERCADOS,,False,1527,"Name: Bretas Atacarejo Pirapora
link: https://www.google.com/maps/search/Bretas+Atacarejo+Pirapora/@-17.337843,-44.9248355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1483 reviews

Name: Mercearia Cordeiro
link: https://www.google.com/maps/search/Mercearia+Cordeiro/@-17.3282631,-44.9287807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Cordeiro Materiais De Construcao
link: https://www.google.com/maps/search/Cordeiro+Materiais+De+Construcao/@-17.335476399999997,-44.928158599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Supermercado Rabelo
link: https://www.google.com/maps/search/Supermercado+Rabelo/@-17.3497666,-44.92253110000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Comercial Cordeiro
link: https://www.google.com/maps/search/Comercial+Cordeiro/@-17.3302428,-44.9329094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://supercordeiro.com.br/,CORDEIRO SUPERMERCADOS (Ye Zhu ),https://www.google.com/maps/contrib/110893430573898862562,https://lh5.googleusercontent.com/p/AF1QipMtU4kEv7zgKpQi1-9TXxic3_7rAY78peQALQA6=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,07:30-22:00,Xing Qi Yi ,+55 38 99730-9742,"CORDEIRO SUPERMERCADOS - Av. Gov. Valadares, 353 - Centro, Pirapora - MG, 39270-000Ba Xi ","Jia Ge , Ting Che , Zu Zhi , Mian Bao Dian , Di Qu , Ke Ren ",https://www.google.com/maps/place/CORDEIRO+SUPERMERCADOS/data=!4m7!3m6!1s0xaa0ba3e2f99db3:0xc710399bccbcf64e!8m2!3d-17.347928!4d-44.9500191!16s%2Fg%2F1tgk1wqv!19sChIJs5354qMLqgARTva8zJs5EMc?authuser=0&hl=zh-TW&rclk=1
ChIJBQDwrnwLqgAR2WP0GoC880A,Bretas Atacarejo Pirapora,,False,1483,"Name: CORDEIRO SUPERMERCADOS
link: https://www.google.com/maps/search/CORDEIRO+SUPERMERCADOS/@-17.347928,-44.9500191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1527 reviews

Name: Supermercados BH
link: https://www.google.com/maps/search/Supermercados+BH/@-17.348447699999998,-44.90864560000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 593 reviews

Name: Brandao
link: https://www.google.com/maps/search/Brand%C3%A3o/@-17.353369999999998,-44.9166879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 336 reviews

Name: Supermercado Avenida
link: https://www.google.com/maps/search/Supermercado+Avenida/@-17.3165413,-44.908380199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: Supermercado Rabelo
link: https://www.google.com/maps/search/Supermercado+Rabelo/@-17.3497666,-44.92253110000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",http://www.bretas.com.br/,Bretas Atacarejo Pirapora (Ye Zhu ),https://www.google.com/maps/contrib/105761942832930564752,https://lh5.googleusercontent.com/p/AF1QipP8e6GGHlxX0rKIkUWh5NuCuE04b5ku-pFlwUgO=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Pin Dian ",4,07:00-22:00,Open All Days,,"Bretas Atacarejo Pirapora - Av. Jefferson Gitirana, 630 - Nova Pirapora, Pirapora - MG, 39270-000Ba Xi ","Jia Ge , Ting Che , Tui Guang , Zu Zhi , Pi Fa , Ke Ren , Pin Pai , app",https://www.google.com/maps/place/Bretas+Atacarejo+Pirapora/data=!4m7!3m6!1s0xaa0b7caef00005:0x40f3bc801af463d9!8m2!3d-17.337843!4d-44.9248355!16s%2Fg%2F1pzxb2y95!19sChIJBQDwrnwLqgAR2WP0GoC880A?authuser=0&hl=zh-TW&rclk=1
ChIJ2S2KWcMMqgARH8XLqAmlkj0,Padaria Itapoa,,False,868,"Name: Padaria e Confeitaria Santo Antonio
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+Santo+Ant%C3%B4nio/@-17.3450687,-44.944671799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 641 reviews

Name: Padaria Santo Antonio
link: https://www.google.com/maps/search/Padaria+Santo+Ant%C3%B4nio/@-17.3430863,-44.929400699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 596 reviews

Name: Padaria & Confeitaria Gomes
link: https://www.google.com/maps/search/Padaria+%26+Confeitaria+Gomes/@-17.3399194,-44.924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Padaria Sao Jose
link: https://www.google.com/maps/search/Padaria+S%C3%A3o+Jos%C3%A9/@-17.3382425,-44.9203208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",http://www.hubt.com.br/padaria-itapoa,Padaria Itapoa (Ye Zhu ),https://www.google.com/maps/contrib/100711501065804793906,https://lh5.googleusercontent.com/p/AF1QipMF2BGG-4eKeGgNSnYeaOjq3faD4oIMrPTzivIY=w408-h240-k-no-pi-10.458876-ya320.28033-ro1.6291982-fo100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,05:30-20:00,Open All Days,+55 38 99885-5184,"Padaria Itapoa - Av. Jefferson Gitirana, 1175 - Cicero Passos, Pirapora - MG, 39270-000Ba Xi ","Chan Pin , Huan Jing , Jia Ge , Qing Shi , Ka Pei , Di Qu ",https://www.google.com/maps/place/Padaria+Itapo%C3%A3/data=!4m7!3m6!1s0xaa0cc3598a2dd9:0x3d92a509a8cbc51f!8m2!3d-17.3339784!4d-44.9266428!16s%2Fg%2F1tcy01rg!19sChIJ2S2KWcMMqgARH8XLqAmlkj0?authuser=0&hl=zh-TW&rclk=1
ChIJE9Fd-aELqgARYClyQNu_q5Y,CORDEIRO SUPERMERCADOS,,False,590,"Name: Bretas Atacarejo Pirapora
link: https://www.google.com/maps/search/Bretas+Atacarejo+Pirapora/@-17.337843,-44.9248355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1483 reviews

Name: Mercearia Cordeiro
link: https://www.google.com/maps/search/Mercearia+Cordeiro/@-17.3282631,-44.9287807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Cordeiro Materiais De Construcao
link: https://www.google.com/maps/search/Cordeiro+Materiais+De+Construcao/@-17.335476399999997,-44.928158599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Supermercado Rabelo
link: https://www.google.com/maps/search/Supermercado+Rabelo/@-17.3497666,-44.92253110000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Comercial Cordeiro
link: https://www.google.com/maps/search/Comercial+Cordeiro/@-17.3302428,-44.9329094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://supercordeiro.com.br/,CORDEIRO SUPERMERCADOS (Ye Zhu ),https://www.google.com/maps/contrib/105246385698415607892,https://lh5.googleusercontent.com/p/AF1QipMk5saC8NAtlznCoBTL6XNFZIZ0IbDv_ZphjSxS=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,07:30-21:00,Xing Qi Yi ,+55 38 99806-8531,"CORDEIRO SUPERMERCADOS - R. Argemiro Peixoto, 120 - Centro, Pirapora - MG, 39270-000Ba Xi ","Jia Ge , Ke Ren , Shui Guo , Zu Zhi ",https://www.google.com/maps/place/CORDEIRO+SUPERMERCADOS/data=!4m7!3m6!1s0xaa0ba1f95dd113:0x96abbfdb40722960!8m2!3d-17.3523367!4d-44.9485589!16s%2Fg%2F11bbrl6xpl!19sChIJE9Fd-aELqgARYClyQNu_q5Y?authuser=0&hl=zh-TW&rclk=1
ChIJ013S8BBuqgARXNo46uKoFKU,Casa da Uva - Pirapora,,False,352,"Name: Recanto da vovo
link: https://www.google.com/maps/search/Recanto+da+vov%C3%B3/@-17.348361399999998,-44.949337899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Cantina da Edna
link: https://www.google.com/maps/search/Cantina+da+Edna/@-17.347946999999998,-44.920787399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Restaurante panela de barro
link: https://www.google.com/maps/search/Restaurante+panela+de+barro/@-17.2213139,-44.8229214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Casa Do Tempero
link: https://www.google.com/maps/search/Casa+Do+Tempero/@-17.342753,-44.9298882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cantina da neia
link: https://www.google.com/maps/search/Cantina+da+neia/@-17.310414899999998,-44.8973697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://pt-br.facebook.com/pages/Casa-da-Uva/212000945484841,Casa da Uva - Pirapora (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNbcsbO-4Sk8oYtTsVk66M-XCD9wCKws6N29Ai8=w426-h240-k-no,Bian Li Dian ,"Bian Li Dian , Xiao Shi /Ling Shi Ba ",4.4,07:00-17:00,Open All Days,+55 38 99850-9022,"Casa da Uva - Pirapora - Pirapora - MG - BR 365, KM 147, Pirapora - MG, 39270-000Ba Xi ","Chan Pin , Shou Gong , Qing Shi , Guo Jiang , Guo Zhi , Yu Shi , Li Wu ",https://www.google.com/maps/place/Casa+da+Uva+-+Pirapora/data=!4m7!3m6!1s0xaa6e10f0d25dd3:0xa514a8e2ea38da5c!8m2!3d-17.2533723!4d-44.8395267!16s%2Fg%2F11b6llk9h7!19sChIJ013S8BBuqgARXNo46uKoFKU?authuser=0&hl=zh-TW&rclk=1
ChIJifXzQpcLqgARivKJDlPVq-Q,Cacau Show,,False,79,"Name: Chocodoces Mix Pirapora
link: https://www.google.com/maps/search/Chocodoces+Mix+Pirapora/@-17.350917199999998,-44.9501284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Floricultura Sempre Verde
link: https://www.google.com/maps/search/Floricultura+Sempre+Verde/@-17.3492928,-44.9475282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Chocodoces Festas Pirapora
link: https://www.google.com/maps/search/Chocodoces+Festas+Pirapora/@-17.3505292,-44.949658799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Floricultura Papoula
link: https://www.google.com/maps/search/Floricultura+Papoula/@-17.3500899,-44.9492482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Mirian Presentes
link: https://www.google.com/maps/search/Mirian+Presentes/@-17.351218499999998,-44.949780499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/103161972657466373506,https://lh5.googleusercontent.com/p/AF1QipOQtVtVSjCb9LXeqsLAkZImNwHrTJgjTyhP87Li=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.5,09:00-19:00,Xing Qi Ri ,+55 38 3741-2290,"Cacau Show - Av. Rodolfo Mallard, 96 - Centro, Pirapora - MG, 39270-000Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0xaa0b9742f3f589:0xe4abd5530e89f28a!8m2!3d-17.3504997!4d-44.9502215!16s%2Fg%2F11rkmwwx68!19sChIJifXzQpcLqgARivKJDlPVq-Q?authuser=0&hl=zh-TW&rclk=1
ChIJzyFsLxUNqgAROEAWE1IAfmg,Padaria & Confeitaria Gomes,,False,75,"Name: Padaria Itapoa
link: https://www.google.com/maps/search/Padaria+Itapo%C3%A3/@-17.3339784,-44.926642799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 868 reviews

Name: Padaria Sao Jose
link: https://www.google.com/maps/search/Padaria+S%C3%A3o+Jos%C3%A9/@-17.3382425,-44.9203208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Padaria Confeitaria e Lanchonete Pauli
link: https://www.google.com/maps/search/Padaria+Confeitaria+e+Lanchonete+Pauli/@-17.343947,-44.9331633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Padaria Que Massa
link: https://www.google.com/maps/search/Padaria+Que+Massa/@-17.3401597,-44.9307498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/juras.gomes.14,Padaria & Confeitaria Gomes (Ye Zhu ),https://www.google.com/maps/contrib/117268858687208227569,https://lh5.googleusercontent.com/p/AF1QipNAHD8nJMhRCBJsz5PdeAPJXAIVinXFuQb0HIw6=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.8,05:00-19:30,Open All Days,+55 38 3743-3384,"Padaria & Confeitaria Gomes - Av. Jefferson Gitirana, 404 - Nova Pirapora, Pirapora - MG, 39270-000Ba Xi ",Chan Pin ,https://www.google.com/maps/place/Padaria+%26+Confeitaria+Gomes/data=!4m7!3m6!1s0xaa0d152f6c21cf:0x687e005213164038!8m2!3d-17.3399194!4d-44.924!16s%2Fg%2F11h0g_pkqx!19sChIJzyFsLxUNqgAROEAWE1IAfmg?authuser=0&hl=zh-TW&rclk=1
ChIJp5iEAwoLqgARNM_2gcIfTEo,Padaria E Mercearia Jkn,,False,55,"Name: Padaria Itapoa
link: https://www.google.com/maps/search/Padaria+Itapo%C3%A3/@-17.3339784,-44.926642799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 868 reviews

Name: Padaria e Mercearia sabor real
link: https://www.google.com/maps/search/Padaria+e+Mercearia+sabor+real/@-17.368603,-44.934259399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Padaria Sao Jose
link: https://www.google.com/maps/search/Padaria+S%C3%A3o+Jos%C3%A9/@-17.3382425,-44.9203208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://padariaemerceariajkn.vendizap.com/,Padaria E Mercearia Jkn (Ye Zhu ),https://www.google.com/maps/contrib/112166131060239961126,https://lh5.googleusercontent.com/p/AF1QipNKKFrQhkc9-cb_1adDtBc1qkQeR9HrrwE5jTx-=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,06:00-20:00,Xing Qi Ri ,+55 38 3741-8213,"Padaria E Mercearia Jkn - R. Piaui, 840 - Santo Antonio, Pirapora - MG, 39270-000Ba Xi ","Chan Pin , Jia Ge ",https://www.google.com/maps/place/Padaria+E+Mercearia+Jkn/data=!4m7!3m6!1s0xaa0b0a038498a7:0x4a4c1fc281f6cf34!8m2!3d-17.343871!4d-44.9484095!16s%2Fg%2F11f3r2srkg!19sChIJp5iEAwoLqgARNM_2gcIfTEo?authuser=0&hl=zh-TW&rclk=1
ChIJz7bdqswLqgARX66P96BEZ4I,Sabores Gourmet - Cafeteria e Hamburgueria,,False,28,"Name: Burguer House Hamburgueria Artesanal
link: https://www.google.com/maps/search/Burguer+House+Hamburgueria+Artesanal/@-17.3459358,-44.9425697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Eba Burger
link: https://www.google.com/maps/search/Eba+Burger/@-17.342694599999998,-44.942568699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 157 reviews

Name: Gym Burguer
link: https://www.google.com/maps/search/Gym+Burguer/@-17.350758199999998,-44.950677299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Rud Burguer
link: https://www.google.com/maps/search/Rud+Burguer/@-17.353923299999998,-44.948696399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Come On Burguer
link: https://www.google.com/maps/search/Come+On+Burguer/@-17.325320200000004,-44.9231786?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/saboresgourmetpirapora/,Sabores Gourmet - Cafeteria e Hamburgueria (Ye Zhu ),https://www.google.com/maps/contrib/100198298800180111017,https://lh5.googleusercontent.com/p/AF1QipNV3eA3FHVO6x4wvfcAdhOIVoBSIP_LaDcsEwVg=w408-h306-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Ba Xi Mei Tian Dian Dian , Ka Pei Dian ",4.6,19:00-23:00,Xing Qi Si ,+55 38 99920-3196,"Sabores Gourmet - Cafeteria e Hamburgueria - Av. Brasil, 1225 - Santo Antonio, Pirapora - MG, 39272-124Ba Xi ",,https://www.google.com/maps/place/Sabores+Gourmet+-+Cafeteria+e+Hamburgueria/data=!4m7!3m6!1s0xaa0bccaaddb6cf:0x826744a0f78fae5f!8m2!3d-17.3448792!4d-44.9459356!16s%2Fg%2F11f7dbzqjh!19sChIJz7bdqswLqgARX66P96BEZ4I?authuser=0&hl=zh-TW&rclk=1
ChIJ34kNzt8NqgAR7wGg4F4n-EU,Padaria Pao de Mel,,False,13,"Name: Padaria & Confeitaria Gomes
link: https://www.google.com/maps/search/Padaria+%26+Confeitaria+Gomes/@-17.3399194,-44.924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Padaria Sabor Mineiro
link: https://www.google.com/maps/search/Padaria+Sabor+Mineiro/@-17.341484299999998,-44.9451491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Pao de Queijo Mineiro
link: https://www.google.com/maps/search/Pao+de+Queijo+Mineiro/@-17.3268775,-44.920909800000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",https://www.instagram.com/pdm.padaria/,Padaria Pao de Mel (Ye Zhu ),https://www.google.com/maps/contrib/106461051425327158270,https://lh5.googleusercontent.com/p/AF1QipNHOhNQwYLdSttWI__-QBeyn2svGlKSwJS5JDjw=w408-h305-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.5,06:00-19:00,Open All Days,+55 38 99828-0611,"Padaria Pao de Mel - R. Romualdo Macedo, 503 - Cicero Passos, Pirapora - MG, 39276-068Ba Xi ",,https://www.google.com/maps/place/Padaria+P%C3%A3o+de+Mel/data=!4m7!3m6!1s0xaa0ddfce0d89df:0x45f8275ee0a001ef!8m2!3d-17.322513!4d-44.9181287!16s%2Fg%2F11s7wgtcm5!19sChIJ34kNzt8NqgAR7wGg4F4n-EU?authuser=0&hl=zh-TW&rclk=1
