place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDTJyL73RrBQRnqsttYJd__M,Central Perk,,False,1399,"Name: Central Park
link: https://www.google.com/maps/search/Central+Park/@42.14203,24.745860999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1440 reviews

Name: Friends Coffee
link: https://www.google.com/maps/search/Friends+Coffee/@42.149226,24.7492995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Plovdiv
link: https://www.google.com/maps/search/Plovdiv/@42.15194530000001,24.7459053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://centralperkplovdiv.business.site/,Central Perk (Ye Zhu ),https://www.google.com/maps/contrib/111641183177766993260,https://lh5.googleusercontent.com/p/AF1QipMURZ5I_VQwlqdsHotJDRcsWyx7Y6wyRFWO_fgn=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Zhi Ban You Xi Ju Le Bu ",4,09:00-01:00,Open All Days,+359 88 828 1183,"Central Perk, ul. ""Hristo Dyukmedzhiev"" 16, 4000 Kapana, Plovdiv, Bao Jia Li Ya ","atmosphere, Diao Jiu , Di Ban , Zhi Fu , Jia Ju , Xiang Fa , Shou Gong Pi Jiu , Xian Jin ",https://www.google.com/maps/place/Central+Perk/data=!4m7!3m6!1s0x14acd1bd2f72320d:0xf3ff5d82b52dab9e!8m2!3d42.149222!4d24.7492449!16s%2Fg%2F11c1qs84d8!19sChIJDTJyL73RrBQRnqsttYJd__M?authuser=0&hl=zh-TW&rclk=1
ChIJSddm1LrRrBQRsRsqC2rlcjA,Costa Coffee,,False,912,"Name: West coffee
link: https://www.google.com/maps/search/West+coffee/@42.138605899999995,24.7223786?authuser=0&hl=zh-TW&entry=ttu
Reviews: 989 reviews

Name: The Family Coffee Roasters
link: https://www.google.com/maps/search/The+Family+Coffee+Roasters/@42.1518363,24.7467537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 406 reviews

Name: Offline Cafe
link: https://www.google.com/maps/search/Offline+Caf%C3%A9/@42.1495525,24.74989?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: KAPANCHETO (kapana edition)
link: https://www.google.com/maps/search/KAPANCHETO+%28kapana+edition%29/@42.149797899999996,24.7500873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",http://www.costacoffee.bg/,Costa Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMYvHhH5cxumTRJcHdTTZl3nV-UG7LyvYKfuZW2=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-20:00,Open All Days,,"Costa Coffee, ul. ""General Gurko"" 13, 4000 Tsentar, Plovdiv, Bao Jia Li Ya ","wifi, Qia Bu Qi Nuo , Jia Ge , Di Ban , Ke Fu , Tian Dian , Bi Dian , San Ming Zhi , Ce Suo , Ka Pei Shi ",https://www.google.com/maps/place/Costa+Coffee/data=!4m7!3m6!1s0x14acd1bad466d749:0x3072e56a0b2a1bb1!8m2!3d42.1439075!4d24.7497!16s%2Fg%2F11bwpcwqlc!19sChIJSddm1LrRrBQRsRsqC2rlcjA?authuser=0&hl=zh-TW&rclk=1
ChIJUyG_M7bRrBQRS3_TKqihyFo,Stenata,,False,673,"Name: CHOCHKO
link: https://www.google.com/maps/search/CHOCHKO/@42.1431444,24.749333099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 750 reviews

Name: Dolce Fellini Pasticceria & Gelateria
link: https://www.google.com/maps/search/Dolce+Fellini+Pasticceria+%26+Gelateria/@42.143908499999995,24.7499827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Yes, for you
link: https://www.google.com/maps/search/Yes%2C+for+you/@42.151638,24.7460804?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Tonis Pastry
link: https://www.google.com/maps/search/Tonis+Pastry/@42.141945899999996,24.7396775?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",https://sladkarnicastenata.com/,Stenata (Ye Zhu ),https://www.google.com/maps/contrib/116631928450010568618,https://lh5.googleusercontent.com/p/AF1QipO_5-qbQii5MpeadzaMs3FYmAsNAgyCv0LCrXKw=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Xi Bing Dian , Xue Gao Dian ",4.6,10:00-19:00,Open All Days,+359 88 417 4234,"Stenata, Nikola Petkov St 7, 4000 Tsentar, Plovdiv, Bao Jia Li Ya ","Sheng Dai , Nai You , Zhuo , Jia Ge ",https://www.google.com/maps/place/Stenata/data=!4m7!3m6!1s0x14acd1b633bf2153:0x5ac8a1a82ad37f4b!8m2!3d42.1419286!4d24.7390182!16s%2Fg%2F113j0824_!19sChIJUyG_M7bRrBQRS3_TKqihyFo?authuser=0&hl=zh-TW&rclk=1
ChIJv4nZF9PRrBQRGJIHCcRf-Ow,El Greco - gr'tska kafe sladkarnitsa i pekarna,,False,580,"Name: Restorant ""Porto Greko""
link: https://www.google.com/maps/search/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD%D1%82+%22%D0%9F%D0%BE%D1%80%D1%82%D0%BE+%D0%93%D1%80%D0%B5%D0%BA%D0%BE%22/@42.1367526,24.7681851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 730 reviews

Name: Dolce Fellini Pasticceria & Gelateria
link: https://www.google.com/maps/search/Dolce+Fellini+Pasticceria+%26+Gelateria/@42.143908499999995,24.7499827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Sladkarnitsa 5 o'clock
link: https://www.google.com/maps/search/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+5+o%27clock/@42.151917,24.746729799999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews",https://elgreco.bg/,El Greco - gr'tska kafe sladkarnitsa i pekarna (Ye Zhu ),https://www.google.com/maps/contrib/115342979131901495447,https://lh5.googleusercontent.com/p/AF1QipNzasC7IiBN_9-kYY4bSkQsuS09qW58DKCEg6Rl=w459-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Mian Bao Xi Bing Dian , Zao Can Can Ting , Tang Guo Dian , Ka Pei Dian ",4.5,08:00-20:00,Open All Days,+359 32 643 232,"El Greco - gr'tska kafe sladkarnitsa i pekarna, ul. ""Antim I"" 7, 4000 Tsentar, Plovdiv, Bao Jia Li Ya ","Gao , Mian Bao Dian , Bing Qi Lin , atmosphere, San Ming Zhi , Xuan Ze ",https://www.google.com/maps/place/El+Greco+-+%D0%B3%D1%80%D1%8A%D1%86%D0%BA%D0%B0+%D0%BA%D0%B0%D1%84%D0%B5+%D1%81%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+%D0%B8+%D0%BF%D0%B5%D0%BA%D0%B0%D1%80%D0%BD%D0%B0/data=!4m7!3m6!1s0x14acd1d317d989bf:0xecf85fc409079218!8m2!3d42.1478052!4d24.7470451!16s%2Fg%2F11jfq6my_l!19sChIJv4nZF9PRrBQRGJIHCcRf-Ow?authuser=0&hl=zh-TW&rclk=1
ChIJ--ux35HRrBQRw9Lku1hp7Qc,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,503,"Name: West coffee
link: https://www.google.com/maps/search/West+coffee/@42.138605899999995,24.7223786?authuser=0&hl=zh-TW&entry=ttu
Reviews: 989 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@42.1439075,24.749699999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 912 reviews

Name: Cinema Cafe
link: https://www.google.com/maps/search/Cinema+Cafe/@42.1420245,24.7194482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.starbucks.bg/,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP-jI_P3Evi_XY8nGfynF-GXIDfGG-CUkOMqeh6=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,08:00-21:00,Open All Days,+359 89 301 7108,"Starbucks, ul. ""Perushtitsa"" 8, 4002 g.k. Mladezhki halm, Plovdiv, Bao Jia Li Ya ","Zhuo , Qing Jie , Bei , Jia Ge , Gou Wu Zhong Xin ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x14acd191dfb1ebfb:0x7ed6958bbe4d2c3!8m2!3d42.1414061!4d24.7192198!16s%2Fg%2F11g2xqr3tt!19sChIJ--ux35HRrBQRw9Lku1hp7Qc?authuser=0&hl=zh-TW&rclk=1
ChIJRezfKDzQrBQRGQzMaBDtBOI,"Coffee-Bookstore ""Dobrota""",,False,438,"Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@42.1439075,24.749699999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 912 reviews

Name: The Family Coffee Roasters
link: https://www.google.com/maps/search/The+Family+Coffee+Roasters/@42.1518363,24.7467537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 406 reviews

Name: Dukiana Coffee Craftex Roastery and Cafe
link: https://www.google.com/maps/search/Dukiana+Coffee+Craftex+Roastery+and+Cafe/@42.148627,24.749837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Cafe De Paris
link: https://www.google.com/maps/search/Cafe+De+Paris/@42.1375467,24.7494084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: knizharnitsa BOOKTRADING
link: https://www.google.com/maps/search/%D0%BA%D0%BD%D0%B8%D0%B6%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+BOOKTRADING/@42.124615,24.720910399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",https://www.facebook.com/profile.php%3Fid%3D100057720607398,"Coffee-Bookstore ""Dobrota"" (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipOl32WFtFgXkz6ye9v_pQKPIO2GdL4TMBSCnIjq=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-20:30,Open All Days,+359 88 872 1556,"Coffee-Bookstore ""Dobrota"", bul. ""Aleksander Stamboliyski"" 35, 4004 g.k. Yuzhen, Plovdiv, Bao Jia Li Ya ","atmosphere, Dan Gao , Yue Du ",https://www.google.com/maps/place/Coffee-Bookstore+%22Dobrota%22/data=!4m7!3m6!1s0x14acd03c28dfec45:0xe204ed1068cc0c19!8m2!3d42.1205367!4d24.732363!16s%2Fg%2F11bwpp22kv!19sChIJRezfKDzQrBQRGQzMaBDtBOI?authuser=0&hl=zh-TW&rclk=1
ChIJN1EhK6XRrBQR8weBr96OtfA,Dolce Fellini Pasticceria & Gelateria,,False,433,"Name: Stenata
link: https://www.google.com/maps/search/Stenata/@42.1419286,24.7390182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 673 reviews

Name: The Family Coffee Roasters
link: https://www.google.com/maps/search/The+Family+Coffee+Roasters/@42.1518363,24.7467537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 406 reviews

Name: ""Sladkarnitsa Fensi""
link: https://www.google.com/maps/search/%22%D0%A1%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%80%D0%BD%D0%B8%D1%86%D0%B0+%D0%A4%D0%B5%D0%BD%D1%81%D0%B8%22/@42.139643299999996,24.7558045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 385 reviews

Name: Dwell Coffee House
link: https://www.google.com/maps/search/Dwell+Coffee+House/@42.1474671,24.7468056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: GELATERIA VIVALDI
link: https://www.google.com/maps/search/GELATERIA+VIVALDI/@42.146022699999996,24.748672199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews",http://www.dolcefellini.com/,Dolce Fellini Pasticceria & Gelateria (Ye Zhu ),https://www.google.com/maps/contrib/105957207077302186671,https://lh5.googleusercontent.com/p/AF1QipOpotk-GWpkvuIawLas3PUQCypiKYvDeFncWi1Q=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-19:00,Open All Days,+359 89 454 0709,"Dolce Fellini Pasticceria & Gelateria, ul. ""General Gurko"" 15, 4000 Tsentar, Plovdiv, Bao Jia Li Ya ","Dan Gao , Qia Bu Qi Nuo , Ke Song , Bing Gan , Na Tie , atmosphere",https://www.google.com/maps/place/Dolce+Fellini+Pasticceria+%26+Gelateria/data=!4m7!3m6!1s0x14acd1a52b215137:0xf0b58edeaf8107f3!8m2!3d42.1439085!4d24.7499827!16s%2Fg%2F11b6z2s3gv!19sChIJN1EhK6XRrBQR8weBr96OtfA?authuser=0&hl=zh-TW&rclk=1
ChIJX7jWLb3RrBQRIzhSiUD0y9E,Coffee&Gallery Cu29,,False,424,"Name: Dukiana Coffee Craftex Roastery and Cafe
link: https://www.google.com/maps/search/Dukiana+Coffee+Craftex+Roastery+and+Cafe/@42.148627,24.749837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Seasons Coffee
link: https://www.google.com/maps/search/Seasons+Coffee/@42.1520757,24.746706399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 145 reviews

Name: KAPANCHETO (kapana edition)
link: https://www.google.com/maps/search/KAPANCHETO+%28kapana+edition%29/@42.149797899999996,24.7500873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: ONE ART CAFE - GALLERY
link: https://www.google.com/maps/search/ONE+ART+CAFE+-+GALLERY/@42.15030230000001,24.7481127?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.cutwentynine.com/,Coffee&Gallery Cu29 (Ye Zhu ),https://www.google.com/maps/contrib/117275048967077362577,https://lh5.googleusercontent.com/p/AF1QipM1yV651hIKbeUbpKi8_DI6R8KKLwQNBUWP0dtb=w480-h240-k-no,Yi Lang Ka Pei Ting ,"Yi Lang Ka Pei Ting , Ka Pei Dian ",4.5,09:00-02:30,Open All Days,+359 88 934 2518,"Coffee&Gallery Cu29, ul. ""Hristo Dyukmedzhiev"" 24, 4000 Kapana, Plovdiv, Bao Jia Li Ya ","Jia Ge , Diao Jiu , espresso, Xian Jin , Pi Jiu , Yin Le , Zao Can ",https://www.google.com/maps/place/Coffee%26Gallery+Cu29/data=!4m7!3m6!1s0x14acd1bd2dd6b85f:0xd1cbf44089523823!8m2!3d42.1492917!4d24.7496876!16s%2Fg%2F11c0rnjpqb!19sChIJX7jWLb3RrBQRIzhSiUD0y9E?authuser=0&hl=zh-TW&rclk=1
ChIJ8cYxYcbRrBQRA4O1hurFnDA,The Family Coffee Roasters,,False,406,"Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@42.1439075,24.749699999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 912 reviews

Name: Argento
link: https://www.google.com/maps/search/Argento/@42.1510191,24.7467269?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews

Name: Yes, for you
link: https://www.google.com/maps/search/Yes%2C+for+you/@42.151638,24.7460804?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: KAPANCHETO (kapana edition)
link: https://www.google.com/maps/search/KAPANCHETO+%28kapana+edition%29/@42.149797899999996,24.7500873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Arzhento
link: https://www.google.com/maps/search/%D0%90%D1%80%D0%B6%D0%B5%D0%BD%D1%82%D0%BE/@42.151027899999995,24.746779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://thefamilycoffee.com/,The Family Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/110433886252554817573,https://lh5.googleusercontent.com/p/AF1QipNTkZGR1JkYChxQKsyWD-O3AKOhLdCYriob2g7d=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4.7,08:00-19:00,Open All Days,+359 89 983 8348,"The Family Coffee Roasters, ul. ""Rayko Daskalov"" 54, 4000 Tsentar, Plovdiv, Bao Jia Li Ya ","atmosphere, Qia Bu Qi Nuo , Ka Pei Shi , Zhuang Xiu , flat white, Nai , Kao , espresso, Ke Song , Bi Dian ",https://www.google.com/maps/place/The+Family+Coffee+Roasters/data=!4m7!3m6!1s0x14acd1c66131c6f1:0x309cc5ea86b58303!8m2!3d42.1518363!4d24.7467537!16s%2Fg%2F11fhz5xstk!19sChIJ8cYxYcbRrBQRA4O1hurFnDA?authuser=0&hl=zh-TW&rclk=1
ChIJKX6lnb3RrBQR7_uuuJcULLE,Argento,,False,347,"Name: The Family Coffee Roasters
link: https://www.google.com/maps/search/The+Family+Coffee+Roasters/@42.1518363,24.7467537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 406 reviews

Name: Dukiana Coffee Craftex Roastery and Cafe
link: https://www.google.com/maps/search/Dukiana+Coffee+Craftex+Roastery+and+Cafe/@42.148627,24.749837?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Seasons Coffee
link: https://www.google.com/maps/search/Seasons+Coffee/@42.1520757,24.746706399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 145 reviews",https://www.facebook.com/ArgentoLaCaffetteria/%3Fref%3Daymt_homepage_panel,Argento (Ye Zhu ),https://www.google.com/maps/contrib/106783872790008252591,https://lh5.googleusercontent.com/p/AF1QipOkHHd5LJz6YuQWtCfOGJrZoVVGm6_KrfymsvBR=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Xue Gao Dian ",4.3,08:00-20:00,"Xing Qi Yi , Xing Qi Ri ",+359 88 622 6233,"Argento, ul. ""Rayko Daskalov"" 48, 4000 Kapana, Plovdiv, Bao Jia Li Ya ","Bing Qi Lin , Yin Le ",https://www.google.com/maps/place/Argento/data=!4m7!3m6!1s0x14acd1bd9da57e29:0xb12c1497b8aefbef!8m2!3d42.1510191!4d24.7467269!16s%2Fg%2F11b7lldwhj!19sChIJKX6lnb3RrBQR7_uuuJcULLE?authuser=0&hl=zh-TW&rclk=1
