place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_6W1_3EyRzkRPr2inYv-ZLs,Shree Ashapurna Restaurant Pokhran,,False,1481,"Name: Trilochana Hotel & Restaurant
link: https://www.google.com/maps/search/Trilochana+Hotel+%26+Restaurant/@26.9306907,71.8853951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 995 reviews

Name: Hotel Devrang and Restaurant
link: https://www.google.com/maps/search/Hotel+Devrang+and+Restaurant/@26.9190157,71.9253841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: Navrang Restaurant
link: https://www.google.com/maps/search/Navrang+Restaurant/@26.931732399999998,71.880819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Hindustan Restaurant
link: https://www.google.com/maps/search/Hindustan+Restaurant/@26.928189099999997,71.8755288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Mahadev restaurant pokaran
link: https://www.google.com/maps/search/Mahadev+restaurant+pokaran/@26.9189819,71.915836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://shree-ashapurna-restaurant-pokhran.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Shree Ashapurna Restaurant Pokhran (Ye Zhu ),https://www.google.com/maps/contrib/115718303822464611223,https://lh5.googleusercontent.com/p/AF1QipPeoY1pk6l7NKqS_0iQ6N3Ldw_pAioAfS9hRzSt=w533-h240-k-no,Can Ting ,Can Ting ,4.1,07:00-23:30,Open All Days,+91 98296 77154,"Shree Ashapurna Restaurant Pokhran, National Highway 15, near Jubliee Petrol Pump, Pokhran, Pokaran, Rajasthan 345021Yin Du ","Shi Wu Pin Zhi , Wu Can , Gao Su Gong Lu , Su Shi , Fan Dian , Shuai Bing , Wei Sheng ",https://www.google.com/maps/place/Shree+Ashapurna+Restaurant+Pokhran/data=!4m7!3m6!1s0x39473271ffb5a5ff:0xbb64fe8b9da2bd3e!8m2!3d26.9306058!4d71.8862583!16s%2Fg%2F11b6hlbknz!19sChIJ_6W1_3EyRzkRPr2inYv-ZLs?authuser=0&hl=zh-TW&rclk=1
ChIJ_U0ZqywzRzkR9GAnI6M3Huo,Mahaveer sweet home Manoj tea stall (Bhanwarlal ji chai wale),,False,380,"Name: Mayur Ratan Sweet Pokaran
link: https://www.google.com/maps/search/Mayur+Ratan+Sweet+Pokaran/@26.9255794,71.9184568?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Mahadev Misthan Bhandar guttsaa kii dukaan braaNc n. 2
link: https://www.google.com/maps/search/Mahadev+Misthan+Bhandar+%E0%A4%97%E0%A5%81%E0%A4%9F%E0%A4%B8%E0%A4%BE+%E0%A4%95%E0%A5%80+%E0%A4%A6%E0%A5%81%E0%A4%95%E0%A4%BE%E0%A4%A8+%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%9A+%E0%A4%A8.+2/@26.9198891,71.9158006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Jai Ambe Sweets
link: https://www.google.com/maps/search/Jai+Ambe+Sweets/@26.931025899999998,71.9093142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Balaji testi Bite
link: https://www.google.com/maps/search/Balaji+testi+Bite/@26.9207009,71.91583659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://sites.google.com/view/mahaveersweethome,Mahaveer sweet home Manoj tea stall (Bhanwarlal ji chai wale) (Ye Zhu ),https://www.google.com/maps/contrib/114010270075405505670,https://lh5.googleusercontent.com/p/AF1QipMOEN2VKfJ38Qm1DMKWbDXN32htuPvsue3R9C9Z=w408-h311-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Tang Guo Dian , Cha Xie Dian ",4.2,05:00-21:00,Open All Days,+91 94139 23137,"Mahaveer sweet home Manoj tea stall (Bhanwarlal ji chai wale), Mahaveer sweets home front high secondary school Main highway, Pokhran, Rajasthan 345021Yin Du ","Tian Dian , Xing Wei ",https://www.google.com/maps/place/Mahaveer+sweet+home+Manoj+tea+stall+%28Bhanwarlal+ji+chai+wale%29/data=!4m7!3m6!1s0x3947332cab194dfd:0xea1e37a3232760f4!8m2!3d26.924601!4d71.9191131!16s%2Fg%2F11f5_gtcp_!19sChIJ_U0ZqywzRzkR9GAnI6M3Huo?authuser=0&hl=zh-TW&rclk=1
ChIJR6yPkTQtRzkRdhOfzuqBuAk,Tapri cafe,,False,38,,https://tapri-cafe-coffee-shop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Tapri cafe (Ye Zhu ),https://www.google.com/maps/contrib/117001598403519610343,https://lh5.googleusercontent.com/p/AF1QipO3HEM4u_yOVKgD5SZ4GqoRRtOPbljV0Yy48Qnq=w532-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Kuai Can Dian ",5,07:00-22:00,Open All Days,,"Tapri cafe, opposite BSNL Office, Pokhran, Pokaran, Rajasthan 345021Yin Du ",Su Shi ,https://www.google.com/maps/place/Tapri+cafe/data=!4m7!3m6!1s0x39472d34918fac47:0x9b881eace9f1376!8m2!3d26.9144082!4d71.919826!16s%2Fg%2F11st8fwlkw!19sChIJR6yPkTQtRzkRdhOfzuqBuAk?authuser=0&hl=zh-TW&rclk=1
ChIJcVRIUBstRzkRie79zCbv4XA,Sonu's Mocha Pot,,False,2,"Name: Mahaveer sweet home Manoj tea stall (Bhanwarlal ji chai wale)
link: https://www.google.com/maps/search/Mahaveer+sweet+home+Manoj+tea+stall+%28Bhanwarlal+ji+chai+wale%29/@26.924601,71.91911309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 380 reviews

Name: Bhawani Restaurant pokarn
link: https://www.google.com/maps/search/Bhawani+Restaurant+pokarn/@26.9207839,71.9227638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Mahadev restaurant pokaran
link: https://www.google.com/maps/search/Mahadev+restaurant+pokaran/@26.9189819,71.915836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: baabaa griib saaheb kettrs (Om Ji )
link: https://www.google.com/maps/search/%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE+%E0%A4%97%E0%A4%B0%E0%A5%80%E0%A4%AC+%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC+%E0%A4%95%E0%A5%87%E0%A4%9F%E0%A4%B0%E0%A4%B8+%28Om+Ji+%29/@26.9191525,71.9023697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Balaji testi Bite
link: https://www.google.com/maps/search/Balaji+testi+Bite/@26.9207009,71.91583659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://sonus-mocha-pot.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Sonu's Mocha Pot (Ye Zhu ),https://www.google.com/maps/contrib/113014468487220378643,https://lh5.googleusercontent.com/p/AF1QipNLlFbqBBD9usQcNahIcx8NoK07PmuAbG8kQ4hB=w408-h306-k-no,Can Ting ,Can Ting ,5,08:30-23:00,Open All Days,,"Sonu's Mocha Pot, Gandhi chowk, opposite Kapil sweet, Pokhran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/Sonu%27s+Mocha+Pot/data=!4m7!3m6!1s0x39472d1b50485471:0x70e1ef26ccfdee89!8m2!3d26.9198822!4d71.9163912!16s%2Fg%2F11rcl8k3_k!19sChIJcVRIUBstRzkRie79zCbv4XA?authuser=0&hl=zh-TW&rclk=1
ChIJLbt8XNwzRzkRBChh7aIzafU,pokhran,,False,360,"Name: The Pokaran Fort - Jaisalmer District, Rajasthan, India
link: https://www.google.com/maps/search/The+Pokaran+Fort+-+Jaisalmer+District%2C+Rajasthan%2C+India/@26.920400299999997,71.9148037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2571 reviews

Name: Wine shop
link: https://www.google.com/maps/search/Wine+shop/@26.919882599999998,71.9222958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,pokhran (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMg5r5_DX0tK1gSgwhg_Mrrnufuw8BxYlqAF-SI=w408-h543-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,,Open All Days,,"WWG9+R5H pokhran, Pokhran, Pokaran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/pokhran/data=!4m7!3m6!1s0x394733dc5c7cbb2d:0xf56933a2ed612804!8m2!3d26.9270339!4d71.9180244!16s%2Fg%2F11tj9x2c4_!19sChIJLbt8XNwzRzkRBChh7aIzafU?authuser=0&hl=zh-TW&rclk=1
ChIJKy_KF3stRzkRlj3jcWDmATo,Ashapurna Dairy And Ice Cream,,False,28,"Name: Taniya Bakers & Fast Food
link: https://www.google.com/maps/search/Taniya+Bakers+%26+Fast+Food/@26.9196128,71.91636199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Sohan Dairy
link: https://www.google.com/maps/search/Sohan+Dairy/@26.912658699999998,71.91848329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: yash ice cream & cold drink
link: https://www.google.com/maps/search/yash+ice+cream+%26+cold+drink/@26.923557,71.91777929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Kavya Fancy & gift pokaran
link: https://www.google.com/maps/search/Kavya+Fancy+%26+gift+pokaran/@26.9147347,71.9150081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Ashapurna Dairy And Ice Cream (Ye Zhu ),https://www.google.com/maps/contrib/109396257969536861281,https://lh5.googleusercontent.com/p/AF1QipOctlH4sL8kHA-VDa7EYKv0M6TSKZbyhwLtJyLA=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,3.8,08:00-22:00,Open All Days,,"Ashapurna Dairy And Ice Cream, Bhavani pole Pokhran, Pokhran, Pokaran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/Ashapurna+Dairy+And+Ice+Cream/data=!4m7!3m6!1s0x39472d7b17ca2f2b:0x3a01e66071e33d96!8m2!3d26.9147571!4d71.915214!16s%2Fg%2F11d_2fr2qh!19sChIJKy_KF3stRzkRlj3jcWDmATo?authuser=0&hl=zh-TW&rclk=1
ChIJrVliXp0yRzkRhvaeuEtD5JI,yash ice cream & cold drink,,False,6,"Name: pokhran
link: https://www.google.com/maps/search/pokhran/@26.927033899999998,71.9180244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Ashapurna Dairy And Ice Cream
link: https://www.google.com/maps/search/Ashapurna+Dairy+And+Ice+Cream/@26.9147571,71.91521399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",,yash ice cream & cold drink (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNk5aSCO_0IoZHh-6OYnSvD0W7-GaYkV684Zm-s=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Xue Gao Dian ",4.7,10:00-00:00,Open All Days,+91 96024 17101,"WWF9+C4C yash ice cream & cold drink, Pokhran, Pokaran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/yash+ice+cream+%26+cold+drink/data=!4m7!3m6!1s0x3947329d5e6259ad:0x92e4434bb89ef686!8m2!3d26.923557!4d71.9177793!16s%2Fg%2F11g6qknlpg!19sChIJrVliXp0yRzkRhvaeuEtD5JI?authuser=0&hl=zh-TW&rclk=1
ChIJCQi4E50yRzkRBKjOlnTcO2Q,Bhagwati Tea Stall,,False,5,"Name: murli tea company
link: https://www.google.com/maps/search/murli+tea+company/@26.920520099999997,71.9165436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Pandharpuri Chay Pokaran
link: https://www.google.com/maps/search/Pandharpuri+Chay+Pokaran/@26.9223897,71.92054399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Bhagwati Tea Stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNy1OYPNp12X82FW_MC7zhY_VsGknd0PWZuNStY=w408-h725-k-no,Cha Xie Dian ,Cha Xie Dian ,4.2,08:30-20:00,Open All Days,,"WWG9+389 Bhagwati Tea Stall, Pokhran, Pokaran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/Bhagwati+Tea+Stall/data=!4m7!3m6!1s0x3947329d13b80809:0x643bdc7496cea804!8m2!3d26.9251629!4d71.918364!16s%2Fg%2F11f_0vvyd6!19sChIJCQi4E50yRzkRBKjOlnTcO2Q?authuser=0&hl=zh-TW&rclk=1
ChIJG6kFg-YtRzkRp5s38ToMfHk,bol bum tea,,False,3,,,bol bum tea (Ye Zhu ),https://www.google.com/maps/contrib/113458184301061854983,https://lh5.googleusercontent.com/p/AF1QipM2Tn3R5O2tX56fxrEzHSExcjfvzpa1jBECTbfv=w408-h884-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,,Open All Days,,"bol bum tea, Sardar Bazar Rd, Pokhran, Pokaran, Rajasthan 345021Yin Du ",,https://www.google.com/maps/place/bol+bum+tea/data=!4m7!3m6!1s0x39472de68305a91b:0x797c0c3af1379ba7!8m2!3d26.9224529!4d71.9151144!16s%2Fg%2F11v0lp0vnv!19sChIJG6kFg-YtRzkRp5s38ToMfHk?authuser=0&hl=zh-TW&rclk=1
ChIJb061dWMtRzkRjlUbtM83JCI,gairuu caay vaalaa,,False,3,,,gairuu caay vaalaa (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WtmQyZm67ex0pJhRWvKoAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.44435&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"WWF9+2F6 gairuu caay vaalaa, gaaNdhii cauk, men baajaar, Pokhran, Pokaran, Rajasthan 345051Yin Du ",,https://www.google.com/maps/place/%E0%A4%97%E0%A5%88%E0%A4%B0%E0%A5%82+%E0%A4%9A%E0%A4%BE%E0%A4%AF+%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A4%BE/data=!4m7!3m6!1s0x39472d6375b54e6f:0x222437cfb41b558e!8m2!3d26.9225332!4d71.9186304!16s%2Fg%2F11r84bcs11!19sChIJb061dWMtRzkRjlUbtM83JCI?authuser=0&hl=zh-TW&rclk=1
