place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwdUiLnu9Fw0R_hlCEjMoulM,Lidl Portalegre,,False,1361,"Name: E.Leclerc
link: https://www.google.com/maps/search/E.Leclerc/@39.277870199999995,-7.4331074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1780 reviews

Name: Modelo Continente Portalegre
link: https://www.google.com/maps/search/Modelo+Continente+Portalegre/@39.277760799999996,-7.4316619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1275 reviews

Name: Pingo Doce - Portalegre
link: https://www.google.com/maps/search/Pingo+Doce+-+Portalegre/@39.2992129,-7.428801699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 964 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@39.276596999999995,-7.430090999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 783 reviews

Name: Aldi Supermarket
link: https://www.google.com/maps/search/Aldi+Supermarket/@39.2852408,-7.434204800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews",https://www.lidl.pt/,Lidl Portalegre (Ye Zhu ),https://www.google.com/maps/contrib/103841839127312507287,https://lh5.googleusercontent.com/p/AF1QipNjVwBKfCQMLaMbZe1SWV8dGPmF2pIoNnJgXbEq=w408-h292-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.2,08:00-21:00,Xing Qi Yi ,+351 21 020 7000,"Lidl Portalegre, R. Prof. Angelo Monteiro, 7300-041 Portalegre, Pu Tao Ya ","Zu Zhi , Ting Che , Wei Sheng , Dan Gao , Gong Ying ",https://www.google.com/maps/place/Lidl+Portalegre/data=!4m7!3m6!1s0xd17bd7b2e22d5c1:0x53ba2833124219fe!8m2!3d39.280328!4d-7.43075!16s%2Fg%2F11b76c1xpl!19sChIJwdUiLnu9Fw0R_hlCEjMoulM?authuser=0&hl=zh-TW&rclk=1
ChIJ7zpZZiW9Fw0RNqxBPOnEDMk,McDonald's - Portalegre,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1162,"Name: Burger King Portalegre
link: https://www.google.com/maps/search/Burger+King+Portalegre/@39.2786608,-7.4336021?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2220 reviews

Name: Solar do Forcado
link: https://www.google.com/maps/search/Solar+do+Forcado/@39.290747599999996,-7.4294771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 757 reviews

Name: Pizza7
link: https://www.google.com/maps/search/Pizza7/@39.2966232,-7.4306236000000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 292 reviews

Name: Delicias da Praca
link: https://www.google.com/maps/search/Del%C3%ADcias+da+Pra%C3%A7a/@39.2973682,-7.427721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: O Cachorro do Mercado
link: https://www.google.com/maps/search/O+Cachorro+do+Mercado/@39.2969854,-7.427698599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews",http://www.mcdonalds.pt/,McDonald's - Portalegre (Ye Zhu ),https://www.google.com/maps/contrib/107732548868357883247,https://lh5.googleusercontent.com/p/AF1QipPiZeagfyOIeUcnTuhc69fiCfg6IcjGREQG9DSk=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Jia Ting Can Ting , Han Bao Can Ting , Wai Song Su Di Can Ting , Wai Mai Zi Qu Can Ting , Yun Song Fu Wu ",4.2,08:00-00:00,Open All Days,+351 245 249 556,"McDonald's - Portalegre, Rua da, Av. da Extremadura Espanhola, 7300-196 Portalegre, Pu Tao Ya ","Qing Jie , star, Wei Sheng , Zhu Yi , Xiao Lu , Tuan Dui , Kong Jian ",https://www.google.com/maps/place/McDonald%27s+-+Portalegre/data=!4m7!3m6!1s0xd17bd2566593aef:0xc90cc4e93c41ac36!8m2!3d39.283862!4d-7.430706!16s%2Fg%2F11j0h7rhc1!19sChIJ7zpZZiW9Fw0RNqxBPOnEDMk?authuser=0&hl=zh-TW&rclk=1
ChIJoeElt0O9Fw0Ryi-i5czfygI,PRIO,,False,703,"Name: Galp - Lubripor
link: https://www.google.com/maps/search/Galp+-+Lubripor/@39.29584,-7.43223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: Estacao de Servico Repsol
link: https://www.google.com/maps/search/Esta%C3%A7%C3%A3o+de+Servi%C3%A7o+Repsol/@39.267914,-7.426304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: bp
link: https://www.google.com/maps/search/bp/@39.2803171,-7.4313411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Estacao de Servico Repsol
link: https://www.google.com/maps/search/Esta%C3%A7%C3%A3o+de+Servi%C3%A7o+Repsol/@39.266134,-7.43692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: GASLEGRE - COMBUSTIVEIS DE PORTALEGRE, LDA.
link: https://www.google.com/maps/search/GASLEGRE+-+COMBUST%C3%8DVEIS+DE+PORTALEGRE%2C+LDA./@39.2958815,-7.4327705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.prio.pt/pt/,PRIO (Ye Zhu ),https://www.google.com/maps/contrib/104968310631984280002,https://lh5.googleusercontent.com/p/AF1QipNKKdBGZMO-ThLR_FF3m8BSrsFwEMv3xklGT4XB=w408-h725-k-no,You Zhan ,"You Zhan , Ti Dai Ran Liao You Zhan , Xi Che Fu Wu , Ka Pei Dian ",4,07:00-23:00,Open All Days,+351 245 098 289,"PRIO, Av. Francisco Fino Industrial 72, 7300-126 Portalegre, Pu Tao Ya ","Jia Ge , Ka Pei , Yu Shi , Gong Yuan , Zao Can ",https://www.google.com/maps/place/PRIO/data=!4m7!3m6!1s0xd17bd43b725e1a1:0x2cadfcce5a22fca!8m2!3d39.2687602!4d-7.4197264!16s%2Fg%2F11bc8d0hvq!19sChIJoeElt0O9Fw0Ryi-i5czfygI?authuser=0&hl=zh-TW&rclk=1
ChIJcVHI5WS9Fw0RNTxOQDmBGLs,Minipreco,,False,298,"Name: Modelo Continente Portalegre
link: https://www.google.com/maps/search/Modelo+Continente+Portalegre/@39.277760799999996,-7.4316619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1275 reviews

Name: Pingo Doce - Portalegre
link: https://www.google.com/maps/search/Pingo+Doce+-+Portalegre/@39.2992129,-7.428801699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 964 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@39.276596999999995,-7.430090999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 783 reviews

Name: Aldi Supermarket
link: https://www.google.com/maps/search/Aldi+Supermarket/@39.2852408,-7.434204800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews

Name: NEW MEGASTORE
link: https://www.google.com/maps/search/NEW+MEGASTORE/@39.2761038,-7.428728400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",http://www.minipreco.pt/,Minipreco (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPCUnzi8Th34ExvFpIUvLBqVwYO2prLv3YJe0M=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,08:30-21:00,Open All Days,,"Minipreco, R. dos Bombeiros Voluntarios 1, 7300-126 Portalegre, Pu Tao Ya ",Jia Ge ,https://www.google.com/maps/place/Minipre%C3%A7o/data=!4m7!3m6!1s0xd17bd64e5c85171:0xbb188139404e3c35!8m2!3d39.2786051!4d-7.4308133!16s%2Fg%2F11c0xj7lw6!19sChIJcVHI5WS9Fw0RNTxOQDmBGLs?authuser=0&hl=zh-TW&rclk=1
ChIJr4XC1XCXFw0R9C0ktU5UJVA,Casa do Cacador,,False,190,"Name: Patio da Casa - Cafe Concerto
link: https://www.google.com/maps/search/P%C3%A1tio+da+Casa+-+Caf%C3%A9+Concerto/@39.2921483,-7.432192299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 277 reviews

Name: Taberna Facha
link: https://www.google.com/maps/search/Taberna+Facha/@39.295745,-7.430612099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: retiro da severa
link: https://www.google.com/maps/search/retiro+da+severa/@39.298588099999996,-7.430585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",https://casa-do-cacador-cafe.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Casa do Cacador (Ye Zhu ),https://www.google.com/maps/contrib/113040966743083838191,https://lh5.googleusercontent.com/p/AF1QipMBdcS4uIXl2x7JkcXwkEO5B11d6HnQ7v_9qniP=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:00-21:00,Xing Qi Yi ,+351 963 828 962,"Casa do Cacador, Estrada da Penha s/n, 7300-259 Portalegre, Pu Tao Ya ",Jia Ge ,https://www.google.com/maps/place/Casa+do+Ca%C3%A7ador/data=!4m7!3m6!1s0xd179770d5c285af:0x5025544eb5242df4!8m2!3d39.2968668!4d-7.439398!16s%2Fg%2F11fr3bm_9s!19sChIJr4XC1XCXFw0R9C0ktU5UJVA?authuser=0&hl=zh-TW&rclk=1
ChIJVyt8q4W9Fw0RTeFBcM_kXLQ,Barradas,,False,168,"Name: Grelhados Do Bonfim
link: https://www.google.com/maps/search/Grelhados+Do+Bonfim/@39.300641399999996,-7.432138699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 910 reviews

Name: Solar do Forcado
link: https://www.google.com/maps/search/Solar+do+Forcado/@39.290747599999996,-7.4294771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 757 reviews

Name: Restaurante Churrasqueira Avo Marmelo
link: https://www.google.com/maps/search/Restaurante+Churrasqueira+Av%C3%B4+Marmelo/@39.2989357,-7.4315735?authuser=0&hl=zh-TW&entry=ttu
Reviews: 679 reviews

Name: Restaurante Palatus
link: https://www.google.com/maps/search/Restaurante+Palatus/@39.2907143,-7.4320393000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: Cozinha da Ana
link: https://www.google.com/maps/search/Cozinha+da+Ana/@39.2976625,-7.430963399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",http://facebook.com/RestauranteBarradas,Barradas (Ye Zhu ),https://www.google.com/maps/contrib/112361990442733491640,https://lh5.googleusercontent.com/p/AF1QipPqd1VMoX4ltXVQxOd7Q7IxYSCP8BBVZVlY6OS3=w426-h240-k-no,Can Ting ,Can Ting ,4.4,09:00-15:00,Xing Qi Ri ,+351 245 330 192,"Barradas, R. de Oliveira 47, 7300-148 Portalegre, Pu Tao Ya ","Jia Ge , Wu Can ",https://www.google.com/maps/place/Barradas/data=!4m7!3m6!1s0xd17bd85ab7c2b57:0xb45ce4cf7041e14d!8m2!3d39.29872!4d-7.430447!16s%2Fg%2F1th601pn!19sChIJVyt8q4W9Fw0RTeFBcM_kXLQ?authuser=0&hl=zh-TW&rclk=1
ChIJB2txm4O9Fw0RkMxdROMQFKk,Cafetaria Jose Regio,,False,153,"Name: O Tarro
link: https://www.google.com/maps/search/O+Tarro/@39.2987748,-7.4289895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 540 reviews

Name: Pastelaria Conforto
link: https://www.google.com/maps/search/Pastelaria+Conforto/@39.291419499999996,-7.4321259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Cafe Alentejano
link: https://www.google.com/maps/search/Caf%C3%A9+Alentejano/@39.2908542,-7.4319253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Pastelaria A ESPIGA
link: https://www.google.com/maps/search/Pastelaria+A+ESPIGA/@39.2903994,-7.4310914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",http://hoteljoseregio.com/cafetaria-jose-regio/,Cafetaria Jose Regio (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMIUgYjy40UL3jtAcknFbL7uohuiSEUutdqfr0Z=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,08:00-18:00,Open All Days,,"Cafetaria Jose Regio, Tv. Antonio Jose Lourinho 9, 7300-126 Portalegre, Pu Tao Ya ","Kong Jian , Jia Ge , Gao ",https://www.google.com/maps/place/Cafetaria+Jos%C3%A9+R%C3%A9gio/data=!4m7!3m6!1s0xd17bd839b716b07:0xa91410e3445dcc90!8m2!3d39.2952231!4d-7.4304291!16s%2Fg%2F11cmks4mmm!19sChIJB2txm4O9Fw0RkMxdROMQFKk?authuser=0&hl=zh-TW&rclk=1
ChIJY9SBaeW9Fw0RCXwdN1-Dp9I,Minipreco,,False,106,"Name: Modelo Continente Portalegre
link: https://www.google.com/maps/search/Modelo+Continente+Portalegre/@39.277760799999996,-7.4316619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1275 reviews

Name: Aldi Supermarket
link: https://www.google.com/maps/search/Aldi+Supermarket/@39.2852408,-7.434204800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews

Name: Meu Super Portalegre
link: https://www.google.com/maps/search/Meu+Super+Portalegre/@39.2910265,-7.424859699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: NEW MEGASTORE
link: https://www.google.com/maps/search/NEW+MEGASTORE/@39.2761038,-7.428728400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Mercearia Feiteira
link: https://www.google.com/maps/search/Mercearia+Feiteira/@39.2907,-7.4315202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.minipreco.pt/,Minipreco (Ye Zhu ),https://www.google.com/maps/contrib/101141269883087217046,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3mbqzt8dfd8xWQoF1Km6uA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.2271&pitch=0&thumbfov=100,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Ka Pei Ting , Chao Ji Shi Chang ",4.2,08:30-20:00,Xing Qi Ri ,+351 808 200 795,"Minipreco, Rua D. Nuno Nuno Alvares Pereira 16, 7300-200 Portalegre, Pu Tao Ya ",,https://www.google.com/maps/place/Minipre%C3%A7o/data=!4m7!3m6!1s0xd17bde56981d463:0xd2a7835f371d7c09!8m2!3d39.295509!4d-7.4311205!16s%2Fg%2F11fj8kkj_x!19sChIJY9SBaeW9Fw0RCXwdN1-Dp9I?authuser=0&hl=zh-TW&rclk=1
ChIJeTeNJKK9Fw0RPrqrsXnw-Yg,Nucleo do Sporting de Portalegre,,False,86,"Name: Sal e Alho
link: https://www.google.com/maps/search/Sal+e+Alho/@39.300369200000006,-7.4292945999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 803 reviews

Name: Poeiras
link: https://www.google.com/maps/search/Poeiras/@39.289963799999995,-7.4305636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 629 reviews

Name: Restaurante NUNO'S
link: https://www.google.com/maps/search/Restaurante+NUNO%27S/@39.2901787,-7.4305155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Casa Benfica Portalegre
link: https://www.google.com/maps/search/Casa+Benfica+Portalegre/@39.2806694,-7.4301024999999985?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",https://www.facebook.com/nucleoSCPportalegre/,Nucleo do Sporting de Portalegre (Ye Zhu ),https://www.google.com/maps/contrib/117726279963562726955,https://lh5.googleusercontent.com/p/AF1QipNbKSpexk8MhLCkYuYF-fdudZZeY8Ip5SmdEAfL=w408-h306-k-no,Can Ting ,Can Ting ,4.6,09:00-23:00,Xing Qi Ri ,+351 245 034 554,"Nucleo do Sporting de Portalegre, R. 25 de Abril 14A 15B, 7300-126 Portalegre, Pu Tao Ya ",Qian Cai ,https://www.google.com/maps/place/N%C3%BAcleo+do+Sporting+de+Portalegre/data=!4m7!3m6!1s0xd17bda2248d3779:0x88f9f079b1abba3e!8m2!3d39.2918779!4d-7.4237164!16s%2Fg%2F11fs7z3rpp!19sChIJeTeNJKK9Fw0RPrqrsXnw-Yg?authuser=0&hl=zh-TW&rclk=1
ChIJ6yi11Xe9Fw0R1zURTbK7RRY,Meu Super Portalegre,,False,67,"Name: Modelo Continente Portalegre
link: https://www.google.com/maps/search/Modelo+Continente+Portalegre/@39.277760799999996,-7.4316619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1275 reviews

Name: Pingo Doce - Portalegre
link: https://www.google.com/maps/search/Pingo+Doce+-+Portalegre/@39.2992129,-7.428801699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 964 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@39.276596999999995,-7.430090999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 783 reviews

Name: Minipreco
link: https://www.google.com/maps/search/Minipre%C3%A7o/@39.295508999999996,-7.431120499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Mercearia a Catedral - Amanhecer
link: https://www.google.com/maps/search/Mercearia+a+Catedral+-+Amanhecer/@39.290828,-7.4321301?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://www.meusuper.pt/,Meu Super Portalegre (Ye Zhu ),https://www.google.com/maps/contrib/111400856190039211514,https://lh5.googleusercontent.com/p/AF1QipMmBuSfuJW0fvDSdRjmSQV8cWKFgN--Ybi1bJHO=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4,09:00-19:00,Xing Qi Ri ,+351 245 309 053,"Meu Super Portalegre, R. Dr. Galiano Tavares 1, 7300-019 Portalegre, Pu Tao Ya ",,https://www.google.com/maps/place/Meu+Super+Portalegre/data=!4m7!3m6!1s0xd17bd77d5b528eb:0x1645bbb24d1135d7!8m2!3d39.2910265!4d-7.4248597!16s%2Fg%2F11bx1tpc7m!19sChIJ6yi11Xe9Fw0R1zURTbK7RRY?authuser=0&hl=zh-TW&rclk=1
