place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAfJJl4FF04URtfave-iIPME,La Comer,,False,4190,,http://www.lacomer.com.mx/,La Comer (Owner),https://www.google.com/maps/contrib/105843088137639738343,https://lh5.googleusercontent.com/p/AF1QipNfdiGCLSQVAr1Y_yanipfE5R3JJ8HppOH-2TWp=w426-h240-k-no,Supermarket,"Supermarket, ATM",4.2,7 AM-11 PM,Open All Days,+52 800 377 7333,"La Comer, Av. Paseo Constituyentes 1470, Nuevo, 76900 Corregidora, Qro., Mexico","box, ceiling, gourmet, square, pantry, dresser, imported, hallway, fresco, bolillos",https://www.google.com/maps/place/La+Comer/data=!4m7!3m6!1s0x85d345819749f201:0xc13c88e87baff6b5!8m2!3d20.5437554!4d-100.4303505!16s%2Fg%2F11c0v2rb92!19sChIJAfJJl4FF04URtfave-iIPME?authuser=0&hl=en&rclk=1
ChIJQ2nO8N_rYoYRGn_rAUgDjE0,Merco,,False,2353,"Name: Merco Santa Catarina
link: https://www.google.com/maps/search/Merco+Santa+Catarina/@25.688887800000003,-100.4921928?authuser=0&hl=en&entry=ttu
Reviews: 2116 reviews

Name: Bodega Abarrotes
link: https://www.google.com/maps/search/Bodega+Abarrotes/@25.7606193,-100.1676073?authuser=0&hl=en&entry=ttu
Reviews: 12 reviews",http://www.merco.mx/,Merco (Owner),https://www.google.com/maps/contrib/111498037767787773979,https://lh5.googleusercontent.com/p/AF1QipPwKmZ56Eq05YRxYrMPh6s1zFV738qykRQO2k2_=w408-h306-k-no,Supermarket,"Supermarket, Cake shop",4.3,8 AM-10 PM,Open All Days,+52 81 8625 8650,"Merco, Carretera Apodaca - Juarez, Av Margarito Garza Gonzalez esq, El Sabinal, 66646 Cdad. Apodaca, N.L., Mexico","range of products, supply, fruit, box, economy, pantry, accessible, area, home",https://www.google.com/maps/place/Merco/data=!4m7!3m6!1s0x8662ebdff0ce6943:0x4d8c034801eb7f1a!8m2!3d25.7543574!4d-100.1708024!16s%2Fg%2F11gdkk0422!19sChIJQ2nO8N_rYoYRGn_rAUgDjE0?authuser=0&hl=en&rclk=1
ChIJKf4YvDjpYoYRfwJvzYhcMuI,Soriana Super,,False,1396,"Name: Mercado Treboles
link: https://www.google.com/maps/search/Mercado+Treboles/@25.765069099999998,-100.1482798?authuser=0&hl=en&entry=ttu
Reviews: 65 reviews

Name: Abarrotes Sanchez
link: https://www.google.com/maps/search/Abarrotes+Sanchez/@25.766101199999998,-100.14095449999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Abarrotes El Trebol
link: https://www.google.com/maps/search/Abarrotes+El+Tr%C3%A9bol/@25.7643026,-100.1392425?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Abarrotes Marco
link: https://www.google.com/maps/search/Abarrotes+Marco/@25.7623774,-100.1435952?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.soriana.com/,Soriana Super (Owner),https://www.google.com/maps/contrib/100610211990798516216,https://lh5.googleusercontent.com/p/AF1QipP9WAEsv-_cKnDlj8U9Xd0_yp5WMkcrf1jJ94O7=w408-h725-k-no,Supermarket,"Supermarket, ATM, Hypermarket, Pharmacy",4.1,8 AM-10 PM,Open All Days,+52 800 707 4262,"Soriana Super, Av. Treboles 500, Treboles, 66646 Cdad. Apodaca, N.L., Mexico","range of products, box, supply, meat, quality, house, parking, pay, customer, pantry",https://www.google.com/maps/place/Soriana+S%C3%BAper/data=!4m7!3m6!1s0x8662e938bc18fe29:0xe2325c88cd6f027f!8m2!3d25.7638755!4d-100.1469281!16s%2Fg%2F11b826tlw9!19sChIJKf4YvDjpYoYRfwJvzYhcMuI?authuser=0&hl=en&rclk=1
ChIJdSrB2D5F04URnqteq4xYj_A,La Comer Pueblo Nuevo,,False,1353,"Name: La Comer Zaragoza
link: https://www.google.com/maps/search/La+Comer+Zaragoza/@20.5857503,-100.40151130000001?authuser=0&hl=en&entry=ttu
Reviews: 8011 reviews

Name: La Comer El Refugio
link: https://www.google.com/maps/search/La+Comer+El+Refugio/@20.642698100000004,-100.34543839999999?authuser=0&hl=en&entry=ttu
Reviews: 2588 reviews

Name: Mercado El Pueblito
link: https://www.google.com/maps/search/Mercado+El+Pueblito/@20.539771299999998,-100.4425486?authuser=0&hl=en&entry=ttu
Reviews: 2054 reviews

Name: Fresko La Comer - Milenio lll
link: https://www.google.com/maps/search/Fresko+La+Comer+-+Milenio+lll/@20.5948416,-100.3483801?authuser=0&hl=en&entry=ttu
Reviews: 1251 reviews

Name: Comida mexicana
link: https://www.google.com/maps/search/Comida+mexicana/@20.6406803,-100.4785809?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://lacomer.com/,La Comer Pueblo Nuevo (Owner),https://www.google.com/maps/contrib/118040461537530655418,https://lh5.googleusercontent.com/p/AF1QipNcWGHuXT9uR-Nv4v2TfR7yYVbfYSeJjG0S188E=w408-h307-k-no,Grocery store,"Grocery store, Shopping mall",4.4,7 AM-11 PM,Open All Days,+52 800 377 7333,"La Comer Pueblo Nuevo, Av. Paseo Constituyentes 1470, Nuevo, Pueblo Nuevo, 76900 Corregidora, Qro., Mexico","range of products, parking, renovation, box, ceiling, area, shopping center, security, pictures",https://www.google.com/maps/place/La+Comer+Pueblo+Nuevo/data=!4m7!3m6!1s0x85d3453ed8c12a75:0xf08f588cab5eab9e!8m2!3d20.5438656!4d-100.4307108!16s%2Fg%2F11sfpm2z27!19sChIJdSrB2D5F04URnqteq4xYj_A?authuser=0&hl=en&rclk=1
ChIJxcboBwOjE4cRquYkhtESfwA,Solar Roast Coffee,"Cafe featuring coffee roasted with solar-powered equipment, plus light fare like quiche & pastries.",False,935,"Name: B Street Cafe
link: https://www.google.com/maps/search/B+Street+Cafe/@38.263133599999996,-104.6165339?authuser=0&hl=en&entry=ttu
Reviews: 785 reviews

Name: Gypsy Javas
link: https://www.google.com/maps/search/Gypsy+Javas/@38.2584835,-104.6206969?authuser=0&hl=en&entry=ttu
Reviews: 594 reviews

Name: Love Mug Coffee Shop
link: https://www.google.com/maps/search/Love+Mug+Coffee+Shop/@38.3091842,-104.6221466?authuser=0&hl=en&entry=ttu
Reviews: 566 reviews

Name: Grounded Cafe
link: https://www.google.com/maps/search/Grounded+Cafe/@38.2717233,-104.6140145?authuser=0&hl=en&entry=ttu
Reviews: 226 reviews",http://www.solarroast.com/,Solar Roast Coffee (Owner),https://www.google.com/maps/contrib/114328146332798149071,https://lh5.googleusercontent.com/p/AF1QipN25_j-E2bpiFmGrlFb05m54_vXhhH5hfHSZqLs=w408-h306-k-no,Cafe,Cafe,4.6,7 AM-5 PM,Open All Days,(719) 544-2008,"Solar Roast Coffee, 226 N Main St, Pueblo, CO 81003","bagel, quiche, beans, veggie, green chili, pueblo, vegan, lavender, lox, carnitas",https://www.google.com/maps/place/Solar+Roast+Coffee/data=!4m7!3m6!1s0x8713a30307e8c6c5:0x7f12d18624e6aa!8m2!3d38.2694951!4d-104.6083329!16s%2Fg%2F1tfg83mj!19sChIJxcboBwOjE4cRquYkhtESfwA?authuser=0&hl=en&rclk=1
ChIJA7ExdeOiE4cR_qXFmRikVws,B Street Cafe,"Classic comfort foods for breakfast & lunch, served in a casually stylish setting with a patio.",False,786,"Name: Bingo Burger - Pueblo
link: https://www.google.com/maps/search/Bingo+Burger+-+Pueblo/@38.268060999999996,-104.609791?authuser=0&hl=en&entry=ttu
Reviews: 2536 reviews

Name: IHOP
link: https://www.google.com/maps/search/IHOP/@38.3210118,-104.6167921?authuser=0&hl=en&entry=ttu
Reviews: 2417 reviews

Name: Country Kitchen Restaurant
link: https://www.google.com/maps/search/Country+Kitchen+Restaurant/@38.312984199999995,-104.61588929999999?authuser=0&hl=en&entry=ttu
Reviews: 2045 reviews

Name: Grounded Cafe
link: https://www.google.com/maps/search/Grounded+Cafe/@38.2717233,-104.6140145?authuser=0&hl=en&entry=ttu
Reviews: 226 reviews

Name: Star Bar
link: https://www.google.com/maps/search/Star+Bar/@38.2587474,-104.6090721?authuser=0&hl=en&entry=ttu
Reviews: 219 reviews",http://restaurantwebexpert.com/BStreetCafe/,B Street Cafe (Owner),,https://lh5.googleusercontent.com/p/AF1QipPGFmCu6U9TmWEq56570cMTlrJGNDutbzBxglQv=w408-h408-k-no,Traditional American restaurant,"Traditional American restaurant, Cafe, Pub, Restaurant",4.5,8 AM-2 PM,Open All Days,(719) 924-9434,"B Street Cafe, 121 W B St, Pueblo, CO 81003","patio, omelet, brunch, eggs benedict, flowers, building, green chili, pueblo, historic, sidewalk",https://www.google.com/maps/place/B+Street+Cafe/data=!4m7!3m6!1s0x8713a2e37531b103:0xb57a41899c5a5fe!8m2!3d38.2631336!4d-104.6165339!16s%2Fg%2F1hc46tgjp!19sChIJA7ExdeOiE4cR_qXFmRikVws?authuser=0&hl=en&rclk=1
ChIJj9gtOLvBYoYRgKAeCoHTf6A,Tim Hortons,"Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.",False,751,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@25.6340731,-100.28207189999999?authuser=0&hl=en&entry=ttu
Reviews: 2717 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@25.6595722,-100.22789499999999?authuser=0&hl=en&entry=ttu
Reviews: 961 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@25.6730097,-100.333123?authuser=0&hl=en&entry=ttu
Reviews: 287 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@25.664142,-100.4215765?authuser=0&hl=en&entry=ttu
Reviews: 14 reviews

Name: Tim Hortons cafe & bake shop 24 horas
link: https://www.google.com/maps/search/Tim+Hortons+cafe+%26+bake+shop+24+horas/@25.6163003,-100.2719263?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",http://timhortonsmx.com/,Tim Hortons (Owner),https://www.google.com/maps/contrib/108627203312232875697,https://lh5.googleusercontent.com/p/AF1QipNABQYpzvz-B0OCPwaLApd1RESMjFaKU7EJ_DrY=w408-h408-k-no,Espresso bar,Espresso bar,4.4,6 AM-10 PM,Open All Days,+52 81 2863 4369,"Tim Hortons, Carretera Nacional 100 P-01 Altea Pletorico, La Estanzuela, 64988 Monterrey, N.L., Mexico","doughnuts, flavor, labor, products, table, bread, sandwich, clean, parking, cold",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x8662c1bb382dd88f:0xa07fd3810a1ea080!8m2!3d25.5904108!4d-100.2593785!16s%2Fg%2F11gtbh3dj5!19sChIJj9gtOLvBYoYRgKAeCoHTf6A?authuser=0&hl=en&rclk=1
ChIJAZf88UaWYoYRmliwu8MpjTI,La Guarida - Board Game Cafe & Store,,False,702,"Name: The Horde Bar Arcade
link: https://www.google.com/maps/search/The+Horde+Bar+Arcade/@25.6678111,-100.3071719?authuser=0&hl=en&entry=ttu
Reviews: 5457 reviews

Name: ARCADE MONTERREY
link: https://www.google.com/maps/search/ARCADE+MONTERREY/@25.7006723,-100.3635807?authuser=0&hl=en&entry=ttu
Reviews: 1700 reviews

Name: The Tavern - Restaurant & Board Games
link: https://www.google.com/maps/search/The+Tavern+-+Restaurant+%26+Board+Games/@25.670154699999998,-100.3048445?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: La Guarida - San Jeronimo
link: https://www.google.com/maps/search/La+Guarida+-+San+Jeronimo/@25.697778399999997,-100.3799403?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews",http://www.guarida.mx/,La Guarida - Board Game Cafe & Store (Owner),https://www.google.com/maps/contrib/116072790552848473865,https://lh5.googleusercontent.com/p/AF1QipORZWNtZPAzqwxK_OfVjkGE-ZLyJ5CKK4RYJDMQ=w408-h306-k-no,Board game club,"Board game club, Bar, Cafe, Coffee shop, Restaurant",4.6,4 PM-12 AM,Open All Days,,"La Guarida - Board Game Cafe & Store, Plaza VIA02, Blvd. Rogelio Cantu Gomez 1000-Local 13, Las Lajas, Colinas de San Jeronimo, 64639 Monterrey, N.L., Mexico","concept, burgers, father, menu, recreation, snacks, consumption, setting, frappe, monopoly",https://www.google.com/maps/place/La+Guarida+-+Board+Game+Cafe+%26+Store/data=!4m7!3m6!1s0x86629646f1fc9701:0x328d29c3bbb0589a!8m2!3d25.697778!4d-100.379994!16s%2Fg%2F11gcz3j8lq!19sChIJAZf88UaWYoYRmliwu8MpjTI?authuser=0&hl=en&rclk=1
ChIJfZCs9eaiE4cRRJVJfCpPWKY,Gypsy Javas,,False,594,"Name: B Street Cafe
link: https://www.google.com/maps/search/B+Street+Cafe/@38.263133599999996,-104.6165339?authuser=0&hl=en&entry=ttu
Reviews: 785 reviews

Name: Grounded Cafe
link: https://www.google.com/maps/search/Grounded+Cafe/@38.2717233,-104.6140145?authuser=0&hl=en&entry=ttu
Reviews: 226 reviews

Name: Hopscotch Bakery
link: https://www.google.com/maps/search/Hopscotch+Bakery/@38.2627564,-104.6159151?authuser=0&hl=en&entry=ttu
Reviews: 205 reviews

Name: The Sacred Bean
link: https://www.google.com/maps/search/The+Sacred+Bean/@38.264217099999996,-104.61407779999999?authuser=0&hl=en&entry=ttu
Reviews: 198 reviews

Name: Magpies
link: https://www.google.com/maps/search/Magpies/@38.263732999999995,-104.61469699999999?authuser=0&hl=en&entry=ttu
Reviews: 110 reviews",http://gypsyjavas.com/,Gypsy Javas (Owner),https://www.google.com/maps/contrib/103725000400568613387,https://lh5.googleusercontent.com/p/AF1QipNw3GY48JlWQVqEkXANkpTzYf2nA-kG7NcSTW64=w426-h240-k-no,Coffee shop,"Coffee shop, Bakery, Breakfast restaurant, Cafe, Espresso bar",4.6,6 AM-3 PM,Sunday,(719) 924-8543,"Gypsy Javas, 119 Broadway Ave, Pueblo, CO 81004","gluten free, baked goods, vegan, bagel, spicy, breakfast burrito, turmeric, scone, glitter, cup",https://www.google.com/maps/place/Gypsy+Javas/data=!4m7!3m6!1s0x8713a2e6f5ac907d:0xa6584f2a7c499544!8m2!3d38.2584835!4d-104.6206969!16s%2Fg%2F11b7xm2l4r!19sChIJfZCs9eaiE4cRRJVJfCpPWKY?authuser=0&hl=en&rclk=1
ChIJVfpS5ae9YoYRvVPYjTxnFYc,Kali Coffee Roasters,,False,526,"Name: Taller de Cafe AM
link: https://www.google.com/maps/search/Taller+de+Cafe+AM/@25.6554636,-100.35826089999999?authuser=0&hl=en&entry=ttu
Reviews: 146 reviews

Name: Cofki Kid-Friendly Cafe
link: https://www.google.com/maps/search/Cofki+Kid-Friendly+Caf%C3%A9/@25.638782700000004,-100.3613566?authuser=0&hl=en&entry=ttu
Reviews: 119 reviews

Name: The 8th Avenue Bakery
link: https://www.google.com/maps/search/The+8th+Avenue+Bakery/@25.6438894,-100.3608443?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://kalicoffee.com/,Kali Coffee Roasters (Owner),,https://lh5.googleusercontent.com/p/AF1QipOWRlxsl72M0sH0pm29ztpjeZcsqUQ3Hj5VkB7v=w408-h306-k-no,Coffee shop,"Coffee shop, Cafe",4.6,7 AM-9 PM,Open All Days,+52 81 3143 5581,"Kali Coffee Roasters, Av. Manuel Gomez Morin 900, Carrizalejo, 66254 San Pedro Garza Garcia, N.L., Mexico","labor, quality, environment, cookie, bakery, lavender, internet, noise, reading, pasticceria",https://www.google.com/maps/place/Kali+Coffee+Roasters/data=!4m7!3m6!1s0x8662bda7e552fa55:0x8715673c8dd853bd!8m2!3d25.6429989!4d-100.3617989!16s%2Fg%2F11fkf00mlh!19sChIJVfpS5ae9YoYRvVPYjTxnFYc?authuser=0&hl=en&rclk=1
