place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAcGZm0DOmRQRefs3h-4TN8M,Brusco,,False,902,"Name: Cava Alta
link: https://www.google.com/maps/search/Cava+Alta/@36.383077199999995,25.4496361?authuser=0&hl=zh-TW&entry=ttu
Reviews: 781 reviews

Name: Johnnie Cf
link: https://www.google.com/maps/search/Johnnie+Cf/@36.3819444,25.449444399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews",https://www.facebook.com/Brusco-wine-coffee-deli-312857208891582/,Brusco (Ye Zhu ),https://www.google.com/maps/contrib/117600729087062140119,https://lh5.googleusercontent.com/p/AF1QipPGQtD6_SV1K5vqmemuB4AXuGuqQhjclYUlG9Wn=w408-h307-k-no,Pu Tao Jiu Ba ,"Pu Tao Jiu Ba , Jiu Ba , Zao Can Can Ting , Ka Pei Dian , Za Huo Dian , Qing Shi Can Ting ",4.7,,Open All Days,+30 2286 030944,"Brusco, Epar.Od. Pirgou Kallistis - Profiti Ilia, Pirgos Kallistis 847 00Xi La ","Zao Can , Can Pan , Kou Dai Bing , Zao Wu Can , Da Pin Pan , Qia Bu Qi Nuo , Shu , Sheng Xian ",https://www.google.com/maps/place/Brusco/data=!4m7!3m6!1s0x1499ce409b99c101:0xc33713ee8737fb79!8m2!3d36.3825385!4d25.4492669!16s%2Fg%2F11crzpn7l5!19sChIJAcGZm0DOmRQRefs3h-4TN8M?authuser=0&hl=zh-TW&rclk=1
ChIJu_VVgT_OmRQRS-MBAiG14CM,Penelope's Ouzeri Pyrgos Santorini,,False,595,"Name: Mythos
link: https://www.google.com/maps/search/Mythos/@36.3832308,25.4468864?authuser=0&hl=zh-TW&entry=ttu
Reviews: 918 reviews

Name: Rymidi
link: https://www.google.com/maps/search/Rymidi/@36.3818464,25.449539599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews",https://www.facebook.com/OuzeriPenelopes,Penelope's Ouzeri Pyrgos Santorini (Ye Zhu ),https://www.google.com/maps/contrib/116813368860436019943,https://lh5.googleusercontent.com/p/AF1QipNiK-bJvX9bpoP-LZ-vlw2cgIay04SA3-9mR0hl=w408-h371-k-no,Xi La Can Ting ,Xi La Can Ting ,4.4,08:00-22:30,Open All Days,+30 2286 033192,"Penelope's Ouzeri Pyrgos Santorini, Purgos Santorine, Santorini 847 00Xi La ","Xi Yang , Shi Jue , Dao , Jiao Tang , tapas, Pai She Di Dian , Wan Zi , A Ma ",https://www.google.com/maps/place/Penelope%27s+Ouzeri+Pyrgos+Santorini/data=!4m7!3m6!1s0x1499ce3f8155f5bb:0x23e0b5210201e34b!8m2!3d36.3828003!4d25.4502435!16s%2Fg%2F12621zz8v!19sChIJu_VVgT_OmRQRS-MBAiG14CM?authuser=0&hl=zh-TW&rclk=1
ChIJL41HkkDOmRQRR1Vsvzm4fsI,The Bakery of Pyrgos - Ioannis Fousteris,,False,100,"Name: Grigoris Bakery
link: https://www.google.com/maps/search/Grigoris+Bakery/@36.3674779,25.427232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1290 reviews

Name: The Family Bakery
link: https://www.google.com/maps/search/The+Family+Bakery/@36.3786176,25.4317168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1256 reviews

Name: Bakery Santo Fresh
link: https://www.google.com/maps/search/Bakery+Santo+Fresh/@36.3774294,25.4827262?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Milopetra
link: https://www.google.com/maps/search/Milopetra/@36.4086515,25.4432111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Santorini Bakery Patisserie
link: https://www.google.com/maps/search/Santorini+Bakery+Patisserie/@36.412408899999996,25.436703599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",https://www.facebook.com/%CE%9F-%CE%A6%CE%BF%CF%8D%CF%81%CE%BD%CE%BF%CF%82-%CF%84%CE%BF%CF%85-%CE%A0%CF%8D%CF%81%CE%B3%CE%BF%CF%85-590249511131954/?hc_ref=ARTwirCwY-6jdQ6yg1Te4u5m5EhHxj1bprBwOA5ti4CNFVJXaee0_wjzd5NBc_1Z-CY,The Bakery of Pyrgos - Ioannis Fousteris (Ye Zhu ),https://www.google.com/maps/contrib/116347050927967177565,https://lh5.googleusercontent.com/p/AF1QipOk-cs1s3cPEpGJAmZBlBl8cHgxicY854JRmlfD=w408-h307-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.8,06:00-22:00,Open All Days,+30 2286 031062,"The Bakery of Pyrgos - Ioannis Fousteris, Epar.Od. Pirgou Kallistis - Profiti Ilia 10, Pirgos Kallistis 847 00Xi La ","Ka Pei , Bing Qi Lin , Qia Bu Qi Nuo , Bing Gan , Ke Song , Zao Shang , Qi Si ",https://www.google.com/maps/place/The+Bakery+of+Pyrgos+-+Ioannis+Fousteris/data=!4m7!3m6!1s0x1499ce4092478d2f:0xc27eb839bf6c5547!8m2!3d36.3828543!4d25.4484578!16s%2Fg%2F11dff55xng!19sChIJL41HkkDOmRQRR1Vsvzm4fsI?authuser=0&hl=zh-TW&rclk=1
ChIJiXeczKukoRQRZYU8lv0-yUo,Franco's Cafe,,False,1308,,,Franco's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115933806800065691259,https://lh5.googleusercontent.com/p/AF1QipPCR2M4bTKo2z8mDq9OPuEOff-nA96BwVfzKv3N=w408-h294-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Zao Wu Can Can Ting , Ka Pei Ting , Ji Wei Jiu Jiu Ba ",4.6,,Open All Days,+30 2286 033957,"Franco's Cafe, Epar.Od. Pirgou Kallistis - Profiti Ilia, Pirgos Kallistis 847 00Xi La ","Xi Yang , Shi Jue , Gu Dian , Feng , Cun , Cheng Bao , Lou Ti , Wu Ding ",https://www.google.com/maps/place/Franco%27s+Caf%C3%A8/data=!4m7!3m6!1s0x14a1a4abcc9c7789:0x4ac93efd963c8565!8m2!3d36.3834004!4d25.4508239!16s%2Fg%2F11b64nj1tn!19sChIJiXeczKukoRQRZYU8lv0-yUo?authuser=0&hl=zh-TW&rclk=1
ChIJ5TEen0DOmRQRPnscNRdUBdk,Johnnie Cf,,False,358,,,Johnnie Cf (Ye Zhu ),https://www.google.com/maps/contrib/114248196924705989937,https://lh5.googleusercontent.com/p/AF1QipMVclAyLtMKeTEPSoktF9ka795pLIeLnfM7jfFF=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Shui Yan Hu Ba ",4.3,08:00-01:00,Open All Days,+30 2286 032769,"Johnnie Cf, Proph. Elia, Eparkh. Odos, Pirgos Kallistis 847 00Xi La ","Jia Ge , Pi Sa , Diao Jiu , Guo Zhi , Fu Wu , Jing Yan , Ke Li Bing , wifi, San Ming Zhi , Song Bing ",https://www.google.com/maps/place/Johnnie+Cf/data=!4m7!3m6!1s0x1499ce409f1e31e5:0xd9055417351c7b3e!8m2!3d36.3819444!4d25.4494444!16s%2Fg%2F11dxkvgg01!19sChIJ5TEen0DOmRQRPnscNRdUBdk?authuser=0&hl=zh-TW&rclk=1
ChIJmXnHwcnPmRQRA1WaJ8NlYeo,La Petite Creperie,,False,55,,,La Petite Creperie (Ye Zhu ),https://www.google.com/maps/contrib/118131532749057662365,https://lh5.googleusercontent.com/p/AF1QipNg6wXdexpMRAnYmsAEcoZ-p5TsnT2HJxERSEW0=w426-h240-k-no,Fa Shi Bo Bing Can Ting ,Fa Shi Bo Bing Can Ting ,5,,Open All Days,+30 2286 034017,"La Petite Creperie, Pirgos Kallistis 847 00Xi La ",,https://www.google.com/maps/place/La+Petite+Creperie/data=!4m7!3m6!1s0x1499cfc9c1c77999:0xea6165c3279a5503!8m2!3d36.3836784!4d25.4465297!16s%2Fg%2F11kqw38ptr!19sChIJmXnHwcnPmRQRA1WaJ8NlYeo?authuser=0&hl=zh-TW&rclk=1
ChIJr_Y5mUDOmRQR6o40txQWLPU,Market Maria,,False,50,"Name: Sklavenitis
link: https://www.google.com/maps/search/Sklavenitis/@36.397113,25.4504418?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1001 reviews

Name: Pezouli Souvenirs & Accessories
link: https://www.google.com/maps/search/Pezouli+Souvenirs+%26+Accessories/@36.38239600000001,25.449813?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Mini Market - Smart market
link: https://www.google.com/maps/search/Mini+Market+-+Smart+market/@36.3764251,25.4854928?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Trgovina z zelenjavo
link: https://www.google.com/maps/search/Trgovina+z+zelenjavo/@36.3846887,25.436588999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Mini Market
link: https://www.google.com/maps/search/Mini+Market/@36.3819668,25.449309099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Market Maria (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM1e9GqNxBO69PzkzdL9LjVvUX7h66_31o2zV-D=w426-h240-k-no,Za Huo Dian ,Za Huo Dian ,4.2,08:30-22:00,Open All Days,,"Market Maria, Pirgos Kallistis 847 00Xi La ","Jia Ge , Ban Shou Li ",https://www.google.com/maps/place/Market+Maria/data=!4m7!3m6!1s0x1499ce409939f6af:0xf52c1614b7348eea!8m2!3d36.3822359!4d25.4492499!16s%2Fg%2F11bxjg_pqh!19sChIJr_Y5mUDOmRQR6o40txQWLPU?authuser=0&hl=zh-TW&rclk=1
ChIJUygWA6LPmRQRl0PlYGM8IJA,KASTELANA Photography Gallery - Cafe,,False,24,,,KASTELANA Photography Gallery - Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117801624132114809108,https://lh5.googleusercontent.com/p/AF1QipMcskjvAhIUjboc-Hrz_hJwcDnGzXSu6Oy_0EEE=w408-h724-k-no,Ka Pei Dian ,"Ka Pei Dian , Jiu Ba ",5,,Open All Days,,"KASTELANA Photography Gallery - Cafe, Kasteli, Pirgos Kallistis 847 00Xi La ","Xi Yang , Yin Le , Guo , Diao Jiu , atmosphere",https://www.google.com/maps/place/KASTELANA+Photography+Gallery+-+Cafe/data=!4m7!3m6!1s0x1499cfa203162853:0x90203c6360e54397!8m2!3d36.3833403!4d25.4505052!16s%2Fg%2F11sw2tp2ys!19sChIJUygWA6LPmRQRl0PlYGM8IJA?authuser=0&hl=zh-TW&rclk=1
ChIJUfdIUzTPmRQR7q51RsfYSzo,katrami,,False,23,"Name: Johnnie Cf
link: https://www.google.com/maps/search/Johnnie+Cf/@36.3819444,25.449444399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews

Name: Kathodon
link: https://www.google.com/maps/search/Kathodon/@36.4104005,25.4401822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Panoramic view
link: https://www.google.com/maps/search/Panoramic+view/@36.385023,25.4521969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Kasteli Cafe & Gallery
link: https://www.google.com/maps/search/Kasteli+Cafe+%26+Gallery/@36.383096699999996,25.450324300000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,katrami (Ye Zhu ),https://www.google.com/maps/contrib/110730545076767458431,https://lh5.googleusercontent.com/p/AF1QipP49mKjF0SO05swPUzwBEcvozP5pShs-JceoO-r=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Kuai Di Gong Si ",5,07:00-20:00,Open All Days,+30 2286 030300,"katrami, Epar.Od. Pirgou Kallistis - Profiti Ilia, Pirgos Kallistis 847 00Xi La ",,https://www.google.com/maps/place/katr%C3%A1mi/data=!4m7!3m6!1s0x1499cf345348f751:0x3a4bd8c74675aeee!8m2!3d36.3855296!4d25.4392921!16s%2Fg%2F11pcpph6mw!19sChIJUfdIUzTPmRQR7q51RsfYSzo?authuser=0&hl=zh-TW&rclk=1
ChIJPT1gmz_OmRQRdLfoOwUihDY,Kasteli Cafe & Gallery,,False,18,"Name: Kallisti
link: https://www.google.com/maps/search/Kallisti/@36.3823426,25.449577299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: Johnnie Cf
link: https://www.google.com/maps/search/Johnnie+Cf/@36.3819444,25.449444399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 358 reviews

Name: katrami
link: https://www.google.com/maps/search/katr%C3%A1mi/@36.3855296,25.4392921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",,Kasteli Cafe & Gallery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMjNXd-6-IygrvG64lT76jUGmEHwwkMnPDn-lWB=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:30-18:00,Open All Days,,"Kasteli Cafe & Gallery, Epar.Od. Pirgou Kallistis - Profiti Ilia 10, Pirgos Kallistis 847 00Xi La ",,https://www.google.com/maps/place/Kasteli+Cafe+%26+Gallery/data=!4m7!3m6!1s0x1499ce3f9b603d3d:0x368422053be8b774!8m2!3d36.3830967!4d25.4503243!16s%2Fg%2F11dztmswtb!19sChIJPT1gmz_OmRQRdLfoOwUihDY?authuser=0&hl=zh-TW&rclk=1
