place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJJR_y_d6VuEwR9_nP_kfe8uQ,Paillard,,False,4702,"Name: Le Casse-Crepe Breton
link: https://www.google.com/maps/search/Le+Casse-Cr%C3%AApe+Breton/@46.8141585,-71.2105235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2706 reviews

Name: Cochon Dingue
link: https://www.google.com/maps/search/Cochon+Dingue/@46.813115100000005,-71.2126578?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2329 reviews

Name: La Molette
link: https://www.google.com/maps/search/La+Molette/@46.808182099999996,-71.224411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews",http://www.paillard.ca/,Paillard (Ye Zhu ),https://www.google.com/maps/contrib/115109170853935408494,https://lh5.googleusercontent.com/p/AF1QipOPLA2HMLau9k3mnigFlJ1jI-fYypmBrTUYtPdY=w408-h281-k-no,Gao Bing Dian ,"Gao Bing Dian , Zao Can Can Ting , Ka Pei Dian , Bo Bing Can Ting , Bo Bing Wai Mai Zi Qu , Can Ting , San Wen Zhi Dian ",4.3,07:00-19:00,Xing Qi Yi ,+1 418-692-1221,"Paillard, 1097 Rue Saint-Jean, Quebec, QC G1R 1S3Jia Na Da ","Tang , Shi Tang ",https://www.google.com/maps/place/Paillard/data=!4m7!3m6!1s0x4cb895defdf21f25:0xe4f2de47fecff9f7!8m2!3d46.8138104!4d-71.2108007!16s%2Fg%2F1tyzylr7!19sChIJJR_y_d6VuEwR9_nP_kfe8uQ?authuser=0&hl=zh-TW&rclk=1
ChIJDTqRVd6VuEwRAlickuWmvxM,Le Casse-Crepe Breton,"Gong Ying Xian /Tian Ke Li Bing De Du Hui Can Ting ,Ling Ti Gong Qi Ta Qing Shi Ji Dang Di Pi Jiu He Ji Wei Jiu . ",False,2706,"Name: Le Lapin Saute
link: https://www.google.com/maps/search/Le+Lapin+Saut%C3%A9/@46.811834999999995,-71.2036443?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2525 reviews

Name: Cochon Dingue
link: https://www.google.com/maps/search/Cochon+Dingue/@46.813115100000005,-71.2126578?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2329 reviews

Name: Au Petit Coin Breton
link: https://www.google.com/maps/search/Au+Petit+Coin+Breton/@46.8131279,-71.2121145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1339 reviews",http://cassecrepebreton.ca/,Le Casse-Crepe Breton (Ye Zhu ),https://www.google.com/maps/contrib/106501403351529648324,https://lh5.googleusercontent.com/p/AF1QipMjgT8z5LWJj_sx9IdI5wFwG9rzQBlDiaFiQYd5=w408-h249-k-no,Fa Guo Can Ting ,"Fa Guo Can Ting , Ka Pei Ting , Fa Shi Bo Bing Can Ting ",4.1,07:30-22:30,Open All Days,+1 418-692-0438,"Le Casse-Crepe Breton, 1136 Rue Saint-Jean, Quebec City, Quebec G1R 1S4Jia Na Da ","Feng Tang , Nai Xi , Qiao Ke Li Jiang ",https://www.google.com/maps/place/Le+Casse-Cr%C3%AApe+Breton/data=!4m7!3m6!1s0x4cb895de55913a0d:0x13bfa6e5929c5802!8m2!3d46.8141585!4d-71.2105235!16s%2Fg%2F1tj2bm02!19sChIJDTqRVd6VuEwRAlickuWmvxM?authuser=0&hl=zh-TW&rclk=1
ChIJp114H-qWuEwRb6j_RNJZieo,Cafe au Temps Perdu,,False,1487,"Name: Le Bonnet d'Ane
link: https://www.google.com/maps/search/Le+Bonnet+d%27%C3%82ne/@46.808575,-71.2238471?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1099 reviews

Name: Maguire Bagel Cafe
link: https://www.google.com/maps/search/Maguire+Bagel+Cafe/@46.7803997,-71.2505114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 661 reviews

Name: Le Faks
link: https://www.google.com/maps/search/Le+Faks/@46.781372399999995,-71.2518077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 324 reviews

Name: Les Cafes du Soleil
link: https://www.google.com/maps/search/Les+Caf%C3%A9s+du+Soleil/@46.8164477,-71.2057183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews",http://www.cafeautempsperdu.com/,Cafe au Temps Perdu (Ye Zhu ),https://www.google.com/maps/contrib/117853038196468143949,https://lh5.googleusercontent.com/p/AF1QipNOfNP69cKsZy9tYWGigD57eILnPSUqD57pK_Oz=w408-h290-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.5,11:00-00:00,Open All Days,+1 418-681-5601,"Cafe au Temps Perdu, 867 Av. Myrand, Quebec, QC G1V 2V8Jia Na Da ","Bai Pan , nachos, Jin Kou , Shou Gong Pi Jiu , Zha Yu Shu Tiao , Da Xue ",https://www.google.com/maps/place/Caf%C3%A9+au+Temps+Perdu/data=!4m7!3m6!1s0x4cb896ea1f785da7:0xea8959d244ffa86f!8m2!3d46.787567!4d-71.268279!16s%2Fg%2F1w0scgmw!19sChIJp114H-qWuEwRb6j_RNJZieo?authuser=0&hl=zh-TW&rclk=1
ChIJCXPpxcWXuEwRrdWZTDdp_fY,Tim Hortons,,False,1270,"Name: Restaurant Normandin Capitale
link: https://www.google.com/maps/search/Restaurant+Normandin+Capitale/@46.832730999999995,-71.278916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3069 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.8336602,-71.276921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2832 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@46.833996899999995,-71.2759571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1600 reviews

Name: Cora
link: https://www.google.com/maps/search/Cora/@46.8347676,-71.2758806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1102 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@46.8348288,-71.2721529?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews",http://locations.timhortons.ca/qc/quebec/750-rue-bouvier,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/105215636333049603582,https://lh5.googleusercontent.com/p/AF1QipNEI1nCdLOhsXmNWOMP8KizRS3ke810mA7v2Zj9=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",4,04:30-22:00,Xing Qi Yi ,+1 418-624-7439,"Tim Hortons, 750 Rue Bouvier, Quebec City, Quebec G2J 1A3Jia Na Da ","Fu Wu , Xia Ding , Xiao Rong , Tian Tian Quan , San Ming Zhi , Su Shi , Pei Gen , Jian Feng Shi Jian ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cb897c5c5e97309:0xf6fd69374c99d5ad!8m2!3d46.8346202!4d-71.2765959!16s%2Fg%2F1v8j00x2!19sChIJCXPpxcWXuEwRrdWZTDdp_fY?authuser=0&hl=zh-TW&rclk=1
ChIJNXCab96VuEwRMJ_nO31CqkY,Baguette & Chocolat,,False,1145,"Name: Paillard
link: https://www.google.com/maps/search/Paillard/@46.8138104,-71.2108007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4699 reviews

Name: Le Casse-Crepe Breton
link: https://www.google.com/maps/search/Le+Casse-Cr%C3%AApe+Breton/@46.8141585,-71.2105235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2706 reviews

Name: Cafe La Maison Smith St-Jean
link: https://www.google.com/maps/search/Caf%C3%A9+La+Maison+Smith+St-Jean/@46.8140747,-71.2100485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Chez Boulay - comptoir boreal
link: https://www.google.com/maps/search/Chez+Boulay+-+comptoir+bor%C3%A9al/@46.814558299999995,-71.21077799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews",https://www.facebook.com/Baguette-Chocolat-431344020356354/,Baguette & Chocolat (Ye Zhu ),https://www.google.com/maps/contrib/116517594742736311762,https://lh5.googleusercontent.com/p/AF1QipPk1Y1AUmh5G_Z2GMfP6rP12EOvNTJhg8-K7m0R=w408-h372-k-no,Ka Pei Ting ,"Ka Pei Ting , Pi Jiu Zhuan Mai Dian , Li Pin Dian , Sha Lu Dian , San Wen Zhi Dian , Cha Yi Guan , Su Shi Can Ting , Jiu Pin Zhuan Mai Dian ",4.4,08:00-18:00,Open All Days,+1 418-694-7007,"Baguette & Chocolat, 36 Cote de la Fabrique, Quebec, QC G1R 3V3Jia Na Da ","Gao , Ke Ke , Ke Li Bing , Qiao Ke Li Ke Song , Yi Shi Bing Qi Lin ",https://www.google.com/maps/place/Baguette+%26+Chocolat/data=!4m7!3m6!1s0x4cb895de6f9a7035:0x46aa427d3be79f30!8m2!3d46.8144716!4d-71.2078184!16s%2Fg%2F11bvv4wgyv!19sChIJNXCab96VuEwRMJ_nO31CqkY?authuser=0&hl=zh-TW&rclk=1
ChIJee9KHN2VuEwR1uwtOXc5Zws,Cafe La Maison Smith Notre-Dame,,False,1134,"Name: Le Cafe du Monde
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+Monde/@46.816939999999995,-71.200502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2518 reviews

Name: Cafe La Maison Smith St-Jean
link: https://www.google.com/maps/search/Caf%C3%A9+La+Maison+Smith+St-Jean/@46.8140747,-71.2100485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Cafe Morgane
link: https://www.google.com/maps/search/Caf%C3%A9+Morgane/@46.8145028,-71.2878269?authuser=0&hl=zh-TW&entry=ttu
Reviews: 543 reviews

Name: Cafe La Maison Smith Limoilou
link: https://www.google.com/maps/search/Caf%C3%A9+La+Maison+Smith+Limoilou/@46.821156599999995,-71.2253855?authuser=0&hl=zh-TW&entry=ttu
Reviews: 532 reviews

Name: Cafe-Terrasse La Nouvelle-France
link: https://www.google.com/maps/search/Caf%C3%A9-Terrasse+La+Nouvelle-France/@46.8132303,-71.2062912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 408 reviews",http://www.smithcafe.com/,Cafe La Maison Smith Notre-Dame (Ye Zhu ),https://www.google.com/maps/contrib/113573150064173235890,https://lh5.googleusercontent.com/p/AF1QipN85M7B7DQs5J8Th6B-26rJYToNuszqTO3Z4BvJ=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Wang Ba , Gao Bing Dian , Can Ting ",4.4,07:00-18:00,Open All Days,+1 581-742-6777,"Cafe La Maison Smith Notre-Dame, 23 Rue Notre-Dame, Quebec, QC G1K 4E9Jia Na Da ","Gao , Lu You , Ma Qia Long , Xian Pai , Yi Shi Bing Qi Lin , Qiao Ke Li Ke Song , Feng Tang , Jiao Tang ",https://www.google.com/maps/place/Caf%C3%A9+La+Maison+Smith+Notre-Dame/data=!4m7!3m6!1s0x4cb895dd1c4aef79:0xb673977392decd6!8m2!3d46.8132019!4d-71.203034!16s%2Fg%2F1ptz2cpxz!19sChIJee9KHN2VuEwR1uwtOXc5Zws?authuser=0&hl=zh-TW&rclk=1
ChIJIVeHKyqWuEwR79EmsLZivVE,Tim Hortons,,False,1133,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.8420365,-71.24827520000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2263 reviews

Name: Chez Ashton
link: https://www.google.com/maps/search/Chez+Ashton/@46.8362878,-71.2430918?authuser=0&hl=zh-TW&entry=ttu
Reviews: 837 reviews

Name: Vietnam Express
link: https://www.google.com/maps/search/Vietnam+Express/@46.8395424,-71.2461204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 379 reviews

Name: Domino's Pizza
link: https://www.google.com/maps/search/Domino%27s+Pizza/@46.8411115,-71.2468809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 333 reviews

Name: Mai Tram
link: https://www.google.com/maps/search/Mai+Tram/@46.8339186,-71.24147219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 207 reviews",http://locations.timhortons.ca/qc/quebec/3400-1re-ave,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/100122279325556051329,https://lh5.googleusercontent.com/p/AF1QipOyyPZF5MymCkKVSJ88FVJybnKXe6FYjGQd9yex=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.5,05:00-21:00,Open All Days,+1 418-624-3321,"Tim Hortons, 3400 1re Av., Quebec City, Quebec G1L 3R5Jia Na Da ","Fu Wu , Xia Ding , Tian Tian Quan , Di Ban , Yan , Xiao Rong , Ce Suo , La Ji Tong ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cb8962a2b875721:0x51bd62b6b026d1ef!8m2!3d46.840854!4d-71.2472572!16s%2Fg%2F1w3466qx!19sChIJIVeHKyqWuEwR79EmsLZivVE?authuser=0&hl=zh-TW&rclk=1
ChIJlcZRKtyVuEwReN2M24vy-tY,Cafe La Maison Smith Des Jardins,,False,1128,"Name: Le Cafe du Monde
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+Monde/@46.816939999999995,-71.200502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2518 reviews

Name: Baguette & Chocolat
link: https://www.google.com/maps/search/Baguette+%26+Chocolat/@46.8144716,-71.2078184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1145 reviews

Name: Cafe La Maison Smith Notre-Dame
link: https://www.google.com/maps/search/Caf%C3%A9+La+Maison+Smith+Notre-Dame/@46.8132019,-71.203034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Cafe La Maison Smith Limoilou
link: https://www.google.com/maps/search/Caf%C3%A9+La+Maison+Smith+Limoilou/@46.821156599999995,-71.2253855?authuser=0&hl=zh-TW&entry=ttu
Reviews: 532 reviews

Name: Les Cafes du Soleil
link: https://www.google.com/maps/search/Les+Caf%C3%A9s+du+Soleil/@46.8164477,-71.2057183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews",http://smithcafe.com/,Cafe La Maison Smith Des Jardins (Ye Zhu ),https://www.google.com/maps/contrib/112503732971306340108,https://lh5.googleusercontent.com/p/AF1QipNEhc9OfDA_ylr3NJMmNIZfBpY5AWimafFyUwPO=w408-h270-k-no,Ka Pei Dian ,"Ka Pei Dian , Wang Ba , Gao Bing Dian , Can Ting ",4.5,06:30-19:00,Open All Days,+1 581-981-7778,"Cafe La Maison Smith Des Jardins, 9 Rue des Jardins, Quebec, QC G1R 4L4Jia Na Da ","Gao , Xian Pai , Ma Qia Long , Qiao Ke Li Ke Song , Lian Tiao , Fan Dian ",https://www.google.com/maps/place/Caf%C3%A9+La+Maison+Smith+Des+Jardins/data=!4m7!3m6!1s0x4cb895dc2a51c695:0xd6faf28bdb8cdd78!8m2!3d46.81338!4d-71.2072989!16s%2Fg%2F11byyk238f!19sChIJlcZRKtyVuEwReN2M24vy-tY?authuser=0&hl=zh-TW&rclk=1
ChIJsTd3kfGWuEwRe3LeQI2fKxE,Tim Hortons,,False,1075,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.8177672,-71.2508927?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2955 reviews

Name: 1640 Bistro
link: https://www.google.com/maps/search/1640+Bistro/@46.813066299999996,-71.20586949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1778 reviews

Name: Bistro Hortus
link: https://www.google.com/maps/search/Bistro+Hortus/@46.8146565,-71.2096011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 852 reviews

Name: Restaurant le Nikoli
link: https://www.google.com/maps/search/Restaurant+le+Nikoli/@46.7961883,-71.27287299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews",http://locations.timhortons.ca/qc/quebec/1420-rue-cyrille-duquet,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/113685705355809128350,https://lh5.googleusercontent.com/p/AF1QipNDu7U2sdSeAgLC7zWXZN-iXGI1DFPBTR5YU_Ph=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,24 Xiao Shi Ying Ye ,Open All Days,+1 418-682-9614,"Tim Hortons, 1420 Rue Cyrille-Duquet, Quebec City, Quebec G1N 2E5Jia Na Da ","Fu Wu , Xia Ding , Tian Tian Quan , Xiao Rong , Shou Yin , Ma Ling Shu , Nong Chang , Su Shi ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cb896f1917737b1:0x112b9f8d40de727b!8m2!3d46.7983849!4d-71.2606126!16s%2Fg%2F11bw47b2r9!19sChIJsTd3kfGWuEwRe3LeQI2fKxE?authuser=0&hl=zh-TW&rclk=1
ChIJ_Ygy0ri9uEwRMLilvpFnEBQ,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,916,"Name: Coco Frutti Beauport
link: https://www.google.com/maps/search/Coco+Frutti+Beauport/@46.8642149,-71.2163905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: Tatum Cafe et Brulerie
link: https://www.google.com/maps/search/Tatum+Caf%C3%A9+et+Br%C3%BBlerie/@46.897413,-71.1998466?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Cafe 7 Etoiles
link: https://www.google.com/maps/search/Caf%C3%A9+7+%C3%89toiles/@46.8995769,-71.1887741?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Louis XIV Cafe
link: https://www.google.com/maps/search/Louis+XIV+Caf%C3%A9/@46.8939764,-71.2086963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Cafe du Littoral
link: https://www.google.com/maps/search/Caf%C3%A9+du+Littoral/@46.8552986,-71.185937?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://fr.starbucks.ca/store-locator/store/811,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/110797901212194840093,https://lh5.googleusercontent.com/p/AF1QipPYyDYW6XCj6C_fWnGh564o03t-CnE-91skr2M7=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.4,06:00-21:30,Open All Days,+1 418-663-2122,"Starbucks, 2790 Avenue St David, Quebec, QC G1C 5W2Jia Na Da ","Fu Wu , Xiao Rong , Na Tie , Xue Sheng , Xia Ding , Xin Qing , Huo Lu , Zhuo , Zhou Si ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x4cb8bdb8d23288fd:0x14106791bea5b830!8m2!3d46.8643828!4d-71.2144008!16s%2Fg%2F1thw6b8s!19sChIJ_Ygy0ri9uEwRMLilvpFnEBQ?authuser=0&hl=zh-TW&rclk=1
