place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJg8SOuCdaWjcRkzpZcL5UuBg,11th Avenue Cafe Bistro,,False,4861,"Name: The Corner Cafe
link: https://www.google.com/maps/search/The+Corner+Caf%C3%A9/@26.1862674,91.7546156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2634 reviews

Name: The Steaming Mug
link: https://www.google.com/maps/search/The+Steaming+Mug/@26.1856597,91.7528423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1870 reviews

Name: The Bean Journal Boutique Cafe
link: https://www.google.com/maps/search/The+Bean+Journal+Boutique+Cafe/@26.189610899999998,91.752894?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1674 reviews

Name: Cafe Coffee Day
link: https://www.google.com/maps/search/Caf%C3%A9+Coffee+Day/@26.1870634,91.7523442?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1544 reviews",http://www.11thavenuecafebistro.com/,11th Avenue Cafe Bistro (Ye Zhu ),https://www.google.com/maps/contrib/106252703829571946900,https://lh5.googleusercontent.com/p/AF1QipMxd4jMS0AC1ZUacsompwDmrgAziJOfhZbG31O_=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Xiao Can Guan  (Bistro), Zao Can Can Ting , Ka Pei Dian , Ou Lu Can Ting , Can Ting , San Wen Zhi Dian ",4.1,08:30-22:30,Open All Days,+91 60007 51628,"11th Avenue Cafe Bistro, 53, Tayabulla Rd, Digholi Pukhuri East, Dighalipukhuri, Guwahati, Assam 781001Yin Du ","Yang Tai , Ji Rou , Zhuang Xiu , Bang Wan , Yi Da Li Mian , Xi Yan Qu , Hu , Lou Ti , Zha Yu Shu Tiao , La Mian ",https://www.google.com/maps/place/11th+Avenue+Cafe+Bistro/data=!4m7!3m6!1s0x375a5a27b88ec483:0x18b854be70593a93!8m2!3d26.185946!4d91.752231!16s%2Fg%2F11b6g8p2tb!19sChIJg8SOuCdaWjcRkzpZcL5UuBg?authuser=0&hl=zh-TW&rclk=1
ChIJayY1z4lZWjcRXozSq8Gp6FM,Cafe City Streets,,False,1201,"Name: Cafe Craft
link: https://www.google.com/maps/search/Cafe+Craft/@26.184632999999998,91.76734689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 838 reviews

Name: Cafe Shillong, Guwahati
link: https://www.google.com/maps/search/Cafe+Shillong%2C+Guwahati/@26.177391,91.7757473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Yellow 29
link: https://www.google.com/maps/search/Yellow+29/@26.1796123,91.774256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 361 reviews

Name: 19 Street Cafe
link: https://www.google.com/maps/search/19+Street+Cafe/@26.184946,91.75544440000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",https://instagram.com/cafecitystreets,Cafe City Streets (Ye Zhu ),https://www.google.com/maps/contrib/110812968265443725375,https://lh5.googleusercontent.com/p/AF1QipMh8Yw5vaL0AVaeclzKljb0tisiXrW4KmpZ9ZV9=w427-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,11:00-23:30,Open All Days,+91 98544 53807,"Cafe City Streets, By Lane Number 3, Rajgarh Rd, Guwahati, Assam 781003Yin Du ","Pi Sa , Fen Wei , Chai You , Mei Ji , Hou Hui ",https://www.google.com/maps/place/Cafe+City+Streets/data=!4m7!3m6!1s0x375a5989cf35266b:0x53e8a9c1abd28c5e!8m2!3d26.1800248!4d91.7734705!16s%2Fg%2F11j0qp8zfs!19sChIJayY1z4lZWjcRXozSq8Gp6FM?authuser=0&hl=zh-TW&rclk=1
ChIJU4WEEaJZWjcRrBIrO5bsNLM,11th Avenue Cafe Bistro,,False,1023,"Name: The Corner Cafe
link: https://www.google.com/maps/search/The+Corner+Caf%C3%A9/@26.1862674,91.7546156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2634 reviews

Name: The Bean Journal Boutique Cafe
link: https://www.google.com/maps/search/The+Bean+Journal+Boutique+Cafe/@26.189610899999998,91.752894?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1674 reviews

Name: Deja Brew Cafe' And Bistro
link: https://www.google.com/maps/search/Deja+Brew+Cafe%27+And+Bistro/@26.1706273,91.7779147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1047 reviews

Name: The Little Bistro
link: https://www.google.com/maps/search/The+Little+Bistro/@26.1780494,91.7754302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews",http://www.11thavenuecafebistro.com/,11th Avenue Cafe Bistro (Ye Zhu ),https://www.google.com/maps/contrib/105184721102011727533,https://lh5.googleusercontent.com/p/AF1QipPlO2o5_JlTTcWTpSe0KgZeIAApxYCQY3VpzLra=w408-h543-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Ka Pei Dian , Kuai Can Dian , Can Ting ",4.1,09:30-22:00,Open All Days,+91 99573 78761,"11th Avenue Cafe Bistro, 26, Rajgarh, Chandmari, Guwahati, Assam 781001Yin Du ","Jing Yan , Ji Rou , Pi Sa , Shu Tiao , Shi Wu Pin Zhi , Bei Zi Dan Gao , Xi Yan Qu , Wan , La Mian , Zhuang Xiu ",https://www.google.com/maps/place/11th+Avenue+Caf%C3%A9+Bistro/data=!4m7!3m6!1s0x375a59a211848553:0xb334ec963b2b12ac!8m2!3d26.17924!4d91.7741773!16s%2Fg%2F11gbxbn5st!19sChIJU4WEEaJZWjcRrBIrO5bsNLM?authuser=0&hl=zh-TW&rclk=1
ChIJ9YAjo985ezkRt1YCK7pRO-M,Midway Treat Rajgarh,,False,580,"Name: Hotel Midway Treat,M.P. TOURISM
link: https://www.google.com/maps/search/Hotel+Midway+Treat%2CM.P.+TOURISM/@23.5460104,76.4452537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Shree Krishna Restaurant
link: https://www.google.com/maps/search/Shree+Krishna+Restaurant/@24.0041925,76.73346529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: midway cafe rajgarh
link: https://www.google.com/maps/search/midway+cafe+rajgarh/@23.9996732,76.7270803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://midway-treat-rajgarh.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Midway Treat Rajgarh (Ye Zhu ),https://www.google.com/maps/contrib/105143583521030551234,https://lh5.googleusercontent.com/p/AF1QipPiD4TAybqKb0Z_oOkKmXCup1OfFkK4R4w7J6fW=w408-h839-k-no,Gao Ji Can Ting ,Gao Ji Can Ting ,3.7,24 Xiao Shi Ying Ye ,Open All Days,+91 79998 37045,"Midway Treat Rajgarh, Midway treat, near collector office, Rajgarh, Madhya Pradesh 465661Yin Du ","Qing Jie , Jia Ge , Lu Xing , Wu Can , Jia Ting , Ka Pei , Zhu Can , Wei Sheng , Shu Liang ",https://www.google.com/maps/place/Midway+Treat+Rajgarh/data=!4m7!3m6!1s0x397b39dfa32380f5:0xe33b51ba2b0256b7!8m2!3d24.0079911!4d76.7152213!16s%2Fg%2F11j211ytzq!19sChIJ9YAjo985ezkRt1YCK7pRO-M?authuser=0&hl=zh-TW&rclk=1
ChIJv72jzJdZWjcRntX5KPArdHM,Karak Chaa | Rajgarh,,False,175,"Name: Kadak Chai
link: https://www.google.com/maps/search/Kadak+Chai/@26.175620499999997,91.7402577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1044 reviews

Name: Kadak Chaa (Commerce Point)
link: https://www.google.com/maps/search/Kadak+Chaa+%28Commerce+Point%29/@26.179972199999998,91.7750942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Kadak Chaa | Adabari
link: https://www.google.com/maps/search/Kadak+Chaa+%7C+Adabari/@26.1587219,91.6857678?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Mochaaz
link: https://www.google.com/maps/search/Mochaaz/@26.180185100000003,91.77432739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Karak Chai
link: https://www.google.com/maps/search/Karak+Chai/@26.185603,91.763279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.karakchaa.com/,Karak Chaa | Rajgarh (Ye Zhu ),https://www.google.com/maps/contrib/110509984884413071790,https://lh5.googleusercontent.com/p/AF1QipNifH0Pn3Qp9oFaVg6jC-unD-jFO94T1sXj_rQe=w426-h240-k-no,Cha Yi Guan ,Cha Yi Guan ,4.1,07:00-22:00,Open All Days,+91 94670 20304,"Karak Chaa | Rajgarh, Axis Bank, Kims Square Kamrup, Rajgarh Rd, near Rajgarh, Chandmari, Guwahati, Assam 781003Yin Du ","Bang Wan , Xiao Chi ",https://www.google.com/maps/place/Karak+Chaa+%7C+Rajgarh/data=!4m7!3m6!1s0x375a5997cca3bdbf:0x73742bf028f9d59e!8m2!3d26.1738214!4d91.7724361!16s%2Fg%2F11rhdx1s7n!19sChIJv72jzJdZWjcRntX5KPArdHM?authuser=0&hl=zh-TW&rclk=1
ChIJFwxrGkI5ezkR49VKKCcCF4s,HANGOUT CAFE - Dosto ka Adda,,False,63,"Name: The mud house cafe
link: https://www.google.com/maps/search/The+mud+house+caf%C3%A9/@23.9784917,76.7864257?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: midway cafe rajgarh
link: https://www.google.com/maps/search/midway+cafe+rajgarh/@23.9996732,76.7270803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Hangout Cafe
link: https://www.google.com/maps/search/Hangout+Cafe/@23.9995972,76.7276412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://mydukaan.io/hangoutcafe,HANGOUT CAFE - Dosto ka Adda (Ye Zhu ),https://www.google.com/maps/contrib/106451445272770466520,https://lh5.googleusercontent.com/p/AF1QipMUqcxMoynaM22tCNfq-cM8fYzscS4Mn9PgmBwG=w408-h591-k-no,Ka Pei Dian ,Ka Pei Dian ,4.9,,Open All Days,,"HANGOUT CAFE - Dosto ka Adda, Hangout Cafe, near by allahabad bank, Shishak Nagar, Rajgarh, Madhya Pradesh 465661Yin Du ","Pi Sa , Han Bao , Jia Ge ",https://www.google.com/maps/place/HANGOUT+CAFE+-+Dosto+ka+Adda/data=!4m7!3m6!1s0x397b39421a6b0c17:0x8b170227284ad5e3!8m2!3d23.9994315!4d76.7270478!16s%2Fg%2F11qpm13q8c!19sChIJFwxrGkI5ezkR49VKKCcCF4s?authuser=0&hl=zh-TW&rclk=1
ChIJPYDSzWBPezkRhz0iZI_69VE,DP POINT LIMBODA,,False,16,"Name: mhaakaal aur hnumaan mNdir liNbodaa
link: https://www.google.com/maps/search/%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%95%E0%A4%BE%E0%A4%B2+%E0%A4%94%E0%A4%B0+%E0%A4%B9%E0%A4%A8%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%A8+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0+%E0%A4%B2%E0%A4%BF%E0%A4%82%E0%A4%AC%E0%A5%8B%E0%A4%A6%E0%A4%BE/@23.8547255,76.6388991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://dp-point-limboda.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,DP POINT LIMBODA (Ye Zhu ),https://www.google.com/maps/contrib/108491076166625610892,https://lh5.googleusercontent.com/p/AF1QipOTzGH2JM9NwaCs6V9Ga_O2zRQEUNliSuN14DX7=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,06:00-18:00,Open All Days,,"DP POINT LIMBODA, DP POINT, Limboda, Mawasa, Madhya Pradesh 465687Yin Du ",,https://www.google.com/maps/place/%C3%90P+POINT+LIMBODA/data=!4m7!3m6!1s0x397b4f60cdd2803d:0x51f5fa8f64223d87!8m2!3d23.8410556!4d76.6363264!16s%2Fg%2F11f7r8612l!19sChIJPYDSzWBPezkRhz0iZI_69VE?authuser=0&hl=zh-TW&rclk=1
ChIJwWANJypZWjcR_GVbaHvdyL8,MR.CHAA SUTTA,,False,8,"Name: Chaa Sutta
link: https://www.google.com/maps/search/Chaa+Sutta/@26.1708413,91.7334202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Karak Chaa (Fancy Bazaar)
link: https://www.google.com/maps/search/Karak+Chaa+%28Fancy+Bazaar%29/@26.181023,91.73755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Laheke Chai+
link: https://www.google.com/maps/search/Laheke+Chai%2B/@26.1841114,91.7692414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: CHAI SUTTA
link: https://www.google.com/maps/search/CHAI+SUTTA/@26.172481899999998,91.77161?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.mrchaasutta.com/,MR.CHAA SUTTA (Ye Zhu ),https://www.google.com/maps/contrib/114299287702411372505,https://lh5.googleusercontent.com/p/AF1QipNOQSlczZvhpsTV7PluQO9uxQsY2NB4aANXvhTI=w408-h906-k-no,Ka Pei Ting ,Ka Pei Ting ,4,10:00-22:00,Open All Days,+91 99576 03841,"MR.CHAA SUTTA, Rajgarh Road Near Petrol Pump Opp China Town Restaurant pin 781003, Guwahati, Assam 781003Yin Du ",,https://www.google.com/maps/place/MR.CHAA+SUTTA/data=!4m7!3m6!1s0x375a592a270d60c1:0xbfc8dd7b685b65fc!8m2!3d26.184341!4d91.7753798!16s%2Fg%2F11td2j85kx!19sChIJwWANJypZWjcR_GVbaHvdyL8?authuser=0&hl=zh-TW&rclk=1
ChIJGYFKRQ1ZWjcRIFLOlrAy_A8,Mocha Cafe & Bar,,False,4225,"Name: 11th Avenue Cafe Bistro
link: https://www.google.com/maps/search/11th+Avenue+Cafe+Bistro/@26.185945999999998,91.752231?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4860 reviews

Name: Hard Rock Cafe Guwahati
link: https://www.google.com/maps/search/Hard+Rock+Cafe+Guwahati/@26.165713000000004,91.7795344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1192 reviews

Name: Chai Met Sutta Cafe | Guwahati
link: https://www.google.com/maps/search/Chai+Met+Sutta+Caf%C3%A9+%7C+Guwahati/@26.154611,91.7796232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Oh Chai
link: https://www.google.com/maps/search/Oh+Chai/@26.1624676,91.77254769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",,Mocha Cafe & Bar (Ye Zhu ),https://www.google.com/maps/contrib/107821773029894474440,https://lh5.googleusercontent.com/p/AF1QipNZUdAUfOH2ivdgsrn8ta92BXOXe9OU-ndeI0sR=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Xiao Can Guan  (Bistro), Zao Can Can Ting , Ka Pei Dian , Can Ting ",4.4,11:00-00:00,Open All Days,+91 84860 00401,"2 Shop, Mocha Cafe & Bar, Ground Anil Plaza, 1, GS Rd, ABC, Near IDBI Bank, Sree Nagar, Guwahati, Assam 781005Yin Du ","Nai Xi , Shu Liang , Fen Wei , Can Pan , Shi Wu Pin Zhi , Chuan Shao , Lan ",https://www.google.com/maps/place/Mocha+Cafe+%26+Bar/data=!4m7!3m6!1s0x375a590d454a8119:0xffc32b096ce5220!8m2!3d26.1612709!4d91.7740452!16s%2Fg%2F1q2wbbkz4!19sChIJGYFKRQ1ZWjcRIFLOlrAy_A8?authuser=0&hl=zh-TW&rclk=1
ChIJPS1eWzNZWjcRlgALu8LR2oM,Yellow 29,,False,361,"Name: Cafe City Streets
link: https://www.google.com/maps/search/Cafe+City+Streets/@26.180024799999998,91.7734705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1201 reviews

Name: Cafe Shillong, Guwahati
link: https://www.google.com/maps/search/Cafe+Shillong%2C+Guwahati/@26.177391,91.7757473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Olmak
link: https://www.google.com/maps/search/Olmak/@26.133026100000002,91.79182089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: TL7 Cafe
link: https://www.google.com/maps/search/TL7+Caf%C3%A9/@26.1948361,91.75544280000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 321 reviews

Name: Cafe #57 EAST
link: https://www.google.com/maps/search/Caf%C3%A9+%2357+EAST/@26.1914515,91.7537972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",,Yellow 29 (Ye Zhu ),https://www.google.com/maps/contrib/102510694146419625987,https://lh5.googleusercontent.com/p/AF1QipMZCFzVr6swI6PktAExiuHOj3xbWZfmHbsmXpoe=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,10:30-22:00,Open All Days,+91 60000 41341,"h/no, Yellow 29, 25, Rajgarh Rd, opposite Icon Academy, Sarania Hills, Guwahati, Assam 781003Yin Du ","Jia Ge , Shu Liang , Ji Rou , Jing Yan , Mian , Huan Jing , Pin Zhi , Zhuang Xiu , Yin Le ",https://www.google.com/maps/place/Yellow+29/data=!4m7!3m6!1s0x375a59335b5e2d3d:0x83dad1c2bb0b0096!8m2!3d26.1796123!4d91.774256!16s%2Fg%2F11g03vysx5!19sChIJPS1eWzNZWjcRlgALu8LR2oM?authuser=0&hl=zh-TW&rclk=1
