place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJmyTQgh-mvB4RwuuThTMUx10,Choppies Superstores,,False,283,"Name: Choppies Super Store
link: https://www.google.com/maps/search/Choppies+Super+Store/@-24.8654315,25.862204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Cheap Meat Butchery
link: https://www.google.com/maps/search/Cheap+Meat+Butchery/@-24.8705446,25.8512384?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.choppies.co.bw/,Choppies Superstores (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPp-0lutjGuZOzFggz84rSqVMlW98xAoYM_AEJG=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.4,08:00-21:00,Open All Days,+267 318 6657,"4VQ3+7XX Choppies Superstores, Ramotswa, Bo Ci Wa Na ","Ke Fu , Jia Ge , Jing Yan , Jia Zi , Qian ",https://www.google.com/maps/place/Choppies+Superstores/data=!4m7!3m6!1s0x1ebca61f82d0249b:0x5dc714338593ebc2!8m2!3d-24.8617707!4d25.8549953!16s%2Fg%2F11_r5xszb!19sChIJmyTQgh-mvB4RwuuThTMUx10?authuser=0&hl=zh-TW&rclk=1
ChIJjaUEVAumvB4RYN1LbpSm-oI,Furnmart,,False,1,"Name: RUNA AUTO
link: https://www.google.com/maps/search/RUNA+AUTO/@-24.874029,25.876161999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Sefalana
link: https://www.google.com/maps/search/Sefalana/@-24.848852200000003,25.8302606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Ramotswa Building Supplies
link: https://www.google.com/maps/search/Ramotswa+Building+Supplies/@-24.874277199999998,25.874178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Furnmart Mogoditshane
link: https://www.google.com/maps/search/Furnmart+Mogoditshane/@-24.630273,25.873123999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Furnmart Tlokweng
link: https://www.google.com/maps/search/Furnmart+Tlokweng/@-24.6679808,25.9763625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.furnmart.africa/,Furnmart (Ye Zhu ),https://www.google.com/maps/contrib/107598953294182755820,https://lh5.googleusercontent.com/p/AF1QipMYZ6pagW6EzpuTjcB6nRyfZGYeM5Cg3XsZ_TUE=w408-h306-k-no,Jia Dian ,Jia Dian ,4,08:00-17:00,Open All Days,+267 539 0102,"Furnmart, BUS RANK, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Furnmart/data=!4m7!3m6!1s0x1ebca60b5404a58d:0x82faa6946e4bdd60!8m2!3d-24.8742715!4d25.8762891!16s%2Fg%2F11gcm0pnvq!19sChIJjaUEVAumvB4RYN1LbpSm-oI?authuser=0&hl=zh-TW&rclk=1
ChIJUaGZkuunvB4R3HbwtNXEGLQ,Furnmart,,False,,"Name: Sefalana
link: https://www.google.com/maps/search/Sefalana/@-24.848852200000003,25.8302606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Ramotswa Building Supplies
link: https://www.google.com/maps/search/Ramotswa+Building+Supplies/@-24.874277199999998,25.874178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Furnmart Mogoditshane
link: https://www.google.com/maps/search/Furnmart+Mogoditshane/@-24.630273,25.873123999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Furnmart Tlokweng
link: https://www.google.com/maps/search/Furnmart+Tlokweng/@-24.6679808,25.9763625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bamalete Trading Store
link: https://www.google.com/maps/search/Bamalete+Trading+Store/@-24.875328699999997,25.8764519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.furnmart.africa/,Furnmart (Ye Zhu ),https://www.google.com/maps/contrib/102621580713481126338,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hLXzTJuqXdRUO17THJRqjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.39731&pitch=0&thumbfov=100,Jia Dian ,Jia Dian ,,08:00-17:00,Open All Days,+267 539 1800,"Furnmart, BAMALETE TRIBAL AUTHORITY, PLOT 142, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Furnmart/data=!4m7!3m6!1s0x1ebca7eb9299a151:0xb418c4d5b4f076dc!8m2!3d-24.8608417!4d25.8526744!16s%2Fg%2F11nyml6tz6!19sChIJUaGZkuunvB4R3HbwtNXEGLQ?authuser=0&hl=zh-TW&rclk=1
ChIJ9RSsIBqmvB4REU6WF9QnZME,Choppies Super Store,,False,154,"Name: Choppies Superstores
link: https://www.google.com/maps/search/Choppies+Superstores/@-24.861770699999997,25.8549953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 283 reviews

Name: Choppies Supermarket Gabane
link: https://www.google.com/maps/search/Choppies+Supermarket+Gabane/@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews

Name: Choppies
link: https://www.google.com/maps/search/Choppies/@-24.630869699999998,25.9155995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Choppies G West
link: https://www.google.com/maps/search/Choppies+G+West/@-24.659327599999997,25.8872175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Cheap Meat Butchery
link: https://www.google.com/maps/search/Cheap+Meat+Butchery/@-24.8705446,25.8512384?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Choppies Super Store (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1PcUaXlPFmzG2eMCxbfycQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.47844&pitch=0&thumbfov=100,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.4,08:00-20:00,Open All Days,,"4VM6+RVG Choppies Super Store, Ramotswa, Bo Ci Wa Na ",Jing Yan ,https://www.google.com/maps/place/Choppies+Super+Store/data=!4m7!3m6!1s0x1ebca61a20ac14f5:0xc16427d417964e11!8m2!3d-24.8654315!4d25.862204!16s%2Fg%2F1hf2m51j_!19sChIJ9RSsIBqmvB4REU6WF9QnZME?authuser=0&hl=zh-TW&rclk=1
ChIJc2GbMyCmvB4RVAMzlyoDAV8,Leobah's Pub Ramotswa,,False,51,"Name: The Usual Centre Bar
link: https://www.google.com/maps/search/The+Usual+Centre+Bar/@-24.8601363,25.8533197?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Jazz Brew Liquor Rest
link: https://www.google.com/maps/search/Jazz+Brew+Liquor+Rest/@-24.860262199999998,25.8544957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Sahara Cafe and Bar
link: https://www.google.com/maps/search/The+Sahara+Caf%C3%A9+and+Bar/@-24.870565199999998,25.8640062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Leobah's Pub Ramotswa (Ye Zhu ),https://www.google.com/maps/contrib/103807402414737734775,https://lh5.googleusercontent.com/p/AF1QipP4hzAKXLncFOCw4mLSPp3Iw8cgtfUAlp7VJyi9=w426-h240-k-no,Jiu Ba ,Jiu Ba ,4,10:00-22:00,Open All Days,+267 71 775 839,"Leobah's Pub Ramotswa, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Leobah%27s+Pub+Ramotswa/data=!4m7!3m6!1s0x1ebca620339b6173:0x5f01032a97330354!8m2!3d-24.8602403!4d25.8549251!16s%2Fg%2F11fz9dwf1b!19sChIJc2GbMyCmvB4RVAMzlyoDAV8?authuser=0&hl=zh-TW&rclk=1
ChIJv7Z5mhemvB4RNbsoclUJjl0,Nako Guest House @ Ramotswa,,False,46,,,Nako Guest House @ Ramotswa (Ye Zhu ),https://www.google.com/maps/contrib/112169364627884027796,https://lh5.googleusercontent.com/p/AF1QipOqCoXHkFKW-XfWO_54lFPIADZUc57N_bTB_lRG=w427-h240-k-no,Jiu Dian ,Jiu Dian ,3.9,,Open All Days,+267 539 0048,"Nako Guest House @ Ramotswa, Lesetlhana Road, Ramotswa, Bo Ci Wa Na ",Yong Chi ,https://www.google.com/maps/place/Nako+Guest+House+@+Ramotswa/data=!4m10!3m9!1s0x1ebca6179a79b6bf:0x5d8e09557228bb35!5m2!4m1!1i2!8m2!3d-24.8613477!4d25.8650128!16s%2Fg%2F11c604p4sq!19sChIJv7Z5mhemvB4RNbsoclUJjl0?authuser=0&hl=zh-TW&rclk=1
ChIJn8eLChOmvB4RpxtRtKkbN0I,Local Cafe,,False,14,"Name: PLATEAU
link: https://www.google.com/maps/search/PLATEAU/@-24.859904699999998,25.853685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Ramoems Cafe/Restaurant
link: https://www.google.com/maps/search/Ramoems+Cafe%2FRestaurant/@-24.8606892,25.853299999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Cafe Latte Restaurant
link: https://www.google.com/maps/search/Cafe+Latte+Restaurant/@-24.875557399999998,25.877060699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Four Four Ten Bar & Restaurant
link: https://www.google.com/maps/search/Four+Four+Ten+Bar+%26+Restaurant/@-24.875187099999998,25.876719899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: The Sahara Cafe and Bar
link: https://www.google.com/maps/search/The+Sahara+Caf%C3%A9+and+Bar/@-24.870565199999998,25.8640062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Local Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPPCiXAe6ksWgK0Ds9O3gCy1GkzkbOM1u2o-vdi=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,3.5,,Open All Days,,"4VPF+26C Local Cafe, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Local+Cafe/data=!4m7!3m6!1s0x1ebca6130a8bc79f:0x42371ba9b4511ba7!8m2!3d-24.8649275!4d25.8730225!16s%2Fg%2F1232l1plv!19sChIJn8eLChOmvB4RpxtRtKkbN0I?authuser=0&hl=zh-TW&rclk=1
ChIJc3XLECCmvB4RvFf6w6_Imog,Ramoems Cafe/Restaurant,,False,13,"Name: Ramotswa Lodge
link: https://www.google.com/maps/search/Ramotswa+Lodge/@-24.856551099999997,25.8611835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: PLATEAU
link: https://www.google.com/maps/search/PLATEAU/@-24.859904699999998,25.853685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Cafe Latte Restaurant
link: https://www.google.com/maps/search/Cafe+Latte+Restaurant/@-24.875557399999998,25.877060699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Four Cousins Restaurant
link: https://www.google.com/maps/search/Four+Cousins+Restaurant/@-24.8633471,25.856769200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: The Sahara Cafe and Bar
link: https://www.google.com/maps/search/The+Sahara+Caf%C3%A9+and+Bar/@-24.870565199999998,25.8640062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Ramoems Cafe/Restaurant (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l2zyrhxm1OQQIWo6M0zJdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.21978&pitch=0&thumbfov=100,Can Ting ,Can Ting ,3.4,,Open All Days,+267 72 389 131,"4VQ3+P8F Ramoems Cafe/Restaurant, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Ramoems+Cafe%2FRestaurant/data=!4m7!3m6!1s0x1ebca62010cb7573:0x889ac8afc3fa57bc!8m2!3d-24.8606892!4d25.8533!16s%2Fg%2F11b6cj7m1z!19sChIJc3XLECCmvB4RvFf6w6_Imog?authuser=0&hl=zh-TW&rclk=1
ChIJM_QJw3SmvB4RDocmYjzhKSo,Cafe Latte Restaurant,,False,5,"Name: PLATEAU
link: https://www.google.com/maps/search/PLATEAU/@-24.859904699999998,25.853685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Ramoems Cafe/Restaurant
link: https://www.google.com/maps/search/Ramoems+Cafe%2FRestaurant/@-24.8606892,25.853299999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Thanda Creations
link: https://www.google.com/maps/search/Thanda+Creations/@-24.874751999999997,25.866619099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Four Cousins Restaurant
link: https://www.google.com/maps/search/Four+Cousins+Restaurant/@-24.8633471,25.856769200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: The Sahara Cafe and Bar
link: https://www.google.com/maps/search/The+Sahara+Caf%C3%A9+and+Bar/@-24.870565199999998,25.8640062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Latte Restaurant (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jAViw0zPmpA_hQYw6jfDAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=61.7046&pitch=0&thumbfov=100,Can Ting ,Can Ting ,4,,Open All Days,+267 539 1295,"4VFG+QRF Cafe Latte Restaurant, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Cafe+Latte+Restaurant/data=!4m7!3m6!1s0x1ebca674c309f433:0x2a29e13c6226870e!8m2!3d-24.8755574!4d25.8770607!16s%2Fg%2F1hhx0_db9!19sChIJM_QJw3SmvB4RDocmYjzhKSo?authuser=0&hl=zh-TW&rclk=1
ChIJ6XnWUjKnvB4RNzoXAyADbH0,Double-UP Cafe,,False,,,,Double-UP Cafe (Ye Zhu ),https://www.google.com/maps/contrib/108586534782972815598,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dYFFUyIrLtJhP6ojTxbScA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.1195&pitch=0&thumbfov=100,Can Ting ,Can Ting ,,09:30-22:30,Open All Days,+267 75 740 585,"Double-UP Cafe, Goo Tawana Ward, Ramotswa, Bo Ci Wa Na ",,https://www.google.com/maps/place/Double-UP+Caf%C3%A9/data=!4m7!3m6!1s0x1ebca73252d679e9:0x7d6c032003173a37!8m2!3d-24.870565!4d25.864006!16s%2Fg%2F11sssqp69v!19sChIJ6XnWUjKnvB4RNzoXAyADbH0?authuser=0&hl=zh-TW&rclk=1
