place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJLROCRaNRdFMR6LldNniz2nI,McDonald's Gasoline Alley West,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1330,"Name: Carl's Jr.
link: https://www.google.com/maps/search/Carl%27s+Jr./@52.2123426,-113.8156439?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1003 reviews

Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@52.2179674,-113.81284289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1002 reviews

Name: Fatburger Red Deer South
link: https://www.google.com/maps/search/Fatburger+Red+Deer+South/@52.2126844,-113.8151106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 640 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.2090949,-113.81526869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 530 reviews

Name: Edo Japan - Gasoline Alley - Grill and Sushi
link: https://www.google.com/maps/search/Edo+Japan+-+Gasoline+Alley+-+Grill+and+Sushi/@52.2070024,-113.81552289999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 272 reviews",https://www.mcdonalds.com/ca/en-ca.html,McDonald's Gasoline Alley West (Ye Zhu ),https://www.google.com/maps/contrib/116339079740007752414,https://lh5.googleusercontent.com/p/AF1QipMvdGEypiJVFyJBplhg25LcAknr3mO9DfRzNlvd=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.6,24 Xiao Shi Ying Ye ,Open All Days,+1 403-342-1768,"McDonald's Gasoline Alley West, 585 Laura Ave Unit 101, Red Deer County, AB T4N 6H2Jia Na Da ","Ka Pei , De Lai Su , Yu Shi , Jia Shi , Jia You Zhan , Man Fu Bao , Zi Jia You ",https://www.google.com/maps/place/McDonald%E2%80%99s+Gasoline+Alley+West/data=!4m7!3m6!1s0x537451a34582132d:0x72dab378365db9e8!8m2!3d52.2166923!4d-113.8172199!16s%2Fg%2F11h7g1xln8!19sChIJLROCRaNRdFMR6LldNniz2nI?authuser=0&hl=zh-TW&rclk=1
ChIJ8TtlPqxVdFMRhsvcjP7YWKc,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1205,"Name: Burger Boy
link: https://www.google.com/maps/search/Burger+Boy/@52.280116799999995,-113.81929369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1122 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.290938399999995,-113.81291879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 668 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@52.2949041,-113.81505949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@52.2954988,-113.8129177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA3MzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/113584846449400181624,https://lh5.googleusercontent.com/p/AF1QipO-7gvbBzbgH1FWjufEagKVYw6gyEtyni3AX-VP=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.2,06:00-21:00,Open All Days,+1 403-342-2226,"McDonald's, 7149 50 Ave, Red Deer, AB T4N 4E4Jia Na Da ","De Lai Su , Ka Pei , Xiao Hai , Ju Wu Ba , Zao Shang , Fan Xin , Shu Bing , Man Fu Bao ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x537455ac3e653bf1:0xa758d8fe8cdccb86!8m2!3d52.2984991!4d-113.812902!16s%2Fg%2F11h0twkhv!19sChIJ8TtlPqxVdFMRhsvcjP7YWKc?authuser=0&hl=zh-TW&rclk=1
ChIJ47ENPSdUdFMRf3ZL5Cnrp5M,Tim Hortons,,False,1198,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@52.2984991,-113.812902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1205 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Ricky's Cafe - Red Deer
link: https://www.google.com/maps/search/Ricky%27s+Cafe+-+Red+Deer/@52.2897776,-113.8477494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 379 reviews

Name: Cafe Millennium Inc.
link: https://www.google.com/maps/search/Cafe+Millennium+Inc./@52.2679249,-113.8124282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Fifty One Street Cafe
link: https://www.google.com/maps/search/Fifty+One+Street+Cafe/@52.269850299999995,-113.8123513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://locations.timhortons.ca/ab/red-deer/4217-50th-ave,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/101804484714151497126,https://lh5.googleusercontent.com/p/AF1QipOtsEO9Ecy_C3sHMojRAx1PZYvPLqEr273b8ekK=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+1 403-343-1152,"Tim Hortons, 4217 50 Ave, Red Deer, AB T4N 3Z4Jia Na Da ","De Lai Su , Tian Tian Quan , Bei Guo , Juan Bing , Yu Shi , Tang , You Min , Nai You Qi Si ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x537454273d0db1e3:0x93a7eb29e44b767f!8m2!3d52.2611758!4d-113.813405!16s%2Fg%2F1vj5zwqd!19sChIJ47ENPSdUdFMRf3ZL5Cnrp5M?authuser=0&hl=zh-TW&rclk=1
ChIJFW0YWSRUdFMRAj07LWVOy7Y,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1172,"Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.242569800000005,-113.81504799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 987 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@52.2949041,-113.81505949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: Dairy Queen Grill & Chill
link: https://www.google.com/maps/search/Dairy+Queen+Grill+%26+Chill/@52.262152199999996,-113.8145285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 598 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@52.2721291,-113.81120320000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAyNjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/106819207409958810552,https://lh5.googleusercontent.com/p/AF1QipPA-Q_1Rbn9o8xipsoXZO7QtxgpcW1kfYas6Xtm=w408-h544-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.1,06:00-19:00,Open All Days,+1 403-347-7171,"McDonald's, 4840 52 Ave, Red Deer, AB T4N 6Y8Jia Na Da ","De Lai Su , You Min , Guan Li , Ju Wu Ba , Bei Guo , Shu Bing , Jiao Ta Che , Man Fu Bao ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5374542459186d15:0xb6cb4e652d3b3d02!8m2!3d52.2676953!4d-113.8180031!16s%2Fg%2F1tr8l7m2!19sChIJFW0YWSRUdFMRAj07LWVOy7Y?authuser=0&hl=zh-TW&rclk=1
ChIJpYFZ5ipXdFMR1bPwyEr6CbM,Tim Hortons,,False,1169,"Name: McDonald's Gasoline Alley West
link: https://www.google.com/maps/search/McDonald%E2%80%99s+Gasoline+Alley+West/@52.2166923,-113.8172199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1329 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@52.209584799999995,-113.8167323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 645 reviews

Name: Ricky's All Day Grill - Red Deer South
link: https://www.google.com/maps/search/Ricky%27s+All+Day+Grill+-+Red+Deer+South/@52.2130623,-113.81526939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 533 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.2090949,-113.81526869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 530 reviews

Name: Cafe Millennium Inc.
link: https://www.google.com/maps/search/Cafe+Millennium+Inc./@52.2679249,-113.8124282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",https://locations.timhortons.ca/ab/red-deer/100-139-leva-ave,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/104813884135229315705,https://lh5.googleusercontent.com/p/AF1QipPnY_M_PcPkRsbkBLpGlYkRaJcdAUbbcd29HZq6=w493-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,06:00-21:00,Open All Days,+1 403-352-0001,"Tim Hortons, 139 Leva Ave #100, Red Deer, AB T4E 1B2Jia Na Da ","De Lai Su , Qing Jie , Tian Tian Quan , Bei Guo , Gao Su Gong Lu , Su Shi Dian , Jia Shi , Juan Bing ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x5374572ae65981a5:0xb309fa4ac8f0b3d5!8m2!3d52.2092007!4d-113.8153535!16s%2Fg%2F11bw4lpxck!19sChIJpYFZ5ipXdFMR1bPwyEr6CbM?authuser=0&hl=zh-TW&rclk=1
ChIJ1ZqxhWdUdFMR6QoPJyxGj78,Tim Hortons,,False,1135,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@52.2890794,-113.8492148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1073 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@52.2949041,-113.81505949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: Ricky's Cafe - Red Deer
link: https://www.google.com/maps/search/Ricky%27s+Cafe+-+Red+Deer/@52.2897776,-113.8477494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 379 reviews

Name: Quiznos
link: https://www.google.com/maps/search/Quiznos/@52.2938341,-113.815248?authuser=0&hl=zh-TW&entry=ttu
Reviews: 102 reviews",http://locations.timhortons.ca/ab/red-deer/6620-orr-dr,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/115452289711422798501,https://lh5.googleusercontent.com/p/AF1QipM5yfFSL1GP8lkjozTGlMxfao_qZh2ilTAKaHlz=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,05:00-22:00,Open All Days,+1 403-341-3561,"Tim Hortons, 6620 Orr Dr, Red Deer, AB T4P 3V8Jia Na Da ","De Lai Su , Tian Tian Quan , Yu Shi , Su Shi Dian , Ling , Bao , Juan Bing ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x5374546785b19ad5:0xbf8f462c270f0ae9!8m2!3d52.2880798!4d-113.8508315!16s%2Fg%2F1tdfyddm!19sChIJ1ZqxhWdUdFMR6QoPJyxGj78?authuser=0&hl=zh-TW&rclk=1
ChIJjcElg11UdFMRsVhPhQJosxE,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1073,"Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@52.233838,-113.814534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 765 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.290938399999995,-113.81291879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 668 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@52.2949041,-113.81505949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@52.289071199999995,-113.8487162?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA2NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/111855270590524592002,https://lh5.googleusercontent.com/p/AF1QipNqq15ENiPVZEOvTkapZ2kS19YFTHM-93PcHooH=w408-h297-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.1,06:00-23:00,Open All Days,+1 403-347-0320,"McDonald's, 6702 Golden W Ave #300, Red Deer, AB T4P 1A8Jia Na Da ","De Lai Su , Ka Pei , Guan Li , Chuang , Zao Shang , Ju Wu Ba , Shu Bing , Man Fu Bao , Che Liang ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x5374545d8325c18d:0x11b36802854f58b1!8m2!3d52.2890794!4d-113.8492148!16s%2Fg%2F11c5s9ql1s!19sChIJjcElg11UdFMRsVhPhQJosxE?authuser=0&hl=zh-TW&rclk=1
ChIJCXrGDcdWdFMRz9gF6tOPHVk,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,989,"Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.242569800000005,-113.81504799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 987 reviews

Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@52.233838,-113.814534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 765 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Dairy Queen Grill & Chill
link: https://www.google.com/maps/search/Dairy+Queen+Grill+%26+Chill/@52.234611199999996,-113.8130204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 491 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@52.2548185,-113.81332409999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAzMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/103989769451273522882,https://lh5.googleusercontent.com/p/AF1QipPI1K1aiKJERZzaJyXh-_RVNqfooXFZ_UzMMGeD=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.2,06:00-23:00,Open All Days,+1 403-347-1700,"McDonald's, 2502 50 Ave, Red Deer, AB T4R 1M3Jia Na Da ","De Lai Su , Ka Pei , Guan Li , Chuang , Bao , Fan Xin , Fan Qie Jiang , Man Fu Bao ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x537456c70dc67a09:0x591d8fd3ea05d8cf!8m2!3d52.2430547!4d-113.8149937!16s%2Fg%2F1hc6pjnmd!19sChIJCXrGDcdWdFMRz9gF6tOPHVk?authuser=0&hl=zh-TW&rclk=1
ChIJ8_htrLlWdFMR461KlybsIeU,Tim Hortons,,False,812,"Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@52.238067,-113.7683362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 484 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@52.239327499999995,-113.8150529?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Quiznos
link: https://www.google.com/maps/search/Quiznos/@52.2393321,-113.8164377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Cafe Millennium Inc.
link: https://www.google.com/maps/search/Cafe+Millennium+Inc./@52.2679249,-113.8124282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",https://locations.timhortons.ca/ab/red-deer/5111-22nd-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/109827009313206639770,https://lh5.googleusercontent.com/p/AF1QipPtjRvkPsJD-w5_OI0pe0S_UWYk_2MYMYTAa87r=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,05:00-22:00,Xing Qi Yi ,+1 403-340-1420,"Tim Hortons, 5111 22 St Unit 3, Red Deer, AB T4R 2K1Jia Na Da ","De Lai Su , Tian Tian Quan , Chuang , Bei Guo , Juan Bing , Pei Gen , Tang , Xiang Chang ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x537456b9ac6df8f3:0xe521ec26974aade3!8m2!3d52.2385822!4d-113.8149047!16s%2Fg%2F1tmpvngz!19sChIJ8_htrLlWdFMR461KlybsIeU?authuser=0&hl=zh-TW&rclk=1
ChIJyWx_OepVdFMR1EoLCYnI5Ms,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,710,"Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@52.233838,-113.814534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 765 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@52.2980081,-113.8149691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@52.290938399999995,-113.81291879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 668 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@52.2949041,-113.81505949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@52.2721291,-113.81120320000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjAwMjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/103488036421799254505,https://lh5.googleusercontent.com/p/AF1QipNV-qbFG9oTYRdIgb7a_rgaiIpsOGkzRSkJeZVi=w408-h308-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.2,06:00-23:00,Open All Days,+1 403-356-2133,"McDonald's, 16 Conway St, Red Deer, AB T4P 0N1Jia Na Da ","De Lai Su , Chuang , Ju Wu Ba , Bao , Yang Cong , Suan Huang Gua , Nai ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x537455ea397f6cc9:0xcbe4c889090b4ad4!8m2!3d52.2869569!4d-113.7718249!16s%2Fg%2F11cl_4jw_g!19sChIJyWx_OepVdFMR1EoLCYnI5Ms?authuser=0&hl=zh-TW&rclk=1
