place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvUJ7_QPmk2sR0o7zL_EQKRI,Preece's,"Modern Australian dishes in a large, long-standing restaurant with pavement seating & bay views.",False,1154,"Name: Cafe Diversity
link: https://www.google.com/maps/search/Cafe+Diversity/@-27.2285751,153.11532019999999?authuser=0&hl=en&entry=ttu
Reviews: 1026 reviews

Name: Shields St Eats
link: https://www.google.com/maps/search/Shields+St+Eats/@-27.219835800000002,153.1154283?authuser=0&hl=en&entry=ttu
Reviews: 801 reviews

Name: The Oasis On The Esplanade
link: https://www.google.com/maps/search/The+Oasis+On+The+Esplanade/@-27.2263824,153.1146721?authuser=0&hl=en&entry=ttu
Reviews: 460 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Jetty Lounge
link: https://www.google.com/maps/search/Jetty+Lounge/@-27.2262021,153.11460209999998?authuser=0&hl=en&entry=ttu
Reviews: 159 reviews",http://preecesatthejetty.com.au/,Preece's (Owner),https://www.google.com/maps/contrib/117886140475048059667,https://lh5.googleusercontent.com/p/AF1QipP4oZ01PvNJ9Z7yUimNHn13WhHvhu_MQSJMYKgc=w408-h408-k-no,Restaurant,"Restaurant, Bar, Breakfast restaurant, Cafe, Coffee shop",4.2,5:30 AM-3 PM,Open All Days,+61 7 3284 2986,"Preece's, Redcliffe Parade, Redcliffe QLD 4020, Australia","cakes, cafe, vanilla slice, fish and chips, bacon and eggs, eggs benedict, ocean, course meal, scrambled eggs, the peninsula",https://www.google.com/maps/place/Preece%27s/data=!4m7!3m6!1s0x6b93e603fd7b42bd:0x122910f12ff38ed2!8m2!3d-27.2265592!4d153.1147012!16s%2Fg%2F1vyk2pjb!19sChIJvUJ7_QPmk2sR0o7zL_EQKRI?authuser=0&hl=en&rclk=1
ChIJ9S2eGATmk2sR7sWpwYsXZMY,Cafe Diversity,,False,1027,"Name: Preece's
link: https://www.google.com/maps/search/Preece%27s/@-27.2265592,153.11470119999998?authuser=0&hl=en&entry=ttu
Reviews: 1154 reviews

Name: Shields St Eats
link: https://www.google.com/maps/search/Shields+St+Eats/@-27.219835800000002,153.1154283?authuser=0&hl=en&entry=ttu
Reviews: 801 reviews

Name: The Oasis On The Esplanade
link: https://www.google.com/maps/search/The+Oasis+On+The+Esplanade/@-27.2263824,153.1146721?authuser=0&hl=en&entry=ttu
Reviews: 460 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Coffee Rounds Cafe
link: https://www.google.com/maps/search/Coffee+Rounds+Cafe/@-27.2297798,153.1048509?authuser=0&hl=en&entry=ttu
Reviews: 47 reviews",https://www.cafediversity.com.au/,Cafe Diversity (Owner),https://www.google.com/maps/contrib/101275521850589301574,https://lh5.googleusercontent.com/p/AF1QipPPi25lF_nsKofViGdBkLxnWAIzl94ypkxP52iO=w408-h306-k-no,Restaurant,"Restaurant, Breakfast restaurant, Cafe, Coffee shop, Coffee store, Lunch restaurant, Takeout Restaurant",3.9,7 AM-3 PM,Open All Days,+61 7 3284 6956,"Cafe Diversity, 75 Redcliffe Parade, Redcliffe QLD 4020, Australia","pancakes, eggs benedict, smoothie, keto, surcharge, poached eggs, swings, public holiday, acai bowl, ocean",https://www.google.com/maps/place/Cafe+Diversity/data=!4m7!3m6!1s0x6b93e604189e2df5:0xc664178bc1a9c5ee!8m2!3d-27.2285751!4d153.1153202!16s%2Fg%2F11g6z11zfh!19sChIJ9S2eGATmk2sR7sWpwYsXZMY?authuser=0&hl=en&rclk=1
ChIJUyFBewHmk2sRdK1Fbn8zR9s,Cafe 63 - Redcliffe,,False,961,"Name: Cafe Diversity
link: https://www.google.com/maps/search/Cafe+Diversity/@-27.2285751,153.11532019999999?authuser=0&hl=en&entry=ttu
Reviews: 1026 reviews

Name: The Oasis On The Esplanade
link: https://www.google.com/maps/search/The+Oasis+On+The+Esplanade/@-27.2263824,153.1146721?authuser=0&hl=en&entry=ttu
Reviews: 460 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: 73 & Baker
link: https://www.google.com/maps/search/73+%26+Baker/@-27.2288644,153.11533290000003?authuser=0&hl=en&entry=ttu
Reviews: 142 reviews",http://cafe63.com.au/,Cafe 63 - Redcliffe (Owner),https://www.google.com/maps/contrib/115527778405458147503,https://lh5.googleusercontent.com/p/AF1QipPlrrvXJUMJFdpKGXLK4ojDPEszj18Y5uYqzZ_j=w414-h240-k-no,Cafe,"Cafe, Breakfast restaurant, Coffee shop",4,6 AM-3 PM,Open All Days,+61 1300 636 300,"Cafe 63 - Redcliffe, 185 Redcliffe Parade, Redcliffe QLD 4020, Australia","value, lunch, food and service, burger, beach, eggs benedict, bacon and egg, plastic, condiments, bottle of water",https://www.google.com/maps/place/Cafe+63+-+Redcliffe/data=!4m7!3m6!1s0x6b93e6017b412153:0xdb47337f6e45ad74!8m2!3d-27.2247861!4d153.1143186!16s%2Fg%2F11c2p96yj2!19sChIJUyFBewHmk2sRdK1Fbn8zR9s?authuser=0&hl=en&rclk=1
ChIJOWx8hanok2sRvAxKs5lh9FU,Shields St Eats,,False,802,"Name: Preece's
link: https://www.google.com/maps/search/Preece%27s/@-27.2265592,153.11470119999998?authuser=0&hl=en&entry=ttu
Reviews: 1154 reviews

Name: Cafe Diversity
link: https://www.google.com/maps/search/Cafe+Diversity/@-27.2285751,153.11532019999999?authuser=0&hl=en&entry=ttu
Reviews: 1026 reviews

Name: The Oasis On The Esplanade
link: https://www.google.com/maps/search/The+Oasis+On+The+Esplanade/@-27.2263824,153.1146721?authuser=0&hl=en&entry=ttu
Reviews: 460 reviews

Name: La Lanterna
link: https://www.google.com/maps/search/La+Lanterna/@-27.2302345,153.116175?authuser=0&hl=en&entry=ttu
Reviews: 412 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews",https://www.shieldssteats.com.au/,Shields St Eats (Owner),https://www.google.com/maps/contrib/102360635485371821098,https://lh5.googleusercontent.com/p/AF1QipOdSu_NGDoEaYoosvLjHVTtXCvl_54OPd-1la2C=w408-h306-k-no,Restaurant,"Restaurant, Breakfast restaurant, Cafe, Coffee shop",4.1,5-8 PM,Open All Days,+61 7 3048 3894,"Shields St Eats, 33 Prince Edward Parade, Redcliffe QLD 4020, Australia","pizza, cafe, toppings, wood fired, gelato, beach, pumpkin, the peninsula, prawns, onion rings",https://www.google.com/maps/place/Shields+St+Eats/data=!4m7!3m6!1s0x6b93e8a9857c6c39:0x55f46199b34a0cbc!8m2!3d-27.2198358!4d153.1154283!16s%2Fg%2F11byc_k4kd!19sChIJOWx8hanok2sRvAxKs5lh9FU?authuser=0&hl=en&rclk=1
ChIJceM6WAHmk2sRnzX3H1lKLJA,The Oasis On The Esplanade,,False,459,"Name: Preece's
link: https://www.google.com/maps/search/Preece%27s/@-27.2265592,153.11470119999998?authuser=0&hl=en&entry=ttu
Reviews: 1154 reviews

Name: Cafe Diversity
link: https://www.google.com/maps/search/Cafe+Diversity/@-27.2285751,153.11532019999999?authuser=0&hl=en&entry=ttu
Reviews: 1026 reviews

Name: Shields St Eats
link: https://www.google.com/maps/search/Shields+St+Eats/@-27.219835800000002,153.1154283?authuser=0&hl=en&entry=ttu
Reviews: 801 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Over There Cafe
link: https://www.google.com/maps/search/Over+There+Cafe/@-27.219444400000004,153.0986111?authuser=0&hl=en&entry=ttu
Reviews: 166 reviews",http://www.oasiscafe.com.au/,The Oasis On The Esplanade (Owner),https://www.google.com/maps/contrib/114789844757342040862,https://lh5.googleusercontent.com/p/AF1QipMHPEe_qrHDfjbVlH8X2Pqb56c0WXNLIexB_-aY=w428-h240-k-no,Cafe,"Cafe, Art cafe, Art gallery, Breakfast restaurant, Coffee store, Restaurant, Vegan restaurant",4.6,6:30 AM-3 PM,Open All Days,+61 7 3283 1677,"The Oasis On The Esplanade, 163 Redcliffe Parade, Redcliffe QLD 4020, Australia","eggs benedict, food and service, art, bacon, brunch, burger, pancakes, avocado, markets, salmon",https://www.google.com/maps/place/The+Oasis+On+The+Esplanade/data=!4m7!3m6!1s0x6b93e601583ae371:0x902c4a591ff7359f!8m2!3d-27.2263824!4d153.1146721!16s%2Fg%2F1thkrwkz!19sChIJceM6WAHmk2sRnzX3H1lKLJA?authuser=0&hl=en&rclk=1
ChIJ7_tcVwHmk2sRetfVrUeQfUQ,Bakery & Cafe - Banjo's Redcliffe,"Brekkie & sandwiches, plus handmade sweet treats, in a cafe chain with a local community focus.",False,239,"Name: Cafe 63 - Redcliffe
link: https://www.google.com/maps/search/Cafe+63+-+Redcliffe/@-27.2247861,153.11431860000002?authuser=0&hl=en&entry=ttu
Reviews: 960 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Flour & Chocolate Redcliffe
link: https://www.google.com/maps/search/Flour+%26+Chocolate+Redcliffe/@-27.228489999999997,153.114861?authuser=0&hl=en&entry=ttu
Reviews: 177 reviews

Name: 73 & Baker
link: https://www.google.com/maps/search/73+%26+Baker/@-27.2288644,153.11533290000003?authuser=0&hl=en&entry=ttu
Reviews: 142 reviews

Name: Margate Hot Bread
link: https://www.google.com/maps/search/Margate+Hot+Bread/@-27.2356949,153.10043489999998?authuser=0&hl=en&entry=ttu
Reviews: 59 reviews",https://banjos.com.au/%3Futm_source%3DGoogle%26utm_medium%3DGMB%26utm_campaign%3DWebsite%26utm_term%3DRedcliffe,Bakery & Cafe - Banjo's Redcliffe (Owner),https://www.google.com/maps/contrib/117142226507242070800,https://lh5.googleusercontent.com/p/AF1QipOBfLNQWmHg0UxEBQuiaGuamc3VeXv7UMLsMa-U=w408-h251-k-no,Bakery,"Bakery, Breakfast restaurant, Cafe, Cake shop, Caterer, Coffee shop, Lunch restaurant, Pie shop, Sandwich shop",4.3,6 AM-6 PM,Open All Days,+61 7 3284 0166,"Bakery & Cafe - Banjo's Redcliffe, 161 Redcliffe Parade, Redcliffe QLD 4020, Australia","pies, prices, scallop pie, sausage rolls, sandwiches, drinks, scallops, bacon, beef, curry",https://www.google.com/maps/place/Bakery+%26+Caf%C3%A9+-+Banjo%27s+Redcliffe/data=!4m7!3m6!1s0x6b93e601575cfbef:0x447d9047add5d77a!8m2!3d-27.2264147!4d153.1146829!16s%2Fg%2F1tsljx73!19sChIJ7_tcVwHmk2sRetfVrUeQfUQ?authuser=0&hl=en&rclk=1
ChIJE4C1b_jlk2sRG4KiPbr5Hls,Over There Cafe,,False,166,"Name: Cafe 63 - Redcliffe
link: https://www.google.com/maps/search/Cafe+63+-+Redcliffe/@-27.2247861,153.11431860000002?authuser=0&hl=en&entry=ttu
Reviews: 960 reviews

Name: The Oasis On The Esplanade
link: https://www.google.com/maps/search/The+Oasis+On+The+Esplanade/@-27.2263824,153.1146721?authuser=0&hl=en&entry=ttu
Reviews: 460 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Coffee Rounds Cafe
link: https://www.google.com/maps/search/Coffee+Rounds+Cafe/@-27.2297798,153.1048509?authuser=0&hl=en&entry=ttu
Reviews: 47 reviews",http://overtherecafe.com.au/,Over There Cafe (Owner),https://www.google.com/maps/contrib/111531382337214286788,https://lh5.googleusercontent.com/p/AF1QipNarhEAWHNMLLKcmPFTZ38Qh76cLD8F8K9nIlNK=w408-h306-k-no,Cafe,Cafe,4.3,6 AM-2 PM,Open All Days,+61 7 3203 6510,"Over There Cafe, 7/110 Ashmole Rd, Redcliffe QLD 4020, Australia","price, bacon, morning, wrap, lunch, pancakes, flat white, scones",https://www.google.com/maps/place/Over+There+Cafe/data=!4m7!3m6!1s0x6b93e5f86fb58013:0x5b1ef9ba3da2821b!8m2!3d-27.2194444!4d153.0986111!16s%2Fg%2F11bxg3fqs3!19sChIJE4C1b_jlk2sRG4KiPbr5Hls?authuser=0&hl=en&rclk=1
ChIJaQhvIwTmk2sR77Qst4igr2M,73 & Baker,,False,142,"Name: Preece's
link: https://www.google.com/maps/search/Preece%27s/@-27.2265592,153.11470119999998?authuser=0&hl=en&entry=ttu
Reviews: 1154 reviews

Name: Cafe 63 - Redcliffe
link: https://www.google.com/maps/search/Cafe+63+-+Redcliffe/@-27.2247861,153.11431860000002?authuser=0&hl=en&entry=ttu
Reviews: 960 reviews

Name: Nerosso Cafe
link: https://www.google.com/maps/search/Nerosso+Cafe/@-27.2273379,153.11479309999999?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Salt Shop & Cafe
link: https://www.google.com/maps/search/Salt+Shop+%26+Cafe/@-27.2284793,153.1142556?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews",https://www.facebook.com/73Bakerlifestylepantry/,73 & Baker (Owner),https://www.google.com/maps/contrib/115210261758777327086,https://lh5.googleusercontent.com/p/AF1QipPCQCU2z9xVS814uBDcT5qaxMxOjig45pjM3oLt=w408-h544-k-no,Cafe,"Cafe, Breakfast restaurant, Caterer, Coffee shop, Coffee stand, Juice shop, Lunch restaurant",4.8,7 AM-2 PM,Open All Days,+61 437 609 312,"73 & Baker, 1B/73 Redcliffe Parade, Redcliffe QLD 4020, Australia","smoothie, acai bowls, juice, morning, meal, mushroom, wall, vegan, healthy, flat white",https://www.google.com/maps/place/73+%26+Baker/data=!4m7!3m6!1s0x6b93e604236f0869:0x63afa088b72cb4ef!8m2!3d-27.2288644!4d153.1153329!16s%2Fg%2F11f3n5wss8!19sChIJaQhvIwTmk2sR77Qst4igr2M?authuser=0&hl=en&rclk=1
ChIJ92gghublk2sRAb5V0eQUzEM,Coffee Cups on Victoria,,False,89,"Name: Cafe Diversity
link: https://www.google.com/maps/search/Cafe+Diversity/@-27.2285751,153.11532019999999?authuser=0&hl=en&entry=ttu
Reviews: 1026 reviews

Name: Coffee Rounds Cafe
link: https://www.google.com/maps/search/Coffee+Rounds+Cafe/@-27.2297798,153.1048509?authuser=0&hl=en&entry=ttu
Reviews: 47 reviews

Name: Salt Shop & Cafe
link: https://www.google.com/maps/search/Salt+Shop+%26+Cafe/@-27.2284793,153.1142556?authuser=0&hl=en&entry=ttu
Reviews: 43 reviews",http://coffeecupsonvictoria.com.au/,Coffee Cups on Victoria (Owner),https://www.google.com/maps/contrib/106665561575076827459,https://lh5.googleusercontent.com/p/AF1QipM2Vu8CS9X6EekNHrGD2eUf6E6Mmn535n8y1WJd=w408-h544-k-no,Coffee shop,Coffee shop,4.6,5 AM-1 PM,Open All Days,+61 455 727 758,"Coffee Cups on Victoria, 257 Victoria Ave, Redcliffe QLD 4020, Australia","atmosphere, milk, take away, barista",https://www.google.com/maps/place/Coffee+Cups+on+Victoria/data=!4m7!3m6!1s0x6b93e5e6862068f7:0x43cc14e4d155be01!8m2!3d-27.2358393!4d153.1004663!16s%2Fg%2F11bby4_c71!19sChIJ92gghublk2sRAb5V0eQUzEM?authuser=0&hl=en&rclk=1
ChIJmWKiaJ3nk2sR6-ponzdwMzg,The Boneyard Espresso,,False,69,"Name: 73 & Baker
link: https://www.google.com/maps/search/73+%26+Baker/@-27.2288644,153.11533290000003?authuser=0&hl=en&entry=ttu
Reviews: 142 reviews

Name: Coffee Rounds Cafe
link: https://www.google.com/maps/search/Coffee+Rounds+Cafe/@-27.2297798,153.1048509?authuser=0&hl=en&entry=ttu
Reviews: 47 reviews

Name: Boneyard Records & Relics
link: https://www.google.com/maps/search/Boneyard+Records+%26+Relics/@-27.2307508,153.1160745?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews",http://boneyardespresso.com/,The Boneyard Espresso (Owner),https://www.google.com/maps/contrib/111587472265332076131,https://lh5.googleusercontent.com/p/AF1QipNVJy0WfYS775MoEu0OPPKPwe4Lv2mfYxGlZJ4=w408-h306-k-no,Coffee store,Coffee store,4.7,5:30 AM-2 PM,Open All Days,+61 413 442 321,"The Boneyard Espresso, 1-13 Redcliffe Parade, Redcliffe QLD 4020, Australia","price, chai latte, atmosphere, vinyl records, donut",https://www.google.com/maps/place/The+Boneyard+Espresso/data=!4m7!3m6!1s0x6b93e79d68a26299:0x383370379f68eaeb!8m2!3d-27.2308906!4d153.1159029!16s%2Fg%2F11pwpb8v7c!19sChIJmWKiaJ3nk2sR6-ponzdwMzg?authuser=0&hl=en&rclk=1
