place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJq3dOU-4NGDkRn6-XXnsAc5c,MDee's RK,,False,627,"Name: Pizza online Renala khurd
link: https://www.google.com/maps/search/Pizza+online+Renala+khurd/@30.876402,73.59266989999999?authuser=0&hl=nl&entry=ttu
Reviews: 327 reviews

Name: Chicken House
link: https://www.google.com/maps/search/Chicken+House/@30.877979500000002,73.5913755?authuser=0&hl=nl&entry=ttu
Reviews: 273 reviews

Name: Pizza Guru Renala Khurd
link: https://www.google.com/maps/search/Pizza+Guru+Renala+Khurd/@30.876338699999998,73.59273689999999?authuser=0&hl=nl&entry=ttu
Reviews: 84 reviews

Name: Taste Valley Renala khurd
link: https://www.google.com/maps/search/Taste+Valley+Renala+khurd/@30.8764993,73.5922968?authuser=0&hl=nl&entry=ttu
Reviews: 22 reviews

Name: Deen Grill
link: https://www.google.com/maps/search/Deen+Grill/@30.8769848,73.5921456?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",https://mdeesrk.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,MDee's RK (eigenaar),https://www.google.com/maps/contrib/114203684240922612934,https://lh5.googleusercontent.com/p/AF1QipOi1pA9f32SneuBSM1jjnbba1_jjciedChS6sd8=w408-h271-k-no,Snackbar,"Snackbar, Koffiebar, Familierestaurant, Afhaalpizza, Restaurant",4.5,10:00-02:30,Open All Days,+92 311 0000748,"MDee's RK, Renala Khurd Rd, Renala Khurd, Okara, Punjab 56130, Pakistan","natuurlijke omgeving, levering, prijs",https://www.google.com/maps/place/MDee%27s+RK/data=!4m7!3m6!1s0x39180dee534e77ab:0x9773007b5e97af9f!8m2!3d30.8757066!4d73.5931443!16s%2Fg%2F11lgvt861j!19sChIJq3dOU-4NGDkRn6-XXnsAc5c?authuser=0&hl=nl&rclk=1
ChIJE80Tx1oMGDkRW5u7-fGo9r0,Hjy nn shp haji naan shop,,False,12,"Name: Haq Baho Naan Shop
link: https://www.google.com/maps/search/Haq+Baho+Naan+Shop/@30.874571900000003,73.5924252?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: AllahRakha karyana store Panjab ehssas rashn 23D
link: https://www.google.com/maps/search/AllahRakha+karyana+store+Panjab+ehssas+rashn+23D/@30.802955400000002,73.7406103?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Data Hajveri Nashta And Nan Shop
link: https://www.google.com/maps/search/Data+Hajveri+Nashta+And+Nan+Shop/@30.8737009,73.5930266?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Ali khan naan shop
link: https://www.google.com/maps/search/Ali+khan+naan+shop/@30.874001499999995,73.5934646?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Baba Rahmat Ali Naan Shop Main branch
link: https://www.google.com/maps/search/Baba+Rahmat+Ali+Naan+Shop+Main+branch/@30.9233607,73.68452359999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://haji-naan-shop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Hjy nn shp haji naan shop (eigenaar),https://www.google.com/maps/contrib/109190117327199536793,https://lh5.googleusercontent.com/p/AF1QipN8v3PWAesvy4kvscl9Q5NlShKs3mCBavCbWCVO=w408-h282-k-no,Winkel voor hotelartikelen,"Winkel voor hotelartikelen, Hotel",4.3,,Open All Days,+92 302 4923100,"Hjy nn shp haji naan shop, Sabzi Mandi Road, Gushan e Ishaq Colony Renala Khurd, Okara, Punjab, Pakistan",,https://www.google.com/maps/place/%D8%AD%D8%A7%D8%AC%DB%8C+%D9%86%D8%A7%D9%86+%D8%B4%D8%A7%D9%BE+haji+naan+shop%E2%80%AD/data=!4m7!3m6!1s0x39180c5ac713cd13:0xbdf6a8f1f9bb9b5b!8m2!3d30.8776009!4d73.5932742!16s%2Fg%2F11f3g5p4j_!19sChIJE80Tx1oMGDkRW5u7-fGo9r0?authuser=0&hl=nl&rclk=1
ChIJEcGHROsNGDkR0eRYviANByI,Honey Cafe,,False,7,"Name: Chicken House
link: https://www.google.com/maps/search/Chicken+House/@30.877979500000002,73.5913755?authuser=0&hl=nl&entry=ttu
Reviews: 273 reviews

Name: Zam Zam Cafe
link: https://www.google.com/maps/search/Zam+Zam+Cafe/@30.8763125,73.59293749999999?authuser=0&hl=nl&entry=ttu
Reviews: 21 reviews

Name: A .H Restaurant main G.T road Renala Khurd
link: https://www.google.com/maps/search/A+.H+Restaurant+main+G.T+road+Renala+Khurd/@30.8771798,73.5953124?authuser=0&hl=nl&entry=ttu
Reviews: 18 reviews

Name: Shani Cafe
link: https://www.google.com/maps/search/Shani+Cafe/@30.863678600000004,73.59499579999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Renala Cafeteria
link: https://www.google.com/maps/search/Renala+Cafeteria/@30.875748,73.59849299999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",http://www.instagram.com/honeycafeofficial,Honey Cafe (eigenaar),https://www.google.com/maps/contrib/109527978824809679554,https://lh5.googleusercontent.com/p/AF1QipNvApA2VBi0LT4PSBhRpKKKfylCaAlWTBB-wsie=w408-h544-k-no,Restaurant,"Restaurant, Koffiebar, Snackbar",5,24 uur geopend,Open All Days,+92 317 7516529,"Honey Cafe, near Ahmad Hospital at Rai town, Renala Khurd, Okara, Punjab 56130, Pakistan",,https://www.google.com/maps/place/Honey+Cafe/data=!4m7!3m6!1s0x39180deb4487c111:0x22070d20be58e4d1!8m2!3d30.8739598!4d73.5890441!16s%2Fg%2F11pf5p8sb0!19sChIJEcGHROsNGDkR0eRYviANByI?authuser=0&hl=nl&rclk=1
ChIJiRaj1loMGDkRoVqtMhrq-M4,Deen Sweets,,False,243,"Name: Habib Sweets & Bakers
link: https://www.google.com/maps/search/Habib+Sweets+%26+Bakers/@30.877599299999996,73.59679129999999?authuser=0&hl=nl&entry=ttu
Reviews: 107 reviews

Name: Punjab Sweets and Bakers
link: https://www.google.com/maps/search/Punjab+Sweets+and+Bakers/@30.868937499999998,73.5993125?authuser=0&hl=nl&entry=ttu
Reviews: 41 reviews

Name: Punjab sweet bakeri
link: https://www.google.com/maps/search/Punjab+sweet+bakeri/@30.8737584,73.5930106?authuser=0&hl=nl&entry=ttu
Reviews: 19 reviews

Name: Deen sweets
link: https://www.google.com/maps/search/Deen+sweets/@30.8670561,73.6021095?authuser=0&hl=nl&entry=ttu
Reviews: 11 reviews

Name: Deen Grill
link: https://www.google.com/maps/search/Deen+Grill/@30.8769848,73.5921456?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Deen Sweets (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPsKiWJkQ4iac9HbOdLZSqexD-2PfD9oVrEpPoq=w408-h306-k-no,Cafe,Cafe,4.1,07:00-02:00,Open All Days,+92 300 2084046,"VHGR+PVR Deen Sweets, Renala Khurd, Okara, Punjab, Pakistan","taart, puri, burger",https://www.google.com/maps/place/Deen+Sweets/data=!4m7!3m6!1s0x39180c5ad6a31689:0xcef8ea1a32ad5aa1!8m2!3d30.8768738!4d73.5921418!16s%2Fg%2F11c2pv0nxm!19sChIJiRaj1loMGDkRoVqtMhrq-M4?authuser=0&hl=nl&rclk=1
ChIJsyHTxF0NGDkRZiSyIcUHtBA,Punjab Sweets and Bakers,,False,41,"Name: Habib Sweets & Bakers
link: https://www.google.com/maps/search/Habib+Sweets+%26+Bakers/@30.877599299999996,73.59679129999999?authuser=0&hl=nl&entry=ttu
Reviews: 107 reviews

Name: Punjab sweet bakeri
link: https://www.google.com/maps/search/Punjab+sweet+bakeri/@30.8737584,73.5930106?authuser=0&hl=nl&entry=ttu
Reviews: 19 reviews

Name: Deen sweets
link: https://www.google.com/maps/search/Deen+sweets/@30.8670561,73.6021095?authuser=0&hl=nl&entry=ttu
Reviews: 11 reviews

Name: Al Hamd Sweet & Bakers
link: https://www.google.com/maps/search/Al+Hamd+Sweet+%26+Bakers/@30.8790025,73.5938615?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: Pakeeza Sweets
link: https://www.google.com/maps/search/Pakeeza+Sweets/@30.87462,73.5932309?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews",,Punjab Sweets and Bakers (eigenaar),https://www.google.com/maps/contrib/117378447037028264223,https://lh5.googleusercontent.com/p/AF1QipP22hwjmqQe_7yWhSI_ga2SSb2zC6JWM8PXHPs_=w408-h544-k-no,Bakkerij,Bakkerij,3.9,07:00-22:00,Open All Days,,"Punjab Sweets and Bakers, Shoakat Abad Mor, Renala Khurd, Okara, Punjab 56150, Pakistan",,https://www.google.com/maps/place/Punjab+Sweets+and+Bakers/data=!4m7!3m6!1s0x39180d5dc4d321b3:0x10b407c521b22466!8m2!3d30.8689375!4d73.5993125!16s%2Fg%2F11nlcrcms1!19sChIJsyHTxF0NGDkRZiSyIcUHtBA?authuser=0&hl=nl&rclk=1
ChIJo_0SNkUMGDkRqtU-_Xu4L8E,Zam Zam Cafe,,False,21,"Name: Zam Zam Gril fish
link: https://www.google.com/maps/search/Zam+Zam+Gril+fish/@30.8109608,73.4488646?authuser=0&hl=nl&entry=ttu
Reviews: 53 reviews

Name: ZAIQA Restaurant & GRILL Point
link: https://www.google.com/maps/search/ZAIQA+Restaurant+%26+GRILL+Point/@30.877582699999998,73.595266?authuser=0&hl=nl&entry=ttu
Reviews: 11 reviews

Name: Honey Cafe
link: https://www.google.com/maps/search/Honey+Cafe/@30.873959799999994,73.5890441?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Chai qawwali
link: https://www.google.com/maps/search/Chai+qawwali/@30.876275599999996,73.5927876?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Shani Cafe
link: https://www.google.com/maps/search/Shani+Cafe/@30.863678600000004,73.59499579999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews",,Zam Zam Cafe (eigenaar),https://www.google.com/maps/contrib/110436723714690530457,https://lh5.googleusercontent.com/p/AF1QipOPQRIY9weNCccw9nlW_L9Cqm3oE5AlUkrdLkOI=w408-h544-k-no,Cafe,Cafe,3.9,09:00-00:00,Open All Days,+92 301 7313124,"Zam Zam Cafe, Zam zam Cafe, Renala Khurd, Okara, Punjab 56130, Pakistan",,https://www.google.com/maps/place/Zam+Zam+Cafe/data=!4m7!3m6!1s0x39180c453612fda3:0xc12fb87bfd3ed5aa!8m2!3d30.8763125!4d73.5929375!16s%2Fg%2F11hd70f5j_!19sChIJo_0SNkUMGDkRqtU-_Xu4L8E?authuser=0&hl=nl&rclk=1
ChIJ1XNGBUQNGDkRYzXXLWaEvLw,A .H Restaurant main G.T road Renala Khurd,,False,18,"Name: Food Garden
link: https://www.google.com/maps/search/Food+Garden/@30.8731595,73.58461620000001?authuser=0&hl=nl&entry=ttu
Reviews: 605 reviews

Name: Chicken House
link: https://www.google.com/maps/search/Chicken+House/@30.877979500000002,73.5913755?authuser=0&hl=nl&entry=ttu
Reviews: 273 reviews

Name: H
link: https://www.google.com/maps/search/H/@30.877510899999994,73.6111483?authuser=0&hl=nl&entry=ttu
Reviews: 47 reviews

Name: Food pizzeria cafe
link: https://www.google.com/maps/search/Food+pizzeria+cafe/@30.8733776,73.58458019999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,A .H Restaurant main G.T road Renala Khurd (eigenaar),https://www.google.com/maps/contrib/106300700533992765012,https://lh5.googleusercontent.com/p/AF1QipMRHgmI8oj4wIac6C9GpK9a9ukGNEuIdWZfprgQ=w408-h544-k-no,Restaurant,Restaurant,4.1,06:00-00:30,Open All Days,+92 303 4397740,"A .H Restaurant main G.T road Renala Khurd, Main G.T road, Renala Khurd, Okara, Punjab 56150, Pakistan",,https://www.google.com/maps/place/A+.H+Restaurant+main+G.T+road+Renala+Khurd/data=!4m7!3m6!1s0x39180d44054673d5:0xbcbc84662dd73563!8m2!3d30.8771798!4d73.5953124!16s%2Fg%2F11mv9xsjpm!19sChIJ1XNGBUQNGDkRYzXXLWaEvLw?authuser=0&hl=nl&rclk=1
ChIJW8E8mo0NGDkRce20Claiook,Pizza Club 29,,False,11,"Name: Pizza online Renala khurd
link: https://www.google.com/maps/search/Pizza+online+Renala+khurd/@30.876402,73.59266989999999?authuser=0&hl=nl&entry=ttu
Reviews: 327 reviews

Name: High Point Pizza Club
link: https://www.google.com/maps/search/High+Point+Pizza+Club/@31.0294499,73.5426495?authuser=0&hl=nl&entry=ttu
Reviews: 10 reviews

Name: AB pizza House & mart
link: https://www.google.com/maps/search/AB+pizza+House+%26+mart/@30.886187399999997,73.6130397?authuser=0&hl=nl&entry=ttu
Reviews: 9 reviews

Name: Food pizzeria cafe
link: https://www.google.com/maps/search/Food+pizzeria+cafe/@30.8733776,73.58458019999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Pizza Club 29 (eigenaar),https://www.google.com/maps/contrib/106048389404038694436,https://lh5.googleusercontent.com/p/AF1QipNaTTD7j8ovmdaWIm8bA8lPlEmaRe-vf1HUzEPE=w408-h306-k-no,Snackbar,Snackbar,3.8,11:00-01:00,Open All Days,+92 342 4935292,"Pizza Club 29, Near Skyways bus stand Lahore, bypass, Renala, Khurd, Okara, 56150, Pakistan",,https://www.google.com/maps/place/Pizza+Club+29/data=!4m7!3m6!1s0x39180d8d9a3cc15b:0x89a2a2560ab4ed71!8m2!3d30.884946!4d73.6124643!16s%2Fg%2F11tjnnc4xg!19sChIJW8E8mo0NGDkRce20Claiook?authuser=0&hl=nl&rclk=1
ChIJN_h2EdUNGDkR1VDwz3K33ow,Food Mama Welcome Road Renala Khurd,,False,10,"Name: Food Garden
link: https://www.google.com/maps/search/Food+Garden/@30.8731595,73.58461620000001?authuser=0&hl=nl&entry=ttu
Reviews: 605 reviews

Name: UMAIR KARYANA, MALIK SHAFIQ AWAN
link: https://www.google.com/maps/search/UMAIR+KARYANA%2C+MALIK+SHAFIQ+AWAN/@30.877434500000003,73.59640499999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Food pizzeria cafe
link: https://www.google.com/maps/search/Food+pizzeria+cafe/@30.8733776,73.58458019999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Chudri Asad bhi renala food mama
link: https://www.google.com/maps/search/Chudri+Asad+bhi+renala+food+mama/@30.876082099999994,73.5930096?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Kashif Tuck Shop
link: https://www.google.com/maps/search/Kashif+Tuck+Shop/@30.879889,73.6130386?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Food Mama Welcome Road Renala Khurd (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPDUpK2CT3fnJM_FYbTbXjc82YVhtTOBqabOHW1=w408-h544-k-no,Koffiebar,Koffiebar,3.8,24 uur geopend,Open All Days,,"VHGV+C9H Food Mama Welcome Road Renala Khurd, Welcome Road, Gushan e Ishaq Colony Renala Khurd, Okara, Punjab, Pakistan",,https://www.google.com/maps/place/Food+Mama+Welcome+Road+Renala+Khurd/data=!4m7!3m6!1s0x39180dd51176f837:0x8cdeb772cff050d5!8m2!3d30.8760602!4d73.593478!16s%2Fg%2F11n5_khcxl!19sChIJN_h2EdUNGDkR1VDwz3K33ow?authuser=0&hl=nl&rclk=1
ChIJX56XCMgNGDkRhSqGUR-cdzw,Chai qawwali,,False,7,"Name: Iqbal Tea Stall
link: https://www.google.com/maps/search/Iqbal+Tea+Stall/@30.809452200000003,73.4390901?authuser=0&hl=nl&entry=ttu
Reviews: 62 reviews

Name: Zam Zam Cafe
link: https://www.google.com/maps/search/Zam+Zam+Cafe/@30.8763125,73.59293749999999?authuser=0&hl=nl&entry=ttu
Reviews: 21 reviews

Name: UMAIR KARYANA, MALIK SHAFIQ AWAN
link: https://www.google.com/maps/search/UMAIR+KARYANA%2C+MALIK+SHAFIQ+AWAN/@30.877434500000003,73.59640499999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Jalal tea stall and resturant
link: https://www.google.com/maps/search/Jalal+tea+stall+and+resturant/@30.946646100000002,73.6049912?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Chai qawwali (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPtEjM9mHLvH3AVDp0InF3JwS7R1aHRc_P99NJU=w519-h240-k-no,Theemarkt,Theemarkt,3.9,,Open All Days,,"Chai qawwali, Zam Zam Cafe, Renala Khurd, Okara, Punjab, Pakistan",,https://www.google.com/maps/place/Chai+qawwali/data=!4m7!3m6!1s0x39180dc808979e5f:0x3c779c1f51862a85!8m2!3d30.8762756!4d73.5927876!16s%2Fg%2F11j95gpxm1!19sChIJX56XCMgNGDkRhSqGUR-cdzw?authuser=0&hl=nl&rclk=1
