place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVWmUsVL5tr0RbPsCQDyuclg,"Heladeria ""Tito""",,False,2929,"Name: Heladeria ""Massera""
link: https://www.google.com/maps/search/Heladeria+%22Massera%22/@-51.617477199999996,-69.2244694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 644 reviews

Name: Helados Tito Zona Franca
link: https://www.google.com/maps/search/Helados+Tito+Zona+Franca/@-51.7048633,-69.2501606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: ""SeiTu"" Helados
link: https://www.google.com/maps/search/%22SeiTu%22+Helados/@-51.6178264,-69.2229487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 309 reviews

Name: Heladeria ""Aloha""
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Aloha%22/@-51.624481599999996,-69.2205336?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.heladostito.com.ar/,"Heladeria ""Tito"" (Ye Zhu )",https://www.google.com/maps/contrib/115380130386436898459,https://lh5.googleusercontent.com/p/AF1QipOvsdb0T6SNWmkyr5WnCv38m7Ve6Qy-VkRWd3hp=w408-h322-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,09:00-01:00,Open All Days,+54 2966 43-3054,"Heladeria ""Tito"", Zapiola 595, Z9400BCK Rio Gallegos, Santa Cruz, A Gen Ting ","Fu You , Chan Pin , Shou Gong , Jiao Tang Niu Nai , Qing Jie , Tu Si , Jing Zheng , Leng ",https://www.google.com/maps/place/Helader%C3%ADa+%22Tito%22/data=!4m7!3m6!1s0xbdb6f952b1946955:0x5872ae3c4002fb6c!8m2!3d-51.6184801!4d-69.2245249!16s%2Fg%2F1q62fp1xy!19sChIJVWmUsVL5tr0RbPsCQDyuclg?authuser=0&hl=zh-TW&rclk=1
ChIJF0Mq5gr8tr0RH8d-jLo5ipk,"Estacion de Servicios ""YPF""",,False,2786,"Name: YPF San Cristobal Zapiola y Entre Rios
link: https://www.google.com/maps/search/YPF+San+Crist%C3%B3bal+Zapiola+y+Entre+R%C3%ADos/@-51.619260399999995,-69.22385539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 909 reviews

Name: YPF ACA - Rio Gallegos
link: https://www.google.com/maps/search/YPF+ACA+-+Rio+Gallegos/@-51.6170656,-69.209068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: YPF
link: https://www.google.com/maps/search/YPF/@-51.633756999999996,-69.212481?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: AXION energy
link: https://www.google.com/maps/search/AXION+energy/@-51.6265084,-69.2478742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 169 reviews

Name: Sindicato de Petroleo Gas y Bio Combustibles Cuenca Austral Sta Cruz
link: https://www.google.com/maps/search/Sindicato+de+Petroleo+Gas+y+Bio+Combustibles+Cuenca+Austral+Sta+Cruz/@-51.638258799999996,-69.2287266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/YPFSanCristobal,"Estacion de Servicios ""YPF"" (Ye Zhu )",https://www.google.com/maps/contrib/105458624817194720484,https://lh5.googleusercontent.com/p/AF1QipNy2o1eVHhnuJW-aSyMzm16O-CLVyVmkH1zmya0=w630-h240-k-no,You Zhan ,"You Zhan , Fu Zhuang Dian , Yao Fang , Han Bao Can Ting ",4.3,24 Xiao Shi Ying Ye ,Open All Days,+54 2966 44-2084,"Estacion de Servicios ""YPF"", Ruta Nac No 3 y, Alberto J. Bark, Z9400 Rio Gallegos, Santa Cruz, A Gen Ting ","Lin Yu Jian , Ting Che Chang , Lu Xing , Sha Tan , wifi, Guo Jia ",https://www.google.com/maps/place/Estacion+de+Servicios+%22YPF%22/data=!4m7!3m6!1s0xbdb6fc0ae62a4317:0x998a39ba8c7ec71f!8m2!3d-51.6222816!4d-69.2599758!16s%2Fg%2F11c0s8jn61!19sChIJF0Mq5gr8tr0RH8d-jLo5ipk?authuser=0&hl=zh-TW&rclk=1
ChIJ0YwueVH5tr0RqkwflHtg4Eo,Cafe Martinez,,False,2778,"Name: La Marta Wine
link: https://www.google.com/maps/search/La+Marta+Wine/@-51.6182987,-69.20969459999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 844 reviews

Name: Matamora
link: https://www.google.com/maps/search/Matamora/@-51.627796499999995,-69.2244327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Hotel Comercio - Cafeteria
link: https://www.google.com/maps/search/Hotel+Comercio+-+Cafeteria/@-51.6189238,-69.22133579999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Something Cafe
link: https://www.google.com/maps/search/Something+Cafe/@-51.6171252,-69.2228913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Electromecanica Martinez
link: https://www.google.com/maps/search/Electromec%C3%A1nica+Mart%C3%ADnez/@-51.623579799999995,-69.2604796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cafemartinez.com/,Cafe Martinez (Ye Zhu ),https://www.google.com/maps/contrib/109026848473530913618,https://lh5.googleusercontent.com/p/AF1QipMc4KEEQhigk1JcM13tKZnv96fEzVxexw_4katE=w408-h541-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,08:00-22:00,Open All Days,+54 2966 42-0446,"Cafe Martinez, Av. Jose de San Martin 669, Rio Gallegos, Santa Cruz, A Gen Ting ","Fu You , Huan Jing , Xin , Can , Huo Tui ",https://www.google.com/maps/place/Cafe+Martinez/data=!4m7!3m6!1s0xbdb6f951792e8cd1:0x4ae0607b941f4caa!8m2!3d-51.6220644!4d-69.2158957!16s%2Fg%2F11bw5tyrwq!19sChIJ0YwueVH5tr0RqkwflHtg4Eo?authuser=0&hl=zh-TW&rclk=1
ChIJRdNn_ez7tr0RWNJT2bmQWBE,Grido Helados,,False,1063,"Name: Heladeria ""Massera""
link: https://www.google.com/maps/search/Heladeria+%22Massera%22/@-51.617477199999996,-69.2244694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 644 reviews

Name: Heladeria Tentacion
link: https://www.google.com/maps/search/Heladeria+Tentaci%C3%B3n/@-51.636134899999995,-69.2282625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: ""SeiTu"" Helados
link: https://www.google.com/maps/search/%22SeiTu%22+Helados/@-51.6178264,-69.2229487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 309 reviews

Name: Heladeria ""Tentacion"" Casa Central
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Tentaci%C3%B3n%22+Casa+Central/@-51.618089999999995,-69.22317140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: La Heladeria
link: https://www.google.com/maps/search/La+Helader%C3%ADa/@-51.6490508,-69.2835848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://www.gridohelado.com.ar/,Grido Helados (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPBYMZ4ByeWQP8h0-9xFsT_XWJGD32SqwgP4kHe=w533-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.2,12:00-01:00,Open All Days,,"Grido Helados, Escritor Hector Rodolfo Pena 730, Rio Gallegos, Santa Cruz, A Gen Ting ","Jia Ge , Fu You , Chan Pin , Kou Wei , Jing Ji , Wu , Qing Jie , Pi Sa , Zhi Fu ",https://www.google.com/maps/place/Grido+Helados/data=!4m7!3m6!1s0xbdb6fbecfd67d345:0x115890b9d953d258!8m2!3d-51.6360216!4d-69.2484803!16s%2Fg%2F11cjp5k0yb!19sChIJRdNn_ez7tr0RWNJT2bmQWBE?authuser=0&hl=zh-TW&rclk=1
ChIJ-cdkqVX5tr0RGvR0f-n4PLQ,Candyco,,False,806,"Name: ZOCO
link: https://www.google.com/maps/search/ZOCO/@-51.619050699999995,-69.21803129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 597 reviews

Name: Chocolate Cotillon y Reposteria
link: https://www.google.com/maps/search/Chocolate+Cotill%C3%B3n+y+Reposter%C3%ADa/@-51.616215399999994,-69.2308496?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Distribuidora Copacho
link: https://www.google.com/maps/search/Distribuidora+Copacho/@-51.6212545,-69.2246514?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: CandyCo
link: https://www.google.com/maps/search/CandyCo/@-51.6202901,-69.2174618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Dulceslulipop
link: https://www.google.com/maps/search/Dulceslulipop/@-51.6169212,-69.2217229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://www.candyco.com.ar/,Candyco (Ye Zhu ),https://www.google.com/maps/contrib/106464245834330843081,https://lh5.googleusercontent.com/p/AF1QipM7q4PLSnrGHQPY75ERketN96iabHWIwN4VD1a5=w408-h384-k-no,Li Pin Dian ,"Li Pin Dian , Jia Ju Yong Pin Dian ",4.6,"10:30-12:30, 15:00-20:00",Xing Qi Ri ,,"Candyco, ITE, Entre Rios 299, Z9400 Rio Gallegos, Santa Cruz, A Gen Ting ","Jia Ge , Wu Zhang Ai , Jia , Sheng Yi , You Hui , Chu Fang , Ting Che Chang , She Ji ",https://www.google.com/maps/place/Candyco/data=!4m7!3m6!1s0xbdb6f955a964c7f9:0xb43cf8e97f74f41a!8m2!3d-51.6208073!4d-69.2256255!16s%2Fg%2F11bxdtjf3c!19sChIJ-cdkqVX5tr0RGvR0f-n4PLQ?authuser=0&hl=zh-TW&rclk=1
ChIJD7_Sv-b7tr0RONT8s3V5tTE,Heladeria Tentacion,,False,518,"Name: Grido Helados
link: https://www.google.com/maps/search/Grido+Helados/@-51.6360216,-69.2484803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1063 reviews

Name: Heladeria ""Massera""
link: https://www.google.com/maps/search/Heladeria+%22Massera%22/@-51.617477199999996,-69.2244694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 644 reviews

Name: ""SeiTu"" Helados
link: https://www.google.com/maps/search/%22SeiTu%22+Helados/@-51.6178264,-69.2229487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 309 reviews

Name: Heladeria ""Tentacion"" Casa Central
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Tentaci%C3%B3n%22+Casa+Central/@-51.618089999999995,-69.22317140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: La Heladeria
link: https://www.google.com/maps/search/La+Helader%C3%ADa/@-51.6490508,-69.2835848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://www.pedimosfacil.com/Tentacion,Heladeria Tentacion (Ye Zhu ),https://www.google.com/maps/contrib/113493855491892146681,https://lh5.googleusercontent.com/p/AF1QipPbt4NVsPPCK5tA4s1y6y41hxfk3uFO7F9WFKE=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,12:00-00:30,Open All Days,+54 2966 42-1615,"Heladeria Tentacion, Islas Malvinas 5, Rio Gallegos, Santa Cruz, A Gen Ting ","Jia Ge , Kou Wei , Chan Pin , Fu You , You Xi , Jia Ting , Ka Pei , Jiao Tang Niu Nai ",https://www.google.com/maps/place/Heladeria+Tentaci%C3%B3n/data=!4m7!3m6!1s0xbdb6fbe6bfd2bf0f:0x31b57975b3fcd438!8m2!3d-51.6361349!4d-69.2282625!16s%2Fg%2F11bx529scj!19sChIJD7_Sv-b7tr0RONT8s3V5tTE?authuser=0&hl=zh-TW&rclk=1
ChIJqyAo5lP5tr0R9qHBDk4pK8E,Lutecia Casa De Te,,False,337,"Name: Cafe Martinez
link: https://www.google.com/maps/search/Cafe+Martinez/@-51.6220644,-69.21589569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2777 reviews

Name: Delicias de la Abuela
link: https://www.google.com/maps/search/Delicias+de+la+Abuela/@-51.622668399999995,-69.2138042?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1418 reviews

Name: 1885 Cafe & Bakery
link: https://www.google.com/maps/search/1885+Caf%C3%A9+%26+Bakery/@-51.6216821,-69.21545429999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 643 reviews

Name: Something Cafe
link: https://www.google.com/maps/search/Something+Cafe/@-51.6171252,-69.2228913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Arte&Latte
link: https://www.google.com/maps/search/Arte%26Latte/@-51.6201878,-69.21874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://m.facebook.com/Lutecia-Casa-de-T%25C3%25A9-Pasteler%25C3%25ADa-1671336573145905/,Lutecia Casa De Te (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM4FachgYGkkjGsLiNW9IDYDlO8EK-PqW6nhqF4=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,4.5,16:00-20:00,Xing Qi Yi ,+54 2966 40-1420,"Lutecia Casa De Te, Av. Kirchner 2990, Rio Gallegos, Santa Cruz, A Gen Ting ","Dan Gao , Chan Pin , Jia Ge , Tian , Kong Jian , Hui Yi , Li Shi ",https://www.google.com/maps/place/Lutecia+Casa+De+Te/data=!4m7!3m6!1s0xbdb6f953e62820ab:0xc12b294e0ec1a1f6!8m2!3d-51.6081555!4d-69.24514!16s%2Fg%2F11c32340n5!19sChIJqyAo5lP5tr0R9qHBDk4pK8E?authuser=0&hl=zh-TW&rclk=1
ChIJu7wcVlP5tr0RK_L6GS0uQuI,"""SeiTu"" Helados",,False,310,"Name: Heladeria ""Tito""
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Tito%22/@-51.6184801,-69.22452489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2925 reviews

Name: Heladeria Tentacion
link: https://www.google.com/maps/search/Heladeria+Tentaci%C3%B3n/@-51.636134899999995,-69.2282625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: Heladeria ""Saboryarte""
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Saboryarte%22/@-51.631614899999995,-69.2022925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Heladeria ""Tentacion"" Casa Central
link: https://www.google.com/maps/search/Helader%C3%ADa+%22Tentaci%C3%B3n%22+Casa+Central/@-51.618089999999995,-69.22317140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Heladeria ""Saboryarte""
link: https://www.google.com/maps/search/Heladeria+%22Saboryarte%22/@-51.6403251,-69.1887796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews",http://seitu.com/,"""SeiTu"" Helados (Ye Zhu )",https://www.google.com/maps/contrib/106874573196685152592,https://lh5.googleusercontent.com/p/AF1QipPQvfkvkm5IAjvi2MGWpFSdNKIowG54GlZ0Mnl-=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.1,12:30-02:00,Open All Days,+54 2966 27-7799,"""SeiTu"" Helados, Av. Pres. Dr. Nestor C. Kirchner 1451, Z9400BBA Rio Gallegos, Santa Cruz, A Gen Ting ","Fu You , Jia Ge , Kou Wei , Chan Pin ",https://www.google.com/maps/place/%22SeiTu%22+Helados/data=!4m7!3m6!1s0xbdb6f953561cbcbb:0xe2422e2d19faf22b!8m2!3d-51.6178264!4d-69.2229487!16s%2Fg%2F11c2pvcb17!19sChIJu7wcVlP5tr0RK_L6GS0uQuI?authuser=0&hl=zh-TW&rclk=1
ChIJ3xCsZ-L7tr0RAWiaRyvGu08,Piu Dolce Cakes,,False,192,"Name: Arte&Fondant Tortas Rio Gallegos
link: https://www.google.com/maps/search/Arte%26Fondant+Tortas+Rio+Gallegos/@-51.6549645,-69.31948000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Un Dulce Cupcake & Bakery
link: https://www.google.com/maps/search/Un+Dulce+Cupcake+%26+Bakery/@-51.6394829,-69.25856619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Pasteleria ""La Dolce Vita""
link: https://www.google.com/maps/search/Pasteler%C3%ADa+%22La+Dolce+Vita%22/@-51.6419679,-69.2468158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Douceur Pasteleria
link: https://www.google.com/maps/search/Douceur+Pasteleria/@-51.6134024,-69.2274426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Dulce travesura
link: https://www.google.com/maps/search/Dulce+travesura/@-51.6194673,-69.2546697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://piu-dolce-pasteleria.negocio.site/%3Fm%3Dtrue,Piu Dolce Cakes (Ye Zhu ),https://www.google.com/maps/contrib/111022674252244055648,https://lh5.googleusercontent.com/p/AF1QipNWi_eoJ2lJAFkJua68mdjbhl-mZ6IkQ4fgcXue=w408-h306-k-no,Gao Bing Dian ,Gao Bing Dian ,4.6,09:30-20:30,Xing Qi Yi ,+54 9 2966 70-8412,"Piu Dolce Cakes, Av. Jujuy 174, Z9400 Rio Gallegos, Santa Cruz, A Gen Ting ","Chan Pin , Jia Ge , Fu You , Ma Qia Long ",https://www.google.com/maps/place/Piu+Dolce+Cakes/data=!4m7!3m6!1s0xbdb6fbe267ac10df:0x4fbbc62b479a6801!8m2!3d-51.6317559!4d-69.2227441!16s%2Fg%2F11g5_fn4sb!19sChIJ3xCsZ-L7tr0RAWiaRyvGu08?authuser=0&hl=zh-TW&rclk=1
ChIJ289990n5tr0RSf3aeAU8G0Y,Verde a Granel,,False,164,"Name: La cocina de Mabel
link: https://www.google.com/maps/search/La+cocina+de+Mabel/@-51.6219331,-69.2134379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Naturalmente desde Chicos
link: https://www.google.com/maps/search/Naturalmente+desde+Chicos/@-51.623433999999996,-69.2115017?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Tienda naturista ""Ayoka""
link: https://www.google.com/maps/search/Tienda+naturista+%22Ayoka%22/@-51.6174101,-69.2170435?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Frutas y Verduras ""La Comarca""
link: https://www.google.com/maps/search/Frutas+y+Verduras+%22La+Comarca%22/@-51.641057800000006,-69.2193801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://verdeagranel.mitiendanube.com/,Verde a Granel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPLVqDHwMhLsHR3lZjYqf40ky_Q5tBWVLLZSdh8=w408-h544-k-no,Tian Ran Shi Pin Dian ,Tian Ran Shi Pin Dian ,4.5,09:00-20:00,Xing Qi Ri ,+54 9 2966 63-0668,"Verde a Granel, Alberdi 55, Z9400 Rio Gallegos, Santa Cruz, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/Verde+a+Granel/data=!4m7!3m6!1s0xbdb6f949f77dcfdb:0x461b3c0578dafd49!8m2!3d-51.6202788!4d-69.2146368!16s%2Fg%2F11fm4h1rgg!19sChIJ289990n5tr0RSf3aeAU8G0Y?authuser=0&hl=zh-TW&rclk=1
