place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ752VH4lewUcRq1vrj5403NQ,'t Ijshoorntje,,False,992,"Name: Resto Wald
link: https://www.google.com/maps/search/Resto+Wald/@50.9574692,4.7034968?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Mon Gout
link: https://www.google.com/maps/search/Mon+Gout/@50.939702700000005,4.7366225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Lottelientjes ijshofke
link: https://www.google.com/maps/search/Lottelientjes+ijshofke/@51.0102574,4.862796299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.facebook.com/IJshoorn/,'t Ijshoorntje (Ye Zhu ),https://www.google.com/maps/contrib/117763218137533049217,https://lh5.googleusercontent.com/p/AF1QipN_oobxajWScjj9K9MHIAVODTwcmGfUZgskxrA1=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,14:00-19:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",+32 16 53 99 63,"'t Ijshoorntje, Hellichtstraat 103, 3110 Rotselaar, Bi Li Shi ","Tian Tong , Jia Ge , Ting Che , Jiao Ta Che , Zuo Wei , Yuan Gong , Xuan Ze , Kou Wei ",https://www.google.com/maps/place/%27%27t+Ijshoorntje%27/data=!4m7!3m6!1s0x47c15e891f959def:0xd4dc349e8feb5bab!8m2!3d50.9630466!4d4.7137738!16s%2Fg%2F1tslhwkh!19sChIJ752VH4lewUcRq1vrj5403NQ?authuser=0&hl=zh-TW&rclk=1
ChIJOUQlUdxdwUcRbsVDBEsJxCY,OKay Rotselaar,,False,662,"Name: AD Delhaize Wezemaal
link: https://www.google.com/maps/search/AD+Delhaize+Wezemaal/@50.9470552,4.7496399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 668 reviews

Name: Okay Hoegaarden
link: https://www.google.com/maps/search/Okay+Hoegaarden/@50.779016399999996,4.894012399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: De Natuurwinkel
link: https://www.google.com/maps/search/De+Natuurwinkel/@50.949546399999996,4.7124573?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: A&D
link: https://www.google.com/maps/search/A%26D/@50.9557156,4.7189195999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.okay.be/nl/onze-winkels/Okay-rotselaar,OKay Rotselaar (Ye Zhu ),https://www.google.com/maps/contrib/111513102213980765662,https://lh5.googleusercontent.com/p/AF1QipNghRFQm1nUuD66ooFQ-JgU30M467khWSAUeVIV=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,08:30-19:30,Open All Days,+32 16 64 90 43,"OKay Rotselaar, Stationsstraat 229, 3110 Rotselaar, Bi Li Shi ","Yuan Gong , Jia Ge , Gong Ying , Mian Bao , Pin Zhi , Shou Yin Ji , Di Tu ",https://www.google.com/maps/place/OKay+Rotselaar/data=!4m7!3m6!1s0x47c15ddc51254439:0x26c4094b0443c56e!8m2!3d50.940751!4d4.734598!16s%2Fg%2F1vg_b_nk!19sChIJOUQlUdxdwUcRbsVDBEsJxCY?authuser=0&hl=zh-TW&rclk=1
ChIJ_fitLYFewUcRD3z7gd9Ax1w,Cafetaria Squashcenter De Meander,,False,466,"Name: Brasserie Boeres
link: https://www.google.com/maps/search/Brasserie+Boeres/@50.947727199999996,4.7555523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 757 reviews

Name: Cafe QV
link: https://www.google.com/maps/search/Caf%C3%A9+QV/@50.9489525,4.7570456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 402 reviews

Name: Brasserie Darche
link: https://www.google.com/maps/search/Brasserie+Darche/@50.942862399999996,4.7423908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 368 reviews

Name: Cafe Jerom
link: https://www.google.com/maps/search/Caf%C3%A9+Jerom/@50.9443444,4.7282169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: De Zavelbank
link: https://www.google.com/maps/search/De+Zavelbank/@50.9746254,4.7136264?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews",http://www.meandersquash.be/,Cafetaria Squashcenter De Meander (Ye Zhu ),https://www.google.com/maps/contrib/117922057080770888760,https://lh5.googleusercontent.com/p/AF1QipMexQT3xenJ5wIGB3L3aTBDo3rNFWTQTRwJzETm=w408-h306-k-no,Yun Dong Jiu Ba ,Yun Dong Jiu Ba ,3.9,12:00-00:00,Open All Days,+32 16 44 54 48,"Cafetaria Squashcenter De Meander, Vakenstraat 18, 3110 Rotselaar, Bi Li Shi ","You Le Chang , Yuan Gong , Jian Xing , Jia Ge , Di Tu , Yi Fen , Xia Ding ",https://www.google.com/maps/place/Cafetaria+Squashcenter+De+Meander/data=!4m7!3m6!1s0x47c15e812dadf8fd:0x5cc740df81fb7c0f!8m2!3d50.9618949!4d4.7232933!16s%2Fg%2F1v_s50zt!19sChIJ_fitLYFewUcRD3z7gd9Ax1w?authuser=0&hl=zh-TW&rclk=1
ChIJk_aOF7ddwUcRhIa4ni_G1uw,Cafe QV,,False,402,"Name: Cafe De Zijbeuk
link: https://www.google.com/maps/search/Caf%C3%A9+De+Zijbeuk/@50.951321,4.7098887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: 'T Kaffee RP
link: https://www.google.com/maps/search/%27T+Kaffee+RP/@50.939615599999996,4.736514400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Oud Werchter
link: https://www.google.com/maps/search/Oud+Werchter/@50.970935399999995,4.6933726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Horsven
link: https://www.google.com/maps/search/Horsven/@50.9490312,4.7531075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",http://www.cafeqv.com/,Cafe QV (Ye Zhu ),https://www.google.com/maps/contrib/103096291811647375294,https://lh5.googleusercontent.com/p/AF1QipOG2T4wj5CCQb5nzuYeyZ0n8SlVIWbKVcX7S6TR=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,14:00-00:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San ",+32 477 83 87 51,"Cafe QV, Tussenhagenweg 1, 3111 Rotselaar, Bi Li Shi ","Yuan Gong , Huo Tui , Jian Xing , Xiao Rong ",https://www.google.com/maps/place/Caf%C3%A9+QV/data=!4m7!3m6!1s0x47c15db7178ef693:0xecd6c62f9eb88684!8m2!3d50.9489525!4d4.7570456!16s%2Fg%2F119vl15yd!19sChIJk_aOF7ddwUcRhIa4ni_G1uw?authuser=0&hl=zh-TW&rclk=1
ChIJ64zEj1uFcUERIVA0X5BSk2g,'t Kwetterhof,,False,166,"Name: Turf Cafe
link: https://www.google.com/maps/search/Turf+Caf%C3%A9/@51.0184743,4.7814238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Het Brouwershofke
link: https://www.google.com/maps/search/Het+Brouwershofke/@51.0178304,4.7849106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Het Verschil
link: https://www.google.com/maps/search/Het+Verschil/@50.985439199999995,4.7830658999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews",https://www.facebook.com/kwetterhof,'t Kwetterhof (Ye Zhu ),https://www.google.com/maps/contrib/107669535983131198867,https://lh5.googleusercontent.com/p/AF1QipOHCoscJ78h8PMsgLDTQicK7o5SCljYWFi5ZpEn=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,13:00-01:00,Xing Qi Yi ,+32 16 53 06 47,"'t Kwetterhof, Willekenslaan 101, 3130 Begijnendijk, Bi Li Shi ","Yi Fen , Pi Jiu ",https://www.google.com/maps/place/%27%27t+Kwetterhof%27/data=!4m7!3m6!1s0x4171855b8fc48ceb:0x689352905f345021!8m2!3d51.0013479!4d4.7790532!16s%2Fg%2F11b6t3g321!19sChIJ64zEj1uFcUERIVA0X5BSk2g?authuser=0&hl=zh-TW&rclk=1
ChIJx7HqgeBgwUcR652Dk4ZNXe8,'t Werrek,,False,161,"Name: Bistro Mariette
link: https://www.google.com/maps/search/Bistro+Mariette/@50.9257093,4.7111646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 276 reviews

Name: De Weerelt
link: https://www.google.com/maps/search/De+Weerelt/@50.8782595,4.6992972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Cafe Afrit 20
link: https://www.google.com/maps/search/Caf%C3%A9+Afrit+20/@50.9106027,4.7137635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Q-Snack
link: https://www.google.com/maps/search/Q-Snack/@50.9213555,4.7002983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",https://www.werrek.be/,'t Werrek (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPZ94J3GtRqWkY7ehlSzTeyJONzJ2yqXk4K_jgT=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,14:30-01:00,Open All Days,+32 16 44 07 15,"'t Werrek, Sint-Hadrianusstraat 1, 3018 Leuven, Bi Li Shi ",Pi Jiu ,https://www.google.com/maps/place/%27%27t+Werrek%27/data=!4m7!3m6!1s0x47c160e081eab1c7:0xef5d4d8693839deb!8m2!3d50.9263556!4d4.7020694!16s%2Fg%2F1tg2jttk!19sChIJx7HqgeBgwUcR652Dk4ZNXe8?authuser=0&hl=zh-TW&rclk=1
ChIJ63_74M5ewUcRr0nVeItToYg,Coconuts,,False,140,"Name: Elmiki
link: https://www.google.com/maps/search/Elmiki/@50.9929747,4.7026742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 600 reviews

Name: Het Raadshuis
link: https://www.google.com/maps/search/Het+Raadshuis/@50.990925499999996,4.7035168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 343 reviews

Name: De Wissel
link: https://www.google.com/maps/search/De+Wissel/@50.9730705,4.7006879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Cafe-Feestzaal Paloma
link: https://www.google.com/maps/search/Caf%C3%A9-Feestzaal+Paloma/@50.992748399999996,4.7059828999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: De Pink
link: https://www.google.com/maps/search/De+Pink/@50.994838099999996,4.7094229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",https://www.opcafegaan.be/tremelo/coconuts,Coconuts (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPXCpNpYyXur5HCfsoxdtRX624kdM9tMAV-fkFY=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,11:00-00:00,Xing Qi Er ,+32 16 53 20 52,"Coconuts, Kruisstraat 51, 3120 Tremelo, Bi Li Shi ",,https://www.google.com/maps/place/Coconuts/data=!4m7!3m6!1s0x47c15ecee0fb7feb:0x88a1538b78d549af!8m2!3d50.9937218!4d4.7013072!16s%2Fg%2F1hc2904mr!19sChIJ63_74M5ewUcRr0nVeItToYg?authuser=0&hl=zh-TW&rclk=1
ChIJr6kq1e1ewUcR_STn67QqyxI,De Glazen Boterham,,False,117,"Name: Cafe 'T Deurp
link: https://www.google.com/maps/search/Caf%C3%A9+%27T+Deurp/@50.970809900000006,4.6933538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: Cafe De Zijbeuk
link: https://www.google.com/maps/search/Caf%C3%A9+De+Zijbeuk/@50.951321,4.7098887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Oud Werchter
link: https://www.google.com/maps/search/Oud+Werchter/@50.970935399999995,4.6933726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: De Wissel
link: https://www.google.com/maps/search/De+Wissel/@50.9730705,4.7006879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: De Zavelbank
link: https://www.google.com/maps/search/De+Zavelbank/@50.9746254,4.7136264?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews",https://www.facebook.com/glazenboterham,De Glazen Boterham (Ye Zhu ),https://www.google.com/maps/contrib/114610156599606980886,https://lh5.googleusercontent.com/p/AF1QipPJcSdNdxTsABNvJhH4RkXMU-3JRzi2WbmW5g3A=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,16:00-01:00,"Xing Qi Er , Xing Qi Ri ",+32 16 53 83 03,"De Glazen Boterham, Sint Jansstraat 89, 3118 Rotselaar, Bi Li Shi ",Pi Jiu ,https://www.google.com/maps/place/De+Glazen+Boterham/data=!4m7!3m6!1s0x47c15eedd52aa9af:0x12cb2ab4ebe724fd!8m2!3d50.972726!4d4.699649!16s%2Fg%2F1pxwjg9sm!19sChIJr6kq1e1ewUcR_STn67QqyxI?authuser=0&hl=zh-TW&rclk=1
ChIJR6yxjmJcwUcR8mgEDdkK5xE,Het Verschil,,False,104,"Name: De Pelgrim
link: https://www.google.com/maps/search/De+Pelgrim/@50.9864372,4.7746892999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 469 reviews

Name: 't Kwetterhof
link: https://www.google.com/maps/search/%27t+Kwetterhof/@51.0013479,4.7790532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Turf Cafe
link: https://www.google.com/maps/search/Turf+Caf%C3%A9/@51.0184743,4.7814238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Taverne Kalessa
link: https://www.google.com/maps/search/Taverne+Kalessa/@50.985439,4.7822203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",https://www.cafehetverschil.be/,Het Verschil (Ye Zhu ),https://www.google.com/maps/contrib/115382420460142847826,https://lh5.googleusercontent.com/p/AF1QipPJ88-QED9iNjq6QnxGfyY1AvLQh-Be9tzlcFdI=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-22:00,Xing Qi Si ,+32 16 26 19 17,"Het Verschil, Corneel, Corn. Vissenaekensplein 25, 3130Bi Li Shi ",Pi Jiu ,https://www.google.com/maps/place/Het+Verschil/data=!4m7!3m6!1s0x47c15c628eb1ac47:0x11e70ad90d0468f2!8m2!3d50.9854392!4d4.7830659!16s%2Fg%2F1hc36xwy0!19sChIJR6yxjmJcwUcR8mgEDdkK5xE?authuser=0&hl=zh-TW&rclk=1
ChIJF33rsGRdwUcRkRV0vXgmlaQ,Klein Byt,,False,99,"Name: Brasserie Boeres
link: https://www.google.com/maps/search/Brasserie+Boeres/@50.947727199999996,4.7555523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 757 reviews

Name: De Piccolo
link: https://www.google.com/maps/search/De+Piccolo/@50.9597286,4.7748911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: 't Heikantje
link: https://www.google.com/maps/search/%27t+Heikantje/@50.964289099999995,4.734011499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Breakpoint
link: https://www.google.com/maps/search/Breakpoint/@50.950367199999995,4.7924155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Horsven
link: https://www.google.com/maps/search/Horsven/@50.9490312,4.7531075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",http://www.kleinbyt.be/,Klein Byt (Ye Zhu ),https://www.google.com/maps/contrib/110407295009437786245,https://lh5.googleusercontent.com/p/AF1QipNqZ2STNkhfoWX4sGQ819HfX2ENpn1CQqJ3IKHg=w426-h240-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Ka Pei Dian , Mei Shi Can Che Dian , Kuai Can Dian ",4.4,12:00-20:30,"Xing Qi San , Xing Qi Si ",+32 16 29 00 29,"Klein Byt, Kerkstraat 18, 3111 Rotselaar, Bi Li Shi ","Yin Liao , Jia Ge ",https://www.google.com/maps/place/Klein+Byt/data=!4m7!3m6!1s0x47c15d64b0eb7d17:0xa4952678bd741591!8m2!3d50.9481516!4d4.7551843!16s%2Fg%2F11gpgk__1l!19sChIJF33rsGRdwUcRkRV0vXgmlaQ?authuser=0&hl=zh-TW&rclk=1
