place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_-Wy9PGHeCERWR0QAV32wmo,Super U,,False,780,"Name: SUPER U Etang-sale
link: https://www.google.com/maps/search/SUPER+U+Etang-sal%C3%A9/@-21.2663178,55.366038599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 532 reviews

Name: Run Market St-Andre
link: https://www.google.com/maps/search/Run+Market+St-Andr%C3%A9/@-20.9599963,55.6582826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 304 reviews

Name: Super U - Beausejour
link: https://www.google.com/maps/search/Super+U+-+Beaus%C3%A9jour/@-20.9208341,55.528884899999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Leader Price
link: https://www.google.com/maps/search/Leader+Price/@-20.962248,55.6592993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: superpolygone Saint-Andre
link: https://www.google.com/maps/search/superpolygone+Saint-Andr%C3%A9/@-20.9572222,55.649906099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.magasins-u.com/magasin/superu-saintandre,Super U (Ye Zhu ),https://www.google.com/maps/contrib/115191026612434584058,https://lh5.googleusercontent.com/p/AF1QipMlvFmuV8As_IAIJ532yOhILeYTkW01ODbkrnYT=w426-h240-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Shu Dian , Qi Che Zu Ren Dai Li , Kuai Di Gong Si , Chao Ji Shi Chang ",3.8,08:00-20:00,"Xing Qi Ri , Xing Qi Yi ",+33 2 62 46 26 74,"Super U, 200 Rue de Lycee, Saint-Andre 97440Liu Ni Wang ","Jia Ge , Ting Che Chang , Shang Chang , Shou Yin , Chang Lang , Di Xia , Che Zhan , set, Shou Fu Ti ",https://www.google.com/maps/place/Super+U/data=!4m7!3m6!1s0x217887f1f4b2e5ff:0x6ac2f65d01101d59!8m2!3d-20.96307!4d55.6517849!16s%2Fg%2F12ml2msdt!19sChIJ_-Wy9PGHeCERWR0QAV32wmo?authuser=0&hl=zh-TW&rclk=1
ChIJd61LQOWHeCERYsC6mz1mVGA,Burger King Saint Andre,"Zhu Ming De Lian Suo Su Shi Dian ,Fan Shou Shao Kao Han Bao , Shu Tiao He Nai Xi . ",False,454,"Name: O'Tacos Saint-Andre
link: https://www.google.com/maps/search/O%E2%80%99Tacos+Saint-Andr%C3%A9/@-20.963209799999998,55.6596049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 991 reviews

Name: ti coin creole
link: https://www.google.com/maps/search/ti+coin+cr%C3%A9ole/@-20.9602152,55.662859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Le Bunker
link: https://www.google.com/maps/search/Le+Bunker/@-20.961838,55.653247099999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Le Keb's
link: https://www.google.com/maps/search/Le+Keb%27s/@-20.9621756,55.652949199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: KING FOOD 974
link: https://www.google.com/maps/search/KING+FOOD+974/@-20.962052,55.652001999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.burgerkingreunion.re/,Burger King Saint Andre (Ye Zhu ),https://www.google.com/maps/contrib/100287382774885971296,https://lh5.googleusercontent.com/p/AF1QipP9VnLbM4oU7tHEj6oDdotHzODBDeCsBLLiKKwO=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Jia Ting Can Ting ",3.4,08:00-00:00,Open All Days,+262 262 31 19 18,"Burger King Saint Andre, 55 Chem. Lefaguyes, Saint-Andre 97440Liu Ni Wang ","De Lai Su , Jia Ge , Xiao Rong , Xiao Hai , Zhi Fu , Yan , Zhuo , Yang Cong ",https://www.google.com/maps/place/Burger+King+Saint+Andr%C3%A9/data=!4m7!3m6!1s0x217887e5404bad77:0x6054663d9bbac062!8m2!3d-20.9627421!4d55.659045!16s%2Fg%2F11h9yqb_h8!19sChIJd61LQOWHeCERYsC6mz1mVGA?authuser=0&hl=zh-TW&rclk=1
ChIJyyiBEZ6HeCERjFxaNoT7S0Y,Run Market St-Andre,,False,304,"Name: Run Market Duparc Sainte-Marie
link: https://www.google.com/maps/search/Run+Market+Duparc+Sainte-Marie/@-20.8999166,55.5176879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 998 reviews

Name: Super U
link: https://www.google.com/maps/search/Super+U/@-20.96307,55.651784899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 780 reviews

Name: Bourbon Fraicheur
link: https://www.google.com/maps/search/Bourbon+Fra%C3%AEcheur/@-20.9607665,55.6601809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 179 reviews

Name: Intersport St Andre de la Reunion
link: https://www.google.com/maps/search/Intersport+St+Andr%C3%A9+de+la+R%C3%A9union/@-20.9617216,55.6600107?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Leader Price
link: https://www.google.com/maps/search/Leader+Price/@-20.962248,55.6592993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.run-market.re/,Run Market St-Andre (Ye Zhu ),https://www.google.com/maps/contrib/116319986119417601294,https://lh5.googleusercontent.com/p/AF1QipNf2ZCttTsn91Ij_M8lBaiL0DV7O8yKIjTJw-cA=w408-h306-k-no,Da Xing Chao Ji Shi Chang ,Da Xing Chao Ji Shi Chang ,3.7,08:30-20:00,Open All Days,+262 262 97 79 74,"Run Market St-Andre, Centre Commercial de, Zone de la Cocoteraie, Saint-Andre 97440Liu Ni Wang ","Jia Ge , Shou Yin , E , Xiao Rong , Xuan Ze , An Quan , Shang Chang , Fu Wu , Shui Guo ",https://www.google.com/maps/place/Run+Market+St-Andr%C3%A9/data=!4m7!3m6!1s0x2178879e118128cb:0x464bfb84365a5c8c!8m2!3d-20.9599963!4d55.6582826!16s%2Fg%2F11jrqhdyyc!19sChIJyyiBEZ6HeCERjFxaNoT7S0Y?authuser=0&hl=zh-TW&rclk=1
ChIJaYdEfO6HeCERiJa6ExTcARc,T.AYAVE Boulangerie - Patisserie - Traiteur - Salon de the,,False,71,"Name: Oh My Bread!
link: https://www.google.com/maps/search/Oh+My+Bread%21/@-20.949706499999998,55.6483969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Boulangerie Patisserie M.Ayave
link: https://www.google.com/maps/search/Boulangerie+P%C3%A2tisserie+M.Ayave/@-20.8991974,55.4915823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Patisserie Boulangerie CHANE-TO Benoit
link: https://www.google.com/maps/search/P%C3%A2tisserie+Boulangerie+CHANE-TO+Beno%C3%AEt/@-20.960735,55.655348499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Boulangerie patisserie Ayave
link: https://www.google.com/maps/search/Boulangerie+p%C3%A2tisserie+Ayave/@-20.8962066,55.4582936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: L.S. AH YAVE
link: https://www.google.com/maps/search/L.S.+AH+YAVE/@-20.971933399999998,55.6471514?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/Boulangerie-P%25C3%25A2tisserie-TAyave-824253011048891,T.AYAVE Boulangerie - Patisserie - Traiteur - Salon de the (Ye Zhu ),https://www.google.com/maps/contrib/103758182813443927560,https://lh5.googleusercontent.com/p/AF1QipN-O3GyveEhZKz9OOJZnZ0ZqLXWauLXnSdCAWL0=w493-h240-k-no,Fa Shi Gao Bing Dian ,"Fa Shi Gao Bing Dian , Mian Bao Xi Bing Dian , Dao Hui Fu Wu ",4,05:00-19:00,Xing Qi Yi ,+262 262 86 69 86,"T.AYAVE Boulangerie - Patisserie - Traiteur - Salon de the, 390 Rue de la Gare, Saint-Andre 97440Liu Ni Wang ","San Ming Zhi , Xuan Ze , Jia Ge ",https://www.google.com/maps/place/T.AYAVE+Boulangerie+-+P%C3%A2tisserie+-+Traiteur+-+Salon+de+th%C3%A9/data=!4m7!3m6!1s0x217887ee7c448769:0x1701dc1413ba9688!8m2!3d-20.9596281!4d55.6532564!16s%2Fg%2F11g72g1ktc!19sChIJaYdEfO6HeCERiJa6ExTcARc?authuser=0&hl=zh-TW&rclk=1
ChIJM-yNq--HeCERgsokxua-xzU,Patisserie Boulangerie CHANE-TO Benoit,,False,64,"Name: Patisserie Gregos
link: https://www.google.com/maps/search/Patisserie+Gr%C3%A9gos/@-20.9319196,55.6439229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: T.AYAVE Boulangerie - Patisserie - Traiteur - Salon de the
link: https://www.google.com/maps/search/T.AYAVE+Boulangerie+-+P%C3%A2tisserie+-+Traiteur+-+Salon+de+th%C3%A9/@-20.9596281,55.6532564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Boulangerie La Porteuse De Pain
link: https://www.google.com/maps/search/Boulangerie+La+Porteuse+De+Pain/@-20.9587611,55.65246570000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Boulangerie Bertrand
link: https://www.google.com/maps/search/Boulangerie+Bertrand/@-20.961029399999997,55.6561368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Harmandises
link: https://www.google.com/maps/search/Harmandises/@-20.965809699999998,55.6635079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://linktr.ee/patisseriechaneto,Patisserie Boulangerie CHANE-TO Benoit (Ye Zhu ),https://www.google.com/maps/contrib/117599531709735156192,https://lh5.googleusercontent.com/p/AF1QipOrXxZxqZr_W57gMUynW54_3s8fzXXP3dM9wTM=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Gao Bing Dian ",4.1,06:00-18:00,Xing Qi Yi ,+262 692 02 84 82,"Patisserie Boulangerie CHANE-TO Benoit, 630 Rue de la Gare, Saint-Andre 97440Liu Ni Wang ",,https://www.google.com/maps/place/P%C3%A2tisserie+Boulangerie+CHANE-TO+Beno%C3%AEt/data=!4m7!3m6!1s0x217887efab8dec33:0x35c7bee6c624ca82!8m2!3d-20.960735!4d55.6553485!16s%2Fg%2F11c1rt7t0m!19sChIJM-yNq--HeCERgsokxua-xzU?authuser=0&hl=zh-TW&rclk=1
ChIJ88ppOn6IeCERmkQzZqkFFz8,La Piece Montee,,False,48,"Name: Oh My Bread!
link: https://www.google.com/maps/search/Oh+My+Bread%21/@-20.949706499999998,55.6483969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: La Case a Pains
link: https://www.google.com/maps/search/La+Case+%C3%A0+Pains/@-20.962172199999998,55.6591367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Patisserie Boulangerie CHANE-TO Benoit
link: https://www.google.com/maps/search/P%C3%A2tisserie+Boulangerie+CHANE-TO+Beno%C3%AEt/@-20.960735,55.655348499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Boulangerie La Porteuse De Pain
link: https://www.google.com/maps/search/Boulangerie+La+Porteuse+De+Pain/@-20.9587611,55.65246570000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Boulangerie de Paris Bertrand
link: https://www.google.com/maps/search/Boulangerie+de+Paris+Bertrand/@-20.939347299999998,55.6469739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://m.facebook.com/lapiecemontee974/%3Flocale2%3Dfr_FR,La Piece Montee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN4XGcJNmzJm468pH324N3G2EARR6MNrrs8QzgZ=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.9,05:30-18:30,Xing Qi San ,+262 262 46 26 03,"La Piece Montee, 335 Chemin Colosse, Saint-Andre 97440Liu Ni Wang ",Zao Can ,https://www.google.com/maps/place/La+Pi%C3%A8ce+Mont%C3%A9e/data=!4m7!3m6!1s0x2178887e3a69caf3:0x3f1705a96633449a!8m2!3d-20.9367434!4d55.6725538!16s%2Fg%2F11dxhdbl71!19sChIJ88ppOn6IeCERmkQzZqkFFz8?authuser=0&hl=zh-TW&rclk=1
ChIJl1001vKHeCERvmuM50ThbQw,Le Keb's,,False,45,"Name: O'Tacos Saint-Andre
link: https://www.google.com/maps/search/O%E2%80%99Tacos+Saint-Andr%C3%A9/@-20.963209799999998,55.6596049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 991 reviews

Name: Kebab Du Koloss
link: https://www.google.com/maps/search/Kebab+Du+Koloss/@-20.9430807,55.6473221?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Le Bunker
link: https://www.google.com/maps/search/Le+Bunker/@-20.961838,55.653247099999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Le Bento Royal
link: https://www.google.com/maps/search/Le+Bento+Royal/@-20.957996899999998,55.6504006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Le bar a sandwich
link: https://www.google.com/maps/search/Le+bar+%C3%A0+sandwich/@-20.972460800000004,55.6520948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/LeKebs974/,Le Keb's (Ye Zhu ),https://www.google.com/maps/contrib/118418824815008650149,https://lh5.googleusercontent.com/p/AF1QipN1bg5JftxuDQcWkgs6P9DgpG-8ssjYr_eKSgk2=w648-h240-k-no,Can Ting ,"Can Ting , Kuai Can Dian , Chuan Shao Kao Rou Dian , San Wen Zhi Dian ",4,08:00-18:00,Xing Qi Ri ,+262 262 37 92 50,"Le Keb's, 91 Centre commercial, Saint-Andre 97440Liu Ni Wang ","Jia Ge , Chuan Shao ",https://www.google.com/maps/place/Le+Keb%27s/data=!4m7!3m6!1s0x217887f2d6345d97:0xc6de144e78c6bbe!8m2!3d-20.9621756!4d55.6529492!16s%2Fg%2F11dyxkf__9!19sChIJl1001vKHeCERvmuM50ThbQw?authuser=0&hl=zh-TW&rclk=1
ChIJa2_Ya359eCER38Cb4x7RDck,Jam Rose,,False,45,"Name: Chez Jo Vaness
link: https://www.google.com/maps/search/Chez+Jo+Vaness/@-20.9699396,55.647173099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Restaurant Le Sanji
link: https://www.google.com/maps/search/Restaurant+Le+Sanji/@-20.9603262,55.6540895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: L'atelier MARTIAL
link: https://www.google.com/maps/search/L%E2%80%99atelier+MARTIAL/@-20.9504438,55.6602063?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://jam-rose.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Jam Rose (Ye Zhu ),https://www.google.com/maps/contrib/116002204352959515778,https://lh5.googleusercontent.com/p/AF1QipNe3O7ij-37Iaf7zt2_U1Xy0mvUjg0limqGRZl5=w408-h306-k-no,Can Ting ,Can Ting ,4.6,09:00-17:00,"Xing Qi Yi , Xing Qi Er ",+262 692 96 22 74,"Jam Rose, 6939 Route de Salazie, Saint-Andre 97440Liu Ni Wang ","Qia La ok, Chi Dao Bao , Zi Ran , Jia Ge ",https://www.google.com/maps/place/Jam+Rose/data=!4m7!3m6!1s0x21787d7e6bd86f6b:0xc90dd11ee39bc0df!8m2!3d-21.0013097!4d55.5873933!16s%2Fg%2F11h_t98s12!19sChIJa2_Ya359eCER38Cb4x7RDck?authuser=0&hl=zh-TW&rclk=1
ChIJl1001vKHeCERgdeC3hJ7YIQ,BISOU pizza family's,,False,39,"Name: Pizzeria aux petits oignons
link: https://www.google.com/maps/search/Pizzeria+aux+petits+oignons/@-20.9326446,55.6474219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Davy Pizza
link: https://www.google.com/maps/search/Davy+Pizza/@-20.939342699999997,55.6469288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: La Kabane a Pizza
link: https://www.google.com/maps/search/La+Kabane+%C3%A0+Pizza/@-20.9402199,55.6475667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: La Box A Pizza
link: https://www.google.com/maps/search/La+Box+A+Pizza/@-20.9616929,55.657498499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Pizza GABINO
link: https://www.google.com/maps/search/Pizza+GABINO/@-20.9534888,55.6716893?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",http://bisou-pizza-familys.business.site/,BISOU pizza family's (Ye Zhu ),https://www.google.com/maps/contrib/115825441880057793477,https://lh5.googleusercontent.com/p/AF1QipM18JRsXcrFTPrGAJdjmh9MqiY7aK5WMjiEhhsv=w408-h306-k-no,Bo Bing Can Ting ,Bo Bing Can Ting ,3.7,17:00-22:00,"Xing Qi Yi , Xing Qi Er ",+262 692 26 70 06,"BISOU pizza family's, 70-90 Rue de la Communaute, Saint-Andre 97440Liu Ni Wang ",,https://www.google.com/maps/place/BISOU+pizza+family%27s/data=!4m7!3m6!1s0x217887f2d6345d97:0x84607b12de82d781!8m2!3d-20.9601058!4d55.6543851!16s%2Fg%2F11fxb90s1x!19sChIJl1001vKHeCERgdeC3hJ7YIQ?authuser=0&hl=zh-TW&rclk=1
ChIJS7g4QfiHeCERsbvkjEYrIUk,Bubble T Place EST (bubble tea et mochi),,False,32,"Name: BubbleTplace Nord, specialiste du Bubble Tea
link: https://www.google.com/maps/search/BubbleTplace+Nord%2C+sp%C3%A9cialiste+du+Bubble+Tea/@-20.8777243,55.4515156?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: BT Bubble Tea
link: https://www.google.com/maps/search/BT+Bubble+Tea/@-20.8768632,55.4479987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Tea bowl
link: https://www.google.com/maps/search/Tea+bowl/@-21.0389938,55.2194034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Boba bubble tea
link: https://www.google.com/maps/search/Boba+bubble+tea/@-21.3396077,55.4743554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.bubbleteaplace.re/,Bubble T Place EST (bubble tea et mochi) (Ye Zhu ),https://www.google.com/maps/contrib/112367249200875212729,https://lh5.googleusercontent.com/p/AF1QipNU_loSn9KO1dNUBR5gOOrIBLgQbRtn2Ui5SEJA=w408-h306-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Zi Zhu Can Ting , Kuai Can Dian , Jiu Ba Ya Zuo ",4.4,09:30-19:00,Open All Days,+262 262 87 10 06,"Bubble T Place EST (bubble tea et mochi), 55 Chem. Lefaguyes, Saint-Andre 97440Liu Ni Wang ",,https://www.google.com/maps/place/Bubble+T+Place+EST+%28bubble+tea+et+mochi%29/data=!4m7!3m6!1s0x217887f84138b84b:0x49212b468ce4bbb1!8m2!3d-20.962433!4d55.6594768!16s%2Fg%2F11h_wy1gyp!19sChIJS7g4QfiHeCERsbvkjEYrIUk?authuser=0&hl=zh-TW&rclk=1
