place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpZulvidm5kcRhNmv8N7CaVA,Market Saint Gratien,,False,1243,"Name: Carrefour
link: https://www.google.com/maps/search/Carrefour/@48.964453,2.2554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3061 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.966564999999996,2.282146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1459 reviews

Name: Picard
link: https://www.google.com/maps/search/Picard/@48.9663106,2.2821683?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Marche de Saint-Gratien
link: https://www.google.com/maps/search/March%C3%A9+de+Saint-Gratien/@48.9692017,2.2884447999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.carrefour.fr/magasin/market-saint-gratien,Market Saint Gratien (Ye Zhu ),https://www.google.com/maps/contrib/100072833466669817755,https://lh5.googleusercontent.com/p/AF1QipNGh1Sydezcrup2bTpLVOk8fCHSRW77h-sT7ZpO=w435-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Hua Zhuang Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Shu Guo Dian , You Ji Shi Pin Dian ",3.7,08:30-20:30,Xing Qi Yi ,+33 1 39 34 14 05,"Market Saint Gratien, 32 Rue Berthie Albrecht, 95210 Saint-Gratien, Fa Guo ","Jing Wei , Zhan Ban , Bing Gui ",https://www.google.com/maps/place/Market+Saint+Gratien/data=!4m7!3m6!1s0x47e66627bea59ba5:0x5069c2def0afd984!8m2!3d48.9679738!4d2.284196!16s%2Fg%2F11x9qw838!19sChIJpZulvidm5kcRhNmv8N7CaVA?authuser=0&hl=zh-TW&rclk=1
ChIJow7CTSZm5kcRxwy4BL1tifw,Creperie Saint Gratien,,False,744,"Name: Le Triskell
link: https://www.google.com/maps/search/Le+Triskell/@48.992152,2.2806859999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 521 reviews

Name: LE RENARD ET LA GALETTE
link: https://www.google.com/maps/search/LE+RENARD+ET+LA+GALETTE/@48.9879967,2.2581924?authuser=0&hl=zh-TW&entry=ttu
Reviews: 461 reviews

Name: Sucre&sale
link: https://www.google.com/maps/search/Sucre%26sal%C3%A9/@48.972601499999996,2.3067788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews",http://www.creperie-saint-gratien.fr/,Creperie Saint Gratien (Ye Zhu ),https://www.google.com/maps/contrib/110966957018534198794,https://lh5.googleusercontent.com/p/AF1QipNu5IJqSfgMaMHL1pvNIqeUNpPJyGQ4bRRdQBQQ=w408-h306-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Fa Guo Can Ting , Wai Mai Zi Qu Can Ting ",3.8,12:00-22:45,Open All Days,+33 1 34 28 03 62,"Creperie Saint Gratien, 60 Rue Berthie Albrecht, 95210 Saint-Gratien, Fa Guo ","Tang , Song Bing , Xia Ding , Ou Mu Dan , Yi Da Li Mian ",https://www.google.com/maps/place/Cr%C3%AAperie+Saint+Gratien/data=!4m7!3m6!1s0x47e666264dc20ea3:0xfc896dbd04b80cc7!8m2!3d48.9664481!4d2.2836987!16s%2Fg%2F113fgbtjk!19sChIJow7CTSZm5kcRxwy4BL1tifw?authuser=0&hl=zh-TW&rclk=1
ChIJ2RFQXCZm5kcRXrAqLdNFjD0,Les Halles de l'Aveyron,,False,633,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.966564999999996,2.282146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1459 reviews

Name: Market Saint Gratien
link: https://www.google.com/maps/search/Market+Saint+Gratien/@48.967973799999996,2.284196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1243 reviews

Name: Guven
link: https://www.google.com/maps/search/Guven/@48.9660576,2.2834814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Boucherie Saint Gratien Halal AVS -Le Forum-
link: https://www.google.com/maps/search/Boucherie+Saint+Gratien+Halal+AVS+-Le+Forum-/@48.9677112,2.2854238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Marche de Saint-Gratien
link: https://www.google.com/maps/search/March%C3%A9+de+Saint-Gratien/@48.9692017,2.2884447999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",http://www.leshallesdelaveyron.com/magasins/magasin-de-st-gratien,Les Halles de l'Aveyron (Ye Zhu ),https://www.google.com/maps/contrib/116088565448773857853,https://lh5.googleusercontent.com/p/AF1QipORBEXGxoVY7GJG8_MJBUtyFDjfAKjEVGlUiDJ9=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,09:30-19:30,Xing Qi Yi ,+33 1 30 10 90 21,"Les Halles de l'Aveyron, 10 Bd Pasteur, 95210 Saint-Gratien, Fa Guo ","Qi Si , Nong Chan Pin , Dian Yuan , Shou Shi ",https://www.google.com/maps/place/Les+Halles+de+l%27Aveyron/data=!4m7!3m6!1s0x47e666265c5011d9:0x3d8c45d32d2ab05e!8m2!3d48.9661018!4d2.2818692!16s%2Fg%2F11g01t08l_!19sChIJ2RFQXCZm5kcRXrAqLdNFjD0?authuser=0&hl=zh-TW&rclk=1
ChIJ3wX56E5m5kcRceGDahv2aEY,Le moulin a cafe de Sannois,,False,410,"Name: Moulin de la Galette
link: https://www.google.com/maps/search/Moulin+de+la+Galette/@48.9676395,2.2446778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1101 reviews

Name: Chez Florian et Vincent
link: https://www.google.com/maps/search/Chez+Florian+et+Vincent/@48.971263,2.2575955999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Moulin de Sannois
link: https://www.google.com/maps/search/Moulin+de+Sannois/@48.968652299999995,2.2428528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Cafe du Midi
link: https://www.google.com/maps/search/Caf%C3%A9+du+Midi/@48.9745822,2.2510357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://le-moulin-a-cafe.eatbu.com/,Le moulin a cafe de Sannois (Ye Zhu ),https://www.google.com/maps/contrib/101748730298660997439,https://lh5.googleusercontent.com/p/AF1QipPj1xRswjZh0vhcD4kJsMhq-wj-XYQOpmyn__nZ=w426-h240-k-no,Can Ting ,"Can Ting , Zao Can Can Ting , Pi Jiu Niang Zhi Chang , Zheng Liu Ka Pei Ba , Fa Guo Can Ting , Xue Gao Dian , Fa Shi Gao Bing Dian ",4.5,08:15-21:00,"Xing Qi Ri , Xing Qi Yi ",+33 1 34 11 99 75,"Le moulin a cafe de Sannois, 66-68 Bd Charles de Gaulle, 95110 Sannois, Fa Guo ","Bai Pan , Yi Dao Cai , Zao Can , Tian Dian , Liao Li , Fang Jian , Can Jiu Guan ",https://www.google.com/maps/place/Le+moulin+%C3%A0+caf%C3%A9+de+Sannois/data=!4m7!3m6!1s0x47e6664ee8f905df:0x4668f61b6a83e171!8m2!3d48.9721694!4d2.2566518!16s%2Fg%2F1ptw57b05!19sChIJ3wX56E5m5kcRceGDahv2aEY?authuser=0&hl=zh-TW&rclk=1
ChIJ1fnh7oJo5kcRo3H-nFUcrKY,Intermarche EXPRESS St Gratien,,False,269,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.966564999999996,2.282146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1459 reviews

Name: Market Saint Gratien
link: https://www.google.com/maps/search/Market+Saint+Gratien/@48.967973799999996,2.284196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1243 reviews

Name: Guven
link: https://www.google.com/maps/search/Guven/@48.9660576,2.2834814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Photomaton
link: https://www.google.com/maps/search/Photomaton/@48.9698977,2.2881085999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.intermarche.com/magasin%3Fpdvref%3D07372%26utm_source%3Dgmb,Intermarche EXPRESS St Gratien (Ye Zhu ),https://www.google.com/maps/contrib/101322916022117815225,https://lh5.googleusercontent.com/p/AF1QipMCa7oz-cOZOu05lUzCTBYznQvEXOVeSGkvn8EI=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Luo Nong Qu , Kuai Can Dian , Xian Shi Shi Chang , Leng Dong Shi Pin Shang Dian , Shu Guo Dian , Za Huo Dian , Jiu Pin Dian , San Wen Zhi Dian ",3.7,08:30-20:00,Open All Days,+33 1 34 17 30 63,"Intermarche EXPRESS St Gratien, 38 Rue Soeur Angele, 95210 Saint-Gratien, Fa Guo ","Shou Yin , Jia Ge , Tou Fa , E , Ke Ren , Ze Ren , Mao Yi , Nong Chan Pin , Zun Zhong ",https://www.google.com/maps/place/Intermarch%C3%A9+EXPRESS+St+Gratien/data=!4m7!3m6!1s0x47e66882eee1f9d5:0xa6ac1c559cfe71a3!8m2!3d48.9697858!4d2.2881463!16s%2Fg%2F11b7qskh5l!19sChIJ1fnh7oJo5kcRo3H-nFUcrKY?authuser=0&hl=zh-TW&rclk=1
ChIJ1_vrASdm5kcRHssk06I7uJo,Au Pain Bio,,False,217,"Name: Maison Chaillou
link: https://www.google.com/maps/search/Maison+Chaillou/@48.968438199999994,2.284602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 378 reviews

Name: Maison de Custine
link: https://www.google.com/maps/search/Maison+de+Custine/@48.9696533,2.2883285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Artisan Boulanger Patissier
link: https://www.google.com/maps/search/Artisan+Boulanger+Patissier/@48.9687213,2.2857951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Artisanal Boulangerie Patisserie
link: https://www.google.com/maps/search/Artisanal+Boulangerie+P%C3%A2tisserie/@48.9642343,2.2846824999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://aupainbio.ollca.com/,Au Pain Bio (Ye Zhu ),https://www.google.com/maps/contrib/111552891970575106182,https://lh5.googleusercontent.com/p/AF1QipMzaJZ5mUE6uqSbLEBCZrcn0jBcpSuy315TVbGA=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4,07:00-19:30,Xing Qi Yi ,+33 1 30 10 42 48,"Au Pain Bio, 8 Bd Pasteur, 95210 Saint-Gratien, Fa Guo ","Jia Ge , Dian Yuan , Shui Guo Dan Gao , Ke Ren , Mao Yi , Fa Guo Mian Bao , Bu Li Ou , Qiao Ke Li , Zhu Yi ",https://www.google.com/maps/place/Au+Pain+Bio/data=!4m7!3m6!1s0x47e6662701ebfbd7:0x9ab83ba2d324cb1e!8m2!3d48.9656817!4d2.2825443!16s%2Fg%2F11ghpp6nd7!19sChIJ1_vrASdm5kcRHssk06I7uJo?authuser=0&hl=zh-TW&rclk=1
ChIJaW0uTyZm5kcRZedNMTf5X90,Akeas Home,,False,203,"Name: Zeeman
link: https://www.google.com/maps/search/Zeeman/@48.9665944,2.2829975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews

Name: Cache Cache
link: https://www.google.com/maps/search/Cache+Cache/@48.968596999999995,2.2849399999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: STOCK PRIVE
link: https://www.google.com/maps/search/STOCK+PRIV%C3%89/@48.965935099999996,2.2826573999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Akeas
link: https://www.google.com/maps/search/Akeas/@48.7289402,2.4477886?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.akeas.fr/Magasins,Akeas Home (Ye Zhu ),https://www.google.com/maps/contrib/109400043174738645571,https://lh5.googleusercontent.com/p/AF1QipPiBHpuhc6j0mQ8ukbErIqN_WeCE-B4LupISgiC=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Jia Ju Yong Pin Dian ",4.1,09:30-19:30,Open All Days,+33 1 34 12 34 90,"Akeas Home, 10 Bd Pasteur, 95210 Saint-Gratien, Fa Guo ",Jia Ge ,https://www.google.com/maps/place/Akeas+Home/data=!4m7!3m6!1s0x47e666264f2e6d69:0xdd5ff937314de765!8m2!3d48.9667364!4d2.2824786!16s%2Fg%2F11c609r260!19sChIJaW0uTyZm5kcRZedNMTf5X90?authuser=0&hl=zh-TW&rclk=1
ChIJoUtm9iZm5kcRpQUWZjiumyw,HYPERCACHER St-GRATIEN,,False,190,"Name: Market Saint Gratien
link: https://www.google.com/maps/search/Market+Saint+Gratien/@48.967973799999996,2.284196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1243 reviews

Name: HYPERCACHER MANIN
link: https://www.google.com/maps/search/HYPERCACHER+MANIN/@48.884583899999996,2.3913998999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 364 reviews

Name: Super Cach
link: https://www.google.com/maps/search/Super+Cach/@48.890406899999995,2.2821911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Franprix - Les Raguenets
link: https://www.google.com/maps/search/Franprix+-+Les+Raguenets/@48.9622228,2.2844769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Bentahar Brahim
link: https://www.google.com/maps/search/Bentahar+Brahim/@48.9641186,2.2853668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.hypercacher.com/,HYPERCACHER St-GRATIEN (Ye Zhu ),https://www.google.com/maps/contrib/112777095266088835089,https://lh5.googleusercontent.com/p/AF1QipNLRg3p9Iw44u3XrsI0NMAg1XzKdzcSxWAAKrk=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Chao Ji Shi Chang ",4.1,08:00-19:30,Xing Qi Liu ,+33 1 34 17 00 25,"HYPERCACHER St-GRATIEN, 10 Bd Pasteur, 95210 Saint-Gratien, Fa Guo ","Jia Ge , Ke Ren ",https://www.google.com/maps/place/HYPERCACHER+St-GRATIEN/data=!4m7!3m6!1s0x47e66626f6664ba1:0x2c9bae38661605a5!8m2!3d48.9662759!4d2.2831422!16s%2Fg%2F1wn_5dvr!19sChIJoUtm9iZm5kcRpQUWZjiumyw?authuser=0&hl=zh-TW&rclk=1
ChIJA9KnTeFp5kcRflQJZ5p_dkw,Home Donuts Enghien-les-Bains,,False,144,,https://www.instagram.com/homedonuts_enghien/,Home Donuts Enghien-les-Bains (Ye Zhu ),https://www.google.com/maps/contrib/111833710603563471491,https://lh5.googleusercontent.com/p/AF1QipM-mkQgYY4a-DoRzAo4ESATgS2izCaES0dAVbta=w408-h725-k-no,Fa Shi Gao Bing Dian ,"Fa Shi Gao Bing Dian , Xi Bing Dian , Dao Hui Fu Wu , Ka Pei Dian , Tian Pin Can Ting , Tian Pin Dian , Li Pin Dian ",4.9,12:00-22:00,Open All Days,+33 1 34 05 57 51,"Home Donuts Enghien-les-Bains, 3 Rue de la Liberation, 95880 Enghien-les-Bains, Fa Guo ","Jia Ge , Dian Yuan , Xiao Rong , Nai Xi , Fu Pen Zi , Tang , Zhen Zhu ",https://www.google.com/maps/place/Home+Donuts+Enghien-les-Bains/data=!4m7!3m6!1s0x47e669e14da7d203:0x4c767f9a6709547e!8m2!3d48.9725113!4d2.3062632!16s%2Fg%2F11ty0vc54k!19sChIJA9KnTeFp5kcRflQJZ5p_dkw?authuser=0&hl=zh-TW&rclk=1
ChIJpw53uCdm5kcR42D2KE-4RQg,La Vie Claire,,False,113,"Name: Guven
link: https://www.google.com/maps/search/Guven/@48.9660576,2.2834814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Biocoop Sannois
link: https://www.google.com/maps/search/Biocoop+Sannois/@48.9645606,2.2573771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: NATURALIA
link: https://www.google.com/maps/search/NATURALIA/@48.9658742,2.2817398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Sitis market
link: https://www.google.com/maps/search/Sitis+market/@48.9683924,2.2868424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://magasins.lavieclaire.com/lavieclaire/fr/store/france/ile-de-france/val-d-oise/saint-gratien/saint-gratien/19502%3Futm_source%3DGMB%26utm_campaign%3DMultidiffusion%26utm_medium%3Dlocal%26utm_content%3D19502%26origin%3DGMB,La Vie Claire (Ye Zhu ),https://www.google.com/maps/contrib/112636317211343226376,https://lh5.googleusercontent.com/p/AF1QipP_vHVCUVviAG_jHzJ8hNzpxkqvwlBlp7_oJ3l9=w425-h240-k-no,You Ji Shi Pin Dian ,"You Ji Shi Pin Dian , Bian Li Dian , Shou Shi Dian , Za Huo Dian , Gao Ji Shi Cai Dian ",4.1,09:30-19:30,"Xing Qi Ri , Xing Qi Yi ",+33 1 39 89 10 65,"La Vie Claire, 1 Rue Parmentier, 95210 Saint-Gratien, Fa Guo ","Jia Ge , Xiao Rong , Tuan Dui , Ke Ren , Ze Ren , Yuan Gong , Men , Nong Chan Pin ",https://www.google.com/maps/place/La+Vie+Claire/data=!4m7!3m6!1s0x47e66627b8770ea7:0x845b84f28f660e3!8m2!3d48.9669007!4d2.2837926!16s%2Fg%2F1hc7gcxst!19sChIJpw53uCdm5kcR42D2KE-4RQg?authuser=0&hl=zh-TW&rclk=1
