place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJfTGZfDM1yUwRwXB1zOczOxI,Tim Hortons,,False,984,"Name: Amir
link: https://www.google.com/maps/search/Amir/@45.4337855,-74.1729652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 659 reviews

Name: Restaurant Delice et Cafe
link: https://www.google.com/maps/search/Restaurant+D%C3%A9lice+et+Caf%C3%A9/@45.401221,-74.147984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Tompol le Cafe
link: https://www.google.com/maps/search/Tompol+le+Caf%C3%A9/@45.3986339,-74.1290824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Sushi Naruto
link: https://www.google.com/maps/search/Sushi+Naruto/@45.4337589,-74.1729987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Roma Pizza Plus
link: https://www.google.com/maps/search/Roma+Pizza+Plus/@45.4007751,-74.1386636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews",https://locations.timhortons.ca/qc/st-lazare/2681-cote-st-charles,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/105215115362373126694,https://lh5.googleusercontent.com/p/AF1QipPRI9cNjpsCrxMIMD4_hho6z30OtoSvs4Xz8Hno=w440-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.1,05:00-21:00,Open All Days,+1 450-458-5411,"Tim Hortons, 2681 Cote Saint-Charles, Saint-Lazare, Quebec J7T 2H9Jia Na Da ","De Lai Su , Tian Tian Quan , Ce Suo , Juan Bing , Qing Jie , Di Ban , Yuan Gong , Chuang , Gao Su Gong Lu ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc935337c99317d:0x123b33e7cc7570c1!8m2!3d45.4342284!4d-74.1735364!16s%2Fg%2F11b6gg98mf!19sChIJfTGZfDM1yUwRwXB1zOczOxI?authuser=0&hl=zh-TW&rclk=1
ChIJGU6I0XtKyUwR196A9YXkCmg,Tim Hortons,,False,375,"Name: Restaurant Delice et Cafe
link: https://www.google.com/maps/search/Restaurant+D%C3%A9lice+et+Caf%C3%A9/@45.401221,-74.147984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Tompol le Cafe
link: https://www.google.com/maps/search/Tompol+le+Caf%C3%A9/@45.3986339,-74.1290824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Roma Pizza Plus
link: https://www.google.com/maps/search/Roma+Pizza+Plus/@45.4007751,-74.1386636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Planete st-lazare
link: https://www.google.com/maps/search/Plan%C3%A8te+st-lazare/@45.3991051,-74.1302475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Les Cheffettes
link: https://www.google.com/maps/search/Les+Cheffettes/@45.4000353,-74.1380255?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://locations.timhortons.ca/qc/saint-lazare/1766-chemin-ste-angelique,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/100034979286267263540,https://lh5.googleusercontent.com/p/AF1QipOBHyh2YHeV2b2ylWWNEh1vSz5o3NlRCrhl-AnB=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.4,05:00-21:00,Open All Days,+1 450-424-5642,"Tim Hortons, 1766 Chemin Ste Angelique, Saint-Lazare, Quebec J7T 2X8Jia Na Da ","Fu Wu , Xia Ding , Pei Gen , Tian Tian Quan , San Ming Zhi , Bei Guo , Dong , Zao Can ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc94a7bd1884e19:0x680ae485f580ded7!8m2!3d45.3992014!4d-74.1350126!16s%2Fg%2F11b5pjw80w!19sChIJGU6I0XtKyUwR196A9YXkCmg?authuser=0&hl=zh-TW&rclk=1
ChIJHed3zIZKyUwReB7hEkxY5Is,Restaurant Delice et Cafe,,False,327,"Name: Mon Village Restaurant
link: https://www.google.com/maps/search/Mon+Village+Restaurant/@45.4367942,-74.17524709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1322 reviews

Name: Cafe Campagne
link: https://www.google.com/maps/search/Caf%C3%A9+Campagne/@45.438127699999995,-74.1285001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 542 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.399201399999995,-74.13501260000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 374 reviews

Name: Tompol le Cafe
link: https://www.google.com/maps/search/Tompol+le+Caf%C3%A9/@45.3986339,-74.1290824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Les Cheffettes
link: https://www.google.com/maps/search/Les+Cheffettes/@45.4000353,-74.1380255?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://deliceetcafe.odoo.com/,Restaurant Delice et Cafe (Ye Zhu ),https://www.google.com/maps/contrib/107704738118093049991,https://lh5.googleusercontent.com/p/AF1QipMp4SLF-BsAdscMBPg4TneIndoQo0S5UQ_YS9f1=w408-h306-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Ka Pei Ting , Dao Hui Fu Wu , Gao Bing Dian ",4.5,08:00-15:00,"Xing Qi Yi , Xing Qi Er ",+1 450-218-2024,"Restaurant Delice et Cafe, 2131 Chemin Ste Angelique, Saint-Lazare, QC J7T 2H4Jia Na Da ","Bai Pan , Gao , Shui Guo , Ke Li Bing , Zao Wu Can , Yi Dao Cai , Xuan Ze , Pei Gen ",https://www.google.com/maps/place/Restaurant+D%C3%A9lice+et+Caf%C3%A9/data=!4m7!3m6!1s0x4cc94a86cc77e71d:0x8be4584c12e11e78!8m2!3d45.401221!4d-74.147984!16s%2Fg%2F1tdn88zk!19sChIJHed3zIZKyUwReB7hEkxY5Is?authuser=0&hl=zh-TW&rclk=1
ChIJ5aNhNnlKyUwR-fOK5Lq5B9Q,Dairy Queen (Treat),"Jing Dian Han Bao Yu Shu Tiao Su Shi Lian Suo Dian ,Zui Shou Huan Ying De Shi Shuang Qi Lin Yu Zhao Pai Nai Xi . ",False,185,"Name: Amir
link: https://www.google.com/maps/search/Amir/@45.4337855,-74.1729652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 659 reviews

Name: Restaurant Delice et Cafe
link: https://www.google.com/maps/search/Restaurant+D%C3%A9lice+et+Caf%C3%A9/@45.401221,-74.147984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Dairy Queen
link: https://www.google.com/maps/search/Dairy+Queen/@45.76159010000001,-73.9913992?authuser=0&hl=zh-TW&entry=ttu
Reviews: 245 reviews

Name: Cafe Cornet
link: https://www.google.com/maps/search/Cafe+Cornet/@45.400783999999994,-74.13858619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Le comptoir local
link: https://www.google.com/maps/search/Le+comptoir+local/@45.4007374,-74.13867809999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.dairyqueen.com/en-ca/locations/qc/saint-lazare/1515-rue-des-marguerites/14386/%3Futm_source%3Dorganic%26utm_campaign%3Dyext%252F%26y_source%3D1_ODk5NDIxNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,Dairy Queen (Treat) (Ye Zhu ),https://www.google.com/maps/contrib/110973506386609959412,https://lh5.googleusercontent.com/p/AF1QipOAx5F01LiRTo1qk8Wn4wMO_J1feUSOO32ePSMD=w408-h725-k-no,Xue Gao Dian ,Xue Gao Dian ,4.2,12:00-20:00,Xing Qi Yi ,+1 450-424-0269,"Dairy Queen (Treat), 1515 Rue des Marguerites, Saint-Lazare, Quebec J7T 2R8Jia Na Da ","Su Shi Dian , Nai Xi ",https://www.google.com/maps/place/Dairy+Queen+%28Treat%29/data=!4m7!3m6!1s0x4cc94a793661a3e5:0xd407b9bae48af3f9!8m2!3d45.3997584!4d-74.136291!16s%2Fg%2F11dym19mvr!19sChIJ5aNhNnlKyUwR-fOK5Lq5B9Q?authuser=0&hl=zh-TW&rclk=1
ChIJzTAvTvdLyUwR_BsHje3CqD0,Tompol le Cafe,,False,145,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.399201399999995,-74.13501260000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 374 reviews

Name: Restaurant Delice et Cafe
link: https://www.google.com/maps/search/Restaurant+D%C3%A9lice+et+Caf%C3%A9/@45.401221,-74.147984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Cafe Cornet
link: https://www.google.com/maps/search/Cafe+Cornet/@45.400783999999994,-74.13858619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Planete st-lazare
link: https://www.google.com/maps/search/Plan%C3%A8te+st-lazare/@45.3991051,-74.1302475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Les Cheffettes
link: https://www.google.com/maps/search/Les+Cheffettes/@45.4000353,-74.1380255?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.tompol.ca/,Tompol le Cafe (Ye Zhu ),https://www.google.com/maps/contrib/118285766999361693754,https://lh5.googleusercontent.com/p/AF1QipNGeonB2bdX0kJj6v_WcepQVbdFdtmemJbE0ny-=w408-h544-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Shou Shi Dian ",4.9,08:00-18:00,"Xing Qi Yi , Xing Qi Er ",,"Tompol le Cafe, 1592 Chemin Ste Angelique, Saint-Lazare, QC J7T 2X8Jia Na Da ","Hong Jiu , Gao , atmosphere, Ke Song , Gou , Yan Mai Nai ",https://www.google.com/maps/place/Tompol+le+Caf%C3%A9/data=!4m7!3m6!1s0x4cc94bf74e2f30cd:0x3da8c2ed8d071bfc!8m2!3d45.3986339!4d-74.1290824!16s%2Fg%2F11r_qq6pt5!19sChIJzTAvTvdLyUwR_BsHje3CqD0?authuser=0&hl=zh-TW&rclk=1
ChIJ-6YGX09LyUwRIaRnCxtYzrc,Procaf,,False,20,"Name: Centre Cafefix
link: https://www.google.com/maps/search/Centre+Caf%C3%A9fix/@45.5390322,-73.5690365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Carrossier ProColor Saint-Lazare
link: https://www.google.com/maps/search/Carrossier+ProColor+Saint-Lazare/@45.381170999999995,-74.1006702?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Pro-Tech Auto
link: https://www.google.com/maps/search/Pro-Tech+Auto/@45.3823685,-74.0970613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Espress-O-Cafe Services et Reparations
link: https://www.google.com/maps/search/Espress-O-Caf%C3%A9+Services+et+R%C3%A9parations/@45.5964361,-73.68018529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Servi Express
link: https://www.google.com/maps/search/Servi+Express/@45.3999284,-74.1375827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.procaf.ca/,Procaf (Ye Zhu ),https://www.google.com/maps/contrib/102415270673915923980,https://lh5.googleusercontent.com/p/AF1QipOs-1i8a9W_l8DfMm6iXGK5kqzDHbduyTGQeHQv=w426-h240-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,5,09:00-18:00,"Xing Qi Yi , Xing Qi Ri ",+1 579-217-0262,"Procaf, 872 Rte de la Cite des Jeunes #6, Saint-Lazare, QC J7T 2B5Jia Na Da ",Fu Wu ,https://www.google.com/maps/place/Procaf/data=!4m7!3m6!1s0x4cc94b4f5f06a6fb:0xb7ce581b0b67a421!8m2!3d45.3784513!4d-74.1080041!16s%2Fg%2F11vbxjc6py!19sChIJ-6YGX09LyUwRIaRnCxtYzrc?authuser=0&hl=zh-TW&rclk=1
ChIJWxJGvX5KyUwRgu-0JXyT6Nw,Le comptoir local,,False,16,"Name: Dairy Queen (Treat)
link: https://www.google.com/maps/search/Dairy+Queen+%28Treat%29/@45.399758399999996,-74.136291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Tompol le Cafe
link: https://www.google.com/maps/search/Tompol+le+Caf%C3%A9/@45.3986339,-74.1290824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Cafe Cornet
link: https://www.google.com/maps/search/Cafe+Cornet/@45.400783999999994,-74.13858619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews",http://facebook.com/lecomptoirlocalstlazare,Le comptoir local (Ye Zhu ),https://www.google.com/maps/contrib/101581640271956033762,https://lh5.googleusercontent.com/p/AF1QipML9o0PC4esU_wL2mNMG7LvwlL4kgkTuU_NQSue=w408-h544-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,,Open All Days,,"Le comptoir local, 1883 Rue Poirier, Saint-Lazare, QC J7T 2Y2Jia Na Da ",,https://www.google.com/maps/place/Le+comptoir+local/data=!4m7!3m6!1s0x4cc94a7ebd46125b:0xdce8937c25b4ef82!8m2!3d45.4007374!4d-74.1386781!16s%2Fg%2F11hd9hl7z7!19sChIJWxJGvX5KyUwRgu-0JXyT6Nw?authuser=0&hl=zh-TW&rclk=1
ChIJlUWv8PRJyUwRYZ9twlZkW7g,Couche-Tard,,False,9,,https://www.couche-tard.com/trouvez-votre-magasin/CA/st-lazare/585-cite-des-jeunes/6000213%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dcouche_tard,Couche-Tard (Ye Zhu ),https://www.google.com/maps/contrib/102377280466130753171,https://lh5.googleusercontent.com/p/AF1QipMKYCRE2YRDmXfXPAD04luGgI1cyef9O3i15FgP=w408-h408-k-no,Bian Li Dian ,"Bian Li Dian , Pi Jiu Zhuan Mai Dian , Ka Pei Dian , Za Huo Dian , Xiao Shi /Ling Shi Ba , Wu Jiu Jing Yin Liao Dian , Yan Cao Dian ",3.7,24 Xiao Shi Ying Ye ,Open All Days,+1 450-455-2333,"Couche-Tard, 585 Rte de la Cite des Jeunes, Saint-Lazare, QC J7T 2A7Jia Na Da ",,https://www.google.com/maps/place/Couche-Tard/data=!4m7!3m6!1s0x4cc949f4f0af4595:0xb85b6456c26d9f61!8m2!3d45.3823549!4d-74.0960441!16s%2Fg%2F1tqnl7d3!19sChIJlUWv8PRJyUwRYZ9twlZkW7g?authuser=0&hl=zh-TW&rclk=1
ChIJqZTIon5KyUwRAUkhZl1hfyI,Cafe Cornet,,False,87,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.399201399999995,-74.13501260000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 374 reviews

Name: Restaurant Delice et Cafe
link: https://www.google.com/maps/search/Restaurant+D%C3%A9lice+et+Caf%C3%A9/@45.401221,-74.147984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Dairy Queen (Treat)
link: https://www.google.com/maps/search/Dairy+Queen+%28Treat%29/@45.399758399999996,-74.136291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews

Name: Tompol le Cafe
link: https://www.google.com/maps/search/Tompol+le+Caf%C3%A9/@45.3986339,-74.1290824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Le comptoir local
link: https://www.google.com/maps/search/Le+comptoir+local/@45.4007374,-74.13867809999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,Cafe Cornet (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPZZiQg4i1Ff4nqz3nEsIPQTl23md-W2cJG5sj9=w408-h326-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting , Tian Pin Dian ",4.4,11:30-21:00,Open All Days,+1 450-424-4488,"Cafe Cornet, 1883 Rue Labre, Saint-Lazare, QC J7T 2T2Jia Na Da ",Xia Tian ,https://www.google.com/maps/place/Cafe+Cornet/data=!4m7!3m6!1s0x4cc94a7ea2c894a9:0x227f615d66214901!8m2!3d45.400784!4d-74.1385862!16s%2Fg%2F1tg34vbs!19sChIJqZTIon5KyUwRAUkhZl1hfyI?authuser=0&hl=zh-TW&rclk=1
ChIJtef7_3tKyUwRmv4lbqtkkV0,Depanneur Ste-Angelique,,False,11,"Name: IGA Saint-Lazare
link: https://www.google.com/maps/search/IGA+Saint-Lazare/@45.401025,-74.137682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 739 reviews

Name: Sonic
link: https://www.google.com/maps/search/Sonic/@45.3798837,-74.1059035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Couche-Tard
link: https://www.google.com/maps/search/Couche-Tard/@45.4344451,-74.1748219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Depanneur Boni-Soir
link: https://www.google.com/maps/search/D%C3%A9panneur+Boni-Soir/@45.4344092,-74.17479159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Le Depanneur
link: https://www.google.com/maps/search/Le+D%C3%A9panneur/@45.3798688,-74.1059315?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Depanneur Ste-Angelique (Ye Zhu ),https://www.google.com/maps/contrib/115297392067476281821,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gGpmxusjbstdIezvLaIfWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.55612&pitch=0&thumbfov=100,Bian Li Dian ,Bian Li Dian ,4,07:00-22:00,Open All Days,+1 450-455-3853,"Depanneur Ste-Angelique, 1831 Chemin Ste Angelique, Saint-Lazare, QC J7T 2X9Jia Na Da ",,https://www.google.com/maps/place/D%C3%A9panneur+Ste-Ang%C3%A9lique/data=!4m7!3m6!1s0x4cc94a7bfffbe7b5:0x5d9164ab6e25fe9a!8m2!3d45.399982!4d-74.1375095!16s%2Fg%2F1vbnp091!19sChIJtef7_3tKyUwRmv4lbqtkkV0?authuser=0&hl=zh-TW&rclk=1
